Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
15:27,"BLOCK  by LINK,JACOB",,,,,,,"BLOCK  by LINK,JACOB",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:11,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
14:53,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
14:52,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",1
14:49,,,,,"TURNOVER  by CAMMON,JOSH",,,"TURNOVER  by CAMMON,JOSH",1
14:47,"STEAL  by II,ROD CUMMINGS",,,,,,,"STEAL  by II,ROD CUMMINGS",1
14:43,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
14:34,"MISS TIPIN by FITCH,CARL",,,,,,,"MISS TIPIN by FITCH,CARL",1
--,"REBOUND OFF by II,ROD CUMMINGS",,,,,,,"REBOUND OFF by II,ROD CUMMINGS",1
14:29,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",1
14:07,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
14:07,,6,,8 (+2),"GOOD FT by JENEI,RYAN",OU 6-8 (-2),,"GOOD FT by JENEI,RYAN",1
14:07,,,,,"MISS FT by JENEI,RYAN",,,"MISS FT by JENEI,RYAN",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
14:07,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
14:07,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
14:07,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
14:07,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
14:00,,,,,"SUB IN by HUGHES,JUSTIN",,,"SUB IN by HUGHES,JUSTIN",1
14:00,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",1
14:00,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",1
14:00,,,,,"SUB OUT by CAMMON,JOSH",,,"SUB OUT by CAMMON,JOSH",1
13:59,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
13:59,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",1
13:59,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND OFF by SONE,CARLOS",,,"REBOUND OFF by SONE,CARLOS",1
13:59,,6,,10 (+4),"GOOD LAYUP by SONE,CARLOS(in the paint)",OU 6-10 (-4),,"GOOD LAYUP by SONE,CARLOS(in the paint)",1
13:59,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by ETIWE,TOJU",,,"REBOUND DEF by ETIWE,TOJU",1
13:59,,,,,"MISS 3PTR by SONE,CARLOS",,,"MISS 3PTR by SONE,CARLOS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:59,,,,,"SUB IN by DAY,JUSTIN",,,"SUB IN by DAY,JUSTIN",1
13:59,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",1
13:48,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by DAY,JUSTIN",,,"REBOUND DEF by DAY,JUSTIN",1
13:31,,6,,13 (+7),"GOOD 3PTR by DAY,JUSTIN",OU 6-13 (-7),,"GOOD 3PTR by DAY,JUSTIN",1
--,,,,,"ASSIST  by ETIWE,TOJU",,,"ASSIST  by ETIWE,TOJU",1
13:05,"GOOD 3PTR by COMAN,SEAN",9,,13 (+4),,HC 9-13 (-4),,"GOOD 3PTR by COMAN,SEAN",1
12:47,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:43,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",1
11:43,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
11:43,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",1
11:43,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",1
11:28,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",1
11:12,,,,,"MISS JUMPER by DAY,JUSTIN",,,"MISS JUMPER by DAY,JUSTIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:08,,,,,"MISS 3PTR by HUGHES,JUSTIN",,,"MISS 3PTR by HUGHES,JUSTIN",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
11:08,"MISS LAYUP by EATON,JACK",,,,,,,"MISS LAYUP by EATON,JACK",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
11:08,"GOOD LAYUP by CONRAD,ALEX(in the paint)",11,,13 (+2),,HC 11-13 (-2),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
11:08,,,,,"MISS 3PTR by HUGHES,JUSTIN",,,"MISS 3PTR by HUGHES,JUSTIN",1
--,,,,,"REBOUND OFF by SONE,CARLOS",,,"REBOUND OFF by SONE,CARLOS",1
11:08,,,,,"MISS 3PTR by HUGHES,JUSTIN",,,"MISS 3PTR by HUGHES,JUSTIN",1
--,,,,,"REBOUND OFF by ETIWE,TOJU",,,"REBOUND OFF by ETIWE,TOJU",1
11:08,,,,,"MISS 3PTR by SONE,CARLOS",,,"MISS 3PTR by SONE,CARLOS",1
--,"REBOUND DEF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
11:08,"TURNOVER  by CARTWRIGHT,BROOKS",,,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",1
11:08,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",1
11:08,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
11:08,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",1
11:06,"FOUL  by CARTWRIGHT,BROOKS",,,,,,,"FOUL  by CARTWRIGHT,BROOKS",1
11:06,,11,,14 (+3),"GOOD FT by FOSTER,LANE",OU 11-14 (-3),,"GOOD FT by FOSTER,LANE",1
11:06,,,,,"MISS FT by FOSTER,LANE",,,"MISS FT by FOSTER,LANE",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
11:06,"SUB IN by PHILLIP,ADAM",,,,,,,"SUB IN by PHILLIP,ADAM",1
11:06,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",1
11:06,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",1
11:06,,,,,"SUB IN by CAMMON,JOSH",,,"SUB IN by CAMMON,JOSH",1
11:06,,,,,"SUB OUT by ETIWE,TOJU",,,"SUB OUT by ETIWE,TOJU",1
11:06,,,,,"SUB OUT by SONE,CARLOS",,,"SUB OUT by SONE,CARLOS",1
09:36,"MISS JUMPER by EATON,JACK",,,,,,,"MISS JUMPER by EATON,JACK",1
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",1
09:23,,,,,"TURNOVER  by DAY,JUSTIN",,,"TURNOVER  by DAY,JUSTIN",1
09:23,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
09:17,"MISS 3PTR by PHILLIP,ADAM",,,,,,,"MISS 3PTR by PHILLIP,ADAM",1
--,,,,,"REBOUND DEF by HUGHES,JUSTIN",,,"REBOUND DEF by HUGHES,JUSTIN",1
09:04,,,,,"MISS 3PTR by CAMMON,JOSH",,,"MISS 3PTR by CAMMON,JOSH",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
08:45,"MISS LAYUP by CARTWRIGHT,BROOKS",,,,,,,"MISS LAYUP by CARTWRIGHT,BROOKS",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:36,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
08:36,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
08:36,,,,,"SUB IN by CHAMBERS,DIMETRI",,,"SUB IN by CHAMBERS,DIMETRI",1
08:36,,,,,"SUB OUT by DAY,JUSTIN",,,"SUB OUT by DAY,JUSTIN",1
08:25,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",1
08:25,"BLOCK  by STANLEY,SETH",,,,,,,"BLOCK  by STANLEY,SETH",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
08:05,"GOOD 3PTR by PHILLIP,ADAM",14,,14,,HC 14-14 (0),,"GOOD 3PTR by PHILLIP,ADAM",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
07:38,,,,,"TURNOVER  by CAMMON,JOSH",,,"TURNOVER  by CAMMON,JOSH",1
07:35,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
07:33,,,,,"FOUL  by HUGHES,JUSTIN",,,"FOUL  by HUGHES,JUSTIN",1
07:33,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:33,"GOOD FT by LINK,JACOB",15 (+1),,14,,HC 15-14 (+1),,"GOOD FT by LINK,JACOB",1
07:33,"GOOD FT by LINK,JACOB",16 (+2),,14,,HC 16-14 (+2),,"GOOD FT by LINK,JACOB",1
07:33,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
07:33,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
07:33,,,,,"SUB IN by SONE,CARLOS",,,"SUB IN by SONE,CARLOS",1
07:33,,,,,"SUB OUT by HUGHES,JUSTIN",,,"SUB OUT by HUGHES,JUSTIN",1
07:27,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
07:18,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
07:14,,,,,"STEAL  by CAMMON,JOSH",,,"STEAL  by CAMMON,JOSH",1
07:11,"FOUL  by PHILLIP,ADAM",,,,,,,"FOUL  by PHILLIP,ADAM",1
07:11,,16 (+1),,15,"GOOD FT by CAMMON,JOSH",OU 16-15 (+1),,"GOOD FT by CAMMON,JOSH",1
07:11,"SUB IN by II,ROD CUMMINGS",,,,,,,"SUB IN by II,ROD CUMMINGS",1
07:11,"SUB OUT by PHILLIP,ADAM",,,,,,,"SUB OUT by PHILLIP,ADAM",1
07:02,,,,,"MISS FT by CAMMON,JOSH",,,"MISS FT by CAMMON,JOSH",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
06:56,"GOOD LAYUP by STANLEY,SETH(in the paint)",18 (+3),,15,,HC 18-15 (+3),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
06:56,,,,,"FOUL  by CAMMON,JOSH",,,"FOUL  by CAMMON,JOSH",1
06:56,"GOOD FT by STANLEY,SETH",19 (+4),,15,,HC 19-15 (+4),,"GOOD FT by STANLEY,SETH",1
06:40,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
06:40,,19 (+3),,16,"GOOD FT by CHAMBERS,DIMETRI",OU 19-16 (+3),,"GOOD FT by CHAMBERS,DIMETRI",1
06:40,,19 (+2),,17,"GOOD FT by CHAMBERS,DIMETRI",OU 19-17 (+2),,"GOOD FT by CHAMBERS,DIMETRI",1
06:40,,,,,"MISS FT by CHAMBERS,DIMETRI",,,"MISS FT by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
06:29,"GOOD 3PTR by II,ROD CUMMINGS",22 (+5),,17,,HC 22-17 (+5),,"GOOD 3PTR by II,ROD CUMMINGS",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
06:00,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",1
05:59,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
05:28,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
05:23,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
05:23,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
05:23,,,,,"SUB IN by HUGHES,JUSTIN",,,"SUB IN by HUGHES,JUSTIN",1
05:23,,,,,"SUB OUT by CAMMON,JOSH",,,"SUB OUT by CAMMON,JOSH",1
05:16,,,,,"MISS 3PTR by FOSTER,LANE",,,"MISS 3PTR by FOSTER,LANE",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
04:54,"GOOD LAYUP by STANLEY,SETH(in the paint)",24 (+7),,17,,HC 24-17 (+7),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",1
04:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:50,,,,,"SUB IN by DAY,JUSTIN",,,"SUB IN by DAY,JUSTIN",1
04:50,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",1
04:37,"FOUL  by II,ROD CUMMINGS",,,,,,,"FOUL  by II,ROD CUMMINGS",1
04:37,,24 (+6),,18,"GOOD FT by CHAMBERS,DIMETRI",OU 24-18 (+6),,"GOOD FT by CHAMBERS,DIMETRI",1
04:37,,,,,"MISS FT by CHAMBERS,DIMETRI",,,"MISS FT by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
04:16,"GOOD JUMPER by LINK,JACOB(in the paint)",26 (+8),,18,,HC 26-18 (+8),,"GOOD JUMPER by LINK,JACOB(in the paint)",1
03:54,,,,,"MISS 3PTR by DAY,JUSTIN",,,"MISS 3PTR by DAY,JUSTIN",1
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",1
03:30,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",1
03:16,,26 (+6),,20,"GOOD LAYUP by DAY,JUSTIN(fastbreak)(in the paint)",OU 26-20 (+6),,"GOOD LAYUP by DAY,JUSTIN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by HUGHES,JUSTIN",,,"ASSIST  by HUGHES,JUSTIN",1
03:02,,,,,"FOUL  by HUGHES,JUSTIN",,,"FOUL  by HUGHES,JUSTIN",1
02:56,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:56,"GOOD FT by LINK,JACOB",27 (+7),,20,,HC 27-20 (+7),,"GOOD FT by LINK,JACOB",1
02:56,"GOOD FT by LINK,JACOB",28 (+8),,20,,HC 28-20 (+8),,"GOOD FT by LINK,JACOB",1
02:56,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
02:56,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",1
02:56,,,,,"SUB IN by KRIVITZKIN,TYLER",,,"SUB IN by KRIVITZKIN,TYLER",1
02:56,,,,,"SUB IN by GULLEY,TREVOR",,,"SUB IN by GULLEY,TREVOR",1
02:56,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",1
02:56,,,,,"SUB OUT by DAY,JUSTIN",,,"SUB OUT by DAY,JUSTIN",1
02:39,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",1
02:39,"BLOCK  by LINK,JACOB",,,,,,,"BLOCK  by LINK,JACOB",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
02:31,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
02:30,,,,,"STEAL  by SONE,CARLOS",,,"STEAL  by SONE,CARLOS",1
02:29,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
02:29,,28 (+7),,21,"GOOD FT by CHAMBERS,DIMETRI",OU 28-21 (+7),,"GOOD FT by CHAMBERS,DIMETRI",1
02:29,,,,,"MISS FT by CHAMBERS,DIMETRI",,,"MISS FT by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
02:29,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
02:29,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
02:29,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",1
02:29,,,,,"SUB OUT by HUGHES,JUSTIN",,,"SUB OUT by HUGHES,JUSTIN",1
02:22,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",1
02:18,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",1
02:17,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
02:14,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND OFF by STANLEY,SETH",,,,,,,"REBOUND OFF by STANLEY,SETH",1
01:57,"GOOD 3PTR by EATON,JACK",31 (+10),,21,,HC 31-21 (+10),,"GOOD 3PTR by EATON,JACK",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
01:40,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
01:32,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",1
01:13,,31 (+7),,24,"GOOD 3PTR by JENEI,RYAN",OU 31-24 (+7),,"GOOD 3PTR by JENEI,RYAN",1
--,,,,,"ASSIST  by ETIWE,TOJU",,,"ASSIST  by ETIWE,TOJU",1
00:54,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:54,"SUB IN by II,ROD CUMMINGS",,,,,,,"SUB IN by II,ROD CUMMINGS",1
00:54,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
00:46,"GOOD JUMPER by II,ROD CUMMINGS",33 (+9),,24,,HC 33-24 (+9),,"GOOD JUMPER by II,ROD CUMMINGS",1
00:27,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
00:14,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",1
00:14,,,,,"SUB OUT by KRIVITZKIN,TYLER",,,"SUB OUT by KRIVITZKIN,TYLER",1
00:04,"GOOD 3PTR by COMAN,SEAN",36 (+12),,24,,HC 36-24 (+12),,"GOOD 3PTR by COMAN,SEAN",1
--,"ASSIST  by II,ROD CUMMINGS",,,,,,,"ASSIST  by II,ROD CUMMINGS",1
19:41,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",2
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",2
19:35,,36 (+10),,26,"GOOD DUNK by CAMMON,JOSH(fastbreak)(in the paint)",OU 36-26 (+10),,"GOOD DUNK by CAMMON,JOSH(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by JENEI,RYAN",,,"ASSIST  by JENEI,RYAN",2
19:07,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",2
19:07,,,,,"STEAL  by SONE,CARLOS",,,"STEAL  by SONE,CARLOS",2
18:47,,36 (+8),,28,"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",OU 36-28 (+8),,"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",2
18:35,"MISS LAYUP by COMAN,SEAN",,,,,,,"MISS LAYUP by COMAN,SEAN",2
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",2
18:24,,,,,"MISS LAYUP by CAMMON,JOSH",,,"MISS LAYUP by CAMMON,JOSH",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
18:11,"GOOD JUMPER by II,ROD CUMMINGS",38 (+10),,28,,HC 38-28 (+10),,"GOOD JUMPER by II,ROD CUMMINGS",2
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",2
18:07,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",2
18:07,,,,,"TURNOVER  by FOSTER,LANE",,,"TURNOVER  by FOSTER,LANE",2
18:01,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:59,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
17:59,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",2
17:59,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
17:47,,,,,"MISS 3PTR by CAMMON,JOSH",,,"MISS 3PTR by CAMMON,JOSH",2
