Time Remaining,Hendri,Away Team Score,Play Team Indicator,Home Team Score,Ozarks,Game Score,Team Indicator,Play,Period
16:30,"GOOD LAYUP by LINK,JACOB(in the paint)",11 (+2),,9,,Hendri 11-9 (+2),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",1
16:11,,,,,"MISS 3PTR by JOHNSON,BRYSON",,,"MISS 3PTR by JOHNSON,BRYSON",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
16:00,"MISS 3PTR by LINK,JACOB",,,,,,,"MISS 3PTR by LINK,JACOB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:50,,11,,11,"GOOD JUMPER by BOBO,ZACH",Ozarks 11-11 (0),,"GOOD JUMPER by BOBO,ZACH",1
15:27,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:23,,,,,"SUB OUT by BOWMAN,ETHAN",,,"SUB OUT by BOWMAN,ETHAN",1
15:23,,,,,"SUB OUT by TURPIN,TIM",,,"SUB OUT by TURPIN,TIM",1
15:23,,,,,"SUB IN by WINSTON,CORDY",,,"SUB IN by WINSTON,CORDY",1
15:23,,,,,"SUB IN by WILHELM,CORY",,,"SUB IN by WILHELM,CORY",1
15:23,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
15:23,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",1
15:19,,,,,"MISS 3PTR by WINSTON,CORDY",,,"MISS 3PTR by WINSTON,CORDY",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
15:09,"GOOD LAYUP by LINK,JACOB",13 (+2),,11,,Hendri 13-11 (+2),,"GOOD LAYUP by LINK,JACOB",1
14:43,,,,,"MISS JUMPER by BOBO,ZACH(in the paint)",,,"MISS JUMPER by BOBO,ZACH(in the paint)",1
--,"REBOUND DEF by CUMMINGS II,ROD",,,,,,,"REBOUND DEF by CUMMINGS II,ROD",1
14:37,"TURNOVER  by FITCH,CARL(in the paint)",,,,,,,"TURNOVER  by FITCH,CARL(in the paint)",1
14:37,,,,,"STEAL  by DAVIS,JACOBE",,,"STEAL  by DAVIS,JACOBE",1
14:27,,,,,"MISS 3PTR by BOBO,ZACH",,,"MISS 3PTR by BOBO,ZACH",1
--,,,,,"REBOUND OFF by RENELIQUE,DARNEL",,,"REBOUND OFF by RENELIQUE,DARNEL",1
14:15,,13,,13,"GOOD LAYUP by RENELIQUE,DARNEL",Ozarks 13-13 (0),,"GOOD LAYUP by RENELIQUE,DARNEL",1
14:01,,,,,"SUB OUT by JOHNSON,BRYSON",,,"SUB OUT by JOHNSON,BRYSON",1
14:01,,,,,"SUB IN by RENELIQUE,DARNEL",,,"SUB IN by RENELIQUE,DARNEL",1
13:51,"GOOD JUMPER by STANLEY,SETH(in the paint)",15 (+2),,13,,Hendri 15-13 (+2),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
13:37,,,,,"MISS LAYUP by DAVIS,JACOBE",,,"MISS LAYUP by DAVIS,JACOBE",1
--,"REBOUND DEF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
13:29,"MISS 3PTR by CUMMINGS II,ROD",,,,,,,"MISS 3PTR by CUMMINGS II,ROD",1
--,,,,,"REBOUND DEF by BOBO,ZACH",,,"REBOUND DEF by BOBO,ZACH",1
13:17,"FOUL  by FITCH,CARL(in the paint)",,,,,,,"FOUL  by FITCH,CARL(in the paint)",1
12:56,,,,,"SUB OUT by DAVIS,JACOBE",,,"SUB OUT by DAVIS,JACOBE",1
12:56,,,,,"SUB OUT by BOBO,ZACH",,,"SUB OUT by BOBO,ZACH",1
12:56,,,,,"SUB IN by JOHNSON,BRYSON",,,"SUB IN by JOHNSON,BRYSON",1
12:56,,,,,"SUB IN by BOWMAN,ETHAN",,,"SUB IN by BOWMAN,ETHAN",1
12:47,,15,,15,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",Ozarks 15-15 (0),,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",1
12:26,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
12:26,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
12:26,,,,,"FOUL  by WILHELM,CORY(in the paint)",,,"FOUL  by WILHELM,CORY(in the paint)",1
12:26,,,,,"SUB OUT by WILHELM,CORY",,,"SUB OUT by WILHELM,CORY",1
12:26,,,,,"SUB IN by HELZER,JAMES",,,"SUB IN by HELZER,JAMES",1
12:20,"MISS 3PTR by CARTWRIGHT,BROOKS",,,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"REBOUND DEF by HELZER,JAMES",,,"REBOUND DEF by HELZER,JAMES",1
12:05,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
11:41,,15,,17 (+2),"GOOD JUMPER by RENELIQUE,DARNEL(in the paint)",Ozarks 15-17 (-2),,"GOOD JUMPER by RENELIQUE,DARNEL(in the paint)",1
--,,,,,"ASSIST  by HELZER,JAMES",,,"ASSIST  by HELZER,JAMES",1
11:23,"TURNOVER  by STANLEY,SETH(in the paint)",,,,,,,"TURNOVER  by STANLEY,SETH(in the paint)",1
11:10,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
11:10,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",1
11:05,,,,,"MISS LAYUP by JOHNSON,BRYSON",,,"MISS LAYUP by JOHNSON,BRYSON",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
10:41,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
10:36,"SUB OUT by CUMMINGS II,ROD",,,,,,,"SUB OUT by CUMMINGS II,ROD",1
10:36,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
10:28,,,,,"TURNOVER  by RENELIQUE,DARNEL",,,"TURNOVER  by RENELIQUE,DARNEL",1
10:28,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",1
10:22,"MISS 3PTR by CARTWRIGHT,BROOKS",,,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"REBOUND DEF by RENELIQUE,DARNEL",,,"REBOUND DEF by RENELIQUE,DARNEL",1
10:12,,15,,20 (+5),"GOOD 3PTR by JOHNSON,BRYSON",Ozarks 15-20 (-5),,"GOOD 3PTR by JOHNSON,BRYSON",1
--,,,,,"ASSIST  by WINSTON,CORDY",,,"ASSIST  by WINSTON,CORDY",1
09:51,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by RENELIQUE,DARNEL",,,"REBOUND DEF by RENELIQUE,DARNEL",1
09:40,,,,,"MISS JUMPER by BOWMAN,ETHAN",,,"MISS JUMPER by BOWMAN,ETHAN",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
09:31,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by RENELIQUE,DARNEL",,,"REBOUND DEF by RENELIQUE,DARNEL",1
09:20,,,,,"MISS 3PTR by BOWMAN,ETHAN",,,"MISS 3PTR by BOWMAN,ETHAN",1
--,,,,,"REBOUND OFF by WINSTON,CORDY",,,"REBOUND OFF by WINSTON,CORDY",1
09:10,,15,,23 (+8),"GOOD 3PTR by WINSTON,CORDY",Ozarks 15-23 (-8),,"GOOD 3PTR by WINSTON,CORDY",1
--,,,,,"ASSIST  by JOHNSON,BRYSON",,,"ASSIST  by JOHNSON,BRYSON",1
08:52,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by WINSTON,CORDY",,,"REBOUND DEF by WINSTON,CORDY",1
08:52,,,,,"FOUL  by JOHNSON,BRYSON",,,"FOUL  by JOHNSON,BRYSON",1
08:47,"TURNOVER  by CARTWRIGHT,BROOKS",,,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",1
08:47,,,,,"STEAL  by JOHNSON,BRYSON",,,"STEAL  by JOHNSON,BRYSON",1
08:35,,15,,26 (+11),"GOOD 3PTR by BOBO,ZACH",Ozarks 15-26 (-11),,"GOOD 3PTR by BOBO,ZACH",1
--,,,,,"ASSIST  by JOHNSON,BRYSON",,,"ASSIST  by JOHNSON,BRYSON",1
08:23,,,,,"SUB OUT by RENELIQUE,DARNEL",,,"SUB OUT by RENELIQUE,DARNEL",1
08:23,,,,,"SUB IN by BOBO,ZACH",,,"SUB IN by BOBO,ZACH",1
08:18,,,,,"FOUL  by BOBO,ZACH",,,"FOUL  by BOBO,ZACH",1
08:14,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",1
08:14,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
08:14,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
08:14,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
07:57,"MISS JUMPER by LINK,JACOB",,,,,,,"MISS JUMPER by LINK,JACOB",1
--,"REBOUND OFF by COMAN,SEAN",,,,,,,"REBOUND OFF by COMAN,SEAN",1
07:46,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by JOHNSON,BRYSON",,,"REBOUND DEF by JOHNSON,BRYSON",1
07:38,,,,,"MISS JUMPER by DAVIS,JACOBE",,,"MISS JUMPER by DAVIS,JACOBE",1
--,"REBOUND DEF by PHILLIP,ADAM",,,,,,,"REBOUND DEF by PHILLIP,ADAM",1
07:29,"MISS 3PTR by CRAWFORD,TRACE",,,,,,,"MISS 3PTR by CRAWFORD,TRACE",1
--,,,,,"REBOUND DEF by JOHNSON,BRYSON",,,"REBOUND DEF by JOHNSON,BRYSON",1
07:21,,,,,"MISS 3PTR by BOBO,ZACH",,,"MISS 3PTR by BOBO,ZACH",1
--,,,,,"REBOUND OFF by BOBO,ZACH",,,"REBOUND OFF by BOBO,ZACH",1
07:13,,,,,"SUB OUT by WINSTON,CORDY",,,"SUB OUT by WINSTON,CORDY",1
07:13,,,,,"SUB OUT by HELZER,JAMES",,,"SUB OUT by HELZER,JAMES",1
07:13,,,,,"SUB IN by DAVIS,JACOBE",,,"SUB IN by DAVIS,JACOBE",1
07:13,,,,,"SUB IN by WHEELER,COLEMAN",,,"SUB IN by WHEELER,COLEMAN",1
07:13,,,,,"MISS LAYUP by JOHNSON,BRYSON(in the paint)",,,"MISS LAYUP by JOHNSON,BRYSON(in the paint)",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
07:11,"MISS 3PTR by LINK,JACOB",,,,,,,"MISS 3PTR by LINK,JACOB",1
--,,,,,"REBOUND DEF by WHEELER,COLEMAN",,,"REBOUND DEF by WHEELER,COLEMAN",1
07:02,,15,,28 (+13),"GOOD LAYUP by BOWMAN,ETHAN(in the paint)",Ozarks 15-28 (-13),,"GOOD LAYUP by BOWMAN,ETHAN(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,BRYSON",,,"ASSIST  by JOHNSON,BRYSON",1
06:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:35,"MISS 3PTR by FITCH,CARL",,,,,,,"MISS 3PTR by FITCH,CARL",1
--,,,,,"REBOUND DEF by DAVIS,JACOBE",,,"REBOUND DEF by DAVIS,JACOBE",1
06:26,"FOUL  by CUMMINGS II,ROD",,,,,,,"FOUL  by CUMMINGS II,ROD",1
06:26,,,,,"MISS FT by DAVIS,JACOBE",,,"MISS FT by DAVIS,JACOBE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:26,,,,,"SUB OUT by WHEELER,COLEMAN",,,"SUB OUT by WHEELER,COLEMAN",1
06:26,,,,,"SUB IN by TURPIN,TIM",,,"SUB IN by TURPIN,TIM",1
06:26,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
06:26,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",1
06:26,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",1
06:26,"SUB IN by MOORE,AUSTIN",,,,,,,"SUB IN by MOORE,AUSTIN",1
06:26,,15,,29 (+14),"GOOD FT by DAVIS,JACOBE",Ozarks 15-29 (-14),,"GOOD FT by DAVIS,JACOBE",1
06:17,,,,,"FOUL  by DAVIS,JACOBE(in the paint)",,,"FOUL  by DAVIS,JACOBE(in the paint)",1
06:09,"GOOD FT by STANLEY,SETH",16,,29 (+13),,Hendri 16-29 (-13),,"GOOD FT by STANLEY,SETH",1
06:09,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",1
--,"REBOUND OFF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND OFF by CARTWRIGHT,BROOKS",1
05:52,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by TURPIN,TIM",,,"REBOUND DEF by TURPIN,TIM",1
05:30,,,,,"MISS 3PTR by BOWMAN,ETHAN",,,"MISS 3PTR by BOWMAN,ETHAN",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
05:20,,,,,"FOUL  by TURPIN,TIM",,,"FOUL  by TURPIN,TIM",1
05:09,,,,,"FOUL  by TURPIN,TIM",,,"FOUL  by TURPIN,TIM",1
05:00,"GOOD FT by FITCH,CARL",17,,29 (+12),,Hendri 17-29 (-12),,"GOOD FT by FITCH,CARL",1
05:00,,,,,"SUB OUT by TURPIN,TIM",,,"SUB OUT by TURPIN,TIM",1
05:00,,,,,"SUB IN by WILHELM,CORY",,,"SUB IN by WILHELM,CORY",1
05:00,"GOOD FT by FITCH,CARL",18,,29 (+11),,Hendri 18-29 (-11),,"GOOD FT by FITCH,CARL",1
04:41,,18,,31 (+13),"GOOD LAYUP by BOWMAN,ETHAN(in the paint)",Ozarks 18-31 (-13),,"GOOD LAYUP by BOWMAN,ETHAN(in the paint)",1
04:11,"MISS JUMPER by FITCH,CARL(in the paint)",,,,,,,"MISS JUMPER by FITCH,CARL(in the paint)",1
--,,,,,"REBOUND DEF by WINSTON,CORDY",,,"REBOUND DEF by WINSTON,CORDY",1
04:03,,,,,"SUB OUT by DAVIS,JACOBE",,,"SUB OUT by DAVIS,JACOBE",1
04:03,,,,,"SUB IN by WINSTON,CORDY",,,"SUB IN by WINSTON,CORDY",1
04:03,"FOUL  by CARTWRIGHT,BROOKS(in the paint)",,,,,,,"FOUL  by CARTWRIGHT,BROOKS(in the paint)",1
04:03,,18,,32 (+14),"GOOD FT by WINSTON,CORDY(fastbreak)",Ozarks 18-32 (-14),,"GOOD FT by WINSTON,CORDY(fastbreak)",1
04:03,,18,,33 (+15),"GOOD FT by WINSTON,CORDY(fastbreak)",Ozarks 18-33 (-15),,"GOOD FT by WINSTON,CORDY(fastbreak)",1
04:03,"GOOD 3PTR by CARTWRIGHT,BROOKS",21,,33 (+12),,Hendri 21-33 (-12),,"GOOD 3PTR by CARTWRIGHT,BROOKS",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
03:38,,,,,"SUB OUT by BOBO,ZACH",,,"SUB OUT by BOBO,ZACH",1
03:38,,,,,"SUB OUT by BOWMAN,ETHAN",,,"SUB OUT by BOWMAN,ETHAN",1
03:38,,,,,"SUB IN by DAVIS,JACOBE",,,"SUB IN by DAVIS,JACOBE",1
03:38,,,,,"SUB IN by RENELIQUE,DARNEL",,,"SUB IN by RENELIQUE,DARNEL",1
03:38,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
03:38,,,,,"MISS FT by DAVIS,JACOBE",,,"MISS FT by DAVIS,JACOBE",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
03:23,"GOOD LAYUP by LINK,JACOB(in the paint)",23,,33 (+10),,Hendri 23-33 (-10),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
03:05,,,,,"MISS JUMPER by DAVIS,JACOBE",,,"MISS JUMPER by DAVIS,JACOBE",1
--,"REBOUND DEF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
02:56,"GOOD LAYUP by STANLEY,SETH",25,,33 (+8),,Hendri 25-33 (-8),,"GOOD LAYUP by STANLEY,SETH",1
--,"ASSIST  by CARTWRIGHT,BROOKS",,,,,,,"ASSIST  by CARTWRIGHT,BROOKS",1
02:20,,,,,"FOUL  by DAVIS,JACOBE",,,"FOUL  by DAVIS,JACOBE",1
02:20,"SUB OUT by MOORE,AUSTIN",,,,,,,"SUB OUT by MOORE,AUSTIN",1
02:20,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
02:20,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
02:20,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",1
02:12,"GOOD LAYUP by LINK,JACOB",27,,33 (+6),,Hendri 27-33 (-6),,"GOOD LAYUP by LINK,JACOB",1
01:56,,,,,"SUB OUT by DAVIS,JACOBE",,,"SUB OUT by DAVIS,JACOBE",1
01:56,,,,,"SUB OUT by WILHELM,CORY",,,"SUB OUT by WILHELM,CORY",1
01:56,,,,,"SUB IN by BOBO,ZACH",,,"SUB IN by BOBO,ZACH",1
01:56,,,,,"SUB IN by BOWMAN,ETHAN",,,"SUB IN by BOWMAN,ETHAN",1
01:55,,27,,36 (+9),"GOOD 3PTR by JOHNSON,BRYSON",Ozarks 27-36 (-9),,"GOOD 3PTR by JOHNSON,BRYSON",1
--,,,,,"ASSIST  by BOBO,ZACH",,,"ASSIST  by BOBO,ZACH",1
01:55,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:43,"MISS 3PTR by CRAWFORD,TRACE",,,,,,,"MISS 3PTR by CRAWFORD,TRACE",1
--,,,,,"REBOUND DEF by BOBO,ZACH",,,"REBOUND DEF by BOBO,ZACH",1
01:35,,,,,"MISS JUMPER by WINSTON,CORDY",,,"MISS JUMPER by WINSTON,CORDY",1
--,"REBOUND DEF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
01:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:46,"TURNOVER  by CARTWRIGHT,BROOKS",,,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",1
00:24,,,,,"FOUL  by RENELIQUE,DARNEL",,,"FOUL  by RENELIQUE,DARNEL",1
19:46,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",2
--,,,,,"REBOUND DEF by DAVIS,JACOBE",,,"REBOUND DEF by DAVIS,JACOBE",2
19:23,,,,,"TURNOVER  by JOHNSON,BRYSON",,,"TURNOVER  by JOHNSON,BRYSON",2
19:10,,,,,"SUB OUT by WINSTON,CORDY",,,"SUB OUT by WINSTON,CORDY",2
19:10,,,,,"SUB IN by DAVIS,JACOBE",,,"SUB IN by DAVIS,JACOBE",2
18:57,"MISS 3PTR by CUMMINGS II,ROD",,,,,,,"MISS 3PTR by CUMMINGS II,ROD",2
--,"REBOUND OFF by CUMMINGS II,ROD",,,,,,,"REBOUND OFF by CUMMINGS II,ROD",2
18:37,"GOOD JUMPER by STANLEY,SETH",29,,36 (+7),,Hendri 29-36 (-7),,"GOOD JUMPER by STANLEY,SETH",2
18:15,,,,,"FOUL  by BOWMAN,ETHAN",,,"FOUL  by BOWMAN,ETHAN",2
17:47,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND DEF by BOBO,ZACH",,,"REBOUND DEF by BOBO,ZACH",2
17:38,,29,,38 (+9),"GOOD JUMPER by DAVIS,JACOBE(in the paint)",Ozarks 29-38 (-9),,"GOOD JUMPER by DAVIS,JACOBE(in the paint)",2
17:18,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",2
17:02,,,,,"FOUL  by BOBO,ZACH(in the paint)",,,"FOUL  by BOBO,ZACH(in the paint)",2
17:02,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",2
17:02,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
17:02,"GOOD FT by FITCH,CARL",30,,38 (+8),,Hendri 30-38 (-8),,"GOOD FT by FITCH,CARL",2
17:02,"MISS FT by FITCH,CARL",,,,,,,"MISS FT by FITCH,CARL",2
--,,,,,"REBOUND DEF by BOBO,ZACH",,,"REBOUND DEF by BOBO,ZACH",2
17:02,,30,,40 (+10),"GOOD LAYUP by BOBO,ZACH",Ozarks 30-40 (-10),,"GOOD LAYUP by BOBO,ZACH",2
17:02,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",2
16:49,,,,,"TURNOVER  by DAVIS,JACOBE",,,"TURNOVER  by DAVIS,JACOBE",2
16:28,"GOOD LAYUP by FITCH,CARL",32,,40 (+8),,Hendri 32-40 (-8),,"GOOD LAYUP by FITCH,CARL",2
16:12,,32,,43 (+11),"GOOD 3PTR by JOHNSON,BRYSON",Ozarks 32-43 (-11),,"GOOD 3PTR by JOHNSON,BRYSON",2
--,,,,,"ASSIST  by BOWMAN,ETHAN",,,"ASSIST  by BOWMAN,ETHAN",2
15:49,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",2
15:49,,,,,"STEAL  by HELZER,JAMES",,,"STEAL  by HELZER,JAMES",2
15:32,,32,,46 (+14),"GOOD 3PTR by BOWMAN,ETHAN",Ozarks 32-46 (-14),,"GOOD 3PTR by BOWMAN,ETHAN",2
--,,,,,"ASSIST  by DAVIS,JACOBE",,,"ASSIST  by DAVIS,JACOBE",2
15:18,,,,,"SUB OUT by JOHNSON,BRYSON",,,"SUB OUT by JOHNSON,BRYSON",2
15:18,,,,,"SUB OUT by RENELIQUE,DARNEL",,,"SUB OUT by RENELIQUE,DARNEL",2
15:18,,,,,"SUB IN by WINSTON,CORDY",,,"SUB IN by WINSTON,CORDY",2
15:18,,,,,"SUB IN by HELZER,JAMES",,,"SUB IN by HELZER,JAMES",2
15:18,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",2
15:18,"SUB IN by CUMMINGS II,ROD",,,,,,,"SUB IN by CUMMINGS II,ROD",2
15:18,"MISS LAYUP by COMAN,SEAN(in the paint)",,,,,,,"MISS LAYUP by COMAN,SEAN(in the paint)",2
--,,,,,"REBOUND DEF by WINSTON,CORDY",,,"REBOUND DEF by WINSTON,CORDY",2
15:18,,32,,48 (+16),"GOOD LAYUP by BOBO,ZACH",Ozarks 32-48 (-16),,"GOOD LAYUP by BOBO,ZACH",2
15:12,"TURNOVER  by CUMMINGS II,ROD",,,,,,,"TURNOVER  by CUMMINGS II,ROD",2
14:45,,,,,"MISS 3PTR by WINSTON,CORDY",,,"MISS 3PTR by WINSTON,CORDY",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
14:37,"MISS LAYUP by LINK,JACOB(in the paint)",,,,,,,"MISS LAYUP by LINK,JACOB(in the paint)",2
--,,,,,"REBOUND DEF by BOBO,ZACH",,,"REBOUND DEF by BOBO,ZACH",2
14:04,,,,,"FOUL  by WINSTON,CORDY",,,"FOUL  by WINSTON,CORDY",2
14:04,,,,,"TURNOVER  by WINSTON,CORDY",,,"TURNOVER  by WINSTON,CORDY",2
13:48,"GOOD 3PTR by STANLEY,SETH",35,,48 (+13),,Hendri 35-48 (-13),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",2
13:35,,,,,"TURNOVER  by DAVIS,JACOBE",,,"TURNOVER  by DAVIS,JACOBE",2
13:35,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",2
13:17,,,,,"FOUL  by HELZER,JAMES",,,"FOUL  by HELZER,JAMES",2
