Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
16:39,"GOOD JUMPER by BRUMBAUGH,LUKE(in the paint)",12 (+4),,8,,ACM 12-8 (-4),,"GOOD JUMPER by BRUMBAUGH,LUKE(in the paint)",1
--,"ASSIST  by HOLLAND,MICHAEL",,,,,,,"ASSIST  by HOLLAND,MICHAEL",1
16:12,,12 (+2),,10,"GOOD JUMPER by LINK,JACOB",HENDRIXM 12-10 (-2),,"GOOD JUMPER by LINK,JACOB",1
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",1
16:02,"MISS JUMPER by BRUMBAUGH,LUKE",,,,,,,"MISS JUMPER by BRUMBAUGH,LUKE",1
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",1
15:44,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",1
15:31,,12,,12,"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIXM 12-12 (0),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
15:10,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
15:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
13:47,"GOOD FT by STRICKLAND,ROMAN",13 (+1),,12,,ACM 13-12 (-1),,"GOOD FT by STRICKLAND,ROMAN",1
13:46,"MISS FT by STRICKLAND,ROMAN",,,,,,,"MISS FT by STRICKLAND,ROMAN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
13:37,,13,,15 (+2),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 13-15 (+2),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
13:32,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",1
13:32,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
13:20,"TURNOVER  by HOGAN,KAM",,,,,,,"TURNOVER  by HOGAN,KAM",1
13:19,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
13:17,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:14,"SUB IN by HOLLAND,MICHAEL",,,,,,,"SUB IN by HOLLAND,MICHAEL",1
13:14,"SUB IN by DICK,TRISTAN",,,,,,,"SUB IN by DICK,TRISTAN",1
13:14,"SUB IN by GOODMAN,CHANSTON",,,,,,,"SUB IN by GOODMAN,CHANSTON",1
13:14,"SUB IN by HOGAN,KAM",,,,,,,"SUB IN by HOGAN,KAM",1
13:14,"SUB IN by PATIN,JAKE",,,,,,,"SUB IN by PATIN,JAKE",1
13:14,"SUB OUT by BRUMBAUGH,LUKE",,,,,,,"SUB OUT by BRUMBAUGH,LUKE",1
13:14,"SUB OUT by CLEAMONS,JAYLYN",,,,,,,"SUB OUT by CLEAMONS,JAYLYN",1
13:14,"SUB OUT by HILL,KAMERON",,,,,,,"SUB OUT by HILL,KAMERON",1
13:14,"SUB OUT by STRICKLAND,ROMAN",,,,,,,"SUB OUT by STRICKLAND,ROMAN",1
13:14,"SUB OUT by MERCADEL,JUSTICE",,,,,,,"SUB OUT by MERCADEL,JUSTICE",1
13:14,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
13:14,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",1
13:14,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
13:14,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
13:04,"MISS JUMPER by HOGAN,KAM",,,,,,,"MISS JUMPER by HOGAN,KAM",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
12:51,,13,,17 (+4),"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIXM 13-17 (+4),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
12:33,"GOOD JUMPER by GOODMAN,CHANSTON",15,,17 (+2),,ACM 15-17 (+2),,"GOOD JUMPER by GOODMAN,CHANSTON",1
12:11,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
12:11,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:50,"GOOD 3PTR by GOODMAN,CHANSTON",18 (+1),,17,,ACM 18-17 (-1),,"GOOD 3PTR by GOODMAN,CHANSTON",1
--,"ASSIST  by HOGAN,KAM",,,,,,,"ASSIST  by HOGAN,KAM",1
11:15,,18,,19 (+1),"GOOD JUMPER by STANLEY,SETH",HENDRIXM 18-19 (+1),,"GOOD JUMPER by STANLEY,SETH",1
11:00,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
11:00,"MISS FT by PATIN,JAKE",,,,,,,"MISS FT by PATIN,JAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:00,"GOOD FT by PATIN,JAKE",19,,19,,ACM 19-19 (0),,"GOOD FT by PATIN,JAKE",1
11:00,"SUB IN by STRICKLAND,ROMAN",,,,,,,"SUB IN by STRICKLAND,ROMAN",1
11:00,"SUB OUT by HOLLAND,MICHAEL",,,,,,,"SUB OUT by HOLLAND,MICHAEL",1
11:00,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
11:00,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
10:49,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
10:48,"STEAL  by DICK,TRISTAN",,,,,,,"STEAL  by DICK,TRISTAN",1
10:44,"GOOD LAYUP by HOGAN,KAM(fastbreak)(in the paint)",21 (+2),,19,,ACM 21-19 (-2),,"GOOD LAYUP by HOGAN,KAM(fastbreak)(in the paint)",1
10:20,"FOUL  by STRICKLAND,ROMAN",,,,,,,"FOUL  by STRICKLAND,ROMAN",1
10:20,,21 (+1),,20,"GOOD FT by STANLEY,SETH",HENDRIXM 21-20 (-1),,"GOOD FT by STANLEY,SETH",1
10:20,,21,,21,"GOOD FT by STANLEY,SETH",HENDRIXM 21-21 (0),,"GOOD FT by STANLEY,SETH",1
10:20,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
10:20,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
10:20,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
10:20,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
09:43,"GOOD LAYUP by HOGAN,KAM(in the paint)",23 (+2),,21,,ACM 23-21 (-2),,"GOOD LAYUP by HOGAN,KAM(in the paint)",1
09:14,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",1
09:12,"STEAL  by HOGAN,KAM",,,,,,,"STEAL  by HOGAN,KAM",1
09:09,"GOOD DUNK by STRICKLAND,ROMAN(fastbreak)(in the paint)",25 (+4),,21,,ACM 25-21 (-4),,"GOOD DUNK by STRICKLAND,ROMAN(fastbreak)(in the paint)",1
--,"ASSIST  by HOGAN,KAM",,,,,,,"ASSIST  by HOGAN,KAM",1
08:50,,,,,"TURNOVER  by MOORE,AUSTIN",,,"TURNOVER  by MOORE,AUSTIN",1
08:49,"STEAL  by DICK,TRISTAN",,,,,,,"STEAL  by DICK,TRISTAN",1
08:46,"GOOD DUNK by DICK,TRISTAN(fastbreak)(in the paint)",27 (+6),,21,,ACM 27-21 (-6),,"GOOD DUNK by DICK,TRISTAN(fastbreak)(in the paint)",1
08:44,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:21,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
07:54,"MISS JUMPER by HOGAN,KAM",,,,,,,"MISS JUMPER by HOGAN,KAM",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
07:39,"FOUL  by DICK,TRISTAN",,,,,,,"FOUL  by DICK,TRISTAN",1
07:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:35,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
07:16,"TURNOVER  by BRUMBAUGH,LUKE",,,,,,,"TURNOVER  by BRUMBAUGH,LUKE",1
07:15,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
07:12,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
07:11,"STEAL  by HOLLAND,MICHAEL",,,,,,,"STEAL  by HOLLAND,MICHAEL",1
07:02,"MISS JUMPER by HOLLAND,MICHAEL",,,,,,,"MISS JUMPER by HOLLAND,MICHAEL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:02,"MISS JUMPER by HOLLAND,MICHAEL",,,,,,,"MISS JUMPER by HOLLAND,MICHAEL",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
06:52,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",1
06:37,"GOOD 3PTR by STRICKLAND,ROMAN",30 (+9),,21,,ACM 30-21 (-9),,"GOOD 3PTR by STRICKLAND,ROMAN",1
06:11,,30 (+6),,24,"GOOD 3PTR by LINK,JACOB",HENDRIXM 30-24 (-6),,"GOOD 3PTR by LINK,JACOB",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
05:51,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",32 (+8),,24,,ACM 32-24 (-8),,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",1
--,"ASSIST  by BRUMBAUGH,LUKE",,,,,,,"ASSIST  by BRUMBAUGH,LUKE",1
05:31,"FOUL  by STRICKLAND,ROMAN",,,,,,,"FOUL  by STRICKLAND,ROMAN",1
05:23,,32 (+6),,26,"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 32-26 (-6),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
05:23,"FOUL  by STRICKLAND,ROMAN",,,,,,,"FOUL  by STRICKLAND,ROMAN",1
05:23,,32 (+5),,27,"GOOD FT by STANLEY,SETH",HENDRIXM 32-27 (-5),,"GOOD FT by STANLEY,SETH",1
05:23,"MISS JUMPER by HOLLAND,MICHAEL",,,,,,,"MISS JUMPER by HOLLAND,MICHAEL",1
--,"REBOUND OFF by CLEAMONS,JAYLYN",,,,,,,"REBOUND OFF by CLEAMONS,JAYLYN",1
05:23,"TURNOVER  by CLEAMONS,JAYLYN",,,,,,,"TURNOVER  by CLEAMONS,JAYLYN",1
05:02,"BLOCK  by MERCADEL,JUSTICE",,,,,,,"BLOCK  by MERCADEL,JUSTICE",1
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",1
04:48,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",1
04:48,"GOOD FT by HOLLAND,MICHAEL",33 (+6),,27,,ACM 33-27 (-6),,"GOOD FT by HOLLAND,MICHAEL",1
04:48,"GOOD FT by HOLLAND,MICHAEL",34 (+7),,27,,ACM 34-27 (-7),,"GOOD FT by HOLLAND,MICHAEL",1
04:48,"SUB IN by BRUMBAUGH,LUKE",,,,,,,"SUB IN by BRUMBAUGH,LUKE",1
04:48,"SUB OUT by PATIN,JAKE",,,,,,,"SUB OUT by PATIN,JAKE",1
04:48,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
04:48,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
04:48,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",1
04:48,,,,,"SUB OUT by MOORE,AUSTIN",,,"SUB OUT by MOORE,AUSTIN",1
04:17,"FOUL  by CLEAMONS,JAYLYN",,,,,,,"FOUL  by CLEAMONS,JAYLYN",1
04:16,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:55,,34 (+6),,28,"GOOD FT by FITCH,CARL",HENDRIXM 34-28 (-6),,"GOOD FT by FITCH,CARL",1
03:55,,34 (+5),,29,"GOOD FT by FITCH,CARL",HENDRIXM 34-29 (-5),,"GOOD FT by FITCH,CARL",1
03:55,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",1
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",1
03:34,"MISS 3PTR by HILL,KAMERON",,,,,,,"MISS 3PTR by HILL,KAMERON",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
03:27,,34 (+3),,31,"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 34-31 (-3),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
03:05,,34,,34,"GOOD 3PTR by CARTWRIGHT,BROOKS",HENDRIXM 34-34 (0),,"GOOD 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
02:48,"MISS LAYUP by MERCADEL,JUSTICE",,,,,,,"MISS LAYUP by MERCADEL,JUSTICE",1
--,"REBOUND OFF by HOLLAND,MICHAEL",,,,,,,"REBOUND OFF by HOLLAND,MICHAEL",1
02:46,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
02:46,"GOOD FT by MERCADEL,JUSTICE",35 (+1),,34,,ACM 35-34 (-1),,"GOOD FT by MERCADEL,JUSTICE",1
02:46,"GOOD FT by MERCADEL,JUSTICE",36 (+2),,34,,ACM 36-34 (-2),,"GOOD FT by MERCADEL,JUSTICE",1
02:46,"SUB IN by MERCADEL,JUSTICE",,,,,,,"SUB IN by MERCADEL,JUSTICE",1
02:46,"SUB IN by HOLLAND,MICHAEL",,,,,,,"SUB IN by HOLLAND,MICHAEL",1
02:46,"SUB IN by PATIN,JAKE",,,,,,,"SUB IN by PATIN,JAKE",1
02:46,"SUB OUT by BRUMBAUGH,LUKE",,,,,,,"SUB OUT by BRUMBAUGH,LUKE",1
02:46,"SUB OUT by STRICKLAND,ROMAN",,,,,,,"SUB OUT by STRICKLAND,ROMAN",1
02:46,"SUB OUT by HOGAN,KAM",,,,,,,"SUB OUT by HOGAN,KAM",1
02:43,"SUB IN by HOGAN,KAM",,,,,,,"SUB IN by HOGAN,KAM",1
02:43,"SUB OUT by MERCADEL,JUSTICE",,,,,,,"SUB OUT by MERCADEL,JUSTICE",1
02:34,,36,,36,"GOOD DUNK by FITCH,CARL(in the paint)",HENDRIXM 36-36 (0),,"GOOD DUNK by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",1
02:18,"MISS JUMPER by DICK,TRISTAN",,,,,,,"MISS JUMPER by DICK,TRISTAN",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
02:13,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",1
02:10,,36,,38 (+2),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 36-38 (+2),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
00:54,"MISS JUMPER by HOGAN,KAM",,,,,,,"MISS JUMPER by HOGAN,KAM",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
00:51,"FOUL  by PATIN,JAKE",,,,,,,"FOUL  by PATIN,JAKE",1
00:48,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:48,,36,,39 (+3),"GOOD FT by CONRAD,ALEX",HENDRIXM 36-39 (+3),,"GOOD FT by CONRAD,ALEX",1
00:48,"SUB IN by BRUMBAUGH,LUKE",,,,,,,"SUB IN by BRUMBAUGH,LUKE",1
00:48,"SUB IN by MERCADEL,JUSTICE",,,,,,,"SUB IN by MERCADEL,JUSTICE",1
00:48,"SUB OUT by DICK,TRISTAN",,,,,,,"SUB OUT by DICK,TRISTAN",1
00:48,"SUB OUT by PATIN,JAKE",,,,,,,"SUB OUT by PATIN,JAKE",1
00:34,"GOOD 3PTR by GOODMAN,CHANSTON",39,,39,,ACM 39-39 (0),,"GOOD 3PTR by GOODMAN,CHANSTON",1
--,"ASSIST  by BRUMBAUGH,LUKE",,,,,,,"ASSIST  by BRUMBAUGH,LUKE",1
00:22,"FOUL  by GOODMAN,CHANSTON",,,,,,,"FOUL  by GOODMAN,CHANSTON",1
00:22,,39,,40 (+1),"GOOD FT by LINK,JACOB",HENDRIXM 39-40 (+1),,"GOOD FT by LINK,JACOB",1
00:22,,39,,41 (+2),"GOOD FT by LINK,JACOB",HENDRIXM 39-41 (+2),,"GOOD FT by LINK,JACOB",1
00:22,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
00:22,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",1
00:01,"MISS JUMPER by HOGAN,KAM",,,,,,,"MISS JUMPER by HOGAN,KAM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
20:00,"SUB IN by HOLLAND,MICHAEL",,,,,,,"SUB IN by HOLLAND,MICHAEL",2
20:00,"SUB OUT by STRICKLAND,ROMAN",,,,,,,"SUB OUT by STRICKLAND,ROMAN",2
19:41,"FOUL  by CLEAMONS,JAYLYN",,,,,,,"FOUL  by CLEAMONS,JAYLYN",2
19:34,"FOUL  by BRUMBAUGH,LUKE",,,,,,,"FOUL  by BRUMBAUGH,LUKE",2
19:34,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by CLEAMONS,JAYLYN",,,,,,,"REBOUND DEF by CLEAMONS,JAYLYN",2
19:24,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",41,,41,,ACM 41-41 (0),,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",2
--,"ASSIST  by CLEAMONS,JAYLYN",,,,,,,"ASSIST  by CLEAMONS,JAYLYN",2
19:14,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",2
19:14,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",2
19:05,"TURNOVER  by BRUMBAUGH,LUKE",,,,,,,"TURNOVER  by BRUMBAUGH,LUKE",2
18:21,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
18:20,"STEAL  by CLEAMONS,JAYLYN",,,,,,,"STEAL  by CLEAMONS,JAYLYN",2
18:07,"MISS JUMPER by MERCADEL,JUSTICE",,,,,,,"MISS JUMPER by MERCADEL,JUSTICE",2
18:07,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",2
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",2
17:59,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",2
17:48,"MISS JUMPER by BRUMBAUGH,LUKE",,,,,,,"MISS JUMPER by BRUMBAUGH,LUKE",2
--,"REBOUND OFF by HOLLAND,MICHAEL",,,,,,,"REBOUND OFF by HOLLAND,MICHAEL",2
17:45,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",43 (+2),,41,,ACM 43-41 (-2),,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",2
17:27,,43,,44 (+1),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 43-44 (+1),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",2
17:11,"MISS JUMPER by BRUMBAUGH,LUKE",,,,,,,"MISS JUMPER by BRUMBAUGH,LUKE",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
16:56,,43,,47 (+4),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 43-47 (+4),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",2
16:53,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:32,"GOOD 3PTR by STRICKLAND,ROMAN",46,,47 (+1),,ACM 46-47 (+1),,"GOOD 3PTR by STRICKLAND,ROMAN",2
--,"ASSIST  by KING,REX",,,,,,,"ASSIST  by KING,REX",2
15:47,"TURNOVER  by HOLLAND,MICHAEL",,,,,,,"TURNOVER  by HOLLAND,MICHAEL",2
15:47,"SUB IN by STRICKLAND,ROMAN",,,,,,,"SUB IN by STRICKLAND,ROMAN",2
15:47,"SUB IN by HOLLAND,MICHAEL",,,,,,,"SUB IN by HOLLAND,MICHAEL",2
15:47,"SUB IN by HOGAN,KAM",,,,,,,"SUB IN by HOGAN,KAM",2
15:47,"SUB OUT by CLEAMONS,JAYLYN",,,,,,,"SUB OUT by CLEAMONS,JAYLYN",2
15:47,"SUB OUT by MERCADEL,JUSTICE",,,,,,,"SUB OUT by MERCADEL,JUSTICE",2
15:47,"SUB OUT by HOLLAND,MICHAEL",,,,,,,"SUB OUT by HOLLAND,MICHAEL",2
15:45,,46,,49 (+3),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 46-49 (+3),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
15:22,"MISS 3PTR by HILL,KAMERON",,,,,,,"MISS 3PTR by HILL,KAMERON",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
15:08,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
15:04,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:45,"MISS JUMPER by HOGAN,KAM",,,,,,,"MISS JUMPER by HOGAN,KAM",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
14:36,,,,,"MISS 3PTR by II,ROD CUMMINGS",,,"MISS 3PTR by II,ROD CUMMINGS",2
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",2
14:29,"GOOD JUMPER by HOGAN,KAM(fastbreak)(in the paint)",48,,49 (+1),,ACM 48-49 (+1),,"GOOD JUMPER by HOGAN,KAM(fastbreak)(in the paint)",2
--,"ASSIST  by HOLLAND,MICHAEL",,,,,,,"ASSIST  by HOLLAND,MICHAEL",2
