Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,UAFS,Game Score,Team Indicator,Play,Period
14:11,,,,,"MISS FT by HALUMS,BRIAN",,,"MISS FT by HALUMS,BRIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:11,,11,,13 (+2),"GOOD FT by HALUMS,BRIAN",UAFS 11-13 (-2),,"GOOD FT by HALUMS,BRIAN",1
14:11,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
14:11,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
14:11,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
14:11,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
14:11,,,,,"SUB IN by ANDERSON,EVAN",,,"SUB IN by ANDERSON,EVAN",1
14:11,,,,,"SUB IN by SIVINS,MATISS",,,"SUB IN by SIVINS,MATISS",1
14:11,,,,,"SUB OUT by HALUMS,BRIAN",,,"SUB OUT by HALUMS,BRIAN",1
14:11,,,,,"SUB OUT by ROLLINS,CHRIS",,,"SUB OUT by ROLLINS,CHRIS",1
13:50,"GOOD LAYUP by CONRAD,ALEX(in the paint)",13,,13,,Hend 13-13 (0),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",1
13:31,,,,,"TURNOVER  by BOTCHWAY,CHARLES",,,"TURNOVER  by BOTCHWAY,CHARLES",1
13:19,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:01,,13,,15 (+2),"GOOD JUMPER by WILSON,MATTHEW",UAFS 13-15 (-2),,"GOOD JUMPER by WILSON,MATTHEW",1
--,,,,,"ASSIST  by ANDERSON,EVAN",,,"ASSIST  by ANDERSON,EVAN",1
12:46,"GOOD JUMPER by II,ROD CUMMINGS(in the paint)",15,,15,,Hend 15-15 (0),,"GOOD JUMPER by II,ROD CUMMINGS(in the paint)",1
12:27,,15,,17 (+2),"GOOD JUMPER by WILSON,MATTHEW",UAFS 15-17 (-2),,"GOOD JUMPER by WILSON,MATTHEW",1
--,,,,,"ASSIST  by ANDERSON,EVAN",,,"ASSIST  by ANDERSON,EVAN",1
12:03,,,,,"FOUL  by WILSON,MATTHEW",,,"FOUL  by WILSON,MATTHEW",1
12:03,"GOOD FT by EATON,JACK",16,,17 (+1),,Hend 16-17 (-1),,"GOOD FT by EATON,JACK",1
12:03,"GOOD FT by EATON,JACK",17,,17,,Hend 17-17 (0),,"GOOD FT by EATON,JACK",1
12:03,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",1
12:03,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
12:03,,,,,"SUB IN by HAWLEY,SETH",,,"SUB IN by HAWLEY,SETH",1
12:03,,,,,"SUB OUT by BOTCHWAY,CHARLES",,,"SUB OUT by BOTCHWAY,CHARLES",1
11:51,,,,,"MISS 3PTR by WILSON,MATTHEW",,,"MISS 3PTR by WILSON,MATTHEW",1
--,,,,,"REBOUND OFF by MORGAN,MATT",,,"REBOUND OFF by MORGAN,MATT",1
11:43,,17,,19 (+2),"GOOD LAYUP by SIVINS,MATISS(in the paint)",UAFS 17-19 (-2),,"GOOD LAYUP by SIVINS,MATISS(in the paint)",1
--,,,,,"ASSIST  by MORGAN,MATT",,,"ASSIST  by MORGAN,MATT",1
11:28,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",1
--,,,,,"REBOUND DEF by MORGAN,MATT",,,"REBOUND DEF by MORGAN,MATT",1
11:13,,,,,"MISS JUMPER by ANDERSON,EVAN",,,"MISS JUMPER by ANDERSON,EVAN",1
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",1
11:01,"MISS 3PTR by II,ROD CUMMINGS",,,,,,,"MISS 3PTR by II,ROD CUMMINGS",1
--,,,,,"REBOUND DEF by ANDERSON,EVAN",,,"REBOUND DEF by ANDERSON,EVAN",1
10:41,,,,,"MISS 3PTR by WILSON,MATTHEW",,,"MISS 3PTR by WILSON,MATTHEW",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
10:27,"GOOD LAYUP by CONRAD,ALEX(in the paint)",19,,19,,Hend 19-19 (0),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
09:55,,,,,"MISS LAYUP by SIVINS,MATISS",,,"MISS LAYUP by SIVINS,MATISS",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
09:45,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by HAWLEY,SETH",,,"REBOUND DEF by HAWLEY,SETH",1
09:23,,,,,"FOUL  by MORGAN,MATT",,,"FOUL  by MORGAN,MATT",1
09:23,,,,,"TURNOVER  by MORGAN,MATT",,,"TURNOVER  by MORGAN,MATT",1
09:23,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
09:23,"SUB IN by PHILLIP,ADAM",,,,,,,"SUB IN by PHILLIP,ADAM",1
09:23,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",1
09:23,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
09:23,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",1
09:23,,,,,"SUB IN by BOYER,BRADEN",,,"SUB IN by BOYER,BRADEN",1
09:23,,,,,"SUB IN by ROLLINS,CHRIS",,,"SUB IN by ROLLINS,CHRIS",1
09:23,,,,,"SUB IN by MCELRATH,DARYL",,,"SUB IN by MCELRATH,DARYL",1
09:23,,,,,"SUB OUT by SIVINS,MATISS",,,"SUB OUT by SIVINS,MATISS",1
09:23,,,,,"SUB OUT by MORGAN,MATT",,,"SUB OUT by MORGAN,MATT",1
09:23,,,,,"SUB OUT by WILSON,MATTHEW",,,"SUB OUT by WILSON,MATTHEW",1
08:54,"MISS 3PTR by CARTWRIGHT,BROOKS",,,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"REBOUND DEF by HAWLEY,SETH",,,"REBOUND DEF by HAWLEY,SETH",1
08:31,,,,,"MISS 3PTR by HAWLEY,SETH",,,"MISS 3PTR by HAWLEY,SETH",1
--,,,,,"REBOUND OFF by MCELRATH,DARYL",,,"REBOUND OFF by MCELRATH,DARYL",1
08:25,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
08:25,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
08:13,,19,,21 (+2),"GOOD JUMPER by HAWLEY,SETH",UAFS 19-21 (-2),,"GOOD JUMPER by HAWLEY,SETH",1
--,,,,,"ASSIST  by MCELRATH,DARYL",,,"ASSIST  by MCELRATH,DARYL",1
07:55,"TURNOVER  by PHILLIP,ADAM",,,,,,,"TURNOVER  by PHILLIP,ADAM",1
07:55,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:55,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
07:55,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
07:38,,,,,"MISS JUMPER by HAWLEY,SETH",,,"MISS JUMPER by HAWLEY,SETH",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
07:24,"MISS 3PTR by CRAWFORD,TRACE",,,,,,,"MISS 3PTR by CRAWFORD,TRACE",1
--,,,,,"REBOUND DEF by ANDERSON,EVAN",,,"REBOUND DEF by ANDERSON,EVAN",1
07:06,,19,,23 (+4),"GOOD LAYUP by HAWLEY,SETH(in the paint)",UAFS 19-23 (-4),,"GOOD LAYUP by HAWLEY,SETH(in the paint)",1
--,,,,,"ASSIST  by MCELRATH,DARYL",,,"ASSIST  by MCELRATH,DARYL",1
07:06,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
07:06,,,,,"MISS FT by HAWLEY,SETH",,,"MISS FT by HAWLEY,SETH",1
--,,,,,"REBOUND OFF by ROLLINS,CHRIS",,,"REBOUND OFF by ROLLINS,CHRIS",1
07:06,,,,,"MISS LAYUP by ROLLINS,CHRIS",,,"MISS LAYUP by ROLLINS,CHRIS",1
07:06,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
07:06,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
--,"REBOUND DEF by PHILLIP,ADAM",,,,,,,"REBOUND DEF by PHILLIP,ADAM",1
06:48,"MISS JUMPER by PHILLIP,ADAM",,,,,,,"MISS JUMPER by PHILLIP,ADAM",1
--,,,,,"REBOUND DEF by ROLLINS,CHRIS",,,"REBOUND DEF by ROLLINS,CHRIS",1
06:32,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
06:32,,,,,"MISS FT by BOYER,BRADEN",,,"MISS FT by BOYER,BRADEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:32,,,,,"MISS FT by BOYER,BRADEN",,,"MISS FT by BOYER,BRADEN",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
06:32,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
06:32,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",1
06:32,,,,,"SUB IN by BOTCHWAY,CHARLES",,,"SUB IN by BOTCHWAY,CHARLES",1
06:32,,,,,"SUB IN by WILSON,MATTHEW",,,"SUB IN by WILSON,MATTHEW",1
06:32,,,,,"SUB OUT by ANDERSON,EVAN",,,"SUB OUT by ANDERSON,EVAN",1
06:32,,,,,"SUB OUT by MCELRATH,DARYL",,,"SUB OUT by MCELRATH,DARYL",1
06:26,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",1
--,,,,,"REBOUND DEF by WILSON,MATTHEW",,,"REBOUND DEF by WILSON,MATTHEW",1
06:15,,19,,25 (+6),"GOOD LAYUP by BOYER,BRADEN(in the paint)",UAFS 19-25 (-6),,"GOOD LAYUP by BOYER,BRADEN(in the paint)",1
--,,,,,"ASSIST  by HAWLEY,SETH",,,"ASSIST  by HAWLEY,SETH",1
05:56,"MISS 3PTR by LINK,JACOB",,,,,,,"MISS 3PTR by LINK,JACOB",1
--,,,,,"REBOUND DEF by WILSON,MATTHEW",,,"REBOUND DEF by WILSON,MATTHEW",1
05:39,,,,,"TURNOVER  by BOTCHWAY,CHARLES",,,"TURNOVER  by BOTCHWAY,CHARLES",1
05:39,"STEAL  by CARTWRIGHT,BROOKS",,,,,,,"STEAL  by CARTWRIGHT,BROOKS",1
05:39,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
05:39,"SUB IN by II,ROD CUMMINGS",,,,,,,"SUB IN by II,ROD CUMMINGS",1
05:39,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
05:39,"SUB OUT by PHILLIP,ADAM",,,,,,,"SUB OUT by PHILLIP,ADAM",1
05:39,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
05:39,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",1
05:39,,,,,"SUB IN by SIVINS,MATISS",,,"SUB IN by SIVINS,MATISS",1
05:39,,,,,"SUB OUT by ROLLINS,CHRIS",,,"SUB OUT by ROLLINS,CHRIS",1
05:28,"GOOD LAYUP by STANLEY,SETH(in the paint)",21,,25 (+4),,Hend 21-25 (-4),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
--,"ASSIST  by II,ROD CUMMINGS",,,,,,,"ASSIST  by II,ROD CUMMINGS",1
05:15,,,,,"TURNOVER  by WILSON,MATTHEW",,,"TURNOVER  by WILSON,MATTHEW",1
05:15,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",1
05:06,"GOOD 3PTR by COMAN,SEAN",24,,25 (+1),,Hend 24-25 (-1),,"GOOD 3PTR by COMAN,SEAN",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
04:42,,,,,"MISS JUMPER by WILSON,MATTHEW",,,"MISS JUMPER by WILSON,MATTHEW",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
04:33,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by BOTCHWAY,CHARLES",,,"REBOUND DEF by BOTCHWAY,CHARLES",1
04:26,,24,,27 (+3),"GOOD JUMPER by WILSON,MATTHEW(fastbreak)",UAFS 24-27 (-3),,"GOOD JUMPER by WILSON,MATTHEW(fastbreak)",1
--,,,,,"ASSIST  by BOTCHWAY,CHARLES",,,"ASSIST  by BOTCHWAY,CHARLES",1
04:09,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
04:09,,,,,"STEAL  by HAWLEY,SETH",,,"STEAL  by HAWLEY,SETH",1
04:03,,24,,29 (+5),"GOOD LAYUP by HAWLEY,SETH(fastbreak)(in the paint)",UAFS 24-29 (-5),,"GOOD LAYUP by HAWLEY,SETH(fastbreak)(in the paint)",1
03:45,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
03:45,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:45,,,,,"SUB IN by MORGAN,MATT",,,"SUB IN by MORGAN,MATT",1
03:45,,,,,"SUB OUT by BOYER,BRADEN",,,"SUB OUT by BOYER,BRADEN",1
03:36,,,,,"MISS 3PTR by WILSON,MATTHEW",,,"MISS 3PTR by WILSON,MATTHEW",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
03:20,"GOOD LAYUP by CONRAD,ALEX(in the paint)",26,,29 (+3),,Hend 26-29 (-3),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
02:55,,26,,32 (+6),"GOOD 3PTR by SIVINS,MATISS",UAFS 26-32 (-6),,"GOOD 3PTR by SIVINS,MATISS",1
--,,,,,"ASSIST  by WILSON,MATTHEW",,,"ASSIST  by WILSON,MATTHEW",1
02:31,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by SIVINS,MATISS",,,"REBOUND DEF by SIVINS,MATISS",1
02:19,,,,,"MISS JUMPER by WILSON,MATTHEW",,,"MISS JUMPER by WILSON,MATTHEW",1
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",1
02:09,,,,,"FOUL  by SIVINS,MATISS",,,"FOUL  by SIVINS,MATISS",1
02:07,"GOOD FT by STANLEY,SETH",27,,32 (+5),,Hend 27-32 (-5),,"GOOD FT by STANLEY,SETH",1
02:07,"GOOD FT by STANLEY,SETH",28,,32 (+4),,Hend 28-32 (-4),,"GOOD FT by STANLEY,SETH",1
02:07,"GOOD FT by STANLEY,SETH",29,,32 (+3),,Hend 29-32 (-3),,"GOOD FT by STANLEY,SETH",1
01:49,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
01:49,,29,,33 (+4),"GOOD FT by MORGAN,MATT",UAFS 29-33 (-4),,"GOOD FT by MORGAN,MATT",1
01:49,,,,,"MISS FT by MORGAN,MATT",,,"MISS FT by MORGAN,MATT",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
01:35,,,,,"FOUL  by SIVINS,MATISS",,,"FOUL  by SIVINS,MATISS",1
01:35,,,,,"SUB IN by ROLLINS,CHRIS",,,"SUB IN by ROLLINS,CHRIS",1
01:35,,,,,"SUB OUT by SIVINS,MATISS",,,"SUB OUT by SIVINS,MATISS",1
01:17,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by HAWLEY,SETH",,,"REBOUND DEF by HAWLEY,SETH",1
00:57,,,,,"TURNOVER  by HAWLEY,SETH",,,"TURNOVER  by HAWLEY,SETH",1
00:57,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",1
00:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:22,"GOOD LAYUP by CONRAD,ALEX(in the paint)",31,,33 (+2),,Hend 31-33 (-2),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",1
00:05,,,,,"MISS LAYUP by BOTCHWAY,CHARLES",,,"MISS LAYUP by BOTCHWAY,CHARLES",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:56,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
19:56,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",2
19:56,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
19:56,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
19:51,,31,,36 (+5),"GOOD 3PTR by WILSON,MATTHEW",UAFS 31-36 (-5),,"GOOD 3PTR by WILSON,MATTHEW",2
--,,,,,"ASSIST  by BOTCHWAY,CHARLES",,,"ASSIST  by BOTCHWAY,CHARLES",2
19:33,"GOOD 3PTR by STANLEY,SETH",34,,36 (+2),,Hend 34-36 (-2),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
19:11,,,,,"TURNOVER  by WILSON,MATTHEW",,,"TURNOVER  by WILSON,MATTHEW",2
19:11,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",2
19:00,"GOOD LAYUP by STANLEY,SETH(in the paint)",36,,36,,Hend 36-36 (0),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
18:28,,36,,38 (+2),"GOOD JUMPER by WILSON,MATTHEW",UAFS 36-38 (-2),,"GOOD JUMPER by WILSON,MATTHEW",2
18:14,"GOOD 3PTR by STANLEY,SETH",39 (+1),,38,,Hend 39-38 (+1),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",2
17:47,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
17:47,,39,,39,"GOOD FT by MORGAN,MATT",UAFS 39-39 (0),,"GOOD FT by MORGAN,MATT",2
17:47,,,,,"MISS FT by MORGAN,MATT",,,"MISS FT by MORGAN,MATT",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
17:47,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",2
17:47,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
17:25,"GOOD JUMPER by STANLEY,SETH",41 (+2),,39,,Hend 41-39 (+2),,"GOOD JUMPER by STANLEY,SETH",2
17:03,,,,,"MISS LAYUP by HAWLEY,SETH",,,"MISS LAYUP by HAWLEY,SETH",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
16:57,"GOOD 3PTR by COMAN,SEAN(fastbreak)",44 (+5),,39,,Hend 44-39 (+5),,"GOOD 3PTR by COMAN,SEAN(fastbreak)",2
--,"ASSIST  by II,ROD CUMMINGS",,,,,,,"ASSIST  by II,ROD CUMMINGS",2
16:35,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",2
16:35,,,,,"SUB IN by HALUMS,BRIAN",,,"SUB IN by HALUMS,BRIAN",2
16:35,,,,,"SUB OUT by HAWLEY,SETH",,,"SUB OUT by HAWLEY,SETH",2
16:29,,,,,"TURNOVER  by WILSON,MATTHEW",,,"TURNOVER  by WILSON,MATTHEW",2
16:16,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",2
16:16,,,,,"STEAL  by HALUMS,BRIAN",,,"STEAL  by HALUMS,BRIAN",2
16:11,,,,,"MISS 3PTR by WILSON,MATTHEW",,,"MISS 3PTR by WILSON,MATTHEW",2
--,,,,,"REBOUND OFF by MORGAN,MATT",,,"REBOUND OFF by MORGAN,MATT",2
16:05,,,,,"MISS LAYUP by ROLLINS,CHRIS",,,"MISS LAYUP by ROLLINS,CHRIS",2
--,,,,,"REBOUND OFF by MORGAN,MATT",,,"REBOUND OFF by MORGAN,MATT",2
15:59,,44 (+3),,41,"GOOD LAYUP by MORGAN,MATT(in the paint)",UAFS 44-41 (+3),,"GOOD LAYUP by MORGAN,MATT(in the paint)",2
15:50,"GOOD 3PTR by STANLEY,SETH",47 (+6),,41,,Hend 47-41 (+6),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
15:29,,,,,"MISS LAYUP by HALUMS,BRIAN",,,"MISS LAYUP by HALUMS,BRIAN",2
--,,,,,"REBOUND OFF by HALUMS,BRIAN",,,"REBOUND OFF by HALUMS,BRIAN",2
15:26,,47 (+4),,43,"GOOD LAYUP by HALUMS,BRIAN(in the paint)",UAFS 47-43 (+4),,"GOOD LAYUP by HALUMS,BRIAN(in the paint)",2
15:26,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
15:26,"SUB IN by MOORE,AUSTIN",,,,,,,"SUB IN by MOORE,AUSTIN",2
15:26,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
15:26,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",2
15:26,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
15:26,,,,,"SUB IN by ANDERSON,EVAN",,,"SUB IN by ANDERSON,EVAN",2
15:26,,,,,"SUB OUT by BOTCHWAY,CHARLES",,,"SUB OUT by BOTCHWAY,CHARLES",2
15:16,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND DEF by MORGAN,MATT",,,"REBOUND DEF by MORGAN,MATT",2
