Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by HARRIS,KEITH",,,,,,,"REBOUND DEF by HARRIS,KEITH",1
14:14,"MISS LAYUP by JACKSON,TYLER",,,,,,,"MISS LAYUP by JACKSON,TYLER",1
14:14,,,,,"BLOCK  by LINK,JACOB",,,"BLOCK  by LINK,JACOB",1
--,"REBOUND OFF by WILKERSON,CARLOS",,,,,,,"REBOUND OFF by WILKERSON,CARLOS",1
14:08,"GOOD 3PTR by PINKSTON,TRE",6,,10 (+4),,MUW 6-10 (+4),,"GOOD 3PTR by PINKSTON,TRE",1
--,"ASSIST  by WILKERSON,CARLOS",,,,,,,"ASSIST  by WILKERSON,CARLOS",1
13:40,"FOUL  by WILKERSON,CARLOS",,,,,,,"FOUL  by WILKERSON,CARLOS",1
13:40,"SUB IN by WILLIAMS,QUIN",,,,,,,"SUB IN by WILLIAMS,QUIN",1
13:40,"SUB IN by ZERADJANIN,MILOS",,,,,,,"SUB IN by ZERADJANIN,MILOS",1
13:40,"SUB OUT by WILKERSON,CARLOS",,,,,,,"SUB OUT by WILKERSON,CARLOS",1
13:40,"SUB OUT by PINKSTON,TRE",,,,,,,"SUB OUT by PINKSTON,TRE",1
13:40,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",1
13:40,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
13:36,"TURNOVER  by MOULTRIE,JONTE",,,,,,,"TURNOVER  by MOULTRIE,JONTE",1
13:20,"TURNOVER  by JACKSON,TYLER",,,,,,,"TURNOVER  by JACKSON,TYLER",1
13:20,,,,,"STEAL  by CARTWRIGHT,BROOKS",,,"STEAL  by CARTWRIGHT,BROOKS",1
13:17,,,,,"MISS LAYUP by CARTWRIGHT,BROOKS",,,"MISS LAYUP by CARTWRIGHT,BROOKS",1
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",1
13:13,,6,,12 (+6),"GOOD LAYUP by STANLEY,SETH(in the paint)",Hend 6-12 (+6),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
12:58,"MISS JUMPER by JACKSON,TYLER",,,,,,,"MISS JUMPER by JACKSON,TYLER",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
12:52,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by HARRIS,KEITH",,,,,,,"REBOUND DEF by HARRIS,KEITH",1
12:43,"TURNOVER  by HARRIS,KEITH",,,,,,,"TURNOVER  by HARRIS,KEITH",1
12:43,"SUB IN by KIMMONS,BRIEN",,,,,,,"SUB IN by KIMMONS,BRIEN",1
12:43,"SUB OUT by JACKSON,TYLER",,,,,,,"SUB OUT by JACKSON,TYLER",1
12:27,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND OFF by CARTWRIGHT,BROOKS",,,"REBOUND OFF by CARTWRIGHT,BROOKS",1
12:20,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
12:06,"MISS 3PTR by MOULTRIE,JONTE",,,,,,,"MISS 3PTR by MOULTRIE,JONTE",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
11:54,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",1
--,"REBOUND DEF by MOULTRIE,JONTE",,,,,,,"REBOUND DEF by MOULTRIE,JONTE",1
11:45,"MISS 3PTR by KIMMONS,BRIEN",,,,,,,"MISS 3PTR by KIMMONS,BRIEN",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
11:19,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",1
11:19,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
11:19,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:19,"SUB IN by JONES,TAVONTA",,,,,,,"SUB IN by JONES,TAVONTA",1
11:19,"SUB OUT by HARRIS,KEITH",,,,,,,"SUB OUT by HARRIS,KEITH",1
11:19,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
11:19,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
11:19,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
11:19,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
11:10,"MISS JUMPER by JONES,TAVONTA",,,,,,,"MISS JUMPER by JONES,TAVONTA",1
--,"REBOUND OFF by JONES,TAVONTA",,,,,,,"REBOUND OFF by JONES,TAVONTA",1
11:07,"MISS LAYUP by JONES,TAVONTA",,,,,,,"MISS LAYUP by JONES,TAVONTA",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
10:56,,6,,14 (+8),"GOOD JUMPER by EATON,JACK(in the paint)",Hend 6-14 (+8),,"GOOD JUMPER by EATON,JACK(in the paint)",1
10:34,"GOOD 3PTR by ZERADJANIN,MILOS",9,,14 (+5),,MUW 9-14 (+5),,"GOOD 3PTR by ZERADJANIN,MILOS",1
--,"ASSIST  by JONES,TAVONTA",,,,,,,"ASSIST  by JONES,TAVONTA",1
10:20,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
10:20,"STEAL  by MOULTRIE,JONTE",,,,,,,"STEAL  by MOULTRIE,JONTE",1
10:15,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
10:15,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
10:15,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
09:55,"MISS LAYUP by MOULTRIE,JONTE",,,,,,,"MISS LAYUP by MOULTRIE,JONTE",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
09:44,,9,,16 (+7),"GOOD JUMPER by LINK,JACOB(in the paint)",Hend 9-16 (+7),,"GOOD JUMPER by LINK,JACOB(in the paint)",1
09:28,"MISS 3PTR by ZERADJANIN,MILOS",,,,,,,"MISS 3PTR by ZERADJANIN,MILOS",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
09:12,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND DEF by MOULTRIE,JONTE",,,,,,,"REBOUND DEF by MOULTRIE,JONTE",1
08:59,"MISS 3PTR by MOULTRIE,JONTE",,,,,,,"MISS 3PTR by MOULTRIE,JONTE",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
08:49,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
08:49,"STEAL  by JONES,TAVONTA",,,,,,,"STEAL  by JONES,TAVONTA",1
08:45,"GOOD JUMPER by ZERADJANIN,MILOS(fastbreak)(in the paint)",11,,16 (+5),,MUW 11-16 (+5),,"GOOD JUMPER by ZERADJANIN,MILOS(fastbreak)(in the paint)",1
--,"ASSIST  by JONES,TAVONTA",,,,,,,"ASSIST  by JONES,TAVONTA",1
08:22,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",1
--,"REBOUND DEF by WILLIAMS,QUIN",,,,,,,"REBOUND DEF by WILLIAMS,QUIN",1
07:52,"MISS 3PTR by JONES,TAVONTA",,,,,,,"MISS 3PTR by JONES,TAVONTA",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
07:45,,11,,18 (+7),"GOOD LAYUP by PHILLIP,ADAM(fastbreak)(in the paint)",Hend 11-18 (+7),,"GOOD LAYUP by PHILLIP,ADAM(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
07:42,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:42,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:42,"SUB IN by WILKERSON,CARLOS",,,,,,,"SUB IN by WILKERSON,CARLOS",1
07:42,"SUB IN by HINES,JAQUAN",,,,,,,"SUB IN by HINES,JAQUAN",1
07:42,"SUB IN by PINKSTON,TRE",,,,,,,"SUB IN by PINKSTON,TRE",1
07:42,"SUB IN by HARRIS,KEITH",,,,,,,"SUB IN by HARRIS,KEITH",1
07:42,"SUB OUT by KIMMONS,BRIEN",,,,,,,"SUB OUT by KIMMONS,BRIEN",1
07:42,"SUB OUT by WILLIAMS,QUIN",,,,,,,"SUB OUT by WILLIAMS,QUIN",1
07:42,"SUB OUT by MOULTRIE,JONTE",,,,,,,"SUB OUT by MOULTRIE,JONTE",1
07:42,"SUB OUT by ZERADJANIN,MILOS",,,,,,,"SUB OUT by ZERADJANIN,MILOS",1
07:42,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
07:42,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
07:42,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
07:42,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
07:21,"MISS JUMPER by HARRIS,KEITH",,,,,,,"MISS JUMPER by HARRIS,KEITH",1
--,"REBOUND OFF by WILKERSON,CARLOS",,,,,,,"REBOUND OFF by WILKERSON,CARLOS",1
07:18,,,,,"FOUL  by CARTWRIGHT,BROOKS",,,"FOUL  by CARTWRIGHT,BROOKS",1
07:18,"MISS FT by WILKERSON,CARLOS",,,,,,,"MISS FT by WILKERSON,CARLOS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:18,"GOOD FT by WILKERSON,CARLOS",12,,18 (+6),,MUW 12-18 (+6),,"GOOD FT by WILKERSON,CARLOS",1
06:45,,,,,"MISS JUMPER by PHILLIP,ADAM",,,"MISS JUMPER by PHILLIP,ADAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:45,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
06:45,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
06:45,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",1
06:35,"GOOD 3PTR by PINKSTON,TRE",15,,18 (+3),,MUW 15-18 (+3),,"GOOD 3PTR by PINKSTON,TRE",1
06:11,"FOUL  by JONES,TAVONTA",,,,,,,"FOUL  by JONES,TAVONTA",1
05:58,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by HARRIS,KEITH",,,,,,,"REBOUND DEF by HARRIS,KEITH",1
05:50,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
05:50,"MISS FT by PINKSTON,TRE",,,,,,,"MISS FT by PINKSTON,TRE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:50,"GOOD FT by PINKSTON,TRE",16,,18 (+2),,MUW 16-18 (+2),,"GOOD FT by PINKSTON,TRE",1
05:39,"FOUL  by HARRIS,KEITH",,,,,,,"FOUL  by HARRIS,KEITH",1
05:39,,16,,19 (+3),"GOOD FT by STANLEY,SETH",Hend 16-19 (+3),,"GOOD FT by STANLEY,SETH",1
05:39,,16,,20 (+4),"GOOD FT by STANLEY,SETH",Hend 16-20 (+4),,"GOOD FT by STANLEY,SETH",1
