Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
00:45,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:45,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",2
00:45,"SUB IN by MOULTRIE,JONTE",,,,,,,"SUB IN by MOULTRIE,JONTE",2
00:45,"SUB OUT by HINES,JAQUAN",,,,,,,"SUB OUT by HINES,JAQUAN",2
--,"REBOUND DEF by MOULTRIE,JONTE",,,,,,,"REBOUND DEF by MOULTRIE,JONTE",2
00:37,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
00:37,"GOOD FT by JACKSON,TYLER",64,,68 (+4),,MUW 64-68 (+4),,"GOOD FT by JACKSON,TYLER",2
00:37,"MISS FT by JACKSON,TYLER",,,,,,,"MISS FT by JACKSON,TYLER",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
00:37,"SUB IN by KIMMONS,BRIEN",,,,,,,"SUB IN by KIMMONS,BRIEN",2
00:37,"SUB IN by WILLIAMS,QUIN",,,,,,,"SUB IN by WILLIAMS,QUIN",2
00:37,"SUB IN by HINES,JAQUAN",,,,,,,"SUB IN by HINES,JAQUAN",2
00:37,"SUB OUT by WILKERSON,CARLOS",,,,,,,"SUB OUT by WILKERSON,CARLOS",2
00:37,"SUB OUT by MOULTRIE,JONTE",,,,,,,"SUB OUT by MOULTRIE,JONTE",2
00:37,"SUB OUT by ZERADJANIN,MILOS",,,,,,,"SUB OUT by ZERADJANIN,MILOS",2
00:37,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",2
00:37,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
00:29,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:29,"FOUL  by WILLIAMS,QUIN",,,,,,,"FOUL  by WILLIAMS,QUIN",2
00:29,,64,,69 (+5),"GOOD FT by CARTWRIGHT,BROOKS",Hend 64-69 (+5),,"GOOD FT by CARTWRIGHT,BROOKS",2
00:29,,64,,70 (+6),"GOOD FT by CARTWRIGHT,BROOKS",Hend 64-70 (+6),,"GOOD FT by CARTWRIGHT,BROOKS",2
00:29,"SUB IN by MOULTRIE,JONTE",,,,,,,"SUB IN by MOULTRIE,JONTE",2
00:29,"SUB IN by ZERADJANIN,MILOS",,,,,,,"SUB IN by ZERADJANIN,MILOS",2
00:29,"SUB OUT by WILLIAMS,QUIN",,,,,,,"SUB OUT by WILLIAMS,QUIN",2
00:29,"SUB OUT by HINES,JAQUAN",,,,,,,"SUB OUT by HINES,JAQUAN",2
00:29,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
00:29,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",2
00:22,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
00:22,"GOOD FT by MOULTRIE,JONTE",65,,70 (+5),,MUW 65-70 (+5),,"GOOD FT by MOULTRIE,JONTE",2
00:22,"GOOD FT by MOULTRIE,JONTE",66,,70 (+4),,MUW 66-70 (+4),,"GOOD FT by MOULTRIE,JONTE",2
00:22,"SUB IN by HINES,JAQUAN",,,,,,,"SUB IN by HINES,JAQUAN",2
00:22,"SUB IN by WILKERSON,CARLOS",,,,,,,"SUB IN by WILKERSON,CARLOS",2
00:22,"SUB IN by WILLIAMS,QUIN",,,,,,,"SUB IN by WILLIAMS,QUIN",2
00:22,"SUB OUT by MOULTRIE,JONTE",,,,,,,"SUB OUT by MOULTRIE,JONTE",2
00:22,"SUB OUT by KIMMONS,BRIEN",,,,,,,"SUB OUT by KIMMONS,BRIEN",2
00:22,"SUB OUT by ZERADJANIN,MILOS",,,,,,,"SUB OUT by ZERADJANIN,MILOS",2
00:22,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",2
00:22,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
00:16,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
00:16,"STEAL  by PINKSTON,TRE",,,,,,,"STEAL  by PINKSTON,TRE",2
00:13,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:06,"MISS 3PTR by JACKSON,TYLER",,,,,,,"MISS 3PTR by JACKSON,TYLER",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
