Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by CARTWRIGHT,BROOKS",,,"REBOUND OFF by CARTWRIGHT,BROOKS",1
10:01,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
10:01,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:01,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
10:01,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
10:01,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
10:01,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
10:01,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
09:39,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
09:39,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
09:39,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
09:39,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
09:39,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
09:39,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
09:34,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",1
09:33,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",1
09:23,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
09:13,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
09:13,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
09:13,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
09:13,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
08:53,"MISS LAYUP by PURVIS,KC",,,,,,,"MISS LAYUP by PURVIS,KC",1
08:53,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
08:31,,,,,"MISS 3PTR by PHILLIP,ADAM",,,"MISS 3PTR by PHILLIP,ADAM",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
08:25,"GOOD JUMPER by AYERS,PERRY(fastbreak)(in the paint)",17 (+3),,14,,CENTRE 17-14 (-3),,"GOOD JUMPER by AYERS,PERRY(fastbreak)(in the paint)",1
07:57,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
07:51,"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",19 (+5),,14,,CENTRE 19-14 (-5),,"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",1
07:39,,19 (+2),,17,"GOOD 3PTR by COMAN,SEAN",HENDRIXM 19-17 (-2),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by CARTWRIGHT,BROOKS",,,"ASSIST  by CARTWRIGHT,BROOKS",1
07:35,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:35,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
07:35,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
07:28,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
07:10,,19,,19,"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 19-19 (0),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
06:47,"GOOD JUMPER by BATES,JACOB(in the paint)",21 (+2),,19,,CENTRE 21-19 (-2),,"GOOD JUMPER by BATES,JACOB(in the paint)",1
06:33,"FOUL  by SMITH,RJ",,,,,,,"FOUL  by SMITH,RJ",1
06:33,,21,,21,"GOOD JUMPER by COMAN,SEAN",HENDRIXM 21-21 (0),,"GOOD JUMPER by COMAN,SEAN",1
--,,,,,"ASSIST  by CARTWRIGHT,BROOKS",,,"ASSIST  by CARTWRIGHT,BROOKS",1
06:11,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
06:04,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
06:04,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
06:04,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
06:04,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
06:04,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
06:04,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
06:04,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
06:04,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
06:04,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
06:04,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
06:04,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
05:57,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
05:44,,21,,24 (+3),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 21-24 (+3),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by PHILLIP,ADAM",,,"ASSIST  by PHILLIP,ADAM",1
05:20,"MISS LAYUP by WILSON,DREW",,,,,,,"MISS LAYUP by WILSON,DREW",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
04:55,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
04:45,,,,,"FOUL  by CARTWRIGHT,BROOKS",,,"FOUL  by CARTWRIGHT,BROOKS",1
04:45,"GOOD FT by AYERS,PERRY",22,,24 (+2),,CENTRE 22-24 (+2),,"GOOD FT by AYERS,PERRY",1
04:45,"GOOD FT by AYERS,PERRY",23,,24 (+1),,CENTRE 23-24 (+1),,"GOOD FT by AYERS,PERRY",1
04:45,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
04:45,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
04:45,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
04:45,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
04:45,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
04:45,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
04:20,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
04:05,"GOOD LAYUP by SMITH,RJ(in the paint)",25 (+1),,24,,CENTRE 25-24 (-1),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
03:41,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
03:41,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:15,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
02:52,"FOUL  by SMITH,RJ",,,,,,,"FOUL  by SMITH,RJ",1
02:52,,25,,25,"GOOD FT by STANLEY,SETH",HENDRIXM 25-25 (0),,"GOOD FT by STANLEY,SETH",1
02:52,,25,,26 (+1),"GOOD FT by STANLEY,SETH",HENDRIXM 25-26 (+1),,"GOOD FT by STANLEY,SETH",1
02:38,"GOOD DUNK by BATES,JACOB(in the paint)",27 (+1),,26,,CENTRE 27-26 (-1),,"GOOD DUNK by BATES,JACOB(in the paint)",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
02:23,,,,,"MISS JUMPER by CONRAD,ALEX",,,"MISS JUMPER by CONRAD,ALEX",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
02:21,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
02:21,"GOOD FT by BATES,JACOB",28 (+2),,26,,CENTRE 28-26 (-2),,"GOOD FT by BATES,JACOB",1
02:21,"GOOD FT by BATES,JACOB",29 (+3),,26,,CENTRE 29-26 (-3),,"GOOD FT by BATES,JACOB",1
02:21,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
