Time Remaining,UTD,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
16:09,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",7,,7,,UTD 7-7 (0),,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",1
15:56,"FOUL  by FORSTER,MICHAEL",,,,,,,"FOUL  by FORSTER,MICHAEL",1
15:56,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:50,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
15:47,"SUB IN by STEVENS,HUNTER",,,,,,,"SUB IN by STEVENS,HUNTER",1
15:47,"SUB OUT by FERRELL,XAVIER",,,,,,,"SUB OUT by FERRELL,XAVIER",1
15:24,"MISS 3PTR by FERRELL,XAVIER",,,,,,,"MISS 3PTR by FERRELL,XAVIER",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
15:19,"SUB IN by FERRELL,XAVIER",,,,,,,"SUB IN by FERRELL,XAVIER",1
15:19,"SUB OUT by FORSTER,MICHAEL",,,,,,,"SUB OUT by FORSTER,MICHAEL",1
15:06,"FOUL  by PRUITT,KELDEN",,,,,,,"FOUL  by PRUITT,KELDEN",1
15:06,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",1
15:06,"BLOCK  by BURWITZ,HANS",,,,,,,"BLOCK  by BURWITZ,HANS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:56,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",1
14:25,"MISS JUMPER by STEVENS,HUNTER",,,,,,,"MISS JUMPER by STEVENS,HUNTER",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
14:17,"FOUL  by BURWITZ,HANS",,,,,,,"FOUL  by BURWITZ,HANS",1
14:17,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
14:17,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
14:16,,7,,9 (+2),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 7-9 (+2),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",1
14:10,"FOUL  by FERRELL,XAVIER",,,,,,,"FOUL  by FERRELL,XAVIER",1
14:07,,7,,10 (+3),"GOOD FT by STANLEY,SETH",HENDRIXM 7-10 (+3),,"GOOD FT by STANLEY,SETH",1
13:52,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",1
13:52,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
13:34,"TURNOVER  by BURWITZ,HANS",,,,,,,"TURNOVER  by BURWITZ,HANS",1
13:33,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
13:28,,7,,13 (+6),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 7-13 (+6),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
13:08,"TURNOVER  by WEBER,JALEN",,,,,,,"TURNOVER  by WEBER,JALEN",1
13:04,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
13:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:00,"SUB IN by GIBSON,JEREMIAH",,,,,,,"SUB IN by GIBSON,JEREMIAH",1
13:00,"SUB OUT by FERRELL,XAVIER",,,,,,,"SUB OUT by FERRELL,XAVIER",1
12:51,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
12:51,"BLOCK  by PRUITT,KELDEN",,,,,,,"BLOCK  by PRUITT,KELDEN",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
12:38,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
12:38,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
12:38,"TURNOVER  by PRUITT,KELDEN",,,,,,,"TURNOVER  by PRUITT,KELDEN",1
12:38,,,,,"STEAL  by CONRAD,ALEX",,,"STEAL  by CONRAD,ALEX",1
12:32,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",1
12:32,"SUB IN by ISAAC,WILL",,,,,,,"SUB IN by ISAAC,WILL",1
12:32,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",1
12:32,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
12:32,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
12:25,"MISS 3PTR by PRUITT,KELDEN",,,,,,,"MISS 3PTR by PRUITT,KELDEN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
12:08,"FOUL  by ISAAC,WILL",,,,,,,"FOUL  by ISAAC,WILL",1
12:08,,7,,14 (+7),"GOOD FT by CONRAD,ALEX",HENDRIXM 7-14 (+7),,"GOOD FT by CONRAD,ALEX",1
12:08,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by GIBSON,JEREMIAH",,,,,,,"REBOUND DEF by GIBSON,JEREMIAH",1
12:08,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
12:08,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
12:01,"MISS JUMPER by WEBER,JALEN",,,,,,,"MISS JUMPER by WEBER,JALEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:51,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
11:51,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
11:50,"GOOD 3PTR by STEVENS,HUNTER",10,,14 (+4),,UTD 10-14 (+4),,"GOOD 3PTR by STEVENS,HUNTER",1
--,"ASSIST  by ISAAC,WILL",,,,,,,"ASSIST  by ISAAC,WILL",1
11:36,,,,,"MISS JUMPER by CONRAD,ALEX",,,"MISS JUMPER by CONRAD,ALEX",1
11:36,"BLOCK  by ISAAC,WILL",,,,,,,"BLOCK  by ISAAC,WILL",1
--,"REBOUND DEF by ISAAC,WILL",,,,,,,"REBOUND DEF by ISAAC,WILL",1
11:29,"MISS LAYUP by WEBER,JALEN",,,,,,,"MISS LAYUP by WEBER,JALEN",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
11:18,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
11:18,"BLOCK  by ISAAC,WILL",,,,,,,"BLOCK  by ISAAC,WILL",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
11:18,"FOUL  by ISAAC,WILL",,,,,,,"FOUL  by ISAAC,WILL",1
11:17,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:17,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:17,,10,,15 (+5),"GOOD FT by CONRAD,ALEX",HENDRIXM 10-15 (+5),,"GOOD FT by CONRAD,ALEX",1
11:00,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
11:00,"MISS FT by BURWITZ,HANS",,,,,,,"MISS FT by BURWITZ,HANS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:00,"GOOD FT by BURWITZ,HANS",11,,15 (+4),,UTD 11-15 (+4),,"GOOD FT by BURWITZ,HANS",1
11:00,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",1
11:00,"SUB IN by PRUITT,KOLTON",,,,,,,"SUB IN by PRUITT,KOLTON",1
11:00,"SUB OUT by PRUITT,KELDEN",,,,,,,"SUB OUT by PRUITT,KELDEN",1
11:00,"SUB OUT by ISAAC,WILL",,,,,,,"SUB OUT by ISAAC,WILL",1
11:00,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
11:00,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
10:57,,11,,17 (+6),"GOOD JUMPER by II,ROD CUMMINGS(in the paint)",HENDRIXM 11-17 (+6),,"GOOD JUMPER by II,ROD CUMMINGS(in the paint)",1
10:40,"MISS JUMPER by STEVENS,HUNTER",,,,,,,"MISS JUMPER by STEVENS,HUNTER",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
10:26,,11,,19 (+8),"GOOD LAYUP by CARTWRIGHT,BROOKS(in the paint)",HENDRIXM 11-19 (+8),,"GOOD LAYUP by CARTWRIGHT,BROOKS(in the paint)",1
10:11,"GOOD 3PTR by GIBSON,JEREMIAH",14,,19 (+5),,UTD 14-19 (+5),,"GOOD 3PTR by GIBSON,JEREMIAH",1
09:49,,,,,"MISS LAYUP by II,ROD CUMMINGS",,,"MISS LAYUP by II,ROD CUMMINGS",1
--,,,,,"REBOUND OFF by II,ROD CUMMINGS",,,"REBOUND OFF by II,ROD CUMMINGS",1
09:46,,14,,21 (+7),"GOOD JUMPER by II,ROD CUMMINGS(in the paint)",HENDRIXM 14-21 (+7),,"GOOD JUMPER by II,ROD CUMMINGS(in the paint)",1
09:27,"MISS JUMPER by STEVENS,HUNTER",,,,,,,"MISS JUMPER by STEVENS,HUNTER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:24,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
09:24,"GOOD JUMPER by WEBER,JALEN",16,,21 (+5),,UTD 16-21 (+5),,"GOOD JUMPER by WEBER,JALEN",1
09:24,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
09:24,"STEAL  by WEBER,JALEN",,,,,,,"STEAL  by WEBER,JALEN",1
09:24,"TURNOVER  by BURWITZ,HANS",,,,,,,"TURNOVER  by BURWITZ,HANS",1
09:24,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
09:24,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",1
09:20,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
09:20,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
09:01,,16,,24 (+8),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 16-24 (+8),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
08:40,"MISS LAYUP by BURWITZ,HANS",,,,,,,"MISS LAYUP by BURWITZ,HANS",1
08:40,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
08:33,,16,,26 (+10),"GOOD JUMPER by II,ROD CUMMINGS(fastbreak)(in the paint)",HENDRIXM 16-26 (+10),,"GOOD JUMPER by II,ROD CUMMINGS(fastbreak)(in the paint)",1
08:06,"MISS JUMPER by WEBER,JALEN",,,,,,,"MISS JUMPER by WEBER,JALEN",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
07:55,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
07:55,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",1
07:55,"SUB IN by PRUITT,KOLTON",,,,,,,"SUB IN by PRUITT,KOLTON",1
07:55,"SUB IN by WEBER,JALEN",,,,,,,"SUB IN by WEBER,JALEN",1
07:55,"SUB IN by STEVENS,HUNTER",,,,,,,"SUB IN by STEVENS,HUNTER",1
07:55,"SUB IN by PRUITT,KELDEN",,,,,,,"SUB IN by PRUITT,KELDEN",1
07:55,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",1
07:55,"SUB OUT by PRUITT,KOLTON",,,,,,,"SUB OUT by PRUITT,KOLTON",1
07:55,"SUB OUT by GIBSON,JEREMIAH",,,,,,,"SUB OUT by GIBSON,JEREMIAH",1
07:55,"SUB OUT by WEBER,JALEN",,,,,,,"SUB OUT by WEBER,JALEN",1
07:55,"SUB OUT by STEVENS,HUNTER",,,,,,,"SUB OUT by STEVENS,HUNTER",1
07:41,"MISS LAYUP by BURWITZ,HANS",,,,,,,"MISS LAYUP by BURWITZ,HANS",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
07:37,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
07:34,"GOOD 3PTR by WEBER,JALEN",19,,26 (+7),,UTD 19-26 (+7),,"GOOD 3PTR by WEBER,JALEN",1
--,"ASSIST  by PRUITT,KOLTON",,,,,,,"ASSIST  by PRUITT,KOLTON",1
07:00,,19,,28 (+9),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 19-28 (+9),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
06:44,"GOOD JUMPER by WEBER,JALEN(in the paint)",21,,28 (+7),,UTD 21-28 (+7),,"GOOD JUMPER by WEBER,JALEN(in the paint)",1
06:12,,,,,"MISS LAYUP by II,ROD CUMMINGS",,,"MISS LAYUP by II,ROD CUMMINGS",1
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",1
06:05,"GOOD 3PTR by PRUITT,KOLTON",24,,28 (+4),,UTD 24-28 (+4),,"GOOD 3PTR by PRUITT,KOLTON",1
--,"ASSIST  by STEVENS,HUNTER",,,,,,,"ASSIST  by STEVENS,HUNTER",1
05:41,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
05:37,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by STEVENS,HUNTER",,,,,,,"REBOUND DEF by STEVENS,HUNTER",1
05:29,"MISS 3PTR by PRUITT,KOLTON",,,,,,,"MISS 3PTR by PRUITT,KOLTON",1
--,"REBOUND OFF by WEBER,JALEN",,,,,,,"REBOUND OFF by WEBER,JALEN",1
05:13,"MISS 3PTR by WEBER,JALEN",,,,,,,"MISS 3PTR by WEBER,JALEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
05:09,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
05:09,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
05:09,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
05:09,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
05:05,"MISS 3PTR by PRUITT,KOLTON",,,,,,,"MISS 3PTR by PRUITT,KOLTON",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
04:53,"FOUL  by PRUITT,KOLTON",,,,,,,"FOUL  by PRUITT,KOLTON",1
04:53,,24,,29 (+5),"GOOD FT by STANLEY,SETH",HENDRIXM 24-29 (+5),,"GOOD FT by STANLEY,SETH",1
04:53,,24,,30 (+6),"GOOD FT by STANLEY,SETH",HENDRIXM 24-30 (+6),,"GOOD FT by STANLEY,SETH",1
04:53,,24,,31 (+7),"GOOD FT by STANLEY,SETH",HENDRIXM 24-31 (+7),,"GOOD FT by STANLEY,SETH",1
04:53,"SUB IN by CURTIS,JAMES",,,,,,,"SUB IN by CURTIS,JAMES",1
04:53,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",1
04:40,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",26,,31 (+5),,UTD 26-31 (+5),,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",1
--,"ASSIST  by WEBER,JALEN",,,,,,,"ASSIST  by WEBER,JALEN",1
04:26,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND DEF by STEVENS,HUNTER",,,,,,,"REBOUND DEF by STEVENS,HUNTER",1
04:19,"MISS 3PTR by WEBER,JALEN",,,,,,,"MISS 3PTR by WEBER,JALEN",1
--,"REBOUND OFF by PRUITT,KOLTON",,,,,,,"REBOUND OFF by PRUITT,KOLTON",1
04:03,"MISS LAYUP by PRUITT,KELDEN",,,,,,,"MISS LAYUP by PRUITT,KELDEN",1
04:03,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",1
--,"REBOUND OFF by CURTIS,JAMES",,,,,,,"REBOUND OFF by CURTIS,JAMES",1
04:01,"GOOD LAYUP by CURTIS,JAMES(in the paint)",28,,31 (+3),,UTD 28-31 (+3),,"GOOD LAYUP by CURTIS,JAMES(in the paint)",1
04:01,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
04:01,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
04:01,"GOOD FT by CURTIS,JAMES",29,,31 (+2),,UTD 29-31 (+2),,"GOOD FT by CURTIS,JAMES",1
03:45,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by CURTIS,JAMES",,,,,,,"REBOUND DEF by CURTIS,JAMES",1
03:45,"MISS JUMPER by PRUITT,KELDEN",,,,,,,"MISS JUMPER by PRUITT,KELDEN",1
03:45,,,,,"BLOCK  by LINK,JACOB",,,"BLOCK  by LINK,JACOB",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:50,"SUB IN by FERRELL,XAVIER",,,,,,,"SUB IN by FERRELL,XAVIER",1
02:50,"SUB OUT by WEBER,JALEN",,,,,,,"SUB OUT by WEBER,JALEN",1
02:45,"MISS JUMPER by STEVENS,HUNTER",,,,,,,"MISS JUMPER by STEVENS,HUNTER",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
02:30,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",1
--,"REBOUND DEF by PRUITT,KELDEN",,,,,,,"REBOUND DEF by PRUITT,KELDEN",1
02:19,"MISS JUMPER by CURTIS,JAMES",,,,,,,"MISS JUMPER by CURTIS,JAMES",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
02:04,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by PRUITT,KOLTON",,,,,,,"REBOUND DEF by PRUITT,KOLTON",1
01:35,"MISS LAYUP by STEVENS,HUNTER",,,,,,,"MISS LAYUP by STEVENS,HUNTER",1
--,"REBOUND OFF by PRUITT,KELDEN",,,,,,,"REBOUND OFF by PRUITT,KELDEN",1
01:21,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",1
01:21,"SUB OUT by CURTIS,JAMES",,,,,,,"SUB OUT by CURTIS,JAMES",1
01:21,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
01:21,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
01:17,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",31,,31,,UTD 31-31 (0),,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",1
--,"ASSIST  by BURWITZ,HANS",,,,,,,"ASSIST  by BURWITZ,HANS",1
01:09,"FOUL  by BURWITZ,HANS",,,,,,,"FOUL  by BURWITZ,HANS",1
01:09,,31,,32 (+1),"GOOD FT by COMAN,SEAN",HENDRIXM 31-32 (+1),,"GOOD FT by COMAN,SEAN",1
01:09,,31,,33 (+2),"GOOD FT by COMAN,SEAN",HENDRIXM 31-33 (+2),,"GOOD FT by COMAN,SEAN",1
01:09,,31,,34 (+3),"GOOD FT by COMAN,SEAN",HENDRIXM 31-34 (+3),,"GOOD FT by COMAN,SEAN",1
01:09,"SUB IN by CURTIS,JAMES",,,,,,,"SUB IN by CURTIS,JAMES",1
01:09,"SUB IN by WEBER,JALEN",,,,,,,"SUB IN by WEBER,JALEN",1
01:09,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",1
01:09,"SUB OUT by STEVENS,HUNTER",,,,,,,"SUB OUT by STEVENS,HUNTER",1
00:55,"GOOD JUMPER by WEBER,JALEN",33,,34 (+1),,UTD 33-34 (+1),,"GOOD JUMPER by WEBER,JALEN",1
00:30,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
00:30,"STEAL  by FERRELL,XAVIER",,,,,,,"STEAL  by FERRELL,XAVIER",1
00:22,"GOOD 3PTR by PRUITT,KOLTON",36 (+2),,34,,UTD 36-34 (-2),,"GOOD 3PTR by PRUITT,KOLTON",1
--,"ASSIST  by WEBER,JALEN",,,,,,,"ASSIST  by WEBER,JALEN",1
00:22,"SUB IN by GIBSON,JEREMIAH",,,,,,,"SUB IN by GIBSON,JEREMIAH",1
00:22,"SUB OUT by PRUITT,KELDEN",,,,,,,"SUB OUT by PRUITT,KELDEN",1
00:22,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
00:22,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
00:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:22,"FOUL  by PRUITT,KELDEN",,,,,,,"FOUL  by PRUITT,KELDEN",1
00:22,,36 (+1),,35,"GOOD FT by STANLEY,SETH",HENDRIXM 36-35 (-1),,"GOOD FT by STANLEY,SETH",1
00:22,,36,,36,"GOOD FT by STANLEY,SETH",HENDRIXM 36-36 (0),,"GOOD FT by STANLEY,SETH",1
00:00,"MISS JUMPER by WEBER,JALEN",,,,,,,"MISS JUMPER by WEBER,JALEN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
19:52,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by PRUITT,KELDEN",,,,,,,"REBOUND DEF by PRUITT,KELDEN",2
19:38,"MISS JUMPER by FORSTER,MICHAEL",,,,,,,"MISS JUMPER by FORSTER,MICHAEL",2
19:38,,,,,"BLOCK  by LINK,JACOB",,,"BLOCK  by LINK,JACOB",2
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",2
19:32,,,,,"MISS LAYUP by II,ROD CUMMINGS",,,"MISS LAYUP by II,ROD CUMMINGS",2
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",2
19:25,"GOOD LAYUP by WEBER,JALEN(fastbreak)(in the paint)",38 (+2),,36,,UTD 38-36 (-2),,"GOOD LAYUP by WEBER,JALEN(fastbreak)(in the paint)",2
19:25,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
19:25,"GOOD FT by WEBER,JALEN",39 (+3),,36,,UTD 39-36 (-3),,"GOOD FT by WEBER,JALEN",2
19:25,,39 (+1),,38,"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIXM 39-38 (-1),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
19:12,"MISS JUMPER by PRUITT,KELDEN",,,,,,,"MISS JUMPER by PRUITT,KELDEN",2
--,"REBOUND OFF by BURWITZ,HANS",,,,,,,"REBOUND OFF by BURWITZ,HANS",2
19:04,"MISS 3PTR by FERRELL,XAVIER",,,,,,,"MISS 3PTR by FERRELL,XAVIER",2
