Time Remaining,BBC,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by STANTON,GAVIN",,,,,,,"REBOUND OFF by STANTON,GAVIN",1
13:39,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
13:39,"GOOD FT by CARTER,BRANDON",7,,7,,BBC 7-7 (0),,"GOOD FT by CARTER,BRANDON",1
13:39,"GOOD FT by CARTER,BRANDON",8 (+1),,7,,BBC 8-7 (-1),,"GOOD FT by CARTER,BRANDON",1
13:33,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by STANTON,GAVIN",,,,,,,"REBOUND DEF by STANTON,GAVIN",1
13:26,"MISS LAYUP by STANTON,GAVIN",,,,,,,"MISS LAYUP by STANTON,GAVIN",1
13:26,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
13:09,,,,,"MISS 3PTR by MOORE,AUSTIN",,,"MISS 3PTR by MOORE,AUSTIN",1
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",1
13:02,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND OFF by MOORE,AUSTIN",,,"REBOUND OFF by MOORE,AUSTIN",1
12:57,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",1
--,"REBOUND DEF by MCCONE,SEAN",,,,,,,"REBOUND DEF by MCCONE,SEAN",1
12:42,"TURNOVER  by MINTON,TRE",,,,,,,"TURNOVER  by MINTON,TRE",1
12:40,"SUB IN by STANTON,GAVIN",,,,,,,"SUB IN by STANTON,GAVIN",1
12:40,"SUB OUT by BAKER,HUNTER",,,,,,,"SUB OUT by BAKER,HUNTER",1
12:40,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
12:40,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
12:40,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
12:40,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
12:29,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
12:27,"STEAL  by MINTON,TRE",,,,,,,"STEAL  by MINTON,TRE",1
12:24,"MISS LAYUP by MINTON,TRE",,,,,,,"MISS LAYUP by MINTON,TRE",1
12:24,,,,,"BLOCK  by LINK,JACOB",,,"BLOCK  by LINK,JACOB",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
12:11,"FOUL  by PORTER,AUSTIN",,,,,,,"FOUL  by PORTER,AUSTIN",1
12:06,"SUB IN by PORTER,AUSTIN",,,,,,,"SUB IN by PORTER,AUSTIN",1
12:06,"SUB IN by BAKER,HUNTER",,,,,,,"SUB IN by BAKER,HUNTER",1
12:06,"SUB OUT by MCCONE,SEAN",,,,,,,"SUB OUT by MCCONE,SEAN",1
12:06,"SUB OUT by STANTON,GAVIN",,,,,,,"SUB OUT by STANTON,GAVIN",1
12:06,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",1
12:06,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
12:04,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
12:00,,8,,9 (+1),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 8-9 (+1),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
11:46,"MISS 3PTR by MINTON,TRE",,,,,,,"MISS 3PTR by MINTON,TRE",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
11:37,,8,,11 (+3),"GOOD LAYUP by CARTWRIGHT,BROOKS(fastbreak)(in the paint)",HENDRIXM 8-11 (+3),,"GOOD LAYUP by CARTWRIGHT,BROOKS(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",1
11:30,"TURNOVER  by BAKER,HUNTER",,,,,,,"TURNOVER  by BAKER,HUNTER",1
11:26,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:17,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
11:17,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
11:14,"SUB IN by STANISLAS,ELIJAH",,,,,,,"SUB IN by STANISLAS,ELIJAH",1
11:14,"SUB OUT by CARTER,BRANDON",,,,,,,"SUB OUT by CARTER,BRANDON",1
10:54,"TURNOVER  by MEINDERS,DAWSOM",,,,,,,"TURNOVER  by MEINDERS,DAWSOM",1
10:54,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",1
10:54,"FOUL  by MEINDERS,DAWSOM",,,,,,,"FOUL  by MEINDERS,DAWSOM",1
10:54,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
10:54,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
10:44,,8,,13 (+5),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 8-13 (+5),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
--,,,,,"ASSIST  by CARTWRIGHT,BROOKS",,,"ASSIST  by CARTWRIGHT,BROOKS",1
10:28,"TURNOVER  by STANTON,GAVIN",,,,,,,"TURNOVER  by STANTON,GAVIN",1
10:27,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",1
10:26,,8,,15 (+7),"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",HENDRIXM 8-15 (+7),,"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",1
10:23,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:57,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
09:54,"GOOD FT by FLOWERS,TRE",9,,15 (+6),,BBC 9-15 (+6),,"GOOD FT by FLOWERS,TRE",1
09:52,"GOOD FT by FLOWERS,TRE",10,,15 (+5),,BBC 10-15 (+5),,"GOOD FT by FLOWERS,TRE",1
09:52,"GOOD FT by FLOWERS,TRE",11,,15 (+4),,BBC 11-15 (+4),,"GOOD FT by FLOWERS,TRE",1
09:52,"SUB IN by MCCONE,SEAN",,,,,,,"SUB IN by MCCONE,SEAN",1
09:52,"SUB IN by STANTON,GAVIN",,,,,,,"SUB IN by STANTON,GAVIN",1
09:52,"SUB OUT by MEINDERS,DAWSOM",,,,,,,"SUB OUT by MEINDERS,DAWSOM",1
09:52,"SUB OUT by PORTER,AUSTIN",,,,,,,"SUB OUT by PORTER,AUSTIN",1
09:51,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
09:51,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
09:32,"FOUL  by FLOWERS,TRE",,,,,,,"FOUL  by FLOWERS,TRE",1
09:31,,11,,16 (+5),"GOOD FT by CARTWRIGHT,BROOKS",HENDRIXM 11-16 (+5),,"GOOD FT by CARTWRIGHT,BROOKS",1
09:07,,11,,17 (+6),"GOOD FT by CARTWRIGHT,BROOKS",HENDRIXM 11-17 (+6),,"GOOD FT by CARTWRIGHT,BROOKS",1
08:48,"SUB IN by MEINDERS,DAWSOM",,,,,,,"SUB IN by MEINDERS,DAWSOM",1
08:48,"SUB OUT by STANTON,GAVIN",,,,,,,"SUB OUT by STANTON,GAVIN",1
08:44,"TURNOVER  by BAKER,HUNTER",,,,,,,"TURNOVER  by BAKER,HUNTER",1
08:41,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
08:30,"MISS JUMPER by STANISLAS,ELIJAH",,,,,,,"MISS JUMPER by STANISLAS,ELIJAH",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
08:24,,,,,"FOUL  by MOORE,AUSTIN",,,"FOUL  by MOORE,AUSTIN",1
08:24,,,,,"TURNOVER  by MOORE,AUSTIN",,,"TURNOVER  by MOORE,AUSTIN",1
08:24,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",1
08:24,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
08:24,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",1
08:24,,,,,"SUB OUT by MOORE,AUSTIN",,,"SUB OUT by MOORE,AUSTIN",1
08:08,"TURNOVER  by STANISLAS,ELIJAH",,,,,,,"TURNOVER  by STANISLAS,ELIJAH",1
08:08,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
08:08,"STEAL  by MEINDERS,DAWSOM",,,,,,,"STEAL  by MEINDERS,DAWSOM",1
08:08,"GOOD LAYUP by MEINDERS,DAWSOM(fastbreak)(in the paint)",13,,17 (+4),,BBC 13-17 (+4),,"GOOD LAYUP by MEINDERS,DAWSOM(fastbreak)(in the paint)",1
08:07,,13,,19 (+6),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 13-19 (+6),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
08:07,"MISS 3PTR by BAKER,HUNTER",,,,,,,"MISS 3PTR by BAKER,HUNTER",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
08:07,"FOUL  by STANISLAS,ELIJAH",,,,,,,"FOUL  by STANISLAS,ELIJAH",1
08:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
08:07,,13,,20 (+7),"GOOD FT by FITCH,CARL",HENDRIXM 13-20 (+7),,"GOOD FT by FITCH,CARL",1
08:07,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",1
--,"REBOUND DEF by CARTER,BRANDON",,,,,,,"REBOUND DEF by CARTER,BRANDON",1
07:51,"TURNOVER  by CARTER,BRANDON",,,,,,,"TURNOVER  by CARTER,BRANDON",1
07:49,,,,,"STEAL  by CRAWFORD,TRACE",,,"STEAL  by CRAWFORD,TRACE",1
07:41,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND OFF by II,ROD CUMMINGS",,,"REBOUND OFF by II,ROD CUMMINGS",1
07:35,"FOUL  by CARTER,BRANDON",,,,,,,"FOUL  by CARTER,BRANDON",1
07:35,,13,,21 (+8),"GOOD FT by II,ROD CUMMINGS",HENDRIXM 13-21 (+8),,"GOOD FT by II,ROD CUMMINGS",1
07:35,,13,,22 (+9),"GOOD FT by II,ROD CUMMINGS",HENDRIXM 13-22 (+9),,"GOOD FT by II,ROD CUMMINGS",1
07:35,"TURNOVER  by MEINDERS,DAWSOM",,,,,,,"TURNOVER  by MEINDERS,DAWSOM",1
07:35,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",1
07:35,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
07:26,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
07:26,"STEAL  by CARTER,BRANDON",,,,,,,"STEAL  by CARTER,BRANDON",1
06:59,"MISS 3PTR by BAKER,HUNTER",,,,,,,"MISS 3PTR by BAKER,HUNTER",1
--,"REBOUND OFF by MINTON,TRE",,,,,,,"REBOUND OFF by MINTON,TRE",1
06:38,"TURNOVER  by MEINDERS,DAWSOM",,,,,,,"TURNOVER  by MEINDERS,DAWSOM",1
06:14,"FOUL  by MEINDERS,DAWSOM",,,,,,,"FOUL  by MEINDERS,DAWSOM",1
06:14,,13,,23 (+10),"GOOD FT by FITCH,CARL",HENDRIXM 13-23 (+10),,"GOOD FT by FITCH,CARL",1
06:14,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",1
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",1
06:14,"SUB IN by STANTON,GAVIN",,,,,,,"SUB IN by STANTON,GAVIN",1
06:14,"SUB OUT by MEINDERS,DAWSOM",,,,,,,"SUB OUT by MEINDERS,DAWSOM",1
06:13,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,"REBOUND DEF by MINTON,TRE",,,,,,,"REBOUND DEF by MINTON,TRE",1
06:05,"MISS JUMPER by MINTON,TRE",,,,,,,"MISS JUMPER by MINTON,TRE",1
--,"REBOUND OFF by CARTER,BRANDON",,,,,,,"REBOUND OFF by CARTER,BRANDON",1
06:02,"GOOD LAYUP by CARTER,BRANDON(in the paint)",15,,23 (+8),,BBC 15-23 (+8),,"GOOD LAYUP by CARTER,BRANDON(in the paint)",1
05:49,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
05:49,"SUB IN by PORTER,AUSTIN",,,,,,,"SUB IN by PORTER,AUSTIN",1
05:49,"SUB OUT by MCCONE,SEAN",,,,,,,"SUB OUT by MCCONE,SEAN",1
05:39,"MISS JUMPER by MINTON,TRE",,,,,,,"MISS JUMPER by MINTON,TRE",1
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",1
05:18,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",1
--,"REBOUND DEF by CARTER,BRANDON",,,,,,,"REBOUND DEF by CARTER,BRANDON",1
05:07,"MISS 3PTR by STANTON,GAVIN",,,,,,,"MISS 3PTR by STANTON,GAVIN",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
05:01,"FOUL  by CARTER,BRANDON",,,,,,,"FOUL  by CARTER,BRANDON",1
05:01,,15,,24 (+9),"GOOD FT by FITCH,CARL",HENDRIXM 15-24 (+9),,"GOOD FT by FITCH,CARL",1
05:01,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",1
--,"REBOUND DEF by CARTER,BRANDON",,,,,,,"REBOUND DEF by CARTER,BRANDON",1
05:01,,,,,"SUB IN by PRINS,ZACHARY",,,"SUB IN by PRINS,ZACHARY",1
05:01,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
05:01,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",1
05:01,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
04:54,"GOOD 3PTR by MINTON,TRE",18,,24 (+6),,BBC 18-24 (+6),,"GOOD 3PTR by MINTON,TRE",1
--,"ASSIST  by BAKER,HUNTER",,,,,,,"ASSIST  by BAKER,HUNTER",1
04:41,,,,,"MISS 3PTR by PRINS,ZACHARY",,,"MISS 3PTR by PRINS,ZACHARY",1
--,"REBOUND DEF by MINTON,TRE",,,,,,,"REBOUND DEF by MINTON,TRE",1
04:31,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
04:31,"MISS FT by MINTON,TRE",,,,,,,"MISS FT by MINTON,TRE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:31,"GOOD FT by MINTON,TRE",19,,24 (+5),,BBC 19-24 (+5),,"GOOD FT by MINTON,TRE",1
04:31,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
04:31,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
04:11,,19,,27 (+8),"GOOD 3PTR by CARTWRIGHT,BROOKS",HENDRIXM 19-27 (+8),,"GOOD 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",1
03:51,"TURNOVER  by BAKER,HUNTER",,,,,,,"TURNOVER  by BAKER,HUNTER",1
03:50,,,,,"STEAL  by II,ROD CUMMINGS",,,"STEAL  by II,ROD CUMMINGS",1
03:48,,19,,29 (+10),"GOOD LAYUP by II,ROD CUMMINGS(fastbreak)(in the paint)",HENDRIXM 19-29 (+10),,"GOOD LAYUP by II,ROD CUMMINGS(fastbreak)(in the paint)",1
03:31,"MISS JUMPER by PORTER,AUSTIN",,,,,,,"MISS JUMPER by PORTER,AUSTIN",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
03:23,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by CARTER,BRANDON",,,,,,,"REBOUND DEF by CARTER,BRANDON",1
03:03,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
03:03,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:03,"GOOD FT by BAKER,HUNTER",20,,29 (+9),,BBC 20-29 (+9),,"GOOD FT by BAKER,HUNTER",1
03:03,"MISS FT by BAKER,HUNTER",,,,,,,"MISS FT by BAKER,HUNTER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:49,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by STANTON,GAVIN",,,,,,,"REBOUND DEF by STANTON,GAVIN",1
02:36,"TURNOVER  by BAKER,HUNTER",,,,,,,"TURNOVER  by BAKER,HUNTER",1
02:35,,,,,"STEAL  by II,ROD CUMMINGS",,,"STEAL  by II,ROD CUMMINGS",1
02:33,,20,,31 (+11),"GOOD LAYUP by II,ROD CUMMINGS(fastbreak)(in the paint)",HENDRIXM 20-31 (+11),,"GOOD LAYUP by II,ROD CUMMINGS(fastbreak)(in the paint)",1
02:14,"TURNOVER  by STANTON,GAVIN",,,,,,,"TURNOVER  by STANTON,GAVIN",1
02:12,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
02:03,"FOUL  by PORTER,AUSTIN",,,,,,,"FOUL  by PORTER,AUSTIN",1
02:03,,20,,32 (+12),"GOOD FT by STANLEY,SETH",HENDRIXM 20-32 (+12),,"GOOD FT by STANLEY,SETH",1
02:03,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",1
--,"REBOUND DEF by PORTER,AUSTIN",,,,,,,"REBOUND DEF by PORTER,AUSTIN",1
02:03,"SUB IN by CARTER,STERLING",,,,,,,"SUB IN by CARTER,STERLING",1
02:03,"SUB OUT by STANTON,GAVIN",,,,,,,"SUB OUT by STANTON,GAVIN",1
01:46,"MISS LAYUP by BAKER,HUNTER",,,,,,,"MISS LAYUP by BAKER,HUNTER",1
01:46,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
01:38,,20,,35 (+15),"GOOD 3PTR by CARTWRIGHT,BROOKS",HENDRIXM 20-35 (+15),,"GOOD 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
01:18,"MISS 3PTR by MINTON,TRE",,,,,,,"MISS 3PTR by MINTON,TRE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:13,"SUB IN by MCCONE,SEAN",,,,,,,"SUB IN by MCCONE,SEAN",1
01:13,"SUB OUT by BAKER,HUNTER",,,,,,,"SUB OUT by BAKER,HUNTER",1
00:53,,20,,37 (+17),"GOOD DUNK by FITCH,CARL(in the paint)",HENDRIXM 20-37 (+17),,"GOOD DUNK by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by CARTWRIGHT,BROOKS",,,"ASSIST  by CARTWRIGHT,BROOKS",1
00:35,"MISS JUMPER by MINTON,TRE",,,,,,,"MISS JUMPER by MINTON,TRE",1
00:35,,,,,"BLOCK  by II,ROD CUMMINGS",,,"BLOCK  by II,ROD CUMMINGS",1
