Time Remaining,LC,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
15:56,"STEAL  by BILBO,KJ",,,,,,,"STEAL  by BILBO,KJ",2
15:50,"GOOD LAYUP by BILBO,KJ(fastbreak)(in the paint)",47 (+8),,39,,LC 47-39 (-8),,"GOOD LAYUP by BILBO,KJ(fastbreak)(in the paint)",2
15:38,"FOUL  by HOWE,CALEB",,,,,,,"FOUL  by HOWE,CALEB",2
15:38,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
15:38,,47 (+7),,40,"GOOD FT by II,ROD CUMMINGS",Hend 47-40 (-7),,"GOOD FT by II,ROD CUMMINGS",2
15:38,,47 (+6),,41,"GOOD FT by II,ROD CUMMINGS",Hend 47-41 (-6),,"GOOD FT by II,ROD CUMMINGS",2
15:38,"SUB IN by RHONE,JAYLEN",,,,,,,"SUB IN by RHONE,JAYLEN",2
15:38,"SUB IN by BLAKES,LOUIS",,,,,,,"SUB IN by BLAKES,LOUIS",2
15:38,"SUB OUT by HOWE,CALEB",,,,,,,"SUB OUT by HOWE,CALEB",2
15:38,"SUB OUT by BAKER,KAE'RON",,,,,,,"SUB OUT by BAKER,KAE'RON",2
15:13,"MISS 3PTR by RHONE,JAYLEN",,,,,,,"MISS 3PTR by RHONE,JAYLEN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:59,,47 (+4),,43,"GOOD JUMPER by II,ROD CUMMINGS",Hend 47-43 (-4),,"GOOD JUMPER by II,ROD CUMMINGS",2
14:29,"MISS 3PTR by BROUSSARD,KEANDRE",,,,,,,"MISS 3PTR by BROUSSARD,KEANDRE",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
14:18,,47 (+2),,45,"GOOD JUMPER by II,ROD CUMMINGS",Hend 47-45 (-2),,"GOOD JUMPER by II,ROD CUMMINGS",2
13:47,"GOOD JUMPER by BROUSSARD,KEANDRE",49 (+4),,45,,LC 49-45 (-4),,"GOOD JUMPER by BROUSSARD,KEANDRE",2
--,"ASSIST  by RHONE,JAYLEN",,,,,,,"ASSIST  by RHONE,JAYLEN",2
13:37,,,,,"MISS 3PTR by II,ROD CUMMINGS",,,"MISS 3PTR by II,ROD CUMMINGS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:33,"FOUL  by BLAKES,LOUIS",,,,,,,"FOUL  by BLAKES,LOUIS",2
13:33,"SUB IN by BAKER,KAE'RON",,,,,,,"SUB IN by BAKER,KAE'RON",2
13:33,"SUB OUT by BLAKES,LOUIS",,,,,,,"SUB OUT by BLAKES,LOUIS",2
13:33,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
13:33,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
13:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
13:18,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
13:13,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
13:10,,49 (+2),,47,"GOOD LAYUP by STANLEY,SETH(in the paint)",Hend 49-47 (-2),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
12:55,"TURNOVER  by RHONE,JAYLEN",,,,,,,"TURNOVER  by RHONE,JAYLEN",2
12:55,,,,,"STEAL  by II,ROD CUMMINGS",,,"STEAL  by II,ROD CUMMINGS",2
12:51,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",2
12:51,"STEAL  by BAKER,KAE'RON",,,,,,,"STEAL  by BAKER,KAE'RON",2
12:49,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
12:21,"GOOD 3PTR by BAKER,KAE'RON",52 (+5),,47,,LC 52-47 (-5),,"GOOD 3PTR by BAKER,KAE'RON",2
--,"ASSIST  by RHONE,JAYLEN",,,,,,,"ASSIST  by RHONE,JAYLEN",2
12:04,,52 (+3),,49,"GOOD JUMPER by EATON,JACK(in the paint)",Hend 52-49 (-3),,"GOOD JUMPER by EATON,JACK(in the paint)",2
11:43,"GOOD 3PTR by MURPHY,CJ",55 (+6),,49,,LC 55-49 (-6),,"GOOD 3PTR by MURPHY,CJ",2
--,"ASSIST  by RHONE,JAYLEN",,,,,,,"ASSIST  by RHONE,JAYLEN",2
11:24,"FOUL  by BROUSSARD,KEANDRE",,,,,,,"FOUL  by BROUSSARD,KEANDRE",2
11:24,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:24,,55 (+5),,50,"GOOD FT by EATON,JACK",Hend 55-50 (-5),,"GOOD FT by EATON,JACK",2
11:24,,,,,"MISS FT by EATON,JACK",,,"MISS FT by EATON,JACK",2
11:24,"SUB IN by AMES,TREY",,,,,,,"SUB IN by AMES,TREY",2
11:24,"SUB OUT by BILBO,KJ",,,,,,,"SUB OUT by BILBO,KJ",2
11:24,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
11:24,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
11:24,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
11:24,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
--,"REBOUND DEF by MURPHY,CJ",,,,,,,"REBOUND DEF by MURPHY,CJ",2
11:03,"MISS JUMPER by BAKER,KAE'RON",,,,,,,"MISS JUMPER by BAKER,KAE'RON",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
10:52,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
10:52,"STEAL  by MURPHY,CJ",,,,,,,"STEAL  by MURPHY,CJ",2
10:42,"MISS 3PTR by RHONE,JAYLEN",,,,,,,"MISS 3PTR by RHONE,JAYLEN",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
10:34,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",2
10:30,"FOUL  by MURPHY,CJ",,,,,,,"FOUL  by MURPHY,CJ",2
10:30,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",2
10:30,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
10:29,"SUB IN by BILBO,KJ",,,,,,,"SUB IN by BILBO,KJ",2
10:29,"SUB OUT by MURPHY,CJ",,,,,,,"SUB OUT by MURPHY,CJ",2
10:26,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",2
10:26,"STEAL  by BROUSSARD,KEANDRE",,,,,,,"STEAL  by BROUSSARD,KEANDRE",2
10:16,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
10:16,"GOOD FT by BROUSSARD,KEANDRE",56 (+6),,50,,LC 56-50 (-6),,"GOOD FT by BROUSSARD,KEANDRE",2
10:16,"GOOD FT by BROUSSARD,KEANDRE",57 (+7),,50,,LC 57-50 (-7),,"GOOD FT by BROUSSARD,KEANDRE",2
10:03,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
10:03,"STEAL  by BROUSSARD,KEANDRE",,,,,,,"STEAL  by BROUSSARD,KEANDRE",2
10:00,"GOOD JUMPER by BROUSSARD,KEANDRE(fastbreak)(in the paint)",59 (+9),,50,,LC 59-50 (-9),,"GOOD JUMPER by BROUSSARD,KEANDRE(fastbreak)(in the paint)",2
09:41,"FOUL  by AMES,TREY",,,,,,,"FOUL  by AMES,TREY",2
09:41,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:41,,59 (+8),,51,"GOOD FT by STANLEY,SETH",Hend 59-51 (-8),,"GOOD FT by STANLEY,SETH",2
09:26,"SUB IN by HOWE,CALEB",,,,,,,"SUB IN by HOWE,CALEB",2
09:26,"SUB OUT by BROUSSARD,KEANDRE",,,,,,,"SUB OUT by BROUSSARD,KEANDRE",2
09:22,"TURNOVER  by BILBO,KJ",,,,,,,"TURNOVER  by BILBO,KJ",2
09:11,,59 (+5),,54,"GOOD 3PTR by LINK,JACOB",Hend 59-54 (-5),,"GOOD 3PTR by LINK,JACOB",2
08:48,"MISS 3PTR by RHONE,JAYLEN",,,,,,,"MISS 3PTR by RHONE,JAYLEN",2
--,"REBOUND OFF by RHONE,JAYLEN",,,,,,,"REBOUND OFF by RHONE,JAYLEN",2
08:27,"MISS LAYUP by AMES,TREY",,,,,,,"MISS LAYUP by AMES,TREY",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
08:14,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by BAKER,KAE'RON",,,,,,,"REBOUND DEF by BAKER,KAE'RON",2
07:55,"MISS LAYUP by RHONE,JAYLEN",,,,,,,"MISS LAYUP by RHONE,JAYLEN",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
07:39,,59 (+3),,56,"GOOD LAYUP by CONRAD,ALEX(in the paint)",Hend 59-56 (-3),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
07:24,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:24,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
07:24,"SUB IN by BROUSSARD,KEANDRE",,,,,,,"SUB IN by BROUSSARD,KEANDRE",2
07:24,"SUB OUT by HOWE,CALEB",,,,,,,"SUB OUT by HOWE,CALEB",2
07:24,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",2
07:24,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
07:24,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
07:24,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",2
07:02,"MISS 3PTR by RHONE,JAYLEN",,,,,,,"MISS 3PTR by RHONE,JAYLEN",2
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",2
06:56,"SUB IN by BLAKES,LOUIS",,,,,,,"SUB IN by BLAKES,LOUIS",2
06:56,"SUB OUT by AMES,TREY",,,,,,,"SUB OUT by AMES,TREY",2
06:53,,59 (+1),,58,"GOOD LAYUP by COMAN,SEAN(in the paint)",Hend 59-58 (-1),,"GOOD LAYUP by COMAN,SEAN(in the paint)",2
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",2
06:23,"TURNOVER  by BILBO,KJ",,,,,,,"TURNOVER  by BILBO,KJ",2
06:23,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",2
06:06,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
06:04,"SUB IN by MURPHY,CJ",,,,,,,"SUB IN by MURPHY,CJ",2
06:04,"SUB OUT by BLAKES,LOUIS",,,,,,,"SUB OUT by BLAKES,LOUIS",2
06:04,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
06:04,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",2
05:40,"TURNOVER  by RHONE,JAYLEN",,,,,,,"TURNOVER  by RHONE,JAYLEN",2
05:40,,,,,"STEAL  by CONRAD,ALEX",,,"STEAL  by CONRAD,ALEX",2
05:30,,59,,60 (+1),"GOOD JUMPER by II,ROD CUMMINGS",Hend 59-60 (+1),,"GOOD JUMPER by II,ROD CUMMINGS",2
05:15,"MISS 3PTR by BAKER,KAE'RON",,,,,,,"MISS 3PTR by BAKER,KAE'RON",2
--,"REBOUND OFF by BILBO,KJ",,,,,,,"REBOUND OFF by BILBO,KJ",2
05:11,"TURNOVER  by BILBO,KJ",,,,,,,"TURNOVER  by BILBO,KJ",2
04:43,,59,,62 (+3),"GOOD LAYUP by CONRAD,ALEX(in the paint)",Hend 59-62 (+3),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",2
04:22,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
04:22,"GOOD FT by BROUSSARD,KEANDRE",60,,62 (+2),,LC 60-62 (+2),,"GOOD FT by BROUSSARD,KEANDRE",2
04:22,"MISS FT by BROUSSARD,KEANDRE",,,,,,,"MISS FT by BROUSSARD,KEANDRE",2
04:22,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",2
04:22,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
04:07,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by BROUSSARD,KEANDRE",,,,,,,"REBOUND DEF by BROUSSARD,KEANDRE",2
04:04,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
04:04,"SUB IN by AMES,TREY",,,,,,,"SUB IN by AMES,TREY",2
04:04,"SUB OUT by BILBO,KJ",,,,,,,"SUB OUT by BILBO,KJ",2
03:47,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
03:38,"GOOD JUMPER by BAKER,KAE'RON(in the paint)",62,,62,,LC 62-62 (0),,"GOOD JUMPER by BAKER,KAE'RON(in the paint)",2
03:24,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",2
03:24,"STEAL  by RHONE,JAYLEN",,,,,,,"STEAL  by RHONE,JAYLEN",2
03:18,"GOOD LAYUP by BAKER,KAE'RON(fastbreak)(in the paint)",64 (+2),,62,,LC 64-62 (-2),,"GOOD LAYUP by BAKER,KAE'RON(fastbreak)(in the paint)",2
--,"ASSIST  by RHONE,JAYLEN",,,,,,,"ASSIST  by RHONE,JAYLEN",2
02:53,,64,,65 (+1),"GOOD 3PTR by COMAN,SEAN",Hend 64-65 (+1),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",2
02:40,"MISS 3PTR by BAKER,KAE'RON",,,,,,,"MISS 3PTR by BAKER,KAE'RON",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
02:25,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",2
--,"REBOUND DEF by MURPHY,CJ",,,,,,,"REBOUND DEF by MURPHY,CJ",2
02:09,"MISS JUMPER by RHONE,JAYLEN",,,,,,,"MISS JUMPER by RHONE,JAYLEN",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
01:48,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by BAKER,KAE'RON",,,,,,,"REBOUND DEF by BAKER,KAE'RON",2
01:35,"SUB IN by BILBO,KJ",,,,,,,"SUB IN by BILBO,KJ",2
01:35,"SUB OUT by MURPHY,CJ",,,,,,,"SUB OUT by MURPHY,CJ",2
01:35,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
01:35,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
01:16,"MISS 3PTR by RHONE,JAYLEN",,,,,,,"MISS 3PTR by RHONE,JAYLEN",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
01:09,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:09,"SUB IN by BLAKES,LOUIS",,,,,,,"SUB IN by BLAKES,LOUIS",2
01:09,"SUB OUT by BILBO,KJ",,,,,,,"SUB OUT by BILBO,KJ",2
00:56,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by BROUSSARD,KEANDRE",,,,,,,"REBOUND DEF by BROUSSARD,KEANDRE",2
00:52,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",2
00:52,"GOOD FT by BROUSSARD,KEANDRE",65,,65,,LC 65-65 (0),,"GOOD FT by BROUSSARD,KEANDRE",2
00:52,"GOOD FT by BROUSSARD,KEANDRE",66 (+1),,65,,LC 66-65 (-1),,"GOOD FT by BROUSSARD,KEANDRE",2
00:34,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",2
00:34,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
00:34,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:34,"TURNOVER  by BLAKES,LOUIS",,,,,,,"TURNOVER  by BLAKES,LOUIS",2
00:34,"SUB IN by BILBO,KJ",,,,,,,"SUB IN by BILBO,KJ",2
00:34,"SUB OUT by BROUSSARD,KEANDRE",,,,,,,"SUB OUT by BROUSSARD,KEANDRE",2
00:34,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
00:34,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
00:30,,66,,67 (+1),"GOOD LAYUP by STANLEY,SETH(in the paint)",Hend 66-67 (+1),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",2
00:10,"MISS 3PTR by BAKER,KAE'RON",,,,,,,"MISS 3PTR by BAKER,KAE'RON",2
--,"REBOUND OFF by BAKER,KAE'RON",,,,,,,"REBOUND OFF by BAKER,KAE'RON",2
00:04,"MISS 3PTR by BAKER,KAE'RON",,,,,,,"MISS 3PTR by BAKER,KAE'RON",2
--,"REBOUND OFF by BILBO,KJ",,,,,,,"REBOUND OFF by BILBO,KJ",2
00:01,"MISS JUMPER by BILBO,KJ",,,,,,,"MISS JUMPER by BILBO,KJ",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
