Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
17:15,,42,,43 (+1),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 42-43 (+1),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
16:56,"MISS LAYUP by FOSTER,LANE",,,,,,,"MISS LAYUP by FOSTER,LANE",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
16:35,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",2
16:35,"FOUL  by JENEI,RYAN",,,,,,,"FOUL  by JENEI,RYAN",2
16:33,,42,,44 (+2),"GOOD FT by CONRAD,ALEX",HENDRIXM 42-44 (+2),,"GOOD FT by CONRAD,ALEX",2
16:33,,42,,45 (+3),"GOOD FT by CONRAD,ALEX",HENDRIXM 42-45 (+3),,"GOOD FT by CONRAD,ALEX",2
16:27,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
16:27,"GOOD FT by FOSTER,LANE",43,,45 (+2),,OUM 43-45 (+2),,"GOOD FT by FOSTER,LANE",2
16:27,"GOOD FT by FOSTER,LANE",44,,45 (+1),,OUM 44-45 (+1),,"GOOD FT by FOSTER,LANE",2
15:57,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",2
15:57,"BLOCK  by ETIWE,TOJU",,,,,,,"BLOCK  by ETIWE,TOJU",2
--,"REBOUND DEF by FOSTER,LANE",,,,,,,"REBOUND DEF by FOSTER,LANE",2
15:51,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",46 (+1),,45,,OUM 46-45 (-1),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2
15:16,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",2
15:03,"GOOD LAYUP by SONE,CARLOS(in the paint)",48 (+3),,45,,OUM 48-45 (-3),,"GOOD LAYUP by SONE,CARLOS(in the paint)",2
15:03,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",2
15:03,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:03,"GOOD FT by SONE,CARLOS",49 (+4),,45,,OUM 49-45 (-4),,"GOOD FT by SONE,CARLOS",2
14:38,,49 (+1),,48,"GOOD 3PTR by STANLEY,SETH",HENDRIXM 49-48 (-1),,"GOOD 3PTR by STANLEY,SETH",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
14:16,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
14:04,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
14:04,"SUB IN by DAY,JUSTIN",,,,,,,"SUB IN by DAY,JUSTIN",2
14:04,"SUB OUT by JENEI,RYAN",,,,,,,"SUB OUT by JENEI,RYAN",2
14:04,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
14:04,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
13:59,"MISS JUMPER by SONE,CARLOS",,,,,,,"MISS JUMPER by SONE,CARLOS",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
13:35,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
13:28,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
13:08,,49,,50 (+1),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 49-50 (+1),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
13:01,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",51 (+1),,50,,OUM 51-50 (-1),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",2
12:40,,51,,53 (+2),"GOOD 3PTR by EATON,JACK",HENDRIXM 51-53 (+2),,"GOOD 3PTR by EATON,JACK",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
12:29,"MISS LAYUP by CHAMBERS,DIMETRI",,,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",2
12:29,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
12:23,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",2
12:03,"GOOD JUMPER by DAY,JUSTIN",53,,53,,OUM 53-53 (0),,"GOOD JUMPER by DAY,JUSTIN",2
11:45,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
11:45,"BLOCK  by ETIWE,TOJU",,,,,,,"BLOCK  by ETIWE,TOJU",2
--,"REBOUND DEF by ETIWE,TOJU",,,,,,,"REBOUND DEF by ETIWE,TOJU",2
11:40,"MISS 3PTR by SONE,CARLOS",,,,,,,"MISS 3PTR by SONE,CARLOS",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
11:34,"FOUL  by SONE,CARLOS",,,,,,,"FOUL  by SONE,CARLOS",2
11:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:34,"SUB IN by JENEI,RYAN",,,,,,,"SUB IN by JENEI,RYAN",2
11:34,"SUB IN by CAMMON,JOSH",,,,,,,"SUB IN by CAMMON,JOSH",2
11:34,"SUB OUT by ETIWE,TOJU",,,,,,,"SUB OUT by ETIWE,TOJU",2
11:34,"SUB OUT by SONE,CARLOS",,,,,,,"SUB OUT by SONE,CARLOS",2
11:34,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",2
11:34,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",2
11:34,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
11:34,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
11:05,,53,,55 (+2),"GOOD LAYUP by EATON,JACK(in the paint)",HENDRIXM 53-55 (+2),,"GOOD LAYUP by EATON,JACK(in the paint)",2
10:48,"MISS LAYUP by CHAMBERS,DIMETRI",,,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
10:45,"FOUL TECH by CHAMBERS,DIMETRI",,,,,,,"FOUL TECH by CHAMBERS,DIMETRI",2
10:45,"FOUL  by CHAMBERS,DIMETRI",,,,,,,"FOUL  by CHAMBERS,DIMETRI",2
10:45,,53,,56 (+3),"GOOD FT by STANLEY,SETH",HENDRIXM 53-56 (+3),,"GOOD FT by STANLEY,SETH",2
10:45,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:32,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by JENEI,RYAN",,,,,,,"REBOUND DEF by JENEI,RYAN",2
10:19,"MISS JUMPER by FOSTER,LANE",,,,,,,"MISS JUMPER by FOSTER,LANE",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
10:05,,53,,59 (+6),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 53-59 (+6),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by CARTWRIGHT,BROOKS",,,"ASSIST  by CARTWRIGHT,BROOKS",2
09:50,"MISS LAYUP by DAY,JUSTIN",,,,,,,"MISS LAYUP by DAY,JUSTIN",2
--,"REBOUND OFF by CAMMON,JOSH",,,,,,,"REBOUND OFF by CAMMON,JOSH",2
09:47,,,,,"FOUL  by CARTWRIGHT,BROOKS",,,"FOUL  by CARTWRIGHT,BROOKS",2
09:47,"GOOD FT by CAMMON,JOSH",54,,59 (+5),,OUM 54-59 (+5),,"GOOD FT by CAMMON,JOSH",2
09:47,"MISS FT by CAMMON,JOSH",,,,,,,"MISS FT by CAMMON,JOSH",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
09:04,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",2
09:02,"STEAL  by FOSTER,LANE",,,,,,,"STEAL  by FOSTER,LANE",2
08:59,"MISS LAYUP by JENEI,RYAN",,,,,,,"MISS LAYUP by JENEI,RYAN",2
--,"REBOUND OFF by CAMMON,JOSH",,,,,,,"REBOUND OFF by CAMMON,JOSH",2
08:55,,,,,"FOUL  by PHILLIP,ADAM",,,"FOUL  by PHILLIP,ADAM",2
08:55,"MISS FT by CAMMON,JOSH",,,,,,,"MISS FT by CAMMON,JOSH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:55,"MISS FT by CAMMON,JOSH",,,,,,,"MISS FT by CAMMON,JOSH",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
08:55,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
08:55,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
08:55,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",2
08:55,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",2
08:33,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by FOSTER,LANE",,,,,,,"REBOUND DEF by FOSTER,LANE",2
08:25,"MISS DUNK by CAMMON,JOSH",,,,,,,"MISS DUNK by CAMMON,JOSH",2
--,"REBOUND OFF by DAY,JUSTIN",,,,,,,"REBOUND OFF by DAY,JUSTIN",2
08:21,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
08:21,"SUB IN by ETIWE,TOJU",,,,,,,"SUB IN by ETIWE,TOJU",2
08:21,"SUB OUT by CAMMON,JOSH",,,,,,,"SUB OUT by CAMMON,JOSH",2
08:12,"MISS 3PTR by DAY,JUSTIN",,,,,,,"MISS 3PTR by DAY,JUSTIN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:46,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
07:44,"STEAL  by FOSTER,LANE",,,,,,,"STEAL  by FOSTER,LANE",2
07:42,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",56,,59 (+3),,OUM 56-59 (+3),,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",2
07:26,,56,,62 (+6),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 56-62 (+6),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",2
07:11,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
07:11,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:11,"GOOD FT by SONE,CARLOS",57,,62 (+5),,OUM 57-62 (+5),,"GOOD FT by SONE,CARLOS",2
07:11,"GOOD FT by SONE,CARLOS",58,,62 (+4),,OUM 58-62 (+4),,"GOOD FT by SONE,CARLOS",2
07:11,"SUB IN by SONE,CARLOS",,,,,,,"SUB IN by SONE,CARLOS",2
07:11,"SUB OUT by JENEI,RYAN",,,,,,,"SUB OUT by JENEI,RYAN",2
07:02,,58,,64 (+6),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 58-64 (+6),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",2
06:48,"GOOD 3PTR by DAY,JUSTIN",61,,64 (+3),,OUM 61-64 (+3),,"GOOD 3PTR by DAY,JUSTIN",2
--,"ASSIST  by SONE,CARLOS",,,,,,,"ASSIST  by SONE,CARLOS",2
06:33,,61,,66 (+5),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 61-66 (+5),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
06:13,"MISS JUMPER by ETIWE,TOJU",,,,,,,"MISS JUMPER by ETIWE,TOJU",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
06:01,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",2
05:57,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,"REBOUND DEF by DAY,JUSTIN",,,,,,,"REBOUND DEF by DAY,JUSTIN",2
05:54,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
05:54,"GOOD FT by DAY,JUSTIN",62,,66 (+4),,OUM 62-66 (+4),,"GOOD FT by DAY,JUSTIN",2
05:54,"GOOD FT by DAY,JUSTIN",63,,66 (+3),,OUM 63-66 (+3),,"GOOD FT by DAY,JUSTIN",2
05:46,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",2
05:43,"MISS JUMPER by SONE,CARLOS",,,,,,,"MISS JUMPER by SONE,CARLOS",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
05:21,,63,,69 (+6),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 63-69 (+6),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",2
05:17,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:10,"MISS JUMPER by FOSTER,LANE",,,,,,,"MISS JUMPER by FOSTER,LANE",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
04:43,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",2
--,"REBOUND DEF by ETIWE,TOJU",,,,,,,"REBOUND DEF by ETIWE,TOJU",2
04:26,"MISS 3PTR by DAY,JUSTIN",,,,,,,"MISS 3PTR by DAY,JUSTIN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
04:22,"SUB IN by CAMMON,JOSH",,,,,,,"SUB IN by CAMMON,JOSH",2
04:22,"SUB OUT by ETIWE,TOJU",,,,,,,"SUB OUT by ETIWE,TOJU",2
04:12,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",2
04:06,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
03:55,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
03:55,"BLOCK  by FOSTER,LANE",,,,,,,"BLOCK  by FOSTER,LANE",2
--,"REBOUND DEF by FOSTER,LANE",,,,,,,"REBOUND DEF by FOSTER,LANE",2
03:39,"TURNOVER  by DAY,JUSTIN",,,,,,,"TURNOVER  by DAY,JUSTIN",2
03:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:59,,63,,71 (+8),"GOOD JUMPER by LINK,JACOB(in the paint)",HENDRIXM 63-71 (+8),,"GOOD JUMPER by LINK,JACOB(in the paint)",2
02:40,"GOOD LAYUP by CAMMON,JOSH(in the paint)",65,,71 (+6),,OUM 65-71 (+6),,"GOOD LAYUP by CAMMON,JOSH(in the paint)",2
02:13,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
02:13,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",2
02:05,"GOOD 3PTR by DAY,JUSTIN",68,,71 (+3),,OUM 68-71 (+3),,"GOOD 3PTR by DAY,JUSTIN",2
--,"ASSIST  by FOSTER,LANE",,,,,,,"ASSIST  by FOSTER,LANE",2
01:51,"FOUL  by FOSTER,LANE",,,,,,,"FOUL  by FOSTER,LANE",2
01:37,,68,,73 (+5),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 68-73 (+5),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",2
01:19,"GOOD 3PTR by DAY,JUSTIN",71,,73 (+2),,OUM 71-73 (+2),,"GOOD 3PTR by DAY,JUSTIN",2
--,"ASSIST  by FOSTER,LANE",,,,,,,"ASSIST  by FOSTER,LANE",2
01:17,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:59,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,"REBOUND DEF by FOSTER,LANE",,,,,,,"REBOUND DEF by FOSTER,LANE",2
00:50,"TURNOVER  by CHAMBERS,DIMETRI",,,,,,,"TURNOVER  by CHAMBERS,DIMETRI",2
00:48,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",2
00:19,"SUB IN by ETIWE,TOJU",,,,,,,"SUB IN by ETIWE,TOJU",2
00:19,"SUB OUT by CHAMBERS,DIMETRI",,,,,,,"SUB OUT by CHAMBERS,DIMETRI",2
00:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:17,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",2
--,"REBOUND DEF by ETIWE,TOJU",,,,,,,"REBOUND DEF by ETIWE,TOJU",2
00:08,"MISS LAYUP by FOSTER,LANE",,,,,,,"MISS LAYUP by FOSTER,LANE",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
00:04,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,2
00:04,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,2
00:04,"FOUL  by CAMMON,JOSH",,,,,,,"FOUL  by CAMMON,JOSH",2
00:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:04,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:02,"FOUL  by DAY,JUSTIN",,,,,,,"FOUL  by DAY,JUSTIN",2
00:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:02,,71,,74 (+3),"GOOD FT by STANLEY,SETH",HENDRIXM 71-74 (+3),,"GOOD FT by STANLEY,SETH",2
00:02,,71,,75 (+4),"GOOD FT by STANLEY,SETH",HENDRIXM 71-75 (+4),,"GOOD FT by STANLEY,SETH",2
00:00,"MISS 3PTR by DAY,JUSTIN",,,,,,,"MISS 3PTR by DAY,JUSTIN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
