Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
07:30,,16,,22 (+6),"GOOD DUNK by FITCH,CARL(in the paint)",HENDRIXM 16-22 (+6),,"GOOD DUNK by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",1
07:11,"GOOD 3PTR by O'SULLIVAN,CONOR",19,,22 (+3),,BSC-M 19-22 (+3),,"GOOD 3PTR by O'SULLIVAN,CONOR",1
06:50,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,,,,,"REBOUND OFF by II,ROD CUMMINGS",,,"REBOUND OFF by II,ROD CUMMINGS",1
06:42,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",1
06:42,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:42,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
06:42,"SUB IN by MORRISON,JASON",,,,,,,"SUB IN by MORRISON,JASON",1
06:42,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
06:42,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
06:42,"SUB OUT by ,BRUCE BRIGHT JR",,,,,,,"SUB OUT by ,BRUCE BRIGHT JR",1
06:42,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
06:42,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
06:42,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
06:42,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
06:42,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
06:41,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by MORRISON,JASON",,,,,,,"REBOUND DEF by MORRISON,JASON",1
06:35,"MISS 3PTR by O'SULLIVAN,CONOR",,,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",1
06:11,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by MORRISON,JASON",,,,,,,"REBOUND DEF by MORRISON,JASON",1
05:51,"TURNOVER  by O'SULLIVAN,CONOR",,,,,,,"TURNOVER  by O'SULLIVAN,CONOR",1
