Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
15:03,"STEAL  by HASLAM,ETHAN",,,,,,,"STEAL  by HASLAM,ETHAN",1
14:57,"GOOD 3PTR by JONES,DREW",11,,15 (+4),,BCM 11-15 (+4),,"GOOD 3PTR by JONES,DREW",1
--,"ASSIST  by ESTES,DJ",,,,,,,"ASSIST  by ESTES,DJ",1
14:44,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by ESTES,DJ",,,,,,,"REBOUND DEF by ESTES,DJ",1
14:35,"FOUL  by JONES,DREW",,,,,,,"FOUL  by JONES,DREW",1
14:35,"TURNOVER  by JONES,DREW",,,,,,,"TURNOVER  by JONES,DREW",1
14:18,,11,,17 (+6),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 11-17 (+6),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
13:56,"GOOD LAYUP by JOHNSON,MICAH(in the paint)",13,,17 (+4),,BCM 13-17 (+4),,"GOOD LAYUP by JOHNSON,MICAH(in the paint)",1
--,"ASSIST  by HASLAM,ETHAN",,,,,,,"ASSIST  by HASLAM,ETHAN",1
13:56,,,,,"FOUL  by CARTWRIGHT,BROOKS",,,"FOUL  by CARTWRIGHT,BROOKS",1
13:56,"MISS FT by JOHNSON,MICAH",,,,,,,"MISS FT by JOHNSON,MICAH",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
13:50,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",1
13:50,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",1
13:50,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",1
13:50,"SUB OUT by JONES,DREW",,,,,,,"SUB OUT by JONES,DREW",1
13:36,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
13:35,"STEAL  by JOHNSON,MICAH",,,,,,,"STEAL  by JOHNSON,MICAH",1
13:32,"GOOD LAYUP by JOHNSON,MICAH(in the paint)",15,,17 (+2),,BCM 15-17 (+2),,"GOOD LAYUP by JOHNSON,MICAH(in the paint)",1
13:32,,,,,"FOUL  by CARTWRIGHT,BROOKS",,,"FOUL  by CARTWRIGHT,BROOKS",1
13:32,"MISS FT by JOHNSON,MICAH",,,,,,,"MISS FT by JOHNSON,MICAH",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
13:32,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",1
13:32,"SUB OUT by HASLAM,ETHAN",,,,,,,"SUB OUT by HASLAM,ETHAN",1
13:32,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
13:32,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",1
13:14,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",1
--,"REBOUND DEF by JOHNSON,MICAH",,,,,,,"REBOUND DEF by JOHNSON,MICAH",1
12:56,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",17,,17,,BCM 17-17 (0),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
12:24,,17,,19 (+2),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 17-19 (+2),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",1
12:24,"FOUL  by COSTAS,RILEY",,,,,,,"FOUL  by COSTAS,RILEY",1
12:24,,17,,20 (+3),"GOOD FT by CONRAD,ALEX",HENDRIXM 17-20 (+3),,"GOOD FT by CONRAD,ALEX",1
12:24,"SUB IN by SOWADA,COLLIN",,,,,,,"SUB IN by SOWADA,COLLIN",1
12:24,"SUB OUT by JOHNSON,MICAH",,,,,,,"SUB OUT by JOHNSON,MICAH",1
12:24,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
12:24,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
12:24,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
12:24,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
12:15,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",1
12:15,"SUB IN by WEHUNT,DAWSON",,,,,,,"SUB IN by WEHUNT,DAWSON",1
12:15,"SUB OUT by ESTES,DJ",,,,,,,"SUB OUT by ESTES,DJ",1
11:57,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
11:57,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:47,"TURNOVER  by BROOKS,AUSTIN",,,,,,,"TURNOVER  by BROOKS,AUSTIN",1
11:36,,,,,"TURNOVER  by PHILLIP,ADAM",,,"TURNOVER  by PHILLIP,ADAM",1
11:35,"STEAL  by SOWADA,COLLIN",,,,,,,"STEAL  by SOWADA,COLLIN",1
11:30,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
11:22,"MISS JUMPER by WEHUNT,DAWSON",,,,,,,"MISS JUMPER by WEHUNT,DAWSON",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
11:08,"FOUL  by COSTAS,RILEY",,,,,,,"FOUL  by COSTAS,RILEY",1
11:03,,17,,22 (+5),"GOOD JUMPER by STANLEY,SETH(in the paint)",HENDRIXM 17-22 (+5),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
10:52,"FOUL  by SOWADA,COLLIN",,,,,,,"FOUL  by SOWADA,COLLIN",1
10:52,"TURNOVER  by SOWADA,COLLIN",,,,,,,"TURNOVER  by SOWADA,COLLIN",1
10:52,,,,,"SUB IN by MAXWELL,PEYTON",,,"SUB IN by MAXWELL,PEYTON",1
10:52,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
10:48,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
10:15,"GOOD DUNK by BROOKS,AUSTIN(in the paint)",19,,22 (+3),,BCM 19-22 (+3),,"GOOD DUNK by BROOKS,AUSTIN(in the paint)",1
--,"ASSIST  by SOWADA,COLLIN",,,,,,,"ASSIST  by SOWADA,COLLIN",1
09:55,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:46,"SUB IN by HASLAM,ETHAN",,,,,,,"SUB IN by HASLAM,ETHAN",1
09:46,"SUB IN by JOHNSON,MICAH",,,,,,,"SUB IN by JOHNSON,MICAH",1
09:46,"SUB OUT by COSTAS,RILEY",,,,,,,"SUB OUT by COSTAS,RILEY",1
09:46,"SUB OUT by SOWADA,COLLIN",,,,,,,"SUB OUT by SOWADA,COLLIN",1
09:46,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",1
09:46,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
09:41,"GOOD JUMPER by BROOKS,AUSTIN(in the paint)",21,,22 (+1),,BCM 21-22 (+1),,"GOOD JUMPER by BROOKS,AUSTIN(in the paint)",1
09:20,,21,,24 (+3),"GOOD LAYUP by EATON,JACK(in the paint)",HENDRIXM 21-24 (+3),,"GOOD LAYUP by EATON,JACK(in the paint)",1
09:06,"MISS 3PTR by HASLAM,ETHAN",,,,,,,"MISS 3PTR by HASLAM,ETHAN",1
--,"REBOUND OFF by BROOKS,AUSTIN",,,,,,,"REBOUND OFF by BROOKS,AUSTIN",1
08:50,"GOOD 3PTR by JOHNSON,MICAH",24,,24,,BCM 24-24 (0),,"GOOD 3PTR by JOHNSON,MICAH",1
08:35,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by HASLAM,ETHAN",,,,,,,"REBOUND DEF by HASLAM,ETHAN",1
08:15,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",26 (+2),,24,,BCM 26-24 (-2),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
07:53,"FOUL  by CLARK,ETHAN",,,,,,,"FOUL  by CLARK,ETHAN",1
07:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:53,,26 (+1),,25,"GOOD FT by PHILLIP,ADAM",HENDRIXM 26-25 (-1),,"GOOD FT by PHILLIP,ADAM",1
07:53,,,,,"MISS FT by PHILLIP,ADAM",,,"MISS FT by PHILLIP,ADAM",1
--,"REBOUND DEF by JOHNSON,MICAH",,,,,,,"REBOUND DEF by JOHNSON,MICAH",1
07:45,"MISS JUMPER by JOHNSON,MICAH",,,,,,,"MISS JUMPER by JOHNSON,MICAH",1
--,,,,,"REBOUND DEF by PHILLIP,ADAM",,,"REBOUND DEF by PHILLIP,ADAM",1
07:23,"FOUL  by BROOKS,AUSTIN",,,,,,,"FOUL  by BROOKS,AUSTIN",1
07:23,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:23,,26,,26,"GOOD FT by LINK,JACOB",HENDRIXM 26-26 (0),,"GOOD FT by LINK,JACOB",1
07:23,"SUB IN by HONROTH,OWEN",,,,,,,"SUB IN by HONROTH,OWEN",1
07:23,"SUB IN by JONES,DREW",,,,,,,"SUB IN by JONES,DREW",1
07:23,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",1
07:23,"SUB OUT by WEHUNT,DAWSON",,,,,,,"SUB OUT by WEHUNT,DAWSON",1
07:23,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
07:23,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",1
07:20,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
07:20,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",1
07:20,"SUB IN by WEHUNT,DAWSON",,,,,,,"SUB IN by WEHUNT,DAWSON",1
07:20,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
07:20,"SUB OUT by HONROTH,OWEN",,,,,,,"SUB OUT by HONROTH,OWEN",1
07:20,"SUB OUT by JONES,DREW",,,,,,,"SUB OUT by JONES,DREW",1
07:10,"SUB IN by ESTES,DJ",,,,,,,"SUB IN by ESTES,DJ",1
07:10,"SUB OUT by WEHUNT,DAWSON",,,,,,,"SUB OUT by WEHUNT,DAWSON",1
06:51,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
06:51,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
06:45,"GOOD DUNK by JOHNSON,MICAH(in the paint)",28 (+2),,26,,BCM 28-26 (-2),,"GOOD DUNK by JOHNSON,MICAH(in the paint)",1
--,"ASSIST  by ESTES,DJ",,,,,,,"ASSIST  by ESTES,DJ",1
06:28,,28,,29 (+1),"GOOD 3PTR by CARTWRIGHT,BROOKS",HENDRIXM 28-29 (+1),,"GOOD 3PTR by CARTWRIGHT,BROOKS",1
05:55,"MISS LAYUP by HAYNES,CALEB",,,,,,,"MISS LAYUP by HAYNES,CALEB",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
05:51,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",1
05:49,"STEAL  by JOHNSON,MICAH",,,,,,,"STEAL  by JOHNSON,MICAH",1
05:46,"TURNOVER  by JOHNSON,MICAH",,,,,,,"TURNOVER  by JOHNSON,MICAH",1
05:45,,,,,"STEAL  by CONRAD,ALEX",,,"STEAL  by CONRAD,ALEX",1
05:20,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",1
05:01,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
05:01,"GOOD FT by CLARK,ETHAN",29,,29,,BCM 29-29 (0),,"GOOD FT by CLARK,ETHAN",1
05:01,"SUB IN by SOWADA,COLLIN",,,,,,,"SUB IN by SOWADA,COLLIN",1
05:01,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",1
05:01,"SUB OUT by HASLAM,ETHAN",,,,,,,"SUB OUT by HASLAM,ETHAN",1
05:01,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",1
04:58,"GOOD FT by CLARK,ETHAN",30 (+1),,29,,BCM 30-29 (-1),,"GOOD FT by CLARK,ETHAN",1
04:46,,30,,32 (+2),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 30-32 (+2),,"GOOD 3PTR by COMAN,SEAN",1
04:26,"GOOD 3PTR by SOWADA,COLLIN",33 (+1),,32,,BCM 33-32 (-1),,"GOOD 3PTR by SOWADA,COLLIN",1
04:11,,33,,35 (+2),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 33-35 (+2),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",1
04:00,"SUB IN by HONROTH,OWEN",,,,,,,"SUB IN by HONROTH,OWEN",1
04:00,"SUB OUT by JOHNSON,MICAH",,,,,,,"SUB OUT by JOHNSON,MICAH",1
03:59,"GOOD 3PTR by HONROTH,OWEN",36 (+1),,35,,BCM 36-35 (-1),,"GOOD 3PTR by HONROTH,OWEN",1
03:36,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
03:17,"TURNOVER  by SOWADA,COLLIN",,,,,,,"TURNOVER  by SOWADA,COLLIN",1
03:17,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:00,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND DEF by SOWADA,COLLIN",,,,,,,"REBOUND DEF by SOWADA,COLLIN",1
02:52,"MISS 3PTR by HONROTH,OWEN",,,,,,,"MISS 3PTR by HONROTH,OWEN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
02:43,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
02:43,,,,,"SUB OUT by MAXWELL,PEYTON",,,"SUB OUT by MAXWELL,PEYTON",1
02:37,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,"REBOUND DEF by CLARK,ETHAN",,,,,,,"REBOUND DEF by CLARK,ETHAN",1
02:23,"MISS LAYUP by BROOKS,AUSTIN",,,,,,,"MISS LAYUP by BROOKS,AUSTIN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
02:16,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
02:16,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
02:16,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
02:16,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
02:09,"GOOD JUMPER by ESTES,DJ(in the paint)",38 (+3),,35,,BCM 38-35 (-3),,"GOOD JUMPER by ESTES,DJ(in the paint)",1
01:57,"FOUL  by CLARK,ETHAN",,,,,,,"FOUL  by CLARK,ETHAN",1
01:57,,,,,"MISS FT by EATON,JACK",,,"MISS FT by EATON,JACK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:57,,38 (+2),,36,"GOOD FT by EATON,JACK",HENDRIXM 38-36 (-2),,"GOOD FT by EATON,JACK",1
01:57,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
01:57,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
01:27,"MISS LAYUP by SOWADA,COLLIN",,,,,,,"MISS LAYUP by SOWADA,COLLIN",1
--,"REBOUND OFF by HAYNES,CALEB",,,,,,,"REBOUND OFF by HAYNES,CALEB",1
01:22,"MISS LAYUP by HAYNES,CALEB",,,,,,,"MISS LAYUP by HAYNES,CALEB",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
01:07,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",1
01:07,"BLOCK  by HAYNES,CALEB",,,,,,,"BLOCK  by HAYNES,CALEB",1
--,"REBOUND DEF by SOWADA,COLLIN",,,,,,,"REBOUND DEF by SOWADA,COLLIN",1
01:02,"TURNOVER  by SOWADA,COLLIN",,,,,,,"TURNOVER  by SOWADA,COLLIN",1
01:01,,,,,"STEAL  by EATON,JACK",,,"STEAL  by EATON,JACK",1
00:54,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
00:54,"SUB IN by JOHNSON,MICAH",,,,,,,"SUB IN by JOHNSON,MICAH",1
00:54,"SUB OUT by SOWADA,COLLIN",,,,,,,"SUB OUT by SOWADA,COLLIN",1
00:29,"GOOD LAYUP by ESTES,DJ(in the paint)",40 (+4),,36,,BCM 40-36 (-4),,"GOOD LAYUP by ESTES,DJ(in the paint)",1
--,"ASSIST  by HAYNES,CALEB",,,,,,,"ASSIST  by HAYNES,CALEB",1
00:20,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:17,"SUB IN by FALCONER,TREY",,,,,,,"SUB IN by FALCONER,TREY",1
00:17,"SUB IN by HASLAM,ETHAN",,,,,,,"SUB IN by HASLAM,ETHAN",1
00:17,"SUB OUT by HONROTH,OWEN",,,,,,,"SUB OUT by HONROTH,OWEN",1
00:17,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",1
00:00,,,,,"MISS JUMPER by CONRAD,ALEX",,,"MISS JUMPER by CONRAD,ALEX",1
--,"REBOUND DEF by HASLAM,ETHAN",,,,,,,"REBOUND DEF by HASLAM,ETHAN",1
19:51,"MISS 3PTR by ESTES,DJ",,,,,,,"MISS 3PTR by ESTES,DJ",2
--,"REBOUND OFF by JOHNSON,MICAH",,,,,,,"REBOUND OFF by JOHNSON,MICAH",2
19:47,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
19:43,"TURNOVER  by JONES,DREW",,,,,,,"TURNOVER  by JONES,DREW",2
19:42,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",2
19:30,"FOUL  by JOHNSON,MICAH",,,,,,,"FOUL  by JOHNSON,MICAH",2
19:30,,40 (+3),,37,"GOOD FT by II,ROD CUMMINGS",HENDRIXM 40-37 (-3),,"GOOD FT by II,ROD CUMMINGS",2
19:30,,,,,"MISS FT by II,ROD CUMMINGS",,,"MISS FT by II,ROD CUMMINGS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:30,,,,,"MISS FT by II,ROD CUMMINGS",,,"MISS FT by II,ROD CUMMINGS",2
--,"REBOUND DEF by JOHNSON,MICAH",,,,,,,"REBOUND DEF by JOHNSON,MICAH",2
19:05,"GOOD LAYUP by JOHNSON,MICAH(in the paint)",42 (+5),,37,,BCM 42-37 (-5),,"GOOD LAYUP by JOHNSON,MICAH(in the paint)",2
18:38,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,"REBOUND DEF by JONES,DREW",,,,,,,"REBOUND DEF by JONES,DREW",2
18:19,"GOOD LAYUP by HAYNES,CALEB(in the paint)",44 (+7),,37,,BCM 44-37 (-7),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",2
18:01,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,"REBOUND DEF by JONES,DREW",,,,,,,"REBOUND DEF by JONES,DREW",2
17:42,"TURNOVER  by JOHNSON,MICAH",,,,,,,"TURNOVER  by JOHNSON,MICAH",2
17:40,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",2
17:38,,44 (+5),,39,"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",HENDRIXM 44-39 (-5),,"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",2
17:19,"GOOD JUMPER by HAYNES,CALEB(in the paint)",46 (+7),,39,,BCM 46-39 (-7),,"GOOD JUMPER by HAYNES,CALEB(in the paint)",2
17:01,,46 (+5),,41,"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 46-41 (-5),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
16:47,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
16:35,"MISS JUMPER by JONES,DREW",,,,,,,"MISS JUMPER by JONES,DREW",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
16:25,"FOUL  by HASLAM,ETHAN",,,,,,,"FOUL  by HASLAM,ETHAN",2
16:09,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",2
--,"REBOUND DEF by HASLAM,ETHAN",,,,,,,"REBOUND DEF by HASLAM,ETHAN",2
15:49,"TURNOVER  by HAYNES,CALEB",,,,,,,"TURNOVER  by HAYNES,CALEB",2
15:49,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",2
15:49,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:49,"SUB IN by SOWADA,COLLIN",,,,,,,"SUB IN by SOWADA,COLLIN",2
15:49,"SUB OUT by JOHNSON,MICAH",,,,,,,"SUB OUT by JOHNSON,MICAH",2
15:40,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,"REBOUND DEF by ESTES,DJ",,,,,,,"REBOUND DEF by ESTES,DJ",2
15:27,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
15:27,"MISS FT by HAYNES,CALEB",,,,,,,"MISS FT by HAYNES,CALEB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:27,"GOOD FT by HAYNES,CALEB",47 (+6),,41,,BCM 47-41 (-6),,"GOOD FT by HAYNES,CALEB",2
15:27,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",2
15:27,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",2
