Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,SPA,Game Score,Team Indicator,Play,Period
14:53,,,,,"MISS LAYUP by ROWE,RYLAN",,,"MISS LAYUP by ROWE,RYLAN",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
14:45,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
14:39,,,,,"MISS 3PTR by GOEING,BRANDON",,,"MISS 3PTR by GOEING,BRANDON",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
14:21,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
14:11,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by SMITH,TEREZ",,,"REBOUND DEF by SMITH,TEREZ",1
13:49,,,,,"MISS LAYUP by SMITH,TEREZ",,,"MISS LAYUP by SMITH,TEREZ",1
13:49,"BLOCK  by GUMP,MATT",,,,,,,"BLOCK  by GUMP,MATT",1
--,"REBOUND DEF by GRUBER,SAM",,,,,,,"REBOUND DEF by GRUBER,SAM",1
13:42,,,,,"FOUL  by SMITH,TEREZ",,,"FOUL  by SMITH,TEREZ",1
13:42,"MISS FT by SCHMUCKER,ZACH",,,,,,,"MISS FT by SCHMUCKER,ZACH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:42,"MISS FT by SCHMUCKER,ZACH",,,,,,,"MISS FT by SCHMUCKER,ZACH",1
--,,,,,"REBOUND DEF by WALLACE,KEITH",,,"REBOUND DEF by WALLACE,KEITH",1
13:42,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
13:42,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
13:42,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
13:42,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
13:42,"SUB IN by KIDWELL,BRENT",,,,,,,"SUB IN by KIDWELL,BRENT",1
13:42,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
13:42,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
