Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,FC,Game Score,Team Indicator,Play,Period
17:39,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
17:25,,4,,4,"GOOD LAYUP by MANN,AARON(in the paint)",FC 4-4 (0),,"GOOD LAYUP by MANN,AARON(in the paint)",1
--,,,,,"ASSIST  by WASHINGTON,TRAE",,,"ASSIST  by WASHINGTON,TRAE",1
17:10,,,,,"FOUL  by BEINEKE,JOHN",,,"FOUL  by BEINEKE,JOHN",1
17:10,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
17:10,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
17:10,,,,,"SUB IN by NIEHOFF,MATT",,,"SUB IN by NIEHOFF,MATT",1
17:10,,,,,"SUB OUT by BEINEKE,JOHN",,,"SUB OUT by BEINEKE,JOHN",1
16:59,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by PRATHER,ROBBIE",,,"REBOUND DEF by PRATHER,ROBBIE",1
16:40,,4,,7 (+3),"GOOD 3PTR by WASHINGTON,TRAE",FC 4-7 (-3),,"GOOD 3PTR by WASHINGTON,TRAE",1
--,,,,,"ASSIST  by PRATHER,ROBBIE",,,"ASSIST  by PRATHER,ROBBIE",1
16:22,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",6,,7 (+1),,CENTRE 6-7 (-1),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
15:58,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
15:55,,,,,"MISS 3PTR by MANN,AARON",,,"MISS 3PTR by MANN,AARON",1
--,,,,,"REBOUND OFF by MCCORY,BRETT",,,"REBOUND OFF by MCCORY,BRETT",1
15:49,,,,,"MISS 3PTR by WASHINGTON,TRAE",,,"MISS 3PTR by WASHINGTON,TRAE",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
15:47,,,,,"FOUL  by NIEHOFF,MATT",,,"FOUL  by NIEHOFF,MATT",1
15:31,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",8 (+1),,7,,CENTRE 8-7 (+1),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
15:19,,,,,"TURNOVER  by MCCORY,BRETT",,,"TURNOVER  by MCCORY,BRETT",1
15:18,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",1
15:13,,,,,"FOUL  by MCCORY,BRETT",,,"FOUL  by MCCORY,BRETT",1
15:13,"MISS FT by GUMP,MATT",,,,,,,"MISS FT by GUMP,MATT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:13,"MISS FT by GUMP,MATT",,,,,,,"MISS FT by GUMP,MATT",1
--,,,,,"REBOUND DEF by MARTINDALE,JOSH",,,"REBOUND DEF by MARTINDALE,JOSH",1
15:13,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
15:13,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
15:13,,,,,"SUB IN by MARTINDALE,JOSH",,,"SUB IN by MARTINDALE,JOSH",1
15:13,,,,,"SUB OUT by MCCORY,BRETT",,,"SUB OUT by MCCORY,BRETT",1
15:11,,,,,"TURNOVER  by WASHINGTON,TRAE",,,"TURNOVER  by WASHINGTON,TRAE",1
15:08,"STEAL  by GRUBER,SAM",,,,,,,"STEAL  by GRUBER,SAM",1
15:06,"MISS LAYUP by GRUBER,SAM",,,,,,,"MISS LAYUP by GRUBER,SAM",1
--,,,,,"REBOUND DEF by WASHINGTON,TRAE",,,"REBOUND DEF by WASHINGTON,TRAE",1
15:03,,8,,10 (+2),"GOOD 3PTR by PRATHER,ROBBIE(fastbreak)",FC 8-10 (-2),,"GOOD 3PTR by PRATHER,ROBBIE(fastbreak)",1
--,,,,,"ASSIST  by WASHINGTON,TRAE",,,"ASSIST  by WASHINGTON,TRAE",1
14:40,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
14:40,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
14:35,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",10,,10,,CENTRE 10-10 (0),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by REPISHTI,BRYAN",,,,,,,"ASSIST  by REPISHTI,BRYAN",1
14:22,,,,,"MISS 3PTR by PRATHER,ROBBIE",,,"MISS 3PTR by PRATHER,ROBBIE",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
14:09,,,,,"FOUL  by NIEHOFF,MATT",,,"FOUL  by NIEHOFF,MATT",1
14:09,,,,,"SUB IN by BOLES,TREY",,,"SUB IN by BOLES,TREY",1
14:09,,,,,"SUB OUT by NIEHOFF,MATT",,,"SUB OUT by NIEHOFF,MATT",1
13:56,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
13:41,,,,,"FOUL  by MARTINDALE,JOSH",,,"FOUL  by MARTINDALE,JOSH",1
13:41,,,,,"TURNOVER  by MARTINDALE,JOSH",,,"TURNOVER  by MARTINDALE,JOSH",1
13:41,,,,,TIMEOUT 30SEC by TM,,,TIMEOUT 30SEC by TM,1
13:32,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by WASHINGTON,TRAE",,,"REBOUND DEF by WASHINGTON,TRAE",1
13:23,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
13:23,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
13:23,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
13:06,,,,,"MISS JUMPER by MANN,AARON",,,"MISS JUMPER by MANN,AARON",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
12:47,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",12 (+2),,10,,CENTRE 12-10 (+2),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
12:30,,,,,"MISS JUMPER by WASHINGTON,TRAE",,,"MISS JUMPER by WASHINGTON,TRAE",1
12:30,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
12:14,,,,,"FOUL  by MARTINDALE,JOSH",,,"FOUL  by MARTINDALE,JOSH",1
12:14,"GOOD FT by SCINTA,BLAKE",13 (+3),,10,,CENTRE 13-10 (+3),,"GOOD FT by SCINTA,BLAKE",1
12:14,"GOOD FT by SCINTA,BLAKE",14 (+4),,10,,CENTRE 14-10 (+4),,"GOOD FT by SCINTA,BLAKE",1
12:14,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
12:14,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
12:14,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
12:14,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
12:14,,,,,"SUB IN by CREGAR,DYLAN",,,"SUB IN by CREGAR,DYLAN",1
12:14,,,,,"SUB OUT by MARTINDALE,JOSH",,,"SUB OUT by MARTINDALE,JOSH",1
11:59,"FOUL  by BURNS,DREW",,,,,,,"FOUL  by BURNS,DREW",1
11:49,,,,,"MISS LAYUP by MANN,AARON",,,"MISS LAYUP by MANN,AARON",1
--,"REBOUND DEF by BURNS,DREW",,,,,,,"REBOUND DEF by BURNS,DREW",1
11:36,,,,,"FOUL  by CREGAR,DYLAN",,,"FOUL  by CREGAR,DYLAN",1
11:36,"GOOD FT by SINE,TUCKER",15 (+5),,10,,CENTRE 15-10 (+5),,"GOOD FT by SINE,TUCKER",1
11:36,"GOOD FT by SINE,TUCKER",16 (+6),,10,,CENTRE 16-10 (+6),,"GOOD FT by SINE,TUCKER",1
11:09,,,,,"TURNOVER  by MANN,AARON",,,"TURNOVER  by MANN,AARON",1
11:08,"STEAL  by BURNS,DREW",,,,,,,"STEAL  by BURNS,DREW",1
11:02,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by WASHINGTON,TRAE",,,"REBOUND DEF by WASHINGTON,TRAE",1
10:55,,,,,"MISS JUMPER by MANN,AARON",,,"MISS JUMPER by MANN,AARON",1
10:55,"BLOCK  by GRIFFIN,JAROD",,,,,,,"BLOCK  by GRIFFIN,JAROD",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
10:46,"GOOD LAYUP by GUMP,MATT(in the paint)",18 (+8),,10,,CENTRE 18-10 (+8),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
10:30,,,,,"MISS JUMPER by PRATHER,ROBBIE",,,"MISS JUMPER by PRATHER,ROBBIE",1
--,,,,,"REBOUND OFF by PRATHER,ROBBIE",,,"REBOUND OFF by PRATHER,ROBBIE",1
10:26,,18 (+6),,12,"GOOD JUMPER by PRATHER,ROBBIE(in the paint)",FC 18-12 (+6),,"GOOD JUMPER by PRATHER,ROBBIE(in the paint)",1
10:16,,,,,"FOUL  by BOLES,TREY",,,"FOUL  by BOLES,TREY",1
10:16,"MISS FT by GRIFFIN,JAROD",,,,,,,"MISS FT by GRIFFIN,JAROD",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:16,"MISS FT by GRIFFIN,JAROD",,,,,,,"MISS FT by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by BOLES,TREY",,,"REBOUND DEF by BOLES,TREY",1
10:16,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
10:16,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
10:16,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
10:16,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
10:16,,,,,"SUB IN by GILES,CALEB",,,"SUB IN by GILES,CALEB",1
10:16,,,,,"SUB OUT by MANN,AARON",,,"SUB OUT by MANN,AARON",1
10:10,,,,,"MISS 3PTR by WASHINGTON,TRAE",,,"MISS 3PTR by WASHINGTON,TRAE",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
09:55,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by BOLES,TREY",,,"REBOUND DEF by BOLES,TREY",1
09:49,,18 (+3),,15,"GOOD 3PTR by BOLES,TREY",FC 18-15 (+3),,"GOOD 3PTR by BOLES,TREY",1
--,,,,,"ASSIST  by WASHINGTON,TRAE",,,"ASSIST  by WASHINGTON,TRAE",1
09:37,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by WASHINGTON,TRAE",,,"REBOUND DEF by WASHINGTON,TRAE",1
09:31,,,,,"MISS JUMPER by WASHINGTON,TRAE",,,"MISS JUMPER by WASHINGTON,TRAE",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
09:03,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",20 (+5),,15,,CENTRE 20-15 (+5),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
08:47,,20 (+3),,17,"GOOD JUMPER by GILES,CALEB(in the paint)",FC 20-17 (+3),,"GOOD JUMPER by GILES,CALEB(in the paint)",1
08:25,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
08:25,,,,,"BLOCK  by WASHINGTON,TRAE",,,"BLOCK  by WASHINGTON,TRAE",1
--,,,,,"REBOUND DEF by WASHINGTON,TRAE",,,"REBOUND DEF by WASHINGTON,TRAE",1
08:18,,20 (+1),,19,"GOOD JUMPER by PRATHER,ROBBIE(fastbreak)(in the paint)",FC 20-19 (+1),,"GOOD JUMPER by PRATHER,ROBBIE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WASHINGTON,TRAE",,,"ASSIST  by WASHINGTON,TRAE",1
08:15,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:15,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
08:15,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
08:15,,,,,"SUB IN by OAKLEY,BLAKE",,,"SUB IN by OAKLEY,BLAKE",1
08:15,,,,,"SUB OUT by WASHINGTON,TRAE",,,"SUB OUT by WASHINGTON,TRAE",1
08:15,,,,,"SUB OUT by PRATHER,ROBBIE",,,"SUB OUT by PRATHER,ROBBIE",1
08:15,,,,,"SUB OUT by BOLES,TREY",,,"SUB OUT by BOLES,TREY",1
08:15,,,,,"SUB OUT by CREGAR,DYLAN",,,"SUB OUT by CREGAR,DYLAN",1
08:01,"GOOD 3PTR by REPISHTI,BRYAN",23 (+4),,19,,CENTRE 23-19 (+4),,"GOOD 3PTR by REPISHTI,BRYAN",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
07:50,,23 (+2),,21,"GOOD JUMPER by PRATHER,ROBBIE(in the paint)",FC 23-21 (+2),,"GOOD JUMPER by PRATHER,ROBBIE(in the paint)",1
07:33,"GOOD LAYUP by WESLEY,TYLER(in the paint)",25 (+4),,21,,CENTRE 25-21 (+4),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
07:33,,,,,"FOUL  by BOLES,TREY",,,"FOUL  by BOLES,TREY",1
07:33,"GOOD FT by WESLEY,TYLER",26 (+5),,21,,CENTRE 26-21 (+5),,"GOOD FT by WESLEY,TYLER",1
07:33,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
07:33,"SUB IN by MAGUIRE,WILL",,,,,,,"SUB IN by MAGUIRE,WILL",1
07:33,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
07:33,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
07:33,,,,,"SUB IN by MANN,AARON",,,"SUB IN by MANN,AARON",1
07:07,,,,,"MISS 3PTR by GILES,CALEB",,,"MISS 3PTR by GILES,CALEB",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
06:54,,,,,"FOUL  by CREGAR,DYLAN",,,"FOUL  by CREGAR,DYLAN",1
06:54,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:54,"GOOD FT by SCINTA,BLAKE",27 (+6),,21,,CENTRE 27-21 (+6),,"GOOD FT by SCINTA,BLAKE",1
06:54,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
06:54,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
06:30,,,,,"MISS JUMPER by MANN,AARON",,,"MISS JUMPER by MANN,AARON",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
06:09,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",29 (+8),,21,,CENTRE 29-21 (+8),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
05:56,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
05:56,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
05:56,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
05:56,,,,,"SUB IN by WASHINGTON,TRAE",,,"SUB IN by WASHINGTON,TRAE",1
05:37,,,,,"MISS JUMPER by MANN,AARON",,,"MISS JUMPER by MANN,AARON",1
--,"REBOUND DEF by EBERT,CARSON",,,,,,,"REBOUND DEF by EBERT,CARSON",1
05:19,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by CREGAR,DYLAN",,,"REBOUND DEF by CREGAR,DYLAN",1
05:09,,,,,"MISS 3PTR by GILES,CALEB",,,"MISS 3PTR by GILES,CALEB",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
05:01,"TURNOVER  by EBERT,CARSON",,,,,,,"TURNOVER  by EBERT,CARSON",1
04:59,,,,,"STEAL  by GILES,CALEB",,,"STEAL  by GILES,CALEB",1
04:40,,29 (+6),,23,"GOOD JUMPER by MANN,AARON",FC 29-23 (+6),,"GOOD JUMPER by MANN,AARON",1
04:22,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND DEF by CREGAR,DYLAN",,,"REBOUND DEF by CREGAR,DYLAN",1
04:01,,,,,"MISS JUMPER by MANN,AARON",,,"MISS JUMPER by MANN,AARON",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
03:39,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",31 (+8),,23,,CENTRE 31-23 (+8),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
03:39,,,,,"FOUL  by CREGAR,DYLAN",,,"FOUL  by CREGAR,DYLAN",1
03:39,"GOOD FT by SCINTA,BLAKE",32 (+9),,23,,CENTRE 32-23 (+9),,"GOOD FT by SCINTA,BLAKE",1
03:39,,,,,TIMEOUT 30SEC by TM,,,TIMEOUT 30SEC by TM,1
03:39,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
03:39,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
03:39,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
03:39,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
03:39,"SUB OUT by MAGUIRE,WILL",,,,,,,"SUB OUT by MAGUIRE,WILL",1
03:39,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
03:39,,,,,"SUB IN by PRATHER,ROBBIE",,,"SUB IN by PRATHER,ROBBIE",1
03:39,,,,,"SUB IN by MARTINDALE,JOSH",,,"SUB IN by MARTINDALE,JOSH",1
03:39,,,,,"SUB OUT by OAKLEY,BLAKE",,,"SUB OUT by OAKLEY,BLAKE",1
03:21,,,,,"MISS LAYUP by PRATHER,ROBBIE",,,"MISS LAYUP by PRATHER,ROBBIE",1
03:21,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
03:16,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",34 (+11),,23,,CENTRE 34-23 (+11),,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
03:04,,34 (+8),,26,"GOOD 3PTR by PRATHER,ROBBIE",FC 34-26 (+8),,"GOOD 3PTR by PRATHER,ROBBIE",1
02:41,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
02:41,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
02:41,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
02:41,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
02:41,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
02:27,,,,,"MISS 3PTR by GILES,CALEB",,,"MISS 3PTR by GILES,CALEB",1
--,"REBOUND DEF by EBERT,CARSON",,,,,,,"REBOUND DEF by EBERT,CARSON",1
02:06,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",36 (+10),,26,,CENTRE 36-26 (+10),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
01:57,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
01:47,,,,,"MISS 3PTR by PRATHER,ROBBIE",,,"MISS 3PTR by PRATHER,ROBBIE",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
01:29,"GOOD 3PTR by GUMP,MATT",39 (+13),,26,,CENTRE 39-26 (+13),,"GOOD 3PTR by GUMP,MATT",1
--,"ASSIST  by SCHMUCKER,ZACH",,,,,,,"ASSIST  by SCHMUCKER,ZACH",1
01:11,,39 (+11),,28,"GOOD JUMPER by MANN,AARON",FC 39-28 (+11),,"GOOD JUMPER by MANN,AARON",1
--,,,,,"ASSIST  by WASHINGTON,TRAE",,,"ASSIST  by WASHINGTON,TRAE",1
00:53,"GOOD JUMPER by SINE,TUCKER(in the paint)",41 (+13),,28,,CENTRE 41-28 (+13),,"GOOD JUMPER by SINE,TUCKER(in the paint)",1
00:34,,41 (+11),,30,"GOOD LAYUP by MARTINDALE,JOSH(in the paint)",FC 41-30 (+11),,"GOOD LAYUP by MARTINDALE,JOSH(in the paint)",1
--,,,,,"ASSIST  by PRATHER,ROBBIE",,,"ASSIST  by PRATHER,ROBBIE",1
00:04,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
00:01,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
00:01,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
00:01,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
19:47,,41 (+9),,32,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",FC 41-32 (+9),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",2
19:24,"GOOD JUMPER by SCINTA,BLAKE",43 (+11),,32,,CENTRE 43-32 (+11),,"GOOD JUMPER by SCINTA,BLAKE",2
18:58,,,,,"TURNOVER  by MCCORY,BRETT",,,"TURNOVER  by MCCORY,BRETT",2
18:56,"STEAL  by GUMP,MATT",,,,,,,"STEAL  by GUMP,MATT",2
18:34,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by MCCORY,BRETT",,,"REBOUND DEF by MCCORY,BRETT",2
18:17,,,,,"TURNOVER  by MCCORY,BRETT",,,"TURNOVER  by MCCORY,BRETT",2
18:16,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",2
18:00,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",2
--,,,,,"REBOUND DEF by BEINEKE,JOHN",,,"REBOUND DEF by BEINEKE,JOHN",2
17:32,,,,,"MISS 3PTR by WASHINGTON,TRAE",,,"MISS 3PTR by WASHINGTON,TRAE",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
17:21,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
17:21,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
17:21,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",2
17:21,,,,,"SUB IN by NIEHOFF,MATT",,,"SUB IN by NIEHOFF,MATT",2
17:21,,,,,"SUB OUT by MCCORY,BRETT",,,"SUB OUT by MCCORY,BRETT",2
17:05,,,,,"MISS JUMPER by MANN,AARON",,,"MISS JUMPER by MANN,AARON",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
16:52,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
