Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,TRANSYM,Game Score,Team Indicator,Play,Period
08:42,,,,,"SUB OUT by JONES,ALEX",,,"SUB OUT by JONES,ALEX",1
08:25,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by CHRISTON,SIMON",,,"REBOUND DEF by CHRISTON,SIMON",1
08:14,,,,,"TURNOVER  by STAFFORD,MICHAEL",,,"TURNOVER  by STAFFORD,MICHAEL",1
08:00,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
07:58,,,,,"STEAL  by STAFFORD,MICHAEL",,,"STEAL  by STAFFORD,MICHAEL",1
07:45,,20 (+5),,15,"GOOD 3PTR by SCHUH,BO",TRANSYM 20-15 (+5),,"GOOD 3PTR by SCHUH,BO",1
--,,,,,"ASSIST  by THEOBALD,COOPER",,,"ASSIST  by THEOBALD,COOPER",1
07:25,,,,,"FOUL  by DENCE,ROBERT",,,"FOUL  by DENCE,ROBERT",1
07:25,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:25,"GOOD FT by SCINTA,BLAKE",21 (+6),,15,,CENTRE 21-15 (+6),,"GOOD FT by SCINTA,BLAKE",1
07:25,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
07:25,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
07:25,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
07:25,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
07:25,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
07:25,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
07:25,,,,,"SUB IN by STANSBERRY,PARKER",,,"SUB IN by STANSBERRY,PARKER",1
07:25,,,,,"SUB OUT by DENCE,ROBERT",,,"SUB OUT by DENCE,ROBERT",1
07:08,,21 (+4),,17,"GOOD JUMPER by CHRISTON,SIMON",TRANSYM 21-17 (+4),,"GOOD JUMPER by CHRISTON,SIMON",1
--,,,,,"ASSIST  by THEOBALD,COOPER",,,"ASSIST  by THEOBALD,COOPER",1
06:40,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND OFF by BURNS,DREW",,,,,,,"REBOUND OFF by BURNS,DREW",1
06:35,"MISS TIPIN by BURNS,DREW",,,,,,,"MISS TIPIN by BURNS,DREW",1
06:35,,,,,"BLOCK  by STANSBERRY,PARKER",,,"BLOCK  by STANSBERRY,PARKER",1
--,,,,,"REBOUND DEF by THEOBALD,COOPER",,,"REBOUND DEF by THEOBALD,COOPER",1
06:24,,,,,"MISS JUMPER by STAFFORD,MICHAEL",,,"MISS JUMPER by STAFFORD,MICHAEL",1
--,"REBOUND DEF by BURNS,DREW",,,,,,,"REBOUND DEF by BURNS,DREW",1
06:10,"GOOD JUMPER by GRIFFIN,JAROD",23 (+6),,17,,CENTRE 23-17 (+6),,"GOOD JUMPER by GRIFFIN,JAROD",1
05:50,,,,,"MISS JUMPER by STANSBERRY,PARKER",,,"MISS JUMPER by STANSBERRY,PARKER",1
--,"REBOUND DEF by BURNS,DREW",,,,,,,"REBOUND DEF by BURNS,DREW",1
05:33,"MISS JUMPER by EBERT,CARSON",,,,,,,"MISS JUMPER by EBERT,CARSON",1
--,,,,,"REBOUND DEF by CHRISTON,SIMON",,,"REBOUND DEF by CHRISTON,SIMON",1
05:13,,,,,"TURNOVER  by CHRISTON,SIMON",,,"TURNOVER  by CHRISTON,SIMON",1
05:12,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",1
05:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:01,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
05:01,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
05:01,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
05:01,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
05:01,,,,,"SUB IN by JONES,ALEX",,,"SUB IN by JONES,ALEX",1
05:01,,,,,"SUB OUT by CHRISTON,SIMON",,,"SUB OUT by CHRISTON,SIMON",1
04:54,"GOOD LAYUP by GRUBER,SAM(in the paint)",25 (+8),,17,,CENTRE 25-17 (+8),,"GOOD LAYUP by GRUBER,SAM(in the paint)",1
04:33,,,,,"MISS 3PTR by STAFFORD,MICHAEL",,,"MISS 3PTR by STAFFORD,MICHAEL",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
04:23,,,,,"FOUL  by STAFFORD,MICHAEL",,,"FOUL  by STAFFORD,MICHAEL",1
04:23,,,,,"SUB IN by BURGESS,TRISTAN",,,"SUB IN by BURGESS,TRISTAN",1
04:23,,,,,"SUB OUT by STAFFORD,MICHAEL",,,"SUB OUT by STAFFORD,MICHAEL",1
04:08,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND OFF by GUMP,MATT",,,,,,,"REBOUND OFF by GUMP,MATT",1
03:57,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by SCHUH,BO",,,"REBOUND DEF by SCHUH,BO",1
03:44,,,,,"MISS LAYUP by SCHUH,BO",,,"MISS LAYUP by SCHUH,BO",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
03:33,"GOOD 3PTR by GRUBER,SAM",28 (+11),,17,,CENTRE 28-17 (+11),,"GOOD 3PTR by GRUBER,SAM",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
03:12,,28 (+9),,19,"GOOD JUMPER by SCHUH,BO(in the paint)",TRANSYM 28-19 (+9),,"GOOD JUMPER by SCHUH,BO(in the paint)",1
02:56,,,,,"FOUL  by STANSBERRY,PARKER",,,"FOUL  by STANSBERRY,PARKER",1
02:56,"GOOD FT by WESLEY,TYLER",29 (+10),,19,,CENTRE 29-19 (+10),,"GOOD FT by WESLEY,TYLER",1
02:56,"GOOD FT by WESLEY,TYLER",30 (+11),,19,,CENTRE 30-19 (+11),,"GOOD FT by WESLEY,TYLER",1
02:56,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
02:56,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
02:56,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
02:56,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
02:56,,,,,"SUB IN by DENCE,ROBERT",,,"SUB IN by DENCE,ROBERT",1
02:56,,,,,"SUB IN by SERGEANT,SAM",,,"SUB IN by SERGEANT,SAM",1
02:56,,,,,"SUB OUT by STANSBERRY,PARKER",,,"SUB OUT by STANSBERRY,PARKER",1
02:56,,,,,"SUB OUT by JONES,ALEX",,,"SUB OUT by JONES,ALEX",1
02:32,,,,,"MISS JUMPER by SCHUH,BO",,,"MISS JUMPER by SCHUH,BO",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
02:16,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",32 (+13),,19,,CENTRE 32-19 (+13),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
02:03,,,,,"MISS 3PTR by BURGESS,TRISTAN",,,"MISS 3PTR by BURGESS,TRISTAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:01,,,,,"FOUL  by DENCE,ROBERT",,,"FOUL  by DENCE,ROBERT",1
02:01,"MISS FT by BURNS,DREW",,,,,,,"MISS FT by BURNS,DREW",1
--,,,,,"REBOUND DEF by BURGESS,TRISTAN",,,"REBOUND DEF by BURGESS,TRISTAN",1
02:01,,,,,"SUB IN by GORDON,LOWELL",,,"SUB IN by GORDON,LOWELL",1
02:01,,,,,"SUB OUT by DENCE,ROBERT",,,"SUB OUT by DENCE,ROBERT",1
01:38,,32 (+11),,21,"GOOD LAYUP by THEOBALD,COOPER(in the paint)",TRANSYM 32-21 (+11),,"GOOD LAYUP by THEOBALD,COOPER(in the paint)",1
--,,,,,"ASSIST  by SERGEANT,SAM",,,"ASSIST  by SERGEANT,SAM",1
01:22,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
01:19,"GOOD TIPIN by SCINTA,BLAKE(in the paint)",34 (+13),,21,,CENTRE 34-21 (+13),,"GOOD TIPIN by SCINTA,BLAKE(in the paint)",1
00:57,,,,,"MISS JUMPER by THEOBALD,COOPER",,,"MISS JUMPER by THEOBALD,COOPER",1
