Time Remaining,STE,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
16:46,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
16:46,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
16:34,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
16:34,"GOOD FT by FISHER,ERIK",25,,43 (+18),,STE 25-43 (+18),,"GOOD FT by FISHER,ERIK",2
16:34,"MISS FT by FISHER,ERIK",,,,,,,"MISS FT by FISHER,ERIK",2
--,,,,,"REBOUND DEF by BURNS,DREW",,,"REBOUND DEF by BURNS,DREW",2
16:34,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",2
16:34,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",2
16:34,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
16:34,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
16:34,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
16:34,,,,,"SUB OUT by PERGANDE,QUINN",,,"SUB OUT by PERGANDE,QUINN",2
16:34,,,,,"SUB OUT by MAYFIELD,DEE",,,"SUB OUT by MAYFIELD,DEE",2
16:34,,,,,"SUB OUT by SPRICK,PAUL",,,"SUB OUT by SPRICK,PAUL",2
16:34,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",2
16:34,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",2
16:18,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",2
16:17,"STEAL  by FISHER,ERIK",,,,,,,"STEAL  by FISHER,ERIK",2
16:07,"MISS LAYUP by KIELY,JOE",,,,,,,"MISS LAYUP by KIELY,JOE",2
--,"REBOUND OFF by DAVIS,JULIAN",,,,,,,"REBOUND OFF by DAVIS,JULIAN",2
16:04,"MISS 3PTR by JOHNSON,DEMETRE",,,,,,,"MISS 3PTR by JOHNSON,DEMETRE",2
--,,,,,"REBOUND DEF by MAGUIRE,WILL",,,"REBOUND DEF by MAGUIRE,WILL",2
15:55,"FOUL  by KIELY,JOE",,,,,,,"FOUL  by KIELY,JOE",2
15:29,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",2
--,"REBOUND DEF by FISHER,ERIK",,,,,,,"REBOUND DEF by FISHER,ERIK",2
15:16,"GOOD JUMPER by FISHER,ERIK(in the paint)",27,,43 (+16),,STE 27-43 (+16),,"GOOD JUMPER by FISHER,ERIK(in the paint)",2
14:57,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",2
--,"REBOUND DEF by FISHER,ERIK",,,,,,,"REBOUND DEF by FISHER,ERIK",2
14:47,"MISS JUMPER by DAVIS,JULIAN",,,,,,,"MISS JUMPER by DAVIS,JULIAN",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
14:39,,27,,45 (+18),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CEN 27-45 (+18),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
14:21,"GOOD LAYUP by FISHER,ERIK(in the paint)",29,,45 (+16),,STE 29-45 (+16),,"GOOD LAYUP by FISHER,ERIK(in the paint)",2
14:03,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
14:03,"SUB IN by ZINK,STEVEN",,,,,,,"SUB IN by ZINK,STEVEN",2
14:03,"SUB OUT by KIELY,JOE",,,,,,,"SUB OUT by KIELY,JOE",2
14:03,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
14:03,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
14:03,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",2
14:03,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
14:03,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
14:03,,,,,"SUB OUT by PERGANDE,QUINN",,,"SUB OUT by PERGANDE,QUINN",2
14:03,,,,,"SUB OUT by MAYFIELD,DEE",,,"SUB OUT by MAYFIELD,DEE",2
14:03,,,,,"SUB OUT by SPRICK,PAUL",,,"SUB OUT by SPRICK,PAUL",2
14:03,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",2
14:03,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",2
13:53,"TURNOVER  by FISHER,ERIK",,,,,,,"TURNOVER  by FISHER,ERIK",2
13:52,,,,,"STEAL  by WESLEY,TYLER",,,"STEAL  by WESLEY,TYLER",2
13:50,"FOUL  by ROBERTS,CHRISTIAN",,,,,,,"FOUL  by ROBERTS,CHRISTIAN",2
13:38,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",2
--,"REBOUND DEF by FISHER,ERIK",,,,,,,"REBOUND DEF by FISHER,ERIK",2
13:35,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",2
13:21,,,,,"FOUL  by MAGUIRE,WILL",,,"FOUL  by MAGUIRE,WILL",2
13:21,"MISS FT by ROBERTS,CHRISTIAN",,,,,,,"MISS FT by ROBERTS,CHRISTIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:21,"GOOD FT by ROBERTS,CHRISTIAN",30,,45 (+15),,STE 30-45 (+15),,"GOOD FT by ROBERTS,CHRISTIAN",2
13:21,"SUB IN by DAY,CHRIS",,,,,,,"SUB IN by DAY,CHRIS",2
13:21,"SUB OUT by ROBERTS,CHRISTIAN",,,,,,,"SUB OUT by ROBERTS,CHRISTIAN",2
13:21,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
13:21,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
13:21,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
13:21,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
13:21,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
13:21,,,,,"SUB OUT by PERGANDE,QUINN",,,"SUB OUT by PERGANDE,QUINN",2
13:21,,,,,"SUB OUT by MAYFIELD,DEE",,,"SUB OUT by MAYFIELD,DEE",2
13:21,,,,,"SUB OUT by SPRICK,PAUL",,,"SUB OUT by SPRICK,PAUL",2
13:21,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",2
13:21,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",2
13:00,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",2
--,"REBOUND DEF by FISHER,ERIK",,,,,,,"REBOUND DEF by FISHER,ERIK",2
12:39,"MISS JUMPER by DAY,CHRIS",,,,,,,"MISS JUMPER by DAY,CHRIS",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
12:36,"FOUL  by ZINK,STEVEN",,,,,,,"FOUL  by ZINK,STEVEN",2
12:36,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
12:36,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
12:23,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
12:17,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:04,"MISS 3PTR by FISHER,ERIK",,,,,,,"MISS 3PTR by FISHER,ERIK",2
--,"REBOUND OFF by DAVIS,JULIAN",,,,,,,"REBOUND OFF by DAVIS,JULIAN",2
12:01,"GOOD LAYUP by ZINK,STEVEN(in the paint)",32,,45 (+13),,STE 32-45 (+13),,"GOOD LAYUP by ZINK,STEVEN(in the paint)",2
--,"ASSIST  by DAVIS,JULIAN",,,,,,,"ASSIST  by DAVIS,JULIAN",2
12:01,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
12:01,"MISS FT by ZINK,STEVEN",,,,,,,"MISS FT by ZINK,STEVEN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
12:01,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
12:01,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
11:46,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",2
--,"REBOUND DEF by FISHER,ERIK",,,,,,,"REBOUND DEF by FISHER,ERIK",2
11:31,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
11:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
11:31,"MISS FT by FISHER,ERIK",,,,,,,"MISS FT by FISHER,ERIK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:31,"GOOD FT by FISHER,ERIK",33,,45 (+12),,STE 33-45 (+12),,"GOOD FT by FISHER,ERIK",2
11:31,"SUB IN by HILL,RYAN",,,,,,,"SUB IN by HILL,RYAN",2
11:31,"SUB IN by ZINK,STEVEN",,,,,,,"SUB IN by ZINK,STEVEN",2
11:31,"SUB IN by DAY,CHRIS",,,,,,,"SUB IN by DAY,CHRIS",2
11:31,"SUB IN by DAVIS,JULIAN",,,,,,,"SUB IN by DAVIS,JULIAN",2
11:31,"SUB IN by ROBERTS,CHRISTIAN",,,,,,,"SUB IN by ROBERTS,CHRISTIAN",2
11:31,"SUB OUT by HILL,RYAN",,,,,,,"SUB OUT by HILL,RYAN",2
11:31,"SUB OUT by VAN VUUREN,KELVIN",,,,,,,"SUB OUT by VAN VUUREN,KELVIN",2
11:31,"SUB OUT by BYRD,MICHAEL",,,,,,,"SUB OUT by BYRD,MICHAEL",2
11:31,"SUB OUT by JOHNSON,DEMETRE",,,,,,,"SUB OUT by JOHNSON,DEMETRE",2
11:31,"SUB OUT by DAY,CHRIS",,,,,,,"SUB OUT by DAY,CHRIS",2
11:02,"FOUL  by ZINK,STEVEN",,,,,,,"FOUL  by ZINK,STEVEN",2
11:02,,33,,46 (+13),"GOOD FT by SCINTA,BLAKE",CEN 33-46 (+13),,"GOOD FT by SCINTA,BLAKE",2
11:02,,33,,47 (+14),"GOOD FT by SCINTA,BLAKE",CEN 33-47 (+14),,"GOOD FT by SCINTA,BLAKE",2
11:02,"SUB IN by MAYBERRY,SEAN",,,,,,,"SUB IN by MAYBERRY,SEAN",2
11:02,"SUB OUT by ZINK,STEVEN",,,,,,,"SUB OUT by ZINK,STEVEN",2
10:49,"MISS 3PTR by ROBERTS,CHRISTIAN",,,,,,,"MISS 3PTR by ROBERTS,CHRISTIAN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
10:24,"FOUL  by DAY,CHRIS",,,,,,,"FOUL  by DAY,CHRIS",2
10:24,,33,,48 (+15),"GOOD FT by SCINTA,BLAKE",CEN 33-48 (+15),,"GOOD FT by SCINTA,BLAKE",2
10:24,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",2
--,"REBOUND DEF by FISHER,ERIK",,,,,,,"REBOUND DEF by FISHER,ERIK",2
10:24,"SUB IN by FISHER,ERIK",,,,,,,"SUB IN by FISHER,ERIK",2
10:24,"SUB OUT by HILL,RYAN",,,,,,,"SUB OUT by HILL,RYAN",2
10:12,"GOOD LAYUP by FISHER,ERIK(in the paint)",35,,48 (+13),,STE 35-48 (+13),,"GOOD LAYUP by FISHER,ERIK(in the paint)",2
09:49,"FOUL  by DAVIS,JULIAN",,,,,,,"FOUL  by DAVIS,JULIAN",2
09:49,,,,,"MISS FT by GUMP,MATT",,,"MISS FT by GUMP,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:49,,35,,49 (+14),"GOOD FT by GUMP,MATT",CEN 35-49 (+14),,"GOOD FT by GUMP,MATT",2
09:49,"SUB IN by MAYBERRY,SEAN",,,,,,,"SUB IN by MAYBERRY,SEAN",2
09:49,"SUB IN by FISHER,ERIK",,,,,,,"SUB IN by FISHER,ERIK",2
09:49,"SUB IN by KOREY HAYMAN,JR",,,,,,,"SUB IN by KOREY HAYMAN,JR",2
09:49,"SUB IN by KIELY,JOE",,,,,,,"SUB IN by KIELY,JOE",2
09:49,"SUB IN by ROBERTS,CHRISTIAN",,,,,,,"SUB IN by ROBERTS,CHRISTIAN",2
09:49,"SUB OUT by HILL,RYAN",,,,,,,"SUB OUT by HILL,RYAN",2
09:49,"SUB OUT by VAN VUUREN,KELVIN",,,,,,,"SUB OUT by VAN VUUREN,KELVIN",2
09:49,"SUB OUT by BYRD,MICHAEL",,,,,,,"SUB OUT by BYRD,MICHAEL",2
09:49,"SUB OUT by JOHNSON,DEMETRE",,,,,,,"SUB OUT by JOHNSON,DEMETRE",2
09:49,"SUB OUT by DAY,CHRIS",,,,,,,"SUB OUT by DAY,CHRIS",2
09:49,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
09:49,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",2
09:49,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
09:49,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
09:35,"TURNOVER  by KIELY,JOE",,,,,,,"TURNOVER  by KIELY,JOE",2
09:33,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",2
09:25,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",2
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",2
09:18,,35,,51 (+16),"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CEN 35-51 (+16),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",2
09:13,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
08:59,"MISS JUMPER by KOREY HAYMAN,JR",,,,,,,"MISS JUMPER by KOREY HAYMAN,JR",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
08:46,"FOUL  by FISHER,ERIK",,,,,,,"FOUL  by FISHER,ERIK",2
08:46,,35,,52 (+17),"GOOD FT by SCINTA,BLAKE",CEN 35-52 (+17),,"GOOD FT by SCINTA,BLAKE",2
08:46,,35,,53 (+18),"GOOD FT by SCINTA,BLAKE",CEN 35-53 (+18),,"GOOD FT by SCINTA,BLAKE",2
08:20,"GOOD JUMPER by KOREY HAYMAN,JR(in the paint)",37,,53 (+16),,STE 37-53 (+16),,"GOOD JUMPER by KOREY HAYMAN,JR(in the paint)",2
--,"ASSIST  by MAYBERRY,SEAN",,,,,,,"ASSIST  by MAYBERRY,SEAN",2
07:52,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:52,"FOUL  by ROBERTS,CHRISTIAN",,,,,,,"FOUL  by ROBERTS,CHRISTIAN",2
07:52,,37,,54 (+17),"GOOD FT by SCHMUCKER,ZACH",CEN 37-54 (+17),,"GOOD FT by SCHMUCKER,ZACH",2
07:52,,37,,55 (+18),"GOOD FT by SCHMUCKER,ZACH",CEN 37-55 (+18),,"GOOD FT by SCHMUCKER,ZACH",2
07:52,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
07:52,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
07:35,"GOOD JUMPER by MAYBERRY,SEAN",39,,55 (+16),,STE 39-55 (+16),,"GOOD JUMPER by MAYBERRY,SEAN",2
07:02,"FOUL  by KIELY,JOE",,,,,,,"FOUL  by KIELY,JOE",2
06:47,,39,,56 (+17),"GOOD FT by GRIFFIN,JAROD",CEN 39-56 (+17),,"GOOD FT by GRIFFIN,JAROD",2
06:47,,39,,57 (+18),"GOOD FT by GRIFFIN,JAROD",CEN 39-57 (+18),,"GOOD FT by GRIFFIN,JAROD",2
06:41,"MISS 3PTR by KOREY HAYMAN,JR",,,,,,,"MISS 3PTR by KOREY HAYMAN,JR",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
06:32,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
06:32,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
06:20,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",2
--,"REBOUND DEF by KOREY HAYMAN,JR",,,,,,,"REBOUND DEF by KOREY HAYMAN,JR",2
06:07,"GOOD LAYUP by FISHER,ERIK(in the paint)",41,,57 (+16),,STE 41-57 (+16),,"GOOD LAYUP by FISHER,ERIK(in the paint)",2
--,"ASSIST  by MAYBERRY,SEAN",,,,,,,"ASSIST  by MAYBERRY,SEAN",2
06:07,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",2
06:07,"MISS FT by FISHER,ERIK",,,,,,,"MISS FT by FISHER,ERIK",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
06:07,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
06:07,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
05:52,,41,,60 (+19),"GOOD 3PTR by EBERT,CARSON",CEN 41-60 (+19),,"GOOD 3PTR by EBERT,CARSON",2
05:40,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
05:40,"GOOD FT by MAYBERRY,SEAN",42,,60 (+18),,STE 42-60 (+18),,"GOOD FT by MAYBERRY,SEAN",2
05:40,"GOOD FT by MAYBERRY,SEAN",43,,60 (+17),,STE 43-60 (+17),,"GOOD FT by MAYBERRY,SEAN",2
05:40,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
05:40,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
05:19,,43,,63 (+20),"GOOD 3PTR by SINE,TUCKER",CEN 43-63 (+20),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by EBERT,CARSON",,,"ASSIST  by EBERT,CARSON",2
05:04,"GOOD LAYUP by FISHER,ERIK(in the paint)",45,,63 (+18),,STE 45-63 (+18),,"GOOD LAYUP by FISHER,ERIK(in the paint)",2
04:48,,45,,65 (+20),"GOOD DUNK by SCINTA,BLAKE(in the paint)",CEN 45-65 (+20),,"GOOD DUNK by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",2
04:48,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:37,"GOOD 3PTR by KOREY HAYMAN,JR",48,,65 (+17),,STE 48-65 (+17),,"GOOD 3PTR by KOREY HAYMAN,JR",2
--,"ASSIST  by MAYBERRY,SEAN",,,,,,,"ASSIST  by MAYBERRY,SEAN",2
04:06,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
03:42,,48,,68 (+20),"GOOD 3PTR by EBERT,CARSON",CEN 48-68 (+20),,"GOOD 3PTR by EBERT,CARSON",2
03:42,"MISS 3PTR by KOREY HAYMAN,JR",,,,,,,"MISS 3PTR by KOREY HAYMAN,JR",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
03:14,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",2
03:14,"SUB IN by VAN VUUREN,KELVIN",,,,,,,"SUB IN by VAN VUUREN,KELVIN",2
03:14,"SUB OUT by FISHER,ERIK",,,,,,,"SUB OUT by FISHER,ERIK",2
03:14,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
03:14,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
03:05,,,,,"FOUL  by ARNETT,MICHAEL",,,"FOUL  by ARNETT,MICHAEL",2
03:05,"MISS FT by MAYBERRY,SEAN",,,,,,,"MISS FT by MAYBERRY,SEAN",2
--,,,,,"REBOUND DEF by ARNETT,MICHAEL",,,"REBOUND DEF by ARNETT,MICHAEL",2
03:05,"SUB IN by DAY,CHRIS",,,,,,,"SUB IN by DAY,CHRIS",2
03:05,"SUB OUT by ROBERTS,CHRISTIAN",,,,,,,"SUB OUT by ROBERTS,CHRISTIAN",2
03:01,,48,,70 (+22),"GOOD DUNK by WESLEY,TYLER(in the paint)",CEN 48-70 (+22),,"GOOD DUNK by WESLEY,TYLER(in the paint)",2
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",2
03:01,"FOUL  by DAY,CHRIS",,,,,,,"FOUL  by DAY,CHRIS",2
03:01,,48,,71 (+23),"GOOD FT by WESLEY,TYLER",CEN 48-71 (+23),,"GOOD FT by WESLEY,TYLER",2
03:01,"SUB IN by HILL,RYAN",,,,,,,"SUB IN by HILL,RYAN",2
03:01,"SUB OUT by MAYBERRY,SEAN",,,,,,,"SUB OUT by MAYBERRY,SEAN",2
03:01,,,,,"SUB IN by PERGANDE,QUINN",,,"SUB IN by PERGANDE,QUINN",2
03:01,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",2
03:01,,,,,"SUB IN by SPRICK,PAUL",,,"SUB IN by SPRICK,PAUL",2
03:01,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
03:01,,,,,"SUB IN by KIDWELL,BRENT",,,"SUB IN by KIDWELL,BRENT",2
03:01,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
03:01,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",2
03:01,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
03:01,,,,,"SUB IN by SPRICK,PAUL",,,"SUB IN by SPRICK,PAUL",2
03:01,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
03:01,,,,,"SUB OUT by PERGANDE,QUINN",,,"SUB OUT by PERGANDE,QUINN",2
03:01,,,,,"SUB OUT by MAYFIELD,DEE",,,"SUB OUT by MAYFIELD,DEE",2
03:01,,,,,"SUB OUT by SPRICK,PAUL",,,"SUB OUT by SPRICK,PAUL",2
03:01,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",2
03:01,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",2
03:01,,,,,"SUB OUT by PERGANDE,QUINN",,,"SUB OUT by PERGANDE,QUINN",2
03:01,,,,,"SUB OUT by MAYFIELD,DEE",,,"SUB OUT by MAYFIELD,DEE",2
03:01,,,,,"SUB OUT by SPRICK,PAUL",,,"SUB OUT by SPRICK,PAUL",2
03:01,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",2
03:01,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",2
02:38,"MISS 3PTR by KIELY,JOE",,,,,,,"MISS 3PTR by KIELY,JOE",2
--,,,,,"REBOUND DEF by KIDWELL,BRENT",,,"REBOUND DEF by KIDWELL,BRENT",2
02:06,,,,,"MISS 3PTR by MAGUIRE,WILL",,,"MISS 3PTR by MAGUIRE,WILL",2
--,"REBOUND DEF by KOREY HAYMAN,JR",,,,,,,"REBOUND DEF by KOREY HAYMAN,JR",2
01:49,"GOOD LAYUP by VAN VUUREN,KELVIN(in the paint)",50,,71 (+21),,STE 50-71 (+21),,"GOOD LAYUP by VAN VUUREN,KELVIN(in the paint)",2
--,"ASSIST  by KOREY HAYMAN,JR",,,,,,,"ASSIST  by KOREY HAYMAN,JR",2
01:32,,,,,"MISS JUMPER by ARNETT,MICHAEL",,,"MISS JUMPER by ARNETT,MICHAEL",2
--,"REBOUND DEF by KOREY HAYMAN,JR",,,,,,,"REBOUND DEF by KOREY HAYMAN,JR",2
01:18,,,,,"FOUL  by KIDWELL,BRENT",,,"FOUL  by KIDWELL,BRENT",2
01:18,"MISS FT by KOREY HAYMAN,JR",,,,,,,"MISS FT by KOREY HAYMAN,JR",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:18,"GOOD FT by KOREY HAYMAN,JR",51,,71 (+20),,STE 51-71 (+20),,"GOOD FT by KOREY HAYMAN,JR",2
01:18,"FOUL  by DAY,CHRIS",,,,,,,"FOUL  by DAY,CHRIS",2
01:18,,51,,72 (+21),"GOOD FT by KIDWELL,BRENT",CEN 51-72 (+21),,"GOOD FT by KIDWELL,BRENT",2
01:18,,51,,73 (+22),"GOOD FT by KIDWELL,BRENT",CEN 51-73 (+22),,"GOOD FT by KIDWELL,BRENT",2
01:18,"SUB IN by HILL,RYAN",,,,,,,"SUB IN by HILL,RYAN",2
01:18,"SUB IN by VAN VUUREN,KELVIN",,,,,,,"SUB IN by VAN VUUREN,KELVIN",2
01:18,"SUB IN by BYRD,MICHAEL",,,,,,,"SUB IN by BYRD,MICHAEL",2
01:18,"SUB IN by JOHNSON,DEMETRE",,,,,,,"SUB IN by JOHNSON,DEMETRE",2
01:18,"SUB IN by DAY,CHRIS",,,,,,,"SUB IN by DAY,CHRIS",2
01:18,"SUB OUT by HILL,RYAN",,,,,,,"SUB OUT by HILL,RYAN",2
01:18,"SUB OUT by VAN VUUREN,KELVIN",,,,,,,"SUB OUT by VAN VUUREN,KELVIN",2
01:18,"SUB OUT by BYRD,MICHAEL",,,,,,,"SUB OUT by BYRD,MICHAEL",2
01:18,"SUB OUT by JOHNSON,DEMETRE",,,,,,,"SUB OUT by JOHNSON,DEMETRE",2
01:18,"SUB OUT by DAY,CHRIS",,,,,,,"SUB OUT by DAY,CHRIS",2
01:18,,,,,"SUB IN by PERGANDE,QUINN",,,"SUB IN by PERGANDE,QUINN",2
01:18,,,,,"SUB IN by MAYFIELD,DEE",,,"SUB IN by MAYFIELD,DEE",2
01:18,,,,,"SUB IN by SPRICK,PAUL",,,"SUB IN by SPRICK,PAUL",2
01:18,,,,,"SUB IN by JONES,BRETT",,,"SUB IN by JONES,BRETT",2
01:18,,,,,"SUB IN by KIDWELL,BRENT",,,"SUB IN by KIDWELL,BRENT",2
