Time Remaining,HANOVER,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
16:16,"MISS 3PTR by KLEUNEN,MICHAEL VAN",,,,,,,"MISS 3PTR by KLEUNEN,MICHAEL VAN",1
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",1
16:04,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND DEF by KLEUNEN,MICHAEL VAN",,,,,,,"REBOUND DEF by KLEUNEN,MICHAEL VAN",1
15:37,"TURNOVER  by MUCHMORE,COREY",,,,,,,"TURNOVER  by MUCHMORE,COREY",1
15:35,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",1
15:32,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND DEF by MUCHMORE,COREY",,,,,,,"REBOUND DEF by MUCHMORE,COREY",1
15:13,"GOOD LAYUP by MUCHMORE,COREY(in the paint)",9 (+4),,5,,HANOVER 9-5 (-4),,"GOOD LAYUP by MUCHMORE,COREY(in the paint)",1
--,"ASSIST  by BUCK,LEVI",,,,,,,"ASSIST  by BUCK,LEVI",1
14:52,,,,,"MISS JUMPER by REPISHTI,BRYAN",,,"MISS JUMPER by REPISHTI,BRYAN",1
--,"REBOUND DEF by MUCHMORE,COREY",,,,,,,"REBOUND DEF by MUCHMORE,COREY",1
14:37,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
14:37,"GOOD FT by BILLUPS,VJ",10 (+5),,5,,HANOVER 10-5 (-5),,"GOOD FT by BILLUPS,VJ",1
14:37,"MISS FT by BILLUPS,VJ",,,,,,,"MISS FT by BILLUPS,VJ",1
--,"REBOUND OFF by BINGHAM,EVAN",,,,,,,"REBOUND OFF by BINGHAM,EVAN",1
14:37,"SUB IN by WHITE,NICK",,,,,,,"SUB IN by WHITE,NICK",1
14:37,"SUB IN by FAILS,CAMERON",,,,,,,"SUB IN by FAILS,CAMERON",1
14:37,"SUB OUT by BUCK,LEVI",,,,,,,"SUB OUT by BUCK,LEVI",1
14:37,"SUB OUT by MUCHMORE,COREY",,,,,,,"SUB OUT by MUCHMORE,COREY",1
14:37,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
14:37,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
14:37,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
14:37,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
14:37,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
14:37,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
14:28,"GOOD 3PTR by MCKINNEY,WES",13 (+8),,5,,HANOVER 13-5 (-8),,"GOOD 3PTR by MCKINNEY,WES",1
--,"ASSIST  by FAILS,CAMERON",,,,,,,"ASSIST  by FAILS,CAMERON",1
14:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
14:21,"SUB IN by BINGHAM,EVAN",,,,,,,"SUB IN by BINGHAM,EVAN",1
14:21,"SUB OUT by KLEUNEN,MICHAEL VAN",,,,,,,"SUB OUT by KLEUNEN,MICHAEL VAN",1
14:09,"FOUL  by WHITE,NICK",,,,,,,"FOUL  by WHITE,NICK",1
14:03,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by WHITE,NICK",,,,,,,"REBOUND DEF by WHITE,NICK",1
13:52,"TURNOVER  by FAILS,CAMERON",,,,,,,"TURNOVER  by FAILS,CAMERON",1
13:52,"SUB IN by BUCK,LEVI",,,,,,,"SUB IN by BUCK,LEVI",1
13:52,"SUB OUT by FAILS,CAMERON",,,,,,,"SUB OUT by FAILS,CAMERON",1
13:44,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
13:44,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
13:44,"SUB OUT by MCKINNEY,WES",,,,,,,"SUB OUT by MCKINNEY,WES",1
13:30,"MISS JUMPER by WHITE,NICK",,,,,,,"MISS JUMPER by WHITE,NICK",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
13:13,,,,,"MISS LAYUP by GRUBER,SAM",,,"MISS LAYUP by GRUBER,SAM",1
--,"REBOUND DEF by WHITE,NICK",,,,,,,"REBOUND DEF by WHITE,NICK",1
12:50,"MISS JUMPER by BILLUPS,VJ",,,,,,,"MISS JUMPER by BILLUPS,VJ",1
--,"REBOUND OFF by BINGHAM,EVAN",,,,,,,"REBOUND OFF by BINGHAM,EVAN",1
12:42,"MISS 3PTR by BUCK,LEVI",,,,,,,"MISS 3PTR by BUCK,LEVI",1
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",1
12:31,,,,,"TURNOVER  by EBERT,CARSON",,,"TURNOVER  by EBERT,CARSON",1
12:30,"STEAL  by BILLUPS,VJ",,,,,,,"STEAL  by BILLUPS,VJ",1
12:25,"GOOD LAYUP by BILLUPS,VJ(in the paint)",15 (+10),,5,,HANOVER 15-5 (-10),,"GOOD LAYUP by BILLUPS,VJ(in the paint)",1
12:10,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND DEF by BILLUPS,VJ",,,,,,,"REBOUND DEF by BILLUPS,VJ",1
12:03,"GOOD LAYUP by WHITE,NICK(in the paint)",17 (+12),,5,,HANOVER 17-5 (-12),,"GOOD LAYUP by WHITE,NICK(in the paint)",1
--,"ASSIST  by BILLUPS,VJ",,,,,,,"ASSIST  by BILLUPS,VJ",1
12:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
12:01,"SUB IN by MUCHMORE,COREY",,,,,,,"SUB IN by MUCHMORE,COREY",1
12:01,"SUB IN by HORNBEAK,JAREN",,,,,,,"SUB IN by HORNBEAK,JAREN",1
12:01,"SUB OUT by BILLUPS,VJ",,,,,,,"SUB OUT by BILLUPS,VJ",1
12:01,"SUB OUT by WHITE,NICK",,,,,,,"SUB OUT by WHITE,NICK",1
12:01,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
12:01,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
12:01,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
12:01,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
12:01,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
12:01,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
11:37,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",1
--,"REBOUND DEF by EVANS,CHRISTIAN",,,,,,,"REBOUND DEF by EVANS,CHRISTIAN",1
11:28,"TURNOVER  by MUCHMORE,COREY",,,,,,,"TURNOVER  by MUCHMORE,COREY",1
11:28,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:28,"SUB IN by FAILS,CAMERON",,,,,,,"SUB IN by FAILS,CAMERON",1
11:28,"SUB OUT by BUCK,LEVI",,,,,,,"SUB OUT by BUCK,LEVI",1
11:02,"FOUL  by BINGHAM,EVAN",,,,,,,"FOUL  by BINGHAM,EVAN",1
11:02,,17 (+11),,6,"GOOD FT by REPISHTI,BRYAN",CENTRE 17-6 (-11),,"GOOD FT by REPISHTI,BRYAN",1
11:02,,17 (+10),,7,"GOOD FT by REPISHTI,BRYAN",CENTRE 17-7 (-10),,"GOOD FT by REPISHTI,BRYAN",1
11:02,"SUB IN by KLEUNEN,MICHAEL VAN",,,,,,,"SUB IN by KLEUNEN,MICHAEL VAN",1
11:02,"SUB IN by BILLUPS,VJ",,,,,,,"SUB IN by BILLUPS,VJ",1
11:02,"SUB OUT by BINGHAM,EVAN",,,,,,,"SUB OUT by BINGHAM,EVAN",1
11:02,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
11:02,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
11:02,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
10:47,"MISS LAYUP by HORNBEAK,JAREN",,,,,,,"MISS LAYUP by HORNBEAK,JAREN",1
--,"REBOUND OFF by MUCHMORE,COREY",,,,,,,"REBOUND OFF by MUCHMORE,COREY",1
10:44,"MISS LAYUP by MUCHMORE,COREY",,,,,,,"MISS LAYUP by MUCHMORE,COREY",1
--,"REBOUND OFF by EVANS,CHRISTIAN",,,,,,,"REBOUND OFF by EVANS,CHRISTIAN",1
10:42,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:42,"GOOD LAYUP by KLEUNEN,MICHAEL VAN(in the paint)",19 (+12),,7,,HANOVER 19-7 (-12),,"GOOD LAYUP by KLEUNEN,MICHAEL VAN(in the paint)",1
--,"ASSIST  by FAILS,CAMERON",,,,,,,"ASSIST  by FAILS,CAMERON",1
10:31,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
10:31,"GOOD LAYUP by MUCHMORE,COREY(in the paint)",21 (+14),,7,,HANOVER 21-7 (-14),,"GOOD LAYUP by MUCHMORE,COREY(in the paint)",1
09:46,,21 (+12),,9,"GOOD LAYUP by REPISHTI,BRYAN(in the paint)",CENTRE 21-9 (-12),,"GOOD LAYUP by REPISHTI,BRYAN(in the paint)",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
09:19,"MISS 3PTR by HORNBEAK,JAREN",,,,,,,"MISS 3PTR by HORNBEAK,JAREN",1
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",1
09:03,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",1
--,,,,,"REBOUND OFF by GUMP,MATT",,,"REBOUND OFF by GUMP,MATT",1
08:55,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by BILLUPS,VJ",,,,,,,"REBOUND DEF by BILLUPS,VJ",1
08:35,"MISS LAYUP by FAILS,CAMERON",,,,,,,"MISS LAYUP by FAILS,CAMERON",1
08:35,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:35,,,,,"SUB IN by KIDWELL,BRENT",,,"SUB IN by KIDWELL,BRENT",1
08:35,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
08:35,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",1
08:35,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
08:35,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
08:35,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
08:30,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",1
08:30,"GOOD FT by MUCHMORE,COREY",22 (+13),,9,,HANOVER 22-9 (-13),,"GOOD FT by MUCHMORE,COREY",1
08:30,"MISS FT by MUCHMORE,COREY",,,,,,,"MISS FT by MUCHMORE,COREY",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
08:13,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
08:13,"SUB IN by BINGHAM,EVAN",,,,,,,"SUB IN by BINGHAM,EVAN",1
08:13,"SUB OUT by MUCHMORE,COREY",,,,,,,"SUB OUT by MUCHMORE,COREY",1
07:59,"MISS LAYUP by BILLUPS,VJ",,,,,,,"MISS LAYUP by BILLUPS,VJ",1
--,"REBOUND OFF by BINGHAM,EVAN",,,,,,,"REBOUND OFF by BINGHAM,EVAN",1
07:55,"GOOD LAYUP by BINGHAM,EVAN(in the paint)",24 (+15),,9,,HANOVER 24-9 (-15),,"GOOD LAYUP by BINGHAM,EVAN(in the paint)",1
07:33,,24 (+12),,12,"GOOD 3PTR by GUMP,MATT",CENTRE 24-12 (-12),,"GOOD 3PTR by GUMP,MATT",1
--,,,,,"ASSIST  by MAGUIRE,WILL",,,"ASSIST  by MAGUIRE,WILL",1
07:13,"GOOD LAYUP by BILLUPS,VJ(in the paint)",26 (+14),,12,,HANOVER 26-12 (-14),,"GOOD LAYUP by BILLUPS,VJ(in the paint)",1
--,"ASSIST  by FAILS,CAMERON",,,,,,,"ASSIST  by FAILS,CAMERON",1
06:53,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by KLEUNEN,MICHAEL VAN",,,,,,,"REBOUND DEF by KLEUNEN,MICHAEL VAN",1
06:24,"GOOD LAYUP by MCKINNEY,WES(in the paint)",28 (+16),,12,,HANOVER 28-12 (-16),,"GOOD LAYUP by MCKINNEY,WES(in the paint)",1
06:13,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
06:13,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
06:13,"SUB IN by BUCK,LEVI",,,,,,,"SUB IN by BUCK,LEVI",1
06:13,"SUB IN by MCKINNEY,WES",,,,,,,"SUB IN by MCKINNEY,WES",1
06:13,"SUB IN by MUCHMORE,COREY",,,,,,,"SUB IN by MUCHMORE,COREY",1
06:13,"SUB OUT by BINGHAM,EVAN",,,,,,,"SUB OUT by BINGHAM,EVAN",1
06:13,"SUB OUT by KLEUNEN,MICHAEL VAN",,,,,,,"SUB OUT by KLEUNEN,MICHAEL VAN",1
06:13,"SUB OUT by HORNBEAK,JAREN",,,,,,,"SUB OUT by HORNBEAK,JAREN",1
06:13,"SUB OUT by FAILS,CAMERON",,,,,,,"SUB OUT by FAILS,CAMERON",1
06:13,"SUB OUT by BILLUPS,VJ",,,,,,,"SUB OUT by BILLUPS,VJ",1
06:13,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
06:13,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",1
06:13,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
06:13,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
06:13,,,,,"SUB OUT by MAGUIRE,WILL",,,"SUB OUT by MAGUIRE,WILL",1
05:53,"MISS LAYUP by MUCHMORE,COREY",,,,,,,"MISS LAYUP by MUCHMORE,COREY",1
05:53,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
05:33,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND DEF by BILLUPS,VJ",,,,,,,"REBOUND DEF by BILLUPS,VJ",1
05:11,"MISS LAYUP by MUCHMORE,COREY",,,,,,,"MISS LAYUP by MUCHMORE,COREY",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
05:03,,28 (+13),,15,"GOOD 3PTR by GUMP,MATT",CENTRE 28-15 (-13),,"GOOD 3PTR by GUMP,MATT",1
04:37,"MISS JUMPER by BILLUPS,VJ",,,,,,,"MISS JUMPER by BILLUPS,VJ",1
--,"REBOUND OFF by MCKINNEY,WES",,,,,,,"REBOUND OFF by MCKINNEY,WES",1
04:33,,,,,"FOUL  by KIDWELL,BRENT",,,"FOUL  by KIDWELL,BRENT",1
04:33,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
04:29,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
04:29,"MISS FT by BILLUPS,VJ",,,,,,,"MISS FT by BILLUPS,VJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:29,"MISS FT by BILLUPS,VJ",,,,,,,"MISS FT by BILLUPS,VJ",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
04:29,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
04:08,"FOUL  by MUCHMORE,COREY",,,,,,,"FOUL  by MUCHMORE,COREY",1
04:08,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:08,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,"REBOUND DEF by BILLUPS,VJ",,,,,,,"REBOUND DEF by BILLUPS,VJ",1
03:57,"TURNOVER  by BILLUPS,VJ",,,,,,,"TURNOVER  by BILLUPS,VJ",1
03:55,,,,,"STEAL  by WESLEY,TYLER",,,"STEAL  by WESLEY,TYLER",1
03:49,"FOUL  by BILLUPS,VJ",,,,,,,"FOUL  by BILLUPS,VJ",1
03:49,,28 (+12),,16,"GOOD FT by GUMP,MATT",CENTRE 28-16 (-12),,"GOOD FT by GUMP,MATT",1
03:49,,28 (+11),,17,"GOOD FT by GUMP,MATT",CENTRE 28-17 (-11),,"GOOD FT by GUMP,MATT",1
03:49,"SUB IN by KLEUNEN,MICHAEL VAN",,,,,,,"SUB IN by KLEUNEN,MICHAEL VAN",1
03:49,"SUB OUT by MUCHMORE,COREY",,,,,,,"SUB OUT by MUCHMORE,COREY",1
03:29,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",1
03:29,"SUB IN by FAILS,CAMERON",,,,,,,"SUB IN by FAILS,CAMERON",1
03:16,"GOOD JUMPER by MCKINNEY,WES",30 (+13),,17,,HANOVER 30-17 (-13),,"GOOD JUMPER by MCKINNEY,WES",1
--,"ASSIST  by FAILS,CAMERON",,,,,,,"ASSIST  by FAILS,CAMERON",1
02:51,,30 (+11),,19,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE 30-19 (-11),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by EBERT,CARSON",,,"ASSIST  by EBERT,CARSON",1
02:33,"GOOD LAYUP by KLEUNEN,MICHAEL VAN(in the paint)",32 (+13),,19,,HANOVER 32-19 (-13),,"GOOD LAYUP by KLEUNEN,MICHAEL VAN(in the paint)",1
--,"ASSIST  by BILLUPS,VJ",,,,,,,"ASSIST  by BILLUPS,VJ",1
02:12,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND OFF by EBERT,CARSON",,,"REBOUND OFF by EBERT,CARSON",1
02:01,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND DEF by FAILS,CAMERON",,,,,,,"REBOUND DEF by FAILS,CAMERON",1
01:54,"MISS 3PTR by MCKINNEY,WES",,,,,,,"MISS 3PTR by MCKINNEY,WES",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
01:42,"FOUL  by BUCK,LEVI",,,,,,,"FOUL  by BUCK,LEVI",1
01:42,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
01:42,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
01:29,,32 (+11),,21,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE 32-21 (-11),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by GRUBER,SAM",,,"ASSIST  by GRUBER,SAM",1
01:09,"MISS 3PTR by FAILS,CAMERON",,,,,,,"MISS 3PTR by FAILS,CAMERON",1
--,"REBOUND OFF by KLEUNEN,MICHAEL VAN",,,,,,,"REBOUND OFF by KLEUNEN,MICHAEL VAN",1
01:03,"GOOD LAYUP by MCKINNEY,WES(in the paint)",34 (+13),,21,,HANOVER 34-21 (-13),,"GOOD LAYUP by MCKINNEY,WES(in the paint)",1
--,"ASSIST  by KLEUNEN,MICHAEL VAN",,,,,,,"ASSIST  by KLEUNEN,MICHAEL VAN",1
00:40,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by KLEUNEN,MICHAEL VAN",,,,,,,"REBOUND DEF by KLEUNEN,MICHAEL VAN",1
00:12,"TURNOVER  by FAILS,CAMERON",,,,,,,"TURNOVER  by FAILS,CAMERON",1
00:11,,,,,"STEAL  by WESLEY,TYLER",,,"STEAL  by WESLEY,TYLER",1
00:11,"FOUL  by BILLUPS,VJ",,,,,,,"FOUL  by BILLUPS,VJ",1
00:11,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
00:11,"SUB IN by HORNBEAK,JAREN",,,,,,,"SUB IN by HORNBEAK,JAREN",1
00:11,"SUB OUT by KLEUNEN,MICHAEL VAN",,,,,,,"SUB OUT by KLEUNEN,MICHAEL VAN",1
00:11,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
00:11,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
00:04,"FOUL  by BUCK,LEVI",,,,,,,"FOUL  by BUCK,LEVI",1
00:04,,34 (+12),,22,"GOOD FT by GUMP,MATT",CENTRE 34-22 (-12),,"GOOD FT by GUMP,MATT",1
00:04,,34 (+11),,23,"GOOD FT by GUMP,MATT",CENTRE 34-23 (-11),,"GOOD FT by GUMP,MATT",1
00:04,"SUB IN by KLEUNEN,MICHAEL VAN",,,,,,,"SUB IN by KLEUNEN,MICHAEL VAN",1
00:04,"SUB OUT by BUCK,LEVI",,,,,,,"SUB OUT by BUCK,LEVI",1
00:04,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
00:04,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
00:01,"MISS 3PTR by FAILS,CAMERON",,,,,,,"MISS 3PTR by FAILS,CAMERON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,"SUB OUT by BILLUPS,VJ",,,,,,,"SUB OUT by BILLUPS,VJ",2
20:00,"SUB OUT by MCKINNEY,WES",,,,,,,"SUB OUT by MCKINNEY,WES",2
20:00,"SUB OUT by KLEUNEN,MICHAEL VAN",,,,,,,"SUB OUT by KLEUNEN,MICHAEL VAN",2
20:00,"SUB OUT by MUCHMORE,COREY",,,,,,,"SUB OUT by MUCHMORE,COREY",2
20:00,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
20:00,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
20:00,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
20:00,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
20:00,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
19:46,"MISS JUMPER by BILLUPS,VJ",,,,,,,"MISS JUMPER by BILLUPS,VJ",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
19:29,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",2
--,"REBOUND DEF by BILLUPS,VJ",,,,,,,"REBOUND DEF by BILLUPS,VJ",2
19:03,"MISS LAYUP by MUCHMORE,COREY",,,,,,,"MISS LAYUP by MUCHMORE,COREY",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
18:50,,,,,"TURNOVER  by EBERT,CARSON",,,"TURNOVER  by EBERT,CARSON",2
18:31,"MISS 3PTR by BUCK,LEVI",,,,,,,"MISS 3PTR by BUCK,LEVI",2
--,"REBOUND OFF by BILLUPS,VJ",,,,,,,"REBOUND OFF by BILLUPS,VJ",2
18:26,"MISS LAYUP by BILLUPS,VJ",,,,,,,"MISS LAYUP by BILLUPS,VJ",2
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",2
