Time Remaining,EARLHAM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
15:38,"SUB OUT by TOPALOVIC,ALEX",,,,,,,"SUB OUT by TOPALOVIC,ALEX",2
15:38,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
15:38,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
15:38,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
15:38,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
15:00,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
14:59,"SUB IN by BENE,COLE",,,,,,,"SUB IN by BENE,COLE",2
14:59,"SUB OUT by ZOLMAN,CHAINEY",,,,,,,"SUB OUT by ZOLMAN,CHAINEY",2
14:59,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
14:59,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
14:32,"MISS 3PTR by WILSON-THOMAS,ELIJAH",,,,,,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
14:25,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",2
14:25,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
14:25,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
14:25,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
14:25,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
14:14,"GOOD 3PTR by ALEXANDER,TAYLEN",39 (+7),,32,,EARLHAM 39-32 (-7),,"GOOD 3PTR by ALEXANDER,TAYLEN",2
--,"ASSIST  by HUNTER,KAMARI",,,,,,,"ASSIST  by HUNTER,KAMARI",2
13:51,,,,,"MISS JUMPER by EBERT,CARSON",,,"MISS JUMPER by EBERT,CARSON",2
--,"REBOUND DEF by WILSON-THOMAS,ELIJAH",,,,,,,"REBOUND DEF by WILSON-THOMAS,ELIJAH",2
13:33,"GOOD LAYUP by KELLY,LAJAY(in the paint)",41 (+9),,32,,EARLHAM 41-32 (-9),,"GOOD LAYUP by KELLY,LAJAY(in the paint)",2
13:33,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
13:33,"MISS FT by KELLY,LAJAY",,,,,,,"MISS FT by KELLY,LAJAY",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
13:25,,41 (+7),,34,"GOOD LAYUP by SINE,TUCKER(in the paint)",CENTRE 41-34 (-7),,"GOOD LAYUP by SINE,TUCKER(in the paint)",2
13:03,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
13:03,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
12:51,"MISS JUMPER by BENE,COLE",,,,,,,"MISS JUMPER by BENE,COLE",2
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",2
12:43,,41 (+4),,37,"GOOD 3PTR by EBERT,CARSON",CENTRE 41-37 (-4),,"GOOD 3PTR by EBERT,CARSON",2
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",2
12:22,"FOUL  by BENE,COLE",,,,,,,"FOUL  by BENE,COLE",2
12:22,"TURNOVER  by BENE,COLE",,,,,,,"TURNOVER  by BENE,COLE",2
12:19,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
12:19,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
12:08,"SUB IN by TOPALOVIC,ALEX",,,,,,,"SUB IN by TOPALOVIC,ALEX",2
12:08,"SUB IN by WARE,ISAIAH",,,,,,,"SUB IN by WARE,ISAIAH",2
12:08,"SUB OUT by BENE,COLE",,,,,,,"SUB OUT by BENE,COLE",2
12:08,"SUB OUT by WILSON-THOMAS,ELIJAH",,,,,,,"SUB OUT by WILSON-THOMAS,ELIJAH",2
12:08,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
12:08,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
12:03,"MISS LAYUP by HUNTER,KAMARI",,,,,,,"MISS LAYUP by HUNTER,KAMARI",2
12:03,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",2
11:53,"FOUL  by KELLY,LAJAY",,,,,,,"FOUL  by KELLY,LAJAY",2
11:53,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
11:53,,41 (+3),,38,"GOOD FT by WESLEY,TYLER",CENTRE 41-38 (-3),,"GOOD FT by WESLEY,TYLER",2
11:45,"MISS LAYUP by ALEXANDER,TAYLEN",,,,,,,"MISS LAYUP by ALEXANDER,TAYLEN",2
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",2
11:31,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",2
11:26,"FOUL  by ALEXANDER,TAYLEN",,,,,,,"FOUL  by ALEXANDER,TAYLEN",2
11:26,,41 (+2),,39,"GOOD FT by SCHMUCKER,ZACH",CENTRE 41-39 (-2),,"GOOD FT by SCHMUCKER,ZACH",2
11:26,,,,,"MISS FT by SCHMUCKER,ZACH",,,"MISS FT by SCHMUCKER,ZACH",2
--,"REBOUND DEF by TOPALOVIC,ALEX",,,,,,,"REBOUND DEF by TOPALOVIC,ALEX",2
11:26,"SUB IN by ZOLMAN,CHAINEY",,,,,,,"SUB IN by ZOLMAN,CHAINEY",2
11:26,"SUB IN by SMITH,KYLE",,,,,,,"SUB IN by SMITH,KYLE",2
11:26,"SUB OUT by KELLY,LAJAY",,,,,,,"SUB OUT by KELLY,LAJAY",2
11:26,"SUB OUT by ALEXANDER,TAYLEN",,,,,,,"SUB OUT by ALEXANDER,TAYLEN",2
10:57,"MISS 3PTR by ZOLMAN,CHAINEY",,,,,,,"MISS 3PTR by ZOLMAN,CHAINEY",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
10:41,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",2
--,"REBOUND DEF by TOPALOVIC,ALEX",,,,,,,"REBOUND DEF by TOPALOVIC,ALEX",2
10:14,"GOOD 3PTR by WARE,ISAIAH",44 (+5),,39,,EARLHAM 44-39 (-5),,"GOOD 3PTR by WARE,ISAIAH",2
--,"ASSIST  by HUNTER,KAMARI",,,,,,,"ASSIST  by HUNTER,KAMARI",2
10:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
10:02,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
10:02,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
10:02,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
09:15,"MISS 3PTR by SMITH,KYLE",,,,,,,"MISS 3PTR by SMITH,KYLE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:55,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",2
--,"REBOUND DEF by HUNTER,KAMARI",,,,,,,"REBOUND DEF by HUNTER,KAMARI",2
08:31,"MISS LAYUP by SMITH,KYLE",,,,,,,"MISS LAYUP by SMITH,KYLE",2
08:31,,,,,"BLOCK  by SCHMUCKER,ZACH",,,"BLOCK  by SCHMUCKER,ZACH",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:29,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
08:29,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
08:26,"MISS 3PTR by WARE,ISAIAH",,,,,,,"MISS 3PTR by WARE,ISAIAH",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
08:16,,44 (+3),,41,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 44-41 (-3),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by EBERT,CARSON",,,"ASSIST  by EBERT,CARSON",2
07:54,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",2
07:54,"MISS FT by TOPALOVIC,ALEX",,,,,,,"MISS FT by TOPALOVIC,ALEX",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:54,"GOOD FT by TOPALOVIC,ALEX",45 (+4),,41,,EARLHAM 45-41 (-4),,"GOOD FT by TOPALOVIC,ALEX",2
07:54,"SUB IN by KELLY,LAJAY",,,,,,,"SUB IN by KELLY,LAJAY",2
07:54,"SUB IN by BENE,COLE",,,,,,,"SUB IN by BENE,COLE",2
07:54,"SUB IN by ALEXANDER,TAYLEN",,,,,,,"SUB IN by ALEXANDER,TAYLEN",2
07:54,"SUB IN by WILSON-THOMAS,ELIJAH",,,,,,,"SUB IN by WILSON-THOMAS,ELIJAH",2
07:54,"SUB OUT by TOPALOVIC,ALEX",,,,,,,"SUB OUT by TOPALOVIC,ALEX",2
07:54,"SUB OUT by ZOLMAN,CHAINEY",,,,,,,"SUB OUT by ZOLMAN,CHAINEY",2
07:54,"SUB OUT by SMITH,KYLE",,,,,,,"SUB OUT by SMITH,KYLE",2
07:54,"SUB OUT by HUNTER,KAMARI",,,,,,,"SUB OUT by HUNTER,KAMARI",2
07:54,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
07:54,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
07:54,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
07:54,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
07:32,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",2
--,"REBOUND DEF by WARE,ISAIAH",,,,,,,"REBOUND DEF by WARE,ISAIAH",2
07:03,"GOOD LAYUP by WARE,ISAIAH(in the paint)",47 (+6),,41,,EARLHAM 47-41 (-6),,"GOOD LAYUP by WARE,ISAIAH(in the paint)",2
06:45,"FOUL  by BENE,COLE",,,,,,,"FOUL  by BENE,COLE",2
06:45,,47 (+5),,42,"GOOD FT by WESLEY,TYLER",CENTRE 47-42 (-5),,"GOOD FT by WESLEY,TYLER",2
06:45,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,"REBOUND DEF by KELLY,LAJAY",,,,,,,"REBOUND DEF by KELLY,LAJAY",2
06:45,"SUB IN by TOPALOVIC,ALEX",,,,,,,"SUB IN by TOPALOVIC,ALEX",2
06:45,"SUB OUT by BENE,COLE",,,,,,,"SUB OUT by BENE,COLE",2
06:45,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
06:45,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
06:22,"MISS LAYUP by WARE,ISAIAH",,,,,,,"MISS LAYUP by WARE,ISAIAH",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
06:06,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",2
--,"REBOUND DEF by KELLY,LAJAY",,,,,,,"REBOUND DEF by KELLY,LAJAY",2
05:42,"MISS JUMPER by KELLY,LAJAY",,,,,,,"MISS JUMPER by KELLY,LAJAY",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
05:23,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",2
05:23,"BLOCK  by KELLY,LAJAY",,,,,,,"BLOCK  by KELLY,LAJAY",2
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",2
05:18,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by WILSON-THOMAS,ELIJAH",,,,,,,"REBOUND DEF by WILSON-THOMAS,ELIJAH",2
05:11,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:11,"SUB IN by ZOLMAN,CHAINEY",,,,,,,"SUB IN by ZOLMAN,CHAINEY",2
05:11,"SUB OUT by KELLY,LAJAY",,,,,,,"SUB OUT by KELLY,LAJAY",2
05:11,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",2
05:11,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
05:11,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
05:11,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
04:49,"MISS LAYUP by TOPALOVIC,ALEX",,,,,,,"MISS LAYUP by TOPALOVIC,ALEX",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
04:29,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
04:29,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
04:05,"TURNOVER  by TOPALOVIC,ALEX",,,,,,,"TURNOVER  by TOPALOVIC,ALEX",2
04:05,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
04:05,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
03:48,,47 (+3),,44,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 47-44 (-3),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
03:48,"FOUL  by TOPALOVIC,ALEX",,,,,,,"FOUL  by TOPALOVIC,ALEX",2
03:48,,47 (+2),,45,"GOOD FT by SCINTA,BLAKE",CENTRE 47-45 (-2),,"GOOD FT by SCINTA,BLAKE",2
03:48,"SUB IN by BENE,COLE",,,,,,,"SUB IN by BENE,COLE",2
03:48,"SUB IN by HUNTER,KAMARI",,,,,,,"SUB IN by HUNTER,KAMARI",2
03:48,"SUB OUT by TOPALOVIC,ALEX",,,,,,,"SUB OUT by TOPALOVIC,ALEX",2
03:48,"SUB OUT by WARE,ISAIAH",,,,,,,"SUB OUT by WARE,ISAIAH",2
03:37,"MISS JUMPER by ZOLMAN,CHAINEY",,,,,,,"MISS JUMPER by ZOLMAN,CHAINEY",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
03:18,"SUB IN by KELLY,LAJAY",,,,,,,"SUB IN by KELLY,LAJAY",2
03:18,"SUB OUT by ZOLMAN,CHAINEY",,,,,,,"SUB OUT by ZOLMAN,CHAINEY",2
03:09,"FOUL  by WILSON-THOMAS,ELIJAH",,,,,,,"FOUL  by WILSON-THOMAS,ELIJAH",2
03:09,,47 (+1),,46,"GOOD FT by GUMP,MATT",CENTRE 47-46 (-1),,"GOOD FT by GUMP,MATT",2
03:09,,47,,47,"GOOD FT by GUMP,MATT",CENTRE 47-47 (0),,"GOOD FT by GUMP,MATT",2
02:57,"TURNOVER  by KELLY,LAJAY",,,,,,,"TURNOVER  by KELLY,LAJAY",2
02:57,"SUB IN by WARE,ISAIAH",,,,,,,"SUB IN by WARE,ISAIAH",2
02:57,"SUB OUT by BENE,COLE",,,,,,,"SUB OUT by BENE,COLE",2
02:41,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",2
--,"REBOUND DEF by KELLY,LAJAY",,,,,,,"REBOUND DEF by KELLY,LAJAY",2
02:31,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:31,"SUB IN by TOPALOVIC,ALEX",,,,,,,"SUB IN by TOPALOVIC,ALEX",2
02:31,"SUB OUT by KELLY,LAJAY",,,,,,,"SUB OUT by KELLY,LAJAY",2
02:23,"MISS 3PTR by ALEXANDER,TAYLEN",,,,,,,"MISS 3PTR by ALEXANDER,TAYLEN",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
01:59,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
01:59,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
01:59,,,,,"SUB OUT by MAGUIRE,WILL",,,"SUB OUT by MAGUIRE,WILL",2
01:40,"GOOD 3PTR by WARE,ISAIAH",50 (+3),,47,,EARLHAM 50-47 (-3),,"GOOD 3PTR by WARE,ISAIAH",2
01:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:24,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",2
01:24,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
01:13,"FOUL  by TOPALOVIC,ALEX",,,,,,,"FOUL  by TOPALOVIC,ALEX",2
01:13,,50 (+2),,48,"GOOD FT by SCINTA,BLAKE",CENTRE 50-48 (-2),,"GOOD FT by SCINTA,BLAKE",2
01:13,,50 (+1),,49,"GOOD FT by SCINTA,BLAKE",CENTRE 50-49 (-1),,"GOOD FT by SCINTA,BLAKE",2
01:13,"SUB IN by BENE,COLE",,,,,,,"SUB IN by BENE,COLE",2
01:13,"SUB IN by SMITH,KYLE",,,,,,,"SUB IN by SMITH,KYLE",2
01:13,"SUB OUT by TOPALOVIC,ALEX",,,,,,,"SUB OUT by TOPALOVIC,ALEX",2
01:13,"SUB OUT by WILSON-THOMAS,ELIJAH",,,,,,,"SUB OUT by WILSON-THOMAS,ELIJAH",2
01:13,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
01:13,,,,,"SUB OUT by MAGUIRE,WILL",,,"SUB OUT by MAGUIRE,WILL",2
01:00,"TURNOVER  by WILSON-THOMAS,ELIJAH",,,,,,,"TURNOVER  by WILSON-THOMAS,ELIJAH",2
00:59,,,,,"STEAL  by EBERT,CARSON",,,"STEAL  by EBERT,CARSON",2
00:57,,50,,51 (+1),"GOOD LAYUP by EBERT,CARSON(fastbreak)(in the paint)",CENTRE 50-51 (+1),,"GOOD LAYUP by EBERT,CARSON(fastbreak)(in the paint)",2
00:38,"GOOD JUMPER by WILSON-THOMAS,ELIJAH",52 (+1),,51,,EARLHAM 52-51 (-1),,"GOOD JUMPER by WILSON-THOMAS,ELIJAH",2
00:35,"SUB IN by KELLY,LAJAY",,,,,,,"SUB IN by KELLY,LAJAY",2
00:35,"SUB IN by WILSON-THOMAS,ELIJAH",,,,,,,"SUB IN by WILSON-THOMAS,ELIJAH",2
00:35,"SUB OUT by ALEXANDER,TAYLEN",,,,,,,"SUB OUT by ALEXANDER,TAYLEN",2
00:35,"SUB OUT by WARE,ISAIAH",,,,,,,"SUB OUT by WARE,ISAIAH",2
00:30,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:15,"FOUL  by BENE,COLE",,,,,,,"FOUL  by BENE,COLE",2
00:15,,52,,52,"GOOD FT by SCINTA,BLAKE",CENTRE 52-52 (0),,"GOOD FT by SCINTA,BLAKE",2
00:15,,52,,53 (+1),"GOOD FT by SCINTA,BLAKE",CENTRE 52-53 (+1),,"GOOD FT by SCINTA,BLAKE",2
00:15,"SUB IN by ZOLMAN,CHAINEY",,,,,,,"SUB IN by ZOLMAN,CHAINEY",2
00:15,"SUB OUT by BENE,COLE",,,,,,,"SUB OUT by BENE,COLE",2
00:14,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:10,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",2
00:03,"GOOD LAYUP by WILSON-THOMAS,ELIJAH(in the paint)",54 (+1),,53,,EARLHAM 54-53 (-1),,"GOOD LAYUP by WILSON-THOMAS,ELIJAH(in the paint)",2
00:01,,54,,55 (+1),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 54-55 (+1),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
00:01,"TURNOVER  by WARE,ISAIAH",,,,,,,"TURNOVER  by WARE,ISAIAH",2
00:01,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",2
00:01,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
