Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
11:27,,,,,"MISS 3PTR by NYWADA,ANESU",,,"MISS 3PTR by NYWADA,ANESU",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
11:12,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",22 (+16),,6,,CEN 22-6 (+16),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
10:59,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",1
10:59,"BLOCK  by GRUBER,SAM",,,,,,,"BLOCK  by GRUBER,SAM",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
10:54,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by NYWADA,ANESU",,,"REBOUND DEF by NYWADA,ANESU",1
10:43,,,,,"MISS JUMPER by GEE,TYLER",,,"MISS JUMPER by GEE,TYLER",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
10:26,,22 (+14),,8,"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 22-8 (+14),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
10:07,"GOOD JUMPER by SCINTA,BLAKE",24 (+16),,8,,CEN 24-8 (+16),,"GOOD JUMPER by SCINTA,BLAKE",1
09:56,,24 (+13),,11,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 24-11 (+13),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
09:38,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
09:38,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
09:38,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
09:38,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
09:38,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
09:38,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
09:38,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
09:38,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
09:38,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
09:38,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
09:38,,,,,"SUB OUT by CORNELISON,ZACH",,,"SUB OUT by CORNELISON,ZACH",1
09:38,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
09:38,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
09:38,,,,,"SUB OUT by NYWADA,ANESU",,,"SUB OUT by NYWADA,ANESU",1
09:37,"GOOD FT by SCINTA,BLAKE",25 (+14),,11,,CEN 25-11 (+14),,"GOOD FT by SCINTA,BLAKE",1
09:37,"GOOD FT by SCINTA,BLAKE",26 (+15),,11,,CEN 26-11 (+15),,"GOOD FT by SCINTA,BLAKE",1
09:37,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",1
09:37,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
09:19,,26 (+12),,14,"GOOD 3PTR by BUTTS,KEYSHAWN",RHO 26-14 (+12),,"GOOD 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
08:59,,,,,"FOUL  by GALVIN,DANIEL",,,"FOUL  by GALVIN,DANIEL",1
08:50,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
08:39,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",1
08:39,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
08:39,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
08:39,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
08:21,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
08:20,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
08:14,"FOUL  by ARNETT,MICHAEL",,,,,,,"FOUL  by ARNETT,MICHAEL",1
08:14,,,,,"MISS FT by DARST,DANIEL",,,"MISS FT by DARST,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:14,,26 (+11),,15,"GOOD FT by DARST,DANIEL",RHO 26-15 (+11),,"GOOD FT by DARST,DANIEL",1
08:14,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
08:14,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
08:14,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
08:14,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
07:52,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
07:42,,,,,"MISS 3PTR by LOWRIE,ANDREW",,,"MISS 3PTR by LOWRIE,ANDREW",1
--,,,,,"REBOUND OFF by GALVIN,DANIEL",,,"REBOUND OFF by GALVIN,DANIEL",1
07:17,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
07:17,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
07:03,"GOOD 3PTR by SINE,TUCKER",29 (+14),,15,,CEN 29-15 (+14),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
07:03,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
07:03,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
06:42,,29 (+11),,18,"GOOD 3PTR by BUTTS,KEYSHAWN",RHO 29-18 (+11),,"GOOD 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"ASSIST  by LOWRIE,ANDREW",,,"ASSIST  by LOWRIE,ANDREW",1
06:18,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
06:18,,,,,"BLOCK  by BUTTS,KEYSHAWN",,,"BLOCK  by BUTTS,KEYSHAWN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:18,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
06:18,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
06:18,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
06:18,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
06:18,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
06:18,,,,,"SUB IN by NYWADA,ANESU",,,"SUB IN by NYWADA,ANESU",1
06:18,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
06:18,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
06:18,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
06:18,,,,,"SUB OUT by CORNELISON,ZACH",,,"SUB OUT by CORNELISON,ZACH",1
06:18,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
06:18,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
06:18,,,,,"SUB OUT by NYWADA,ANESU",,,"SUB OUT by NYWADA,ANESU",1
06:10,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
06:10,,,,,"BLOCK  by WEIR,JJ",,,"BLOCK  by WEIR,JJ",1
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",1
06:05,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
06:05,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",1
06:05,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
06:05,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
06:05,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
05:44,,,,,"MISS JUMPER by HARRISON,IAN",,,"MISS JUMPER by HARRISON,IAN",1
--,"REBOUND DEF by ARNETT,MICHAEL",,,,,,,"REBOUND DEF by ARNETT,MICHAEL",1
05:26,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",31 (+13),,18,,CEN 31-18 (+13),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
05:13,,31 (+11),,20,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",RHO 31-20 (+11),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",1
04:49,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
04:37,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
04:37,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
04:37,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
04:37,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
04:37,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
04:37,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
04:37,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
04:37,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
04:37,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
04:37,"SUB OUT by JONES,BRETT",,,,,,,"SUB OUT by JONES,BRETT",1
04:37,"SUB OUT by MAGUIRE,WILL",,,,,,,"SUB OUT by MAGUIRE,WILL",1
04:37,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
04:37,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
04:37,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
04:37,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
04:37,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
04:37,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
04:37,,,,,"SUB OUT by CORNELISON,ZACH",,,"SUB OUT by CORNELISON,ZACH",1
04:37,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
04:37,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
04:37,,,,,"SUB OUT by NYWADA,ANESU",,,"SUB OUT by NYWADA,ANESU",1
04:25,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
04:07,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",,,"MISS JUMPER by SULLIVAN,BRENNAN",1
04:07,"BLOCK  by GRUBER,SAM",,,,,,,"BLOCK  by GRUBER,SAM",1
--,"REBOUND DEF by GRUBER,SAM",,,,,,,"REBOUND DEF by GRUBER,SAM",1
04:04,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
04:04,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",1
04:04,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
04:00,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:57,"FOUL  by ARNETT,MICHAEL",,,,,,,"FOUL  by ARNETT,MICHAEL",1
03:57,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
03:57,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
03:47,,,,,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",1
03:47,"STEAL  by EBERT,CARSON",,,,,,,"STEAL  by EBERT,CARSON",1
03:43,"TURNOVER  by EBERT,CARSON",,,,,,,"TURNOVER  by EBERT,CARSON",1
03:42,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
03:42,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
03:42,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
03:40,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
03:40,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
03:40,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
03:40,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
03:27,"GOOD LAYUP by WESLEY,TYLER(in the paint)",33 (+13),,20,,CEN 33-20 (+13),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
03:14,,33 (+11),,22,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",RHO 33-22 (+11),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",1
02:50,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
02:50,"GOOD FT by WESLEY,TYLER",34 (+12),,22,,CEN 34-22 (+12),,"GOOD FT by WESLEY,TYLER",1
02:50,"GOOD FT by WESLEY,TYLER",35 (+13),,22,,CEN 35-22 (+13),,"GOOD FT by WESLEY,TYLER",1
02:50,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
02:50,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
02:50,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
02:50,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
02:50,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
02:50,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
02:50,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
02:50,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
02:50,"SUB OUT by JONES,BRETT",,,,,,,"SUB OUT by JONES,BRETT",1
02:50,"SUB OUT by MAGUIRE,WILL",,,,,,,"SUB OUT by MAGUIRE,WILL",1
02:50,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
02:50,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
02:40,,,,,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",1
02:40,,,,,"FOUL  by GALVIN,DANIEL",,,"FOUL  by GALVIN,DANIEL",1
02:40,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
02:40,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
02:27,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
02:27,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
02:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:27,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
02:27,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
02:27,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
02:27,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
02:15,,,,,"TURNOVER  by WEIR,JJ",,,"TURNOVER  by WEIR,JJ",1
02:14,"STEAL  by WESLEY,TYLER",,,,,,,"STEAL  by WESLEY,TYLER",1
02:08,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
01:52,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
01:51,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",1
01:48,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
01:48,"GOOD FT by SINE,TUCKER",36 (+14),,22,,CEN 36-22 (+14),,"GOOD FT by SINE,TUCKER",1
01:48,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
01:48,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
01:44,"GOOD FT by SINE,TUCKER",37 (+15),,22,,CEN 37-22 (+15),,"GOOD FT by SINE,TUCKER",1
01:25,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
