Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,TASMBB,Game Score,Team Indicator,Play,Period
16:00,,,,,"TURNOVER  by MANCUSO,LOGAN",,,"TURNOVER  by MANCUSO,LOGAN",1
15:57,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",1
15:42,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
15:35,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:27,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
15:27,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
15:14,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",1
15:14,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
15:06,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
15:06,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
15:06,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
15:06,,,,,"SUB IN by MASON,ROBERT WADE",,,"SUB IN by MASON,ROBERT WADE",1
15:06,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
14:47,,,,,"MISS LAYUP by MANCUSO,LOGAN",,,"MISS LAYUP by MANCUSO,LOGAN",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
14:27,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:24,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",1
14:24,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
14:24,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
14:24,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
14:24,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
14:24,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
14:24,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",1
14:12,"GOOD 3PTR by GRUBER,SAM",12 (+10),,2,,CENTRE 12-2 (+10),,"GOOD 3PTR by GRUBER,SAM",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
13:52,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",1
--,"REBOUND DEF by GRUBER,SAM",,,,,,,"REBOUND DEF by GRUBER,SAM",1
13:24,"GOOD LAYUP by WESLEY,TYLER(in the paint)",14 (+12),,2,,CENTRE 14-2 (+12),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
12:58,,14 (+10),,4,"GOOD LAYUP by MASON,ROBERT WADE(in the paint)",TASMBB 14-4 (+10),,"GOOD LAYUP by MASON,ROBERT WADE(in the paint)",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
12:34,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",1
12:34,,,,,"BLOCK  by MASON,ROBERT WADE",,,"BLOCK  by MASON,ROBERT WADE",1
--,"REBOUND OFF by EBERT,CARSON",,,,,,,"REBOUND OFF by EBERT,CARSON",1
12:28,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND OFF by GRUBER,SAM",,,,,,,"REBOUND OFF by GRUBER,SAM",1
12:15,"GOOD 3PTR by EBERT,CARSON",17 (+13),,4,,CENTRE 17-4 (+13),,"GOOD 3PTR by EBERT,CARSON",1
--,"ASSIST  by GRUBER,SAM",,,,,,,"ASSIST  by GRUBER,SAM",1
12:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:11,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
12:11,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
12:11,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
12:11,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
12:09,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",1
--,"REBOUND DEF by EBERT,CARSON",,,,,,,"REBOUND DEF by EBERT,CARSON",1
11:36,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
11:33,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",19 (+15),,4,,CENTRE 19-4 (+15),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
11:09,,19 (+12),,7,"GOOD 3PTR by ATKINSON,QUINN",TASMBB 19-7 (+12),,"GOOD 3PTR by ATKINSON,QUINN",1
10:52,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
10:52,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
10:44,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by MASON,ROBERT WADE",,,"REBOUND DEF by MASON,ROBERT WADE",1
10:31,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
10:31,,19 (+11),,8,"GOOD FT by ATKINSON,QUINN",TASMBB 19-8 (+11),,"GOOD FT by ATKINSON,QUINN",1
10:31,,19 (+10),,9,"GOOD FT by ATKINSON,QUINN",TASMBB 19-9 (+10),,"GOOD FT by ATKINSON,QUINN",1
10:31,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
10:31,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
10:04,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",1
10:04,"GOOD FT by SINE,TUCKER",20 (+11),,9,,CENTRE 20-9 (+11),,"GOOD FT by SINE,TUCKER",1
10:04,"GOOD FT by SINE,TUCKER",21 (+12),,9,,CENTRE 21-9 (+12),,"GOOD FT by SINE,TUCKER",1
10:04,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
10:04,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
10:04,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
10:04,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
09:53,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",1
09:53,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
09:46,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
09:42,"GOOD JUMPER by SCINTA,BLAKE",23 (+14),,9,,CENTRE 23-9 (+14),,"GOOD JUMPER by SCINTA,BLAKE",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
09:20,,23 (+12),,11,"GOOD JUMPER by MASON,ROBERT WADE",TASMBB 23-11 (+12),,"GOOD JUMPER by MASON,ROBERT WADE",1
--,,,,,"ASSIST  by MANCUSO,LOGAN",,,"ASSIST  by MANCUSO,LOGAN",1
09:05,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
09:00,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",1
08:51,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
08:49,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
08:49,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
08:49,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
08:49,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
08:49,,,,,"SUB OUT by MASON,ROBERT WADE",,,"SUB OUT by MASON,ROBERT WADE",1
08:49,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
08:40,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:37,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
08:20,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
08:00,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
07:59,,,,,"STEAL  by MARKWITH,TRENT",,,"STEAL  by MARKWITH,TRENT",1
07:56,,23 (+10),,13,"GOOD LAYUP by MARKWITH,TRENT(fastbreak)(in the paint)",TASMBB 23-13 (+10),,"GOOD LAYUP by MARKWITH,TRENT(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ATKINSON,QUINN",,,"ASSIST  by ATKINSON,QUINN",1
07:36,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
07:29,,23 (+8),,15,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",TASMBB 23-15 (+8),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
07:19,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
07:19,,23 (+7),,16,"GOOD FT by ATKINSON,QUINN",TASMBB 23-16 (+7),,"GOOD FT by ATKINSON,QUINN",1
07:19,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND OFF by SCHMUCKER,ZACH",,,,,,,"REBOUND OFF by SCHMUCKER,ZACH",1
07:19,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
07:19,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
07:19,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
07:19,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
07:19,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
07:19,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
07:19,,,,,"SUB IN by MASON,ROBERT WADE",,,"SUB IN by MASON,ROBERT WADE",1
07:19,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
07:19,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
06:34,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
06:26,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
06:26,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
06:26,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
06:21,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND DEF by JONES,BLAKE",,,"REBOUND DEF by JONES,BLAKE",1
06:00,,,,,"TURNOVER  by GERCHOW,ALEX",,,"TURNOVER  by GERCHOW,ALEX",1
05:50,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
05:47,,,,,"STEAL  by GERCHOW,ALEX",,,"STEAL  by GERCHOW,ALEX",1
05:46,,23 (+5),,18,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",TASMBB 23-18 (+5),,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",1
05:43,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
05:43,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
05:29,"GOOD LAYUP by SINE,TUCKER(in the paint)",25 (+7),,18,,CENTRE 25-18 (+7),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
05:14,,25 (+4),,21,"GOOD 3PTR by JONES,BLAKE",TASMBB 25-21 (+4),,"GOOD 3PTR by JONES,BLAKE",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
04:48,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
04:35,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",1
04:34,,25 (+2),,23,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",TASMBB 25-23 (+2),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
04:34,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
04:34,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
04:34,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
04:34,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
04:29,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
04:28,,,,,"STEAL  by MASON,ROBERT WADE",,,"STEAL  by MASON,ROBERT WADE",1
04:26,,25,,25,"GOOD LAYUP by MASON,ROBERT WADE(fastbreak)(in the paint)",TASMBB 25-25 (0),,"GOOD LAYUP by MASON,ROBERT WADE(fastbreak)(in the paint)",1
03:59,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",1
03:49,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
03:33,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
03:24,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
03:24,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
03:19,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
03:16,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
03:09,,25,,28 (+3),"GOOD 3PTR by JONES,BLAKE",TASMBB 25-28 (-3),,"GOOD 3PTR by JONES,BLAKE",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
03:04,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
02:42,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",1
02:25,,25,,30 (+5),"GOOD JUMPER by JONES,BLAKE",TASMBB 25-30 (-5),,"GOOD JUMPER by JONES,BLAKE",1
02:01,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
01:58,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
01:58,"GOOD FT by SCINTA,BLAKE",26,,30 (+4),,CENTRE 26-30 (-4),,"GOOD FT by SCINTA,BLAKE",1
01:58,"GOOD FT by SCINTA,BLAKE",27,,30 (+3),,CENTRE 27-30 (-3),,"GOOD FT by SCINTA,BLAKE",1
01:58,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
01:58,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
01:58,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
01:58,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
01:58,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
01:58,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
01:39,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
01:39,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
01:39,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
01:26,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
01:16,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
01:11,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",1
01:11,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
01:11,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
01:03,"GOOD 3PTR by EBERT,CARSON",30,,30,,CENTRE 30-30 (0),,"GOOD 3PTR by EBERT,CARSON",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
00:37,,30,,32 (+2),"GOOD LAYUP by ATKINSON,QUINN(in the paint)",TASMBB 30-32 (-2),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",1
00:22,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",32,,32,,CENTRE 32-32 (0),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by EBERT,CARSON",,,,,,,"ASSIST  by EBERT,CARSON",1
00:18,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",1
00:18,"GOOD FT by SCINTA,BLAKE",33 (+1),,32,,CENTRE 33-32 (+1),,"GOOD FT by SCINTA,BLAKE",1
00:18,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
00:18,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
00:18,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
00:18,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
00:18,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
00:18,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
00:18,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
00:18,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
00:14,,33,,34 (+1),"GOOD JUMPER by MARKWITH,TRENT",TASMBB 33-34 (-1),,"GOOD JUMPER by MARKWITH,TRENT",1
00:03,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
00:03,,,,,"BLOCK  by MASON,ROBERT WADE",,,"BLOCK  by MASON,ROBERT WADE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
19:40,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
19:18,,,,,"TURNOVER  by GERCHOW,ALEX",,,"TURNOVER  by GERCHOW,ALEX",2
19:06,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
18:44,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",2
18:42,"STEAL  by GUMP,MATT",,,,,,,"STEAL  by GUMP,MATT",2
18:38,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
18:38,"GOOD FT by SCINTA,BLAKE",34,,34,,CENTRE 34-34 (0),,"GOOD FT by SCINTA,BLAKE",2
18:38,"GOOD FT by SCINTA,BLAKE",35 (+1),,34,,CENTRE 35-34 (+1),,"GOOD FT by SCINTA,BLAKE",2
18:38,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",2
18:38,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
18:22,,35,,36 (+1),"GOOD LAYUP by ATKINSON,QUINN(in the paint)",TASMBB 35-36 (-1),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",2
18:03,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:45,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND OFF by GRIFFIN,JAROD",,,,,,,"REBOUND OFF by GRIFFIN,JAROD",2
17:39,"GOOD JUMPER by SCINTA,BLAKE",37 (+1),,36,,CENTRE 37-36 (+1),,"GOOD JUMPER by SCINTA,BLAKE",2
--,"ASSIST  by EBERT,CARSON",,,,,,,"ASSIST  by EBERT,CARSON",2
17:11,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",2
17:11,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",2
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",2
17:05,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",39 (+3),,36,,CENTRE 39-36 (+3),,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
