Time Remaining,TMC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
17:42,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:31,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",2
17:12,"MISS JUMPER by HORNE,BRANDON",,,,,,,"MISS JUMPER by HORNE,BRANDON",2
17:12,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",2
--,"REBOUND OFF by HORNE,BRANDON",,,,,,,"REBOUND OFF by HORNE,BRANDON",2
17:01,"MISS 3PTR by WILLIAMS,DANIEL",,,,,,,"MISS 3PTR by WILLIAMS,DANIEL",2
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",2
16:49,"FOUL  by HORNE,BRANDON",,,,,,,"FOUL  by HORNE,BRANDON",2
16:49,"SUB IN by YOUNG,AUSTIN",,,,,,,"SUB IN by YOUNG,AUSTIN",2
16:49,"SUB OUT by HORNE,BRANDON",,,,,,,"SUB OUT by HORNE,BRANDON",2
16:49,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
16:49,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
16:43,,40,,40,"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE 40-40 (0),,"GOOD LAYUP by GUMP,MATT(in the paint)",2
16:43,"FOUL  by WILLIAMS,DANIEL",,,,,,,"FOUL  by WILLIAMS,DANIEL",2
16:43,,40,,41 (+1),"GOOD FT by GUMP,MATT",CENTRE 40-41 (+1),,"GOOD FT by GUMP,MATT",2
16:20,"MISS LAYUP by YOUNG,AUSTIN",,,,,,,"MISS LAYUP by YOUNG,AUSTIN",2
16:20,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",2
16:07,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",2
--,"REBOUND DEF by YOUNG,AUSTIN",,,,,,,"REBOUND DEF by YOUNG,AUSTIN",2
15:38,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
15:38,"MISS FT by HALL,JACOB",,,,,,,"MISS FT by HALL,JACOB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:38,"GOOD FT by HALL,JACOB",41,,41,,TMC 41-41 (0),,"GOOD FT by HALL,JACOB",2
15:20,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,"REBOUND DEF by CLIFFORD,SIMON",,,,,,,"REBOUND DEF by CLIFFORD,SIMON",2
15:09,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
15:09,"SUB IN by KING,DAMION",,,,,,,"SUB IN by KING,DAMION",2
15:09,"SUB OUT by HALL,JACOB",,,,,,,"SUB OUT by HALL,JACOB",2
15:09,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
15:09,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
15:09,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
15:09,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
14:55,"MISS JUMPER by CLIFFORD,SIMON",,,,,,,"MISS JUMPER by CLIFFORD,SIMON",2
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",2
14:42,,41,,44 (+3),"GOOD 3PTR by REPISHTI,BRYAN",CENTRE 41-44 (+3),,"GOOD 3PTR by REPISHTI,BRYAN",2
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",2
14:25,"GOOD 3PTR by GRIFFIN,MICHAEL",44,,44,,TMC 44-44 (0),,"GOOD 3PTR by GRIFFIN,MICHAEL",2
--,"ASSIST  by YOUNG,AUSTIN",,,,,,,"ASSIST  by YOUNG,AUSTIN",2
14:00,,44,,47 (+3),"GOOD 3PTR by GRUBER,SAM",CENTRE 44-47 (+3),,"GOOD 3PTR by GRUBER,SAM",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
13:36,"MISS JUMPER by KING,DAMION",,,,,,,"MISS JUMPER by KING,DAMION",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
13:14,"FOUL  by CLIFFORD,SIMON",,,,,,,"FOUL  by CLIFFORD,SIMON",2
13:14,"SUB IN by CALLAHAN,RYNE",,,,,,,"SUB IN by CALLAHAN,RYNE",2
13:14,"SUB OUT by GRIFFIN,MICHAEL",,,,,,,"SUB OUT by GRIFFIN,MICHAEL",2
13:06,,,,,"TURNOVER  by SCHMUCKER,ZACH",,,"TURNOVER  by SCHMUCKER,ZACH",2
12:50,"MISS JUMPER by CLIFFORD,SIMON",,,,,,,"MISS JUMPER by CLIFFORD,SIMON",2
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",2
12:26,,44,,49 (+5),"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE 44-49 (+5),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
12:14,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
12:14,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
12:13,"MISS JUMPER by HORNE,BRANDON",,,,,,,"MISS JUMPER by HORNE,BRANDON",2
--,"REBOUND OFF by CALLAHAN,RYNE",,,,,,,"REBOUND OFF by CALLAHAN,RYNE",2
11:51,"MISS 3PTR by CALLAHAN,RYNE",,,,,,,"MISS 3PTR by CALLAHAN,RYNE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
11:49,"SUB IN by HORNE,BRANDON",,,,,,,"SUB IN by HORNE,BRANDON",2
11:49,"SUB IN by STOCKWELL,JUNIOR",,,,,,,"SUB IN by STOCKWELL,JUNIOR",2
11:49,"SUB OUT by YOUNG,AUSTIN",,,,,,,"SUB OUT by YOUNG,AUSTIN",2
11:49,"SUB OUT by CLIFFORD,SIMON",,,,,,,"SUB OUT by CLIFFORD,SIMON",2
11:49,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
11:49,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
11:26,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
11:06,"MISS JUMPER by STOCKWELL,JUNIOR",,,,,,,"MISS JUMPER by STOCKWELL,JUNIOR",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
10:56,"FOUL  by WILLIAMS,DANIEL",,,,,,,"FOUL  by WILLIAMS,DANIEL",2
10:56,"SUB IN by HOWARD,COREY",,,,,,,"SUB IN by HOWARD,COREY",2
10:56,"SUB OUT by WILLIAMS,DANIEL",,,,,,,"SUB OUT by WILLIAMS,DANIEL",2
10:42,,44,,52 (+8),"GOOD 3PTR by GRUBER,SAM",CENTRE 44-52 (+8),,"GOOD 3PTR by GRUBER,SAM",2
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",2
10:25,"GOOD JUMPER by HOWARD,COREY(in the paint)",46,,52 (+6),,TMC 46-52 (+6),,"GOOD JUMPER by HOWARD,COREY(in the paint)",2
10:04,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",2
--,"REBOUND DEF by STOCKWELL,JUNIOR",,,,,,,"REBOUND DEF by STOCKWELL,JUNIOR",2
09:56,"TURNOVER  by HORNE,BRANDON",,,,,,,"TURNOVER  by HORNE,BRANDON",2
09:56,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
09:56,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
09:56,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
09:56,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
09:56,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
09:56,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
09:56,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
09:56,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
09:31,,46,,54 (+8),"GOOD JUMPER by SINE,TUCKER",CENTRE 46-54 (+8),,"GOOD JUMPER by SINE,TUCKER",2
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",2
09:15,"MISS 3PTR by HOWARD,COREY",,,,,,,"MISS 3PTR by HOWARD,COREY",2
--,"REBOUND OFF by CALLAHAN,RYNE",,,,,,,"REBOUND OFF by CALLAHAN,RYNE",2
09:07,"GOOD LAYUP by STOCKWELL,JUNIOR(in the paint)",48,,54 (+6),,TMC 48-54 (+6),,"GOOD LAYUP by STOCKWELL,JUNIOR(in the paint)",2
--,"ASSIST  by CALLAHAN,RYNE",,,,,,,"ASSIST  by CALLAHAN,RYNE",2
08:46,"SUB IN by WILLIAMS,DANIEL",,,,,,,"SUB IN by WILLIAMS,DANIEL",2
08:46,"SUB IN by CLIFFORD,SIMON",,,,,,,"SUB IN by CLIFFORD,SIMON",2
08:46,"SUB OUT by KING,DAMION",,,,,,,"SUB OUT by KING,DAMION",2
08:46,"SUB OUT by STOCKWELL,JUNIOR",,,,,,,"SUB OUT by STOCKWELL,JUNIOR",2
08:36,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",2
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",2
08:31,,48,,56 (+8),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 48-56 (+8),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
08:21,"MISS 3PTR by CALLAHAN,RYNE",,,,,,,"MISS 3PTR by CALLAHAN,RYNE",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
08:06,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
08:06,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
08:06,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
08:06,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
07:55,"TURNOVER  by HORNE,BRANDON",,,,,,,"TURNOVER  by HORNE,BRANDON",2
07:55,"FOUL  by HORNE,BRANDON",,,,,,,"FOUL  by HORNE,BRANDON",2
07:39,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",2
07:32,,48,,58 (+10),"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE 48-58 (+10),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
07:24,"GOOD 3PTR by WILLIAMS,DANIEL",51,,58 (+7),,TMC 51-58 (+7),,"GOOD 3PTR by WILLIAMS,DANIEL",2
--,"ASSIST  by HOWARD,COREY",,,,,,,"ASSIST  by HOWARD,COREY",2
07:23,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
07:23,"SUB IN by YOUNG,AUSTIN",,,,,,,"SUB IN by YOUNG,AUSTIN",2
07:23,"SUB IN by GRIFFIN,MICHAEL",,,,,,,"SUB IN by GRIFFIN,MICHAEL",2
07:23,"SUB OUT by HORNE,BRANDON",,,,,,,"SUB OUT by HORNE,BRANDON",2
07:23,"SUB OUT by CALLAHAN,RYNE",,,,,,,"SUB OUT by CALLAHAN,RYNE",2
07:04,,,,,"MISS JUMPER by SCHMUCKER,ZACH",,,"MISS JUMPER by SCHMUCKER,ZACH",2
--,"REBOUND DEF by HOWARD,COREY",,,,,,,"REBOUND DEF by HOWARD,COREY",2
06:51,"GOOD 3PTR by WILLIAMS,DANIEL",54,,58 (+4),,TMC 54-58 (+4),,"GOOD 3PTR by WILLIAMS,DANIEL",2
--,"ASSIST  by CLIFFORD,SIMON",,,,,,,"ASSIST  by CLIFFORD,SIMON",2
06:29,"FOUL  by YOUNG,AUSTIN",,,,,,,"FOUL  by YOUNG,AUSTIN",2
06:29,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
06:29,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
06:29,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
06:29,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
06:29,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
06:19,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
06:17,"STEAL  by WILLIAMS,DANIEL",,,,,,,"STEAL  by WILLIAMS,DANIEL",2
06:16,"GOOD LAYUP by WILLIAMS,DANIEL(fastbreak)(in the paint)",56,,58 (+2),,TMC 56-58 (+2),,"GOOD LAYUP by WILLIAMS,DANIEL(fastbreak)(in the paint)",2
05:56,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by CLIFFORD,SIMON",,,,,,,"REBOUND DEF by CLIFFORD,SIMON",2
05:38,"MISS JUMPER by GRIFFIN,MICHAEL",,,,,,,"MISS JUMPER by GRIFFIN,MICHAEL",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
05:20,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
05:16,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by CLIFFORD,SIMON",,,,,,,"REBOUND DEF by CLIFFORD,SIMON",2
04:53,"TURNOVER  by HOWARD,COREY",,,,,,,"TURNOVER  by HOWARD,COREY",2
04:53,"SUB IN by HORNE,BRANDON",,,,,,,"SUB IN by HORNE,BRANDON",2
04:53,"SUB OUT by YOUNG,AUSTIN",,,,,,,"SUB OUT by YOUNG,AUSTIN",2
04:53,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
04:53,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",2
04:53,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
04:53,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
04:39,"FOUL  by HOWARD,COREY",,,,,,,"FOUL  by HOWARD,COREY",2
04:39,,56,,59 (+3),"GOOD FT by GUMP,MATT",CENTRE 56-59 (+3),,"GOOD FT by GUMP,MATT",2
04:39,,56,,60 (+4),"GOOD FT by GUMP,MATT",CENTRE 56-60 (+4),,"GOOD FT by GUMP,MATT",2
04:14,"MISS JUMPER by CLIFFORD,SIMON",,,,,,,"MISS JUMPER by CLIFFORD,SIMON",2
04:14,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
04:00,,,,,"TURNOVER  by REPISHTI,BRYAN",,,"TURNOVER  by REPISHTI,BRYAN",2
04:00,,,,,"FOUL  by REPISHTI,BRYAN",,,"FOUL  by REPISHTI,BRYAN",2
04:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:49,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
03:48,"MISS JUMPER by CLIFFORD,SIMON",,,,,,,"MISS JUMPER by CLIFFORD,SIMON",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
03:35,,56,,62 (+6),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 56-62 (+6),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
03:08,"MISS 3PTR by HOWARD,COREY",,,,,,,"MISS 3PTR by HOWARD,COREY",2
--,"REBOUND OFF by GRIFFIN,MICHAEL",,,,,,,"REBOUND OFF by GRIFFIN,MICHAEL",2
03:04,"GOOD LAYUP by GRIFFIN,MICHAEL(in the paint)",58,,62 (+4),,TMC 58-62 (+4),,"GOOD LAYUP by GRIFFIN,MICHAEL(in the paint)",2
02:45,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
02:45,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
02:45,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
02:16,"MISS 3PTR by WILLIAMS,DANIEL",,,,,,,"MISS 3PTR by WILLIAMS,DANIEL",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:03,"SUB IN by KING,DAMION",,,,,,,"SUB IN by KING,DAMION",2
02:03,"SUB OUT by HOWARD,COREY",,,,,,,"SUB OUT by HOWARD,COREY",2
01:45,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",2
--,"REBOUND DEF by WILLIAMS,DANIEL",,,,,,,"REBOUND DEF by WILLIAMS,DANIEL",2
01:23,"MISS 3PTR by KING,DAMION",,,,,,,"MISS 3PTR by KING,DAMION",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
01:06,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:06,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
01:06,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
00:53,,,,,"MISS JUMPER by REPISHTI,BRYAN",,,"MISS JUMPER by REPISHTI,BRYAN",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
00:47,"FOUL  by GRIFFIN,MICHAEL",,,,,,,"FOUL  by GRIFFIN,MICHAEL",2
00:47,,58,,63 (+5),"GOOD FT by GUMP,MATT",CENTRE 58-63 (+5),,"GOOD FT by GUMP,MATT",2
00:47,,58,,64 (+6),"GOOD FT by GUMP,MATT",CENTRE 58-64 (+6),,"GOOD FT by GUMP,MATT",2
00:47,"SUB IN by YOUNG,AUSTIN",,,,,,,"SUB IN by YOUNG,AUSTIN",2
00:47,"SUB IN by HOWARD,COREY",,,,,,,"SUB IN by HOWARD,COREY",2
00:47,"SUB OUT by HORNE,BRANDON",,,,,,,"SUB OUT by HORNE,BRANDON",2
00:47,"SUB OUT by KING,DAMION",,,,,,,"SUB OUT by KING,DAMION",2
00:47,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
00:47,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
00:34,"GOOD 3PTR by HOWARD,COREY",61,,64 (+3),,TMC 61-64 (+3),,"GOOD 3PTR by HOWARD,COREY",2
00:32,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
00:32,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
00:32,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
00:23,"FOUL  by GRIFFIN,MICHAEL",,,,,,,"FOUL  by GRIFFIN,MICHAEL",2
00:23,,61,,65 (+4),"GOOD FT by EBERT,CARSON",CENTRE 61-65 (+4),,"GOOD FT by EBERT,CARSON",2
00:23,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:23,,61,,66 (+5),"GOOD FT by EBERT,CARSON",CENTRE 61-66 (+5),,"GOOD FT by EBERT,CARSON",2
00:23,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
00:23,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
00:16,"MISS LAYUP by HOWARD,COREY",,,,,,,"MISS LAYUP by HOWARD,COREY",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
00:12,"FOUL  by HOWARD,COREY",,,,,,,"FOUL  by HOWARD,COREY",2
00:12,,61,,67 (+6),"GOOD FT by GRIFFIN,JAROD",CENTRE 61-67 (+6),,"GOOD FT by GRIFFIN,JAROD",2
00:12,,61,,68 (+7),"GOOD FT by GRIFFIN,JAROD",CENTRE 61-68 (+7),,"GOOD FT by GRIFFIN,JAROD",2
00:12,"SUB IN by CALLAHAN,RYNE",,,,,,,"SUB IN by CALLAHAN,RYNE",2
00:12,"SUB OUT by CLIFFORD,SIMON",,,,,,,"SUB OUT by CLIFFORD,SIMON",2
00:07,"MISS 3PTR by HOWARD,COREY",,,,,,,"MISS 3PTR by HOWARD,COREY",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
