Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,WASHUM,Game Score,Team Indicator,Play,Period
15:47,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
15:47,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
15:47,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
15:47,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
15:37,,,,,"TURNOVER  by SANDERS,ANDREW",,,"TURNOVER  by SANDERS,ANDREW",1
15:35,"STEAL  by EBERT,CARSON",,,,,,,"STEAL  by EBERT,CARSON",1
15:31,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",11 (+5),,6,,CENTRE 11-6 (+5),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
15:02,,11 (+2),,9,"GOOD 3PTR by HOOKS,CLINTON",WASHUM 11-9 (+2),,"GOOD 3PTR by HOOKS,CLINTON",1
--,,,,,"ASSIST  by KUCERA,KEVIN",,,"ASSIST  by KUCERA,KEVIN",1
14:38,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",13 (+4),,9,,CENTRE 13-9 (+4),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by GRUBER,SAM",,,,,,,"ASSIST  by GRUBER,SAM",1
14:23,,,,,"MISS LAYUP by HIGHSMITH,MATT",,,"MISS LAYUP by HIGHSMITH,MATT",1
--,,,,,"REBOUND OFF by HIGHSMITH,MATT",,,"REBOUND OFF by HIGHSMITH,MATT",1
14:20,,13 (+2),,11,"GOOD LAYUP by HIGHSMITH,MATT(in the paint)",WASHUM 13-11 (+2),,"GOOD LAYUP by HIGHSMITH,MATT(in the paint)",1
14:02,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
14:02,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
14:02,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
14:02,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
14:02,,,,,"SUB IN by SCHMELTER,DAVID",,,"SUB IN by SCHMELTER,DAVID",1
14:02,,,,,"SUB OUT by HIGHSMITH,MATT",,,"SUB OUT by HIGHSMITH,MATT",1
13:51,"FOUL  by EBERT,CARSON",,,,,,,"FOUL  by EBERT,CARSON",1
13:35,,13,,14 (+1),"GOOD 3PTR by SILVERMAN-LLOYD,L",WASHUM 13-14 (-1),,"GOOD 3PTR by SILVERMAN-LLOYD,L",1
--,,,,,"ASSIST  by KUCERA,KEVIN",,,"ASSIST  by KUCERA,KEVIN",1
13:20,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND DEF by KUCERA,KEVIN",,,"REBOUND DEF by KUCERA,KEVIN",1
13:12,"FOUL  by GRUBER,SAM",,,,,,,"FOUL  by GRUBER,SAM",1
13:04,,13,,16 (+3),"GOOD LAYUP by KUCERA,KEVIN(in the paint)",WASHUM 13-16 (-3),,"GOOD LAYUP by KUCERA,KEVIN(in the paint)",1
12:42,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by SCHMELTER,DAVID",,,"REBOUND DEF by SCHMELTER,DAVID",1
12:21,,,,,"MISS 3PTR by SILVERMAN-LLOYD,L",,,"MISS 3PTR by SILVERMAN-LLOYD,L",1
--,,,,,"REBOUND OFF by KUCERA,KEVIN",,,"REBOUND OFF by KUCERA,KEVIN",1
12:16,,13,,18 (+5),"GOOD LAYUP by KUCERA,KEVIN(in the paint)",WASHUM 13-18 (-5),,"GOOD LAYUP by KUCERA,KEVIN(in the paint)",1
11:52,,,,,"FOUL  by SCHMELTER,DAVID",,,"FOUL  by SCHMELTER,DAVID",1
11:52,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
11:52,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
11:52,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
11:52,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
11:52,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
11:52,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
11:52,,,,,"SUB IN by KNUPP,JAKE",,,"SUB IN by KNUPP,JAKE",1
11:52,,,,,"SUB OUT by KUCERA,KEVIN",,,"SUB OUT by KUCERA,KEVIN",1
11:48,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by SANDERS,ANDREW",,,"REBOUND DEF by SANDERS,ANDREW",1
11:42,,,,,"MISS JUMPER by KNUPP,JAKE",,,"MISS JUMPER by KNUPP,JAKE",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
11:31,"TURNOVER  by EBERT,CARSON",,,,,,,"TURNOVER  by EBERT,CARSON",1
11:31,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
11:31,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
10:52,,,,,"MISS LAYUP by HOOKS,CLINTON",,,"MISS LAYUP by HOOKS,CLINTON",1
--,,,,,"REBOUND OFF by SANDERS,ANDREW",,,"REBOUND OFF by SANDERS,ANDREW",1
10:49,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
10:49,,13,,19 (+6),"GOOD FT by SANDERS,ANDREW",WASHUM 13-19 (-6),,"GOOD FT by SANDERS,ANDREW",1
10:49,,13,,20 (+7),"GOOD FT by SANDERS,ANDREW",WASHUM 13-20 (-7),,"GOOD FT by SANDERS,ANDREW",1
10:19,"MISS LAYUP by REPISHTI,BRYAN",,,,,,,"MISS LAYUP by REPISHTI,BRYAN",1
--,"REBOUND OFF by SCHMUCKER,ZACH",,,,,,,"REBOUND OFF by SCHMUCKER,ZACH",1
10:13,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",15,,20 (+5),,CENTRE 15-20 (-5),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
10:04,,15,,22 (+7),"GOOD LAYUP by SANDERS,ANDREW(in the paint)",WASHUM 15-22 (-7),,"GOOD LAYUP by SANDERS,ANDREW(in the paint)",1
--,,,,,"ASSIST  by KNUPP,JAKE",,,"ASSIST  by KNUPP,JAKE",1
09:47,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",1
09:47,,,,,"BLOCK  by SANDERS,ANDREW",,,"BLOCK  by SANDERS,ANDREW",1
--,,,,,"REBOUND DEF by SCHMELTER,DAVID",,,"REBOUND DEF by SCHMELTER,DAVID",1
09:34,,15,,25 (+10),"GOOD 3PTR by SILVERMAN-LLOYD,L",WASHUM 15-25 (-10),,"GOOD 3PTR by SILVERMAN-LLOYD,L",1
09:31,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
09:31,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
09:31,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
09:31,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
09:31,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
09:31,,,,,"SUB IN by HIGHSMITH,MATT",,,"SUB IN by HIGHSMITH,MATT",1
09:31,,,,,"SUB IN by KUCERA,KEVIN",,,"SUB IN by KUCERA,KEVIN",1
09:31,,,,,"SUB OUT by SANDERS,ANDREW",,,"SUB OUT by SANDERS,ANDREW",1
09:31,,,,,"SUB OUT by SILVERMAN-LLOYD,L",,,"SUB OUT by SILVERMAN-LLOYD,L",1
09:20,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
08:49,,15,,27 (+12),"GOOD JUMPER by HOOKS,CLINTON",WASHUM 15-27 (-12),,"GOOD JUMPER by HOOKS,CLINTON",1
08:25,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by KUCERA,KEVIN",,,"REBOUND DEF by KUCERA,KEVIN",1
08:17,,15,,29 (+14),"GOOD LAYUP by KUCERA,KEVIN(in the paint)",WASHUM 15-29 (-14),,"GOOD LAYUP by KUCERA,KEVIN(in the paint)",1
08:17,"FOUL  by REPISHTI,BRYAN",,,,,,,"FOUL  by REPISHTI,BRYAN",1
08:17,,15,,30 (+15),"GOOD FT by KUCERA,KEVIN",WASHUM 15-30 (-15),,"GOOD FT by KUCERA,KEVIN",1
08:17,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
08:17,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
08:16,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by KNUPP,JAKE",,,"REBOUND DEF by KNUPP,JAKE",1
08:01,,15,,32 (+17),"GOOD DUNK by SCHMELTER,DAVID(in the paint)",WASHUM 15-32 (-17),,"GOOD DUNK by SCHMELTER,DAVID(in the paint)",1
--,,,,,"ASSIST  by KUCERA,KEVIN",,,"ASSIST  by KUCERA,KEVIN",1
08:01,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:43,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
07:43,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
07:37,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",17,,32 (+15),,CENTRE 17-32 (-15),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
07:20,,,,,"MISS 3PTR by HOOKS,CLINTON",,,"MISS 3PTR by HOOKS,CLINTON",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
06:57,,,,,"FOUL  by SCHMELTER,DAVID",,,"FOUL  by SCHMELTER,DAVID",1
06:57,"GOOD FT by SCINTA,BLAKE",18,,32 (+14),,CENTRE 18-32 (-14),,"GOOD FT by SCINTA,BLAKE",1
06:57,"GOOD FT by SCINTA,BLAKE",19,,32 (+13),,CENTRE 19-32 (-13),,"GOOD FT by SCINTA,BLAKE",1
06:57,,,,,"MISS 3PTR by KUCERA,KEVIN",,,"MISS 3PTR by KUCERA,KEVIN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
06:57,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by SANDERS,ANDREW",,,"REBOUND DEF by SANDERS,ANDREW",1
06:57,,,,,"SUB IN by SANDERS,ANDREW",,,"SUB IN by SANDERS,ANDREW",1
06:57,,,,,"SUB IN by SILVERMAN-LLOYD,L",,,"SUB IN by SILVERMAN-LLOYD,L",1
06:57,,,,,"SUB OUT by HOOKS,CLINTON",,,"SUB OUT by HOOKS,CLINTON",1
06:57,,,,,"SUB OUT by SCHMELTER,DAVID",,,"SUB OUT by SCHMELTER,DAVID",1
06:33,,,,,"MISS 3PTR by SANDERS,ANDREW",,,"MISS 3PTR by SANDERS,ANDREW",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
06:10,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
05:36,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
05:36,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
05:18,,19,,34 (+15),"GOOD LAYUP by SANDERS,ANDREW(in the paint)",WASHUM 19-34 (-15),,"GOOD LAYUP by SANDERS,ANDREW(in the paint)",1
05:01,"GOOD 3PTR by GUMP,MATT",22,,34 (+12),,CENTRE 22-34 (-12),,"GOOD 3PTR by GUMP,MATT",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
04:44,,22,,36 (+14),"GOOD JUMPER by HIGHSMITH,MATT",WASHUM 22-36 (-14),,"GOOD JUMPER by HIGHSMITH,MATT",1
--,,,,,"ASSIST  by KNUPP,JAKE",,,"ASSIST  by KNUPP,JAKE",1
04:25,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by SANDERS,ANDREW",,,"REBOUND DEF by SANDERS,ANDREW",1
04:07,,,,,"MISS JUMPER by SILVERMAN-LLOYD,L",,,"MISS JUMPER by SILVERMAN-LLOYD,L",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
03:51,"GOOD 3PTR by GUMP,MATT",25,,36 (+11),,CENTRE 25-36 (-11),,"GOOD 3PTR by GUMP,MATT",1
03:35,,,,,"MISS 3PTR by SILVERMAN-LLOYD,L",,,"MISS 3PTR by SILVERMAN-LLOYD,L",1
--,,,,,"REBOUND OFF by SILVERMAN-LLOYD,L",,,"REBOUND OFF by SILVERMAN-LLOYD,L",1
03:28,,,,,"MISS LAYUP by SANDERS,ANDREW",,,"MISS LAYUP by SANDERS,ANDREW",1
03:28,"BLOCK  by EBERT,CARSON",,,,,,,"BLOCK  by EBERT,CARSON",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
03:12,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by SANDERS,ANDREW",,,"REBOUND DEF by SANDERS,ANDREW",1
02:55,,25,,38 (+13),"GOOD LAYUP by KUCERA,KEVIN(in the paint)",WASHUM 25-38 (-13),,"GOOD LAYUP by KUCERA,KEVIN(in the paint)",1
02:32,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
02:31,,,,,"STEAL  by KUCERA,KEVIN",,,"STEAL  by KUCERA,KEVIN",1
02:27,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",1
02:27,,,,,"MISS FT by KUCERA,KEVIN",,,"MISS FT by KUCERA,KEVIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:27,,25,,39 (+14),"GOOD FT by KUCERA,KEVIN",WASHUM 25-39 (-14),,"GOOD FT by KUCERA,KEVIN",1
02:27,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
02:27,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
02:27,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
02:27,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
02:27,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
02:27,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
02:27,,,,,"SUB IN by HOOKS,CLINTON",,,"SUB IN by HOOKS,CLINTON",1
02:27,,,,,"SUB OUT by KNUPP,JAKE",,,"SUB OUT by KNUPP,JAKE",1
02:11,,,,,"FOUL  by SILVERMAN-LLOYD,L",,,"FOUL  by SILVERMAN-LLOYD,L",1
02:11,"GOOD FT by GRUBER,SAM",26,,39 (+13),,CENTRE 26-39 (-13),,"GOOD FT by GRUBER,SAM",1
02:11,"GOOD FT by GRUBER,SAM",27,,39 (+12),,CENTRE 27-39 (-12),,"GOOD FT by GRUBER,SAM",1
02:11,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
02:11,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
01:58,,27,,41 (+14),"GOOD LAYUP by HIGHSMITH,MATT(in the paint)",WASHUM 27-41 (-14),,"GOOD LAYUP by HIGHSMITH,MATT(in the paint)",1
01:34,"GOOD JUMPER by SCHMUCKER,ZACH",29,,41 (+12),,CENTRE 29-41 (-12),,"GOOD JUMPER by SCHMUCKER,ZACH",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
01:09,,,,,"MISS JUMPER by SILVERMAN-LLOYD,L",,,"MISS JUMPER by SILVERMAN-LLOYD,L",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
01:02,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",1
01:02,,,,,"MISS FT by HIGHSMITH,MATT",,,"MISS FT by HIGHSMITH,MATT",1
--,,,,,"REBOUND OFF by HOOKS,CLINTON",,,"REBOUND OFF by HOOKS,CLINTON",1
01:02,,,,,"SUB IN by SOBOLEV,SASHA",,,"SUB IN by SOBOLEV,SASHA",1
01:02,,,,,"SUB OUT by SANDERS,ANDREW",,,"SUB OUT by SANDERS,ANDREW",1
00:59,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
00:59,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
00:38,,,,,"MISS 3PTR by HOOKS,CLINTON",,,"MISS 3PTR by HOOKS,CLINTON",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
00:10,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
00:08,,,,,"STEAL  by SOBOLEV,SASHA",,,"STEAL  by SOBOLEV,SASHA",1
00:04,,,,,"TURNOVER  by HOOKS,CLINTON",,,"TURNOVER  by HOOKS,CLINTON",1
00:04,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
00:04,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
00:04,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
00:04,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
00:04,,,,,"SUB IN by KNUPP,JAKE",,,"SUB IN by KNUPP,JAKE",1
00:04,,,,,"SUB OUT by HOOKS,CLINTON",,,"SUB OUT by HOOKS,CLINTON",1
00:03,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:49,,,,,"TURNOVER  by KUCERA,KEVIN",,,"TURNOVER  by KUCERA,KEVIN",2
19:37,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
19:04,,29,,43 (+14),"GOOD JUMPER by KUCERA,KEVIN",WASHUM 29-43 (-14),,"GOOD JUMPER by KUCERA,KEVIN",2
18:50,"MISS 3PTR by REPISHTI,BRYAN",,,,,,,"MISS 3PTR by REPISHTI,BRYAN",2
--,,,,,"REBOUND DEF by SANDERS,ANDREW",,,"REBOUND DEF by SANDERS,ANDREW",2
18:32,,,,,"TURNOVER  by HOOKS,CLINTON",,,"TURNOVER  by HOOKS,CLINTON",2
18:20,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",31,,43 (+12),,CENTRE 31-43 (-12),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
18:02,,31,,45 (+14),"GOOD LAYUP by SANDERS,ANDREW(in the paint)",WASHUM 31-45 (-14),,"GOOD LAYUP by SANDERS,ANDREW(in the paint)",2
--,,,,,"ASSIST  by HOOKS,CLINTON",,,"ASSIST  by HOOKS,CLINTON",2
17:44,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",33,,45 (+12),,CENTRE 33-45 (-12),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",2
17:17,,,,,"TURNOVER  by KUCERA,KEVIN",,,"TURNOVER  by KUCERA,KEVIN",2
17:14,"STEAL  by GUMP,MATT",,,,,,,"STEAL  by GUMP,MATT",2
17:12,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",35,,45 (+10),,CENTRE 35-45 (-10),,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",2
17:08,,,,,"FOUL  by HOOKS,CLINTON",,,"FOUL  by HOOKS,CLINTON",2
17:07,"GOOD FT by GUMP,MATT",36,,45 (+9),,CENTRE 36-45 (-9),,"GOOD FT by GUMP,MATT",2
17:07,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
17:07,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",2
16:57,,,,,"TURNOVER  by SANDERS,ANDREW",,,"TURNOVER  by SANDERS,ANDREW",2
16:56,"STEAL  by GUMP,MATT",,,,,,,"STEAL  by GUMP,MATT",2
16:53,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
16:29,,36,,47 (+11),"GOOD LAYUP by SANDERS,ANDREW(in the paint)",WASHUM 36-47 (-11),,"GOOD LAYUP by SANDERS,ANDREW(in the paint)",2
16:29,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
16:29,,,,,"MISS FT by SANDERS,ANDREW",,,"MISS FT by SANDERS,ANDREW",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
16:16,"GOOD 3PTR by GRUBER,SAM",39,,47 (+8),,CENTRE 39-47 (-8),,"GOOD 3PTR by GRUBER,SAM",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
15:52,,,,,"MISS LAYUP by SILVERMAN-LLOYD,L",,,"MISS LAYUP by SILVERMAN-LLOYD,L",2
--,,,,,"REBOUND OFF by HIGHSMITH,MATT",,,"REBOUND OFF by HIGHSMITH,MATT",2
15:47,,39,,49 (+10),"GOOD LAYUP by HIGHSMITH,MATT(in the paint)",WASHUM 39-49 (-10),,"GOOD LAYUP by HIGHSMITH,MATT(in the paint)",2
15:34,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
15:31,,,,,"FOUL  by SILVERMAN-LLOYD,L",,,"FOUL  by SILVERMAN-LLOYD,L",2
15:28,"GOOD 3PTR by GRUBER,SAM",42,,49 (+7),,CENTRE 42-49 (-7),,"GOOD 3PTR by GRUBER,SAM",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
15:23,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:10,,,,,"MISS LAYUP by KUCERA,KEVIN",,,"MISS LAYUP by KUCERA,KEVIN",2
