Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by ANDINO,GEORGE",,,"ASSIST  by ANDINO,GEORGE",1
10:34,"GOOD 3PTR by EBERT,CARSON",19 (+5),,14,,CCM 19-14 (+5),,"GOOD 3PTR by EBERT,CARSON",1
10:15,,,,,"MISS 3PTR by WARDLAW,CHASE",,,"MISS 3PTR by WARDLAW,CHASE",1
--,,,,,"REBOUND OFF by ANDINO,GEORGE",,,"REBOUND OFF by ANDINO,GEORGE",1
10:01,,19 (+3),,16,"GOOD LAYUP by SMITH,CONNOR(in the paint)",OUM 19-16 (+3),,"GOOD LAYUP by SMITH,CONNOR(in the paint)",1
--,,,,,"ASSIST  by ANDINO,GEORGE",,,"ASSIST  by ANDINO,GEORGE",1
09:54,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",1
09:33,,,,,"MISS 3PTR by WARDLAW,CHASE",,,"MISS 3PTR by WARDLAW,CHASE",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
09:04,"GOOD 3PTR by GRUBER,SAM",22 (+6),,16,,CCM 22-16 (+6),,"GOOD 3PTR by GRUBER,SAM",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
08:44,,,,,"MISS LAYUP by BRITVAR,STEFAN",,,"MISS LAYUP by BRITVAR,STEFAN",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
08:36,"GOOD 3PTR by EBERT,CARSON(fastbreak)",25 (+9),,16,,CCM 25-16 (+9),,"GOOD 3PTR by EBERT,CARSON(fastbreak)",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
08:33,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:33,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
08:33,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
08:33,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
08:33,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
08:33,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
08:33,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
08:33,,,,,"SUB IN by LAWRENCE,CHRIS",,,"SUB IN by LAWRENCE,CHRIS",1
08:33,,,,,"SUB OUT by WARDLAW,CHASE",,,"SUB OUT by WARDLAW,CHASE",1
08:19,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",1
--,"REBOUND DEF by EBERT,CARSON",,,,,,,"REBOUND DEF by EBERT,CARSON",1
07:57,"GOOD 3PTR by EBERT,CARSON",28 (+12),,16,,CCM 28-16 (+12),,"GOOD 3PTR by EBERT,CARSON",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
07:44,,,,,"MISS 3PTR by LAWRENCE,CHRIS",,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
07:21,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",1
07:09,,28 (+10),,18,"GOOD JUMPER by ANDINO,GEORGE",OUM 28-18 (+10),,"GOOD JUMPER by ANDINO,GEORGE",1
06:43,"GOOD LAYUP by WESLEY,TYLER(in the paint)",30 (+12),,18,,CCM 30-18 (+12),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
06:30,,,,,"MISS 3PTR by ANDINO,GEORGE",,,"MISS 3PTR by ANDINO,GEORGE",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
06:20,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
06:20,,,,,"BLOCK  by BRITVAR,STEFAN",,,"BLOCK  by BRITVAR,STEFAN",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
06:15,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
06:14,,,,,"FOUL  by ANDINO,GEORGE",,,"FOUL  by ANDINO,GEORGE",1
06:14,"GOOD FT by WESLEY,TYLER",31 (+13),,18,,CCM 31-18 (+13),,"GOOD FT by WESLEY,TYLER",1
06:14,"GOOD FT by WESLEY,TYLER",32 (+14),,18,,CCM 32-18 (+14),,"GOOD FT by WESLEY,TYLER",1
06:14,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
06:14,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
06:14,,,,,"SUB IN by MCGRATH,JOSH",,,"SUB IN by MCGRATH,JOSH",1
06:14,,,,,"SUB IN by WARDLAW,CHASE",,,"SUB IN by WARDLAW,CHASE",1
06:14,,,,,"SUB OUT by BRITVAR,STEFAN",,,"SUB OUT by BRITVAR,STEFAN",1
06:14,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",1
05:55,,32 (+12),,20,"GOOD JUMPER by PERRY,WILL(in the paint)",OUM 32-20 (+12),,"GOOD JUMPER by PERRY,WILL(in the paint)",1
05:30,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",1
05:11,"FOUL  by EBERT,CARSON",,,,,,,"FOUL  by EBERT,CARSON",1
05:11,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
05:11,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
04:55,,,,,"MISS JUMPER by PERRY,WILL",,,"MISS JUMPER by PERRY,WILL",1
--,,,,,"REBOUND OFF by WARDLAW,CHASE",,,"REBOUND OFF by WARDLAW,CHASE",1
04:49,,32 (+10),,22,"GOOD LAYUP by WARDLAW,CHASE(in the paint)",OUM 32-22 (+10),,"GOOD LAYUP by WARDLAW,CHASE(in the paint)",1
04:25,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",1
03:59,,,,,"MISS LAYUP by LAWRENCE,CHRIS",,,"MISS LAYUP by LAWRENCE,CHRIS",1
03:59,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,"REBOUND OFF by LAWRENCE,CHRIS",,,"REBOUND OFF by LAWRENCE,CHRIS",1
03:55,,32 (+7),,25,"GOOD 3PTR by LAWRENCE,CHRIS",OUM 32-25 (+7),,"GOOD 3PTR by LAWRENCE,CHRIS",1
03:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:25,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by MCGRATH,JOSH",,,"REBOUND DEF by MCGRATH,JOSH",1
03:06,,,,,"MISS 3PTR by ANDINO,GEORGE",,,"MISS 3PTR by ANDINO,GEORGE",1
--,,,,,"REBOUND OFF by SMITH,CONNOR",,,"REBOUND OFF by SMITH,CONNOR",1
03:01,,,,,"MISS LAYUP by SMITH,CONNOR",,,"MISS LAYUP by SMITH,CONNOR",1
--,,,,,"REBOUND OFF by WARDLAW,CHASE",,,"REBOUND OFF by WARDLAW,CHASE",1
02:59,,,,,"MISS LAYUP by WARDLAW,CHASE",,,"MISS LAYUP by WARDLAW,CHASE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:57,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
02:57,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
02:57,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
02:57,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
02:57,,,,,"SUB IN by ANDINO,GEORGE",,,"SUB IN by ANDINO,GEORGE",1
02:57,,,,,"SUB OUT by LAWRENCE,CHRIS",,,"SUB OUT by LAWRENCE,CHRIS",1
02:36,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
02:36,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
02:36,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
02:36,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
02:20,,,,,"MISS 3PTR by WARDLAW,CHASE",,,"MISS 3PTR by WARDLAW,CHASE",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
02:04,,,,,"SUB IN by INUNGU,TOM",,,"SUB IN by INUNGU,TOM",1
02:04,,,,,"SUB IN by LAWRENCE,CHRIS",,,"SUB IN by LAWRENCE,CHRIS",1
02:04,,,,,"SUB OUT by MCGRATH,JOSH",,,"SUB OUT by MCGRATH,JOSH",1
02:04,,,,,"SUB OUT by WARDLAW,CHASE",,,"SUB OUT by WARDLAW,CHASE",1
01:57,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND DEF by LAWRENCE,CHRIS",,,"REBOUND DEF by LAWRENCE,CHRIS",1
01:38,,,,,"MISS 3PTR by LAWRENCE,CHRIS",,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
01:21,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",34 (+9),,25,,CCM 34-25 (+9),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
01:09,,,,,"MISS JUMPER by ANDINO,GEORGE",,,"MISS JUMPER by ANDINO,GEORGE",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
00:50,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",1
00:30,,34 (+7),,27,"GOOD LAYUP by SMITH,CONNOR(in the paint)",OUM 34-27 (+7),,"GOOD LAYUP by SMITH,CONNOR(in the paint)",1
00:08,"GOOD JUMPER by SCINTA,BLAKE",36 (+9),,27,,CCM 36-27 (+9),,"GOOD JUMPER by SCINTA,BLAKE",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
00:01,,36 (+6),,30,"GOOD 3PTR by LAWRENCE,CHRIS(fastbreak)",OUM 36-30 (+6),,"GOOD 3PTR by LAWRENCE,CHRIS(fastbreak)",1
--,,,,,"ASSIST  by SMITH,CONNOR",,,"ASSIST  by SMITH,CONNOR",1
19:42,,,,,"FOUL  by INUNGU,TOM",,,"FOUL  by INUNGU,TOM",2
19:42,,,,,"TURNOVER  by INUNGU,TOM",,,"TURNOVER  by INUNGU,TOM",2
19:21,"GOOD 3PTR by GRIFFIN,JAROD",39 (+9),,30,,CCM 39-30 (+9),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",2
19:03,,,,,"MISS LAYUP by ANDINO,GEORGE",,,"MISS LAYUP by ANDINO,GEORGE",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
18:57,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",2
18:24,"GOOD DUNK by WESLEY,TYLER(in the paint)",41 (+11),,30,,CCM 41-30 (+11),,"GOOD DUNK by WESLEY,TYLER(in the paint)",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
18:06,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
17:59,,,,,"MISS 3PTR by LAWRENCE,CHRIS",,,"MISS 3PTR by LAWRENCE,CHRIS",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
17:47,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
17:46,,,,,"STEAL  by ANDINO,GEORGE",,,"STEAL  by ANDINO,GEORGE",2
17:43,,41 (+9),,32,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",OUM 41-32 (+9),,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by ANDINO,GEORGE",,,"ASSIST  by ANDINO,GEORGE",2
17:16,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
17:15,,,,,"STEAL  by SMITH,CONNOR",,,"STEAL  by SMITH,CONNOR",2
17:03,,,,,"MISS JUMPER by ANDINO,GEORGE",,,"MISS JUMPER by ANDINO,GEORGE",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
16:40,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
16:23,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
16:01,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
15:59,,,,,"STEAL  by INUNGU,TOM",,,"STEAL  by INUNGU,TOM",2
15:39,,,,,"MISS LAYUP by SMITH,CONNOR",,,"MISS LAYUP by SMITH,CONNOR",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
15:38,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
15:38,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",2
15:38,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
15:38,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
15:38,,,,,"SUB IN by WARDLAW,CHASE",,,"SUB IN by WARDLAW,CHASE",2
15:38,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",2
15:38,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",2
15:38,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",2
15:22,,,,,"FOUL  by SIGRIST,CONNOR",,,"FOUL  by SIGRIST,CONNOR",2
15:22,"MISS FT by GRIFFIN,JAROD",,,,,,,"MISS FT by GRIFFIN,JAROD",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:22,"GOOD FT by GRIFFIN,JAROD",42 (+10),,32,,CCM 42-32 (+10),,"GOOD FT by GRIFFIN,JAROD",2
15:22,,,,,"SUB IN by BRITVAR,STEFAN",,,"SUB IN by BRITVAR,STEFAN",2
15:22,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",2
15:08,,42 (+7),,35,"GOOD 3PTR by PERRY,WILL",OUM 42-35 (+7),,"GOOD 3PTR by PERRY,WILL",2
--,,,,,"ASSIST  by WARDLAW,CHASE",,,"ASSIST  by WARDLAW,CHASE",2
14:43,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
