Time Remaining,BEREA,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
14:04,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
14:04,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
13:55,"GOOD 3PTR by BUTTS,STEPHEN",9,,13 (+4),,BEREA 9-13 (+4),,"GOOD 3PTR by BUTTS,STEPHEN",1
--,"ASSIST  by HARRIS,ETHAN",,,,,,,"ASSIST  by HARRIS,ETHAN",1
13:41,,9,,15 (+6),"GOOD JUMPER by REPISHTI,BRYAN",CENTRE 9-15 (+6),,"GOOD JUMPER by REPISHTI,BRYAN",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
13:30,"TURNOVER  by HARRIS,ETHAN",,,,,,,"TURNOVER  by HARRIS,ETHAN",1
13:30,"FOUL  by HARRIS,ETHAN",,,,,,,"FOUL  by HARRIS,ETHAN",1
13:30,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by SPRATLING,CHRIS",,,,,,,"REBOUND DEF by SPRATLING,CHRIS",1
13:30,"MISS LAYUP by HARRIS,ETHAN",,,,,,,"MISS LAYUP by HARRIS,ETHAN",1
13:30,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
13:30,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",1
13:16,"FOUL  by HARRIS,ETHAN",,,,,,,"FOUL  by HARRIS,ETHAN",1
12:32,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
12:32,"SUB IN by GARMON,DOMINIQUE",,,,,,,"SUB IN by GARMON,DOMINIQUE",1
12:32,"SUB IN by MYRKS,ANTHONY",,,,,,,"SUB IN by MYRKS,ANTHONY",1
12:32,"SUB OUT by HARRIS,ETHAN",,,,,,,"SUB OUT by HARRIS,ETHAN",1
12:32,"SUB OUT by PARKER,RICHARD",,,,,,,"SUB OUT by PARKER,RICHARD",1
12:32,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",1
12:32,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
12:14,,9,,17 (+8),"GOOD JUMPER by REPISHTI,BRYAN(in the paint)",CENTRE 9-17 (+8),,"GOOD JUMPER by REPISHTI,BRYAN(in the paint)",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
11:52,"GOOD LAYUP by JACKSON,JAIR(in the paint)",11,,17 (+6),,BEREA 11-17 (+6),,"GOOD LAYUP by JACKSON,JAIR(in the paint)",1
--,"ASSIST  by MYRKS,ANTHONY",,,,,,,"ASSIST  by MYRKS,ANTHONY",1
11:26,,,,,"TURNOVER  by REPISHTI,BRYAN",,,"TURNOVER  by REPISHTI,BRYAN",1
11:25,"STEAL  by MYRKS,ANTHONY",,,,,,,"STEAL  by MYRKS,ANTHONY",1
11:22,"GOOD LAYUP by MYRKS,ANTHONY(fastbreak)(in the paint)",13,,17 (+4),,BEREA 13-17 (+4),,"GOOD LAYUP by MYRKS,ANTHONY(fastbreak)(in the paint)",1
10:50,,13,,20 (+7),"GOOD 3PTR by ARNETT,MICHAEL",CENTRE 13-20 (+7),,"GOOD 3PTR by ARNETT,MICHAEL",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
10:21,"GOOD JUMPER by BUTTS,STEPHEN",15,,20 (+5),,BEREA 15-20 (+5),,"GOOD JUMPER by BUTTS,STEPHEN",1
10:02,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by JACKSON,JAIR",,,,,,,"REBOUND DEF by JACKSON,JAIR",1
09:55,"MISS LAYUP by MYRKS,ANTHONY",,,,,,,"MISS LAYUP by MYRKS,ANTHONY",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
09:33,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",1
--,"REBOUND DEF by MYRKS,ANTHONY",,,,,,,"REBOUND DEF by MYRKS,ANTHONY",1
09:25,"GOOD LAYUP by GARMON,DOMINIQUE(in the paint)",17,,20 (+3),,BEREA 17-20 (+3),,"GOOD LAYUP by GARMON,DOMINIQUE(in the paint)",1
--,"ASSIST  by MYRKS,ANTHONY",,,,,,,"ASSIST  by MYRKS,ANTHONY",1
09:24,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
08:59,,17,,22 (+5),"GOOD JUMPER by ARNETT,MICHAEL(in the paint)",CENTRE 17-22 (+5),,"GOOD JUMPER by ARNETT,MICHAEL(in the paint)",1
--,,,,,"ASSIST  by KIDWELL,BRENT",,,"ASSIST  by KIDWELL,BRENT",1
08:45,"TURNOVER  by BROWN,BIZZLE",,,,,,,"TURNOVER  by BROWN,BIZZLE",1
08:45,"FOUL  by BROWN,BIZZLE",,,,,,,"FOUL  by BROWN,BIZZLE",1
08:45,"SUB IN by PARKER,RICHARD",,,,,,,"SUB IN by PARKER,RICHARD",1
08:45,"SUB IN by BROWN,BIZZLE",,,,,,,"SUB IN by BROWN,BIZZLE",1
08:45,"SUB IN by HINTON,GABE",,,,,,,"SUB IN by HINTON,GABE",1
08:45,"SUB OUT by SPRATLING,CHRIS",,,,,,,"SUB OUT by SPRATLING,CHRIS",1
08:45,"SUB OUT by JACKSON,JAIR",,,,,,,"SUB OUT by JACKSON,JAIR",1
08:45,"SUB OUT by BUTTS,STEPHEN",,,,,,,"SUB OUT by BUTTS,STEPHEN",1
08:45,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
08:45,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
08:45,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
08:45,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
08:45,,,,,"SUB IN by KIDWELL,BRENT",,,"SUB IN by KIDWELL,BRENT",1
08:45,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",1
08:45,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
08:45,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
08:45,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
08:45,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
08:37,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
08:32,"STEAL  by MYRKS,ANTHONY",,,,,,,"STEAL  by MYRKS,ANTHONY",1
08:29,"MISS JUMPER by GARMON,DOMINIQUE",,,,,,,"MISS JUMPER by GARMON,DOMINIQUE",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
08:07,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
08:07,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
08:07,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
08:07,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
07:45,"MISS 3PTR by BROWN,BIZZLE",,,,,,,"MISS 3PTR by BROWN,BIZZLE",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
07:32,,17,,24 (+7),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 17-24 (+7),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
07:15,"TURNOVER  by HINTON,GABE",,,,,,,"TURNOVER  by HINTON,GABE",1
07:14,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",1
07:08,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",1
07:08,"SUB IN by BUTTS,STEPHEN",,,,,,,"SUB IN by BUTTS,STEPHEN",1
07:08,"SUB IN by JACKSON,JAIR",,,,,,,"SUB IN by JACKSON,JAIR",1
07:08,"SUB OUT by BROWN,BIZZLE",,,,,,,"SUB OUT by BROWN,BIZZLE",1
07:08,"SUB OUT by MYRKS,ANTHONY",,,,,,,"SUB OUT by MYRKS,ANTHONY",1
07:08,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
07:08,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",1
06:55,"GOOD LAYUP by JACKSON,JAIR(in the paint)",19,,24 (+5),,BEREA 19-24 (+5),,"GOOD LAYUP by JACKSON,JAIR(in the paint)",1
--,"ASSIST  by BUTTS,STEPHEN",,,,,,,"ASSIST  by BUTTS,STEPHEN",1
06:40,,19,,27 (+8),"GOOD 3PTR by EBERT,CARSON",CENTRE 19-27 (+8),,"GOOD 3PTR by EBERT,CARSON",1
--,,,,,"ASSIST  by SCHMUCKER,ZACH",,,"ASSIST  by SCHMUCKER,ZACH",1
06:29,"GOOD JUMPER by JACKSON,JAIR",21,,27 (+6),,BEREA 21-27 (+6),,"GOOD JUMPER by JACKSON,JAIR",1
--,"ASSIST  by GARMON,DOMINIQUE",,,,,,,"ASSIST  by GARMON,DOMINIQUE",1
06:26,,,,,"TURNOVER  by EBERT,CARSON",,,"TURNOVER  by EBERT,CARSON",1
06:26,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",1
06:26,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
06:25,"TURNOVER  by JACKSON,JAIR",,,,,,,"TURNOVER  by JACKSON,JAIR",1
06:25,"FOUL  by JACKSON,JAIR",,,,,,,"FOUL  by JACKSON,JAIR",1
06:15,"FOUL  by HINTON,GABE",,,,,,,"FOUL  by HINTON,GABE",1
06:11,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by JACKSON,JAIR",,,,,,,"REBOUND DEF by JACKSON,JAIR",1
05:58,"MISS LAYUP by PARKER,RICHARD",,,,,,,"MISS LAYUP by PARKER,RICHARD",1
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",1
05:49,,21,,30 (+9),"GOOD 3PTR by EBERT,CARSON",CENTRE 21-30 (+9),,"GOOD 3PTR by EBERT,CARSON",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
05:40,"TURNOVER  by HARRIS,ETHAN",,,,,,,"TURNOVER  by HARRIS,ETHAN",1
05:38,,,,,"STEAL  by EBERT,CARSON",,,"STEAL  by EBERT,CARSON",1
05:28,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND DEF by HINTON,GABE",,,,,,,"REBOUND DEF by HINTON,GABE",1
05:20,"GOOD LAYUP by BUTTS,STEPHEN(in the paint)",23,,30 (+7),,BEREA 23-30 (+7),,"GOOD LAYUP by BUTTS,STEPHEN(in the paint)",1
04:58,,23,,32 (+9),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 23-32 (+9),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
04:58,"FOUL  by HINTON,GABE",,,,,,,"FOUL  by HINTON,GABE",1
04:58,,23,,33 (+10),"GOOD FT by SCINTA,BLAKE",CENTRE 23-33 (+10),,"GOOD FT by SCINTA,BLAKE",1
04:58,"SUB IN by SPRATLING,CHRIS",,,,,,,"SUB IN by SPRATLING,CHRIS",1
04:58,"SUB OUT by HINTON,GABE",,,,,,,"SUB OUT by HINTON,GABE",1
04:58,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
04:58,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",1
04:58,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",1
04:58,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
04:58,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
04:58,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
04:41,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
04:41,"MISS FT by PARKER,RICHARD",,,,,,,"MISS FT by PARKER,RICHARD",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:41,"GOOD FT by PARKER,RICHARD",24,,33 (+9),,BEREA 24-33 (+9),,"GOOD FT by PARKER,RICHARD",1
04:41,"SUB IN by MYRKS,ANTHONY",,,,,,,"SUB IN by MYRKS,ANTHONY",1
04:41,"SUB OUT by BUTTS,STEPHEN",,,,,,,"SUB OUT by BUTTS,STEPHEN",1
04:23,"FOUL  by GARMON,DOMINIQUE",,,,,,,"FOUL  by GARMON,DOMINIQUE",1
04:23,,24,,34 (+10),"GOOD FT by SCINTA,BLAKE",CENTRE 24-34 (+10),,"GOOD FT by SCINTA,BLAKE",1
04:23,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",1
--,"REBOUND DEF by JACKSON,JAIR",,,,,,,"REBOUND DEF by JACKSON,JAIR",1
04:09,"MISS JUMPER by SPRATLING,CHRIS",,,,,,,"MISS JUMPER by SPRATLING,CHRIS",1
--,"REBOUND OFF by JACKSON,JAIR",,,,,,,"REBOUND OFF by JACKSON,JAIR",1
04:04,"TURNOVER  by JACKSON,JAIR",,,,,,,"TURNOVER  by JACKSON,JAIR",1
03:49,,24,,36 (+12),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 24-36 (+12),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
03:32,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
03:32,"GOOD FT by MYRKS,ANTHONY",25,,36 (+11),,BEREA 25-36 (+11),,"GOOD FT by MYRKS,ANTHONY",1
03:32,"MISS FT by MYRKS,ANTHONY",,,,,,,"MISS FT by MYRKS,ANTHONY",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
03:32,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
03:32,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
03:32,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
03:32,,,,,"SUB OUT by MAGUIRE,WILL",,,"SUB OUT by MAGUIRE,WILL",1
03:16,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",1
--,"REBOUND DEF by JACKSON,JAIR",,,,,,,"REBOUND DEF by JACKSON,JAIR",1
02:59,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",1
02:59,"GOOD FT by PARKER,RICHARD",26,,36 (+10),,BEREA 26-36 (+10),,"GOOD FT by PARKER,RICHARD",1
02:59,"GOOD FT by PARKER,RICHARD",27,,36 (+9),,BEREA 27-36 (+9),,"GOOD FT by PARKER,RICHARD",1
02:59,"GOOD FT by PARKER,RICHARD",28,,36 (+8),,BEREA 28-36 (+8),,"GOOD FT by PARKER,RICHARD",1
02:59,"SUB IN by BUTTS,STEPHEN",,,,,,,"SUB IN by BUTTS,STEPHEN",1
02:59,"SUB OUT by JACKSON,JAIR",,,,,,,"SUB OUT by JACKSON,JAIR",1
02:59,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
02:59,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
02:30,,28,,39 (+11),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE 28-39 (+11),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
02:21,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",1
02:21,"GOOD FT by BUTTS,STEPHEN",29,,39 (+10),,BEREA 29-39 (+10),,"GOOD FT by BUTTS,STEPHEN",1
02:21,"GOOD FT by BUTTS,STEPHEN",30,,39 (+9),,BEREA 30-39 (+9),,"GOOD FT by BUTTS,STEPHEN",1
02:21,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
02:21,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
02:09,,30,,41 (+11),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE 30-41 (+11),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
02:09,"FOUL  by GARMON,DOMINIQUE",,,,,,,"FOUL  by GARMON,DOMINIQUE",1
02:09,,30,,42 (+12),"GOOD FT by GUMP,MATT",CENTRE 30-42 (+12),,"GOOD FT by GUMP,MATT",1
02:09,"SUB IN by HINTON,GABE",,,,,,,"SUB IN by HINTON,GABE",1
02:09,"SUB OUT by SPRATLING,CHRIS",,,,,,,"SUB OUT by SPRATLING,CHRIS",1
02:09,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
02:09,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
01:53,"TURNOVER  by HARRIS,ETHAN",,,,,,,"TURNOVER  by HARRIS,ETHAN",1
01:51,"SUB IN by HARRIS,ETHAN",,,,,,,"SUB IN by HARRIS,ETHAN",1
01:51,"SUB OUT by GARMON,DOMINIQUE",,,,,,,"SUB OUT by GARMON,DOMINIQUE",1
01:27,,,,,"MISS JUMPER by BURNS,DREW",,,"MISS JUMPER by BURNS,DREW",1
--,"REBOUND DEF by HINTON,GABE",,,,,,,"REBOUND DEF by HINTON,GABE",1
01:18,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",1
01:18,"GOOD FT by PARKER,RICHARD",31,,42 (+11),,BEREA 31-42 (+11),,"GOOD FT by PARKER,RICHARD",1
01:18,"GOOD FT by PARKER,RICHARD",32,,42 (+10),,BEREA 32-42 (+10),,"GOOD FT by PARKER,RICHARD",1
01:18,"SUB IN by JACKSON,JAIR",,,,,,,"SUB IN by JACKSON,JAIR",1
01:18,"SUB IN by BROWN,BIZZLE",,,,,,,"SUB IN by BROWN,BIZZLE",1
01:18,"SUB OUT by HINTON,GABE",,,,,,,"SUB OUT by HINTON,GABE",1
01:18,"SUB OUT by HARRIS,ETHAN",,,,,,,"SUB OUT by HARRIS,ETHAN",1
01:18,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
01:18,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
01:04,,,,,"MISS JUMPER by ARNETT,MICHAEL",,,"MISS JUMPER by ARNETT,MICHAEL",1
--,"REBOUND DEF by MYRKS,ANTHONY",,,,,,,"REBOUND DEF by MYRKS,ANTHONY",1
00:59,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",1
00:59,"GOOD FT by MYRKS,ANTHONY",33,,42 (+9),,BEREA 33-42 (+9),,"GOOD FT by MYRKS,ANTHONY",1
00:59,"GOOD FT by MYRKS,ANTHONY",34,,42 (+8),,BEREA 34-42 (+8),,"GOOD FT by MYRKS,ANTHONY",1
00:59,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
00:59,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
00:59,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",1
00:59,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",1
00:41,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",1
00:40,"STEAL  by JACKSON,JAIR",,,,,,,"STEAL  by JACKSON,JAIR",1
00:37,"GOOD LAYUP by MYRKS,ANTHONY(fastbreak)(in the paint)",36,,42 (+6),,BEREA 36-42 (+6),,"GOOD LAYUP by MYRKS,ANTHONY(fastbreak)(in the paint)",1
