Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,FC,Game Score,Team Indicator,Play,Period
14:15,,,,,"SUB IN by PRATHER,ROBBIE",,,"SUB IN by PRATHER,ROBBIE",1
14:15,,,,,"SUB OUT by WASHINGTON,TRAE",,,"SUB OUT by WASHINGTON,TRAE",1
14:15,,,,,"SUB OUT by SARGENT,TERRY",,,"SUB OUT by SARGENT,TERRY",1
14:12,,,,,"MISS JUMPER by HOWARD,BAILEY",,,"MISS JUMPER by HOWARD,BAILEY",1
14:12,"BLOCK  by WHITESIDE,DONOVAN",,,,,,,"BLOCK  by WHITESIDE,DONOVAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:50,"GOOD 3PTR by WHITESIDE,DONOVAN",11,,17 (+6),,CENTRE_M 11-17 (+6),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
13:36,,,,,"MISS 3PTR by PRATHER,ROBBIE",,,"MISS 3PTR by PRATHER,ROBBIE",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
13:27,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by HOWARD,BAILEY",,,"REBOUND DEF by HOWARD,BAILEY",1
13:18,,,,,"MISS 3PTR by PORTER,TROY",,,"MISS 3PTR by PORTER,TROY",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
12:58,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",1
--,,,,,"REBOUND DEF by SMITH,DION",,,"REBOUND DEF by SMITH,DION",1
12:42,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
12:42,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
12:42,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
12:42,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
12:42,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",1
12:42,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
12:42,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
12:42,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
12:42,,,,,"SUB IN by SELBURG,TREVOR",,,"SUB IN by SELBURG,TREVOR",1
12:42,,,,,"SUB IN by SARGENT,TERRY",,,"SUB IN by SARGENT,TERRY",1
12:42,,,,,"SUB OUT by HOWARD,BAILEY",,,"SUB OUT by HOWARD,BAILEY",1
12:42,,,,,"SUB OUT by PORTER,TROY",,,"SUB OUT by PORTER,TROY",1
12:26,,11,,19 (+8),"GOOD LAYUP by SMITH,DION(in the paint)",FC 11-19 (+8),,"GOOD LAYUP by SMITH,DION(in the paint)",1
--,,,,,"ASSIST  by PRATHER,ROBBIE",,,"ASSIST  by PRATHER,ROBBIE",1
12:15,"GOOD 3PTR by KARSNER,JOSH",14,,19 (+5),,CENTRE_M 14-19 (+5),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",1
12:00,,,,,"MISS 3PTR by SARGENT,TERRY",,,"MISS 3PTR by SARGENT,TERRY",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
11:31,,,,,"FOUL  by BARTON,JT",,,"FOUL  by BARTON,JT",1
11:18,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
11:15,,,,,"STEAL  by SMITH,DION",,,"STEAL  by SMITH,DION",1
10:51,"FOUL  by STEGGEMAN,ANDREW",,,,,,,"FOUL  by STEGGEMAN,ANDREW",1
10:51,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
10:51,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
10:34,"FOUL  by STEGGEMAN,ANDREW",,,,,,,"FOUL  by STEGGEMAN,ANDREW",1
10:20,,14,,21 (+7),"GOOD JUMPER by PORTER,TROY",FC 14-21 (+7),,"GOOD JUMPER by PORTER,TROY",1
--,,,,,"ASSIST  by SARGENT,TERRY",,,"ASSIST  by SARGENT,TERRY",1
09:59,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
09:48,"FOUL  by GEEGAN,MIKE",,,,,,,"FOUL  by GEEGAN,MIKE",1
09:48,"TURNOVER  by GEEGAN,MIKE",,,,,,,"TURNOVER  by GEEGAN,MIKE",1
09:48,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
09:48,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
09:48,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
09:48,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
09:48,,,,,"SUB IN by PORTER,TROY",,,"SUB IN by PORTER,TROY",1
09:48,,,,,"SUB OUT by SMITH,DION",,,"SUB OUT by SMITH,DION",1
09:22,,14,,23 (+9),"GOOD JUMPER by SARGENT,TERRY(in the paint)",FC 14-23 (+9),,"GOOD JUMPER by SARGENT,TERRY(in the paint)",1
09:08,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
08:55,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",1
08:53,,,,,"STEAL  by SARGENT,TERRY",,,"STEAL  by SARGENT,TERRY",1
08:49,,14,,25 (+11),"GOOD LAYUP by SARGENT,TERRY(fastbreak)(in the paint)",FC 14-25 (+11),,"GOOD LAYUP by SARGENT,TERRY(fastbreak)(in the paint)",1
08:33,"GOOD 3PTR by GEEGAN,MIKE",17,,25 (+8),,CENTRE_M 17-25 (+8),,"GOOD 3PTR by GEEGAN,MIKE",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
08:22,,,,,"MISS 3PTR by BARTON,JT",,,"MISS 3PTR by BARTON,JT",1
--,,,,,"REBOUND OFF by SARGENT,TERRY",,,"REBOUND OFF by SARGENT,TERRY",1
08:14,,17,,27 (+10),"GOOD LAYUP by SARGENT,TERRY(in the paint)",FC 17-27 (+10),,"GOOD LAYUP by SARGENT,TERRY(in the paint)",1
08:03,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",19,,27 (+8),,CENTRE_M 19-27 (+8),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
07:39,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
07:39,,19,,28 (+9),"GOOD FT by SARGENT,TERRY",FC 19-28 (+9),,"GOOD FT by SARGENT,TERRY",1
07:39,,19,,29 (+10),"GOOD FT by SARGENT,TERRY",FC 19-29 (+10),,"GOOD FT by SARGENT,TERRY",1
07:39,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
07:39,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
07:39,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
07:39,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
07:39,,,,,"SUB IN by SMITH,DION",,,"SUB IN by SMITH,DION",1
07:39,,,,,"SUB IN by WASHINGTON,TRAE",,,"SUB IN by WASHINGTON,TRAE",1
07:39,,,,,"SUB IN by HOWARD,BAILEY",,,"SUB IN by HOWARD,BAILEY",1
07:39,,,,,"SUB OUT by SELBURG,TREVOR",,,"SUB OUT by SELBURG,TREVOR",1
07:39,,,,,"SUB OUT by SARGENT,TERRY",,,"SUB OUT by SARGENT,TERRY",1
07:39,,,,,"SUB OUT by PRATHER,ROBBIE",,,"SUB OUT by PRATHER,ROBBIE",1
07:20,"GOOD 3PTR by LOPEZ,COLLIN",22,,29 (+7),,CENTRE_M 22-29 (+7),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
06:55,,22,,32 (+10),"GOOD 3PTR by HOWARD,BAILEY",FC 22-32 (+10),,"GOOD 3PTR by HOWARD,BAILEY",1
--,,,,,"ASSIST  by SMITH,DION",,,"ASSIST  by SMITH,DION",1
06:42,"GOOD 3PTR by KARSNER,JOSH",25,,32 (+7),,CENTRE_M 25-32 (+7),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by LOPEZ,COLLIN",,,,,,,"ASSIST  by LOPEZ,COLLIN",1
06:34,,,,,"MISS JUMPER by SMITH,DION",,,"MISS JUMPER by SMITH,DION",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
06:33,,,,,"FOUL  by SMITH,DION",,,"FOUL  by SMITH,DION",1
06:09,"GOOD LAYUP by KARSNER,JOSH(in the paint)",27,,32 (+5),,CENTRE_M 27-32 (+5),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
05:49,,,,,"MISS 3PTR by HOWARD,BAILEY",,,"MISS 3PTR by HOWARD,BAILEY",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
05:31,"MISS JUMPER by LOPEZ,COLLIN",,,,,,,"MISS JUMPER by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by WASHINGTON,TRAE",,,"REBOUND DEF by WASHINGTON,TRAE",1
05:23,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
05:23,,,,,"MISS FT by HOWARD,BAILEY",,,"MISS FT by HOWARD,BAILEY",1
--,,,,,REBOUND DEADB by TM,,,REBOUND DEADB by TM,1
05:23,,27,,33 (+6),"GOOD FT by HOWARD,BAILEY",FC 27-33 (+6),,"GOOD FT by HOWARD,BAILEY",1
05:23,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",1
05:23,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
05:23,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
05:23,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
05:13,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
05:13,,,,,"BLOCK  by SMITH,DION",,,"BLOCK  by SMITH,DION",1
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",1
04:55,,27,,36 (+9),"GOOD 3PTR by WASHINGTON,TRAE",FC 27-36 (+9),,"GOOD 3PTR by WASHINGTON,TRAE",1
--,,,,,"ASSIST  by PORTER,TROY",,,"ASSIST  by PORTER,TROY",1
04:38,"MISS JUMPER by MURRAY,RYAN",,,,,,,"MISS JUMPER by MURRAY,RYAN",1
--,"REBOUND OFF by MURRAY,RYAN",,,,,,,"REBOUND OFF by MURRAY,RYAN",1
04:32,"MISS JUMPER by MURRAY,RYAN",,,,,,,"MISS JUMPER by MURRAY,RYAN",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
04:32,"GOOD LAYUP by WESLEY,TYLER(in the paint)",29,,36 (+7),,CENTRE_M 29-36 (+7),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
04:32,,,,,"FOUL  by PORTER,TROY",,,"FOUL  by PORTER,TROY",1
04:32,"GOOD FT by WESLEY,TYLER",30,,36 (+6),,CENTRE_M 30-36 (+6),,"GOOD FT by WESLEY,TYLER",1
04:15,,30,,38 (+8),"GOOD JUMPER by HOWARD,BAILEY(in the paint)",FC 30-38 (+8),,"GOOD JUMPER by HOWARD,BAILEY(in the paint)",1
--,,,,,"ASSIST  by SMITH,DION",,,"ASSIST  by SMITH,DION",1
03:56,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
03:54,,,,,"STEAL  by HOWARD,BAILEY",,,"STEAL  by HOWARD,BAILEY",1
03:52,,30,,40 (+10),"GOOD LAYUP by HOWARD,BAILEY(fastbreak)(in the paint)",FC 30-40 (+10),,"GOOD LAYUP by HOWARD,BAILEY(fastbreak)(in the paint)",1
03:39,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by SARGENT,TERRY",,,"REBOUND DEF by SARGENT,TERRY",1
03:15,,,,,"MISS LAYUP by SARGENT,TERRY",,,"MISS LAYUP by SARGENT,TERRY",1
--,,,,,"REBOUND OFF by SELBURG,TREVOR",,,"REBOUND OFF by SELBURG,TREVOR",1
03:01,,,,,"MISS LAYUP by WASHINGTON,TRAE",,,"MISS LAYUP by WASHINGTON,TRAE",1
03:01,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,,,,,REBOUND OFF by TM,,,REBOUND OFF by TM,1
03:01,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
03:01,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
03:01,,,,,"SUB IN by SARGENT,TERRY",,,"SUB IN by SARGENT,TERRY",1
03:01,,,,,"SUB IN by SELBURG,TREVOR",,,"SUB IN by SELBURG,TREVOR",1
03:01,,,,,"SUB OUT by BARTON,JT",,,"SUB OUT by BARTON,JT",1
03:01,,,,,"SUB OUT by PORTER,TROY",,,"SUB OUT by PORTER,TROY",1
02:45,,30,,43 (+13),"GOOD 3PTR by SARGENT,TERRY",FC 30-43 (+13),,"GOOD 3PTR by SARGENT,TERRY",1
--,,,,,"ASSIST  by WASHINGTON,TRAE",,,"ASSIST  by WASHINGTON,TRAE",1
02:43,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
02:32,"MISS 3PTR by MURRAY,RYAN",,,,,,,"MISS 3PTR by MURRAY,RYAN",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
02:26,,,,,"FOUL  by SMITH,DION",,,"FOUL  by SMITH,DION",1
02:26,,,,,"SUB IN by FEDERMANN,CODY",,,"SUB IN by FEDERMANN,CODY",1
02:26,,,,,"SUB OUT by SMITH,DION",,,"SUB OUT by SMITH,DION",1
02:17,,,,,"FOUL  by HOWARD,BAILEY",,,"FOUL  by HOWARD,BAILEY",1
02:06,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",1
--,"REBOUND OFF by GUMP,MATT",,,,,,,"REBOUND OFF by GUMP,MATT",1
02:02,"GOOD LAYUP by GUMP,MATT(in the paint)",32,,43 (+11),,CENTRE_M 32-43 (+11),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
01:48,,32,,45 (+13),"GOOD JUMPER by HOWARD,BAILEY",FC 32-45 (+13),,"GOOD JUMPER by HOWARD,BAILEY",1
01:26,,,,,"FOUL  by SARGENT,TERRY",,,"FOUL  by SARGENT,TERRY",1
01:26,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:26,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by HOWARD,BAILEY",,,"REBOUND DEF by HOWARD,BAILEY",1
01:11,,32,,47 (+15),"GOOD JUMPER by HOWARD,BAILEY",FC 32-47 (+15),,"GOOD JUMPER by HOWARD,BAILEY",1
00:43,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
00:36,,,,,"FOUL  by FEDERMANN,CODY",,,"FOUL  by FEDERMANN,CODY",1
00:36,"GOOD FT by WESLEY,TYLER",33,,47 (+14),,CENTRE_M 33-47 (+14),,"GOOD FT by WESLEY,TYLER",1
00:36,"GOOD FT by WESLEY,TYLER",34,,47 (+13),,CENTRE_M 34-47 (+13),,"GOOD FT by WESLEY,TYLER",1
00:36,"SUB IN by LOHR,MATT",,,,,,,"SUB IN by LOHR,MATT",1
00:36,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
00:36,,,,,"SUB IN by PRATHER,ROBBIE",,,"SUB IN by PRATHER,ROBBIE",1
00:36,,,,,"SUB OUT by SARGENT,TERRY",,,"SUB OUT by SARGENT,TERRY",1
00:02,,,,,"MISS JUMPER by WASHINGTON,TRAE",,,"MISS JUMPER by WASHINGTON,TRAE",1
--,"REBOUND DEF by LOHR,MATT",,,,,,,"REBOUND DEF by LOHR,MATT",1
19:45,"GOOD JUMPER by WHITESIDE,DONOVAN",36,,47 (+11),,CENTRE_M 36-47 (+11),,"GOOD JUMPER by WHITESIDE,DONOVAN",2
19:36,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",2
19:36,,,,,"MISS FT by SARGENT,TERRY",,,"MISS FT by SARGENT,TERRY",2
--,,,,,REBOUND DEADB by TM,,,REBOUND DEADB by TM,2
19:36,,36,,48 (+12),"GOOD FT by SARGENT,TERRY",FC 36-48 (+12),,"GOOD FT by SARGENT,TERRY",2
19:26,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",2
19:20,,36,,50 (+14),"GOOD LAYUP by WASHINGTON,TRAE(fastbreak)(in the paint)",FC 36-50 (+14),,"GOOD LAYUP by WASHINGTON,TRAE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by SMITH,DION",,,"ASSIST  by SMITH,DION",2
19:08,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",2
19:08,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",2
18:57,,,,,"TURNOVER  by HOWARD,BAILEY",,,"TURNOVER  by HOWARD,BAILEY",2
18:27,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",2
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",2
18:24,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
18:07,,36,,53 (+17),"GOOD 3PTR by HOWARD,BAILEY",FC 36-53 (+17),,"GOOD 3PTR by HOWARD,BAILEY",2
--,,,,,"ASSIST  by PORTER,TROY",,,"ASSIST  by PORTER,TROY",2
17:48,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",2
--,,,,,"REBOUND DEF by HOWARD,BAILEY",,,"REBOUND DEF by HOWARD,BAILEY",2
17:39,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
17:39,,36,,54 (+18),"GOOD FT by HOWARD,BAILEY",FC 36-54 (+18),,"GOOD FT by HOWARD,BAILEY",2
17:39,,36,,55 (+19),"GOOD FT by HOWARD,BAILEY",FC 36-55 (+19),,"GOOD FT by HOWARD,BAILEY",2
17:39,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
17:39,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
17:39,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",2
17:39,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
17:39,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",2
17:39,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
17:22,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by SMITH,DION",,,"REBOUND DEF by SMITH,DION",2
17:17,,,,,"TURNOVER  by SMITH,DION",,,"TURNOVER  by SMITH,DION",2
17:15,"STEAL  by STEGGEMAN,ANDREW",,,,,,,"STEAL  by STEGGEMAN,ANDREW",2
17:10,,,,,"FOUL  by WASHINGTON,TRAE",,,"FOUL  by WASHINGTON,TRAE",2
17:10,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:10,"GOOD FT by SCINTA,BLAKE",37,,55 (+18),,CENTRE_M 37-55 (+18),,"GOOD FT by SCINTA,BLAKE",2
