Time Remaining,CCU,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
16:52,"GOOD LAYUP by GAYNOR,KENNY(in the paint)",9,,10 (+1),,CCU 9-10 (+1),,"GOOD LAYUP by GAYNOR,KENNY(in the paint)",1
--,"ASSIST  by HILL,MIKE",,,,,,,"ASSIST  by HILL,MIKE",1
16:37,,9,,12 (+3),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 9-12 (+3),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
16:01,"MISS LAYUP by GAYNOR,KENNY",,,,,,,"MISS LAYUP by GAYNOR,KENNY",1
--,"REBOUND OFF by MCKINNEY,WILLIE",,,,,,,"REBOUND OFF by MCKINNEY,WILLIE",1
15:56,"GOOD LAYUP by MCKINNEY,WILLIE(in the paint)",11,,12 (+1),,CCU 11-12 (+1),,"GOOD LAYUP by MCKINNEY,WILLIE(in the paint)",1
15:44,,11,,15 (+4),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 11-15 (+4),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
15:09,"GOOD 3PTR by HILL,MIKE",14,,15 (+1),,CCU 14-15 (+1),,"GOOD 3PTR by HILL,MIKE",1
--,"ASSIST  by GAYNOR,KENNY",,,,,,,"ASSIST  by GAYNOR,KENNY",1
14:48,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by MCCOMMONS,DJ",,,,,,,"REBOUND DEF by MCCOMMONS,DJ",1
14:25,"TURNOVER  by MCKINNEY,WILLIE",,,,,,,"TURNOVER  by MCKINNEY,WILLIE",1
14:25,"SUB IN by SHELTON,DREW",,,,,,,"SUB IN by SHELTON,DREW",1
14:25,"SUB IN by SEIBERT,NICK",,,,,,,"SUB IN by SEIBERT,NICK",1
14:25,"SUB OUT by MCKINNEY,WILLIE",,,,,,,"SUB OUT by MCKINNEY,WILLIE",1
14:25,"SUB OUT by MCLEISH,MITCH",,,,,,,"SUB OUT by MCLEISH,MITCH",1
14:25,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
14:25,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
14:25,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1
14:25,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
14:25,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
14:25,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
14:06,,14,,17 (+3),"GOOD JUMPER by KARSNER,JOSH(in the paint)",CENTRE_M 14-17 (+3),,"GOOD JUMPER by KARSNER,JOSH(in the paint)",1
13:31,"MISS JUMPER by GAYNOR,KENNY",,,,,,,"MISS JUMPER by GAYNOR,KENNY",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
13:17,,14,,19 (+5),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 14-19 (+5),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
12:56,"GOOD 3PTR by SEIBERT,NICK",17,,19 (+2),,CCU 17-19 (+2),,"GOOD 3PTR by SEIBERT,NICK",1
--,"ASSIST  by SHELTON,DREW",,,,,,,"ASSIST  by SHELTON,DREW",1
12:36,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",1
12:30,"SUB IN by MCKINNEY,WILLIE",,,,,,,"SUB IN by MCKINNEY,WILLIE",1
12:30,"SUB OUT by GAYNOR,KENNY",,,,,,,"SUB OUT by GAYNOR,KENNY",1
12:30,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
12:30,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
12:21,"FOUL  by SHELTON,DREW",,,,,,,"FOUL  by SHELTON,DREW",1
12:21,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:21,,17,,20 (+3),"GOOD FT by SCINTA,BLAKE",CENTRE_M 17-20 (+3),,"GOOD FT by SCINTA,BLAKE",1
12:21,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
12:21,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
11:49,"MISS LAYUP by MCKINNEY,WILLIE",,,,,,,"MISS LAYUP by MCKINNEY,WILLIE",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
11:41,"FOUL  by SEIBERT,NICK",,,,,,,"FOUL  by SEIBERT,NICK",1
11:41,,17,,21 (+4),"GOOD FT by GUMP,MATT",CENTRE_M 17-21 (+4),,"GOOD FT by GUMP,MATT",1
11:41,,17,,22 (+5),"GOOD FT by GUMP,MATT",CENTRE_M 17-22 (+5),,"GOOD FT by GUMP,MATT",1
11:41,"SUB IN by MASSEE,WILL",,,,,,,"SUB IN by MASSEE,WILL",1
11:41,"SUB OUT by HILL,MIKE",,,,,,,"SUB OUT by HILL,MIKE",1
11:17,"TURNOVER  by SEIBERT,NICK",,,,,,,"TURNOVER  by SEIBERT,NICK",1
11:15,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",1
11:09,,17,,25 (+8),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 17-25 (+8),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
10:32,"MISS JUMPER by MCCOMMONS,DJ",,,,,,,"MISS JUMPER by MCCOMMONS,DJ",1
--,"REBOUND OFF by SHELTON,DREW",,,,,,,"REBOUND OFF by SHELTON,DREW",1
10:06,"GOOD 3PTR by SEIBERT,NICK",20,,25 (+5),,CCU 20-25 (+5),,"GOOD 3PTR by SEIBERT,NICK",1
--,"ASSIST  by MASSEE,WILL",,,,,,,"ASSIST  by MASSEE,WILL",1
09:50,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",1
09:50,"BLOCK  by MCKINNEY,WILLIE",,,,,,,"BLOCK  by MCKINNEY,WILLIE",1
--,"REBOUND DEF by MCKINNEY,WILLIE",,,,,,,"REBOUND DEF by MCKINNEY,WILLIE",1
09:41,"MISS 3PTR by SEIBERT,NICK",,,,,,,"MISS 3PTR by SEIBERT,NICK",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
09:19,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by SHELTON,DREW",,,,,,,"REBOUND DEF by SHELTON,DREW",1
09:01,"MISS JUMPER by MASSEE,WILL",,,,,,,"MISS JUMPER by MASSEE,WILL",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
08:52,,20,,28 (+8),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 20-28 (+8),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
08:22,,,,,"FOUL  by GEEGAN,MIKE",,,"FOUL  by GEEGAN,MIKE",1
08:22,"SUB IN by HILL,MIKE",,,,,,,"SUB IN by HILL,MIKE",1
08:22,"SUB IN by MCLEISH,MITCH",,,,,,,"SUB IN by MCLEISH,MITCH",1
08:22,"SUB IN by GAYNOR,KENNY",,,,,,,"SUB IN by GAYNOR,KENNY",1
08:22,"SUB OUT by SHELTON,DREW",,,,,,,"SUB OUT by SHELTON,DREW",1
08:22,"SUB OUT by MCCOMMONS,DJ",,,,,,,"SUB OUT by MCCOMMONS,DJ",1
08:22,"SUB OUT by SEIBERT,NICK",,,,,,,"SUB OUT by SEIBERT,NICK",1
08:22,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
08:22,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
08:22,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
08:22,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
08:22,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
08:22,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
08:22,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
08:22,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",1
08:16,"GOOD JUMPER by MCLEISH,MITCH(in the paint)",22,,28 (+6),,CCU 22-28 (+6),,"GOOD JUMPER by MCLEISH,MITCH(in the paint)",1
07:53,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:17,,22,,31 (+9),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 22-31 (+9),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
06:56,"MISS LAYUP by MASSEE,WILL",,,,,,,"MISS LAYUP by MASSEE,WILL",1
06:56,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
06:50,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
06:39,"GOOD 3PTR by MASSEE,WILL",25,,31 (+6),,CCU 25-31 (+6),,"GOOD 3PTR by MASSEE,WILL",1
06:18,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,,,,,"REBOUND OFF by LOPEZ,COLLIN",,,"REBOUND OFF by LOPEZ,COLLIN",1
05:55,,25,,33 (+8),"GOOD LAYUP by STEGGEMAN,ANDREW(in the paint)",CENTRE_M 25-33 (+8),,"GOOD LAYUP by STEGGEMAN,ANDREW(in the paint)",1
05:39,"GOOD JUMPER by MCKINNEY,WILLIE",27,,33 (+6),,CCU 27-33 (+6),,"GOOD JUMPER by MCKINNEY,WILLIE",1
--,"ASSIST  by HILL,MIKE",,,,,,,"ASSIST  by HILL,MIKE",1
05:30,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by MCLEISH,MITCH",,,,,,,"REBOUND DEF by MCLEISH,MITCH",1
05:20,"GOOD JUMPER by HILL,MIKE",29,,33 (+4),,CCU 29-33 (+4),,"GOOD JUMPER by HILL,MIKE",1
04:46,"FOUL  by HILL,MIKE",,,,,,,"FOUL  by HILL,MIKE",1
04:46,,29,,34 (+5),"GOOD FT by LOPEZ,COLLIN",CENTRE_M 29-34 (+5),,"GOOD FT by LOPEZ,COLLIN",1
04:46,,29,,35 (+6),"GOOD FT by LOPEZ,COLLIN",CENTRE_M 29-35 (+6),,"GOOD FT by LOPEZ,COLLIN",1
04:46,"SUB IN by MCCOMMONS,DJ",,,,,,,"SUB IN by MCCOMMONS,DJ",1
04:46,"SUB IN by SEIBERT,NICK",,,,,,,"SUB IN by SEIBERT,NICK",1
04:46,"SUB OUT by HILL,MIKE",,,,,,,"SUB OUT by HILL,MIKE",1
04:46,"SUB OUT by MASSEE,WILL",,,,,,,"SUB OUT by MASSEE,WILL",1
04:46,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
04:46,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
04:46,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1
04:46,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
04:46,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
04:46,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
04:34,"MISS 3PTR by MCLEISH,MITCH",,,,,,,"MISS 3PTR by MCLEISH,MITCH",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
04:20,"FOUL  by SEIBERT,NICK",,,,,,,"FOUL  by SEIBERT,NICK",1
04:20,,29,,36 (+7),"GOOD FT by KARSNER,JOSH",CENTRE_M 29-36 (+7),,"GOOD FT by KARSNER,JOSH",1
04:20,,29,,37 (+8),"GOOD FT by KARSNER,JOSH",CENTRE_M 29-37 (+8),,"GOOD FT by KARSNER,JOSH",1
04:20,,,,,"MISS FT by KARSNER,JOSH",,,"MISS FT by KARSNER,JOSH",1
--,"REBOUND DEF by GAYNOR,KENNY",,,,,,,"REBOUND DEF by GAYNOR,KENNY",1
04:20,"SUB IN by MASSEE,WILL",,,,,,,"SUB IN by MASSEE,WILL",1
04:20,"SUB OUT by SEIBERT,NICK",,,,,,,"SUB OUT by SEIBERT,NICK",1
03:56,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
03:56,"MISS FT by MCKINNEY,WILLIE",,,,,,,"MISS FT by MCKINNEY,WILLIE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:56,"GOOD FT by MCKINNEY,WILLIE",30,,37 (+7),,CCU 30-37 (+7),,"GOOD FT by MCKINNEY,WILLIE",1
03:39,,30,,40 (+10),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 30-40 (+10),,"GOOD 3PTR by LOPEZ,COLLIN",1
03:14,"MISS 3PTR by MASSEE,WILL",,,,,,,"MISS 3PTR by MASSEE,WILL",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
03:05,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND DEF by MASSEE,WILL",,,,,,,"REBOUND DEF by MASSEE,WILL",1
02:50,"GOOD 3PTR by MCCOMMONS,DJ",33,,40 (+7),,CCU 33-40 (+7),,"GOOD 3PTR by MCCOMMONS,DJ",1
--,"ASSIST  by MCLEISH,MITCH",,,,,,,"ASSIST  by MCLEISH,MITCH",1
02:34,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
02:07,"MISS 3PTR by MCCOMMONS,DJ",,,,,,,"MISS 3PTR by MCCOMMONS,DJ",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
01:50,,,,,"TURNOVER  by MURRAY,RYAN",,,"TURNOVER  by MURRAY,RYAN",1
01:48,"STEAL  by MCLEISH,MITCH",,,,,,,"STEAL  by MCLEISH,MITCH",1
01:47,"FOUL  by MCLEISH,MITCH",,,,,,,"FOUL  by MCLEISH,MITCH",1
01:47,"TURNOVER  by MCLEISH,MITCH",,,,,,,"TURNOVER  by MCLEISH,MITCH",1
01:47,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
01:47,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
01:31,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND DEF by MCLEISH,MITCH",,,,,,,"REBOUND DEF by MCLEISH,MITCH",1
01:06,"GOOD 3PTR by MCCOMMONS,DJ",36,,40 (+4),,CCU 36-40 (+4),,"GOOD 3PTR by MCCOMMONS,DJ",1
--,"ASSIST  by MCKINNEY,WILLIE",,,,,,,"ASSIST  by MCKINNEY,WILLIE",1
00:43,"FOUL  by MCKINNEY,WILLIE",,,,,,,"FOUL  by MCKINNEY,WILLIE",1
00:43,,36,,41 (+5),"GOOD FT by KARSNER,JOSH",CENTRE_M 36-41 (+5),,"GOOD FT by KARSNER,JOSH",1
00:43,,36,,42 (+6),"GOOD FT by KARSNER,JOSH",CENTRE_M 36-42 (+6),,"GOOD FT by KARSNER,JOSH",1
00:43,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
00:43,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
00:43,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
00:43,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
00:29,"GOOD LAYUP by MCCOMMONS,DJ(in the paint)",38,,42 (+4),,CCU 38-42 (+4),,"GOOD LAYUP by MCCOMMONS,DJ(in the paint)",1
00:04,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
00:04,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
00:04,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
00:04,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",1
00:01,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",,,"REBOUND OFF by WHITESIDE,DONOVAN",1
19:35,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
19:35,"GOOD FT by GAYNOR,KENNY",39,,42 (+3),,CCU 39-42 (+3),,"GOOD FT by GAYNOR,KENNY",2
19:35,"MISS FT by GAYNOR,KENNY",,,,,,,"MISS FT by GAYNOR,KENNY",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
19:17,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
18:51,"GOOD LAYUP by MCKINNEY,WILLIE(in the paint)",41,,42 (+1),,CCU 41-42 (+1),,"GOOD LAYUP by MCKINNEY,WILLIE(in the paint)",2
18:26,,41,,44 (+3),"GOOD JUMPER by STEGGEMAN,ANDREW(in the paint)",CENTRE_M 41-44 (+3),,"GOOD JUMPER by STEGGEMAN,ANDREW(in the paint)",2
18:02,"MISS LAYUP by HILL,MIKE",,,,,,,"MISS LAYUP by HILL,MIKE",2
--,"REBOUND OFF by MCKINNEY,WILLIE",,,,,,,"REBOUND OFF by MCKINNEY,WILLIE",2
17:55,"GOOD LAYUP by MCKINNEY,WILLIE(in the paint)",43,,44 (+1),,CCU 43-44 (+1),,"GOOD LAYUP by MCKINNEY,WILLIE(in the paint)",2
--,"ASSIST  by GAYNOR,KENNY",,,,,,,"ASSIST  by GAYNOR,KENNY",2
17:54,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
17:54,"MISS FT by MCKINNEY,WILLIE",,,,,,,"MISS FT by MCKINNEY,WILLIE",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
17:54,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
17:54,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
17:35,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",2
17:33,"STEAL  by MCLEISH,MITCH",,,,,,,"STEAL  by MCLEISH,MITCH",2
17:30,"MISS LAYUP by MCLEISH,MITCH",,,,,,,"MISS LAYUP by MCLEISH,MITCH",2
17:30,,,,,"BLOCK  by WHITESIDE,DONOVAN",,,"BLOCK  by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",,,"REBOUND DEF by STEGGEMAN,ANDREW",2
17:23,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",2
--,"REBOUND DEF by MCKINNEY,WILLIE",,,,,,,"REBOUND DEF by MCKINNEY,WILLIE",2
17:16,"MISS JUMPER by MCKINNEY,WILLIE",,,,,,,"MISS JUMPER by MCKINNEY,WILLIE",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
17:09,,43,,46 (+3),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 43-46 (+3),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
16:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:43,"TURNOVER  by MCLEISH,MITCH",,,,,,,"TURNOVER  by MCLEISH,MITCH",2
16:43,,,,,"STEAL  by STEGGEMAN,ANDREW",,,"STEAL  by STEGGEMAN,ANDREW",2
16:23,,,,,"MISS JUMPER by KARSNER,JOSH",,,"MISS JUMPER by KARSNER,JOSH",2
--,"REBOUND DEF by GAYNOR,KENNY",,,,,,,"REBOUND DEF by GAYNOR,KENNY",2
16:08,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",2
16:08,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",2
16:08,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",2
15:57,"TURNOVER  by GAYNOR,KENNY",,,,,,,"TURNOVER  by GAYNOR,KENNY",2
15:55,,,,,"STEAL  by LOPEZ,COLLIN",,,"STEAL  by LOPEZ,COLLIN",2
15:50,,,,,"MISS 3PTR by MURRAY,RYAN",,,"MISS 3PTR by MURRAY,RYAN",2
--,"REBOUND DEF by MCCOMMONS,DJ",,,,,,,"REBOUND DEF by MCCOMMONS,DJ",2
15:40,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",2
15:40,"GOOD FT by MCKINNEY,WILLIE",44,,46 (+2),,CCU 44-46 (+2),,"GOOD FT by MCKINNEY,WILLIE",2
15:40,"GOOD FT by MCKINNEY,WILLIE",45,,46 (+1),,CCU 45-46 (+1),,"GOOD FT by MCKINNEY,WILLIE",2
15:40,"SUB IN by SEIBERT,NICK",,,,,,,"SUB IN by SEIBERT,NICK",2
15:40,"SUB OUT by MCLEISH,MITCH",,,,,,,"SUB OUT by MCLEISH,MITCH",2
15:40,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
15:40,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
15:23,"FOUL  by HILL,MIKE",,,,,,,"FOUL  by HILL,MIKE",2
15:23,,,,,"MISS FT by LOPEZ,COLLIN",,,"MISS FT by LOPEZ,COLLIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:23,,45,,47 (+2),"GOOD FT by LOPEZ,COLLIN",CENTRE_M 45-47 (+2),,"GOOD FT by LOPEZ,COLLIN",2
15:06,"GOOD LAYUP by HILL,MIKE(in the paint)",47,,47,,CCU 47-47 (0),,"GOOD LAYUP by HILL,MIKE(in the paint)",2
--,"ASSIST  by GAYNOR,KENNY",,,,,,,"ASSIST  by GAYNOR,KENNY",2
14:47,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",2
--,"REBOUND DEF by MCKINNEY,WILLIE",,,,,,,"REBOUND DEF by MCKINNEY,WILLIE",2
14:45,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
14:29,"MISS LAYUP by MCKINNEY,WILLIE",,,,,,,"MISS LAYUP by MCKINNEY,WILLIE",2
