Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
15:05,"TURNOVER  by ROBINSON,DENZEL",,,,,,,"TURNOVER  by ROBINSON,DENZEL",1
15:05,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
14:47,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by WAGNER,MARK",,,,,,,"REBOUND DEF by WAGNER,MARK",1
14:38,"GOOD LAYUP by MITCHELL,NICK(in the paint)",14 (+4),,10,,LCM 14-10 (-4),,"GOOD LAYUP by MITCHELL,NICK(in the paint)",1
14:15,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by ROBINSON,DENZEL",,,,,,,"REBOUND DEF by ROBINSON,DENZEL",1
14:06,"MISS LAYUP by ROBINSON,DENZEL",,,,,,,"MISS LAYUP by ROBINSON,DENZEL",1
--,"REBOUND OFF by ROBINSON,DENZEL",,,,,,,"REBOUND OFF by ROBINSON,DENZEL",1
13:58,"TURNOVER  by MITCHELL,NICK",,,,,,,"TURNOVER  by MITCHELL,NICK",1
13:56,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",1
13:52,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by ROBINSON,DENZEL",,,,,,,"REBOUND DEF by ROBINSON,DENZEL",1
13:28,"GOOD 3PTR by MITCHELL,NICK",17 (+7),,10,,LCM 17-10 (-7),,"GOOD 3PTR by MITCHELL,NICK",1
--,"ASSIST  by ROBINSON,DENZEL",,,,,,,"ASSIST  by ROBINSON,DENZEL",1
13:03,"FOUL  by BAXTER,DUSTIN",,,,,,,"FOUL  by BAXTER,DUSTIN",1
13:03,,17 (+6),,11,"GOOD FT by LOPEZ,COLLIN",CENTRE_M 17-11 (-6),,"GOOD FT by LOPEZ,COLLIN",1
13:03,,17 (+5),,12,"GOOD FT by LOPEZ,COLLIN",CENTRE_M 17-12 (-5),,"GOOD FT by LOPEZ,COLLIN",1
13:03,"SUB IN by HOWARD,JEROD",,,,,,,"SUB IN by HOWARD,JEROD",1
13:03,"SUB OUT by BAXTER,DUSTIN",,,,,,,"SUB OUT by BAXTER,DUSTIN",1
13:03,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
13:03,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
13:03,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
13:03,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
13:03,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
13:03,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",1
12:37,"GOOD 3PTR by HOWARD,JEROD",20 (+8),,12,,LCM 20-12 (-8),,"GOOD 3PTR by HOWARD,JEROD",1
--,"ASSIST  by ROBINSON,DENZEL",,,,,,,"ASSIST  by ROBINSON,DENZEL",1
12:10,,,,,"TURNOVER  by STEGGEMAN,ANDREW",,,"TURNOVER  by STEGGEMAN,ANDREW",1
12:09,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",1
12:07,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",22 (+10),,12,,LCM 22-12 (-10),,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",1
11:41,,22 (+8),,14,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 22-14 (-8),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by GEEGAN,MIKE",,,"ASSIST  by GEEGAN,MIKE",1
11:27,"GOOD JUMPER by DUGGER,PATRICK",24 (+10),,14,,LCM 24-14 (-10),,"GOOD JUMPER by DUGGER,PATRICK",1
--,"ASSIST  by ROBINSON,DENZEL",,,,,,,"ASSIST  by ROBINSON,DENZEL",1
10:54,,24 (+8),,16,"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE_M 24-16 (-8),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
10:54,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",1
10:54,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
10:50,,24 (+7),,17,"GOOD FT by GUMP,MATT",CENTRE_M 24-17 (-7),,"GOOD FT by GUMP,MATT",1
10:50,"SUB IN by JOHNSON,JORDAN",,,,,,,"SUB IN by JOHNSON,JORDAN",1
10:50,"SUB IN by BAXTER,DUSTIN",,,,,,,"SUB IN by BAXTER,DUSTIN",1
10:50,"SUB IN by FORD,BRAXTON",,,,,,,"SUB IN by FORD,BRAXTON",1
10:50,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",1
10:50,"SUB OUT by ROBINSON,DENZEL",,,,,,,"SUB OUT by ROBINSON,DENZEL",1
10:50,"SUB OUT by WAGNER,MARK",,,,,,,"SUB OUT by WAGNER,MARK",1
10:50,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
10:50,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
10:50,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
10:50,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
10:47,"TURNOVER  by DUGGER,PATRICK",,,,,,,"TURNOVER  by DUGGER,PATRICK",1
10:37,,24 (+5),,19,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 24-19 (-5),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
10:26,"MISS JUMPER by HOWARD,JEROD",,,,,,,"MISS JUMPER by HOWARD,JEROD",1
10:26,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:14,"MISS 3PTR by HOWARD,JEROD",,,,,,,"MISS 3PTR by HOWARD,JEROD",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
10:08,"FOUL  by JOHNSON,JORDAN",,,,,,,"FOUL  by JOHNSON,JORDAN",1
10:08,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
10:08,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",1
10:08,"SUB IN by WHITE,MIKE",,,,,,,"SUB IN by WHITE,MIKE",1
10:08,"SUB IN by ROBINSON,DENZEL",,,,,,,"SUB IN by ROBINSON,DENZEL",1
10:08,"SUB IN by WAGNER,MARK",,,,,,,"SUB IN by WAGNER,MARK",1
10:08,"SUB OUT by JOHNSON,JORDAN",,,,,,,"SUB OUT by JOHNSON,JORDAN",1
10:08,"SUB OUT by DUGGER,PATRICK",,,,,,,"SUB OUT by DUGGER,PATRICK",1
10:08,"SUB OUT by HOWARD,JEROD",,,,,,,"SUB OUT by HOWARD,JEROD",1
10:08,"SUB OUT by FORD,BRAXTON",,,,,,,"SUB OUT by FORD,BRAXTON",1
10:08,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
10:08,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1
10:08,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
10:08,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
09:51,,24 (+3),,21,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 24-21 (-3),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
09:27,"MISS 3PTR by ROBINSON,DENZEL",,,,,,,"MISS 3PTR by ROBINSON,DENZEL",1
--,"REBOUND OFF by BAXTER,DUSTIN",,,,,,,"REBOUND OFF by BAXTER,DUSTIN",1
09:20,"GOOD LAYUP by BAXTER,DUSTIN(in the paint)",26 (+5),,21,,LCM 26-21 (-5),,"GOOD LAYUP by BAXTER,DUSTIN(in the paint)",1
09:02,,26 (+2),,24,"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 26-24 (-2),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
08:51,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",28 (+4),,24,,LCM 28-24 (-4),,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",1
08:30,"FOUL  by ROBINSON,DENZEL",,,,,,,"FOUL  by ROBINSON,DENZEL",1
08:18,,28 (+2),,26,"GOOD JUMPER by LOPEZ,COLLIN",CENTRE_M 28-26 (-2),,"GOOD JUMPER by LOPEZ,COLLIN",1
08:05,"GOOD 3PTR by BAXTER,DUSTIN",31 (+5),,26,,LCM 31-26 (-5),,"GOOD 3PTR by BAXTER,DUSTIN",1
07:48,,31 (+3),,28,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 31-28 (-3),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
07:48,"FOUL  by WHITE,MIKE",,,,,,,"FOUL  by WHITE,MIKE",1
07:48,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:48,,31 (+2),,29,"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 31-29 (-2),,"GOOD FT by WHITESIDE,DONOVAN",1
07:48,"SUB IN by DUGGER,PATRICK",,,,,,,"SUB IN by DUGGER,PATRICK",1
07:48,"SUB OUT by WHITE,MIKE",,,,,,,"SUB OUT by WHITE,MIKE",1
07:21,"MISS JUMPER by DUGGER,PATRICK",,,,,,,"MISS JUMPER by DUGGER,PATRICK",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
06:57,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND DEF by DUGGER,PATRICK",,,,,,,"REBOUND DEF by DUGGER,PATRICK",1
06:44,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
06:44,"GOOD FT by DUGGER,PATRICK",32 (+3),,29,,LCM 32-29 (-3),,"GOOD FT by DUGGER,PATRICK",1
06:44,"MISS FT by DUGGER,PATRICK",,,,,,,"MISS FT by DUGGER,PATRICK",1
--,,,,,"REBOUND DEF by MURRAY,RYAN",,,"REBOUND DEF by MURRAY,RYAN",1
06:44,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
06:44,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
06:44,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
06:44,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
06:39,"FOUL  by WAGNER,MARK",,,,,,,"FOUL  by WAGNER,MARK",1
06:39,,32 (+2),,30,"GOOD FT by MURRAY,RYAN",CENTRE_M 32-30 (-2),,"GOOD FT by MURRAY,RYAN",1
06:39,,,,,"MISS FT by MURRAY,RYAN",,,"MISS FT by MURRAY,RYAN",1
--,"REBOUND DEF by DUGGER,PATRICK",,,,,,,"REBOUND DEF by DUGGER,PATRICK",1
06:16,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
06:05,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by WAGNER,MARK",,,,,,,"REBOUND DEF by WAGNER,MARK",1
05:55,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
05:55,"GOOD FT by MITCHELL,NICK",33 (+3),,30,,LCM 33-30 (-3),,"GOOD FT by MITCHELL,NICK",1
05:55,"MISS FT by MITCHELL,NICK",,,,,,,"MISS FT by MITCHELL,NICK",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
05:37,,33 (+1),,32,"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE_M 33-32 (-1),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
05:19,"MISS JUMPER by DUGGER,PATRICK",,,,,,,"MISS JUMPER by DUGGER,PATRICK",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
05:17,"FOUL  by DUGGER,PATRICK",,,,,,,"FOUL  by DUGGER,PATRICK",1
05:17,,33,,33,"GOOD FT by KARSNER,JOSH",CENTRE_M 33-33 (0),,"GOOD FT by KARSNER,JOSH",1
05:17,,33,,34 (+1),"GOOD FT by KARSNER,JOSH",CENTRE_M 33-34 (+1),,"GOOD FT by KARSNER,JOSH",1
05:17,"SUB IN by WHITE,MIKE",,,,,,,"SUB IN by WHITE,MIKE",1
05:17,"SUB OUT by DUGGER,PATRICK",,,,,,,"SUB OUT by DUGGER,PATRICK",1
05:17,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
05:17,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
04:55,"MISS LAYUP by ROBINSON,DENZEL",,,,,,,"MISS LAYUP by ROBINSON,DENZEL",1
04:55,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
04:37,,33,,36 (+3),"GOOD LAYUP by MURRAY,RYAN(in the paint)",CENTRE_M 33-36 (+3),,"GOOD LAYUP by MURRAY,RYAN(in the paint)",1
04:16,"MISS JUMPER by MITCHELL,NICK",,,,,,,"MISS JUMPER by MITCHELL,NICK",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
04:04,,,,,"MISS 3PTR by MURRAY,RYAN",,,"MISS 3PTR by MURRAY,RYAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:00,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
04:00,"SUB IN by FORD,BRAXTON",,,,,,,"SUB IN by FORD,BRAXTON",1
04:00,"SUB OUT by ROBINSON,DENZEL",,,,,,,"SUB OUT by ROBINSON,DENZEL",1
04:00,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
04:00,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
04:00,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
04:00,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",1
03:47,,33,,38 (+5),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 33-38 (+5),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
03:31,"GOOD LAYUP by BAXTER,DUSTIN(in the paint)",35,,38 (+3),,LCM 35-38 (+3),,"GOOD LAYUP by BAXTER,DUSTIN(in the paint)",1
03:08,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND DEF by WHITE,MIKE",,,,,,,"REBOUND DEF by WHITE,MIKE",1
03:02,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
03:02,"GOOD FT by MITCHELL,NICK",36,,38 (+2),,LCM 36-38 (+2),,"GOOD FT by MITCHELL,NICK",1
03:02,"GOOD FT by MITCHELL,NICK",37,,38 (+1),,LCM 37-38 (+1),,"GOOD FT by MITCHELL,NICK",1
03:02,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
03:02,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
02:30,,37,,40 (+3),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 37-40 (+3),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
02:15,"MISS JUMPER by WHITE,MIKE",,,,,,,"MISS JUMPER by WHITE,MIKE",1
02:15,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
01:59,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
01:59,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
01:59,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1
01:59,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
01:45,"GOOD JUMPER by BAXTER,DUSTIN",39,,40 (+1),,LCM 39-40 (+1),,"GOOD JUMPER by BAXTER,DUSTIN",1
01:16,,,,,"MISS 3PTR by MURRAY,RYAN",,,"MISS 3PTR by MURRAY,RYAN",1
--,"REBOUND DEF by WHITE,MIKE",,,,,,,"REBOUND DEF by WHITE,MIKE",1
01:02,,,,,"FOUL  by MURRAY,RYAN",,,"FOUL  by MURRAY,RYAN",1
01:02,"GOOD FT by WAGNER,MARK",40,,40,,LCM 40-40 (0),,"GOOD FT by WAGNER,MARK",1
01:02,"GOOD FT by WAGNER,MARK",41 (+1),,40,,LCM 41-40 (-1),,"GOOD FT by WAGNER,MARK",1
01:02,"SUB IN by JOHNSON,JORDAN",,,,,,,"SUB IN by JOHNSON,JORDAN",1
01:02,"SUB OUT by WHITE,MIKE",,,,,,,"SUB OUT by WHITE,MIKE",1
00:45,"FOUL  by JOHNSON,JORDAN",,,,,,,"FOUL  by JOHNSON,JORDAN",1
00:45,,41,,41,"GOOD FT by SCINTA,BLAKE",CENTRE_M 41-41 (0),,"GOOD FT by SCINTA,BLAKE",1
00:45,,41,,42 (+1),"GOOD FT by SCINTA,BLAKE",CENTRE_M 41-42 (+1),,"GOOD FT by SCINTA,BLAKE",1
00:45,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
00:45,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
00:29,"GOOD JUMPER by MITCHELL,NICK",43 (+1),,42,,LCM 43-42 (-1),,"GOOD JUMPER by MITCHELL,NICK",1
--,"ASSIST  by JOHNSON,JORDAN",,,,,,,"ASSIST  by JOHNSON,JORDAN",1
00:27,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
00:27,"SUB IN by HOWARD,JEROD",,,,,,,"SUB IN by HOWARD,JEROD",1
00:27,"SUB OUT by BAXTER,DUSTIN",,,,,,,"SUB OUT by BAXTER,DUSTIN",1
00:27,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
00:27,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
00:06,,43,,45 (+2),"GOOD 3PTR by MURRAY,RYAN",CENTRE_M 43-45 (+2),,"GOOD 3PTR by MURRAY,RYAN",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
20:00,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",2
20:00,"SUB IN by ROBINSON,DENZEL",,,,,,,"SUB IN by ROBINSON,DENZEL",2
20:00,"SUB IN by BAXTER,DUSTIN",,,,,,,"SUB IN by BAXTER,DUSTIN",2
20:00,"SUB IN by DUGGER,PATRICK",,,,,,,"SUB IN by DUGGER,PATRICK",2
20:00,"SUB IN by WAGNER,MARK",,,,,,,"SUB IN by WAGNER,MARK",2
20:00,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
20:00,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
20:00,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
20:00,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",2
20:00,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
19:44,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",2
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",2
19:27,,43,,47 (+4),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 43-47 (+4),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",2
19:12,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",45,,47 (+2),,LCM 45-47 (+2),,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",2
18:56,,45,,49 (+4),"GOOD JUMPER by MURRAY,RYAN(in the paint)",CENTRE_M 45-49 (+4),,"GOOD JUMPER by MURRAY,RYAN(in the paint)",2
18:46,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",47,,49 (+2),,LCM 47-49 (+2),,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",2
18:27,,,,,"MISS LAYUP by LOPEZ,COLLIN",,,"MISS LAYUP by LOPEZ,COLLIN",2
