Time Remaining,MVCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
14:29,,10 (+2),,8,"GOOD FT by WESLEY,TYLER",CENTRE_M 10-8 (-2),,"GOOD FT by WESLEY,TYLER",1
14:29,"SUB IN by JACKSON,ANTONIO",,,,,,,"SUB IN by JACKSON,ANTONIO",1
14:29,"SUB OUT by FORD,CHRISTIAN",,,,,,,"SUB OUT by FORD,CHRISTIAN",1
14:29,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
14:29,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
14:01,"MISS JUMPER by BODEWIG,JOEY",,,,,,,"MISS JUMPER by BODEWIG,JOEY",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
13:49,"FOUL  by BODEWIG,JOEY",,,,,,,"FOUL  by BODEWIG,JOEY",1
13:49,"SUB OUT by BODEWIG,JOEY",,,,,,,"SUB OUT by BODEWIG,JOEY",1
13:49,"SUB OUT by BUTLER,OSCAR",,,,,,,"SUB OUT by BUTLER,OSCAR",1
13:48,,10,,11 (+1),"GOOD 3PTR by MURRAY,RYAN",CENTRE_M 10-11 (+1),,"GOOD 3PTR by MURRAY,RYAN",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
13:43,"SUB IN by BURRIS,JP",,,,,,,"SUB IN by BURRIS,JP",1
13:43,"SUB IN by BUTLER,OSCAR",,,,,,,"SUB IN by BUTLER,OSCAR",1
13:40,"GOOD 3PTR by SHOFFNER,SPENCER",13 (+2),,11,,MVCM 13-11 (-2),,"GOOD 3PTR by SHOFFNER,SPENCER",1
--,"ASSIST  by JACKSON,ANTONIO",,,,,,,"ASSIST  by JACKSON,ANTONIO",1
13:22,,13,,13,"GOOD JUMPER by KARSNER,JOSH",CENTRE_M 13-13 (0),,"GOOD JUMPER by KARSNER,JOSH",1
12:52,"TURNOVER  by JACKSON,ANTONIO",,,,,,,"TURNOVER  by JACKSON,ANTONIO",1
12:50,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
12:48,,13,,15 (+2),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 13-15 (+2),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by MURRAY,RYAN",,,"ASSIST  by MURRAY,RYAN",1
12:30,"MISS JUMPER by BODEWIG,JOEY",,,,,,,"MISS JUMPER by BODEWIG,JOEY",1
--,"REBOUND OFF by BURRIS,JP",,,,,,,"REBOUND OFF by BURRIS,JP",1
12:27,"GOOD LAYUP by BURRIS,JP(in the paint)",15,,15,,MVCM 15-15 (0),,"GOOD LAYUP by BURRIS,JP(in the paint)",1
12:27,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
12:27,"MISS FT by BURRIS,JP",,,,,,,"MISS FT by BURRIS,JP",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
12:27,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
12:27,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
12:20,"FOUL  by JACKSON,ANTONIO",,,,,,,"FOUL  by JACKSON,ANTONIO",1
12:20,"SUB IN by PEAKE,SPENCER",,,,,,,"SUB IN by PEAKE,SPENCER",1
12:20,"SUB OUT by BUTLER,OSCAR",,,,,,,"SUB OUT by BUTLER,OSCAR",1
12:10,,,,,"MISS LAYUP by LOPEZ,COLLIN",,,"MISS LAYUP by LOPEZ,COLLIN",1
--,"REBOUND DEF by BURRIS,JP",,,,,,,"REBOUND DEF by BURRIS,JP",1
12:06,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",1
11:51,"MISS LAYUP by SHOFFNER,SPENCER",,,,,,,"MISS LAYUP by SHOFFNER,SPENCER",1
--,"REBOUND OFF by BYRD,JAUMONEE",,,,,,,"REBOUND OFF by BYRD,JAUMONEE",1
11:48,"MISS LAYUP by BYRD,JAUMONEE",,,,,,,"MISS LAYUP by BYRD,JAUMONEE",1
--,"REBOUND OFF by PEAKE,SPENCER",,,,,,,"REBOUND OFF by PEAKE,SPENCER",1
11:45,"MISS LAYUP by PEAKE,SPENCER",,,,,,,"MISS LAYUP by PEAKE,SPENCER",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
11:28,,,,,"MISS 3PTR by MURRAY,RYAN",,,"MISS 3PTR by MURRAY,RYAN",1
--,"REBOUND DEF by SHOFFNER,SPENCER",,,,,,,"REBOUND DEF by SHOFFNER,SPENCER",1
11:19,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",1
11:19,"GOOD FT by JACKSON,ANTONIO",16 (+1),,15,,MVCM 16-15 (-1),,"GOOD FT by JACKSON,ANTONIO",1
11:19,"MISS FT by JACKSON,ANTONIO",,,,,,,"MISS FT by JACKSON,ANTONIO",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
11:19,"SUB IN by RAYE,CRAIG",,,,,,,"SUB IN by RAYE,CRAIG",1
11:19,"SUB OUT by SHOFFNER,SPENCER",,,,,,,"SUB OUT by SHOFFNER,SPENCER",1
11:19,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
11:19,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
11:19,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
11:19,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
11:06,,,,,"TURNOVER  by MURRAY,RYAN",,,"TURNOVER  by MURRAY,RYAN",1
11:05,"STEAL  by BYRD,JAUMONEE",,,,,,,"STEAL  by BYRD,JAUMONEE",1
10:55,"MISS JUMPER by PEAKE,SPENCER",,,,,,,"MISS JUMPER by PEAKE,SPENCER",1
--,"REBOUND OFF by BURRIS,JP",,,,,,,"REBOUND OFF by BURRIS,JP",1
10:51,"SUB IN by FORD,CHRISTIAN",,,,,,,"SUB IN by FORD,CHRISTIAN",1
10:51,"SUB OUT by JACKSON,ANTONIO",,,,,,,"SUB OUT by JACKSON,ANTONIO",1
10:51,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
10:51,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",1
10:47,"MISS LAYUP by BYRD,JAUMONEE",,,,,,,"MISS LAYUP by BYRD,JAUMONEE",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
10:25,"FOUL  by BURRIS,JP",,,,,,,"FOUL  by BURRIS,JP",1
10:25,"SUB IN by BODEWIG,JOEY",,,,,,,"SUB IN by BODEWIG,JOEY",1
10:25,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",1
10:15,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",1
--,"REBOUND DEF by RAYE,CRAIG",,,,,,,"REBOUND DEF by RAYE,CRAIG",1
10:03,,,,,"FOUL  by GEEGAN,MIKE",,,"FOUL  by GEEGAN,MIKE",1
10:03,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
10:03,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
09:52,"MISS JUMPER by PEAKE,SPENCER",,,,,,,"MISS JUMPER by PEAKE,SPENCER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
09:20,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",1
09:17,,16,,17 (+1),"GOOD JUMPER by TAYLOR,CHRIS",CENTRE_M 16-17 (+1),,"GOOD JUMPER by TAYLOR,CHRIS",1
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",1
08:57,"GOOD LAYUP by RAYE,CRAIG(in the paint)",18 (+1),,17,,MVCM 18-17 (-1),,"GOOD LAYUP by RAYE,CRAIG(in the paint)",1
08:44,,18,,19 (+1),"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",CENTRE_M 18-19 (+1),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
08:26,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
08:24,"GOOD JUMPER by BODEWIG,JOEY",20 (+1),,19,,MVCM 20-19 (-1),,"GOOD JUMPER by BODEWIG,JOEY",1
08:24,"SUB IN by BUTLER,OSCAR",,,,,,,"SUB IN by BUTLER,OSCAR",1
08:24,"SUB OUT by PEAKE,SPENCER",,,,,,,"SUB OUT by PEAKE,SPENCER",1
08:17,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
08:17,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
08:09,,20,,21 (+1),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 20-21 (+1),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
08:01,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
08:01,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
07:55,"GOOD JUMPER by SHOFFNER,SPENCER",22 (+1),,21,,MVCM 22-21 (-1),,"GOOD JUMPER by SHOFFNER,SPENCER",1
07:36,"SUB IN by SHOFFNER,SPENCER",,,,,,,"SUB IN by SHOFFNER,SPENCER",1
07:36,"SUB OUT by RAYE,CRAIG",,,,,,,"SUB OUT by RAYE,CRAIG",1
07:25,"FOUL  by RAYE,CRAIG",,,,,,,"FOUL  by RAYE,CRAIG",1
07:22,"SUB IN by RAYE,CRAIG",,,,,,,"SUB IN by RAYE,CRAIG",1
07:22,"SUB OUT by BURRIS,JP",,,,,,,"SUB OUT by BURRIS,JP",1
07:10,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
07:06,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by RAYE,CRAIG",,,,,,,"REBOUND DEF by RAYE,CRAIG",1
06:52,"MISS LAYUP by RAYE,CRAIG",,,,,,,"MISS LAYUP by RAYE,CRAIG",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
06:46,,22,,24 (+2),"GOOD 3PTR by GEEGAN,MIKE",CENTRE_M 22-24 (+2),,"GOOD 3PTR by GEEGAN,MIKE",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
06:33,"MISS LAYUP by BODEWIG,JOEY",,,,,,,"MISS LAYUP by BODEWIG,JOEY",1
--,"REBOUND OFF by RAYE,CRAIG",,,,,,,"REBOUND OFF by RAYE,CRAIG",1
06:30,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",1
06:30,"SUB IN by BYRD,JAUMONEE",,,,,,,"SUB IN by BYRD,JAUMONEE",1
06:30,"SUB OUT by RAYE,CRAIG",,,,,,,"SUB OUT by RAYE,CRAIG",1
06:30,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
06:30,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
06:30,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
06:30,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
06:17,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
06:17,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
06:17,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
06:16,"MISS 3PTR by BUTLER,OSCAR",,,,,,,"MISS 3PTR by BUTLER,OSCAR",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
06:13,"FOUL  by SHOFFNER,SPENCER",,,,,,,"FOUL  by SHOFFNER,SPENCER",1
06:13,,22,,25 (+3),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 22-25 (+3),,"GOOD FT by WHITESIDE,DONOVAN",1
06:13,,22,,26 (+4),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 22-26 (+4),,"GOOD FT by WHITESIDE,DONOVAN",1
05:57,"MISS JUMPER by FORD,CHRISTIAN",,,,,,,"MISS JUMPER by FORD,CHRISTIAN",1
--,"REBOUND OFF by BODEWIG,JOEY",,,,,,,"REBOUND OFF by BODEWIG,JOEY",1
05:45,"MISS LAYUP by BYRD,JAUMONEE",,,,,,,"MISS LAYUP by BYRD,JAUMONEE",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
05:35,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
05:35,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
05:35,"SUB IN by GEE,AUSTIN",,,,,,,"SUB IN by GEE,AUSTIN",1
05:35,"SUB OUT by FORD,CHRISTIAN",,,,,,,"SUB OUT by FORD,CHRISTIAN",1
05:25,"GOOD LAYUP by BODEWIG,JOEY(in the paint)",24,,26 (+2),,MVCM 24-26 (+2),,"GOOD LAYUP by BODEWIG,JOEY(in the paint)",1
--,"ASSIST  by GEE,AUSTIN",,,,,,,"ASSIST  by GEE,AUSTIN",1
05:16,,24,,29 (+5),"GOOD 3PTR by GUMP,MATT",CENTRE_M 24-29 (+5),,"GOOD 3PTR by GUMP,MATT",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
05:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
05:01,"TURNOVER  by GEE,AUSTIN",,,,,,,"TURNOVER  by GEE,AUSTIN",1
05:01,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
04:38,,,,,"MISS JUMPER by STEGGEMAN,ANDREW",,,"MISS JUMPER by STEGGEMAN,ANDREW",1
--,"REBOUND DEF by BODEWIG,JOEY",,,,,,,"REBOUND DEF by BODEWIG,JOEY",1
04:17,"GOOD JUMPER by BODEWIG,JOEY",26,,29 (+3),,MVCM 26-29 (+3),,"GOOD JUMPER by BODEWIG,JOEY",1
04:04,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND DEF by BYRD,JAUMONEE",,,,,,,"REBOUND DEF by BYRD,JAUMONEE",1
03:55,"FOUL  by BYRD,JAUMONEE",,,,,,,"FOUL  by BYRD,JAUMONEE",1
03:55,"TURNOVER  by BYRD,JAUMONEE",,,,,,,"TURNOVER  by BYRD,JAUMONEE",1
03:55,"SUB IN by BREWER,LOGAN",,,,,,,"SUB IN by BREWER,LOGAN",1
03:55,"SUB OUT by BODEWIG,JOEY",,,,,,,"SUB OUT by BODEWIG,JOEY",1
03:55,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
03:55,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1
03:55,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
03:55,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
03:37,,26,,31 (+5),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 26-31 (+5),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
03:21,"MISS JUMPER by BYRD,JAUMONEE",,,,,,,"MISS JUMPER by BYRD,JAUMONEE",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
03:13,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by BYRD,JAUMONEE",,,,,,,"REBOUND DEF by BYRD,JAUMONEE",1
03:05,"MISS LAYUP by GEE,AUSTIN",,,,,,,"MISS LAYUP by GEE,AUSTIN",1
03:05,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:03,"SUB IN by RAYE,CRAIG",,,,,,,"SUB IN by RAYE,CRAIG",1
03:03,"SUB OUT by BUTLER,OSCAR",,,,,,,"SUB OUT by BUTLER,OSCAR",1
03:03,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
03:03,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
03:02,"MISS 3PTR by SHOFFNER,SPENCER",,,,,,,"MISS 3PTR by SHOFFNER,SPENCER",1
--,,,,,"REBOUND DEF by MURRAY,RYAN",,,"REBOUND DEF by MURRAY,RYAN",1
02:42,"FOUL  by SHOFFNER,SPENCER",,,,,,,"FOUL  by SHOFFNER,SPENCER",1
02:42,,26,,32 (+6),"GOOD FT by GUMP,MATT",CENTRE_M 26-32 (+6),,"GOOD FT by GUMP,MATT",1
02:42,,26,,33 (+7),"GOOD FT by GUMP,MATT",CENTRE_M 26-33 (+7),,"GOOD FT by GUMP,MATT",1
02:42,"SUB IN by BURRIS,JP",,,,,,,"SUB IN by BURRIS,JP",1
02:42,"SUB IN by FORD,CHRISTIAN",,,,,,,"SUB IN by FORD,CHRISTIAN",1
02:42,"SUB OUT by SHOFFNER,SPENCER",,,,,,,"SUB OUT by SHOFFNER,SPENCER",1
02:42,"SUB OUT by GEE,AUSTIN",,,,,,,"SUB OUT by GEE,AUSTIN",1
02:18,"GOOD LAYUP by BREWER,LOGAN(in the paint)",28,,33 (+5),,MVCM 28-33 (+5),,"GOOD LAYUP by BREWER,LOGAN(in the paint)",1
--,"ASSIST  by RAYE,CRAIG",,,,,,,"ASSIST  by RAYE,CRAIG",1
01:58,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by FORD,CHRISTIAN",,,,,,,"REBOUND DEF by FORD,CHRISTIAN",1
01:50,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",30,,33 (+3),,MVCM 30-33 (+3),,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",1
--,"ASSIST  by FORD,CHRISTIAN",,,,,,,"ASSIST  by FORD,CHRISTIAN",1
01:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
01:48,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
01:46,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",1
01:43,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
01:43,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
01:42,,30,,35 (+5),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 30-35 (+5),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
01:09,"MISS JUMPER by BYRD,JAUMONEE",,,,,,,"MISS JUMPER by BYRD,JAUMONEE",1
01:09,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
00:40,"FOUL  by RAYE,CRAIG",,,,,,,"FOUL  by RAYE,CRAIG",1
00:40,,30,,36 (+6),"GOOD FT by GUMP,MATT",CENTRE_M 30-36 (+6),,"GOOD FT by GUMP,MATT",1
00:40,,30,,37 (+7),"GOOD FT by GUMP,MATT",CENTRE_M 30-37 (+7),,"GOOD FT by GUMP,MATT",1
00:40,"SUB IN by SHOFFNER,SPENCER",,,,,,,"SUB IN by SHOFFNER,SPENCER",1
00:40,"SUB IN by BUTLER,OSCAR",,,,,,,"SUB IN by BUTLER,OSCAR",1
00:40,"SUB OUT by RAYE,CRAIG",,,,,,,"SUB OUT by RAYE,CRAIG",1
00:40,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",1
00:40,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
00:40,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1
00:40,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
00:40,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
00:06,"TURNOVER  by BREWER,LOGAN",,,,,,,"TURNOVER  by BREWER,LOGAN",1
00:05,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
00:01,"FOUL  by BUTLER,OSCAR",,,,,,,"FOUL  by BUTLER,OSCAR",1
00:01,,,,,"MISS FT by WHITESIDE,DONOVAN",,,"MISS FT by WHITESIDE,DONOVAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:01,,30,,38 (+8),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 30-38 (+8),,"GOOD FT by WHITESIDE,DONOVAN",1
00:01,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
00:01,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",1
19:47,"GOOD LAYUP by SHOFFNER,SPENCER(in the paint)",32,,38 (+6),,MVCM 32-38 (+6),,"GOOD LAYUP by SHOFFNER,SPENCER(in the paint)",2
19:31,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",2
