Time Remaining,CENTR,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
12:31,,8,,10 (+2),"GOOD 3PTR by FLANNERY,AUSTIN",AC 8-10 (-2),,"GOOD 3PTR by FLANNERY,AUSTIN",1
--,,,,,"ASSIST  by LAMB,KYLE",,,"ASSIST  by LAMB,KYLE",1
12:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:04,"MISS JUMPER by GEEGAN,MIKE",,,,,,,"MISS JUMPER by GEEGAN,MIKE",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
12:01,"GOOD 3PTR by KARSNER,JOSH",11 (+1),,10,,CENTR 11-10 (+1),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
11:42,,11,,13 (+2),"GOOD 3PTR by FLANNERY,AUSTIN",AC 11-13 (-2),,"GOOD 3PTR by FLANNERY,AUSTIN",1
--,,,,,"ASSIST  by LAMB,KYLE",,,"ASSIST  by LAMB,KYLE",1
11:25,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by FLANNERY,AUSTIN",,,"REBOUND DEF by FLANNERY,AUSTIN",1
11:16,,11,,15 (+4),"GOOD JUMPER by RICHARDSON,CAM(in the paint)",AC 11-15 (-4),,"GOOD JUMPER by RICHARDSON,CAM(in the paint)",1
11:16,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",1
11:16,,11,,16 (+5),"GOOD FT by RICHARDSON,CAM",AC 11-16 (-5),,"GOOD FT by RICHARDSON,CAM",1
11:16,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
11:16,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
11:03,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by LAMB,KYLE",,,"REBOUND DEF by LAMB,KYLE",1
10:57,,11,,18 (+7),"GOOD JUMPER by LAMB,KYLE(in the paint)",AC 11-18 (-7),,"GOOD JUMPER by LAMB,KYLE(in the paint)",1
10:31,"GOOD 3PTR by WHITESIDE,DONOVAN",14,,18 (+4),,CENTR 14-18 (-4),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
10:27,,,,,"TURNOVER  by PENNY,CJ",,,"TURNOVER  by PENNY,CJ",1
10:27,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
10:27,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
