Time Remaining,CNTRM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
12:56,"GOOD 3PTR by KARSNER,JOSH",38 (+19),,19,,CNTRM 38-19 (+19),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
12:47,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
12:47,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
12:47,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",2
12:37,,,,,"MISS LAYUP by BATES,ROMELLO",,,"MISS LAYUP by BATES,ROMELLO",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
12:29,,,,,"SUB IN by BATES,ROMELLO",,,"SUB IN by BATES,ROMELLO",2
12:29,,,,,"SUB OUT by DAVIS,ALEX",,,"SUB OUT by DAVIS,ALEX",2
12:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:01,"MISS JUMPER by KARSNER,JOSH",,,,,,,"MISS JUMPER by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by ROHLFS,VICTOR",,,"REBOUND DEF by ROHLFS,VICTOR",2
11:52,,38 (+17),,21,"GOOD LAYUP by SMITH,CONNOR(in the paint)",OUM 38-21 (+17),,"GOOD LAYUP by SMITH,CONNOR(in the paint)",2
11:28,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",2
11:20,,38 (+15),,23,"GOOD LAYUP by BATES,ROMELLO(in the paint)",OUM 38-23 (+15),,"GOOD LAYUP by BATES,ROMELLO(in the paint)",2
10:53,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
10:53,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
10:53,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
10:53,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",2
10:53,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
10:53,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",2
10:42,,,,,"TURNOVER  by COURSON,TYLER",,,"TURNOVER  by COURSON,TYLER",2
10:41,"STEAL  by GUMP,MATT",,,,,,,"STEAL  by GUMP,MATT",2
10:32,"MISS 3PTR by MURRAY,RYAN",,,,,,,"MISS 3PTR by MURRAY,RYAN",2
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",2
10:27,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",40 (+17),,23,,CNTRM 40-23 (+17),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
10:09,"FOUL  by MURRAY,RYAN",,,,,,,"FOUL  by MURRAY,RYAN",2
10:09,,40 (+16),,24,"GOOD FT by SMITH,CONNOR",OUM 40-24 (+16),,"GOOD FT by SMITH,CONNOR",2
10:09,,40 (+15),,25,"GOOD FT by SMITH,CONNOR",OUM 40-25 (+15),,"GOOD FT by SMITH,CONNOR",2
10:09,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",2
10:09,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",2
10:09,,,,,"SUB IN by OVERSTREET,SEAN",,,"SUB IN by OVERSTREET,SEAN",2
10:09,,,,,"SUB IN by MARCO,JOE",,,"SUB IN by MARCO,JOE",2
10:09,,,,,"SUB OUT by SMITH,CONNOR",,,"SUB OUT by SMITH,CONNOR",2
10:09,,,,,"SUB OUT by COURSON,TYLER",,,"SUB OUT by COURSON,TYLER",2
09:40,"GOOD JUMPER by WHITESIDE,DONOVAN",42 (+17),,25,,CNTRM 42-25 (+17),,"GOOD JUMPER by WHITESIDE,DONOVAN",2
09:32,,42 (+14),,28,"GOOD 3PTR by ROHLFS,VICTOR",OUM 42-28 (+14),,"GOOD 3PTR by ROHLFS,VICTOR",2
09:04,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
09:04,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
09:04,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",2
09:04,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",2
08:52,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",44 (+16),,28,,CNTRM 44-28 (+16),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",2
08:18,,44 (+14),,30,"GOOD LAYUP by BATES,ROMELLO(in the paint)",OUM 44-30 (+14),,"GOOD LAYUP by BATES,ROMELLO(in the paint)",2
07:45,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
07:42,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",2
07:42,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
07:42,,,,,"SUB IN by COURSON,TYLER",,,"SUB IN by COURSON,TYLER",2
07:42,,,,,"SUB IN by SMITH,CONNOR",,,"SUB IN by SMITH,CONNOR",2
07:42,,,,,"SUB OUT by OVERSTREET,SEAN",,,"SUB OUT by OVERSTREET,SEAN",2
07:42,,,,,"SUB OUT by MARCO,JOE",,,"SUB OUT by MARCO,JOE",2
07:20,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",2
--,,,,,"REBOUND DEF by COURSON,TYLER",,,"REBOUND DEF by COURSON,TYLER",2
07:16,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
07:16,,44 (+13),,31,"GOOD FT by COURSON,TYLER",OUM 44-31 (+13),,"GOOD FT by COURSON,TYLER",2
07:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:16,,,,,"MISS FT by COURSON,TYLER",,,"MISS FT by COURSON,TYLER",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
07:16,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",2
07:16,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",2
06:44,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
06:27,,,,,"MISS 3PTR by COURSON,TYLER",,,"MISS 3PTR by COURSON,TYLER",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
06:04,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by BATES,ROMELLO",,,"REBOUND DEF by BATES,ROMELLO",2
05:55,,,,,"MISS 3PTR by ROHLFS,VICTOR",,,"MISS 3PTR by ROHLFS,VICTOR",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
05:30,"GOOD 3PTR by WHITESIDE,DONOVAN",47 (+16),,31,,CNTRM 47-31 (+16),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",2
05:13,,47 (+13),,34,"GOOD 3PTR by BATES,ROMELLO",OUM 47-34 (+13),,"GOOD 3PTR by BATES,ROMELLO",2
--,,,,,"ASSIST  by COURSON,TYLER",,,"ASSIST  by COURSON,TYLER",2
04:39,"MISS 3PTR by MURRAY,RYAN",,,,,,,"MISS 3PTR by MURRAY,RYAN",2
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",2
04:35,,,,,"FOUL  by COURSON,TYLER",,,"FOUL  by COURSON,TYLER",2
04:35,"GOOD FT by WESLEY,TYLER",48 (+14),,34,,CNTRM 48-34 (+14),,"GOOD FT by WESLEY,TYLER",2
04:35,"GOOD FT by WESLEY,TYLER",49 (+15),,34,,CNTRM 49-34 (+15),,"GOOD FT by WESLEY,TYLER",2
04:35,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
04:35,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",2
04:35,,,,,"SUB IN by KINNEY,JORDAN",,,"SUB IN by KINNEY,JORDAN",2
04:35,,,,,"SUB IN by DAVIS,ALEX",,,"SUB IN by DAVIS,ALEX",2
04:35,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",2
04:35,,,,,"SUB OUT by BATES,ROMELLO",,,"SUB OUT by BATES,ROMELLO",2
04:14,,,,,"MISS JUMPER by DAVIS,ALEX",,,"MISS JUMPER by DAVIS,ALEX",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
03:49,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",2
--,,,,,"REBOUND DEF by KINNEY,JORDAN",,,"REBOUND DEF by KINNEY,JORDAN",2
03:35,,,,,"MISS JUMPER by ROHLFS,VICTOR",,,"MISS JUMPER by ROHLFS,VICTOR",2
03:35,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:19,,49 (+13),,36,"GOOD JUMPER by DAVIS,ALEX(in the paint)",OUM 49-36 (+13),,"GOOD JUMPER by DAVIS,ALEX(in the paint)",2
02:52,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
02:43,,49 (+10),,39,"GOOD 3PTR by SMITH,CONNOR(fastbreak)",OUM 49-39 (+10),,"GOOD 3PTR by SMITH,CONNOR(fastbreak)",2
--,,,,,"ASSIST  by DAVIS,ALEX",,,"ASSIST  by DAVIS,ALEX",2
02:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:22,,,,,"FOUL  by ROHLFS,VICTOR",,,"FOUL  by ROHLFS,VICTOR",2
02:22,"GOOD FT by WESLEY,TYLER",50 (+11),,39,,CNTRM 50-39 (+11),,"GOOD FT by WESLEY,TYLER",2
02:22,"GOOD FT by WESLEY,TYLER",51 (+12),,39,,CNTRM 51-39 (+12),,"GOOD FT by WESLEY,TYLER",2
02:22,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",2
02:22,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
02:22,,,,,"SUB IN by BATES,ROMELLO",,,"SUB IN by BATES,ROMELLO",2
02:22,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",2
02:10,,,,,"MISS LAYUP by DAVIS,ALEX",,,"MISS LAYUP by DAVIS,ALEX",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
02:00,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:00,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
02:00,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",2
01:49,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:43,,,,,"FOUL  by SMITH,CONNOR",,,"FOUL  by SMITH,CONNOR",2
01:38,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
01:38,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",2
01:38,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
01:33,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",2
--,,,,,"REBOUND OFF by ROHLFS,VICTOR",,,"REBOUND OFF by ROHLFS,VICTOR",2
01:31,,51 (+10),,41,"GOOD LAYUP by ROHLFS,VICTOR(in the paint)",OUM 51-41 (+10),,"GOOD LAYUP by ROHLFS,VICTOR(in the paint)",2
01:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:13,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",2
01:12,,,,,"STEAL  by ROHLFS,VICTOR",,,"STEAL  by ROHLFS,VICTOR",2
01:04,,,,,"TURNOVER  by ROHLFS,VICTOR",,,"TURNOVER  by ROHLFS,VICTOR",2
01:03,"STEAL  by GUMP,MATT",,,,,,,"STEAL  by GUMP,MATT",2
01:01,,,,,"FOUL  by COURSON,TYLER",,,"FOUL  by COURSON,TYLER",2
01:01,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
01:01,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",2
00:52,,,,,"FOUL  by ROHLFS,VICTOR",,,"FOUL  by ROHLFS,VICTOR",2
00:52,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
00:52,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",2
00:52,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
00:42,,51 (+8),,43,"GOOD LAYUP by COURSON,TYLER(in the paint)",OUM 51-43 (+8),,"GOOD LAYUP by COURSON,TYLER(in the paint)",2
00:39,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:39,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
00:39,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",2
00:37,,,,,"FOUL  by SMITH,CONNOR",,,"FOUL  by SMITH,CONNOR",2
00:37,"GOOD FT by GUMP,MATT",52 (+9),,43,,CNTRM 52-43 (+9),,"GOOD FT by GUMP,MATT",2
00:37,"MISS FT by GUMP,MATT",,,,,,,"MISS FT by GUMP,MATT",2
--,,,,,"REBOUND DEF by BATES,ROMELLO",,,"REBOUND DEF by BATES,ROMELLO",2
00:37,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",2
00:37,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
00:30,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
00:30,,52 (+8),,44,"GOOD FT by DAVIS,ALEX",OUM 52-44 (+8),,"GOOD FT by DAVIS,ALEX",2
00:30,,52 (+7),,45,"GOOD FT by DAVIS,ALEX",OUM 52-45 (+7),,"GOOD FT by DAVIS,ALEX",2
00:30,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
00:30,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",2
00:30,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",2
00:30,,,,,"SUB OUT by ROHLFS,VICTOR",,,"SUB OUT by ROHLFS,VICTOR",2
00:24,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",2
00:24,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",2
00:24,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
00:24,,,,,"SUB IN by ROHLFS,VICTOR",,,"SUB IN by ROHLFS,VICTOR",2
00:24,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",2
00:17,,,,,"MISS 3PTR by DAVIS,ALEX",,,"MISS 3PTR by DAVIS,ALEX",2
00:17,"BLOCK  by WHITESIDE,DONOVAN",,,,,,,"BLOCK  by WHITESIDE,DONOVAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:14,,,,,"MISS 3PTR by DAVIS,ALEX",,,"MISS 3PTR by DAVIS,ALEX",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:05,,,,,"MISS LAYUP by DAVIS,ALEX",,,"MISS LAYUP by DAVIS,ALEX",2
--,,,,,"REBOUND OFF by DAVIS,ALEX",,,"REBOUND OFF by DAVIS,ALEX",2
00:02,,52 (+5),,47,"GOOD LAYUP by DAVIS,ALEX(in the paint)",OUM 52-47 (+5),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",2
00:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:02,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
00:02,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",2
