Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
12:20,"GOOD 3PTR by WILEY,KOKI",11,,11,,Rhodes 11-11 (0),,"GOOD 3PTR by WILEY,KOKI",1
12:04,,,,,"MISS LAYUP by RYAN,JONATHAN(in the paint)",,,"MISS LAYUP by RYAN,JONATHAN(in the paint)",1
--,"REBOUND DEF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
11:40,"MISS JUMPER by GEORGETOWN II,ARNESS",,,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
11:27,,11,,13 (+2),"GOOD LAYUP by FITCH,CARL(in the paint)",Hend 11-13 (-2),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
11:18,"MISS LAYUP by CLAYTON,TJ(in the paint)",,,,,,,"MISS LAYUP by CLAYTON,TJ(in the paint)",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
11:08,,,,,"MISS 3PTR by RYAN,JONATHAN",,,"MISS 3PTR by RYAN,JONATHAN",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
10:39,"GOOD JUMPER by CLAYTON,TJ",13,,13,,Rhodes 13-13 (0),,"GOOD JUMPER by CLAYTON,TJ",1
10:26,,13,,15 (+2),"GOOD JUMPER by II,CRAIG",Hend 13-15 (-2),,"GOOD JUMPER by II,CRAIG",1
10:08,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
09:53,,13,,17 (+4),"GOOD JUMPER by II,CRAIG(in the paint)",Hend 13-17 (-4),,"GOOD JUMPER by II,CRAIG(in the paint)",1
09:42,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:42,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
09:42,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
09:42,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
