Time Remaining,WESTMO,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:16,,32,,47 (+15),"GOOD JUMPER by WILEY,KOKI(in the paint)",Rhodes 32-47 (+15),,"GOOD JUMPER by WILEY,KOKI(in the paint)",2
19:04,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",2
19:04,"GOOD FT by HARRISON,LANDON",33,,47 (+14),,WESTMO 33-47 (+14),,"GOOD FT by HARRISON,LANDON",2
19:04,"GOOD FT by HARRISON,LANDON",34,,47 (+13),,WESTMO 34-47 (+13),,"GOOD FT by HARRISON,LANDON",2
18:52,"FOUL  by ALTHAUS,JAXON",,,,,,,"FOUL  by ALTHAUS,JAXON",2
18:52,,34,,48 (+14),"GOOD FT by WALKER,JEFFERSON",Rhodes 34-48 (+14),,"GOOD FT by WALKER,JEFFERSON",2
18:52,,,,,"MISS FT by WALKER,JEFFERSON",,,"MISS FT by WALKER,JEFFERSON",2
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",2
18:47,,34,,50 (+16),"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",Rhodes 34-50 (+16),,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
18:35,"MISS 3PTR by KEMPKER,TRE",,,,,,,"MISS 3PTR by KEMPKER,TRE",2
--,"REBOUND OFF by SPRIGGS,EMIL",,,,,,,"REBOUND OFF by SPRIGGS,EMIL",2
18:23,"MISS JUMPER by ALTHAUS,JAXON(in the paint)",,,,,,,"MISS JUMPER by ALTHAUS,JAXON(in the paint)",2
18:23,,,,,"BLOCK  by WILLIAMS,JAYSON",,,"BLOCK  by WILLIAMS,JAYSON",2
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",2
18:18,"FOUL  by KEMPKER,TRE",,,,,,,"FOUL  by KEMPKER,TRE",2
18:18,,34,,51 (+17),"GOOD FT by CLAYTON,TJ(fastbreak)",Rhodes 34-51 (+17),,"GOOD FT by CLAYTON,TJ(fastbreak)",2
18:18,,34,,52 (+18),"GOOD FT by CLAYTON,TJ(fastbreak)",Rhodes 34-52 (+18),,"GOOD FT by CLAYTON,TJ(fastbreak)",2
18:00,,,,,"FOUL  by WILLIAMS,JAYSON",,,"FOUL  by WILLIAMS,JAYSON",2
18:00,"GOOD FT by SPRIGGS,EMIL",35,,52 (+17),,WESTMO 35-52 (+17),,"GOOD FT by SPRIGGS,EMIL",2
18:00,"SUB OUT by KEMPKER,TRE",,,,,,,"SUB OUT by KEMPKER,TRE",2
18:00,"SUB IN by HUBBARD,DEVONTE",,,,,,,"SUB IN by HUBBARD,DEVONTE",2
18:00,"GOOD FT by SPRIGGS,EMIL",36,,52 (+16),,WESTMO 36-52 (+16),,"GOOD FT by SPRIGGS,EMIL",2
17:47,,,,,"TURNOVER  by CLAYTON,TJ",,,"TURNOVER  by CLAYTON,TJ",2
17:47,"STEAL  by GALBREATH,MAKYGH",,,,,,,"STEAL  by GALBREATH,MAKYGH",2
17:32,"MISS JUMPER by ALTHAUS,JAXON(in the paint)",,,,,,,"MISS JUMPER by ALTHAUS,JAXON(in the paint)",2
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",2
17:27,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",2
17:27,"STEAL  by HUBBARD,DEVONTE",,,,,,,"STEAL  by HUBBARD,DEVONTE",2
17:23,"GOOD JUMPER by HARRISON,LANDON",38,,52 (+14),,WESTMO 38-52 (+14),,"GOOD JUMPER by HARRISON,LANDON",2
17:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:22,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
17:22,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",2
17:22,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",2
17:00,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",2
17:00,"STEAL  by HARRISON,LANDON",,,,,,,"STEAL  by HARRISON,LANDON",2
16:56,"FOUL  by HARRISON,LANDON",,,,,,,"FOUL  by HARRISON,LANDON",2
16:56,"TURNOVER  by HARRISON,LANDON",,,,,,,"TURNOVER  by HARRISON,LANDON",2
16:56,,,,,"SUB OUT by CLAYTON,TJ",,,"SUB OUT by CLAYTON,TJ",2
16:56,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",2
16:44,,38,,54 (+16),"GOOD JUMPER by WILEY,KOKI(in the paint)",Rhodes 38-54 (+16),,"GOOD JUMPER by WILEY,KOKI(in the paint)",2
16:26,"MISS LAYUP by SPRIGGS,EMIL(in the paint)",,,,,,,"MISS LAYUP by SPRIGGS,EMIL(in the paint)",2
--,,,,,"REBOUND DEF by WALKER,JEFFERSON",,,"REBOUND DEF by WALKER,JEFFERSON",2
16:26,,,,,"BLOCK  by WALKER,JEFFERSON",,,"BLOCK  by WALKER,JEFFERSON",2
16:14,,,,,"TURNOVER  by WILLIAMS,ZAVIEN",,,"TURNOVER  by WILLIAMS,ZAVIEN",2
16:14,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",2
16:14,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",2
16:14,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",2
16:14,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",2
15:54,"TURNOVER  by SPRIGGS,EMIL",,,,,,,"TURNOVER  by SPRIGGS,EMIL",2
15:54,,,,,"STEAL  by WILEY,KOKI",,,"STEAL  by WILEY,KOKI",2
15:48,"FOUL  by GALBREATH,MAKYGH",,,,,,,"FOUL  by GALBREATH,MAKYGH",2
15:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:48,"SUB OUT by SPRIGGS,EMIL",,,,,,,"SUB OUT by SPRIGGS,EMIL",2
15:48,"SUB IN by JEFFRIES,BRENNAN",,,,,,,"SUB IN by JEFFRIES,BRENNAN",2
15:48,,,,,"MISS FT by SHEN,KEVIN(fastbreak)",,,"MISS FT by SHEN,KEVIN(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:48,,38,,55 (+17),"GOOD FT by SHEN,KEVIN(fastbreak)",Rhodes 38-55 (+17),,"GOOD FT by SHEN,KEVIN(fastbreak)",2
15:39,"MISS JUMPER by HARRISON,LANDON",,,,,,,"MISS JUMPER by HARRISON,LANDON",2
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",2
15:27,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",2
15:27,"STEAL  by GALBREATH,MAKYGH",,,,,,,"STEAL  by GALBREATH,MAKYGH",2
15:23,"GOOD JUMPER by JEFFRIES,BRENNAN(fastbreak)(in the paint)",40,,55 (+15),,WESTMO 40-55 (+15),,"GOOD JUMPER by JEFFRIES,BRENNAN(fastbreak)(in the paint)",2
15:09,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",2
--,"REBOUND DEF by HUBBARD,DEVONTE",,,,,,,"REBOUND DEF by HUBBARD,DEVONTE",2
14:36,"MISS LAYUP by ALTHAUS,JAXON(in the paint)",,,,,,,"MISS LAYUP by ALTHAUS,JAXON(in the paint)",2
--,"REBOUND OFF by ALTHAUS,JAXON",,,,,,,"REBOUND OFF by ALTHAUS,JAXON",2
14:31,"GOOD LAYUP by ALTHAUS,JAXON(in the paint)",42,,55 (+13),,WESTMO 42-55 (+13),,"GOOD LAYUP by ALTHAUS,JAXON(in the paint)",2
14:20,,,,,"MISS JUMPER by ESSICK,JALEN(in the paint)",,,"MISS JUMPER by ESSICK,JALEN(in the paint)",2
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",2
14:18,"FOUL  by HUBBARD,DEVONTE",,,,,,,"FOUL  by HUBBARD,DEVONTE",2
14:18,,42,,56 (+14),"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 42-56 (+14),,"GOOD FT by GEORGETOWN II,ARNESS",2
14:18,"SUB OUT by HARRISON,LANDON",,,,,,,"SUB OUT by HARRISON,LANDON",2
14:18,"SUB IN by WILLIAMS,COBY",,,,,,,"SUB IN by WILLIAMS,COBY",2
14:18,,42,,57 (+15),"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 42-57 (+15),,"GOOD FT by GEORGETOWN II,ARNESS",2
13:49,"TURNOVER  by ALTHAUS,JAXON",,,,,,,"TURNOVER  by ALTHAUS,JAXON",2
13:49,,,,,"STEAL  by JAMES,MAC",,,"STEAL  by JAMES,MAC",2
13:42,,42,,59 (+17),"GOOD JUMPER by ESSICK,JALEN(fastbreak)(in the paint)",Rhodes 42-59 (+17),,"GOOD JUMPER by ESSICK,JALEN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",2
13:24,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",2
13:24,"GOOD FT by JEFFRIES,BRENNAN",43,,59 (+16),,WESTMO 43-59 (+16),,"GOOD FT by JEFFRIES,BRENNAN",2
13:24,"SUB OUT by ALTHAUS,JAXON",,,,,,,"SUB OUT by ALTHAUS,JAXON",2
13:24,"SUB IN by THOMPSON,ETHAN",,,,,,,"SUB IN by THOMPSON,ETHAN",2
13:24,"GOOD FT by JEFFRIES,BRENNAN",44,,59 (+15),,WESTMO 44-59 (+15),,"GOOD FT by JEFFRIES,BRENNAN",2
13:09,,,,,"TURNOVER  by JAMES,MAC",,,"TURNOVER  by JAMES,MAC",2
12:49,"MISS JUMPER by JEFFRIES,BRENNAN(in the paint)",,,,,,,"MISS JUMPER by JEFFRIES,BRENNAN(in the paint)",2
--,"REBOUND OFF by HUBBARD,DEVONTE",,,,,,,"REBOUND OFF by HUBBARD,DEVONTE",2
12:45,"MISS LAYUP by HUBBARD,DEVONTE(in the paint)",,,,,,,"MISS LAYUP by HUBBARD,DEVONTE(in the paint)",2
12:45,,,,,"BLOCK  by ESSICK,JALEN",,,"BLOCK  by ESSICK,JALEN",2
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",2
12:35,"FOUL  by THOMPSON,ETHAN",,,,,,,"FOUL  by THOMPSON,ETHAN",2
12:35,,44,,60 (+16),"GOOD FT by WILEY,KOKI",Rhodes 44-60 (+16),,"GOOD FT by WILEY,KOKI",2
12:35,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",2
12:35,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",2
12:35,,44,,61 (+17),"GOOD FT by WILEY,KOKI",Rhodes 44-61 (+17),,"GOOD FT by WILEY,KOKI",2
12:35,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",2
12:35,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",2
12:10,,,,,"FOUL  by SHEN,KEVIN",,,"FOUL  by SHEN,KEVIN",2
12:10,"MISS FT by HUBBARD,DEVONTE",,,,,,,"MISS FT by HUBBARD,DEVONTE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:10,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",2
12:10,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",2
12:10,"SUB OUT by GALBREATH,MAKYGH",,,,,,,"SUB OUT by GALBREATH,MAKYGH",2
12:10,"SUB IN by EBERLIN,BEN",,,,,,,"SUB IN by EBERLIN,BEN",2
12:10,"MISS FT by HUBBARD,DEVONTE",,,,,,,"MISS FT by HUBBARD,DEVONTE",2
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",2
12:00,,44,,64 (+20),"GOOD 3PTR by ESSICK,JALEN",Rhodes 44-64 (+20),,"GOOD 3PTR by ESSICK,JALEN",2
--,,,,,"ASSIST  by GEORGETOWN II,ARNESS",,,"ASSIST  by GEORGETOWN II,ARNESS",2
11:34,"GOOD JUMPER by EBERLIN,BEN(in the paint)",46,,64 (+18),,WESTMO 46-64 (+18),,"GOOD JUMPER by EBERLIN,BEN(in the paint)",2
--,"ASSIST  by WILLIAMS,COBY",,,,,,,"ASSIST  by WILLIAMS,COBY",2
11:07,"FOUL  by EBERLIN,BEN",,,,,,,"FOUL  by EBERLIN,BEN",2
11:07,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:07,,46,,65 (+19),"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 46-65 (+19),,"GOOD FT by GEORGETOWN II,ARNESS",2
11:07,,46,,66 (+20),"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 46-66 (+20),,"GOOD FT by GEORGETOWN II,ARNESS",2
10:48,"GOOD LAYUP by EBERLIN,BEN(in the paint)",48,,66 (+18),,WESTMO 48-66 (+18),,"GOOD LAYUP by EBERLIN,BEN(in the paint)",2
--,"ASSIST  by THOMPSON,ETHAN",,,,,,,"ASSIST  by THOMPSON,ETHAN",2
10:38,,48,,69 (+21),"GOOD 3PTR by LAMEY,HAYDEN(fastbreak)",Rhodes 48-69 (+21),,"GOOD 3PTR by LAMEY,HAYDEN(fastbreak)",2
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",2
10:21,"FOUL  by HUBBARD,DEVONTE",,,,,,,"FOUL  by HUBBARD,DEVONTE",2
10:21,"TURNOVER  by HUBBARD,DEVONTE",,,,,,,"TURNOVER  by HUBBARD,DEVONTE",2
10:08,,,,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",2
--,"REBOUND DEF by EBERLIN,BEN",,,,,,,"REBOUND DEF by EBERLIN,BEN",2
09:56,,,,,"FOUL  by LAMEY,HAYDEN",,,"FOUL  by LAMEY,HAYDEN",2
09:56,"SUB OUT by HUBBARD,DEVONTE",,,,,,,"SUB OUT by HUBBARD,DEVONTE",2
09:56,"SUB IN by COMBS,CADE",,,,,,,"SUB IN by COMBS,CADE",2
09:48,"MISS 3PTR by WILLIAMS,COBY",,,,,,,"MISS 3PTR by WILLIAMS,COBY",2
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",2
09:40,,48,,72 (+24),"GOOD 3PTR by LAMEY,HAYDEN(fastbreak)",Rhodes 48-72 (+24),,"GOOD 3PTR by LAMEY,HAYDEN(fastbreak)",2
--,,,,,"ASSIST  by WHITE,ELIJAH",,,"ASSIST  by WHITE,ELIJAH",2
09:25,"TURNOVER  by JEFFRIES,BRENNAN",,,,,,,"TURNOVER  by JEFFRIES,BRENNAN",2
09:25,,,,,"STEAL  by WALKER,JEFFERSON",,,"STEAL  by WALKER,JEFFERSON",2
09:13,"FOUL  by EBERLIN,BEN",,,,,,,"FOUL  by EBERLIN,BEN",2
09:13,,48,,73 (+25),"GOOD FT by ESSICK,JALEN",Rhodes 48-73 (+25),,"GOOD FT by ESSICK,JALEN",2
09:13,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
09:13,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",2
09:13,,,,,"SUB IN by COOK,JEREMIAH",,,"SUB IN by COOK,JEREMIAH",2
09:13,,48,,74 (+26),"GOOD FT by ESSICK,JALEN",Rhodes 48-74 (+26),,"GOOD FT by ESSICK,JALEN",2
08:50,"MISS 3PTR by THOMPSON,ETHAN",,,,,,,"MISS 3PTR by THOMPSON,ETHAN",2
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",2
08:39,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",2
--,"REBOUND DEF by COMBS,CADE",,,,,,,"REBOUND DEF by COMBS,CADE",2
08:37,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",2
08:25,"MISS JUMPER by WILLIAMS,COBY(in the paint)",,,,,,,"MISS JUMPER by WILLIAMS,COBY(in the paint)",2
--,,,,,"REBOUND DEF by COOK,JEREMIAH",,,"REBOUND DEF by COOK,JEREMIAH",2
08:14,,48,,76 (+28),"GOOD JUMPER by COOK,JEREMIAH",Rhodes 48-76 (+28),,"GOOD JUMPER by COOK,JEREMIAH",2
07:51,"MISS JUMPER by EBERLIN,BEN(in the paint)",,,,,,,"MISS JUMPER by EBERLIN,BEN(in the paint)",2
--,,,,,"REBOUND DEF by COOK,JEREMIAH",,,"REBOUND DEF by COOK,JEREMIAH",2
07:39,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",2
--,"REBOUND DEF by EBERLIN,BEN",,,,,,,"REBOUND DEF by EBERLIN,BEN",2
07:31,"TURNOVER  by EBERLIN,BEN",,,,,,,"TURNOVER  by EBERLIN,BEN",2
07:31,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",2
07:31,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",2
07:31,,,,,"SUB IN by WILLIAMS,JAYSON",,,"SUB IN by WILLIAMS,JAYSON",2
07:31,,,,,"SUB IN by CLAYTON,TJ",,,"SUB IN by CLAYTON,TJ",2
07:31,"SUB OUT by COMBS,CADE",,,,,,,"SUB OUT by COMBS,CADE",2
07:31,"SUB OUT by THOMPSON,ETHAN",,,,,,,"SUB OUT by THOMPSON,ETHAN",2
07:31,"SUB OUT by JEFFRIES,BRENNAN",,,,,,,"SUB OUT by JEFFRIES,BRENNAN",2
07:31,"SUB IN by HARRISON,LANDON",,,,,,,"SUB IN by HARRISON,LANDON",2
07:31,"SUB IN by ALTHAUS,JAXON",,,,,,,"SUB IN by ALTHAUS,JAXON",2
07:31,"SUB IN by KEMPKER,TRE",,,,,,,"SUB IN by KEMPKER,TRE",2
07:15,,48,,79 (+31),"GOOD 3PTR by LAMEY,HAYDEN",Rhodes 48-79 (+31),,"GOOD 3PTR by LAMEY,HAYDEN",2
--,,,,,"ASSIST  by WHITE,ELIJAH",,,"ASSIST  by WHITE,ELIJAH",2
06:55,"MISS 3PTR by ALTHAUS,JAXON",,,,,,,"MISS 3PTR by ALTHAUS,JAXON",2
--,,,,,"REBOUND DEF by CLAYTON,TJ",,,"REBOUND DEF by CLAYTON,TJ",2
06:46,,,,,"MISS 3PTR by WHITE,ELIJAH",,,"MISS 3PTR by WHITE,ELIJAH",2
--,,,,,"REBOUND OFF by CLAYTON,TJ",,,"REBOUND OFF by CLAYTON,TJ",2
06:44,,48,,81 (+33),"GOOD LAYUP by CLAYTON,TJ(fastbreak)(in the paint)",Rhodes 48-81 (+33),,"GOOD LAYUP by CLAYTON,TJ(fastbreak)(in the paint)",2
06:42,"FOUL  by EBERLIN,BEN",,,,,,,"FOUL  by EBERLIN,BEN",2
06:42,,48,,82 (+34),"GOOD FT by CLAYTON,TJ(fastbreak)",Rhodes 48-82 (+34),,"GOOD FT by CLAYTON,TJ(fastbreak)",2
06:24,,,,,"FOUL  by WHITE,ELIJAH",,,"FOUL  by WHITE,ELIJAH",2
06:24,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",2
06:24,,,,,"SUB IN by AESCHLIMAN,SETH",,,"SUB IN by AESCHLIMAN,SETH",2
06:24,"GOOD FT by EBERLIN,BEN",49,,82 (+33),,WESTMO 49-82 (+33),,"GOOD FT by EBERLIN,BEN",2
06:24,"MISS FT by EBERLIN,BEN",,,,,,,"MISS FT by EBERLIN,BEN",2
--,,,,,"REBOUND DEF by WHITE,ELIJAH",,,"REBOUND DEF by WHITE,ELIJAH",2
06:14,,,,,"MISS 3PTR by AESCHLIMAN,SETH",,,"MISS 3PTR by AESCHLIMAN,SETH",2
--,"REBOUND DEF by KEMPKER,TRE",,,,,,,"REBOUND DEF by KEMPKER,TRE",2
06:11,,,,,"FOUL  by CLAYTON,TJ",,,"FOUL  by CLAYTON,TJ",2
06:11,"GOOD FT by KEMPKER,TRE",50,,82 (+32),,WESTMO 50-82 (+32),,"GOOD FT by KEMPKER,TRE",2
06:11,"GOOD FT by KEMPKER,TRE",51,,82 (+31),,WESTMO 51-82 (+31),,"GOOD FT by KEMPKER,TRE",2
05:58,,,,,"MISS 3PTR by CLAYTON,TJ",,,"MISS 3PTR by CLAYTON,TJ",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
05:36,,,,,"FOUL  by CLAYTON,TJ",,,"FOUL  by CLAYTON,TJ",2
05:36,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",2
05:36,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",2
05:36,"GOOD FT by KEMPKER,TRE",52,,82 (+30),,WESTMO 52-82 (+30),,"GOOD FT by KEMPKER,TRE",2
05:36,"SUB OUT by WILLIAMS,COBY",,,,,,,"SUB OUT by WILLIAMS,COBY",2
05:36,"SUB OUT by HARRISON,LANDON",,,,,,,"SUB OUT by HARRISON,LANDON",2
05:36,"SUB OUT by ALTHAUS,JAXON",,,,,,,"SUB OUT by ALTHAUS,JAXON",2
05:36,"SUB OUT by EBERLIN,BEN",,,,,,,"SUB OUT by EBERLIN,BEN",2
05:36,"SUB IN by GREEN,MANNY",,,,,,,"SUB IN by GREEN,MANNY",2
05:36,"SUB IN by MAASSEN,CALEB",,,,,,,"SUB IN by MAASSEN,CALEB",2
05:36,"SUB IN by COMBS,CADE",,,,,,,"SUB IN by COMBS,CADE",2
05:36,"SUB IN by WEBB,ADRIAN",,,,,,,"SUB IN by WEBB,ADRIAN",2
05:36,"GOOD FT by KEMPKER,TRE",53,,82 (+29),,WESTMO 53-82 (+29),,"GOOD FT by KEMPKER,TRE",2
05:36,,,,,"SUB OUT by CLAYTON,TJ",,,"SUB OUT by CLAYTON,TJ",2
05:36,,,,,"SUB IN by WILLIAMS,JAYSON",,,"SUB IN by WILLIAMS,JAYSON",2
05:36,"SUB OUT by KEMPKER,TRE",,,,,,,"SUB OUT by KEMPKER,TRE",2
05:36,"SUB IN by ALLEN,DEXTER",,,,,,,"SUB IN by ALLEN,DEXTER",2
05:23,,53,,84 (+31),"GOOD LAYUP by WILLIAMS,JAYSON(in the paint)",Rhodes 53-84 (+31),,"GOOD LAYUP by WILLIAMS,JAYSON(in the paint)",2
05:06,"GOOD 3PTR by COMBS,CADE",56,,84 (+28),,WESTMO 56-84 (+28),,"GOOD 3PTR by COMBS,CADE",2
04:41,,,,,"MISS LAYUP by WILLIAMS,JAYSON(in the paint)",,,"MISS LAYUP by WILLIAMS,JAYSON(in the paint)",2
04:41,"BLOCK  by COMBS,CADE",,,,,,,"BLOCK  by COMBS,CADE",2
--,,,,,"REBOUND OFF by WILLIAMS,JAYSON",,,"REBOUND OFF by WILLIAMS,JAYSON",2
04:14,,,,,"TURNOVER  by WHITE,ELIJAH",,,"TURNOVER  by WHITE,ELIJAH",2
03:55,"TURNOVER  by ALLEN,DEXTER",,,,,,,"TURNOVER  by ALLEN,DEXTER",2
03:55,,,,,"STEAL  by COOK,JEREMIAH",,,"STEAL  by COOK,JEREMIAH",2
03:52,,56,,86 (+30),"GOOD JUMPER by COOK,JEREMIAH(fastbreak)(in the paint)",Rhodes 56-86 (+30),,"GOOD JUMPER by COOK,JEREMIAH(fastbreak)(in the paint)",2
03:18,"MISS 3PTR by ALLEN,DEXTER",,,,,,,"MISS 3PTR by ALLEN,DEXTER",2
--,,,,,"REBOUND DEF by COOK,JEREMIAH",,,"REBOUND DEF by COOK,JEREMIAH",2
03:01,,,,,"MISS 3PTR by WHITE,ELIJAH",,,"MISS 3PTR by WHITE,ELIJAH",2
--,,,,,"REBOUND OFF by WILLIAMS,JAYSON",,,"REBOUND OFF by WILLIAMS,JAYSON",2
02:53,,56,,89 (+33),"GOOD 3PTR by WILLIAMS,ZAVIEN",Rhodes 56-89 (+33),,"GOOD 3PTR by WILLIAMS,ZAVIEN",2
--,,,,,"ASSIST  by WILLIAMS,JAYSON",,,"ASSIST  by WILLIAMS,JAYSON",2
02:52,"FOUL  by ALLEN,DEXTER",,,,,,,"FOUL  by ALLEN,DEXTER",2
02:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
02:52,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",2
02:52,,,,,"SUB IN by O'BRIEN,KRIS",,,"SUB IN by O'BRIEN,KRIS",2
02:52,,56,,90 (+34),"GOOD FT by WILLIAMS,ZAVIEN",Rhodes 56-90 (+34),,"GOOD FT by WILLIAMS,ZAVIEN",2
02:40,"GOOD 3PTR by ALLEN,DEXTER",59,,90 (+31),,WESTMO 59-90 (+31),,"GOOD 3PTR by ALLEN,DEXTER",2
02:16,,,,,"MISS JUMPER by COOK,JEREMIAH(in the paint)",,,"MISS JUMPER by COOK,JEREMIAH(in the paint)",2
--,"REBOUND DEF by COMBS,CADE",,,,,,,"REBOUND DEF by COMBS,CADE",2
02:09,"GOOD LAYUP by MAASSEN,CALEB(fastbreak)(in the paint)",61,,90 (+29),,WESTMO 61-90 (+29),,"GOOD LAYUP by MAASSEN,CALEB(fastbreak)(in the paint)",2
--,"ASSIST  by WEBB,ADRIAN",,,,,,,"ASSIST  by WEBB,ADRIAN",2
01:43,,61,,92 (+31),"GOOD JUMPER by WHITE,ELIJAH(in the paint)",Rhodes 61-92 (+31),,"GOOD JUMPER by WHITE,ELIJAH(in the paint)",2
01:23,"MISS 3PTR by ALLEN,DEXTER",,,,,,,"MISS 3PTR by ALLEN,DEXTER",2
--,,,,,"REBOUND DEF by AESCHLIMAN,SETH",,,"REBOUND DEF by AESCHLIMAN,SETH",2
00:53,,,,,"MISS JUMPER by WHITE,ELIJAH",,,"MISS JUMPER by WHITE,ELIJAH",2
--,"REBOUND DEF by MAASSEN,CALEB",,,,,,,"REBOUND DEF by MAASSEN,CALEB",2
00:46,"GOOD JUMPER by ALLEN,DEXTER(fastbreak)(in the paint)",63,,92 (+29),,WESTMO 63-92 (+29),,"GOOD JUMPER by ALLEN,DEXTER(fastbreak)(in the paint)",2
00:09,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
00:01,"GOOD JUMPER by GREEN,MANNY(in the paint)",65,,92 (+27),,WESTMO 65-92 (+27),,"GOOD JUMPER by GREEN,MANNY(in the paint)",2
