Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
11:17,"SUB OUT by CAMPBELL,BLAKE",,,,,,,"SUB OUT by CAMPBELL,BLAKE",1
11:17,"SUB OUT by BENHAM,BRAXTON",,,,,,,"SUB OUT by BENHAM,BRAXTON",1
11:17,"SUB IN by CRAFT,JAKE",,,,,,,"SUB IN by CRAFT,JAKE",1
11:17,"SUB IN by JOHNSON,MICHAEL",,,,,,,"SUB IN by JOHNSON,MICHAEL",1
10:52,"GOOD JUMPER by COSTAS,RILEY(in the paint)",18 (+14),,4,,Berry 18-4 (-14),,"GOOD JUMPER by COSTAS,RILEY(in the paint)",1
10:33,,,,,"FOUL  by FITZGERALD,DAVID",,,"FOUL  by FITZGERALD,DAVID",1
10:33,,,,,"TURNOVER  by FITZGERALD,DAVID",,,"TURNOVER  by FITZGERALD,DAVID",1
10:33,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
10:33,,,,,"SUB OUT by COOK,JEREMIAH",,,"SUB OUT by COOK,JEREMIAH",1
10:33,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
10:33,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
10:23,"GOOD LAYUP by SEGALL,RYAN(in the paint)",20 (+16),,4,,Berry 20-4 (-16),,"GOOD LAYUP by SEGALL,RYAN(in the paint)",1
09:59,,,,,"MISS LAYUP by WILLIAMS,JAYSON(in the paint)",,,"MISS LAYUP by WILLIAMS,JAYSON(in the paint)",1
09:59,"BLOCK  by SEGALL,RYAN",,,,,,,"BLOCK  by SEGALL,RYAN",1
--,,,,,"REBOUND OFF by CLAYTON,TJ",,,"REBOUND OFF by CLAYTON,TJ",1
09:51,,,,,"TURNOVER  by JAMES,MAC",,,"TURNOVER  by JAMES,MAC",1
09:43,"GOOD 3PTR by HONROTH,OWEN",23 (+19),,4,,Berry 23-4 (-19),,"GOOD 3PTR by HONROTH,OWEN",1
--,"ASSIST  by COSTAS,RILEY",,,,,,,"ASSIST  by COSTAS,RILEY",1
09:19,"FOUL  by SEGALL,RYAN",,,,,,,"FOUL  by SEGALL,RYAN",1
09:19,,23 (+18),,5,"GOOD FT by CLAYTON,TJ",Rhodes 23-5 (-18),,"GOOD FT by CLAYTON,TJ",1
09:19,"SUB OUT by CRAFT,JAKE",,,,,,,"SUB OUT by CRAFT,JAKE",1
09:19,"SUB OUT by SEGALL,RYAN",,,,,,,"SUB OUT by SEGALL,RYAN",1
09:19,"SUB IN by ELLIS,CHASE",,,,,,,"SUB IN by ELLIS,CHASE",1
09:19,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",1
09:19,,23 (+17),,6,"GOOD FT by CLAYTON,TJ",Rhodes 23-6 (-17),,"GOOD FT by CLAYTON,TJ",1
