Time Remaining,WU,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
12:55,"SUB IN by HARDY,JUSTIN",,,,,,,"SUB IN by HARDY,JUSTIN",1
12:28,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",1
12:28,"GOOD FT by HARDY,JUSTIN",6,,10 (+4),,WU 6-10 (+4),,"GOOD FT by HARDY,JUSTIN",1
12:28,"SUB OUT by GONZALO,MATT",,,,,,,"SUB OUT by GONZALO,MATT",1
12:28,"SUB OUT by WOLF,JAKE",,,,,,,"SUB OUT by WOLF,JAKE",1
12:28,"SUB IN by DOYLE,HAYDEN",,,,,,,"SUB IN by DOYLE,HAYDEN",1
12:28,"SUB IN by DAVET,KEVIN",,,,,,,"SUB IN by DAVET,KEVIN",1
12:28,"GOOD FT by HARDY,JUSTIN",7,,10 (+3),,WU 7-10 (+3),,"GOOD FT by HARDY,JUSTIN",1
12:14,,7,,13 (+6),"GOOD 3PTR by ESSICK,JALEN",Rhodes 7-13 (+6),,"GOOD 3PTR by ESSICK,JALEN",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
11:53,"MISS 3PTR by DOYLE,HAYDEN",,,,,,,"MISS 3PTR by DOYLE,HAYDEN",1
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",1
11:48,,,,,"MISS JUMPER by ESSICK,JALEN",,,"MISS JUMPER by ESSICK,JALEN",1
--,"REBOUND DEF by HARDY,JUSTIN",,,,,,,"REBOUND DEF by HARDY,JUSTIN",1
11:26,,,,,"FOUL  by GEORGETOWN II,ARNESS",,,"FOUL  by GEORGETOWN II,ARNESS",1
11:26,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:26,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
11:26,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
11:26,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
11:26,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
11:26,"GOOD FT by DAVET,KEVIN",8,,13 (+5),,WU 8-13 (+5),,"GOOD FT by DAVET,KEVIN",1
11:26,"GOOD FT by DAVET,KEVIN",9,,13 (+4),,WU 9-13 (+4),,"GOOD FT by DAVET,KEVIN",1
11:16,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",1
--,"REBOUND DEF by DOYLE,HAYDEN",,,,,,,"REBOUND DEF by DOYLE,HAYDEN",1
10:54,"MISS JUMPER by DAVET,KEVIN(in the paint)",,,,,,,"MISS JUMPER by DAVET,KEVIN(in the paint)",1
--,"REBOUND OFF by DOYLE,HAYDEN",,,,,,,"REBOUND OFF by DOYLE,HAYDEN",1
10:48,"GOOD JUMPER by NOLAN,JACK(in the paint)",11,,13 (+2),,WU 11-13 (+2),,"GOOD JUMPER by NOLAN,JACK(in the paint)",1
10:30,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",1
--,"REBOUND DEF by DOYLE,HAYDEN",,,,,,,"REBOUND DEF by DOYLE,HAYDEN",1
10:25,"GOOD 3PTR by HARDY,JUSTIN(fastbreak)",14 (+1),,13,,WU 14-13 (-1),,"GOOD 3PTR by HARDY,JUSTIN(fastbreak)",1
--,"ASSIST  by DOYLE,HAYDEN",,,,,,,"ASSIST  by DOYLE,HAYDEN",1
10:01,,,,,"MISS 3PTR by SHEN,KEVIN",,,"MISS 3PTR by SHEN,KEVIN",1
--,"REBOUND DEF by HARDY,JUSTIN",,,,,,,"REBOUND DEF by HARDY,JUSTIN",1
09:39,"TURNOVER  by HARDY,JUSTIN",,,,,,,"TURNOVER  by HARDY,JUSTIN",1
09:39,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
09:39,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",1
09:39,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
09:39,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
09:39,"SUB OUT by DOYLE,HAYDEN",,,,,,,"SUB OUT by DOYLE,HAYDEN",1
09:39,"SUB OUT by WINDLEY,DAVID",,,,,,,"SUB OUT by WINDLEY,DAVID",1
09:39,"SUB IN by GONZALO,MATT",,,,,,,"SUB IN by GONZALO,MATT",1
09:39,"SUB IN by JACOB,CHARLIE",,,,,,,"SUB IN by JACOB,CHARLIE",1
09:23,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
09:23,"SUB OUT by HARDY,JUSTIN",,,,,,,"SUB OUT by HARDY,JUSTIN",1
09:23,"SUB IN by KINDSVATER,DRAKE",,,,,,,"SUB IN by KINDSVATER,DRAKE",1
09:10,"GOOD JUMPER by NOLAN,JACK",16 (+3),,13,,WU 16-13 (-3),,"GOOD JUMPER by NOLAN,JACK",1
08:47,,,,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",1
08:47,"BLOCK  by KINDSVATER,DRAKE",,,,,,,"BLOCK  by KINDSVATER,DRAKE",1
--,,,,,"REBOUND OFF by WALKER,JEFFERSON",,,"REBOUND OFF by WALKER,JEFFERSON",1
08:34,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
08:34,"STEAL  by GONZALO,MATT",,,,,,,"STEAL  by GONZALO,MATT",1
08:29,"GOOD JUMPER by KINDSVATER,DRAKE(fastbreak)(in the paint)",18 (+5),,13,,WU 18-13 (-5),,"GOOD JUMPER by KINDSVATER,DRAKE(fastbreak)(in the paint)",1
--,"ASSIST  by GONZALO,MATT",,,,,,,"ASSIST  by GONZALO,MATT",1
08:29,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
08:29,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
08:29,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",1
08:15,"FOUL  by NOLAN,JACK",,,,,,,"FOUL  by NOLAN,JACK",1
08:07,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",,,"MISS JUMPER by GEORGETOWN II,ARNESS",1
--,"REBOUND DEF by KINDSVATER,DRAKE",,,,,,,"REBOUND DEF by KINDSVATER,DRAKE",1
08:00,"MISS LAYUP by GONZALO,MATT(in the paint)",,,,,,,"MISS LAYUP by GONZALO,MATT(in the paint)",1
08:00,,,,,"BLOCK  by WALKER,JEFFERSON",,,"BLOCK  by WALKER,JEFFERSON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:00,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
08:00,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
08:00,,,,,"SUB IN by WILLIAMS,JAYSON",,,"SUB IN by WILLIAMS,JAYSON",1
08:00,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
07:48,"MISS 3PTR by GONZALO,MATT",,,,,,,"MISS 3PTR by GONZALO,MATT",1
--,"REBOUND OFF by JACOB,CHARLIE",,,,,,,"REBOUND OFF by JACOB,CHARLIE",1
07:32,"GOOD 3PTR by GONZALO,MATT",21 (+8),,13,,WU 21-13 (-8),,"GOOD 3PTR by GONZALO,MATT",1
--,"ASSIST  by KINDSVATER,DRAKE",,,,,,,"ASSIST  by KINDSVATER,DRAKE",1
07:00,,,,,"MISS JUMPER by WILLIAMS,ZAVIEN",,,"MISS JUMPER by WILLIAMS,ZAVIEN",1
--,"REBOUND DEF by KINDSVATER,DRAKE",,,,,,,"REBOUND DEF by KINDSVATER,DRAKE",1
06:52,"GOOD JUMPER by NOLAN,JACK(fastbreak)",23 (+10),,13,,WU 23-13 (-10),,"GOOD JUMPER by NOLAN,JACK(fastbreak)",1
06:34,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
06:34,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
06:34,,,,,"SUB IN by CLAYTON,TJ",,,"SUB IN by CLAYTON,TJ",1
06:34,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
06:34,"SUB OUT by NOLAN,JACK",,,,,,,"SUB OUT by NOLAN,JACK",1
06:34,"SUB OUT by DAVET,KEVIN",,,,,,,"SUB OUT by DAVET,KEVIN",1
06:34,"SUB IN by DOYLE,HAYDEN",,,,,,,"SUB IN by DOYLE,HAYDEN",1
06:34,"SUB IN by WOLF,JAKE",,,,,,,"SUB IN by WOLF,JAKE",1
06:24,,,,,"MISS 3PTR by JAMES,MAC",,,"MISS 3PTR by JAMES,MAC",1
--,"REBOUND DEF by DOYLE,HAYDEN",,,,,,,"REBOUND DEF by DOYLE,HAYDEN",1
06:08,"MISS JUMPER by WOLF,JAKE",,,,,,,"MISS JUMPER by WOLF,JAKE",1
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",1
05:59,,,,,"TURNOVER  by WHITE,ELIJAH",,,"TURNOVER  by WHITE,ELIJAH",1
05:59,,,,,"SUB OUT by WHITE,ELIJAH",,,"SUB OUT by WHITE,ELIJAH",1
05:59,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
05:59,"SUB OUT by KINDSVATER,DRAKE",,,,,,,"SUB OUT by KINDSVATER,DRAKE",1
05:59,"SUB IN by HARDY,JUSTIN",,,,,,,"SUB IN by HARDY,JUSTIN",1
05:31,"MISS 3PTR by GONZALO,MATT",,,,,,,"MISS 3PTR by GONZALO,MATT",1
--,"REBOUND OFF by JACOB,CHARLIE",,,,,,,"REBOUND OFF by JACOB,CHARLIE",1
05:18,"TURNOVER  by WOLF,JAKE",,,,,,,"TURNOVER  by WOLF,JAKE",1
05:18,,,,,"STEAL  by SHEN,KEVIN",,,"STEAL  by SHEN,KEVIN",1
05:12,,,,,"TURNOVER  by SHEN,KEVIN",,,"TURNOVER  by SHEN,KEVIN",1
05:12,"STEAL  by WOLF,JAKE",,,,,,,"STEAL  by WOLF,JAKE",1
04:59,"GOOD JUMPER by HARDY,JUSTIN(in the paint)",25 (+12),,13,,WU 25-13 (-12),,"GOOD JUMPER by HARDY,JUSTIN(in the paint)",1
04:41,"FOUL  by HARDY,JUSTIN",,,,,,,"FOUL  by HARDY,JUSTIN",1
04:41,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",1
04:41,,,,,"SUB OUT by CLAYTON,TJ",,,"SUB OUT by CLAYTON,TJ",1
04:41,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
04:41,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
04:41,"SUB OUT by GONZALO,MATT",,,,,,,"SUB OUT by GONZALO,MATT",1
04:41,"SUB OUT by JACOB,CHARLIE",,,,,,,"SUB OUT by JACOB,CHARLIE",1
04:41,"SUB IN by WINDLEY,DAVID",,,,,,,"SUB IN by WINDLEY,DAVID",1
04:41,"SUB IN by NOLAN,JACK",,,,,,,"SUB IN by NOLAN,JACK",1
04:21,,25 (+10),,15,"GOOD JUMPER by JAMES,MAC",Rhodes 25-15 (-10),,"GOOD JUMPER by JAMES,MAC",1
04:01,"GOOD JUMPER by WINDLEY,DAVID(in the paint)",27 (+12),,15,,WU 27-15 (-12),,"GOOD JUMPER by WINDLEY,DAVID(in the paint)",1
03:41,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by WOLF,JAKE",,,,,,,"REBOUND DEF by WOLF,JAKE",1
03:36,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:36,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
03:36,,,,,"SUB IN by COOK,JEREMIAH",,,"SUB IN by COOK,JEREMIAH",1
03:36,"SUB OUT by WOLF,JAKE",,,,,,,"SUB OUT by WOLF,JAKE",1
03:36,"SUB IN by KINDSVATER,DRAKE",,,,,,,"SUB IN by KINDSVATER,DRAKE",1
03:25,"GOOD JUMPER by DOYLE,HAYDEN(in the paint)",29 (+14),,15,,WU 29-15 (-14),,"GOOD JUMPER by DOYLE,HAYDEN(in the paint)",1
03:06,,,,,"MISS JUMPER by ESSICK,JALEN(in the paint)",,,"MISS JUMPER by ESSICK,JALEN(in the paint)",1
--,"REBOUND DEF by KINDSVATER,DRAKE",,,,,,,"REBOUND DEF by KINDSVATER,DRAKE",1
02:56,"MISS 3PTR by HARDY,JUSTIN",,,,,,,"MISS 3PTR by HARDY,JUSTIN",1
--,"REBOUND OFF by KINDSVATER,DRAKE",,,,,,,"REBOUND OFF by KINDSVATER,DRAKE",1
02:46,"GOOD JUMPER by NOLAN,JACK",31 (+16),,15,,WU 31-15 (-16),,"GOOD JUMPER by NOLAN,JACK",1
02:31,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",1
--,"REBOUND DEF by DOYLE,HAYDEN",,,,,,,"REBOUND DEF by DOYLE,HAYDEN",1
02:16,"MISS JUMPER by HARDY,JUSTIN(in the paint)",,,,,,,"MISS JUMPER by HARDY,JUSTIN(in the paint)",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
01:55,,31 (+14),,17,"GOOD JUMPER by COOK,JEREMIAH(in the paint)",Rhodes 31-17 (-14),,"GOOD JUMPER by COOK,JEREMIAH(in the paint)",1
01:44,"GOOD 3PTR by NOLAN,JACK",34 (+17),,17,,WU 34-17 (-17),,"GOOD 3PTR by NOLAN,JACK",1
--,"ASSIST  by WINDLEY,DAVID",,,,,,,"ASSIST  by WINDLEY,DAVID",1
01:27,,34 (+15),,19,"GOOD LAYUP by SHEN,KEVIN(in the paint)",Rhodes 34-19 (-15),,"GOOD LAYUP by SHEN,KEVIN(in the paint)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
01:03,"GOOD 3PTR by DOYLE,HAYDEN",37 (+18),,19,,WU 37-19 (-18),,"GOOD 3PTR by DOYLE,HAYDEN",1
--,"ASSIST  by HARDY,JUSTIN",,,,,,,"ASSIST  by HARDY,JUSTIN",1
00:44,,,,,"TURNOVER  by GEORGETOWN II,ARNESS",,,"TURNOVER  by GEORGETOWN II,ARNESS",1
00:44,,,,,"SUB OUT by COOK,JEREMIAH",,,"SUB OUT by COOK,JEREMIAH",1
00:44,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
00:44,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
00:44,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
00:44,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
00:44,,,,,"SUB IN by WILLIAMS,JAYSON",,,"SUB IN by WILLIAMS,JAYSON",1
00:44,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",1
00:44,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
00:44,"SUB OUT by KINDSVATER,DRAKE",,,,,,,"SUB OUT by KINDSVATER,DRAKE",1
00:44,"SUB IN by DAVET,KEVIN",,,,,,,"SUB IN by DAVET,KEVIN",1
00:33,"TURNOVER  by DOYLE,HAYDEN",,,,,,,"TURNOVER  by DOYLE,HAYDEN",1
00:20,,,,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:16,,37 (+16),,21,"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 37-21 (-16),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
00:01,"MISS JUMPER by DOYLE,HAYDEN",,,,,,,"MISS JUMPER by DOYLE,HAYDEN",1
--,"REBOUND OFF by DAVET,KEVIN",,,,,,,"REBOUND OFF by DAVET,KEVIN",1
00:00,"GOOD LAYUP by DAVET,KEVIN(in the paint)",39 (+18),,21,,WU 39-21 (-18),,"GOOD LAYUP by DAVET,KEVIN(in the paint)",1
20:00,"SUB OUT by WINDLEY,DAVID",,,,,,,"SUB OUT by WINDLEY,DAVID",2
20:00,"SUB IN by JACOB,CHARLIE",,,,,,,"SUB IN by JACOB,CHARLIE",2
19:47,"MISS 3PTR by NOLAN,JACK",,,,,,,"MISS 3PTR by NOLAN,JACK",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
19:28,,,,,"TURNOVER  by WILLIAMS,ZAVIEN",,,"TURNOVER  by WILLIAMS,ZAVIEN",2
19:16,,,,,"FOUL  by WILLIAMS,JAYSON",,,"FOUL  by WILLIAMS,JAYSON",2
19:11,"MISS 3PTR by NOLAN,JACK",,,,,,,"MISS 3PTR by NOLAN,JACK",2
--,,,,,"REBOUND DEF by WALKER,JEFFERSON",,,"REBOUND DEF by WALKER,JEFFERSON",2
18:56,,,,,"MISS JUMPER by ESSICK,JALEN",,,"MISS JUMPER by ESSICK,JALEN",2
--,"REBOUND DEF by HARDY,JUSTIN",,,,,,,"REBOUND DEF by HARDY,JUSTIN",2
18:36,"TURNOVER  by HARDY,JUSTIN",,,,,,,"TURNOVER  by HARDY,JUSTIN",2
18:36,,,,,"STEAL  by LAMEY,HAYDEN",,,"STEAL  by LAMEY,HAYDEN",2
18:20,,,,,"MISS JUMPER by ESSICK,JALEN",,,"MISS JUMPER by ESSICK,JALEN",2
--,"REBOUND DEF by JACOB,CHARLIE",,,,,,,"REBOUND DEF by JACOB,CHARLIE",2
18:07,"MISS LAYUP by HARDY,JUSTIN(in the paint)",,,,,,,"MISS LAYUP by HARDY,JUSTIN(in the paint)",2
--,"REBOUND OFF by NOLAN,JACK",,,,,,,"REBOUND OFF by NOLAN,JACK",2
18:02,"GOOD LAYUP by NOLAN,JACK(in the paint)",41 (+20),,21,,WU 41-21 (-20),,"GOOD LAYUP by NOLAN,JACK(in the paint)",2
17:55,,41 (+18),,23,"GOOD JUMPER by WALKER,JEFFERSON(fastbreak)(in the paint)",Rhodes 41-23 (-18),,"GOOD JUMPER by WALKER,JEFFERSON(fastbreak)(in the paint)",2
17:30,"TURNOVER  by NOLAN,JACK",,,,,,,"TURNOVER  by NOLAN,JACK",2
17:30,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",2
17:30,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",2
17:30,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",2
17:30,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",2
17:30,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",2
17:30,,,,,"SUB IN by CLAYTON,TJ",,,"SUB IN by CLAYTON,TJ",2
17:30,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",2
