Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
17:57,,26,,42 (+16),"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 26-42 (+16),,"GOOD LAYUP by WILEY,KOKI(in the paint)",2
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",2
17:40,"GOOD LAYUP by NIX,GRAYSON(in the paint)",28,,42 (+14),,UO 28-42 (+14),,"GOOD LAYUP by NIX,GRAYSON(in the paint)",2
--,"ASSIST  by LITTLE,CARTER",,,,,,,"ASSIST  by LITTLE,CARTER",2
17:40,,,,,"FOUL  by JAMES,MAC",,,"FOUL  by JAMES,MAC",2
17:40,"GOOD FT by NIX,GRAYSON",29,,42 (+13),,UO 29-42 (+13),,"GOOD FT by NIX,GRAYSON",2
17:20,,29,,44 (+15),"GOOD JUMPER by SHEN,KEVIN(in the paint)",Rhodes 29-44 (+15),,"GOOD JUMPER by SHEN,KEVIN(in the paint)",2
17:01,"MISS 3PTR by FRESH,RAY",,,,,,,"MISS 3PTR by FRESH,RAY",2
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",2
16:53,,,,,"MISS JUMPER by JAMES,MAC(in the paint)",,,"MISS JUMPER by JAMES,MAC(in the paint)",2
--,"REBOUND DEF by LITTLE,CARTER",,,,,,,"REBOUND DEF by LITTLE,CARTER",2
16:46,"TURNOVER  by LITTLE,CARTER",,,,,,,"TURNOVER  by LITTLE,CARTER",2
16:46,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",2
16:46,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",2
16:46,"SUB OUT by LITTLE,CARTER",,,,,,,"SUB OUT by LITTLE,CARTER",2
16:46,"SUB IN by ALT,DAWSON",,,,,,,"SUB IN by ALT,DAWSON",2
16:33,,29,,47 (+18),"GOOD 3PTR by ESSICK,JALEN",Rhodes 29-47 (+18),,"GOOD 3PTR by ESSICK,JALEN",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
16:02,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",2
16:02,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",2
16:02,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",2
15:45,"TURNOVER  by NIX,GRAYSON",,,,,,,"TURNOVER  by NIX,GRAYSON",2
15:45,,,,,"STEAL  by WALKER,JEFFERSON",,,"STEAL  by WALKER,JEFFERSON",2
15:38,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",2
--,"REBOUND DEF by ROELKE,KAMREN",,,,,,,"REBOUND DEF by ROELKE,KAMREN",2
15:27,"MISS JUMPER by ROELKE,KAMREN(in the paint)",,,,,,,"MISS JUMPER by ROELKE,KAMREN(in the paint)",2
--,"REBOUND OFF by DUKES,JACOB",,,,,,,"REBOUND OFF by DUKES,JACOB",2
15:25,,,,,"FOUL  by WILLIAMS,JAYSON",,,"FOUL  by WILLIAMS,JAYSON",2
15:25,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:25,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",2
15:25,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",2
15:25,,,,,"SUB IN by COOK,JEREMIAH",,,"SUB IN by COOK,JEREMIAH",2
15:25,,,,,"SUB IN by CLAYTON,TJ",,,"SUB IN by CLAYTON,TJ",2
15:25,"SUB OUT by ROELKE,KAMREN",,,,,,,"SUB OUT by ROELKE,KAMREN",2
15:25,"SUB OUT by NIX,GRAYSON",,,,,,,"SUB OUT by NIX,GRAYSON",2
15:25,"SUB IN by WRIGHT,HUNTER",,,,,,,"SUB IN by WRIGHT,HUNTER",2
15:25,"SUB IN by JANGA,ELVIS",,,,,,,"SUB IN by JANGA,ELVIS",2
15:17,"MISS 3PTR by DUKES,JACOB",,,,,,,"MISS 3PTR by DUKES,JACOB",2
--,,,,,"REBOUND DEF by COOK,JEREMIAH",,,"REBOUND DEF by COOK,JEREMIAH",2
15:02,,29,,50 (+21),"GOOD 3PTR by LAMEY,HAYDEN",Rhodes 29-50 (+21),,"GOOD 3PTR by LAMEY,HAYDEN",2
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",2
14:41,"MISS 3PTR by DUKES,JACOB",,,,,,,"MISS 3PTR by DUKES,JACOB",2
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",2
14:21,,29,,53 (+24),"GOOD 3PTR by LAMEY,HAYDEN",Rhodes 29-53 (+24),,"GOOD 3PTR by LAMEY,HAYDEN",2
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",2
14:15,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
14:15,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
14:15,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",2
14:15,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",2
14:15,"SUB OUT by DUKES,JACOB",,,,,,,"SUB OUT by DUKES,JACOB",2
14:15,"SUB IN by FINLEY,GARRET",,,,,,,"SUB IN by FINLEY,GARRET",2
13:44,"MISS 3PTR by WRIGHT,HUNTER",,,,,,,"MISS 3PTR by WRIGHT,HUNTER",2
--,,,,,"REBOUND DEF by WALKER,JEFFERSON",,,"REBOUND DEF by WALKER,JEFFERSON",2
13:36,,,,,"MISS JUMPER by LAMEY,HAYDEN",,,"MISS JUMPER by LAMEY,HAYDEN",2
--,"REBOUND DEF by FRESH,RAY",,,,,,,"REBOUND DEF by FRESH,RAY",2
13:16,"MISS JUMPER by JANGA,ELVIS",,,,,,,"MISS JUMPER by JANGA,ELVIS",2
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",2
13:05,,,,,"MISS 3PTR by CLAYTON,TJ",,,"MISS 3PTR by CLAYTON,TJ",2
--,,,,,"REBOUND OFF by WALKER,JEFFERSON",,,"REBOUND OFF by WALKER,JEFFERSON",2
13:01,,29,,56 (+27),"GOOD 3PTR by LAMEY,HAYDEN",Rhodes 29-56 (+27),,"GOOD 3PTR by LAMEY,HAYDEN",2
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",2
12:47,"TURNOVER  by FRESH,RAY",,,,,,,"TURNOVER  by FRESH,RAY",2
12:47,,,,,"STEAL  by CLAYTON,TJ",,,"STEAL  by CLAYTON,TJ",2
12:45,"FOUL  by ALT,DAWSON",,,,,,,"FOUL  by ALT,DAWSON",2
12:45,,,,,"SUB OUT by COOK,JEREMIAH",,,"SUB OUT by COOK,JEREMIAH",2
12:45,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",2
12:45,"SUB OUT by FRESH,RAY",,,,,,,"SUB OUT by FRESH,RAY",2
12:45,"SUB OUT by WRIGHT,HUNTER",,,,,,,"SUB OUT by WRIGHT,HUNTER",2
12:45,"SUB OUT by JANGA,ELVIS",,,,,,,"SUB OUT by JANGA,ELVIS",2
12:45,"SUB IN by ROELKE,KAMREN",,,,,,,"SUB IN by ROELKE,KAMREN",2
12:45,"SUB IN by POWELL,KYRON",,,,,,,"SUB IN by POWELL,KYRON",2
12:45,"SUB IN by NIX,GRAYSON",,,,,,,"SUB IN by NIX,GRAYSON",2
12:28,,29,,58 (+29),"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",Rhodes 29-58 (+29),,"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",2
12:12,"TURNOVER  by POWELL,KYRON",,,,,,,"TURNOVER  by POWELL,KYRON",2
12:12,,,,,"STEAL  by WALKER,JEFFERSON",,,"STEAL  by WALKER,JEFFERSON",2
12:09,,29,,60 (+31),"GOOD JUMPER by WALKER,JEFFERSON(fastbreak)(in the paint)",Rhodes 29-60 (+31),,"GOOD JUMPER by WALKER,JEFFERSON(fastbreak)(in the paint)",2
11:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:42,"MISS 3PTR by NIX,GRAYSON",,,,,,,"MISS 3PTR by NIX,GRAYSON",2
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",2
11:37,,,,,"MISS LAYUP by CLAYTON,TJ(in the paint)",,,"MISS LAYUP by CLAYTON,TJ(in the paint)",2
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",2
11:30,"MISS JUMPER by NIX,GRAYSON(in the paint)",,,,,,,"MISS JUMPER by NIX,GRAYSON(in the paint)",2
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",2
11:21,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",2
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",2
11:18,,,,,"FOUL  by WHITE,ELIJAH",,,"FOUL  by WHITE,ELIJAH",2
11:18,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",2
11:18,,,,,"SUB OUT by WHITE,ELIJAH",,,"SUB OUT by WHITE,ELIJAH",2
11:18,,,,,"SUB OUT by CLAYTON,TJ",,,"SUB OUT by CLAYTON,TJ",2
11:18,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",2
11:18,,,,,"SUB IN by COOK,JEREMIAH",,,"SUB IN by COOK,JEREMIAH",2
11:18,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",2
11:18,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",2
11:18,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",2
11:03,"TURNOVER  by NIX,GRAYSON",,,,,,,"TURNOVER  by NIX,GRAYSON",2
11:03,,,,,"STEAL  by JAMES,MAC",,,"STEAL  by JAMES,MAC",2
10:53,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",2
10:53,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",2
10:53,"SUB OUT by NIX,GRAYSON",,,,,,,"SUB OUT by NIX,GRAYSON",2
10:53,"SUB IN by GAFFNEY,XAVIER",,,,,,,"SUB IN by GAFFNEY,XAVIER",2
10:40,"GOOD JUMPER by ROELKE,KAMREN(in the paint)",31,,60 (+29),,UO 31-60 (+29),,"GOOD JUMPER by ROELKE,KAMREN(in the paint)",2
10:22,,,,,"MISS JUMPER by COOK,JEREMIAH(in the paint)",,,"MISS JUMPER by COOK,JEREMIAH(in the paint)",2
--,"REBOUND DEF by ALT,DAWSON",,,,,,,"REBOUND DEF by ALT,DAWSON",2
10:14,"GOOD JUMPER by ROELKE,KAMREN(fastbreak)(in the paint)",33,,60 (+27),,UO 33-60 (+27),,"GOOD JUMPER by ROELKE,KAMREN(fastbreak)(in the paint)",2
10:13,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:13,,,,,"SUB OUT by COOK,JEREMIAH",,,"SUB OUT by COOK,JEREMIAH",2
10:13,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",2
10:13,,,,,"SUB IN by WILLIAMS,JAYSON",,,"SUB IN by WILLIAMS,JAYSON",2
10:13,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",2
09:54,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",2
--,"REBOUND DEF by ROELKE,KAMREN",,,,,,,"REBOUND DEF by ROELKE,KAMREN",2
09:42,"MISS 3PTR by POWELL,KYRON",,,,,,,"MISS 3PTR by POWELL,KYRON",2
--,,,,,"REBOUND DEF by WILLIAMS,JAYSON",,,"REBOUND DEF by WILLIAMS,JAYSON",2
09:35,,,,,"MISS LAYUP by SHEN,KEVIN(in the paint)",,,"MISS LAYUP by SHEN,KEVIN(in the paint)",2
--,"REBOUND DEF by ROELKE,KAMREN",,,,,,,"REBOUND DEF by ROELKE,KAMREN",2
09:28,"MISS JUMPER by POWELL,KYRON(in the paint)",,,,,,,"MISS JUMPER by POWELL,KYRON(in the paint)",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
09:28,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",2
09:28,,,,,"SUB IN by PRANGE,JONATHAN",,,"SUB IN by PRANGE,JONATHAN",2
09:24,"GOOD 3PTR by GAFFNEY,XAVIER",36,,60 (+24),,UO 36-60 (+24),,"GOOD 3PTR by GAFFNEY,XAVIER",2
09:09,,,,,"MISS 3PTR by PRANGE,JONATHAN",,,"MISS 3PTR by PRANGE,JONATHAN",2
--,,,,,"REBOUND OFF by JAMES,MAC",,,"REBOUND OFF by JAMES,MAC",2
08:56,,,,,"MISS JUMPER by JAMES,MAC",,,"MISS JUMPER by JAMES,MAC",2
--,"REBOUND DEF by ALT,DAWSON",,,,,,,"REBOUND DEF by ALT,DAWSON",2
08:44,"MISS 3PTR by FINLEY,GARRET",,,,,,,"MISS 3PTR by FINLEY,GARRET",2
--,"REBOUND OFF by POWELL,KYRON",,,,,,,"REBOUND OFF by POWELL,KYRON",2
08:31,"MISS JUMPER by FINLEY,GARRET(in the paint)",,,,,,,"MISS JUMPER by FINLEY,GARRET(in the paint)",2
--,"REBOUND OFF by ALT,DAWSON",,,,,,,"REBOUND OFF by ALT,DAWSON",2
08:28,,,,,"FOUL  by SHEN,KEVIN",,,"FOUL  by SHEN,KEVIN",2
08:28,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",2
08:28,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",2
08:28,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",2
08:28,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",2
08:27,"GOOD LAYUP by ROELKE,KAMREN(in the paint)",38,,60 (+22),,UO 38-60 (+22),,"GOOD LAYUP by ROELKE,KAMREN(in the paint)",2
--,"ASSIST  by GAFFNEY,XAVIER",,,,,,,"ASSIST  by GAFFNEY,XAVIER",2
08:27,,,,,"FOUL  by WILLIAMS,JAYSON",,,"FOUL  by WILLIAMS,JAYSON",2
08:27,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",2
08:27,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",2
08:27,"GOOD FT by ROELKE,KAMREN",39,,60 (+21),,UO 39-60 (+21),,"GOOD FT by ROELKE,KAMREN",2
08:12,,,,,"MISS JUMPER by ESSICK,JALEN(in the paint)",,,"MISS JUMPER by ESSICK,JALEN(in the paint)",2
08:12,"BLOCK  by FINLEY,GARRET",,,,,,,"BLOCK  by FINLEY,GARRET",2
--,,,,,"REBOUND OFF by PRANGE,JONATHAN",,,"REBOUND OFF by PRANGE,JONATHAN",2
08:07,,39,,62 (+23),"GOOD JUMPER by PRANGE,JONATHAN(in the paint)",Rhodes 39-62 (+23),,"GOOD JUMPER by PRANGE,JONATHAN(in the paint)",2
07:48,"MISS LAYUP by ROELKE,KAMREN(in the paint)",,,,,,,"MISS LAYUP by ROELKE,KAMREN(in the paint)",2
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",2
07:42,,39,,64 (+25),"GOOD JUMPER by LAMEY,HAYDEN(fastbreak)(in the paint)",Rhodes 39-64 (+25),,"GOOD JUMPER by LAMEY,HAYDEN(fastbreak)(in the paint)",2
07:30,"TURNOVER  by GAFFNEY,XAVIER",,,,,,,"TURNOVER  by GAFFNEY,XAVIER",2
07:30,,,,,"STEAL  by WALKER,JEFFERSON",,,"STEAL  by WALKER,JEFFERSON",2
07:25,,39,,66 (+27),"GOOD JUMPER by WALKER,JEFFERSON(fastbreak)(in the paint)",Rhodes 39-66 (+27),,"GOOD JUMPER by WALKER,JEFFERSON(fastbreak)(in the paint)",2
07:15,"SUB OUT by GAFFNEY,XAVIER",,,,,,,"SUB OUT by GAFFNEY,XAVIER",2
07:15,"SUB IN by FRESH,RAY",,,,,,,"SUB IN by FRESH,RAY",2
07:15,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
06:50,"MISS JUMPER by POWELL,KYRON(in the paint)",,,,,,,"MISS JUMPER by POWELL,KYRON(in the paint)",2
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",2
06:37,,,,,"TURNOVER  by PRANGE,JONATHAN",,,"TURNOVER  by PRANGE,JONATHAN",2
06:37,"STEAL  by FINLEY,GARRET",,,,,,,"STEAL  by FINLEY,GARRET",2
06:27,"GOOD JUMPER by ROELKE,KAMREN(in the paint)",41,,66 (+25),,UO 41-66 (+25),,"GOOD JUMPER by ROELKE,KAMREN(in the paint)",2
06:04,,,,,"MISS 3PTR by PRANGE,JONATHAN",,,"MISS 3PTR by PRANGE,JONATHAN",2
--,,,,,"REBOUND OFF by PRANGE,JONATHAN",,,"REBOUND OFF by PRANGE,JONATHAN",2
05:59,,,,,"MISS LAYUP by PRANGE,JONATHAN(in the paint)",,,"MISS LAYUP by PRANGE,JONATHAN(in the paint)",2
--,"REBOUND DEF by FRESH,RAY",,,,,,,"REBOUND DEF by FRESH,RAY",2
05:43,"MISS LAYUP by POWELL,KYRON(in the paint)",,,,,,,"MISS LAYUP by POWELL,KYRON(in the paint)",2
--,"REBOUND OFF by FINLEY,GARRET",,,,,,,"REBOUND OFF by FINLEY,GARRET",2
05:43,"GOOD LAYUP by FINLEY,GARRET(in the paint)",43,,66 (+23),,UO 43-66 (+23),,"GOOD LAYUP by FINLEY,GARRET(in the paint)",2
05:43,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",2
05:43,,,,,"SUB OUT by PRANGE,JONATHAN",,,"SUB OUT by PRANGE,JONATHAN",2
05:43,,,,,"SUB IN by COOK,JEREMIAH",,,"SUB IN by COOK,JEREMIAH",2
05:43,"GOOD FT by FINLEY,GARRET",44,,66 (+22),,UO 44-66 (+22),,"GOOD FT by FINLEY,GARRET",2
05:24,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
05:15,,,,,"MISS 3PTR by WALKER,JEFFERSON",,,"MISS 3PTR by WALKER,JEFFERSON",2
--,"REBOUND DEF by POWELL,KYRON",,,,,,,"REBOUND DEF by POWELL,KYRON",2
05:07,"MISS JUMPER by POWELL,KYRON(in the paint)",,,,,,,"MISS JUMPER by POWELL,KYRON(in the paint)",2
--,,,,,"REBOUND DEF by COOK,JEREMIAH",,,"REBOUND DEF by COOK,JEREMIAH",2
05:01,,,,,"MISS JUMPER by COOK,JEREMIAH(in the paint)",,,"MISS JUMPER by COOK,JEREMIAH(in the paint)",2
05:01,"BLOCK  by ROELKE,KAMREN",,,,,,,"BLOCK  by ROELKE,KAMREN",2
--,,,,,"REBOUND OFF by LAMEY,HAYDEN",,,"REBOUND OFF by LAMEY,HAYDEN",2
04:57,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",2
--,,,,,"REBOUND OFF by WALKER,JEFFERSON",,,"REBOUND OFF by WALKER,JEFFERSON",2
04:53,,44,,68 (+24),"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",Rhodes 44-68 (+24),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",2
04:40,"MISS 3PTR by POWELL,KYRON",,,,,,,"MISS 3PTR by POWELL,KYRON",2
--,,,,,"REBOUND DEF by WILLIAMS,JAYSON",,,"REBOUND DEF by WILLIAMS,JAYSON",2
04:28,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",2
--,"REBOUND DEF by FRESH,RAY",,,,,,,"REBOUND DEF by FRESH,RAY",2
04:19,"MISS JUMPER by ROELKE,KAMREN(in the paint)",,,,,,,"MISS JUMPER by ROELKE,KAMREN(in the paint)",2
--,,,,,"REBOUND DEF by WILLIAMS,JAYSON",,,"REBOUND DEF by WILLIAMS,JAYSON",2
04:12,"FOUL  by ROELKE,KAMREN",,,,,,,"FOUL  by ROELKE,KAMREN",2
04:12,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",2
04:12,,,,,"SUB OUT by COOK,JEREMIAH",,,"SUB OUT by COOK,JEREMIAH",2
04:12,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",2
04:12,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",2
04:12,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",2
04:12,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",2
04:12,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",2
04:12,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",2
04:12,"SUB OUT by ROELKE,KAMREN",,,,,,,"SUB OUT by ROELKE,KAMREN",2
04:12,"SUB OUT by FINLEY,GARRET",,,,,,,"SUB OUT by FINLEY,GARRET",2
04:12,"SUB OUT by ALT,DAWSON",,,,,,,"SUB OUT by ALT,DAWSON",2
04:12,"SUB IN by WRIGHT,HUNTER",,,,,,,"SUB IN by WRIGHT,HUNTER",2
04:12,"SUB IN by DUKES,JACOB",,,,,,,"SUB IN by DUKES,JACOB",2
04:12,"SUB IN by LITTLE,CARTER",,,,,,,"SUB IN by LITTLE,CARTER",2
04:02,,44,,70 (+26),"GOOD JUMPER by GEORGETOWN II,ARNESS",Rhodes 44-70 (+26),,"GOOD JUMPER by GEORGETOWN II,ARNESS",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
03:45,"GOOD 3PTR by POWELL,KYRON",47,,70 (+23),,UO 47-70 (+23),,"GOOD 3PTR by POWELL,KYRON",2
--,"ASSIST  by FRESH,RAY",,,,,,,"ASSIST  by FRESH,RAY",2
03:34,,,,,"MISS 3PTR by JAMES,MAC",,,"MISS 3PTR by JAMES,MAC",2
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",2
03:25,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",2
--,"REBOUND DEF by LITTLE,CARTER",,,,,,,"REBOUND DEF by LITTLE,CARTER",2
02:54,"TURNOVER  by POWELL,KYRON",,,,,,,"TURNOVER  by POWELL,KYRON",2
02:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
02:54,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",2
02:54,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",2
02:54,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",2
02:54,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",2
02:54,,,,,"SUB IN by O'BRIEN,KRIS",,,"SUB IN by O'BRIEN,KRIS",2
02:54,,,,,"SUB IN by PRANGE,JONATHAN",,,"SUB IN by PRANGE,JONATHAN",2
02:54,"SUB OUT by POWELL,KYRON",,,,,,,"SUB OUT by POWELL,KYRON",2
02:54,"SUB IN by HOPKINS,DILLAN",,,,,,,"SUB IN by HOPKINS,DILLAN",2
02:33,,,,,"TURNOVER  by O'BRIEN,KRIS",,,"TURNOVER  by O'BRIEN,KRIS",2
02:33,"STEAL  by FRESH,RAY",,,,,,,"STEAL  by FRESH,RAY",2
02:09,"MISS JUMPER by DUKES,JACOB(in the paint)",,,,,,,"MISS JUMPER by DUKES,JACOB(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:04,,,,,"FOUL  by PRANGE,JONATHAN",,,"FOUL  by PRANGE,JONATHAN",2
02:04,"GOOD FT by WRIGHT,HUNTER",48,,70 (+22),,UO 48-70 (+22),,"GOOD FT by WRIGHT,HUNTER",2
02:04,"MISS FT by WRIGHT,HUNTER",,,,,,,"MISS FT by WRIGHT,HUNTER",2
--,,,,,"REBOUND DEF by PRANGE,JONATHAN",,,"REBOUND DEF by PRANGE,JONATHAN",2
01:48,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",,,"MISS JUMPER by GEORGETOWN II,ARNESS",2
01:48,"BLOCK  by WRIGHT,HUNTER",,,,,,,"BLOCK  by WRIGHT,HUNTER",2
--,"REBOUND DEF by HOPKINS,DILLAN",,,,,,,"REBOUND DEF by HOPKINS,DILLAN",2
01:41,"GOOD JUMPER by HOPKINS,DILLAN(fastbreak)(in the paint)",50,,70 (+20),,UO 50-70 (+20),,"GOOD JUMPER by HOPKINS,DILLAN(fastbreak)(in the paint)",2
01:14,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",2
--,"REBOUND DEF by FRESH,RAY",,,,,,,"REBOUND DEF by FRESH,RAY",2
00:54,"MISS 3PTR by LITTLE,CARTER",,,,,,,"MISS 3PTR by LITTLE,CARTER",2
--,"REBOUND OFF by WRIGHT,HUNTER",,,,,,,"REBOUND OFF by WRIGHT,HUNTER",2
00:52,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",2
00:52,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",2
00:52,,,,,"SUB IN by CLAYTON,TJ",,,"SUB IN by CLAYTON,TJ",2
00:52,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",2
00:52,"SUB OUT by FRESH,RAY",,,,,,,"SUB OUT by FRESH,RAY",2
00:52,"SUB OUT by WRIGHT,HUNTER",,,,,,,"SUB OUT by WRIGHT,HUNTER",2
00:52,"SUB OUT by DUKES,JACOB",,,,,,,"SUB OUT by DUKES,JACOB",2
00:52,"SUB OUT by LITTLE,CARTER",,,,,,,"SUB OUT by LITTLE,CARTER",2
00:52,"SUB IN by TERFEHR,LANDON",,,,,,,"SUB IN by TERFEHR,LANDON",2
00:52,"SUB IN by BRANDON,ETHAN",,,,,,,"SUB IN by BRANDON,ETHAN",2
00:52,"SUB IN by BARNES,EUGENE",,,,,,,"SUB IN by BARNES,EUGENE",2
00:52,"SUB IN by WHEELER,JAYLEN",,,,,,,"SUB IN by WHEELER,JAYLEN",2
00:44,"MISS JUMPER by BARNES,EUGENE",,,,,,,"MISS JUMPER by BARNES,EUGENE",2
