Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
07:35,,20,,23 (+3),"GOOD LAYUP by AMANOR,TROY(in the paint)",SU 20-23 (-3),,"GOOD LAYUP by AMANOR,TROY(in the paint)",1
07:21,"MISS JUMPER by ESSICK,JALEN",,,,,,,"MISS JUMPER by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by AMANOR,TROY",,,"REBOUND DEF by AMANOR,TROY",1
07:02,,,,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
06:54,"MISS 3PTR by WHITE,ELIJAH",,,,,,,"MISS 3PTR by WHITE,ELIJAH",1
--,,,,,"REBOUND DEF by HENSON,JONATHAN",,,"REBOUND DEF by HENSON,JONATHAN",1
06:42,,,,,"MISS JUMPER by AMANOR,TROY(in the paint)",,,"MISS JUMPER by AMANOR,TROY(in the paint)",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
06:35,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:24,"GOOD JUMPER by SHEN,KEVIN(in the paint)",22,,23 (+1),,Rhodes 22-23 (-1),,"GOOD JUMPER by SHEN,KEVIN(in the paint)",1
06:02,,22,,26 (+4),"GOOD 3PTR by CHATMAN,PARKER",SU 22-26 (-4),,"GOOD 3PTR by CHATMAN,PARKER",1
--,,,,,"ASSIST  by HENSON,JONATHAN",,,"ASSIST  by HENSON,JONATHAN",1
05:44,"SUB OUT by WHITE,ELIJAH",,,,,,,"SUB OUT by WHITE,ELIJAH",1
05:44,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
05:39,"GOOD 3PTR by WALKER,JEFFERSON",25,,26 (+1),,Rhodes 25-26 (-1),,"GOOD 3PTR by WALKER,JEFFERSON",1
--,"ASSIST  by SHEN,KEVIN",,,,,,,"ASSIST  by SHEN,KEVIN",1
05:25,,,,,"SUB OUT by AMANOR,TROY",,,"SUB OUT by AMANOR,TROY",1
05:25,,,,,"SUB IN by CAMPBELL,MAXTON",,,"SUB IN by CAMPBELL,MAXTON",1
05:17,,,,,"MISS 3PTR by CHATMAN,PARKER",,,"MISS 3PTR by CHATMAN,PARKER",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
05:07,"MISS JUMPER by ESSICK,JALEN",,,,,,,"MISS JUMPER by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",1
04:59,,,,,"MISS 3PTR by HENSON,JONATHAN",,,"MISS 3PTR by HENSON,JONATHAN",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
