Time Remaining,PIEDMONT,Away Team Score,Play Team Indicator,Home Team Score,CENTREM,Game Score,Team Indicator,Play,Period
15:02,"GOOD 3PTR by QUICK,JUSTIN",8,,10 (+2),,PIEDMONT 8-10 (+2),,"GOOD 3PTR by QUICK,JUSTIN",1
--,"ASSIST  by RICHTER,WILL",,,,,,,"ASSIST  by RICHTER,WILL",1
14:42,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,"REBOUND DEF by QUICK,JUSTIN",,,,,,,"REBOUND DEF by QUICK,JUSTIN",1
14:33,"GOOD 3PTR by RICHTER,WILL",11 (+1),,10,,PIEDMONT 11-10 (-1),,"GOOD 3PTR by RICHTER,WILL",1
--,"ASSIST  by CRANFORD,LOGAN",,,,,,,"ASSIST  by CRANFORD,LOGAN",1
14:29,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:29,"SUB IN by HELENBROOK,JOE",,,,,,,"SUB IN by HELENBROOK,JOE",1
14:29,"SUB OUT by STIMPSON,ANDREW",,,,,,,"SUB OUT by STIMPSON,ANDREW",1
14:29,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
14:29,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
14:15,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,"REBOUND DEF by HELENBROOK,JOE",,,,,,,"REBOUND DEF by HELENBROOK,JOE",1
14:14,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
14:14,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
14:00,"TURNOVER  by CRANFORD,LOGAN",,,,,,,"TURNOVER  by CRANFORD,LOGAN",1
13:59,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",1
13:45,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",1
--,,,,,"REBOUND OFF by TAYLOR,MARSHALL",,,"REBOUND OFF by TAYLOR,MARSHALL",1
13:38,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
13:36,"STEAL  by QUICK,JUSTIN",,,,,,,"STEAL  by QUICK,JUSTIN",1
