Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,SPALDING,Game Score,Team Indicator,Play,Period
05:03,"GOOD 3PTR by BAUGHMAN,CARTER",22 (+4),,18,,CENTREM 22-18 (+4),,"GOOD 3PTR by BAUGHMAN,CARTER",1
04:41,,,,,"MISS LAYUP by TOLIVER,TEFRELL",,,"MISS LAYUP by TOLIVER,TEFRELL",1
--,"REBOUND DEF by WOOLDRIDGE,CARSON",,,,,,,"REBOUND DEF by WOOLDRIDGE,CARSON",1
04:31,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",24 (+6),,18,,CENTREM 24-18 (+6),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",1
04:17,,,,,"MISS JUMPER by CHATMAN,PARKER",,,"MISS JUMPER by CHATMAN,PARKER",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
04:12,,,,,"FOUL  by JOHNSON,JACOBY",,,"FOUL  by JOHNSON,JACOBY",1
04:12,"GOOD FT by GERALD,DUSTIN",25 (+7),,18,,CENTREM 25-18 (+7),,"GOOD FT by GERALD,DUSTIN",1
04:12,"GOOD FT by GERALD,DUSTIN",26 (+8),,18,,CENTREM 26-18 (+8),,"GOOD FT by GERALD,DUSTIN",1
04:12,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
04:12,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",1
04:12,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
04:12,"SUB OUT by WOOLDRIDGE,CARSON",,,,,,,"SUB OUT by WOOLDRIDGE,CARSON",1
04:12,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
04:12,,,,,"SUB IN by CAMPBELL,MAXTON",,,"SUB IN by CAMPBELL,MAXTON",1
04:12,,,,,"SUB IN by MANN,TYLAN",,,"SUB IN by MANN,TYLAN",1
04:12,,,,,"SUB OUT by TOLIVER,TEFRELL",,,"SUB OUT by TOLIVER,TEFRELL",1
04:12,,,,,"SUB OUT by CHATMAN,PARKER",,,"SUB OUT by CHATMAN,PARKER",1
04:12,,,,,"SUB OUT by TRIBBLE,BRIAN",,,"SUB OUT by TRIBBLE,BRIAN",1
03:56,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:53,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:53,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
03:53,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
03:36,"GOOD 3PTR by SMITH,RJ",29 (+11),,18,,CENTREM 29-18 (+11),,"GOOD 3PTR by SMITH,RJ",1
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",1
03:20,,,,,"MISS 3PTR by LOCKARD,ISAIAH",,,"MISS 3PTR by LOCKARD,ISAIAH",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
03:03,"GOOD JUMPER by SMITH,RJ(in the paint)",31 (+13),,18,,CENTREM 31-18 (+13),,"GOOD JUMPER by SMITH,RJ(in the paint)",1
02:45,,,,,"MISS 3PTR by JOHNSON,JACOBY",,,"MISS 3PTR by JOHNSON,JACOBY",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
02:40,"FOUL  by KNOCHELMANN,PETE",,,,,,,"FOUL  by KNOCHELMANN,PETE",1
02:40,,,,,"MISS FT by STEWART,CHRISTIAN",,,"MISS FT by STEWART,CHRISTIAN",1
--,"REBOUND DEF by WOOLDRIDGE,CARSON",,,,,,,"REBOUND DEF by WOOLDRIDGE,CARSON",1
02:40,"SUB IN by WOOLDRIDGE,CARSON",,,,,,,"SUB IN by WOOLDRIDGE,CARSON",1
02:40,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",1
02:26,,,,,"FOUL  by MANN,TYLAN",,,"FOUL  by MANN,TYLAN",1
02:26,"MISS FT by GERALD,DUSTIN",,,,,,,"MISS FT by GERALD,DUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:26,"MISS FT by GERALD,DUSTIN",,,,,,,"MISS FT by GERALD,DUSTIN",1
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",1
02:26,,,,,"SUB IN by HENSON,JONATHAN",,,"SUB IN by HENSON,JONATHAN",1
02:26,,,,,"SUB OUT by JOHNSON,JACOBY",,,"SUB OUT by JOHNSON,JACOBY",1
02:19,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",1
01:56,,,,,"MISS 3PTR by LOCKARD,ISAIAH",,,"MISS 3PTR by LOCKARD,ISAIAH",1
--,,,,,"REBOUND OFF by HENSON,JONATHAN",,,"REBOUND OFF by HENSON,JONATHAN",1
01:46,,31 (+11),,20,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",SPALDING 31-20 (+11),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by LOCKARD,ISAIAH",,,"ASSIST  by LOCKARD,ISAIAH",1
01:34,"MISS LAYUP by BAUGHMAN,CARTER",,,,,,,"MISS LAYUP by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by LOCKARD,ISAIAH",,,"REBOUND DEF by LOCKARD,ISAIAH",1
01:23,,,,,"MISS 3PTR by MANN,TYLAN",,,"MISS 3PTR by MANN,TYLAN",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
00:59,"MISS LAYUP by WOOLDRIDGE,CARSON",,,,,,,"MISS LAYUP by WOOLDRIDGE,CARSON",1
00:59,,,,,"BLOCK  by CAMPBELL,MAXTON",,,"BLOCK  by CAMPBELL,MAXTON",1
--,,,,,"REBOUND DEF by MANN,TYLAN",,,"REBOUND DEF by MANN,TYLAN",1
00:54,,,,,"MISS 3PTR by HENSON,JONATHAN",,,"MISS 3PTR by HENSON,JONATHAN",1
--,"REBOUND DEF by WOOLDRIDGE,CARSON",,,,,,,"REBOUND DEF by WOOLDRIDGE,CARSON",1
00:50,,,,,"FOUL  by MANN,TYLAN",,,"FOUL  by MANN,TYLAN",1
00:50,"MISS FT by WOOLDRIDGE,CARSON",,,,,,,"MISS FT by WOOLDRIDGE,CARSON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:50,"GOOD FT by WOOLDRIDGE,CARSON",32 (+12),,20,,CENTREM 32-20 (+12),,"GOOD FT by WOOLDRIDGE,CARSON",1
00:50,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
00:50,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
00:50,,,,,"SUB IN by CHATMAN,PARKER",,,"SUB IN by CHATMAN,PARKER",1
00:50,,,,,"SUB OUT by MANN,TYLAN",,,"SUB OUT by MANN,TYLAN",1
00:36,,,,,"TURNOVER  by LOCKARD,ISAIAH",,,"TURNOVER  by LOCKARD,ISAIAH",1
00:36,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
00:36,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
00:14,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",34 (+14),,20,,CENTREM 34-20 (+14),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
00:00,,34 (+11),,23,"GOOD 3PTR by CHATMAN,PARKER",SPALDING 34-23 (+11),,"GOOD 3PTR by CHATMAN,PARKER",1
--,,,,,"ASSIST  by LOCKARD,ISAIAH",,,"ASSIST  by LOCKARD,ISAIAH",1
19:40,,,,,"TURNOVER  by JOHNSON,JACOBY",,,"TURNOVER  by JOHNSON,JACOBY",2
19:39,"STEAL  by BAUGHMAN,CARTER",,,,,,,"STEAL  by BAUGHMAN,CARTER",2
19:14,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",2
--,,,,,"REBOUND DEF by JOHNSON,JACOBY",,,"REBOUND DEF by JOHNSON,JACOBY",2
18:46,,34 (+9),,25,"GOOD JUMPER by MANN,TYLAN",SPALDING 34-25 (+9),,"GOOD JUMPER by MANN,TYLAN",2
--,,,,,"ASSIST  by CAMPBELL,MAXTON",,,"ASSIST  by CAMPBELL,MAXTON",2
18:28,"GOOD JUMPER by SMITH,RJ",36 (+11),,25,,CENTREM 36-25 (+11),,"GOOD JUMPER by SMITH,RJ",2
18:11,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",2
