Time Remaining,WESTMO,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
15:46,"MISS LAYUP by ALTHAUS,JAXON(in the paint)",,,,,,,"MISS LAYUP by ALTHAUS,JAXON(in the paint)",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
15:28,,4,,9 (+5),"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 4-9 (+5),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
15:27,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:11,"GOOD JUMPER by GALBREATH,MAKYGH(in the paint)",6,,9 (+3),,WESTMO 6-9 (+3),,"GOOD JUMPER by GALBREATH,MAKYGH(in the paint)",1
--,"ASSIST  by ALTHAUS,JAXON",,,,,,,"ASSIST  by ALTHAUS,JAXON",1
15:01,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
15:01,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
15:01,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
15:01,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
15:01,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
15:01,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",1
15:01,"SUB OUT by GALBREATH,MAKYGH",,,,,,,"SUB OUT by GALBREATH,MAKYGH",1
15:01,"SUB IN by THOMPSON,ETHAN",,,,,,,"SUB IN by THOMPSON,ETHAN",1
14:42,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",1
--,"REBOUND DEF by ALTHAUS,JAXON",,,,,,,"REBOUND DEF by ALTHAUS,JAXON",1
14:42,"MISS JUMPER by SPRIGGS,EMIL(in the paint)",,,,,,,"MISS JUMPER by SPRIGGS,EMIL(in the paint)",1
14:42,,,,,"BLOCK  by SMITH,RJ",,,"BLOCK  by SMITH,RJ",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
14:42,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",1
14:10,"GOOD 3PTR by THOMPSON,ETHAN",9,,9,,WESTMO 9-9 (0),,"GOOD 3PTR by THOMPSON,ETHAN",1
--,"ASSIST  by HARRISON,LANDON",,,,,,,"ASSIST  by HARRISON,LANDON",1
13:50,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND DEF by ALTHAUS,JAXON",,,,,,,"REBOUND DEF by ALTHAUS,JAXON",1
13:36,"GOOD LAYUP by KEMPKER,TRE(in the paint)",11 (+2),,9,,WESTMO 11-9 (-2),,"GOOD LAYUP by KEMPKER,TRE(in the paint)",1
--,"ASSIST  by SPRIGGS,EMIL",,,,,,,"ASSIST  by SPRIGGS,EMIL",1
13:01,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",1
--,"REBOUND DEF by HARRISON,LANDON",,,,,,,"REBOUND DEF by HARRISON,LANDON",1
12:34,"TURNOVER  by KEMPKER,TRE",,,,,,,"TURNOVER  by KEMPKER,TRE",1
12:34,,,,,"STEAL  by SMITH,RJ",,,"STEAL  by SMITH,RJ",1
12:24,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:21,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:21,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
12:21,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",1
12:21,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
12:21,,,,,"SUB IN by WELLMAN,JARED",,,"SUB IN by WELLMAN,JARED",1
12:21,"SUB OUT by SPRIGGS,EMIL",,,,,,,"SUB OUT by SPRIGGS,EMIL",1
12:21,"SUB OUT by KEMPKER,TRE",,,,,,,"SUB OUT by KEMPKER,TRE",1
12:21,"SUB IN by HUBBARD,DEVONTE",,,,,,,"SUB IN by HUBBARD,DEVONTE",1
12:21,"SUB IN by EBERLIN,BEN",,,,,,,"SUB IN by EBERLIN,BEN",1
11:54,"MISS JUMPER by EBERLIN,BEN(in the paint)",,,,,,,"MISS JUMPER by EBERLIN,BEN(in the paint)",1
--,"REBOUND OFF by HUBBARD,DEVONTE",,,,,,,"REBOUND OFF by HUBBARD,DEVONTE",1
11:53,"TURNOVER  by EBERLIN,BEN",,,,,,,"TURNOVER  by EBERLIN,BEN",1
11:53,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
11:53,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
11:36,,,,,"MISS LAYUP by WILSON,DREW(in the paint)",,,"MISS LAYUP by WILSON,DREW(in the paint)",1
--,"REBOUND DEF by EBERLIN,BEN",,,,,,,"REBOUND DEF by EBERLIN,BEN",1
11:27,"GOOD JUMPER by EBERLIN,BEN",13 (+4),,9,,WESTMO 13-9 (-4),,"GOOD JUMPER by EBERLIN,BEN",1
--,"ASSIST  by HARRISON,LANDON",,,,,,,"ASSIST  by HARRISON,LANDON",1
11:10,,,,,"MISS 3PTR by WELLMAN,JARED",,,"MISS 3PTR by WELLMAN,JARED",1
--,"REBOUND DEF by HARRISON,LANDON",,,,,,,"REBOUND DEF by HARRISON,LANDON",1
10:57,"GOOD LAYUP by EBERLIN,BEN(in the paint)",15 (+6),,9,,WESTMO 15-9 (-6),,"GOOD LAYUP by EBERLIN,BEN(in the paint)",1
10:39,"FOUL  by EBERLIN,BEN",,,,,,,"FOUL  by EBERLIN,BEN",1
10:39,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
10:39,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
10:35,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND DEF by ALTHAUS,JAXON",,,,,,,"REBOUND DEF by ALTHAUS,JAXON",1
10:12,"GOOD 3PTR by HARRISON,LANDON",18 (+9),,9,,WESTMO 18-9 (-9),,"GOOD 3PTR by HARRISON,LANDON",1
--,"ASSIST  by ALTHAUS,JAXON",,,,,,,"ASSIST  by ALTHAUS,JAXON",1
10:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:11,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
10:11,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
10:11,"SUB OUT by HARRISON,LANDON",,,,,,,"SUB OUT by HARRISON,LANDON",1
10:11,"SUB OUT by ALTHAUS,JAXON",,,,,,,"SUB OUT by ALTHAUS,JAXON",1
10:11,"SUB IN by SPRIGGS,EMIL",,,,,,,"SUB IN by SPRIGGS,EMIL",1
10:11,"SUB IN by KEMPKER,TRE",,,,,,,"SUB IN by KEMPKER,TRE",1
09:46,,18 (+7),,11,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 18-11 (-7),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
--,,,,,"ASSIST  by WELLMAN,JARED",,,"ASSIST  by WELLMAN,JARED",1
09:19,"MISS 3PTR by KEMPKER,TRE",,,,,,,"MISS 3PTR by KEMPKER,TRE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:19,,,,,"FOUL  by WELLMAN,JARED",,,"FOUL  by WELLMAN,JARED",1
09:16,"TURNOVER  by SPRIGGS,EMIL",,,,,,,"TURNOVER  by SPRIGGS,EMIL",1
09:16,,,,,"STEAL  by WELLMAN,JARED",,,"STEAL  by WELLMAN,JARED",1
09:05,,,,,"MISS LAYUP by TAYLOR,MARSHALL(in the paint)",,,"MISS LAYUP by TAYLOR,MARSHALL(in the paint)",1
--,"REBOUND DEF by KEMPKER,TRE",,,,,,,"REBOUND DEF by KEMPKER,TRE",1
09:00,"TURNOVER  by SPRIGGS,EMIL",,,,,,,"TURNOVER  by SPRIGGS,EMIL",1
09:00,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",1
08:55,,18 (+5),,13,"GOOD LAYUP by BAUGHMAN,CARTER(fastbreak)(in the paint)",Centre 18-13 (-5),,"GOOD LAYUP by BAUGHMAN,CARTER(fastbreak)(in the paint)",1
08:37,"MISS 3PTR by THOMPSON,ETHAN",,,,,,,"MISS 3PTR by THOMPSON,ETHAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:20,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
08:20,"STEAL  by SPRIGGS,EMIL",,,,,,,"STEAL  by SPRIGGS,EMIL",1
08:05,"GOOD LAYUP by KEMPKER,TRE(in the paint)",20 (+7),,13,,WESTMO 20-13 (-7),,"GOOD LAYUP by KEMPKER,TRE(in the paint)",1
--,"ASSIST  by HUBBARD,DEVONTE",,,,,,,"ASSIST  by HUBBARD,DEVONTE",1
07:52,,,,,"MISS JUMPER by BAUGHMAN,CARTER",,,"MISS JUMPER by BAUGHMAN,CARTER",1
--,"REBOUND DEF by KEMPKER,TRE",,,,,,,"REBOUND DEF by KEMPKER,TRE",1
07:40,"MISS LAYUP by EBERLIN,BEN(in the paint)",,,,,,,"MISS LAYUP by EBERLIN,BEN(in the paint)",1
07:40,,,,,"BLOCK  by GERALD,DUSTIN",,,"BLOCK  by GERALD,DUSTIN",1
--,"REBOUND OFF by EBERLIN,BEN",,,,,,,"REBOUND OFF by EBERLIN,BEN",1
07:32,"GOOD LAYUP by EBERLIN,BEN(in the paint)",22 (+9),,13,,WESTMO 22-13 (-9),,"GOOD LAYUP by EBERLIN,BEN(in the paint)",1
07:07,,,,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",1
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",1
07:03,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by KEMPKER,TRE",,,,,,,"REBOUND DEF by KEMPKER,TRE",1
06:51,"TURNOVER  by EBERLIN,BEN",,,,,,,"TURNOVER  by EBERLIN,BEN",1
06:51,,,,,"STEAL  by WELLMAN,JARED",,,"STEAL  by WELLMAN,JARED",1
06:44,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",1
06:44,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",1
06:44,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
06:44,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
06:44,,,,,"SUB OUT by WELLMAN,JARED",,,"SUB OUT by WELLMAN,JARED",1
06:44,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
06:44,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
06:44,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",1
06:44,"SUB OUT by HUBBARD,DEVONTE",,,,,,,"SUB OUT by HUBBARD,DEVONTE",1
06:44,"SUB OUT by THOMPSON,ETHAN",,,,,,,"SUB OUT by THOMPSON,ETHAN",1
06:44,"SUB OUT by EBERLIN,BEN",,,,,,,"SUB OUT by EBERLIN,BEN",1
06:44,"SUB IN by GALBREATH,MAKYGH",,,,,,,"SUB IN by GALBREATH,MAKYGH",1
06:44,"SUB IN by HARRISON,LANDON",,,,,,,"SUB IN by HARRISON,LANDON",1
06:44,"SUB IN by ALTHAUS,JAXON",,,,,,,"SUB IN by ALTHAUS,JAXON",1
06:28,"MISS 3PTR by HARRISON,LANDON",,,,,,,"MISS 3PTR by HARRISON,LANDON",1
06:28,,,,,"BLOCK  by BANKS,JAXSON",,,"BLOCK  by BANKS,JAXSON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:15,"TURNOVER  by KEMPKER,TRE",,,,,,,"TURNOVER  by KEMPKER,TRE",1
06:15,,,,,"STEAL  by SMITH,RJ",,,"STEAL  by SMITH,RJ",1
05:48,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:25,"MISS JUMPER by HARRISON,LANDON",,,,,,,"MISS JUMPER by HARRISON,LANDON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:25,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",1
05:25,"SUB OUT by SPRIGGS,EMIL",,,,,,,"SUB OUT by SPRIGGS,EMIL",1
05:25,"SUB IN by WILLIAMS,COBY",,,,,,,"SUB IN by WILLIAMS,COBY",1
05:08,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",1
05:08,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
05:03,"MISS 3PTR by ALTHAUS,JAXON",,,,,,,"MISS 3PTR by ALTHAUS,JAXON",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
04:57,,22 (+7),,15,"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 22-15 (-7),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
04:47,"MISS JUMPER by ALTHAUS,JAXON(in the paint)",,,,,,,"MISS JUMPER by ALTHAUS,JAXON(in the paint)",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
04:37,,,,,"MISS JUMPER by WILSON,DREW",,,"MISS JUMPER by WILSON,DREW",1
--,"REBOUND DEF by GALBREATH,MAKYGH",,,,,,,"REBOUND DEF by GALBREATH,MAKYGH",1
04:15,"GOOD JUMPER by HARRISON,LANDON",24 (+9),,15,,WESTMO 24-15 (-9),,"GOOD JUMPER by HARRISON,LANDON",1
--,"ASSIST  by KEMPKER,TRE",,,,,,,"ASSIST  by KEMPKER,TRE",1
04:02,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
04:02,"STEAL  by WILLIAMS,COBY",,,,,,,"STEAL  by WILLIAMS,COBY",1
03:57,"GOOD LAYUP by WILLIAMS,COBY(fastbreak)(in the paint)",26 (+11),,15,,WESTMO 26-15 (-11),,"GOOD LAYUP by WILLIAMS,COBY(fastbreak)(in the paint)",1
03:57,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:40,,26 (+9),,17,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 26-17 (-9),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
03:21,"GOOD LAYUP by ALTHAUS,JAXON(in the paint)",28 (+11),,17,,WESTMO 28-17 (-11),,"GOOD LAYUP by ALTHAUS,JAXON(in the paint)",1
--,"ASSIST  by HARRISON,LANDON",,,,,,,"ASSIST  by HARRISON,LANDON",1
03:06,,28 (+8),,20,"GOOD 3PTR by WILLIAMS,JALEN",Centre 28-20 (-8),,"GOOD 3PTR by WILLIAMS,JALEN",1
--,,,,,"ASSIST  by SMITH,RJ",,,"ASSIST  by SMITH,RJ",1
02:41,"GOOD LAYUP by WILLIAMS,COBY(in the paint)",30 (+10),,20,,WESTMO 30-20 (-10),,"GOOD LAYUP by WILLIAMS,COBY(in the paint)",1
--,"ASSIST  by ALTHAUS,JAXON",,,,,,,"ASSIST  by ALTHAUS,JAXON",1
02:23,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,,,,,"REBOUND OFF by WILSON,DREW",,,"REBOUND OFF by WILSON,DREW",1
02:16,,30 (+8),,22,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 30-22 (-8),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
01:53,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",1
01:53,"GOOD FT by GALBREATH,MAKYGH",31 (+9),,22,,WESTMO 31-22 (-9),,"GOOD FT by GALBREATH,MAKYGH",1
01:53,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
01:53,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
01:53,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
01:53,,,,,"SUB IN by WELLMAN,JARED",,,"SUB IN by WELLMAN,JARED",1
01:53,"SUB OUT by WILLIAMS,COBY",,,,,,,"SUB OUT by WILLIAMS,COBY",1
01:53,"SUB IN by SPRIGGS,EMIL",,,,,,,"SUB IN by SPRIGGS,EMIL",1
01:53,"GOOD FT by GALBREATH,MAKYGH",32 (+10),,22,,WESTMO 32-22 (-10),,"GOOD FT by GALBREATH,MAKYGH",1
01:39,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
01:39,"BLOCK  by ALTHAUS,JAXON",,,,,,,"BLOCK  by ALTHAUS,JAXON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:23,,32 (+7),,25,"GOOD 3PTR by BAUGHMAN,CARTER",Centre 32-25 (-7),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,,,,,"ASSIST  by WILLIAMS,JALEN",,,"ASSIST  by WILLIAMS,JALEN",1
01:07,"MISS LAYUP by GALBREATH,MAKYGH(in the paint)",,,,,,,"MISS LAYUP by GALBREATH,MAKYGH(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:07,"SUB OUT by GALBREATH,MAKYGH",,,,,,,"SUB OUT by GALBREATH,MAKYGH",1
01:07,"SUB IN by HUBBARD,DEVONTE",,,,,,,"SUB IN by HUBBARD,DEVONTE",1
00:55,"GOOD LAYUP by ALTHAUS,JAXON(in the paint)",34 (+9),,25,,WESTMO 34-25 (-9),,"GOOD LAYUP by ALTHAUS,JAXON(in the paint)",1
00:43,,34 (+7),,27,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",Centre 34-27 (-7),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",1
00:27,"MISS JUMPER by KEMPKER,TRE(in the paint)",,,,,,,"MISS JUMPER by KEMPKER,TRE(in the paint)",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
00:27,"FOUL  by HUBBARD,DEVONTE",,,,,,,"FOUL  by HUBBARD,DEVONTE",1
00:03,"FOUL  by ALTHAUS,JAXON",,,,,,,"FOUL  by ALTHAUS,JAXON",1
00:03,,34 (+6),,28,"GOOD FT by GERALD,DUSTIN",Centre 34-28 (-6),,"GOOD FT by GERALD,DUSTIN",1
00:03,,,,,"SUB OUT by WELLMAN,JARED",,,"SUB OUT by WELLMAN,JARED",1
00:03,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
00:03,"SUB OUT by HUBBARD,DEVONTE",,,,,,,"SUB OUT by HUBBARD,DEVONTE",1
00:03,"SUB IN by THOMPSON,ETHAN",,,,,,,"SUB IN by THOMPSON,ETHAN",1
00:03,,34 (+5),,29,"GOOD FT by GERALD,DUSTIN",Centre 34-29 (-5),,"GOOD FT by GERALD,DUSTIN",1
00:03,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
00:03,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
00:00,"MISS 3PTR by SPRIGGS,EMIL",,,,,,,"MISS 3PTR by SPRIGGS,EMIL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",2
20:00,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
20:00,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
20:00,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",2
20:00,"SUB OUT by THOMPSON,ETHAN",,,,,,,"SUB OUT by THOMPSON,ETHAN",2
20:00,"SUB IN by GALBREATH,MAKYGH",,,,,,,"SUB IN by GALBREATH,MAKYGH",2
19:39,"MISS 3PTR by SPRIGGS,EMIL",,,,,,,"MISS 3PTR by SPRIGGS,EMIL",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
19:25,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",2
19:25,"STEAL  by HARRISON,LANDON",,,,,,,"STEAL  by HARRISON,LANDON",2
19:19,"GOOD LAYUP by HARRISON,LANDON(fastbreak)(in the paint)",36 (+7),,29,,WESTMO 36-29 (-7),,"GOOD LAYUP by HARRISON,LANDON(fastbreak)(in the paint)",2
18:52,,36 (+5),,31,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 36-31 (-5),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
--,,,,,"ASSIST  by SMITH,RJ",,,"ASSIST  by SMITH,RJ",2
18:30,"GOOD LAYUP by ALTHAUS,JAXON(in the paint)",38 (+7),,31,,WESTMO 38-31 (-7),,"GOOD LAYUP by ALTHAUS,JAXON(in the paint)",2
--,"ASSIST  by HARRISON,LANDON",,,,,,,"ASSIST  by HARRISON,LANDON",2
18:05,,,,,"MISS JUMPER by MOORE,CHEZ",,,"MISS JUMPER by MOORE,CHEZ",2
--,"REBOUND DEF by SPRIGGS,EMIL",,,,,,,"REBOUND DEF by SPRIGGS,EMIL",2
18:00,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",2
18:00,"MISS FT by KEMPKER,TRE(fastbreak)",,,,,,,"MISS FT by KEMPKER,TRE(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:00,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
18:00,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
18:00,"GOOD FT by KEMPKER,TRE(fastbreak)",39 (+8),,31,,WESTMO 39-31 (-8),,"GOOD FT by KEMPKER,TRE(fastbreak)",2
17:43,,,,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:22,"GOOD 3PTR by ALTHAUS,JAXON",42 (+11),,31,,WESTMO 42-31 (-11),,"GOOD 3PTR by ALTHAUS,JAXON",2
--,"ASSIST  by SPRIGGS,EMIL",,,,,,,"ASSIST  by SPRIGGS,EMIL",2
16:56,,42 (+8),,34,"GOOD 3PTR by BAUGHMAN,CARTER",Centre 42-34 (-8),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,,,,,"ASSIST  by SMITH,RJ",,,"ASSIST  by SMITH,RJ",2
16:34,"TURNOVER  by GALBREATH,MAKYGH",,,,,,,"TURNOVER  by GALBREATH,MAKYGH",2
16:24,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",2
16:24,,,,,"TURNOVER  by RING,NOAH",,,"TURNOVER  by RING,NOAH",2
16:00,"MISS 3PTR by HARRISON,LANDON",,,,,,,"MISS 3PTR by HARRISON,LANDON",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
15:49,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",2
15:49,"STEAL  by KEMPKER,TRE",,,,,,,"STEAL  by KEMPKER,TRE",2
