Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
11:51,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
11:51,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
11:37,,,,,"MISS 3PTR by BASS,DEVIN",,,"MISS 3PTR by BASS,DEVIN",1
--,,,,,"REBOUND OFF by STEPHEN,SETH",,,"REBOUND OFF by STEPHEN,SETH",1
11:33,,15 (+4),,11,"GOOD LAYUP by STEPHEN,SETH(in the paint)",Mill 15-11 (+4),,"GOOD LAYUP by STEPHEN,SETH(in the paint)",1
11:15,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,,,,,"REBOUND DEF by BASS,DEVIN",,,"REBOUND DEF by BASS,DEVIN",1
10:59,,15 (+1),,14,"GOOD 3PTR by RUCKER,CAM",Mill 15-14 (+1),,"GOOD 3PTR by RUCKER,CAM",1
--,,,,,"ASSIST  by BROWN,BRYCE",,,"ASSIST  by BROWN,BRYCE",1
10:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:57,,,,,"SUB OUT by BROWN,BRYCE",,,"SUB OUT by BROWN,BRYCE",1
10:57,,,,,"SUB IN by BROWN,BROCK",,,"SUB IN by BROWN,BROCK",1
10:57,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
10:57,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
10:57,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
10:57,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
10:57,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
10:57,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",1
10:30,"GOOD 3PTR by SMITH,RJ",18 (+4),,14,,Centre 18-14 (+4),,"GOOD 3PTR by SMITH,RJ",1
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",1
10:04,,,,,"MISS JUMPER by WILLIAMS,CAMERON",,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,"REBOUND DEF by KNOCHELMANN,PETE",,,,,,,"REBOUND DEF by KNOCHELMANN,PETE",1
09:48,"GOOD JUMPER by GERALD,DUSTIN",20 (+6),,14,,Centre 20-14 (+6),,"GOOD JUMPER by GERALD,DUSTIN",1
09:30,,20 (+3),,17,"GOOD 3PTR by BROWN,BROCK",Mill 20-17 (+3),,"GOOD 3PTR by BROWN,BROCK",1
--,,,,,"ASSIST  by WILLIAMS,CAMERON",,,"ASSIST  by WILLIAMS,CAMERON",1
09:15,,,,,"FOUL  by STEPHEN,SETH",,,"FOUL  by STEPHEN,SETH",1
09:15,"GOOD FT by WILSON,DREW",21 (+4),,17,,Centre 21-17 (+4),,"GOOD FT by WILSON,DREW",1
09:15,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
09:15,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",1
09:15,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
09:15,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
09:15,"MISS FT by WILSON,DREW",,,,,,,"MISS FT by WILSON,DREW",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
09:02,,,,,"TURNOVER  by BASS,DEVIN",,,"TURNOVER  by BASS,DEVIN",1
09:02,"STEAL  by SMITH,RJ",,,,,,,"STEAL  by SMITH,RJ",1
08:46,"GOOD 3PTR by SMITH,RJ",24 (+7),,17,,Centre 24-17 (+7),,"GOOD 3PTR by SMITH,RJ",1
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",1
08:30,,,,,"MISS 3PTR by RUCKER,CAM",,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND OFF by URSIN,AARON",,,"REBOUND OFF by URSIN,AARON",1
08:18,,,,,"MISS JUMPER by URSIN,AARON",,,"MISS JUMPER by URSIN,AARON",1
--,"REBOUND DEF by WILLIAMS,JALEN",,,,,,,"REBOUND DEF by WILLIAMS,JALEN",1
08:01,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",1
--,"REBOUND OFF by KNOCHELMANN,PETE",,,,,,,"REBOUND OFF by KNOCHELMANN,PETE",1
07:57,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",,,,,,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",1
--,,,,,"REBOUND DEF by BASS,DEVIN",,,"REBOUND DEF by BASS,DEVIN",1
07:51,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
07:32,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",26 (+9),,17,,Centre 26-17 (+9),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
07:06,,26 (+7),,19,"GOOD JUMPER by URSIN,AARON(in the paint)",Mill 26-19 (+7),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
06:48,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
06:48,,,,,"STEAL  by RUCKER,CAM",,,"STEAL  by RUCKER,CAM",1
06:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:48,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
06:48,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
06:48,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
06:48,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
06:48,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",1
06:48,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
06:48,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
06:48,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
06:30,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
06:14,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
06:14,,,,,"BLOCK  by BASS,DEVIN",,,"BLOCK  by BASS,DEVIN",1
--,,,,,"REBOUND DEF by BROWN,BROCK",,,"REBOUND DEF by BROWN,BROCK",1
06:05,,26 (+5),,21,"GOOD LAYUP by WATSON,DOUG(in the paint)",Mill 26-21 (+5),,"GOOD LAYUP by WATSON,DOUG(in the paint)",1
--,,,,,"ASSIST  by BROWN,BROCK",,,"ASSIST  by BROWN,BROCK",1
06:05,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",1
06:05,,26 (+4),,22,"GOOD FT by WATSON,DOUG",Mill 26-22 (+4),,"GOOD FT by WATSON,DOUG",1
05:47,"GOOD LAYUP by MOORE,CHEZ(in the paint)",28 (+6),,22,,Centre 28-22 (+6),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",1
05:31,,,,,"MISS 3PTR by BROWN,BROCK",,,"MISS 3PTR by BROWN,BROCK",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
05:14,"GOOD LAYUP by MOORE,CHEZ(in the paint)",30 (+8),,22,,Centre 30-22 (+8),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
05:12,,,,,"SUB OUT by BASS,DEVIN",,,"SUB OUT by BASS,DEVIN",1
05:12,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",1
05:12,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
05:12,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
05:12,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
05:12,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
04:55,,,,,"MISS 3PTR by GILLIHAN,NEWLON",,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
04:39,"MISS JUMPER by SMITH,RJ(in the paint)",,,,,,,"MISS JUMPER by SMITH,RJ(in the paint)",1
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",1
04:33,"GOOD JUMPER by WILSON,DREW(in the paint)",32 (+10),,22,,Centre 32-22 (+10),,"GOOD JUMPER by WILSON,DREW(in the paint)",1
04:14,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",,,"MISS JUMPER by URSIN,AARON(in the paint)",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
04:07,"MISS JUMPER by BAUGHMAN,CARTER(in the paint)",,,,,,,"MISS JUMPER by BAUGHMAN,CARTER(in the paint)",1
04:07,,,,,"BLOCK  by WATSON,DOUG",,,"BLOCK  by WATSON,DOUG",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:07,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
04:07,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
04:03,"GOOD LAYUP by SMITH,RJ(in the paint)",34 (+12),,22,,Centre 34-22 (+12),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",1
03:47,,,,,"MISS JUMPER by GILLIHAN,NEWLON",,,"MISS JUMPER by GILLIHAN,NEWLON",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
03:37,"MISS JUMPER by GERALD,DUSTIN",,,,,,,"MISS JUMPER by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
03:28,,,,,"MISS 3PTR by BROWN,BROCK",,,"MISS 3PTR by BROWN,BROCK",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
02:57,"MISS JUMPER by BAUGHMAN,CARTER",,,,,,,"MISS JUMPER by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
02:45,,,,,"MISS JUMPER by WILLIAMS,CAMERON",,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
02:35,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
02:35,,,,,"BLOCK  by URSIN,AARON",,,"BLOCK  by URSIN,AARON",1
--,,,,,"REBOUND DEF by BROWN,BROCK",,,"REBOUND DEF by BROWN,BROCK",1
02:30,,34 (+10),,24,"GOOD LAYUP by WATSON,DOUG(fastbreak)(in the paint)",Mill 34-24 (+10),,"GOOD LAYUP by WATSON,DOUG(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BROWN,BROCK",,,"ASSIST  by BROWN,BROCK",1
02:10,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
02:10,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
02:10,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
02:10,,,,,"SUB OUT by BROWN,BROCK",,,"SUB OUT by BROWN,BROCK",1
02:10,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
02:10,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
02:10,,,,,"SUB IN by BROWN,BRYCE",,,"SUB IN by BROWN,BRYCE",1
02:10,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
02:10,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
02:10,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
02:10,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
02:10,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
01:51,"FOUL  by WILLIAMS,JALEN",,,,,,,"FOUL  by WILLIAMS,JALEN",1
01:51,,,,,"MISS FT by WILLIAMS,CAMERON",,,"MISS FT by WILLIAMS,CAMERON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:51,,34 (+9),,25,"GOOD FT by WILLIAMS,CAMERON",Mill 34-25 (+9),,"GOOD FT by WILLIAMS,CAMERON",1
01:34,,,,,"FOUL  by GILLIHAN,NEWLON",,,"FOUL  by GILLIHAN,NEWLON",1
01:23,"GOOD JUMPER by GERALD,DUSTIN",36 (+11),,25,,Centre 36-25 (+11),,"GOOD JUMPER by GERALD,DUSTIN",1
01:07,,,,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
00:42,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",1
--,,,,,"REBOUND DEF by RUCKER,CAM",,,"REBOUND DEF by RUCKER,CAM",1
00:32,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:32,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
00:32,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
00:32,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
00:32,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
00:14,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",1
00:14,,36 (+10),,26,"GOOD FT by BROWN,BRYCE",Mill 36-26 (+10),,"GOOD FT by BROWN,BRYCE",1
00:14,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",1
00:14,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
00:14,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
00:14,,,,,"SUB IN by BASS,DEVIN",,,"SUB IN by BASS,DEVIN",1
00:14,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
00:14,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
00:14,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
00:14,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
00:14,,36 (+9),,27,"GOOD FT by BROWN,BRYCE",Mill 36-27 (+9),,"GOOD FT by BROWN,BRYCE",1
00:14,,,,,"SUB OUT by BROWN,BRYCE",,,"SUB OUT by BROWN,BRYCE",1
00:14,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
00:01,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",1
--,,,,,"REBOUND DEF by GILLIHAN,NEWLON",,,"REBOUND DEF by GILLIHAN,NEWLON",1
20:00,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",2
20:00,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",2
20:00,,,,,"SUB OUT by BASS,DEVIN",,,"SUB OUT by BASS,DEVIN",2
20:00,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",2
20:00,,,,,"SUB IN by BROWN,BRYCE",,,"SUB IN by BROWN,BRYCE",2
20:00,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",2
20:00,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
20:00,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",2
19:47,,,,,"MISS LAYUP by WILLIAMS,CAMERON(in the paint)",,,"MISS LAYUP by WILLIAMS,CAMERON(in the paint)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:37,,,,,"MISS JUMPER by WILLIAMS,CAMERON(in the paint)",,,"MISS JUMPER by WILLIAMS,CAMERON(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:17,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",2
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",2
19:10,,36 (+7),,29,"GOOD LAYUP by WILLIAMS,CAMERON(fastbreak)(in the paint)",Mill 36-29 (+7),,"GOOD LAYUP by WILLIAMS,CAMERON(fastbreak)(in the paint)",2
18:47,"GOOD LAYUP by MOORE,CHEZ(in the paint)",38 (+9),,29,,Centre 38-29 (+9),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
18:34,,,,,"MISS JUMPER by BROWN,BRYCE",,,"MISS JUMPER by BROWN,BRYCE",2
--,,,,,"REBOUND OFF by BROWN,BRYCE",,,"REBOUND OFF by BROWN,BRYCE",2
18:30,,38 (+7),,31,"GOOD LAYUP by URSIN,AARON(in the paint)",Mill 38-31 (+7),,"GOOD LAYUP by URSIN,AARON(in the paint)",2
--,,,,,"ASSIST  by BROWN,BRYCE",,,"ASSIST  by BROWN,BRYCE",2
18:13,"TURNOVER  by GERALD,DUSTIN",,,,,,,"TURNOVER  by GERALD,DUSTIN",2
17:57,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",,,"MISS JUMPER by URSIN,AARON(in the paint)",2
--,,,,,"REBOUND OFF by BROWN,BRYCE",,,"REBOUND OFF by BROWN,BRYCE",2
17:45,,,,,"TURNOVER  by BROWN,BRYCE",,,"TURNOVER  by BROWN,BRYCE",2
17:45,"STEAL  by MOORE,CHEZ",,,,,,,"STEAL  by MOORE,CHEZ",2
17:34,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",2
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",2
17:30,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",2
17:30,,,,,"SUB IN by BASS,DEVIN",,,"SUB IN by BASS,DEVIN",2
