Time Remaining,Transy,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
17:01,"GOOD 3PTR by NAPIER,COLBY",9 (+7),,2,,Transy 9-2 (-7),,"GOOD 3PTR by NAPIER,COLBY",1
--,"ASSIST  by PENN,HUNTER",,,,,,,"ASSIST  by PENN,HUNTER",1
16:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:59,"SUB OUT by CROMWELL,BRANDON",,,,,,,"SUB OUT by CROMWELL,BRANDON",1
16:59,"SUB IN by TEAGUE,MATTHEW",,,,,,,"SUB IN by TEAGUE,MATTHEW",1
16:32,,9 (+4),,5,"GOOD 3PTR by GERALD,DUSTIN",Centre 9-5 (-4),,"GOOD 3PTR by GERALD,DUSTIN",1
--,,,,,"ASSIST  by SMITH,RJ",,,"ASSIST  by SMITH,RJ",1
16:06,"GOOD JUMPER by PENN,HUNTER(in the paint)",11 (+6),,5,,Transy 11-5 (-6),,"GOOD JUMPER by PENN,HUNTER(in the paint)",1
--,"ASSIST  by PATTON,JACK",,,,,,,"ASSIST  by PATTON,JACK",1
15:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:31,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",1
15:31,"STEAL  by PATTON,JACK",,,,,,,"STEAL  by PATTON,JACK",1
15:21,"MISS 3PTR by TEAGUE,MATTHEW",,,,,,,"MISS 3PTR by TEAGUE,MATTHEW",1
--,"REBOUND OFF by PATTON,JACK",,,,,,,"REBOUND OFF by PATTON,JACK",1
15:09,"GOOD JUMPER by LARIMORE,ZACH",13 (+8),,5,,Transy 13-5 (-8),,"GOOD JUMPER by LARIMORE,ZACH",1
14:56,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
14:56,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",1
14:44,,13 (+6),,7,"GOOD JUMPER by WILLIAMS,JALEN",Centre 13-7 (-6),,"GOOD JUMPER by WILLIAMS,JALEN",1
14:23,"GOOD JUMPER by PENN,HUNTER",15 (+8),,7,,Transy 15-7 (-8),,"GOOD JUMPER by PENN,HUNTER",1
--,"ASSIST  by PATTON,JACK",,,,,,,"ASSIST  by PATTON,JACK",1
14:03,,15 (+6),,9,"GOOD JUMPER by WILLIAMS,JALEN(in the paint)",Centre 15-9 (-6),,"GOOD JUMPER by WILLIAMS,JALEN(in the paint)",1
13:47,"TURNOVER  by TEAGUE,MATTHEW",,,,,,,"TURNOVER  by TEAGUE,MATTHEW",1
13:47,,,,,"STEAL  by SMITH,RJ",,,"STEAL  by SMITH,RJ",1
13:24,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",1
--,"REBOUND DEF by PENN,HUNTER",,,,,,,"REBOUND DEF by PENN,HUNTER",1
13:12,"GOOD 3PTR by NAPIER,COLBY",18 (+9),,9,,Transy 18-9 (-9),,"GOOD 3PTR by NAPIER,COLBY",1
--,"ASSIST  by LARIMORE,ZACH",,,,,,,"ASSIST  by LARIMORE,ZACH",1
12:56,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",1
12:56,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
12:56,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
12:56,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
12:56,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
12:56,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
12:56,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
12:56,"SUB OUT by PATTON,JACK",,,,,,,"SUB OUT by PATTON,JACK",1
12:56,"SUB OUT by PENN,HUNTER",,,,,,,"SUB OUT by PENN,HUNTER",1
12:56,"SUB IN by HUDSON,ETHAN",,,,,,,"SUB IN by HUDSON,ETHAN",1
12:56,"SUB IN by SCHROEDER,LUKE",,,,,,,"SUB IN by SCHROEDER,LUKE",1
12:36,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
12:36,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
12:35,"MISS 3PTR by LARIMORE,ZACH",,,,,,,"MISS 3PTR by LARIMORE,ZACH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:21,"FOUL  by TEAGUE,MATTHEW",,,,,,,"FOUL  by TEAGUE,MATTHEW",1
12:21,,18 (+8),,10,"GOOD FT by BANKS,JAXSON",Centre 18-10 (-8),,"GOOD FT by BANKS,JAXSON",1
12:21,,,,,"MISS FT by BANKS,JAXSON",,,"MISS FT by BANKS,JAXSON",1
--,"REBOUND DEF by TEAGUE,MATTHEW",,,,,,,"REBOUND DEF by TEAGUE,MATTHEW",1
12:21,"TURNOVER  by TEAGUE,MATTHEW",,,,,,,"TURNOVER  by TEAGUE,MATTHEW",1
12:21,,,,,"STEAL  by BANKS,JAXSON",,,"STEAL  by BANKS,JAXSON",1
12:17,,18 (+5),,13,"GOOD 3PTR by GERALD,DUSTIN",Centre 18-13 (-5),,"GOOD 3PTR by GERALD,DUSTIN",1
12:14,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",1
12:11,"MISS 3PTR by NAPIER,COLBY",,,,,,,"MISS 3PTR by NAPIER,COLBY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:53,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",1
11:53,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
11:53,"SUB OUT by TEAGUE,MATTHEW",,,,,,,"SUB OUT by TEAGUE,MATTHEW",1
11:53,"SUB OUT by NAPIER,COLBY",,,,,,,"SUB OUT by NAPIER,COLBY",1
11:53,"SUB IN by CROMWELL,BRANDON",,,,,,,"SUB IN by CROMWELL,BRANDON",1
11:53,"SUB IN by PATTON,JACK",,,,,,,"SUB IN by PATTON,JACK",1
11:52,"FOUL  by SCHROEDER,LUKE",,,,,,,"FOUL  by SCHROEDER,LUKE",1
11:25,,18 (+2),,16,"GOOD 3PTR by SMITH,RJ",Centre 18-16 (-2),,"GOOD 3PTR by SMITH,RJ",1
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",1
10:56,"MISS 3PTR by CROMWELL,BRANDON",,,,,,,"MISS 3PTR by CROMWELL,BRANDON",1
--,"REBOUND OFF by CROMWELL,BRANDON",,,,,,,"REBOUND OFF by CROMWELL,BRANDON",1
10:45,"MISS JUMPER by CROMWELL,BRANDON(in the paint)",,,,,,,"MISS JUMPER by CROMWELL,BRANDON(in the paint)",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
10:35,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",1
10:35,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
10:35,,,,,"SUB IN by WELLMAN,JARED",,,"SUB IN by WELLMAN,JARED",1
10:35,"SUB OUT by SCHROEDER,LUKE",,,,,,,"SUB OUT by SCHROEDER,LUKE",1
10:35,"SUB IN by PENN,HUNTER",,,,,,,"SUB IN by PENN,HUNTER",1
10:10,"MISS JUMPER by PENN,HUNTER",,,,,,,"MISS JUMPER by PENN,HUNTER",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
09:57,"FOUL  by NAPIER,COLBY",,,,,,,"FOUL  by NAPIER,COLBY",1
09:57,,18 (+1),,17,"GOOD FT by WILSON,DREW",Centre 18-17 (-1),,"GOOD FT by WILSON,DREW",1
09:57,"SUB OUT by HUDSON,ETHAN",,,,,,,"SUB OUT by HUDSON,ETHAN",1
09:57,"SUB IN by NAPIER,COLBY",,,,,,,"SUB IN by NAPIER,COLBY",1
09:57,,18,,18,"GOOD FT by WILSON,DREW",Centre 18-18 (0),,"GOOD FT by WILSON,DREW",1
09:51,"TURNOVER  by LARIMORE,ZACH",,,,,,,"TURNOVER  by LARIMORE,ZACH",1
09:51,,,,,"STEAL  by SMITH,RJ",,,"STEAL  by SMITH,RJ",1
09:27,,,,,"MISS 3PTR by WELLMAN,JARED",,,"MISS 3PTR by WELLMAN,JARED",1
--,"REBOUND DEF by NAPIER,COLBY",,,,,,,"REBOUND DEF by NAPIER,COLBY",1
09:15,"TURNOVER  by CROMWELL,BRANDON",,,,,,,"TURNOVER  by CROMWELL,BRANDON",1
09:15,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",1
09:01,,18,,20 (+2),"GOOD JUMPER by WELLMAN,JARED(fastbreak)(in the paint)",Centre 18-20 (+2),,"GOOD JUMPER by WELLMAN,JARED(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
08:52,"TURNOVER  by LARIMORE,ZACH",,,,,,,"TURNOVER  by LARIMORE,ZACH",1
08:36,,18,,22 (+4),"GOOD JUMPER by WILSON,DREW(in the paint)",Centre 18-22 (+4),,"GOOD JUMPER by WILSON,DREW(in the paint)",1
08:15,"GOOD JUMPER by PENN,HUNTER(in the paint)",20,,22 (+2),,Transy 20-22 (+2),,"GOOD JUMPER by PENN,HUNTER(in the paint)",1
08:15,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",1
08:15,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
08:15,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
08:15,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
08:15,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
08:15,"MISS FT by PENN,HUNTER",,,,,,,"MISS FT by PENN,HUNTER",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
--,"ASSIST  by PATTON,JACK",,,,,,,"ASSIST  by PATTON,JACK",1
07:58,,,,,"MISS 3PTR by WILSON,DREW",,,"MISS 3PTR by WILSON,DREW",1
--,"REBOUND DEF by PATTON,JACK",,,,,,,"REBOUND DEF by PATTON,JACK",1
07:47,"GOOD 3PTR by PATTON,JACK",23 (+1),,22,,Transy 23-22 (-1),,"GOOD 3PTR by PATTON,JACK",1
07:33,,23,,24 (+1),"GOOD JUMPER by WILSON,DREW(in the paint)",Centre 23-24 (+1),,"GOOD JUMPER by WILSON,DREW(in the paint)",1
07:25,"FOUL  by PATTON,JACK",,,,,,,"FOUL  by PATTON,JACK",1
07:25,"TURNOVER  by PATTON,JACK",,,,,,,"TURNOVER  by PATTON,JACK",1
07:25,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:16,"SUB OUT by LARIMORE,ZACH",,,,,,,"SUB OUT by LARIMORE,ZACH",1
07:16,"SUB IN by PASHLEY,AIDEN",,,,,,,"SUB IN by PASHLEY,AIDEN",1
06:51,"FOUL  by LARIMORE,ZACH",,,,,,,"FOUL  by LARIMORE,ZACH",1
06:47,"SUB OUT by PATTON,JACK",,,,,,,"SUB OUT by PATTON,JACK",1
06:47,"SUB IN by LARIMORE,ZACH",,,,,,,"SUB IN by LARIMORE,ZACH",1
06:47,,23,,25 (+2),"GOOD FT by RING,NOAH",Centre 23-25 (+2),,"GOOD FT by RING,NOAH",1
06:47,,23,,26 (+3),"GOOD FT by RING,NOAH",Centre 23-26 (+3),,"GOOD FT by RING,NOAH",1
06:42,"GOOD LAYUP by PENN,HUNTER(in the paint)",25,,26 (+1),,Transy 25-26 (+1),,"GOOD LAYUP by PENN,HUNTER(in the paint)",1
--,"ASSIST  by NAPIER,COLBY",,,,,,,"ASSIST  by NAPIER,COLBY",1
06:18,,,,,"TURNOVER  by WILLIAMS,JALEN",,,"TURNOVER  by WILLIAMS,JALEN",1
06:18,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
06:18,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
06:18,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
06:18,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",1
06:16,,,,,"SUB OUT by WELLMAN,JARED",,,"SUB OUT by WELLMAN,JARED",1
06:16,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
06:16,"SUB OUT by CROMWELL,BRANDON",,,,,,,"SUB OUT by CROMWELL,BRANDON",1
06:16,"SUB IN by TEAGUE,MATTHEW",,,,,,,"SUB IN by TEAGUE,MATTHEW",1
05:58,"GOOD JUMPER by TEAGUE,MATTHEW",27 (+1),,26,,Transy 27-26 (-1),,"GOOD JUMPER by TEAGUE,MATTHEW",1
05:47,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,,,,,"REBOUND OFF by BANKS,JAXSON",,,"REBOUND OFF by BANKS,JAXSON",1
05:35,"MISS JUMPER by PENN,HUNTER",,,,,,,"MISS JUMPER by PENN,HUNTER",1
05:35,,,,,"MISS LAYUP by BANKS,JAXSON(in the paint)",,,"MISS LAYUP by BANKS,JAXSON(in the paint)",1
--,"REBOUND DEF by PENN,HUNTER",,,,,,,"REBOUND DEF by PENN,HUNTER",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
05:10,,27,,29 (+2),"GOOD 3PTR by BAUGHMAN,CARTER",Centre 27-29 (+2),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,,,,,"ASSIST  by BANKS,JAXSON",,,"ASSIST  by BANKS,JAXSON",1
05:05,"MISS LAYUP by LARIMORE,ZACH(in the paint)",,,,,,,"MISS LAYUP by LARIMORE,ZACH(in the paint)",1
--,"REBOUND OFF by PENN,HUNTER",,,,,,,"REBOUND OFF by PENN,HUNTER",1
04:53,"MISS 3PTR by LARIMORE,ZACH",,,,,,,"MISS 3PTR by LARIMORE,ZACH",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
04:45,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",1
--,"REBOUND DEF by LARIMORE,ZACH",,,,,,,"REBOUND DEF by LARIMORE,ZACH",1
04:42,"MISS 3PTR by NAPIER,COLBY",,,,,,,"MISS 3PTR by NAPIER,COLBY",1
--,"REBOUND OFF by PENN,HUNTER",,,,,,,"REBOUND OFF by PENN,HUNTER",1
04:36,"TURNOVER  by LARIMORE,ZACH",,,,,,,"TURNOVER  by LARIMORE,ZACH",1
04:36,,,,,"STEAL  by MOORE,CHEZ",,,"STEAL  by MOORE,CHEZ",1
04:26,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",1
--,"REBOUND DEF by TEAGUE,MATTHEW",,,,,,,"REBOUND DEF by TEAGUE,MATTHEW",1
04:18,"MISS JUMPER by TEAGUE,MATTHEW",,,,,,,"MISS JUMPER by TEAGUE,MATTHEW",1
--,,,,,"REBOUND DEF by BANKS,JAXSON",,,"REBOUND DEF by BANKS,JAXSON",1
04:09,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by PENN,HUNTER",,,,,,,"REBOUND DEF by PENN,HUNTER",1
03:47,"MISS 3PTR by NAPIER,COLBY",,,,,,,"MISS 3PTR by NAPIER,COLBY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:43,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:42,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
03:42,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
03:42,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
03:42,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
03:42,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
03:42,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
03:29,,27,,31 (+4),"GOOD JUMPER by GERALD,DUSTIN(in the paint)",Centre 27-31 (+4),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
03:07,"MISS JUMPER by LARIMORE,ZACH(in the paint)",,,,,,,"MISS JUMPER by LARIMORE,ZACH(in the paint)",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
02:57,,,,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",1
--,"REBOUND DEF by LARIMORE,ZACH",,,,,,,"REBOUND DEF by LARIMORE,ZACH",1
02:42,"MISS 3PTR by TEAGUE,MATTHEW",,,,,,,"MISS 3PTR by TEAGUE,MATTHEW",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
02:32,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND DEF by PENN,HUNTER",,,,,,,"REBOUND DEF by PENN,HUNTER",1
02:19,"MISS JUMPER by TEAGUE,MATTHEW",,,,,,,"MISS JUMPER by TEAGUE,MATTHEW",1
02:18,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
02:18,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
02:18,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
02:18,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
02:18,"SUB OUT by TEAGUE,MATTHEW",,,,,,,"SUB OUT by TEAGUE,MATTHEW",1
02:18,"SUB IN by CROMWELL,BRANDON",,,,,,,"SUB IN by CROMWELL,BRANDON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:11,,27,,33 (+6),"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 27-33 (+6),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
--,,,,,"ASSIST  by BANKS,JAXSON",,,"ASSIST  by BANKS,JAXSON",1
01:44,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
01:44,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
01:44,"SUB OUT by LARIMORE,ZACH",,,,,,,"SUB OUT by LARIMORE,ZACH",1
01:44,"SUB IN by HUDSON,ETHAN",,,,,,,"SUB IN by HUDSON,ETHAN",1
01:37,"MISS JUMPER by CROMWELL,BRANDON",,,,,,,"MISS JUMPER by CROMWELL,BRANDON",1
--,"REBOUND OFF by NAPIER,COLBY",,,,,,,"REBOUND OFF by NAPIER,COLBY",1
01:33,,,,,"FOUL  by BANKS,JAXSON",,,"FOUL  by BANKS,JAXSON",1
01:33,"MISS FT by NAPIER,COLBY",,,,,,,"MISS FT by NAPIER,COLBY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:33,"GOOD FT by NAPIER,COLBY",28,,33 (+5),,Transy 28-33 (+5),,"GOOD FT by NAPIER,COLBY",1
01:13,,,,,"TURNOVER  by WILSON,DREW",,,"TURNOVER  by WILSON,DREW",1
01:13,"STEAL  by CROMWELL,BRANDON",,,,,,,"STEAL  by CROMWELL,BRANDON",1
01:02,"GOOD JUMPER by CROMWELL,BRANDON(fastbreak)(in the paint)",30,,33 (+3),,Transy 30-33 (+3),,"GOOD JUMPER by CROMWELL,BRANDON(fastbreak)(in the paint)",1
00:52,,30,,35 (+5),"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 30-35 (+5),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
00:44,"MISS 3PTR by NAPIER,COLBY",,,,,,,"MISS 3PTR by NAPIER,COLBY",1
00:44,,,,,"BLOCK  by BANKS,JAXSON",,,"BLOCK  by BANKS,JAXSON",1
--,"REBOUND OFF by PENN,HUNTER",,,,,,,"REBOUND OFF by PENN,HUNTER",1
00:39,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",1
00:39,"GOOD FT by PENN,HUNTER",31,,35 (+4),,Transy 31-35 (+4),,"GOOD FT by PENN,HUNTER",1
00:38,"MISS FT by PENN,HUNTER",,,,,,,"MISS FT by PENN,HUNTER",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
00:14,,31,,37 (+6),"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 31-37 (+6),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
00:03,"MISS JUMPER by PENN,HUNTER",,,,,,,"MISS JUMPER by PENN,HUNTER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
20:00,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",2
20:00,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",2
20:00,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
20:00,"SUB OUT by HUDSON,ETHAN",,,,,,,"SUB OUT by HUDSON,ETHAN",2
20:00,"SUB OUT by PASHLEY,AIDEN",,,,,,,"SUB OUT by PASHLEY,AIDEN",2
20:00,"SUB IN by PATTON,JACK",,,,,,,"SUB IN by PATTON,JACK",2
20:00,"SUB IN by LARIMORE,ZACH",,,,,,,"SUB IN by LARIMORE,ZACH",2
19:41,,31,,39 (+8),"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 31-39 (+8),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
19:17,"TURNOVER  by PENN,HUNTER",,,,,,,"TURNOVER  by PENN,HUNTER",2
19:05,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
18:44,"GOOD 3PTR by NAPIER,COLBY",34,,39 (+5),,Transy 34-39 (+5),,"GOOD 3PTR by NAPIER,COLBY",2
--,"ASSIST  by LARIMORE,ZACH",,,,,,,"ASSIST  by LARIMORE,ZACH",2
18:19,,,,,"TURNOVER  by WILLIAMS,JALEN",,,"TURNOVER  by WILLIAMS,JALEN",2
18:19,"STEAL  by PENN,HUNTER",,,,,,,"STEAL  by PENN,HUNTER",2
18:09,"MISS LAYUP by LARIMORE,ZACH(in the paint)",,,,,,,"MISS LAYUP by LARIMORE,ZACH(in the paint)",2
--,"REBOUND OFF by PENN,HUNTER",,,,,,,"REBOUND OFF by PENN,HUNTER",2
18:05,"MISS LAYUP by PENN,HUNTER(in the paint)",,,,,,,"MISS LAYUP by PENN,HUNTER(in the paint)",2
--,"REBOUND OFF by LARIMORE,ZACH",,,,,,,"REBOUND OFF by LARIMORE,ZACH",2
18:00,"MISS JUMPER by LARIMORE,ZACH(in the paint)",,,,,,,"MISS JUMPER by LARIMORE,ZACH(in the paint)",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
17:52,,,,,"MISS JUMPER by MOORE,CHEZ(in the paint)",,,"MISS JUMPER by MOORE,CHEZ(in the paint)",2
17:52,"BLOCK  by LARIMORE,ZACH",,,,,,,"BLOCK  by LARIMORE,ZACH",2
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",2
17:39,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
--,"REBOUND DEF by NAPIER,COLBY",,,,,,,"REBOUND DEF by NAPIER,COLBY",2
17:36,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",2
17:36,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
17:26,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",2
