Time Remaining,Frank,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
14:40,,44 (+4),,40,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 44-40 (-4),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",2
14:27,"GOOD 3PTR by WRIGHT,TY",47 (+7),,40,,Frank 47-40 (-7),,"GOOD 3PTR by WRIGHT,TY",2
--,"ASSIST  by CROWE,CARTER",,,,,,,"ASSIST  by CROWE,CARTER",2
14:01,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",2
14:01,"STEAL  by KRAUSE,MATT",,,,,,,"STEAL  by KRAUSE,MATT",2
13:55,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",2
13:55,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
13:55,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
13:55,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
13:55,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
13:49,"GOOD LAYUP by WRIGHT,TY(in the paint)",49 (+9),,40,,Frank 49-40 (-9),,"GOOD LAYUP by WRIGHT,TY(in the paint)",2
13:33,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:31,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",2
13:31,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",2
13:31,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",2
13:17,"TURNOVER  by CROWE,CARTER",,,,,,,"TURNOVER  by CROWE,CARTER",2
13:17,,,,,"STEAL  by KNOCHELMANN,PETE",,,"STEAL  by KNOCHELMANN,PETE",2
13:05,,49 (+7),,42,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",Centre 49-42 (-7),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",2
12:40,"MISS LAYUP by O'MARA,MITCH(in the paint)",,,,,,,"MISS LAYUP by O'MARA,MITCH(in the paint)",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
12:23,,49 (+5),,44,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",Centre 49-44 (-5),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",2
12:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:16,"SUB OUT by KING,LYNN",,,,,,,"SUB OUT by KING,LYNN",2
12:16,"SUB IN by WIGGINS,RYAN",,,,,,,"SUB IN by WIGGINS,RYAN",2
12:13,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",2
12:13,,,,,"SUB IN by WELLMAN,JARED",,,"SUB IN by WELLMAN,JARED",2
12:06,"MISS 3PTR by KRAUSE,MATT",,,,,,,"MISS 3PTR by KRAUSE,MATT",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
11:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:27,"FOUL  by O'MARA,MITCH",,,,,,,"FOUL  by O'MARA,MITCH",2
11:27,,49 (+4),,45,"GOOD FT by RING,NOAH",Centre 49-45 (-4),,"GOOD FT by RING,NOAH",2
11:27,,,,,"MISS FT by RING,NOAH",,,"MISS FT by RING,NOAH",2
--,"REBOUND DEF by KRAUSE,MATT",,,,,,,"REBOUND DEF by KRAUSE,MATT",2
11:16,"GOOD JUMPER by WRIGHT,TY(in the paint)",51 (+6),,45,,Frank 51-45 (-6),,"GOOD JUMPER by WRIGHT,TY(in the paint)",2
--,"ASSIST  by O'MARA,MITCH",,,,,,,"ASSIST  by O'MARA,MITCH",2
10:48,,,,,"TURNOVER  by RING,NOAH",,,"TURNOVER  by RING,NOAH",2
10:48,"STEAL  by O'MARA,MITCH",,,,,,,"STEAL  by O'MARA,MITCH",2
10:42,"GOOD JUMPER by WRIGHT,TY(fastbreak)(in the paint)",53 (+8),,45,,Frank 53-45 (-8),,"GOOD JUMPER by WRIGHT,TY(fastbreak)(in the paint)",2
10:18,,,,,"TURNOVER  by RING,NOAH",,,"TURNOVER  by RING,NOAH",2
10:18,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",2
10:18,,,,,"SUB OUT by WELLMAN,JARED",,,"SUB OUT by WELLMAN,JARED",2
10:18,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
10:18,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
10:18,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",2
10:18,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
10:18,"SUB OUT by KRAUSE,MATT",,,,,,,"SUB OUT by KRAUSE,MATT",2
10:18,"SUB IN by KING,LYNN",,,,,,,"SUB IN by KING,LYNN",2
10:04,"MISS LAYUP by WIGGINS,RYAN(in the paint)",,,,,,,"MISS LAYUP by WIGGINS,RYAN(in the paint)",2
--,"REBOUND OFF by WIGGINS,RYAN",,,,,,,"REBOUND OFF by WIGGINS,RYAN",2
09:59,"MISS JUMPER by WIGGINS,RYAN(in the paint)",,,,,,,"MISS JUMPER by WIGGINS,RYAN(in the paint)",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
09:50,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",2
09:50,,,,,"TURNOVER  by WILSON,DREW",,,"TURNOVER  by WILSON,DREW",2
09:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:50,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
09:50,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
09:50,"SUB OUT by WIGGINS,RYAN",,,,,,,"SUB OUT by WIGGINS,RYAN",2
09:50,"SUB IN by FLATT,TREY",,,,,,,"SUB IN by FLATT,TREY",2
09:31,"MISS 3PTR by O'MARA,MITCH",,,,,,,"MISS 3PTR by O'MARA,MITCH",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
09:11,,,,,"MISS JUMPER by SMITH,RJ(in the paint)",,,"MISS JUMPER by SMITH,RJ(in the paint)",2
--,"REBOUND DEF by CROWE,CARTER",,,,,,,"REBOUND DEF by CROWE,CARTER",2
08:46,"GOOD LAYUP by O'MARA,MITCH(in the paint)",55 (+10),,45,,Frank 55-45 (-10),,"GOOD LAYUP by O'MARA,MITCH(in the paint)",2
--,"ASSIST  by KING,LYNN",,,,,,,"ASSIST  by KING,LYNN",2
08:30,,55 (+8),,47,"GOOD JUMPER by SMITH,RJ(in the paint)",Centre 55-47 (-8),,"GOOD JUMPER by SMITH,RJ(in the paint)",2
08:17,"GOOD 3PTR by WRIGHT,TY",58 (+11),,47,,Frank 58-47 (-11),,"GOOD 3PTR by WRIGHT,TY",2
--,"ASSIST  by KING,LYNN",,,,,,,"ASSIST  by KING,LYNN",2
07:55,"FOUL  by FLATT,TREY",,,,,,,"FOUL  by FLATT,TREY",2
07:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:55,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",2
07:55,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",2
07:50,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",,,"MISS LAYUP by SMITH,RJ(in the paint)",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:37,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",2
07:37,"GOOD FT by WRIGHT,TY",59 (+12),,47,,Frank 59-47 (-12),,"GOOD FT by WRIGHT,TY",2
07:37,"GOOD FT by WRIGHT,TY",60 (+13),,47,,Frank 60-47 (-13),,"GOOD FT by WRIGHT,TY",2
07:11,,60 (+11),,49,"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 60-49 (-11),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
06:49,"TURNOVER  by WRIGHT,TY",,,,,,,"TURNOVER  by WRIGHT,TY",2
06:49,,,,,"STEAL  by WILLIAMS,JALEN",,,"STEAL  by WILLIAMS,JALEN",2
06:39,,,,,"MISS 3PTR by GERALD,DUSTIN",,,"MISS 3PTR by GERALD,DUSTIN",2
--,"REBOUND DEF by WRIGHT,TY",,,,,,,"REBOUND DEF by WRIGHT,TY",2
06:24,"TURNOVER  by WRIGHT,TY",,,,,,,"TURNOVER  by WRIGHT,TY",2
06:24,,,,,"STEAL  by GERALD,DUSTIN",,,"STEAL  by GERALD,DUSTIN",2
06:24,"SUB OUT by CROWE,CARTER",,,,,,,"SUB OUT by CROWE,CARTER",2
06:24,"SUB IN by KRAUSE,MATT",,,,,,,"SUB IN by KRAUSE,MATT",2
06:10,"FOUL  by FLATT,TREY",,,,,,,"FOUL  by FLATT,TREY",2
06:10,,60 (+10),,50,"GOOD FT by WILLIAMS,JALEN",Centre 60-50 (-10),,"GOOD FT by WILLIAMS,JALEN",2
06:10,,60 (+9),,51,"GOOD FT by WILLIAMS,JALEN",Centre 60-51 (-9),,"GOOD FT by WILLIAMS,JALEN",2
06:02,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",2
05:38,"TURNOVER  by KRAUSE,MATT",,,,,,,"TURNOVER  by KRAUSE,MATT",2
05:38,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",2
05:29,,,,,"MISS JUMPER by SMITH,RJ(in the paint)",,,"MISS JUMPER by SMITH,RJ(in the paint)",2
--,"REBOUND DEF by WRIGHT,TY",,,,,,,"REBOUND DEF by WRIGHT,TY",2
05:00,"FOUL  by KRAUSE,MATT",,,,,,,"FOUL  by KRAUSE,MATT",2
05:00,"TURNOVER  by KRAUSE,MATT",,,,,,,"TURNOVER  by KRAUSE,MATT",2
05:00,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
05:00,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
05:00,"SUB OUT by FLATT,TREY",,,,,,,"SUB OUT by FLATT,TREY",2
05:00,"SUB IN by CROWE,CARTER",,,,,,,"SUB IN by CROWE,CARTER",2
04:43,"FOUL  by CROWE,CARTER",,,,,,,"FOUL  by CROWE,CARTER",2
04:43,"SUB OUT by KING,LYNN",,,,,,,"SUB OUT by KING,LYNN",2
04:43,"SUB IN by WIGGINS,RYAN",,,,,,,"SUB IN by WIGGINS,RYAN",2
04:43,,,,,"MISS FT by GERALD,DUSTIN",,,"MISS FT by GERALD,DUSTIN",2
--,"REBOUND DEF by KRAUSE,MATT",,,,,,,"REBOUND DEF by KRAUSE,MATT",2
04:29,"GOOD 3PTR by KRAUSE,MATT",63 (+12),,51,,Frank 63-51 (-12),,"GOOD 3PTR by KRAUSE,MATT",2
--,"ASSIST  by WIGGINS,RYAN",,,,,,,"ASSIST  by WIGGINS,RYAN",2
04:04,"FOUL  by WIGGINS,RYAN",,,,,,,"FOUL  by WIGGINS,RYAN",2
04:04,,63 (+11),,52,"GOOD FT by GERALD,DUSTIN",Centre 63-52 (-11),,"GOOD FT by GERALD,DUSTIN",2
04:04,,63 (+10),,53,"GOOD FT by GERALD,DUSTIN",Centre 63-53 (-10),,"GOOD FT by GERALD,DUSTIN",2
04:04,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",2
04:04,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
03:48,"GOOD 3PTR by KRAUSE,MATT",66 (+13),,53,,Frank 66-53 (-13),,"GOOD 3PTR by KRAUSE,MATT",2
--,"ASSIST  by O'MARA,MITCH",,,,,,,"ASSIST  by O'MARA,MITCH",2
03:30,,,,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",2
--,"REBOUND DEF by KRAUSE,MATT",,,,,,,"REBOUND DEF by KRAUSE,MATT",2
03:12,"GOOD JUMPER by WRIGHT,TY(in the paint)",68 (+15),,53,,Frank 68-53 (-15),,"GOOD JUMPER by WRIGHT,TY(in the paint)",2
--,"ASSIST  by O'MARA,MITCH",,,,,,,"ASSIST  by O'MARA,MITCH",2
02:46,,68 (+12),,56,"GOOD 3PTR by GERALD,DUSTIN",Centre 68-56 (-12),,"GOOD 3PTR by GERALD,DUSTIN",2
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",2
02:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:46,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
02:46,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",2
02:37,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:28,"GOOD LAYUP by CROWE,CARTER(in the paint)",70 (+14),,56,,Frank 70-56 (-14),,"GOOD LAYUP by CROWE,CARTER(in the paint)",2
--,"ASSIST  by O'MARA,MITCH",,,,,,,"ASSIST  by O'MARA,MITCH",2
02:20,"FOUL  by WIGGINS,RYAN",,,,,,,"FOUL  by WIGGINS,RYAN",2
02:20,"SUB OUT by WIGGINS,RYAN",,,,,,,"SUB OUT by WIGGINS,RYAN",2
02:20,"SUB IN by KING,LYNN",,,,,,,"SUB IN by KING,LYNN",2
02:20,,70 (+13),,57,"GOOD FT by SMITH,RJ",Centre 70-57 (-13),,"GOOD FT by SMITH,RJ",2
02:20,,70 (+12),,58,"GOOD FT by SMITH,RJ",Centre 70-58 (-12),,"GOOD FT by SMITH,RJ",2
02:08,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",2
02:08,"MISS FT by CROWE,CARTER",,,,,,,"MISS FT by CROWE,CARTER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:08,"GOOD FT by CROWE,CARTER",71 (+13),,58,,Frank 71-58 (-13),,"GOOD FT by CROWE,CARTER",2
01:58,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,"REBOUND DEF by KRAUSE,MATT",,,,,,,"REBOUND DEF by KRAUSE,MATT",2
01:52,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",2
01:52,"GOOD FT by KRAUSE,MATT",72 (+14),,58,,Frank 72-58 (-14),,"GOOD FT by KRAUSE,MATT",2
01:52,"GOOD FT by KRAUSE,MATT",73 (+15),,58,,Frank 73-58 (-15),,"GOOD FT by KRAUSE,MATT",2
01:42,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",,,"MISS LAYUP by SMITH,RJ(in the paint)",2
--,"REBOUND DEF by KRAUSE,MATT",,,,,,,"REBOUND DEF by KRAUSE,MATT",2
01:23,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",2
01:23,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",2
01:23,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",2
01:23,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",2
01:23,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
01:23,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",2
01:23,,,,,"SUB IN by BLAIR,ANDY",,,"SUB IN by BLAIR,ANDY",2
01:23,"MISS FT by O'MARA,MITCH",,,,,,,"MISS FT by O'MARA,MITCH",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
01:12,"FOUL  by KING,LYNN",,,,,,,"FOUL  by KING,LYNN",2
01:12,,73 (+14),,59,"GOOD FT by WILSON,DREW",Centre 73-59 (-14),,"GOOD FT by WILSON,DREW",2
01:12,,73 (+13),,60,"GOOD FT by WILSON,DREW",Centre 73-60 (-13),,"GOOD FT by WILSON,DREW",2
01:10,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",2
01:10,"GOOD FT by WRIGHT,TY",74 (+14),,60,,Frank 74-60 (-14),,"GOOD FT by WRIGHT,TY",2
01:09,"GOOD FT by WRIGHT,TY",75 (+15),,60,,Frank 75-60 (-15),,"GOOD FT by WRIGHT,TY",2
00:58,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",2
00:52,,75 (+13),,62,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 75-62 (-13),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
00:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:44,"SUB OUT by O'MARA,MITCH",,,,,,,"SUB OUT by O'MARA,MITCH",2
00:44,"SUB OUT by CROWE,CARTER",,,,,,,"SUB OUT by CROWE,CARTER",2
00:44,"SUB OUT by WRIGHT,TY",,,,,,,"SUB OUT by WRIGHT,TY",2
00:44,"SUB OUT by KING,LYNN",,,,,,,"SUB OUT by KING,LYNN",2
00:44,"SUB OUT by KRAUSE,MATT",,,,,,,"SUB OUT by KRAUSE,MATT",2
00:44,"SUB IN by SAMPLES,CODY",,,,,,,"SUB IN by SAMPLES,CODY",2
00:44,"SUB IN by LOVE,JALEN",,,,,,,"SUB IN by LOVE,JALEN",2
00:44,"SUB IN by HUDGINS,LOGAN",,,,,,,"SUB IN by HUDGINS,LOGAN",2
00:44,"SUB IN by DEERE,JACOB",,,,,,,"SUB IN by DEERE,JACOB",2
00:44,"SUB IN by ARENS,DAVID",,,,,,,"SUB IN by ARENS,DAVID",2
00:37,"MISS LAYUP by SAMPLES,CODY(in the paint)",,,,,,,"MISS LAYUP by SAMPLES,CODY(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:37,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
00:25,"FOUL  by DEERE,JACOB",,,,,,,"FOUL  by DEERE,JACOB",2
00:25,,75 (+12),,63,"GOOD FT by MOORE,CHEZ",Centre 75-63 (-12),,"GOOD FT by MOORE,CHEZ",2
00:25,,75 (+11),,64,"GOOD FT by MOORE,CHEZ",Centre 75-64 (-11),,"GOOD FT by MOORE,CHEZ",2
