Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,WEBSTR,Game Score,Team Indicator,Play,Period
14:54,"MISS 3PTR by SMITH,RJ",,,,,,,"MISS 3PTR by SMITH,RJ",1
--,,,,,"REBOUND DEF by MOORE,MARK",,,"REBOUND DEF by MOORE,MARK",1
14:44,,6,,13 (+7),"GOOD JUMPER by BROWN, JR,.,WYNNE(in the paint)",WEBSTR 6-13 (-7),,"GOOD JUMPER by BROWN, JR,.,WYNNE(in the paint)",1
--,,,,,"ASSIST  by WOOLRIDGE,BRYCE",,,"ASSIST  by WOOLRIDGE,BRYCE",1
14:26,"GOOD 3PTR by WILLIAMS,JALEN",9,,13 (+4),,Centre 9-13 (-4),,"GOOD 3PTR by WILLIAMS,JALEN",1
--,"ASSIST  by SMITH,RJ",,,,,,,"ASSIST  by SMITH,RJ",1
14:11,,,,,"FOUL  by WOOLRIDGE,BRYCE",,,"FOUL  by WOOLRIDGE,BRYCE",1
14:11,,,,,"TURNOVER  by WOOLRIDGE,BRYCE",,,"TURNOVER  by WOOLRIDGE,BRYCE",1
14:11,,,,,"SUB OUT by MOORE,KARL",,,"SUB OUT by MOORE,KARL",1
14:11,,,,,"SUB IN by JONES,NATE",,,"SUB IN by JONES,NATE",1
14:11,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
14:11,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
13:51,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",1
13:51,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
13:51,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
13:34,,9,,15 (+6),"GOOD LAYUP by BECTON,MARKUS(in the paint)",WEBSTR 9-15 (-6),,"GOOD LAYUP by BECTON,MARKUS(in the paint)",1
13:05,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",11,,15 (+4),,Centre 11-15 (-4),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
12:50,,,,,"MISS LAYUP by BROWN, JR,.,WYNNE(in the paint)",,,"MISS LAYUP by BROWN, JR,.,WYNNE(in the paint)",1
--,,,,,"REBOUND OFF by BROWN, JR,.,WYNNE",,,"REBOUND OFF by BROWN, JR,.,WYNNE",1
12:41,,11,,17 (+6),"GOOD LAYUP by MOORE,MARK(in the paint)",WEBSTR 11-17 (-6),,"GOOD LAYUP by MOORE,MARK(in the paint)",1
--,,,,,"ASSIST  by BROWN, JR,.,WYNNE",,,"ASSIST  by BROWN, JR,.,WYNNE",1
12:21,"MISS JUMPER by RING,NOAH",,,,,,,"MISS JUMPER by RING,NOAH",1
--,"REBOUND OFF by GERALD,DUSTIN",,,,,,,"REBOUND OFF by GERALD,DUSTIN",1
12:18,,,,,"FOUL  by BECTON,MARKUS",,,"FOUL  by BECTON,MARKUS",1
12:18,"MISS FT by GERALD,DUSTIN",,,,,,,"MISS FT by GERALD,DUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:18,,,,,"SUB OUT by BROWN, JR,.,WYNNE",,,"SUB OUT by BROWN, JR,.,WYNNE",1
12:18,,,,,"SUB IN by COLEMAN,JASON",,,"SUB IN by COLEMAN,JASON",1
12:18,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
12:18,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
12:18,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
12:18,"SUB IN by BANKS,JAXSON",,,,,,,"SUB IN by BANKS,JAXSON",1
12:18,"GOOD FT by GERALD,DUSTIN",12,,17 (+5),,Centre 12-17 (-5),,"GOOD FT by GERALD,DUSTIN",1
12:13,,,,,"SUB OUT by WOOLRIDGE,BRYCE",,,"SUB OUT by WOOLRIDGE,BRYCE",1
12:13,,,,,"SUB IN by HAWKINS,STEPHEN",,,"SUB IN by HAWKINS,STEPHEN",1
11:59,,,,,"MISS LAYUP by JONES,NATE(in the paint)",,,"MISS LAYUP by JONES,NATE(in the paint)",1
11:59,"BLOCK  by RING,NOAH",,,,,,,"BLOCK  by RING,NOAH",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
11:49,"GOOD 3PTR by GERALD,DUSTIN",15,,17 (+2),,Centre 15-17 (-2),,"GOOD 3PTR by GERALD,DUSTIN",1
11:32,,,,,"MISS JUMPER by BECTON,MARKUS(in the paint)",,,"MISS JUMPER by BECTON,MARKUS(in the paint)",1
--,"REBOUND DEF by WELLMAN,JARED",,,,,,,"REBOUND DEF by WELLMAN,JARED",1
11:19,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by COLEMAN,JASON",,,"REBOUND DEF by COLEMAN,JASON",1
11:03,,15,,19 (+4),"GOOD LAYUP by JONES,NATE(in the paint)",WEBSTR 15-19 (-4),,"GOOD LAYUP by JONES,NATE(in the paint)",1
--,,,,,"ASSIST  by HAWKINS,STEPHEN",,,"ASSIST  by HAWKINS,STEPHEN",1
10:38,"MISS LAYUP by RING,NOAH(in the paint)",,,,,,,"MISS LAYUP by RING,NOAH(in the paint)",1
--,,,,,"REBOUND DEF by COLEMAN,JASON",,,"REBOUND DEF by COLEMAN,JASON",1
10:21,,,,,"FOUL  by COLEMAN,JASON",,,"FOUL  by COLEMAN,JASON",1
10:21,,,,,"TURNOVER  by COLEMAN,JASON",,,"TURNOVER  by COLEMAN,JASON",1
10:21,,,,,"SUB OUT by MOORE,MARK",,,"SUB OUT by MOORE,MARK",1
10:21,,,,,"SUB OUT by JONES,NATE",,,"SUB OUT by JONES,NATE",1
10:21,,,,,"SUB IN by LOGUE,MALCOLM",,,"SUB IN by LOGUE,MALCOLM",1
10:21,,,,,"SUB IN by MOORE,KARL",,,"SUB IN by MOORE,KARL",1
10:21,"SUB OUT by WELLMAN,JARED",,,,,,,"SUB OUT by WELLMAN,JARED",1
10:21,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
10:21,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
10:21,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",1
10:11,,,,,"FOUL  by MOORE,KARL",,,"FOUL  by MOORE,KARL",1
10:11,"MISS FT by KNOCHELMANN,PETE",,,,,,,"MISS FT by KNOCHELMANN,PETE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:11,"MISS FT by KNOCHELMANN,PETE",,,,,,,"MISS FT by KNOCHELMANN,PETE",1
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",1
10:08,"MISS 3PTR by BANKS,JAXSON",,,,,,,"MISS 3PTR by BANKS,JAXSON",1
--,,,,,"REBOUND DEF by LOGUE,MALCOLM",,,"REBOUND DEF by LOGUE,MALCOLM",1
09:39,,,,,"TURNOVER  by COLEMAN,JASON",,,"TURNOVER  by COLEMAN,JASON",1
09:39,"SUB OUT by BANKS,JAXSON",,,,,,,"SUB OUT by BANKS,JAXSON",1
09:39,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
09:08,"MISS LAYUP by SMITH,RJ(in the paint)",,,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",1
--,"REBOUND OFF by KNOCHELMANN,PETE",,,,,,,"REBOUND OFF by KNOCHELMANN,PETE",1
09:00,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by HAWKINS,STEPHEN",,,"REBOUND DEF by HAWKINS,STEPHEN",1
08:37,,,,,"MISS JUMPER by BECTON,MARKUS",,,"MISS JUMPER by BECTON,MARKUS",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
08:29,"TURNOVER  by GERALD,DUSTIN",,,,,,,"TURNOVER  by GERALD,DUSTIN",1
08:29,,,,,"SUB OUT by COLEMAN,JASON",,,"SUB OUT by COLEMAN,JASON",1
08:29,,,,,"SUB OUT by MOORE,KARL",,,"SUB OUT by MOORE,KARL",1
08:29,,,,,"SUB IN by BROWN, JR,.,WYNNE",,,"SUB IN by BROWN, JR,.,WYNNE",1
08:29,,,,,"SUB IN by JONES,NATE",,,"SUB IN by JONES,NATE",1
08:29,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
08:29,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",1
08:29,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
08:29,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
08:14,,,,,"TURNOVER  by BROWN, JR,.,WYNNE",,,"TURNOVER  by BROWN, JR,.,WYNNE",1
07:59,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",17,,19 (+2),,Centre 17-19 (-2),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",1
07:43,,,,,"MISS 3PTR by LOGUE,MALCOLM",,,"MISS 3PTR by LOGUE,MALCOLM",1
--,,,,,"REBOUND OFF by JONES,NATE",,,"REBOUND OFF by JONES,NATE",1
07:43,"FOUL  by MOORE,CHEZ",,,,,,,"FOUL  by MOORE,CHEZ",1
07:43,,17,,20 (+3),"GOOD FT by JONES,NATE",WEBSTR 17-20 (-3),,"GOOD FT by JONES,NATE",1
07:43,,,,,"SUB OUT by LOGUE,MALCOLM",,,"SUB OUT by LOGUE,MALCOLM",1
07:43,,,,,"SUB OUT by HAWKINS,STEPHEN",,,"SUB OUT by HAWKINS,STEPHEN",1
07:43,,,,,"SUB OUT by BECTON,MARKUS",,,"SUB OUT by BECTON,MARKUS",1
07:43,,,,,"SUB IN by DIALLO,ALPHA",,,"SUB IN by DIALLO,ALPHA",1
07:43,,,,,"SUB IN by MOORE,MARK",,,"SUB IN by MOORE,MARK",1
07:43,,,,,"SUB IN by WOOLRIDGE,BRYCE",,,"SUB IN by WOOLRIDGE,BRYCE",1
07:42,,17,,21 (+4),"GOOD FT by JONES,NATE",WEBSTR 17-21 (-4),,"GOOD FT by JONES,NATE",1
07:25,"GOOD 3PTR by BAUGHMAN,CARTER",20,,21 (+1),,Centre 20-21 (-1),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by SMITH,RJ",,,,,,,"ASSIST  by SMITH,RJ",1
07:02,,20,,23 (+3),"GOOD JUMPER by JONES,NATE",WEBSTR 20-23 (-3),,"GOOD JUMPER by JONES,NATE",1
06:43,"MISS JUMPER by SMITH,RJ",,,,,,,"MISS JUMPER by SMITH,RJ",1
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",1
06:37,"GOOD LAYUP by MOORE,CHEZ(in the paint)",22,,23 (+1),,Centre 22-23 (-1),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
06:23,,,,,"MISS 3PTR by MOORE,MARK",,,"MISS 3PTR by MOORE,MARK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:23,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
06:23,"SUB IN by WELLMAN,JARED",,,,,,,"SUB IN by WELLMAN,JARED",1
06:03,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",1
05:59,"GOOD LAYUP by MOORE,CHEZ(in the paint)",24 (+1),,23,,Centre 24-23 (+1),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
05:35,,,,,"MISS JUMPER by BROWN, JR,.,WYNNE",,,"MISS JUMPER by BROWN, JR,.,WYNNE",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
05:25,"MISS 3PTR by WELLMAN,JARED",,,,,,,"MISS 3PTR by WELLMAN,JARED",1
--,,,,,"REBOUND DEF by DIALLO,ALPHA",,,"REBOUND DEF by DIALLO,ALPHA",1
05:13,,,,,"TURNOVER  by BROWN, JR,.,WYNNE",,,"TURNOVER  by BROWN, JR,.,WYNNE",1
05:13,"STEAL  by WILLIAMS,JALEN",,,,,,,"STEAL  by WILLIAMS,JALEN",1
05:00,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
05:00,"SUB OUT by WELLMAN,JARED",,,,,,,"SUB OUT by WELLMAN,JARED",1
05:00,"SUB IN by BANKS,JAXSON",,,,,,,"SUB IN by BANKS,JAXSON",1
05:00,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
05:00,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
04:47,,,,,"TURNOVER  by BROWN, JR,.,WYNNE",,,"TURNOVER  by BROWN, JR,.,WYNNE",1
04:47,"STEAL  by WILLIAMS,JALEN",,,,,,,"STEAL  by WILLIAMS,JALEN",1
04:42,"GOOD JUMPER by SMITH,RJ(fastbreak)(in the paint)",26 (+3),,23,,Centre 26-23 (+3),,"GOOD JUMPER by SMITH,RJ(fastbreak)(in the paint)",1
--,"ASSIST  by WILLIAMS,JALEN",,,,,,,"ASSIST  by WILLIAMS,JALEN",1
04:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
04:40,,,,,"SUB OUT by DIALLO,ALPHA",,,"SUB OUT by DIALLO,ALPHA",1
04:40,,,,,"SUB OUT by MOORE,MARK",,,"SUB OUT by MOORE,MARK",1
04:40,,,,,"SUB IN by HAWKINS,STEPHEN",,,"SUB IN by HAWKINS,STEPHEN",1
04:40,,,,,"SUB IN by BECTON,MARKUS",,,"SUB IN by BECTON,MARKUS",1
04:36,"SUB OUT by BANKS,JAXSON",,,,,,,"SUB OUT by BANKS,JAXSON",1
04:36,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
04:08,,26 (+1),,25,"GOOD LAYUP by BECTON,MARKUS(in the paint)",WEBSTR 26-25 (+1),,"GOOD LAYUP by BECTON,MARKUS(in the paint)",1
--,,,,,"ASSIST  by HAWKINS,STEPHEN",,,"ASSIST  by HAWKINS,STEPHEN",1
03:48,"GOOD JUMPER by SMITH,RJ(in the paint)",28 (+3),,25,,Centre 28-25 (+3),,"GOOD JUMPER by SMITH,RJ(in the paint)",1
03:33,,,,,"SUB OUT by WOOLRIDGE,BRYCE",,,"SUB OUT by WOOLRIDGE,BRYCE",1
03:33,,,,,"SUB IN by MOORE,MARK",,,"SUB IN by MOORE,MARK",1
03:32,,,,,"MISS 3PTR by MOORE,MARK",,,"MISS 3PTR by MOORE,MARK",1
--,,,,,"REBOUND OFF by BROWN, JR,.,WYNNE",,,"REBOUND OFF by BROWN, JR,.,WYNNE",1
03:27,,28 (+1),,27,"GOOD LAYUP by HAWKINS,STEPHEN(in the paint)",WEBSTR 28-27 (+1),,"GOOD LAYUP by HAWKINS,STEPHEN(in the paint)",1
--,,,,,"ASSIST  by BROWN, JR,.,WYNNE",,,"ASSIST  by BROWN, JR,.,WYNNE",1
03:13,"MISS 3PTR by SMITH,RJ",,,,,,,"MISS 3PTR by SMITH,RJ",1
--,,,,,"REBOUND DEF by BECTON,MARKUS",,,"REBOUND DEF by BECTON,MARKUS",1
03:05,,,,,"TURNOVER  by BECTON,MARKUS",,,"TURNOVER  by BECTON,MARKUS",1
03:05,"STEAL  by SMITH,RJ",,,,,,,"STEAL  by SMITH,RJ",1
02:58,"GOOD 3PTR by WILLIAMS,JALEN(fastbreak)",31 (+4),,27,,Centre 31-27 (+4),,"GOOD 3PTR by WILLIAMS,JALEN(fastbreak)",1
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",1
02:30,,31 (+2),,29,"GOOD LAYUP by JONES,NATE(in the paint)",WEBSTR 31-29 (+2),,"GOOD LAYUP by JONES,NATE(in the paint)",1
--,,,,,"ASSIST  by BECTON,MARKUS",,,"ASSIST  by BECTON,MARKUS",1
02:05,,,,,"FOUL  by BROWN, JR,.,WYNNE",,,"FOUL  by BROWN, JR,.,WYNNE",1
02:05,"MISS FT by WILLIAMS,JALEN",,,,,,,"MISS FT by WILLIAMS,JALEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:05,"GOOD FT by WILLIAMS,JALEN",32 (+3),,29,,Centre 32-29 (+3),,"GOOD FT by WILLIAMS,JALEN",1
02:05,,,,,"SUB OUT by MOORE,MARK",,,"SUB OUT by MOORE,MARK",1
02:05,,,,,"SUB IN by WITASCHEK,JACOB",,,"SUB IN by WITASCHEK,JACOB",1
02:05,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
02:05,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
02:05,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
02:05,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
02:05,"GOOD FT by WILLIAMS,JALEN",33 (+4),,29,,Centre 33-29 (+4),,"GOOD FT by WILLIAMS,JALEN",1
01:46,,,,,"MISS 3PTR by HAWKINS,STEPHEN",,,"MISS 3PTR by HAWKINS,STEPHEN",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
01:25,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",35 (+6),,29,,Centre 35-29 (+6),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
00:51,,35 (+3),,32,"GOOD 3PTR by HAWKINS,STEPHEN",WEBSTR 35-32 (+3),,"GOOD 3PTR by HAWKINS,STEPHEN",1
00:28,"MISS LAYUP by SMITH,RJ(in the paint)",,,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",1
00:28,,,,,"BLOCK  by JONES,NATE",,,"BLOCK  by JONES,NATE",1
--,,,,,"REBOUND DEF by BECTON,MARKUS",,,"REBOUND DEF by BECTON,MARKUS",1
00:21,,,,,"MISS 3PTR by BROWN, JR,.,WYNNE",,,"MISS 3PTR by BROWN, JR,.,WYNNE",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
00:00,"MISS 3PTR by SMITH,RJ",,,,,,,"MISS 3PTR by SMITH,RJ",1
--,,,,,"REBOUND DEF by BROWN, JR,.,WYNNE",,,"REBOUND DEF by BROWN, JR,.,WYNNE",1
20:00,,,,,"SUB OUT by HAWKINS,STEPHEN",,,"SUB OUT by HAWKINS,STEPHEN",2
20:00,,,,,"SUB OUT by BECTON,MARKUS",,,"SUB OUT by BECTON,MARKUS",2
20:00,,,,,"SUB OUT by WITASCHEK,JACOB",,,"SUB OUT by WITASCHEK,JACOB",2
20:00,,,,,"SUB OUT by JONES,NATE",,,"SUB OUT by JONES,NATE",2
20:00,,,,,"SUB IN by MOORE,MARK",,,"SUB IN by MOORE,MARK",2
20:00,,,,,"SUB IN by ETIENNE,RODSON",,,"SUB IN by ETIENNE,RODSON",2
20:00,,,,,"SUB IN by WOOLRIDGE,BRYCE",,,"SUB IN by WOOLRIDGE,BRYCE",2
20:00,,,,,"SUB IN by MOORE,KARL",,,"SUB IN by MOORE,KARL",2
20:00,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
20:00,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",2
20:00,,,,,"SUB OUT by ETIENNE,RODSON",,,"SUB OUT by ETIENNE,RODSON",2
20:00,,,,,"SUB IN by BECTON,MARKUS",,,"SUB IN by BECTON,MARKUS",2
19:43,"MISS JUMPER by SMITH,RJ",,,,,,,"MISS JUMPER by SMITH,RJ",2
--,,,,,"REBOUND DEF by BROWN, JR,.,WYNNE",,,"REBOUND DEF by BROWN, JR,.,WYNNE",2
19:28,,,,,"TURNOVER  by MOORE,KARL",,,"TURNOVER  by MOORE,KARL",2
19:28,"STEAL  by GERALD,DUSTIN",,,,,,,"STEAL  by GERALD,DUSTIN",2
19:09,,,,,"FOUL  by MOORE,KARL",,,"FOUL  by MOORE,KARL",2
19:09,"GOOD FT by SMITH,RJ",36 (+4),,32,,Centre 36-32 (+4),,"GOOD FT by SMITH,RJ",2
19:09,"GOOD FT by SMITH,RJ",37 (+5),,32,,Centre 37-32 (+5),,"GOOD FT by SMITH,RJ",2
18:51,,37 (+3),,34,"GOOD LAYUP by BROWN, JR,.,WYNNE(in the paint)",WEBSTR 37-34 (+3),,"GOOD LAYUP by BROWN, JR,.,WYNNE(in the paint)",2
18:26,"GOOD 3PTR by WILLIAMS,JALEN",40 (+6),,34,,Centre 40-34 (+6),,"GOOD 3PTR by WILLIAMS,JALEN",2
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",2
18:05,,40 (+4),,36,"GOOD LAYUP by BECTON,MARKUS(in the paint)",WEBSTR 40-36 (+4),,"GOOD LAYUP by BECTON,MARKUS(in the paint)",2
18:01,"FOUL  by SMITH,RJ",,,,,,,"FOUL  by SMITH,RJ",2
17:53,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
17:53,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",2
17:53,,40 (+3),,37,"GOOD FT by BECTON,MARKUS",WEBSTR 40-37 (+3),,"GOOD FT by BECTON,MARKUS",2
17:28,"MISS JUMPER by WILLIAMS,JALEN",,,,,,,"MISS JUMPER by WILLIAMS,JALEN",2
--,,,,,"REBOUND DEF by MOORE,KARL",,,"REBOUND DEF by MOORE,KARL",2
17:24,,,,,"TURNOVER  by WOOLRIDGE,BRYCE",,,"TURNOVER  by WOOLRIDGE,BRYCE",2
17:24,"STEAL  by BAUGHMAN,CARTER",,,,,,,"STEAL  by BAUGHMAN,CARTER",2
17:03,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",42 (+5),,37,,Centre 42-37 (+5),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",2
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",2
16:49,,,,,"MISS 3PTR by WOOLRIDGE,BRYCE",,,"MISS 3PTR by WOOLRIDGE,BRYCE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:28,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",2
