Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,WestKy,Game Score,Team Indicator,Play,Period
--,"ASSIST  by BANKS,JAXSON",,,,,,,"ASSIST  by BANKS,JAXSON",2
02:43,,,,,"MISS JUMPER by CONRAD,BAILEY(in the paint)",,,"MISS JUMPER by CONRAD,BAILEY(in the paint)",2
--,"REBOUND DEF by BUSH,TYLER",,,,,,,"REBOUND DEF by BUSH,TYLER",2
02:43,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
02:43,,,,,"SUB OUT by JUSTICE,CAMRON",,,"SUB OUT by JUSTICE,CAMRON",2
02:43,,,,,"SUB IN by OLDEN,TYLER",,,"SUB IN by OLDEN,TYLER",2
02:21,"MISS 3PTR by BUSH,TYLER",,,,,,,"MISS 3PTR by BUSH,TYLER",2
--,,,,,"REBOUND DEF by OLDEN,TYLER",,,"REBOUND DEF by OLDEN,TYLER",2
02:12,,,,,"MISS 3PTR by OLDEN,TYLER",,,"MISS 3PTR by OLDEN,TYLER",2
--,,,,,"REBOUND OFF by COZART,ISAIAH",,,"REBOUND OFF by COZART,ISAIAH",2
02:05,,,,,"MISS 3PTR by OLDEN,TYLER",,,"MISS 3PTR by OLDEN,TYLER",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:42,"GOOD 3PTR by BUSH,TYLER",48,,88 (+40),,Centre 48-88 (-40),,"GOOD 3PTR by BUSH,TYLER",2
--,"ASSIST  by STEWART,BLAKE",,,,,,,"ASSIST  by STEWART,BLAKE",2
01:20,,48,,90 (+42),"GOOD JUMPER by BRASHEAR,SHERMAN",WestKy 48-90 (-42),,"GOOD JUMPER by BRASHEAR,SHERMAN",2
01:07,"MISS 3PTR by BLAIR,ANDY",,,,,,,"MISS 3PTR by BLAIR,ANDY",2
--,"REBOUND OFF by STEWART,BLAKE",,,,,,,"REBOUND OFF by STEWART,BLAKE",2
01:01,"MISS 3PTR by STEWART,BLAKE",,,,,,,"MISS 3PTR by STEWART,BLAKE",2
--,"REBOUND OFF by BUSH,TYLER",,,,,,,"REBOUND OFF by BUSH,TYLER",2
00:58,,,,,"FOUL  by STANSBURY,NOAH",,,"FOUL  by STANSBURY,NOAH",2
00:58,"MISS FT by BUSH,TYLER",,,,,,,"MISS FT by BUSH,TYLER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:58,"SUB OUT by STEWART,BLAKE",,,,,,,"SUB OUT by STEWART,BLAKE",2
00:58,"SUB IN by N'DIA,PHILIPPE",,,,,,,"SUB IN by N'DIA,PHILIPPE",2
00:58,"GOOD FT by BUSH,TYLER",49,,90 (+41),,Centre 49-90 (-41),,"GOOD FT by BUSH,TYLER",2
00:29,,,,,"MISS 3PTR by OLDEN,TYLER",,,"MISS 3PTR by OLDEN,TYLER",2
--,"REBOUND DEF by BUSH,TYLER",,,,,,,"REBOUND DEF by BUSH,TYLER",2
00:16,"GOOD 3PTR by WOOLDRIDGE,CARSON",52,,90 (+38),,Centre 52-90 (-38),,"GOOD 3PTR by WOOLDRIDGE,CARSON",2
--,"ASSIST  by BLAIR,ANDY",,,,,,,"ASSIST  by BLAIR,ANDY",2
