Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,WestKy,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:23,,,,,"SUB OUT by JUSTICE,CAMRON",,,"SUB OUT by JUSTICE,CAMRON",1
10:23,,,,,"SUB IN by FRAMPTON,LUKE",,,"SUB IN by FRAMPTON,LUKE",1
10:23,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",1
10:23,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
10:12,,,,,"MISS 3PTR by BRASHEAR,SHERMAN",,,"MISS 3PTR by BRASHEAR,SHERMAN",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
09:50,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by STANSBURY,NOAH",,,"REBOUND DEF by STANSBURY,NOAH",1
09:46,,,,,"FOUL  by BRASHEAR,SHERMAN",,,"FOUL  by BRASHEAR,SHERMAN",1
09:46,,,,,"TURNOVER  by BRASHEAR,SHERMAN",,,"TURNOVER  by BRASHEAR,SHERMAN",1
09:46,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
09:46,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
09:31,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",1
09:31,,,,,"STEAL  by ANDERSON,JOSH",,,"STEAL  by ANDERSON,JOSH",1
09:22,,,,,"MISS 3PTR by STANSBURY,NOAH",,,"MISS 3PTR by STANSBURY,NOAH",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
09:12,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,,,,,"REBOUND DEF by BRASHEAR,SHERMAN",,,"REBOUND DEF by BRASHEAR,SHERMAN",1
09:02,,,,,"MISS JUMPER by BUTZ,JAYLEN(in the paint)",,,"MISS JUMPER by BUTZ,JAYLEN(in the paint)",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
08:57,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
08:57,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
08:57,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
08:57,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
08:56,"GOOD JUMPER by BAUGHMAN,CARTER(fastbreak)(in the paint)",4,,28 (+24),,Centre 4-28 (-24),,"GOOD JUMPER by BAUGHMAN,CARTER(fastbreak)(in the paint)",1
08:56,,,,,"FOUL  by STANSBURY,NOAH",,,"FOUL  by STANSBURY,NOAH",1
08:55,"MISS FT by BAUGHMAN,CARTER(fastbreak)",,,,,,,"MISS FT by BAUGHMAN,CARTER(fastbreak)",1
--,,,,,"REBOUND DEF by BUTZ,JAYLEN",,,"REBOUND DEF by BUTZ,JAYLEN",1
08:35,,,,,"TURNOVER  by BUTZ,JAYLEN",,,"TURNOVER  by BUTZ,JAYLEN",1
08:35,"STEAL  by WILLIAMS,JALEN",,,,,,,"STEAL  by WILLIAMS,JALEN",1
08:31,"FOUL  by WILLIAMS,JALEN",,,,,,,"FOUL  by WILLIAMS,JALEN",1
08:31,"TURNOVER  by WILLIAMS,JALEN",,,,,,,"TURNOVER  by WILLIAMS,JALEN",1
08:31,,,,,"SUB OUT by BUTZ,JAYLEN",,,"SUB OUT by BUTZ,JAYLEN",1
08:31,,,,,"SUB OUT by STANSBURY,NOAH",,,"SUB OUT by STANSBURY,NOAH",1
08:31,,,,,"SUB OUT by BRASHEAR,SHERMAN",,,"SUB OUT by BRASHEAR,SHERMAN",1
08:31,,,,,"SUB IN by HAMILTON,JAIRUS",,,"SUB IN by HAMILTON,JAIRUS",1
08:31,,,,,"SUB IN by MCKNIGHT,DAYVION",,,"SUB IN by MCKNIGHT,DAYVION",1
08:31,,,,,"SUB IN by SHARP,JAMARION",,,"SUB IN by SHARP,JAMARION",1
08:07,,4,,30 (+26),"GOOD LAYUP by HAMILTON,JAIRUS(in the paint)",WestKy 4-30 (-26),,"GOOD LAYUP by HAMILTON,JAIRUS(in the paint)",1
--,,,,,"ASSIST  by MCKNIGHT,DAYVION",,,"ASSIST  by MCKNIGHT,DAYVION",1
07:53,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by FRAMPTON,LUKE",,,"REBOUND DEF by FRAMPTON,LUKE",1
07:45,,4,,32 (+28),"GOOD JUMPER by ANDERSON,JOSH(fastbreak)(in the paint)",WestKy 4-32 (-28),,"GOOD JUMPER by ANDERSON,JOSH(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MCKNIGHT,DAYVION",,,"ASSIST  by MCKNIGHT,DAYVION",1
07:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:32,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,,,,,"REBOUND DEF by MCKNIGHT,DAYVION",,,"REBOUND DEF by MCKNIGHT,DAYVION",1
