Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
13:10,,,,,"SUB IN by FITZGERALD,JACKSON",,,"SUB IN by FITZGERALD,JACKSON",1
13:10,,,,,"SUB OUT by PALMER,BRADY",,,"SUB OUT by PALMER,BRADY",1
13:10,,,,,"SUB OUT by BARNETTE,CHRIS",,,"SUB OUT by BARNETTE,CHRIS",1
13:05,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",1
13:05,,,,,"MISS FT by JONES,MYLES",,,"MISS FT by JONES,MYLES",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:05,,6,,11 (+5),"GOOD FT by JONES,MYLES",CCM 6-11 (-5),,"GOOD FT by JONES,MYLES",1
12:42,"GOOD 3PTR by BANKS,JAXSON",9,,11 (+2),,CENTRE 9-11 (-2),,"GOOD 3PTR by BANKS,JAXSON",1
--,"ASSIST  by TAYLOR,MARSHALL",,,,,,,"ASSIST  by TAYLOR,MARSHALL",1
12:32,,,,,"MISS 3PTR by JONES,MYLES",,,"MISS 3PTR by JONES,MYLES",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
12:24,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:21,,,,,"FOUL  by FITZGERALD,JACKSON",,,"FOUL  by FITZGERALD,JACKSON",1
12:21,"GOOD FT by MOORE,CHEZ",10,,11 (+1),,CENTRE 10-11 (-1),,"GOOD FT by MOORE,CHEZ",1
12:21,"GOOD FT by MOORE,CHEZ",11,,11,,CENTRE 11-11 (0),,"GOOD FT by MOORE,CHEZ",1
12:21,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
12:21,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
12:00,,,,,"TURNOVER  by JONES,MYLES",,,"TURNOVER  by JONES,MYLES",1
12:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
12:00,,,,,"SUB IN by CRUMLY,WILL",,,"SUB IN by CRUMLY,WILL",1
12:00,,,,,"SUB IN by BARNETTE,CHRIS",,,"SUB IN by BARNETTE,CHRIS",1
12:00,,,,,"SUB OUT by PEARLMAN,LOGAN",,,"SUB OUT by PEARLMAN,LOGAN",1
12:00,,,,,"SUB OUT by KINARD,JESSE",,,"SUB OUT by KINARD,JESSE",1
11:47,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",1
--,,,,,"REBOUND DEF by FITZGERALD,JACKSON",,,"REBOUND DEF by FITZGERALD,JACKSON",1
11:27,,,,,"TURNOVER  by BARNETTE,CHRIS",,,"TURNOVER  by BARNETTE,CHRIS",1
11:26,"STEAL  by WILSON,DREW",,,,,,,"STEAL  by WILSON,DREW",1
11:12,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,,,,,"REBOUND DEF by CRUMLY,WILL",,,"REBOUND DEF by CRUMLY,WILL",1
11:03,"FOUL  by BANKS,JAXSON",,,,,,,"FOUL  by BANKS,JAXSON",1
11:03,,11,,12 (+1),"GOOD FT by FITZGERALD,JACKSON",CCM 11-12 (-1),,"GOOD FT by FITZGERALD,JACKSON",1
11:03,,,,,"MISS FT by FITZGERALD,JACKSON",,,"MISS FT by FITZGERALD,JACKSON",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
11:03,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
11:03,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
11:03,,,,,"SUB IN by GERNATT,JONATHAN",,,"SUB IN by GERNATT,JONATHAN",1
11:03,,,,,"SUB OUT by PLATT,DAEVON",,,"SUB OUT by PLATT,DAEVON",1
10:41,"MISS 3PTR by SMITH,RJ",,,,,,,"MISS 3PTR by SMITH,RJ",1
--,,,,,"REBOUND DEF by BARNETTE,CHRIS",,,"REBOUND DEF by BARNETTE,CHRIS",1
