Time Remaining,SU,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by JOHNSON,JACOBY",,,,,,,"REBOUND DEF by JOHNSON,JACOBY",1
15:08,"MISS 3PTR by LOCKARD,ISAIAH",,,,,,,"MISS 3PTR by LOCKARD,ISAIAH",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
14:51,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",1
14:51,"STEAL  by AMANOR,TROY",,,,,,,"STEAL  by AMANOR,TROY",1
14:37,"MISS 3PTR by JOHNSON,JACOBY",,,,,,,"MISS 3PTR by JOHNSON,JACOBY",1
--,"REBOUND OFF by AMANOR,TROY",,,,,,,"REBOUND OFF by AMANOR,TROY",1
14:22,"GOOD JUMPER by STEWART,CHRISTIAN",10,,13 (+3),,SU 10-13 (+3),,"GOOD JUMPER by STEWART,CHRISTIAN",1
--,"ASSIST  by LOCKARD,ISAIAH",,,,,,,"ASSIST  by LOCKARD,ISAIAH",1
13:51,"FOUL  by JOHNSON,JACOBY",,,,,,,"FOUL  by JOHNSON,JACOBY",1
13:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
13:51,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
13:51,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
13:51,,,,,"SUB IN by WELLMAN,JARED",,,"SUB IN by WELLMAN,JARED",1
13:51,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",1
13:51,"SUB OUT by OBIDIKE,BRANDIN",,,,,,,"SUB OUT by OBIDIKE,BRANDIN",1
13:51,"SUB OUT by AMANOR,TROY",,,,,,,"SUB OUT by AMANOR,TROY",1
13:51,"SUB IN by CHATMAN,PARKER",,,,,,,"SUB IN by CHATMAN,PARKER",1
13:51,"SUB IN by CAMPBELL,MAXTON",,,,,,,"SUB IN by CAMPBELL,MAXTON",1
13:49,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
13:49,"STEAL  by CHATMAN,PARKER",,,,,,,"STEAL  by CHATMAN,PARKER",1
13:44,"TURNOVER  by CAMPBELL,MAXTON",,,,,,,"TURNOVER  by CAMPBELL,MAXTON",1
13:17,,10,,16 (+6),"GOOD 3PTR by WELLMAN,JARED",Centre 10-16 (+6),,"GOOD 3PTR by WELLMAN,JARED",1
12:55,"GOOD JUMPER by CAMPBELL,MAXTON",12,,16 (+4),,SU 12-16 (+4),,"GOOD JUMPER by CAMPBELL,MAXTON",1
12:46,,,,,"MISS JUMPER by BANKS,JAXSON",,,"MISS JUMPER by BANKS,JAXSON",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
12:35,"MISS JUMPER by STEWART,CHRISTIAN",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by WELLMAN,JARED",,,"REBOUND DEF by WELLMAN,JARED",1
12:15,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",1
--,,,,,"REBOUND OFF by BAUGHMAN,CARTER",,,"REBOUND OFF by BAUGHMAN,CARTER",1
12:10,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
12:10,"STEAL  by LOCKARD,ISAIAH",,,,,,,"STEAL  by LOCKARD,ISAIAH",1
12:04,"MISS DUNK by LOCKARD,ISAIAH(in the paint)",,,,,,,"MISS DUNK by LOCKARD,ISAIAH(in the paint)",1
--,"REBOUND OFF by LOCKARD,ISAIAH",,,,,,,"REBOUND OFF by LOCKARD,ISAIAH",1
11:59,"MISS LAYUP by LOCKARD,ISAIAH(in the paint)",,,,,,,"MISS LAYUP by LOCKARD,ISAIAH(in the paint)",1
--,"REBOUND OFF by LOCKARD,ISAIAH",,,,,,,"REBOUND OFF by LOCKARD,ISAIAH",1
11:57,"TURNOVER  by LOCKARD,ISAIAH",,,,,,,"TURNOVER  by LOCKARD,ISAIAH",1
11:57,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",1
11:52,,,,,"TURNOVER  by BANKS,JAXSON",,,"TURNOVER  by BANKS,JAXSON",1
11:52,"STEAL  by LOCKARD,ISAIAH",,,,,,,"STEAL  by LOCKARD,ISAIAH",1
11:34,"MISS JUMPER by CAMPBELL,MAXTON",,,,,,,"MISS JUMPER by CAMPBELL,MAXTON",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
11:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:14,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
11:14,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
11:14,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
11:14,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",1
11:14,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
11:14,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
11:14,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
11:14,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
11:14,"SUB OUT by LOCKARD,ISAIAH",,,,,,,"SUB OUT by LOCKARD,ISAIAH",1
11:14,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
11:14,"SUB IN by MANN,TYLAN",,,,,,,"SUB IN by MANN,TYLAN",1
11:14,"SUB IN by AMANOR,TROY",,,,,,,"SUB IN by AMANOR,TROY",1
10:59,"FOUL  by CHATMAN,PARKER",,,,,,,"FOUL  by CHATMAN,PARKER",1
10:59,,12,,17 (+5),"GOOD FT by WILSON,DREW",Centre 12-17 (+5),,"GOOD FT by WILSON,DREW",1
10:59,,,,,"MISS FT by WILSON,DREW",,,"MISS FT by WILSON,DREW",1
--,"REBOUND DEF by CHATMAN,PARKER",,,,,,,"REBOUND DEF by CHATMAN,PARKER",1
10:36,"MISS LAYUP by JOHNSON,JACOBY(in the paint)",,,,,,,"MISS LAYUP by JOHNSON,JACOBY(in the paint)",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:36,,,,,"BLOCK  by RING,NOAH",,,"BLOCK  by RING,NOAH",1
10:29,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
10:09,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",1
10:09,,,,,"TURNOVER  by RING,NOAH",,,"TURNOVER  by RING,NOAH",1
09:52,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",1
09:52,"GOOD FT by AMANOR,TROY",13,,17 (+4),,SU 13-17 (+4),,"GOOD FT by AMANOR,TROY",1
09:52,,,,,"SUB OUT by WELLMAN,JARED",,,"SUB OUT by WELLMAN,JARED",1
09:52,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
09:52,"MISS FT by AMANOR,TROY",,,,,,,"MISS FT by AMANOR,TROY",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
09:32,,,,,"MISS JUMPER by RING,NOAH(in the paint)",,,"MISS JUMPER by RING,NOAH(in the paint)",1
--,"REBOUND DEF by CAMPBELL,MAXTON",,,,,,,"REBOUND DEF by CAMPBELL,MAXTON",1
09:24,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",1
09:24,"GOOD FT by MANN,TYLAN",14,,17 (+3),,SU 14-17 (+3),,"GOOD FT by MANN,TYLAN",1
09:24,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
09:24,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
09:24,"MISS FT by MANN,TYLAN",,,,,,,"MISS FT by MANN,TYLAN",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
09:13,,14,,19 (+5),"GOOD JUMPER by WILLIAMS,JALEN(in the paint)",Centre 14-19 (+5),,"GOOD JUMPER by WILLIAMS,JALEN(in the paint)",1
09:00,"MISS 3PTR by CHATMAN,PARKER",,,,,,,"MISS 3PTR by CHATMAN,PARKER",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
08:49,"FOUL  by CAMPBELL,MAXTON",,,,,,,"FOUL  by CAMPBELL,MAXTON",1
08:49,,14,,20 (+6),"GOOD FT by MOORE,CHEZ",Centre 14-20 (+6),,"GOOD FT by MOORE,CHEZ",1
08:49,"SUB OUT by JOHNSON,JACOBY",,,,,,,"SUB OUT by JOHNSON,JACOBY",1
08:49,"SUB OUT by CHATMAN,PARKER",,,,,,,"SUB OUT by CHATMAN,PARKER",1
08:49,"SUB OUT by CAMPBELL,MAXTON",,,,,,,"SUB OUT by CAMPBELL,MAXTON",1
08:49,"SUB IN by OBIDIKE,BRANDIN",,,,,,,"SUB IN by OBIDIKE,BRANDIN",1
08:49,"SUB IN by HENSON,JONATHAN",,,,,,,"SUB IN by HENSON,JONATHAN",1
08:49,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
08:49,,,,,"MISS FT by MOORE,CHEZ",,,"MISS FT by MOORE,CHEZ",1
--,"REBOUND DEF by OBIDIKE,BRANDIN",,,,,,,"REBOUND DEF by OBIDIKE,BRANDIN",1
08:21,"MISS 3PTR by OBIDIKE,BRANDIN",,,,,,,"MISS 3PTR by OBIDIKE,BRANDIN",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
08:06,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",1
07:58,,14,,23 (+9),"GOOD 3PTR by WILSON,DREW",Centre 14-23 (+9),,"GOOD 3PTR by WILSON,DREW",1
--,,,,,"ASSIST  by SMITH,RJ",,,"ASSIST  by SMITH,RJ",1
07:34,"FOUL  by AMANOR,TROY",,,,,,,"FOUL  by AMANOR,TROY",1
07:34,"TURNOVER  by AMANOR,TROY",,,,,,,"TURNOVER  by AMANOR,TROY",1
07:34,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:19,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",1
07:07,"TURNOVER  by OBIDIKE,BRANDIN",,,,,,,"TURNOVER  by OBIDIKE,BRANDIN",1
07:07,"SUB OUT by OBIDIKE,BRANDIN",,,,,,,"SUB OUT by OBIDIKE,BRANDIN",1
07:07,"SUB IN by JOHNSON,JACOBY",,,,,,,"SUB IN by JOHNSON,JACOBY",1
06:57,,14,,25 (+11),"GOOD JUMPER by GERALD,DUSTIN(in the paint)",Centre 14-25 (+11),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
--,,,,,"ASSIST  by MOORE,CHEZ",,,"ASSIST  by MOORE,CHEZ",1
06:42,"MISS 3PTR by MANN,TYLAN",,,,,,,"MISS 3PTR by MANN,TYLAN",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
06:24,"FOUL  by AMANOR,TROY",,,,,,,"FOUL  by AMANOR,TROY",1
06:24,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
06:24,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
06:24,"SUB OUT by AMANOR,TROY",,,,,,,"SUB OUT by AMANOR,TROY",1
06:24,"SUB IN by CAMPBELL,MAXTON",,,,,,,"SUB IN by CAMPBELL,MAXTON",1
06:11,,14,,27 (+13),"GOOD JUMPER by WILSON,DREW",Centre 14-27 (+13),,"GOOD JUMPER by WILSON,DREW",1
05:55,"MISS 3PTR by HENSON,JONATHAN",,,,,,,"MISS 3PTR by HENSON,JONATHAN",1
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",1
05:48,,,,,"MISS 3PTR by WILSON,DREW",,,"MISS 3PTR by WILSON,DREW",1
--,"REBOUND DEF by MANN,TYLAN",,,,,,,"REBOUND DEF by MANN,TYLAN",1
05:32,"GOOD 3PTR by JOHNSON,JACOBY",17,,27 (+10),,SU 17-27 (+10),,"GOOD 3PTR by JOHNSON,JACOBY",1
--,"ASSIST  by MANN,TYLAN",,,,,,,"ASSIST  by MANN,TYLAN",1
05:12,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:09,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
05:09,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
05:09,"SUB OUT by MANN,TYLAN",,,,,,,"SUB OUT by MANN,TYLAN",1
05:09,"SUB IN by LOCKARD,ISAIAH",,,,,,,"SUB IN by LOCKARD,ISAIAH",1
04:41,"GOOD 3PTR by JOHNSON,JACOBY",20,,27 (+7),,SU 20-27 (+7),,"GOOD 3PTR by JOHNSON,JACOBY",1
--,"ASSIST  by HENSON,JONATHAN",,,,,,,"ASSIST  by HENSON,JONATHAN",1
04:24,,20,,29 (+9),"GOOD JUMPER by GERALD,DUSTIN(in the paint)",Centre 20-29 (+9),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
04:08,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",22,,29 (+7),,SU 22-29 (+7),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
03:57,,22,,32 (+10),"GOOD 3PTR by BAUGHMAN,CARTER",Centre 22-32 (+10),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",1
03:44,"TURNOVER  by LOCKARD,ISAIAH",,,,,,,"TURNOVER  by LOCKARD,ISAIAH",1
03:44,,,,,"STEAL  by GERALD,DUSTIN",,,"STEAL  by GERALD,DUSTIN",1
03:33,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:33,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
03:33,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
03:20,,22,,34 (+12),"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 22-34 (+12),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
03:09,"GOOD JUMPER by JOHNSON,JACOBY",24,,34 (+10),,SU 24-34 (+10),,"GOOD JUMPER by JOHNSON,JACOBY",1
02:57,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",1
02:57,,,,,"TURNOVER  by WILLIAMS,JALEN",,,"TURNOVER  by WILLIAMS,JALEN",1
02:57,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
02:57,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
02:57,"SUB OUT by HENSON,JONATHAN",,,,,,,"SUB OUT by HENSON,JONATHAN",1
02:57,"SUB IN by CHATMAN,PARKER",,,,,,,"SUB IN by CHATMAN,PARKER",1
02:39,"GOOD LAYUP by CAMPBELL,MAXTON(in the paint)",26,,34 (+8),,SU 26-34 (+8),,"GOOD LAYUP by CAMPBELL,MAXTON(in the paint)",1
02:17,,,,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
02:11,,,,,"FOUL  by KNOCHELMANN,PETE",,,"FOUL  by KNOCHELMANN,PETE",1
02:11,"MISS FT by CAMPBELL,MAXTON(fastbreak)",,,,,,,"MISS FT by CAMPBELL,MAXTON(fastbreak)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:11,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
02:11,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
02:11,"GOOD FT by CAMPBELL,MAXTON(fastbreak)",27,,34 (+7),,SU 27-34 (+7),,"GOOD FT by CAMPBELL,MAXTON(fastbreak)",1
02:03,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
02:03,,,,,"MISS FT by SMITH,RJ",,,"MISS FT by SMITH,RJ",1
--,"REBOUND DEF by CHATMAN,PARKER",,,,,,,"REBOUND DEF by CHATMAN,PARKER",1
01:49,"GOOD 3PTR by JOHNSON,JACOBY",30,,34 (+4),,SU 30-34 (+4),,"GOOD 3PTR by JOHNSON,JACOBY",1
--,"ASSIST  by LOCKARD,ISAIAH",,,,,,,"ASSIST  by LOCKARD,ISAIAH",1
01:35,,,,,"MISS 3PTR by GERALD,DUSTIN",,,"MISS 3PTR by GERALD,DUSTIN",1
--,"REBOUND DEF by CHATMAN,PARKER",,,,,,,"REBOUND DEF by CHATMAN,PARKER",1
01:26,"MISS LAYUP by LOCKARD,ISAIAH(in the paint)",,,,,,,"MISS LAYUP by LOCKARD,ISAIAH(in the paint)",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
01:16,"FOUL  by CAMPBELL,MAXTON",,,,,,,"FOUL  by CAMPBELL,MAXTON",1
01:16,,30,,35 (+5),"GOOD FT by MOORE,CHEZ",Centre 30-35 (+5),,"GOOD FT by MOORE,CHEZ",1
01:16,"SUB OUT by LOCKARD,ISAIAH",,,,,,,"SUB OUT by LOCKARD,ISAIAH",1
01:16,"SUB IN by MANN,TYLAN",,,,,,,"SUB IN by MANN,TYLAN",1
01:16,,,,,"MISS FT by MOORE,CHEZ",,,"MISS FT by MOORE,CHEZ",1
--,"REBOUND DEF by CHATMAN,PARKER",,,,,,,"REBOUND DEF by CHATMAN,PARKER",1
00:57,"TURNOVER  by MANN,TYLAN",,,,,,,"TURNOVER  by MANN,TYLAN",1
00:57,,,,,"STEAL  by GERALD,DUSTIN",,,"STEAL  by GERALD,DUSTIN",1
00:51,,,,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",1
00:51,"BLOCK  by STEWART,CHRISTIAN",,,,,,,"BLOCK  by STEWART,CHRISTIAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:38,"GOOD LAYUP by CAMPBELL,MAXTON(in the paint)",32,,35 (+3),,SU 32-35 (+3),,"GOOD LAYUP by CAMPBELL,MAXTON(in the paint)",1
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",1
00:27,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",1
00:27,"BLOCK  by JOHNSON,JACOBY",,,,,,,"BLOCK  by JOHNSON,JACOBY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:24,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
00:06,"TURNOVER  by JOHNSON,JACOBY",,,,,,,"TURNOVER  by JOHNSON,JACOBY",1
00:00,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
20:00,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
20:00,"SUB OUT by JOHNSON,JACOBY",,,,,,,"SUB OUT by JOHNSON,JACOBY",2
20:00,"SUB OUT by CHATMAN,PARKER",,,,,,,"SUB OUT by CHATMAN,PARKER",2
20:00,"SUB OUT by CAMPBELL,MAXTON",,,,,,,"SUB OUT by CAMPBELL,MAXTON",2
20:00,"SUB IN by OBIDIKE,BRANDIN",,,,,,,"SUB IN by OBIDIKE,BRANDIN",2
20:00,"SUB IN by HENSON,JONATHAN",,,,,,,"SUB IN by HENSON,JONATHAN",2
20:00,"SUB IN by AMANOR,TROY",,,,,,,"SUB IN by AMANOR,TROY",2
19:37,,,,,"MISS JUMPER by SMITH,RJ",,,"MISS JUMPER by SMITH,RJ",2
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",2
19:31,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
19:00,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
18:46,,32,,37 (+5),"GOOD JUMPER by SMITH,RJ(in the paint)",Centre 32-37 (+5),,"GOOD JUMPER by SMITH,RJ(in the paint)",2
18:22,"GOOD JUMPER by MANN,TYLAN(in the paint)",34,,37 (+3),,SU 34-37 (+3),,"GOOD JUMPER by MANN,TYLAN(in the paint)",2
18:01,,,,,"MISS 3PTR by GERALD,DUSTIN",,,"MISS 3PTR by GERALD,DUSTIN",2
--,"REBOUND DEF by MANN,TYLAN",,,,,,,"REBOUND DEF by MANN,TYLAN",2
17:52,"FOUL  by MANN,TYLAN",,,,,,,"FOUL  by MANN,TYLAN",2
17:52,"TURNOVER  by MANN,TYLAN",,,,,,,"TURNOVER  by MANN,TYLAN",2
17:52,"SUB OUT by AMANOR,TROY",,,,,,,"SUB OUT by AMANOR,TROY",2
17:52,"SUB IN by CAMPBELL,MAXTON",,,,,,,"SUB IN by CAMPBELL,MAXTON",2
17:29,"FOUL  by HENSON,JONATHAN",,,,,,,"FOUL  by HENSON,JONATHAN",2
17:29,,34,,38 (+4),"GOOD FT by WILLIAMS,JALEN",Centre 34-38 (+4),,"GOOD FT by WILLIAMS,JALEN",2
17:29,,34,,39 (+5),"GOOD FT by WILLIAMS,JALEN",Centre 34-39 (+5),,"GOOD FT by WILLIAMS,JALEN",2
17:14,"MISS JUMPER by CAMPBELL,MAXTON(in the paint)",,,,,,,"MISS JUMPER by CAMPBELL,MAXTON(in the paint)",2
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",2
17:04,"FOUL  by CAMPBELL,MAXTON",,,,,,,"FOUL  by CAMPBELL,MAXTON",2
17:04,,34,,40 (+6),"GOOD FT by SMITH,RJ",Centre 34-40 (+6),,"GOOD FT by SMITH,RJ",2
