Time Remaining,Wabash,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
17:10,"GOOD FT by JONES,AHMONI(fastbreak)",5 (+3),,2,,Wabash 5-2 (-3),,"GOOD FT by JONES,AHMONI(fastbreak)",1
17:10,"GOOD FT by JONES,AHMONI(fastbreak)",6 (+4),,2,,Wabash 6-2 (-4),,"GOOD FT by JONES,AHMONI(fastbreak)",1
16:51,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",1
--,"REBOUND DEF by WATSON,TYLER",,,,,,,"REBOUND DEF by WATSON,TYLER",1
16:41,"GOOD JUMPER by WATSON,TYLER",8 (+6),,2,,Wabash 8-2 (-6),,"GOOD JUMPER by WATSON,TYLER",1
16:39,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:18,,8 (+4),,4,"GOOD JUMPER by SMITH,RJ(in the paint)",Centre 8-4 (-4),,"GOOD JUMPER by SMITH,RJ(in the paint)",1
16:01,"MISS JUMPER by JONES,AHMONI(in the paint)",,,,,,,"MISS JUMPER by JONES,AHMONI(in the paint)",1
--,"REBOUND OFF by SCHREIBER,KELLEN",,,,,,,"REBOUND OFF by SCHREIBER,KELLEN",1
15:55,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",10 (+6),,4,,Wabash 10-4 (-6),,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",1
15:42,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,"REBOUND DEF by DAVIDSON,JACK",,,,,,,"REBOUND DEF by DAVIDSON,JACK",1
15:30,"MISS 3PTR by WATSON,TYLER",,,,,,,"MISS 3PTR by WATSON,TYLER",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
15:22,,,,,"MISS LAYUP by WILLIAMS,JALEN(in the paint)",,,"MISS LAYUP by WILLIAMS,JALEN(in the paint)",1
--,"REBOUND DEF by THOMAS,REIS",,,,,,,"REBOUND DEF by THOMAS,REIS",1
15:10,"FOUL  by JONES,AHMONI",,,,,,,"FOUL  by JONES,AHMONI",1
15:10,"TURNOVER  by JONES,AHMONI",,,,,,,"TURNOVER  by JONES,AHMONI",1
15:10,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:57,,10 (+4),,6,"GOOD DUNK by SMITH,RJ(in the paint)",Centre 10-6 (-4),,"GOOD DUNK by SMITH,RJ(in the paint)",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
14:37,"MISS 3PTR by WATSON,TYLER",,,,,,,"MISS 3PTR by WATSON,TYLER",1
--,"REBOUND OFF by THOMAS,REIS",,,,,,,"REBOUND OFF by THOMAS,REIS",1
14:18,"MISS LAYUP by THOMAS,REIS(in the paint)",,,,,,,"MISS LAYUP by THOMAS,REIS(in the paint)",1
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",1
14:03,,,,,"TURNOVER  by WILLIAMS,JALEN",,,"TURNOVER  by WILLIAMS,JALEN",1
14:03,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
14:03,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
14:03,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
14:03,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
14:03,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
14:03,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
14:03,,,,,"SUB IN by WELLMAN,JARED",,,"SUB IN by WELLMAN,JARED",1
14:03,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
14:03,"SUB OUT by SCHREIBER,KELLEN",,,,,,,"SUB OUT by SCHREIBER,KELLEN",1
14:03,"SUB IN by HALL,JESSE",,,,,,,"SUB IN by HALL,JESSE",1
13:41,"GOOD LAYUP by THOMAS,REIS(in the paint)",12 (+6),,6,,Wabash 12-6 (-6),,"GOOD LAYUP by THOMAS,REIS(in the paint)",1
--,"ASSIST  by WATSON,TYLER",,,,,,,"ASSIST  by WATSON,TYLER",1
13:31,,,,,"MISS LAYUP by BANKS,JAXSON(in the paint)",,,"MISS LAYUP by BANKS,JAXSON(in the paint)",1
13:31,"BLOCK  by HALL,JESSE",,,,,,,"BLOCK  by HALL,JESSE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:16,,,,,"TURNOVER  by WELLMAN,JARED",,,"TURNOVER  by WELLMAN,JARED",1
13:16,"STEAL  by HALL,JESSE",,,,,,,"STEAL  by HALL,JESSE",1
13:01,"MISS JUMPER by WATSON,TYLER",,,,,,,"MISS JUMPER by WATSON,TYLER",1
--,,,,,"REBOUND DEF by BANKS,JAXSON",,,"REBOUND DEF by BANKS,JAXSON",1
12:53,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND DEF by WATSON,TYLER",,,,,,,"REBOUND DEF by WATSON,TYLER",1
12:24,"MISS 3PTR by THOMAS,REIS",,,,,,,"MISS 3PTR by THOMAS,REIS",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
12:08,,12 (+4),,8,"GOOD JUMPER by MOORE,CHEZ(in the paint)",Centre 12-8 (-4),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",1
11:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:53,"SUB OUT by JONES,AHMONI",,,,,,,"SUB OUT by JONES,AHMONI",1
11:53,"SUB OUT by THOMAS,REIS",,,,,,,"SUB OUT by THOMAS,REIS",1
11:53,"SUB OUT by HALL,JESSE",,,,,,,"SUB OUT by HALL,JESSE",1
11:53,"SUB IN by CHADD,CAM",,,,,,,"SUB IN by CHADD,CAM",1
11:53,"SUB IN by SCHREIBER,KELLEN",,,,,,,"SUB IN by SCHREIBER,KELLEN",1
11:53,"SUB IN by BEAVER,AVERY",,,,,,,"SUB IN by BEAVER,AVERY",1
11:37,"GOOD JUMPER by WATSON,TYLER(in the paint)",14 (+6),,8,,Wabash 14-8 (-6),,"GOOD JUMPER by WATSON,TYLER(in the paint)",1
11:04,,,,,"MISS LAYUP by RING,NOAH(in the paint)",,,"MISS LAYUP by RING,NOAH(in the paint)",1
--,"REBOUND DEF by BEAVER,AVERY",,,,,,,"REBOUND DEF by BEAVER,AVERY",1
10:59,"GOOD 3PTR by DAVIDSON,JACK(fastbreak)",17 (+9),,8,,Wabash 17-8 (-9),,"GOOD 3PTR by DAVIDSON,JACK(fastbreak)",1
10:59,,,,,"FOUL  by BANKS,JAXSON",,,"FOUL  by BANKS,JAXSON",1
10:59,,,,,"SUB OUT by WELLMAN,JARED",,,"SUB OUT by WELLMAN,JARED",1
10:59,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",1
10:59,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
10:59,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
10:57,"GOOD FT by DAVIDSON,JACK(fastbreak)",18 (+10),,8,,Wabash 18-8 (-10),,"GOOD FT by DAVIDSON,JACK(fastbreak)",1
10:33,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",1
10:33,,,,,"TURNOVER  by WILLIAMS,JALEN",,,"TURNOVER  by WILLIAMS,JALEN",1
10:15,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
10:15,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
10:15,"FOUL  by DAVIDSON,JACK",,,,,,,"FOUL  by DAVIDSON,JACK",1
10:15,"TURNOVER  by DAVIDSON,JACK",,,,,,,"TURNOVER  by DAVIDSON,JACK",1
10:05,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
10:05,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
09:55,,18 (+8),,10,"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 18-10 (-8),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
--,,,,,"ASSIST  by MOORE,CHEZ",,,"ASSIST  by MOORE,CHEZ",1
09:29,"TURNOVER  by SCHREIBER,KELLEN",,,,,,,"TURNOVER  by SCHREIBER,KELLEN",1
09:17,,18 (+6),,12,"GOOD JUMPER by MOORE,CHEZ(fastbreak)(in the paint)",Centre 18-12 (-6),,"GOOD JUMPER by MOORE,CHEZ(fastbreak)(in the paint)",1
09:06,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",1
09:06,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
09:06,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
09:06,"SUB OUT by CHADD,CAM",,,,,,,"SUB OUT by CHADD,CAM",1
09:06,"SUB OUT by DAVIDSON,JACK",,,,,,,"SUB OUT by DAVIDSON,JACK",1
09:06,"SUB IN by JONES,AHMONI",,,,,,,"SUB IN by JONES,AHMONI",1
09:06,"SUB IN by THOMAS,REIS",,,,,,,"SUB IN by THOMAS,REIS",1
09:06,"MISS FT by SCHREIBER,KELLEN",,,,,,,"MISS FT by SCHREIBER,KELLEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:06,"MISS FT by SCHREIBER,KELLEN",,,,,,,"MISS FT by SCHREIBER,KELLEN",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
08:39,,18 (+3),,15,"GOOD 3PTR by BAUGHMAN,CARTER",Centre 18-15 (-3),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",1
08:25,"TURNOVER  by BEAVER,AVERY",,,,,,,"TURNOVER  by BEAVER,AVERY",1
08:25,,,,,"STEAL  by TAYLOR,MARSHALL",,,"STEAL  by TAYLOR,MARSHALL",1
08:22,"FOUL  by BEAVER,AVERY",,,,,,,"FOUL  by BEAVER,AVERY",1
08:22,,,,,"MISS FT by MOORE,CHEZ(fastbreak)",,,"MISS FT by MOORE,CHEZ(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:22,"SUB OUT by BEAVER,AVERY",,,,,,,"SUB OUT by BEAVER,AVERY",1
08:22,"SUB IN by BUCCILLA,VINNY",,,,,,,"SUB IN by BUCCILLA,VINNY",1
08:22,,18 (+2),,16,"GOOD FT by MOORE,CHEZ(fastbreak)",Centre 18-16 (-2),,"GOOD FT by MOORE,CHEZ(fastbreak)",1
08:12,"GOOD JUMPER by WATSON,TYLER(in the paint)",20 (+4),,16,,Wabash 20-16 (-4),,"GOOD JUMPER by WATSON,TYLER(in the paint)",1
07:54,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",1
--,"REBOUND DEF by BUCCILLA,VINNY",,,,,,,"REBOUND DEF by BUCCILLA,VINNY",1
07:45,"MISS LAYUP by JONES,AHMONI(in the paint)",,,,,,,"MISS LAYUP by JONES,AHMONI(in the paint)",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
07:32,,,,,"MISS 3PTR by GERALD,DUSTIN",,,"MISS 3PTR by GERALD,DUSTIN",1
--,"REBOUND DEF by SCHREIBER,KELLEN",,,,,,,"REBOUND DEF by SCHREIBER,KELLEN",1
07:25,"GOOD JUMPER by WATSON,TYLER(fastbreak)(in the paint)",22 (+6),,16,,Wabash 22-16 (-6),,"GOOD JUMPER by WATSON,TYLER(fastbreak)(in the paint)",1
07:06,,,,,"MISS JUMPER by SMITH,RJ(in the paint)",,,"MISS JUMPER by SMITH,RJ(in the paint)",1
--,"REBOUND DEF by SCHREIBER,KELLEN",,,,,,,"REBOUND DEF by SCHREIBER,KELLEN",1
06:53,"MISS JUMPER by THOMAS,REIS",,,,,,,"MISS JUMPER by THOMAS,REIS",1
--,,,,,"REBOUND DEF by TAYLOR,MARSHALL",,,"REBOUND DEF by TAYLOR,MARSHALL",1
06:42,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,"REBOUND DEF by SCHREIBER,KELLEN",,,,,,,"REBOUND DEF by SCHREIBER,KELLEN",1
06:36,"TURNOVER  by WATSON,TYLER",,,,,,,"TURNOVER  by WATSON,TYLER",1
06:36,,,,,"STEAL  by GERALD,DUSTIN",,,"STEAL  by GERALD,DUSTIN",1
06:26,,22 (+4),,18,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 22-18 (-4),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
--,,,,,"ASSIST  by MOORE,CHEZ",,,"ASSIST  by MOORE,CHEZ",1
06:09,"MISS LAYUP by SCHREIBER,KELLEN(in the paint)",,,,,,,"MISS LAYUP by SCHREIBER,KELLEN(in the paint)",1
06:09,,,,,"BLOCK  by SMITH,RJ",,,"BLOCK  by SMITH,RJ",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:08,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:08,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
06:08,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
06:08,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
06:08,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",1
06:08,"SUB OUT by SCHREIBER,KELLEN",,,,,,,"SUB OUT by SCHREIBER,KELLEN",1
06:08,"SUB OUT by JONES,AHMONI",,,,,,,"SUB OUT by JONES,AHMONI",1
06:08,"SUB IN by DAVIDSON,JACK",,,,,,,"SUB IN by DAVIDSON,JACK",1
06:08,"SUB IN by BEAVER,AVERY",,,,,,,"SUB IN by BEAVER,AVERY",1
05:56,"SUB OUT by BEAVER,AVERY",,,,,,,"SUB OUT by BEAVER,AVERY",1
05:56,"FOUL  by HALL,JESSE",,,,,,,"FOUL  by HALL,JESSE",1
05:56,"SUB OUT by BUCCILLA,VINNY",,,,,,,"SUB OUT by BUCCILLA,VINNY",1
05:56,"SUB IN by HALL,JESSE",,,,,,,"SUB IN by HALL,JESSE",1
05:56,"SUB IN by BUCCILLA,VINNY",,,,,,,"SUB IN by BUCCILLA,VINNY",1
05:54,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",,,"MISS LAYUP by SMITH,RJ(in the paint)",1
--,,,,,"REBOUND OFF by BANKS,JAXSON",,,"REBOUND OFF by BANKS,JAXSON",1
05:54,"FOUL  by DAVIDSON,JACK",,,,,,,"FOUL  by DAVIDSON,JACK",1
05:54,,22 (+3),,19,"GOOD FT by SMITH,RJ",Centre 22-19 (-3),,"GOOD FT by SMITH,RJ",1
05:54,,22 (+2),,20,"GOOD FT by SMITH,RJ",Centre 22-20 (-2),,"GOOD FT by SMITH,RJ",1
05:29,"MISS 3PTR by BUCCILLA,VINNY",,,,,,,"MISS 3PTR by BUCCILLA,VINNY",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
05:29,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",1
05:29,"STEAL  by HALL,JESSE",,,,,,,"STEAL  by HALL,JESSE",1
05:26,"MISS 3PTR by DAVIDSON,JACK",,,,,,,"MISS 3PTR by DAVIDSON,JACK",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:10,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",1
--,"REBOUND DEF by WATSON,TYLER",,,,,,,"REBOUND DEF by WATSON,TYLER",1
05:04,"SUB OUT by BUCCILLA,VINNY",,,,,,,"SUB OUT by BUCCILLA,VINNY",1
05:04,"SUB OUT by DAVIDSON,JACK",,,,,,,"SUB OUT by DAVIDSON,JACK",1
05:04,"SUB IN by CHADD,CAM",,,,,,,"SUB IN by CHADD,CAM",1
05:04,"SUB IN by BEAVER,AVERY",,,,,,,"SUB IN by BEAVER,AVERY",1
05:04,"SUB OUT by CHADD,CAM",,,,,,,"SUB OUT by CHADD,CAM",1
05:04,"SUB IN by BUCCILLA,VINNY",,,,,,,"SUB IN by BUCCILLA,VINNY",1
04:52,"SUB OUT by BUCCILLA,VINNY",,,,,,,"SUB OUT by BUCCILLA,VINNY",1
04:52,"SUB IN by CHADD,CAM",,,,,,,"SUB IN by CHADD,CAM",1
04:50,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",1
04:41,"SUB OUT by CHADD,CAM",,,,,,,"SUB OUT by CHADD,CAM",1
04:41,"SUB IN by DAVIDSON,JACK",,,,,,,"SUB IN by DAVIDSON,JACK",1
04:33,"MISS 3PTR by BEAVER,AVERY",,,,,,,"MISS 3PTR by BEAVER,AVERY",1
--,"REBOUND OFF by WATSON,TYLER",,,,,,,"REBOUND OFF by WATSON,TYLER",1
04:32,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
04:32,"SUB OUT by DAVIDSON,JACK",,,,,,,"SUB OUT by DAVIDSON,JACK",1
04:32,"SUB IN by CHADD,CAM",,,,,,,"SUB IN by CHADD,CAM",1
04:32,"MISS FT by WATSON,TYLER",,,,,,,"MISS FT by WATSON,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:31,"GOOD FT by WATSON,TYLER",23 (+3),,20,,Wabash 23-20 (-3),,"GOOD FT by WATSON,TYLER",1
03:53,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",,,"MISS LAYUP by SMITH,RJ(in the paint)",1
--,"REBOUND DEF by BEAVER,AVERY",,,,,,,"REBOUND DEF by BEAVER,AVERY",1
03:53,"MISS LAYUP by BEAVER,AVERY(in the paint)",,,,,,,"MISS LAYUP by BEAVER,AVERY(in the paint)",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
03:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:53,"FOUL  by THOMAS,REIS",,,,,,,"FOUL  by THOMAS,REIS",1
03:53,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
03:53,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
03:53,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
03:53,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
03:53,"SUB OUT by CHADD,CAM",,,,,,,"SUB OUT by CHADD,CAM",1
03:53,"SUB OUT by HALL,JESSE",,,,,,,"SUB OUT by HALL,JESSE",1
03:53,"SUB IN by DAVIDSON,JACK",,,,,,,"SUB IN by DAVIDSON,JACK",1
03:53,"SUB IN by SCHREIBER,KELLEN",,,,,,,"SUB IN by SCHREIBER,KELLEN",1
03:53,,23 (+2),,21,"GOOD FT by GERALD,DUSTIN(fastbreak)",Centre 23-21 (-2),,"GOOD FT by GERALD,DUSTIN(fastbreak)",1
03:53,,23 (+1),,22,"GOOD FT by GERALD,DUSTIN(fastbreak)",Centre 23-22 (-1),,"GOOD FT by GERALD,DUSTIN(fastbreak)",1
03:42,"MISS 3PTR by DAVIDSON,JACK",,,,,,,"MISS 3PTR by DAVIDSON,JACK",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
03:36,,23,,24 (+1),"GOOD JUMPER by MOORE,CHEZ(fastbreak)(in the paint)",Centre 23-24 (+1),,"GOOD JUMPER by MOORE,CHEZ(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",1
03:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:16,"MISS JUMPER by WATSON,TYLER",,,,,,,"MISS JUMPER by WATSON,TYLER",1
03:16,,,,,"BLOCK  by BANKS,JAXSON",,,"BLOCK  by BANKS,JAXSON",1
--,"REBOUND OFF by WATSON,TYLER",,,,,,,"REBOUND OFF by WATSON,TYLER",1
03:05,"GOOD JUMPER by SCHREIBER,KELLEN(in the paint)",25 (+1),,24,,Wabash 25-24 (-1),,"GOOD JUMPER by SCHREIBER,KELLEN(in the paint)",1
02:46,,25,,26 (+1),"GOOD JUMPER by GERALD,DUSTIN",Centre 25-26 (+1),,"GOOD JUMPER by GERALD,DUSTIN",1
02:30,"TURNOVER  by DAVIDSON,JACK",,,,,,,"TURNOVER  by DAVIDSON,JACK",1
02:30,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",1
02:30,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
02:30,"SUB OUT by BEAVER,AVERY",,,,,,,"SUB OUT by BEAVER,AVERY",1
02:30,"SUB IN by CHADD,CAM",,,,,,,"SUB IN by CHADD,CAM",1
02:29,"SUB OUT by DAVIDSON,JACK",,,,,,,"SUB OUT by DAVIDSON,JACK",1
02:29,"SUB IN by JONES,AHMONI",,,,,,,"SUB IN by JONES,AHMONI",1
02:10,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
02:10,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
01:59,,25,,28 (+3),"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 25-28 (+3),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
01:52,"TURNOVER  by SCHREIBER,KELLEN",,,,,,,"TURNOVER  by SCHREIBER,KELLEN",1
01:52,,,,,"STEAL  by GERALD,DUSTIN",,,"STEAL  by GERALD,DUSTIN",1
01:52,"FOUL  by SCHREIBER,KELLEN",,,,,,,"FOUL  by SCHREIBER,KELLEN",1
01:52,"SUB OUT by CHADD,CAM",,,,,,,"SUB OUT by CHADD,CAM",1
01:52,"SUB IN by DAVIDSON,JACK",,,,,,,"SUB IN by DAVIDSON,JACK",1
01:52,,25,,29 (+4),"GOOD FT by BAUGHMAN,CARTER(fastbreak)",Centre 25-29 (+4),,"GOOD FT by BAUGHMAN,CARTER(fastbreak)",1
01:52,,25,,30 (+5),"GOOD FT by BAUGHMAN,CARTER(fastbreak)",Centre 25-30 (+5),,"GOOD FT by BAUGHMAN,CARTER(fastbreak)",1
01:37,"GOOD 3PTR by JONES,AHMONI",28,,30 (+2),,Wabash 28-30 (+2),,"GOOD 3PTR by JONES,AHMONI",1
--,"ASSIST  by WATSON,TYLER",,,,,,,"ASSIST  by WATSON,TYLER",1
01:26,,,,,"MISS LAYUP by WILSON,DREW(in the paint)",,,"MISS LAYUP by WILSON,DREW(in the paint)",1
01:26,"BLOCK  by WATSON,TYLER",,,,,,,"BLOCK  by WATSON,TYLER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:11,"GOOD 3PTR by JONES,AHMONI",31 (+1),,30,,Wabash 31-30 (-1),,"GOOD 3PTR by JONES,AHMONI",1
00:45,"FOUL  by JONES,AHMONI",,,,,,,"FOUL  by JONES,AHMONI",1
00:45,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
00:45,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
00:45,,31,,31,"GOOD FT by MOORE,CHEZ",Centre 31-31 (0),,"GOOD FT by MOORE,CHEZ",1
00:45,,31,,32 (+1),"GOOD FT by MOORE,CHEZ",Centre 31-32 (+1),,"GOOD FT by MOORE,CHEZ",1
00:33,"FOUL  by JONES,AHMONI",,,,,,,"FOUL  by JONES,AHMONI",1
00:33,"TURNOVER  by JONES,AHMONI",,,,,,,"TURNOVER  by JONES,AHMONI",1
00:33,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
00:33,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
00:33,"SUB OUT by DAVIDSON,JACK",,,,,,,"SUB OUT by DAVIDSON,JACK",1
00:33,"SUB OUT by JONES,AHMONI",,,,,,,"SUB OUT by JONES,AHMONI",1
00:33,"SUB IN by CHADD,CAM",,,,,,,"SUB IN by CHADD,CAM",1
00:33,"SUB IN by BEAVER,AVERY",,,,,,,"SUB IN by BEAVER,AVERY",1
00:03,,,,,"MISS 3PTR by MOORE,CHEZ",,,"MISS 3PTR by MOORE,CHEZ",1
