Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
01:09,,,,,"FOUL  by HOWARD,JEROD",,,"FOUL  by HOWARD,JEROD",2
01:07,,,,,"TURNOVER  by HOWARD,JEROD",,,"TURNOVER  by HOWARD,JEROD",2
01:01,"GOOD 3PTR by CORTESE,NICK",52,,67 (+15),,MSPSM 52-67 (-15),,"GOOD 3PTR by CORTESE,NICK",2
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",2
00:59,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:59,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
00:59,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
00:59,,,,,"SUB IN by MUNCH,PETER",,,"SUB IN by MUNCH,PETER",2
00:59,,,,,"SUB OUT by ANDERKAVICH,JOEY",,,"SUB OUT by ANDERKAVICH,JOEY",2
00:53,"SUB IN by BOTERO,NICHOLAS",,,,,,,"SUB IN by BOTERO,NICHOLAS",2
00:53,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
00:53,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
00:53,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",2
00:51,,,,,"TURNOVER  by ROBINSON,DENZEL",,,"TURNOVER  by ROBINSON,DENZEL",2
00:43,"TURNOVER  by BOTERO,NICHOLAS",,,,,,,"TURNOVER  by BOTERO,NICHOLAS",2
00:41,,,,,"STEAL  by MITCHELL,NICK",,,"STEAL  by MITCHELL,NICK",2
00:39,,52,,69 (+17),"GOOD LAYUP by MITCHELL,NICK(in the paint)",LCM 52-69 (-17),,"GOOD LAYUP by MITCHELL,NICK(in the paint)",2
00:33,"TURNOVER  by BOTERO,NICHOLAS",,,,,,,"TURNOVER  by BOTERO,NICHOLAS",2
00:31,,,,,"STEAL  by HOWARD,JEROD",,,"STEAL  by HOWARD,JEROD",2
00:27,,52,,71 (+19),"GOOD LAYUP by HOWARD,JEROD(in the paint)",LCM 52-71 (-19),,"GOOD LAYUP by HOWARD,JEROD(in the paint)",2
00:24,"GOOD 3PTR by WHITE,TIM",55,,71 (+16),,MSPSM 55-71 (-16),,"GOOD 3PTR by WHITE,TIM",2
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",2
00:24,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:24,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
00:24,,55,,72 (+17),"GOOD FT by HOWARD,JEROD",LCM 55-72 (-17),,"GOOD FT by HOWARD,JEROD",2
00:24,,,,,"MISS FT by HOWARD,JEROD",,,"MISS FT by HOWARD,JEROD",2
--,"REBOUND DEF by BOTERO,NICHOLAS",,,,,,,"REBOUND DEF by BOTERO,NICHOLAS",2
00:24,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
00:24,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
00:24,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
00:24,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",2
00:24,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
00:24,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
00:12,"MISS 3PTR by BOTERO,NICHOLAS",,,,,,,"MISS 3PTR by BOTERO,NICHOLAS",2
--,"REBOUND OFF by CORTESE,NICK",,,,,,,"REBOUND OFF by CORTESE,NICK",2
00:08,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by MUNCH,PETER",,,"REBOUND DEF by MUNCH,PETER",2
