Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
16:46,"BLOCK  by GILLIGAN,TULLY",,,,,,,"BLOCK  by GILLIGAN,TULLY",1
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",1
16:43,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
16:39,,10 (+2),,8,"GOOD JUMPER by VAUGHN,MARCUS",LCM 10-8 (+2),,"GOOD JUMPER by VAUGHN,MARCUS",1
16:16,"MISS JUMPER by MEADES,TAYLOR",,,,,,,"MISS JUMPER by MEADES,TAYLOR",1
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",1
16:11,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",1
16:11,,,,,"BLOCK  by VAUGHN,MARCUS",,,"BLOCK  by VAUGHN,MARCUS",1
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",1
15:26,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
15:26,,10,,10,"GOOD JUMPER by ANDERSON,KYRON",LCM 10-10 (0),,"GOOD JUMPER by ANDERSON,KYRON",1
15:26,,10,,11 (+1),"GOOD FT by ANDERSON,KYRON",LCM 10-11 (-1),,"GOOD FT by ANDERSON,KYRON",1
15:26,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by O'HARA,ROSS",,,"REBOUND DEF by O'HARA,ROSS",1
15:26,,10,,13 (+3),"GOOD JUMPER by ANDERSON,KYRON",LCM 10-13 (-3),,"GOOD JUMPER by ANDERSON,KYRON",1
15:23,"TURNOVER  by WHITE,TIM",,,,,,,"TURNOVER  by WHITE,TIM",1
15:22,,,,,"STEAL  by MUNCH,PETER",,,"STEAL  by MUNCH,PETER",1
15:18,,,,,"MISS LAYUP by MACLIN,CATRELL",,,"MISS LAYUP by MACLIN,CATRELL",1
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",1
13:10,,,,,"FOUL  by MACLIN,CATRELL",,,"FOUL  by MACLIN,CATRELL",1
13:10,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
13:10,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",1
13:10,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
13:10,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
13:10,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
13:10,,,,,"SUB IN by ANDERSON,KYRON",,,"SUB IN by ANDERSON,KYRON",1
13:10,,,,,"SUB IN by HOWARD,JEROD",,,"SUB IN by HOWARD,JEROD",1
