Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,MSPS,Game Score,Team Indicator,Play,Period
14:31,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
14:31,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
14:31,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
14:00,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",2
14:00,,40 (+8),,32,"GOOD FT by KINNEAR,KYLE",MSPS 40-32 (-8),,"GOOD FT by KINNEAR,KYLE",2
14:00,,40 (+7),,33,"GOOD FT by KINNEAR,KYLE",MSPS 40-33 (-7),,"GOOD FT by KINNEAR,KYLE",2
13:44,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",42 (+9),,33,,OUM 42-33 (-9),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",2
--,"ASSIST  by PITTS,ALEC",,,,,,,"ASSIST  by PITTS,ALEC",2
13:16,,,,,"TURNOVER  by THOMAS,STERLING",,,"TURNOVER  by THOMAS,STERLING",2
13:15,"STEAL  by PITTS,ALEC",,,,,,,"STEAL  by PITTS,ALEC",2
12:54,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",2
12:39,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",44 (+11),,33,,OUM 44-33 (-11),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",2
--,"ASSIST  by PITTS,ALEC",,,,,,,"ASSIST  by PITTS,ALEC",2
12:22,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND DEF by CERONE,TYLER",,,,,,,"REBOUND DEF by CERONE,TYLER",2
12:00,"MISS 3PTR by JOVAAG,BRANDEN",,,,,,,"MISS 3PTR by JOVAAG,BRANDEN",2
--,"REBOUND OFF by JOVAAG,BRANDEN",,,,,,,"REBOUND OFF by JOVAAG,BRANDEN",2
11:53,"GOOD LAYUP by JOVAAG,BRANDEN(in the paint)",46 (+13),,33,,OUM 46-33 (-13),,"GOOD LAYUP by JOVAAG,BRANDEN(in the paint)",2
11:52,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",2
11:52,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:52,"GOOD FT by JOVAAG,BRANDEN",47 (+14),,33,,OUM 47-33 (-14),,"GOOD FT by JOVAAG,BRANDEN",2
11:52,"SUB IN by HAMILTON,PRICE",,,,,,,"SUB IN by HAMILTON,PRICE",2
11:52,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",2
11:52,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
11:52,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",2
11:38,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",2
--,"REBOUND DEF by PURDY,SAM",,,,,,,"REBOUND DEF by PURDY,SAM",2
11:05,"MISS JUMPER by PITTS,ALEC",,,,,,,"MISS JUMPER by PITTS,ALEC",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
11:01,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
10:44,"TURNOVER  by CERONE,TYLER",,,,,,,"TURNOVER  by CERONE,TYLER",2
10:43,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",2
10:35,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",2
10:35,"BLOCK  by PURDY,SAM",,,,,,,"BLOCK  by PURDY,SAM",2
--,"REBOUND DEF by HAMILTON,PRICE",,,,,,,"REBOUND DEF by HAMILTON,PRICE",2
10:10,"FOUL  by PITTS,ALEC",,,,,,,"FOUL  by PITTS,ALEC",2
10:10,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",2
10:10,"SUB OUT by HAMILTON,PRICE",,,,,,,"SUB OUT by HAMILTON,PRICE",2
10:10,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
10:10,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
09:49,,,,,"MISS JUMPER by KINNEAR,KYLE",,,"MISS JUMPER by KINNEAR,KYLE",2
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",2
09:17,"GOOD 3PTR by JOVAAG,BRANDEN",50 (+17),,33,,OUM 50-33 (-17),,"GOOD 3PTR by JOVAAG,BRANDEN",2
08:53,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",2
08:53,"BLOCK  by PURDY,SAM",,,,,,,"BLOCK  by PURDY,SAM",2
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",2
08:48,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",2
08:48,"SUB IN by MOLINET,CHRISTIAN",,,,,,,"SUB IN by MOLINET,CHRISTIAN",2
08:48,"SUB IN by OVERSTREET,SEAN",,,,,,,"SUB IN by OVERSTREET,SEAN",2
08:48,"SUB OUT by PITTS,ALEC",,,,,,,"SUB OUT by PITTS,ALEC",2
08:48,"SUB OUT by CERONE,TYLER",,,,,,,"SUB OUT by CERONE,TYLER",2
08:30,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",52 (+19),,33,,OUM 52-33 (-19),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",2
08:08,,52 (+17),,35,"GOOD LAYUP by BROWN,JEFF(in the paint)",MSPS 52-35 (-17),,"GOOD LAYUP by BROWN,JEFF(in the paint)",2
--,,,,,"ASSIST  by WHITE,TIM",,,"ASSIST  by WHITE,TIM",2
07:49,"GOOD 3PTR by MOLINET,CHRISTIAN",55 (+20),,35,,OUM 55-35 (-20),,"GOOD 3PTR by MOLINET,CHRISTIAN",2
--,"ASSIST  by JOVAAG,BRANDEN",,,,,,,"ASSIST  by JOVAAG,BRANDEN",2
07:21,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",2
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",2
07:18,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",2
07:18,,55 (+19),,36,"GOOD FT by GILLIGAN,TULLY",MSPS 55-36 (-19),,"GOOD FT by GILLIGAN,TULLY",2
07:18,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
07:18,"SUB IN by HAMILTON,PRICE",,,,,,,"SUB IN by HAMILTON,PRICE",2
07:18,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",2
07:18,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
07:18,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
07:06,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by PURDY,SAM",,,,,,,"REBOUND DEF by PURDY,SAM",2
06:55,"TURNOVER  by MOLINET,CHRISTIAN",,,,,,,"TURNOVER  by MOLINET,CHRISTIAN",2
06:46,"FOUL  by HAMILTON,PRICE",,,,,,,"FOUL  by HAMILTON,PRICE",2
06:46,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",2
06:46,,55 (+18),,37,"GOOD FT by GILLIGAN,TULLY",MSPS 55-37 (-18),,"GOOD FT by GILLIGAN,TULLY",2
06:46,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",2
06:46,"SUB OUT by OVERSTREET,SEAN",,,,,,,"SUB OUT by OVERSTREET,SEAN",2
06:46,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",2
06:46,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
06:26,"MISS 3PTR by COURSON,TYLER",,,,,,,"MISS 3PTR by COURSON,TYLER",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
06:19,"FOUL  by PURDY,SAM",,,,,,,"FOUL  by PURDY,SAM",2
06:19,,55 (+17),,38,"GOOD FT by THOMAS,STERLING",MSPS 55-38 (-17),,"GOOD FT by THOMAS,STERLING",2
06:19,,,,,"MISS FT by THOMAS,STERLING",,,"MISS FT by THOMAS,STERLING",2
--,"REBOUND DEF by PURDY,SAM",,,,,,,"REBOUND DEF by PURDY,SAM",2
06:19,"SUB IN by STEIOFF,ANDREW",,,,,,,"SUB IN by STEIOFF,ANDREW",2
06:19,"SUB IN by PITTS,ALEC",,,,,,,"SUB IN by PITTS,ALEC",2
06:19,"SUB OUT by HAMILTON,PRICE",,,,,,,"SUB OUT by HAMILTON,PRICE",2
06:19,"SUB OUT by COURSON,TYLER",,,,,,,"SUB OUT by COURSON,TYLER",2
06:08,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",2
06:08,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
06:08,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",2
06:06,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",2
06:06,"MISS FT by STEIOFF,ANDREW",,,,,,,"MISS FT by STEIOFF,ANDREW",2
06:06,"GOOD FT by STEIOFF,ANDREW",56 (+18),,38,,OUM 56-38 (-18),,"GOOD FT by STEIOFF,ANDREW",2
05:46,,56 (+15),,41,"GOOD 3PTR by MERKEL,BRIAN",MSPS 56-41 (-15),,"GOOD 3PTR by MERKEL,BRIAN",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
05:33,"TURNOVER  by MOLINET,CHRISTIAN",,,,,,,"TURNOVER  by MOLINET,CHRISTIAN",2
05:32,,,,,"STEAL  by KASTNER,MURRAY",,,"STEAL  by KASTNER,MURRAY",2
05:25,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by MOLINET,CHRISTIAN",,,,,,,"REBOUND DEF by MOLINET,CHRISTIAN",2
05:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:12,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",58 (+17),,41,,OUM 58-41 (-17),,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",2
04:49,,58 (+15),,43,"GOOD LAYUP by CORTESE,NICK(in the paint)",MSPS 58-43 (-15),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
04:09,"TURNOVER  by MOLINET,CHRISTIAN",,,,,,,"TURNOVER  by MOLINET,CHRISTIAN",2
04:08,,,,,"STEAL  by WHITE,TIM",,,"STEAL  by WHITE,TIM",2
04:04,,,,,"MISS LAYUP by WHITE,TIM",,,"MISS LAYUP by WHITE,TIM",2
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",2
04:04,"FOUL  by JOVAAG,BRANDEN",,,,,,,"FOUL  by JOVAAG,BRANDEN",2
04:04,,58 (+14),,44,"GOOD FT by GILLIGAN,TULLY",MSPS 58-44 (-14),,"GOOD FT by GILLIGAN,TULLY",2
04:04,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",2
--,"REBOUND DEF by PURDY,SAM",,,,,,,"REBOUND DEF by PURDY,SAM",2
04:04,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
04:04,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
03:57,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
03:57,"GOOD FT by STEIOFF,ANDREW",59 (+15),,44,,OUM 59-44 (-15),,"GOOD FT by STEIOFF,ANDREW",2
03:57,"GOOD FT by STEIOFF,ANDREW",60 (+16),,44,,OUM 60-44 (-16),,"GOOD FT by STEIOFF,ANDREW",2
03:48,"TURNOVER  by PITTS,ALEC",,,,,,,"TURNOVER  by PITTS,ALEC",2
03:48,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",2
03:44,"FOUL  by MOLINET,CHRISTIAN",,,,,,,"FOUL  by MOLINET,CHRISTIAN",2
03:44,,60 (+15),,45,"GOOD FT by MERKEL,BRIAN",MSPS 60-45 (-15),,"GOOD FT by MERKEL,BRIAN",2
03:44,,60 (+14),,46,"GOOD FT by MERKEL,BRIAN",MSPS 60-46 (-14),,"GOOD FT by MERKEL,BRIAN",2
03:21,"GOOD LAYUP by PITTS,ALEC(in the paint)",62 (+16),,46,,OUM 62-46 (-16),,"GOOD LAYUP by PITTS,ALEC(in the paint)",2
03:05,,62 (+13),,49,"GOOD 3PTR by MEADES,TAYLOR",MSPS 62-49 (-13),,"GOOD 3PTR by MEADES,TAYLOR",2
03:00,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:49,"MISS DUNK by STEIOFF,ANDREW",,,,,,,"MISS DUNK by STEIOFF,ANDREW",2
02:49,,,,,"BLOCK  by GILLIGAN,TULLY",,,"BLOCK  by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
02:42,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",2
--,"REBOUND DEF by STEIOFF,ANDREW",,,,,,,"REBOUND DEF by STEIOFF,ANDREW",2
02:40,,,,,"FOUL  by MEADES,TAYLOR",,,"FOUL  by MEADES,TAYLOR",2
02:40,"GOOD FT by STEIOFF,ANDREW",63 (+14),,49,,OUM 63-49 (-14),,"GOOD FT by STEIOFF,ANDREW",2
02:40,"GOOD FT by STEIOFF,ANDREW",64 (+15),,49,,OUM 64-49 (-15),,"GOOD FT by STEIOFF,ANDREW",2
02:40,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
02:40,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
02:29,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",2
02:29,"BLOCK  by STEIOFF,ANDREW",,,,,,,"BLOCK  by STEIOFF,ANDREW",2
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",2
02:20,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",2
02:20,"GOOD FT by STEIOFF,ANDREW",65 (+16),,49,,OUM 65-49 (-16),,"GOOD FT by STEIOFF,ANDREW",2
02:20,"GOOD FT by STEIOFF,ANDREW",66 (+17),,49,,OUM 66-49 (-17),,"GOOD FT by STEIOFF,ANDREW",2
02:07,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",2
02:06,"STEAL  by STEIOFF,ANDREW",,,,,,,"STEAL  by STEIOFF,ANDREW",2
01:49,"TURNOVER  by PITTS,ALEC",,,,,,,"TURNOVER  by PITTS,ALEC",2
01:47,,,,,"STEAL  by WHITE,TIM",,,"STEAL  by WHITE,TIM",2
01:45,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND DEF by PITTS,ALEC",,,,,,,"REBOUND DEF by PITTS,ALEC",2
01:22,"MISS LAYUP by STEIOFF,ANDREW",,,,,,,"MISS LAYUP by STEIOFF,ANDREW",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
01:15,,,,,"MISS 3PTR by GILLIGAN,TULLY",,,"MISS 3PTR by GILLIGAN,TULLY",2
--,"REBOUND DEF by MOLINET,CHRISTIAN",,,,,,,"REBOUND DEF by MOLINET,CHRISTIAN",2
01:10,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",2
01:09,"GOOD FT by MOLINET,CHRISTIAN",67 (+18),,49,,OUM 67-49 (-18),,"GOOD FT by MOLINET,CHRISTIAN",2
01:09,"GOOD FT by MOLINET,CHRISTIAN",68 (+19),,49,,OUM 68-49 (-19),,"GOOD FT by MOLINET,CHRISTIAN",2
01:09,"SUB IN by PORTERFIELD,CHAD",,,,,,,"SUB IN by PORTERFIELD,CHAD",2
01:09,"SUB IN by OVERSTREET,SEAN",,,,,,,"SUB IN by OVERSTREET,SEAN",2
01:09,"SUB IN by VITAL,ALEX",,,,,,,"SUB IN by VITAL,ALEX",2
01:09,"SUB IN by DEL ROSARIO,AARON",,,,,,,"SUB IN by DEL ROSARIO,AARON",2
01:09,"SUB IN by BOLLIER,DREW",,,,,,,"SUB IN by BOLLIER,DREW",2
01:09,"SUB OUT by STEIOFF,ANDREW",,,,,,,"SUB OUT by STEIOFF,ANDREW",2
01:09,"SUB OUT by MOLINET,CHRISTIAN",,,,,,,"SUB OUT by MOLINET,CHRISTIAN",2
01:09,"SUB OUT by JOVAAG,BRANDEN",,,,,,,"SUB OUT by JOVAAG,BRANDEN",2
01:09,"SUB OUT by PURDY,SAM",,,,,,,"SUB OUT by PURDY,SAM",2
01:09,"SUB OUT by PITTS,ALEC",,,,,,,"SUB OUT by PITTS,ALEC",2
01:09,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",2
01:09,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",2
01:09,,,,,"SUB IN by PEARS,BRUCE",,,"SUB IN by PEARS,BRUCE",2
01:09,,,,,"SUB IN by BOTERO,NICHOLAS",,,"SUB IN by BOTERO,NICHOLAS",2
01:09,,,,,"SUB IN by GRIFFON,JACKSON",,,"SUB IN by GRIFFON,JACKSON",2
01:09,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
01:09,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
01:09,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
01:09,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
01:09,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
00:57,,,,,"MISS 3PTR by GRIFFON,JACKSON",,,"MISS 3PTR by GRIFFON,JACKSON",2
--,"REBOUND DEF by PORTERFIELD,CHAD",,,,,,,"REBOUND DEF by PORTERFIELD,CHAD",2
00:47,"MISS 3PTR by BOLLIER,DREW",,,,,,,"MISS 3PTR by BOLLIER,DREW",2
--,,,,,"REBOUND DEF by DETILLIEU,RYAN",,,"REBOUND DEF by DETILLIEU,RYAN",2
00:38,,68 (+17),,51,"GOOD LAYUP by DETILLIEU,RYAN(in the paint)",MSPS 68-51 (-17),,"GOOD LAYUP by DETILLIEU,RYAN(in the paint)",2
00:23,"GOOD JUMPER by OVERSTREET,SEAN",70 (+19),,51,,OUM 70-51 (-19),,"GOOD JUMPER by OVERSTREET,SEAN",2
00:16,,,,,"TURNOVER  by PEARS,BRUCE",,,"TURNOVER  by PEARS,BRUCE",2
