Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,MSPS,Game Score,Team Indicator,Play,Period
07:24,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
07:01,"MISS LAYUP by PRIMM,COLTON",,,,,,,"MISS LAYUP by PRIMM,COLTON",1
--,"REBOUND OFF by SHERIDAN,DAYTON",,,,,,,"REBOUND OFF by SHERIDAN,DAYTON",1
06:58,"MISS LAYUP by SHERIDAN,DAYTON",,,,,,,"MISS LAYUP by SHERIDAN,DAYTON",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
06:37,,,,,"MISS LAYUP by THOMAS,STERLING",,,"MISS LAYUP by THOMAS,STERLING",1
--,"REBOUND DEF by SHERIDAN,DAYTON",,,,,,,"REBOUND DEF by SHERIDAN,DAYTON",1
06:32,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",1
06:32,"SUB IN by MCCUBBIN,NATHAN",,,,,,,"SUB IN by MCCUBBIN,NATHAN",1
06:32,"SUB IN by GOODMAN,CHRIS",,,,,,,"SUB IN by GOODMAN,CHRIS",1
06:32,"SUB OUT by VANCE,LUKE",,,,,,,"SUB OUT by VANCE,LUKE",1
06:32,"SUB OUT by RILEY,JAREN",,,,,,,"SUB OUT by RILEY,JAREN",1
06:08,"FOUL  by MARTIN,AMMON",,,,,,,"FOUL  by MARTIN,AMMON",1
05:52,"FOUL  by GOODMAN,CHRIS",,,,,,,"FOUL  by GOODMAN,CHRIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:52,,,,,"MISS FT by MERKEL,BRIAN",,,"MISS FT by MERKEL,BRIAN",1
05:52,,,,,"MISS FT by MERKEL,BRIAN",,,"MISS FT by MERKEL,BRIAN",1
--,"REBOUND DEF by SHERIDAN,DAYTON",,,,,,,"REBOUND DEF by SHERIDAN,DAYTON",1
05:52,"SUB IN by RILEY,JAREN",,,,,,,"SUB IN by RILEY,JAREN",1
05:52,"SUB OUT by GOODMAN,CHRIS",,,,,,,"SUB OUT by GOODMAN,CHRIS",1
05:52,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
05:52,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
05:20,"MISS JUMPER by MARTIN,AMMON",,,,,,,"MISS JUMPER by MARTIN,AMMON",1
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",1
05:11,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND DEF by SHERIDAN,DAYTON",,,,,,,"REBOUND DEF by SHERIDAN,DAYTON",1
05:00,"GOOD LAYUP by MARTIN,AMMON(in the paint)",16 (+2),,14,,HC 16-14 (-2),,"GOOD LAYUP by MARTIN,AMMON(in the paint)",1
04:41,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
04:38,"STEAL  by SHERIDAN,DAYTON",,,,,,,"STEAL  by SHERIDAN,DAYTON",1
04:19,"MISS LAYUP by RILEY,JAREN",,,,,,,"MISS LAYUP by RILEY,JAREN",1
--,"REBOUND OFF by PRIMM,COLTON",,,,,,,"REBOUND OFF by PRIMM,COLTON",1
04:14,"MISS JUMPER by PRIMM,COLTON",,,,,,,"MISS JUMPER by PRIMM,COLTON",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
03:59,,16,,16,"GOOD JUMPER by CORTESE,NICK",MSPS 16-16 (0),,"GOOD JUMPER by CORTESE,NICK",1
03:40,"TURNOVER  by MARTIN,AMMON",,,,,,,"TURNOVER  by MARTIN,AMMON",1
03:35,,,,,"STEAL  by BROWN,JEFF",,,"STEAL  by BROWN,JEFF",1
03:33,,16,,18 (+2),"GOOD LAYUP by CORTESE,NICK(in the paint)",MSPS 16-18 (+2),,"GOOD LAYUP by CORTESE,NICK(in the paint)",1
03:13,"GOOD 3PTR by MCCUBBIN,NATHAN",19 (+1),,18,,HC 19-18 (-1),,"GOOD 3PTR by MCCUBBIN,NATHAN",1
--,"ASSIST  by MARTIN,AMMON",,,,,,,"ASSIST  by MARTIN,AMMON",1
02:56,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",1
--,"REBOUND DEF by PRIMM,COLTON",,,,,,,"REBOUND DEF by PRIMM,COLTON",1
02:46,"GOOD LAYUP by MARTIN,AMMON(in the paint)",21 (+3),,18,,HC 21-18 (-3),,"GOOD LAYUP by MARTIN,AMMON(in the paint)",1
02:42,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
02:42,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
02:42,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
02:42,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
02:17,"FOUL  by MCCUBBIN,NATHAN",,,,,,,"FOUL  by MCCUBBIN,NATHAN",1
02:17,"FOUL  by MCCUBBIN,NATHAN",,,,,,,"FOUL  by MCCUBBIN,NATHAN",1
02:17,,21 (+2),,19,"GOOD FT by GILLIGAN,TULLY",MSPS 21-19 (-2),,"GOOD FT by GILLIGAN,TULLY",1
02:17,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",1
--,"REBOUND DEF by SHERIDAN,DAYTON",,,,,,,"REBOUND DEF by SHERIDAN,DAYTON",1
02:17,"SUB IN by VANCE,LUKE",,,,,,,"SUB IN by VANCE,LUKE",1
02:17,"SUB OUT by MCCUBBIN,NATHAN",,,,,,,"SUB OUT by MCCUBBIN,NATHAN",1
01:47,"MISS JUMPER by VANCE,LUKE",,,,,,,"MISS JUMPER by VANCE,LUKE",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
01:36,,,,,"MISS 3PTR by BERGER,RYAN",,,"MISS 3PTR by BERGER,RYAN",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
01:17,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",1
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",1
01:15,,,,,"MISS LAYUP by KINNEAR,KYLE",,,"MISS LAYUP by KINNEAR,KYLE",1
--,"REBOUND DEF by MARTIN,AMMON",,,,,,,"REBOUND DEF by MARTIN,AMMON",1
00:56,"MISS 3PTR by MARTIN,AMMON",,,,,,,"MISS 3PTR by MARTIN,AMMON",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
00:45,,21,,21,"GOOD JUMPER by MEADES,TAYLOR",MSPS 21-21 (0),,"GOOD JUMPER by MEADES,TAYLOR",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
00:07,"TURNOVER  by MARTIN,AMMON",,,,,,,"TURNOVER  by MARTIN,AMMON",1
00:06,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
00:06,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
00:00,,,,,"MISS JUMPER by KINNEAR,KYLE",,,"MISS JUMPER by KINNEAR,KYLE",1
00:00,"BLOCK  by SHERIDAN,DAYTON",,,,,,,"BLOCK  by SHERIDAN,DAYTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
20:00,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
19:44,"TURNOVER  by PRIMM,COLTON",,,,,,,"TURNOVER  by PRIMM,COLTON",2
19:28,,,,,"TURNOVER  by KINNEAR,KYLE",,,"TURNOVER  by KINNEAR,KYLE",2
19:12,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",2
19:12,"MISS FT by PRIMM,COLTON",,,,,,,"MISS FT by PRIMM,COLTON",2
19:12,"MISS FT by PRIMM,COLTON",,,,,,,"MISS FT by PRIMM,COLTON",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
18:39,,,,,"MISS 3PTR by MERKEL,BRIAN",,,"MISS 3PTR by MERKEL,BRIAN",2
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",2
18:31,,21,,23 (+2),"GOOD LAYUP by KINNEAR,KYLE(in the paint)",MSPS 21-23 (+2),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",2
18:09,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:09,"MISS FT by PRIMM,COLTON",,,,,,,"MISS FT by PRIMM,COLTON",2
18:09,"GOOD FT by PRIMM,COLTON",22,,23 (+1),,HC 22-23 (+1),,"GOOD FT by PRIMM,COLTON",2
17:40,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",2
17:39,"STEAL  by MCCUBBIN,NATHAN",,,,,,,"STEAL  by MCCUBBIN,NATHAN",2
17:33,"TURNOVER  by HEATHSCOTT,NICK",,,,,,,"TURNOVER  by HEATHSCOTT,NICK",2
17:32,,,,,"STEAL  by BERGER,RYAN",,,"STEAL  by BERGER,RYAN",2
17:28,,22,,26 (+4),"GOOD 3PTR by MEADES,TAYLOR",MSPS 22-26 (+4),,"GOOD 3PTR by MEADES,TAYLOR",2
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",2
17:04,"MISS JUMPER by MARTIN,AMMON",,,,,,,"MISS JUMPER by MARTIN,AMMON",2
--,"REBOUND OFF by HEATHSCOTT,NICK",,,,,,,"REBOUND OFF by HEATHSCOTT,NICK",2
16:59,,,,,"BLOCK  by KINNEAR,KYLE",,,"BLOCK  by KINNEAR,KYLE",2
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",2
16:56,,,,,"TURNOVER  by KINNEAR,KYLE",,,"TURNOVER  by KINNEAR,KYLE",2
16:56,"STEAL  by MCCUBBIN,NATHAN",,,,,,,"STEAL  by MCCUBBIN,NATHAN",2
16:56,"GOOD LAYUP by MARTIN,AMMON(in the paint)",24,,26 (+2),,HC 24-26 (+2),,"GOOD LAYUP by MARTIN,AMMON(in the paint)",2
16:56,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",2
16:56,"MISS FT by MARTIN,AMMON",,,,,,,"MISS FT by MARTIN,AMMON",2
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",2
16:56,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",2
16:56,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
16:43,,,,,"MISS LAYUP by MEADES,TAYLOR",,,"MISS LAYUP by MEADES,TAYLOR",2
--,"REBOUND DEF by PRIMM,COLTON",,,,,,,"REBOUND DEF by PRIMM,COLTON",2
16:34,"TURNOVER  by MARTIN,AMMON",,,,,,,"TURNOVER  by MARTIN,AMMON",2
16:28,,24,,28 (+4),"GOOD JUMPER by MERKEL,BRIAN",MSPS 24-28 (+4),,"GOOD JUMPER by MERKEL,BRIAN",2
16:12,"TURNOVER  by HEATHSCOTT,NICK",,,,,,,"TURNOVER  by HEATHSCOTT,NICK",2
16:02,"FOUL  by PRIMM,COLTON",,,,,,,"FOUL  by PRIMM,COLTON",2
16:02,,24,,29 (+5),"GOOD FT by MERKEL,BRIAN",MSPS 24-29 (+5),,"GOOD FT by MERKEL,BRIAN",2
16:02,,,,,"MISS FT by MERKEL,BRIAN",,,"MISS FT by MERKEL,BRIAN",2
--,"REBOUND DEF by MARTIN,AMMON",,,,,,,"REBOUND DEF by MARTIN,AMMON",2
16:02,"SUB IN by RILEY,JAREN",,,,,,,"SUB IN by RILEY,JAREN",2
16:02,"SUB OUT by MCCUBBIN,NATHAN",,,,,,,"SUB OUT by MCCUBBIN,NATHAN",2
15:41,"TURNOVER  by PRIMM,COLTON",,,,,,,"TURNOVER  by PRIMM,COLTON",2
15:40,,,,,"STEAL  by KINNEAR,KYLE",,,"STEAL  by KINNEAR,KYLE",2
15:34,,,,,"MISS JUMPER by KINNEAR,KYLE",,,"MISS JUMPER by KINNEAR,KYLE",2
--,"REBOUND DEF by HEATHSCOTT,NICK",,,,,,,"REBOUND DEF by HEATHSCOTT,NICK",2
15:24,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",2
15:24,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
15:24,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
15:24,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
15:24,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
15:20,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",26,,29 (+3),,HC 26-29 (+3),,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",2
--,"ASSIST  by GOODMAN,CHRIS",,,,,,,"ASSIST  by GOODMAN,CHRIS",2
15:04,"FOUL  by PRIMM,COLTON",,,,,,,"FOUL  by PRIMM,COLTON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
15:04,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",2
15:04,,26,,30 (+4),"GOOD FT by BERGER,RYAN",MSPS 26-30 (+4),,"GOOD FT by BERGER,RYAN",2
14:33,,,,,"FOUL  by BROWN,JEFF",,,"FOUL  by BROWN,JEFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:33,"MISS FT by HEATHSCOTT,NICK",,,,,,,"MISS FT by HEATHSCOTT,NICK",2
14:33,"GOOD FT by HEATHSCOTT,NICK",27,,30 (+3),,HC 27-30 (+3),,"GOOD FT by HEATHSCOTT,NICK",2
14:03,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",2
--,"REBOUND DEF by MARTIN,AMMON",,,,,,,"REBOUND DEF by MARTIN,AMMON",2
