Time Remaining,MSPS,Away Team Score,Play Team Indicator,Home Team Score,TUM,Game Score,Team Indicator,Play,Period
11:49,,39 (+1),,38,"GOOD FT by LAMBERT,ZACH",TUM 39-38 (+1),,"GOOD FT by LAMBERT,ZACH",2
11:49,,39,,39,"GOOD FT by LAMBERT,ZACH",TUM 39-39 (0),,"GOOD FT by LAMBERT,ZACH",2
11:49,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
11:49,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
11:49,,,,,"SUB IN by SHOTLAND,JOE",,,"SUB IN by SHOTLAND,JOE",2
11:49,,,,,"SUB OUT by BEALL,RYAN",,,"SUB OUT by BEALL,RYAN",2
11:31,"GOOD 3PTR by WHITE,TIM",42 (+3),,39,,MSPS 42-39 (+3),,"GOOD 3PTR by WHITE,TIM",2
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",2
11:12,,42 (+1),,41,"GOOD JUMPER by LAMBERT,ZACH(in the paint)",TUM 42-41 (+1),,"GOOD JUMPER by LAMBERT,ZACH(in the paint)",2
10:37,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",2
10:37,,,,,"BLOCK  by LAVANWAY,JOHN",,,"BLOCK  by LAVANWAY,JOHN",2
--,,,,,"REBOUND DEF by LAVANWAY,JOHN",,,"REBOUND DEF by LAVANWAY,JOHN",2
10:14,,,,,"MISS 3PTR by LAMBERT,ZACH",,,"MISS 3PTR by LAMBERT,ZACH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
10:12,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
10:12,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
09:39,"MISS 3PTR by BROWN,JEFF",,,,,,,"MISS 3PTR by BROWN,JEFF",2
--,,,,,"REBOUND DEF by KITZINGER,ROBERT",,,"REBOUND DEF by KITZINGER,ROBERT",2
09:16,,,,,"MISS JUMPER by KITZINGER,ROBERT",,,"MISS JUMPER by KITZINGER,ROBERT",2
09:16,"BLOCK  by GILLIGAN,TULLY",,,,,,,"BLOCK  by GILLIGAN,TULLY",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
09:06,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
09:06,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
09:06,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
09:06,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
09:06,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
09:06,,,,,"SUB IN by BEALL,RYAN",,,"SUB IN by BEALL,RYAN",2
09:06,,,,,"SUB IN by HOPSON,HEATH",,,"SUB IN by HOPSON,HEATH",2
09:06,,,,,"SUB OUT by SHOTLAND,JOE",,,"SUB OUT by SHOTLAND,JOE",2
09:06,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",2
08:52,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",2
08:50,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",44 (+3),,41,,MSPS 44-41 (+3),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
08:17,,,,,"MISS JUMPER by BEALL,RYAN",,,"MISS JUMPER by BEALL,RYAN",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
07:46,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",2
07:42,"MISS TIPIN by GILLIGAN,TULLY",,,,,,,"MISS TIPIN by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by LAVANWAY,JOHN",,,"REBOUND DEF by LAVANWAY,JOHN",2
07:33,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",2
07:33,,,,,"MISS FT by HOPSON,HEATH",,,"MISS FT by HOPSON,HEATH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:33,,44 (+2),,42,"GOOD FT by HOPSON,HEATH",TUM 44-42 (+2),,"GOOD FT by HOPSON,HEATH",2
07:33,,,,,"SUB IN by WILT,JONATHAN",,,"SUB IN by WILT,JONATHAN",2
07:33,,,,,"SUB IN by YOUNG,WILLIAM",,,"SUB IN by YOUNG,WILLIAM",2
07:33,,,,,"SUB IN by KITZINGER,ROBERT",,,"SUB IN by KITZINGER,ROBERT",2
07:33,,,,,"SUB OUT by LAMBERT,ZACH",,,"SUB OUT by LAMBERT,ZACH",2
07:33,,,,,"SUB OUT by LAVANWAY,JOHN",,,"SUB OUT by LAVANWAY,JOHN",2
07:33,,,,,"SUB OUT by FELDMAN,MATT",,,"SUB OUT by FELDMAN,MATT",2
07:00,"MISS LAYUP by CORTESE,NICK",,,,,,,"MISS LAYUP by CORTESE,NICK",2
07:00,,,,,"BLOCK  by WILT,JONATHAN",,,"BLOCK  by WILT,JONATHAN",2
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",2
06:58,,,,,"FOUL  by HOPSON,HEATH",,,"FOUL  by HOPSON,HEATH",2
06:58,"GOOD FT by GILLIGAN,TULLY",45 (+3),,42,,MSPS 45-42 (+3),,"GOOD FT by GILLIGAN,TULLY",2
06:58,"GOOD FT by GILLIGAN,TULLY",46 (+4),,42,,MSPS 46-42 (+4),,"GOOD FT by GILLIGAN,TULLY",2
06:43,"FOUL  by MEADES,TAYLOR",,,,,,,"FOUL  by MEADES,TAYLOR",2
06:43,,46 (+3),,43,"GOOD FT by KITZINGER,ROBERT",TUM 46-43 (+3),,"GOOD FT by KITZINGER,ROBERT",2
06:43,,,,,"MISS FT by KITZINGER,ROBERT",,,"MISS FT by KITZINGER,ROBERT",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
06:42,,,,,"FOUL  by HOPSON,HEATH",,,"FOUL  by HOPSON,HEATH",2
06:28,"GOOD 3PTR by BROWN,JEFF",49 (+6),,43,,MSPS 49-43 (+6),,"GOOD 3PTR by BROWN,JEFF",2
--,"ASSIST  by MEADES,TAYLOR",,,,,,,"ASSIST  by MEADES,TAYLOR",2
06:08,,49 (+4),,45,"GOOD JUMPER by HOPSON,HEATH(in the paint)",TUM 49-45 (+4),,"GOOD JUMPER by HOPSON,HEATH(in the paint)",2
05:32,"MISS 3PTR by MERKEL,BRIAN",,,,,,,"MISS 3PTR by MERKEL,BRIAN",2
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",2
05:24,,49 (+2),,47,"GOOD LAYUP by BEALL,RYAN",TUM 49-47 (+2),,"GOOD LAYUP by BEALL,RYAN",2
05:24,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",2
05:24,,49 (+1),,48,"GOOD FT by BEALL,RYAN",TUM 49-48 (+1),,"GOOD FT by BEALL,RYAN",2
05:24,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
05:24,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
05:08,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",51 (+3),,48,,MSPS 51-48 (+3),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",2
05:01,,51,,51,"GOOD 3PTR by BEALL,RYAN(fastbreak)",TUM 51-51 (0),,"GOOD 3PTR by BEALL,RYAN(fastbreak)",2
--,,,,,"ASSIST  by YOUNG,WILLIAM",,,"ASSIST  by YOUNG,WILLIAM",2
04:23,"MISS LAYUP by WHITE,TIM",,,,,,,"MISS LAYUP by WHITE,TIM",2
04:23,,,,,"BLOCK  by HOPSON,HEATH",,,"BLOCK  by HOPSON,HEATH",2
--,,,,,"REBOUND DEF by HOPSON,HEATH",,,"REBOUND DEF by HOPSON,HEATH",2
04:04,,,,,"TURNOVER  by HOPSON,HEATH",,,"TURNOVER  by HOPSON,HEATH",2
04:04,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:04,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
04:04,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
03:33,"MISS JUMPER by MEADES,TAYLOR",,,,,,,"MISS JUMPER by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",2
03:07,,,,,"MISS 3PTR by KITZINGER,ROBERT",,,"MISS 3PTR by KITZINGER,ROBERT",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
02:45,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by WILT,JONATHAN",,,"REBOUND DEF by WILT,JONATHAN",2
02:35,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",2
02:35,,51,,52 (+1),"GOOD FT by YOUNG,WILLIAM",TUM 51-52 (-1),,"GOOD FT by YOUNG,WILLIAM",2
02:35,,,,,"MISS FT by YOUNG,WILLIAM",,,"MISS FT by YOUNG,WILLIAM",2
--,"REBOUND DEF by BROWN,JEFF",,,,,,,"REBOUND DEF by BROWN,JEFF",2
02:35,,,,,"SUB IN by LAMBERT,ZACH",,,"SUB IN by LAMBERT,ZACH",2
02:35,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",2
02:19,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by HOPSON,HEATH",,,"REBOUND DEF by HOPSON,HEATH",2
02:03,,,,,"MISS 3PTR by BEALL,RYAN",,,"MISS 3PTR by BEALL,RYAN",2
--,,,,,"REBOUND OFF by HOPSON,HEATH",,,"REBOUND OFF by HOPSON,HEATH",2
01:56,,,,,"MISS 3PTR by WILT,JONATHAN",,,"MISS 3PTR by WILT,JONATHAN",2
--,,,,,"REBOUND OFF by YOUNG,WILLIAM",,,"REBOUND OFF by YOUNG,WILLIAM",2
01:49,,51,,54 (+3),"GOOD LAYUP by BEALL,RYAN(in the paint)",TUM 51-54 (-3),,"GOOD LAYUP by BEALL,RYAN(in the paint)",2
01:47,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:47,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
01:47,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",2
01:14,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by LAMBERT,ZACH",,,"REBOUND DEF by LAMBERT,ZACH",2
01:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:02,,,,,"SUB IN by KITZINGER,ROBERT",,,"SUB IN by KITZINGER,ROBERT",2
01:02,,,,,"SUB OUT by WILT,JONATHAN",,,"SUB OUT by WILT,JONATHAN",2
00:46,,,,,"MISS 3PTR by KITZINGER,ROBERT",,,"MISS 3PTR by KITZINGER,ROBERT",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
00:38,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:38,,,,,"SUB IN by WILT,JONATHAN",,,"SUB IN by WILT,JONATHAN",2
00:38,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",2
00:21,"MISS 3PTR by GILLIGAN,TULLY",,,,,,,"MISS 3PTR by GILLIGAN,TULLY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:15,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",2
00:12,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
00:12,,51,,55 (+4),"GOOD FT by BEALL,RYAN",TUM 51-55 (-4),,"GOOD FT by BEALL,RYAN",2
00:12,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:12,,,,,"MISS FT by BEALL,RYAN",,,"MISS FT by BEALL,RYAN",2
--,,,,,"REBOUND OFF by WILT,JONATHAN",,,"REBOUND OFF by WILT,JONATHAN",2
00:10,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",2
00:10,,51,,56 (+5),"GOOD FT by WILT,JONATHAN",TUM 51-56 (-5),,"GOOD FT by WILT,JONATHAN",2
00:10,,51,,57 (+6),"GOOD FT by WILT,JONATHAN",TUM 51-57 (-6),,"GOOD FT by WILT,JONATHAN",2
00:10,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
00:10,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
00:04,"MISS DUNK by GILLIGAN,TULLY",,,,,,,"MISS DUNK by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by WILT,JONATHAN",,,"REBOUND DEF by WILT,JONATHAN",2
00:03,"FOUL TECH by GILLIGAN,TULLY",,,,,,,"FOUL TECH by GILLIGAN,TULLY",2
00:03,,51,,58 (+7),"GOOD FT by HOPSON,HEATH",TUM 51-58 (-7),,"GOOD FT by HOPSON,HEATH",2
00:03,,51,,59 (+8),"GOOD FT by HOPSON,HEATH",TUM 51-59 (-8),,"GOOD FT by HOPSON,HEATH",2
00:03,,,,,"SUB IN by KITZINGER,ROBERT",,,"SUB IN by KITZINGER,ROBERT",2
00:03,,,,,"SUB OUT by WILT,JONATHAN",,,"SUB OUT by WILT,JONATHAN",2
