Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
11:02,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
11:02,"BLOCK  by THOMAS,STERLING",,,,,,,"BLOCK  by THOMAS,STERLING",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
10:50,"MISS JUMPER by THOMAS,STERLING",,,,,,,"MISS JUMPER by THOMAS,STERLING",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
10:47,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",1
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",1
10:28,,,,,"TURNOVER  by HOLLAND,JASON",,,"TURNOVER  by HOLLAND,JASON",1
10:26,"STEAL  by MERKEL,BRIAN",,,,,,,"STEAL  by MERKEL,BRIAN",1
10:25,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",1
10:25,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",1
10:25,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",1
10:25,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",1
10:25,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",1
09:59,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",1
09:59,,,,,"MISS FT by LEE,CALEB",,,"MISS FT by LEE,CALEB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:59,,14,,25 (+11),"GOOD FT by LEE,CALEB",BSC 14-25 (-11),,"GOOD FT by LEE,CALEB",1
09:59,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",1
09:59,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
09:59,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
09:59,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
09:59,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
09:59,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
09:59,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
09:59,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
09:59,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
09:59,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
09:59,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
09:59,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
09:57,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
09:55,,,,,"STEAL  by RICHARDS,ZAC",,,"STEAL  by RICHARDS,ZAC",1
09:54,,14,,28 (+14),"GOOD 3PTR by JONUS,JASEN",BSC 14-28 (-14),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
09:42,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
09:37,"GOOD 3PTR by MEADES,TAYLOR",17,,28 (+11),,MC 17-28 (-11),,"GOOD 3PTR by MEADES,TAYLOR",1
--,"ASSIST  by BROWN,JEFF",,,,,,,"ASSIST  by BROWN,JEFF",1
09:30,,17,,30 (+13),"GOOD LAYUP by RICHARDS,ZAC(fastbreak)(in the paint)",BSC 17-30 (-13),,"GOOD LAYUP by RICHARDS,ZAC(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
09:30,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",1
09:30,,17,,31 (+14),"GOOD FT by RICHARDS,ZAC",BSC 17-31 (-14),,"GOOD FT by RICHARDS,ZAC",1
09:30,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",1
09:30,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",1
09:28,"MISS LAYUP by MEADES,TAYLOR",,,,,,,"MISS LAYUP by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
09:22,,17,,34 (+17),"GOOD 3PTR by JONUS,JASEN",BSC 17-34 (-17),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
09:12,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
09:05,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",19,,34 (+15),,MC 19-34 (-15),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",1
08:58,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
08:58,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",1
08:45,,19,,36 (+17),"GOOD JUMPER by RICHARDS,ZAC(in the paint)",BSC 19-36 (-17),,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
08:24,"GOOD JUMPER by MONTGOMERY,JAYSON",21,,36 (+15),,MC 21-36 (-15),,"GOOD JUMPER by MONTGOMERY,JAYSON",1
08:11,,21,,38 (+17),"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",BSC 21-38 (-17),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
07:58,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,"REBOUND DEF by KEGARISE,KEVIN",,,"REBOUND DEF by KEGARISE,KEVIN",1
07:48,,21,,40 (+19),"GOOD LAYUP by HENRY,COLIN(in the paint)",BSC 21-40 (-19),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
07:35,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
07:26,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",1
07:26,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",1
07:26,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
07:26,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",1
07:26,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
07:26,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
07:26,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",1
07:26,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",1
07:26,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
07:26,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
07:26,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
07:26,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
07:08,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by BROWN,JEFF",,,,,,,"REBOUND DEF by BROWN,JEFF",1
06:55,"GOOD LAYUP by THOMAS,STERLING(in the paint)",23,,40 (+17),,MC 23-40 (-17),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",1
06:54,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",1
06:54,"MISS FT by THOMAS,STERLING",,,,,,,"MISS FT by THOMAS,STERLING",1
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",1
06:54,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
06:54,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
06:54,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
06:54,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
06:54,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
06:54,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
06:42,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",1
06:42,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:42,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by WHITE,TIM",,,,,,,"REBOUND DEF by WHITE,TIM",1
06:42,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",1
06:42,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",1
06:37,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
06:19,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",1
06:19,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",1
06:15,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
05:57,"GOOD LAYUP by CORTESE,NICK(in the paint)",25,,40 (+15),,MC 25-40 (-15),,"GOOD LAYUP by CORTESE,NICK(in the paint)",1
05:35,,,,,"MISS JUMPER by HOLLAND,JASON",,,"MISS JUMPER by HOLLAND,JASON",1
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",1
05:33,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
05:33,"GOOD FT by MERKEL,BRIAN",26,,40 (+14),,MC 26-40 (-14),,"GOOD FT by MERKEL,BRIAN",1
05:33,"GOOD FT by MERKEL,BRIAN",27,,40 (+13),,MC 27-40 (-13),,"GOOD FT by MERKEL,BRIAN",1
05:33,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
05:33,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
05:11,,,,,"MISS JUMPER by LEE,CALEB",,,"MISS JUMPER by LEE,CALEB",1
--,,,,,"REBOUND OFF by LEE,CALEB",,,"REBOUND OFF by LEE,CALEB",1
05:06,,27,,40 (+13),"GOOD TIPIN by LEE,CALEB(in the paint)",BSC 27-40 (-13),,"GOOD TIPIN by LEE,CALEB(in the paint)",1
04:50,"GOOD JUMPER by MERKEL,BRIAN",29,,40 (+11),,MC 29-40 (-11),,"GOOD JUMPER by MERKEL,BRIAN",1
04:27,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by WHITE,TIM",,,,,,,"REBOUND DEF by WHITE,TIM",1
04:12,,,,,"FOUL  by MURPHY,NICK",,,"FOUL  by MURPHY,NICK",1
04:12,"GOOD FT by MERKEL,BRIAN",30,,40 (+10),,MC 30-40 (-10),,"GOOD FT by MERKEL,BRIAN",1
04:12,"GOOD FT by MERKEL,BRIAN",31,,40 (+9),,MC 31-40 (-9),,"GOOD FT by MERKEL,BRIAN",1
04:12,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",1
04:12,"SUB OUT by MONTGOMERY,JAYSON",,,,,,,"SUB OUT by MONTGOMERY,JAYSON",1
04:12,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
04:12,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
04:12,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
04:12,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
04:12,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
04:12,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
04:12,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
04:12,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
04:12,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
04:12,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
03:56,,31,,43 (+12),"GOOD 3PTR by KEGARISE,KEVIN",BSC 31-43 (-12),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",1
03:34,"MISS 3PTR by THOMAS,STERLING",,,,,,,"MISS 3PTR by THOMAS,STERLING",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
03:24,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
03:22,"STEAL  by THOMAS,STERLING",,,,,,,"STEAL  by THOMAS,STERLING",1
03:19,"GOOD 3PTR by WHITE,TIM",34,,43 (+9),,MC 34-43 (-9),,"GOOD 3PTR by WHITE,TIM",1
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",1
02:58,,34,,46 (+12),"GOOD 3PTR by JONUS,JASEN",BSC 34-46 (-12),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
02:49,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
02:31,"GOOD 3PTR by MEADES,TAYLOR",37,,46 (+9),,MC 37-46 (-9),,"GOOD 3PTR by MEADES,TAYLOR",1
--,"ASSIST  by BROWN,JEFF",,,,,,,"ASSIST  by BROWN,JEFF",1
02:09,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND DEF by BROWN,JEFF",,,,,,,"REBOUND DEF by BROWN,JEFF",1
02:00,"MISS 3PTR by BROWN,JEFF",,,,,,,"MISS 3PTR by BROWN,JEFF",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
01:58,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
01:58,,37,,47 (+10),"GOOD FT by JONUS,JASEN",BSC 37-47 (-10),,"GOOD FT by JONUS,JASEN",1
01:58,,37,,48 (+11),"GOOD FT by JONUS,JASEN",BSC 37-48 (-11),,"GOOD FT by JONUS,JASEN",1
01:58,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",1
01:58,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
01:58,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",1
01:58,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
01:58,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",1
01:58,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",1
01:58,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",1
01:58,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",1
01:58,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
01:58,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",1
