Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,UDMB,Game Score,Team Indicator,Play,Period
03:16,,,,,"MISS JUMPER by BRUFFEY,TANNER",,,"MISS JUMPER by BRUFFEY,TANNER",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
03:10,"MISS LAYUP by MEADES,TAYLOR",,,,,,,"MISS LAYUP by MEADES,TAYLOR",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
03:08,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:08,"FOUL  by KINNEAR,KYLE",,,,,,,"FOUL  by KINNEAR,KYLE",2
03:02,,,,,"MISS LAYUP by WYATT,AARON",,,"MISS LAYUP by WYATT,AARON",2
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",2
02:57,"MISS LAYUP by KINNEAR,KYLE",,,,,,,"MISS LAYUP by KINNEAR,KYLE",2
--,,,,,"REBOUND DEF by WYATT,AARON",,,"REBOUND DEF by WYATT,AARON",2
02:33,,,,,"MISS 3PTR by ASSINESI,DREW",,,"MISS 3PTR by ASSINESI,DREW",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
02:14,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:06,"MISS LAYUP by MEADES,TAYLOR",,,,,,,"MISS LAYUP by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by GILE,CURTIS",,,"REBOUND DEF by GILE,CURTIS",2
01:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:17,,,,,"TURNOVER  by MALONE,KYM",,,"TURNOVER  by MALONE,KYM",2
01:15,"STEAL  by BERGER,RYAN",,,,,,,"STEAL  by BERGER,RYAN",2
01:01,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:34,,,,,"MISS LAYUP by WYATT,AARON",,,"MISS LAYUP by WYATT,AARON",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
00:30,,,,,"FOUL  by MALONE,KYM",,,"FOUL  by MALONE,KYM",2
00:28,,,,,"FOUL  by BRUFFEY,TANNER",,,"FOUL  by BRUFFEY,TANNER",2
00:26,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",2
00:13,,50,,50,"GOOD JUMPER by BRUFFEY,TANNER",UDMB 50-50 (0),,"GOOD JUMPER by BRUFFEY,TANNER",2
00:02,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",2
00:02,,,,,"STEAL  by ASSINESI,DREW",,,"STEAL  by ASSINESI,DREW",2
04:45,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",3
--,,,,,"REBOUND DEF by MALONE,KYM",,,"REBOUND DEF by MALONE,KYM",3
04:30,,,,,"TURNOVER  by WYATT,AARON",,,"TURNOVER  by WYATT,AARON",3
04:11,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",52 (+2),,50,,MSPSM 52-50 (+2),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",3
03:45,,,,,"FOUL  by MALONE,KYM",,,"FOUL  by MALONE,KYM",3
03:45,,,,,"TURNOVER  by MALONE,KYM",,,"TURNOVER  by MALONE,KYM",3
03:41,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",3
03:36,,,,,"MISS JUMPER by STEPHENS,JOE",,,"MISS JUMPER by STEPHENS,JOE",3
03:36,"BLOCK  by BERGER,RYAN",,,,,,,"BLOCK  by BERGER,RYAN",3
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",3
03:18,,,,,"MISS JUMPER by BRUFFEY,TANNER",,,"MISS JUMPER by BRUFFEY,TANNER",3
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",3
02:48,"GOOD 3PTR by MERKEL,BRIAN",55 (+5),,50,,MSPSM 55-50 (+5),,"GOOD 3PTR by MERKEL,BRIAN",3
--,"ASSIST  by MEADES,TAYLOR",,,,,,,"ASSIST  by MEADES,TAYLOR",3
02:34,,,,,"MISS 3PTR by BRUFFEY,TANNER",,,"MISS 3PTR by BRUFFEY,TANNER",3
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",3
01:31,,55 (+3),,52,"GOOD JUMPER by STEPHENS,JOE",UDMB 55-52 (+3),,"GOOD JUMPER by STEPHENS,JOE",3
--,,,,,"ASSIST  by ASSINESI,DREW",,,"ASSIST  by ASSINESI,DREW",3
01:19,"MISS LAYUP by MEADES,TAYLOR",,,,,,,"MISS LAYUP by MEADES,TAYLOR",3
01:19,,,,,"BLOCK  by STEPHENS,JOE",,,"BLOCK  by STEPHENS,JOE",3
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,3
01:03,,55 (+1),,54,"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",UDMB 55-54 (+1),,"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",3
--,,,,,"ASSIST  by STEPHENS,JOE",,,"ASSIST  by STEPHENS,JOE",3
00:55,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:40,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",3
--,"REBOUND OFF by KINNEAR,KYLE",,,,,,,"REBOUND OFF by KINNEAR,KYLE",3
00:34,"MISS JUMPER by KINNEAR,KYLE",,,,,,,"MISS JUMPER by KINNEAR,KYLE",3
00:34,,,,,"BLOCK  by WYATT,AARON",,,"BLOCK  by WYATT,AARON",3
--,,,,,"REBOUND DEF by WYATT,AARON",,,"REBOUND DEF by WYATT,AARON",3
00:07,,,,,"MISS JUMPER by ASSINESI,DREW",,,"MISS JUMPER by ASSINESI,DREW",3
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,3
00:06,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
00:03,,55,,56 (+1),"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",UDMB 55-56 (-1),,"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",3
--,,,,,"ASSIST  by STEPHENS,JOE",,,"ASSIST  by STEPHENS,JOE",3
