Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
--,"ASSIST  by MCCLOUD,ALTON",,,,,,,"ASSIST  by MCCLOUD,ALTON",1
13:27,,7,,16 (+9),"GOOD 3PTR by OGLE,JOHN",HC 7-16 (+9),,"GOOD 3PTR by OGLE,JOHN",1
--,,,,,"ASSIST  by BRADY,RYAN",,,"ASSIST  by BRADY,RYAN",1
13:10,"MISS JUMPER by JOHNSON,CALEB",,,,,,,"MISS JUMPER by JOHNSON,CALEB",1
13:10,,,,,"BLOCK  by OGLE,JOHN",,,"BLOCK  by OGLE,JOHN",1
--,,,,,"REBOUND DEF by BRADY,RYAN",,,"REBOUND DEF by BRADY,RYAN",1
13:04,,,,,"TURNOVER  by BRADY,RYAN",,,"TURNOVER  by BRADY,RYAN",1
13:04,"STEAL  by MCCLOUD,ALTON",,,,,,,"STEAL  by MCCLOUD,ALTON",1
13:04,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",1
13:04,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
13:04,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
13:03,"SUB IN by SCHERRMAN,BLAKE",,,,,,,"SUB IN by SCHERRMAN,BLAKE",1
13:03,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",1
12:46,"MISS LAYUP by MCCLOUD,ALTON",,,,,,,"MISS LAYUP by MCCLOUD,ALTON",1
12:46,,,,,"BLOCK  by NOTLEY,CHANDLER",,,"BLOCK  by NOTLEY,CHANDLER",1
--,,,,,"REBOUND DEF by NOTLEY,CHANDLER",,,"REBOUND DEF by NOTLEY,CHANDLER",1
12:24,,7,,19 (+12),"GOOD 3PTR by PARKER,BRYCE",HC 7-19 (+12),,"GOOD 3PTR by PARKER,BRYCE",1
--,,,,,"ASSIST  by BATCHELOR,BRYCE",,,"ASSIST  by BATCHELOR,BRYCE",1
11:54,"MISS LAYUP by MCCLOUD,ALTON",,,,,,,"MISS LAYUP by MCCLOUD,ALTON",1
11:54,,,,,"BLOCK  by NOTLEY,CHANDLER",,,"BLOCK  by NOTLEY,CHANDLER",1
--,,,,,"REBOUND DEF by BRADY,RYAN",,,"REBOUND DEF by BRADY,RYAN",1
11:38,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by SCHERRMAN,BLAKE",,,,,,,"REBOUND DEF by SCHERRMAN,BLAKE",1
11:29,,,,,"FOUL  by BRADY,RYAN",,,"FOUL  by BRADY,RYAN",1
11:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:29,"GOOD FT by SCHERRMAN,BLAKE",8,,19 (+11),,BCM 8-19 (+11),,"GOOD FT by SCHERRMAN,BLAKE",1
11:29,"GOOD FT by SCHERRMAN,BLAKE",9,,19 (+10),,BCM 9-19 (+10),,"GOOD FT by SCHERRMAN,BLAKE",1
11:29,"SUB IN by JOHNSON,CALEB",,,,,,,"SUB IN by JOHNSON,CALEB",1
11:29,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",1
11:29,"SUB IN by KORN,LUKAS",,,,,,,"SUB IN by KORN,LUKAS",1
11:29,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",1
11:29,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",1
11:29,"SUB OUT by SCHERRMAN,BLAKE",,,,,,,"SUB OUT by SCHERRMAN,BLAKE",1
11:29,"SUB OUT by SPALDING,TANNER",,,,,,,"SUB OUT by SPALDING,TANNER",1
11:29,"SUB OUT by MCCLOUD,LEE",,,,,,,"SUB OUT by MCCLOUD,LEE",1
11:29,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
11:29,,,,,"SUB OUT by BRADY,RYAN",,,"SUB OUT by BRADY,RYAN",1
11:29,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
11:29,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
11:29,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
11:29,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
11:23,"FOUL  by ELLINGSWORTH,COLEMAN",,,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",1
11:23,,,,,"MISS FT by PARKER,BRYCE",,,"MISS FT by PARKER,BRYCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:23,,9,,20 (+11),"GOOD FT by PARKER,BRYCE",HC 9-20 (+11),,"GOOD FT by PARKER,BRYCE",1
11:23,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
11:05,"GOOD LAYUP by SPALDING,TANNER(in the paint)",11,,20 (+9),,BCM 11-20 (+9),,"GOOD LAYUP by SPALDING,TANNER(in the paint)",1
--,"ASSIST  by MARDER,NICK",,,,,,,"ASSIST  by MARDER,NICK",1
10:46,,11,,23 (+12),"GOOD 3PTR by PARKER,BRYCE",HC 11-23 (+12),,"GOOD 3PTR by PARKER,BRYCE",1
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",1
10:32,"GOOD LAYUP by MARDER,NICK(in the paint)",13,,23 (+10),,BCM 13-23 (+10),,"GOOD LAYUP by MARDER,NICK(in the paint)",1
10:16,,,,,"MISS JUMPER by PARKER,BRYCE",,,"MISS JUMPER by PARKER,BRYCE",1
--,"REBOUND DEF by SPALDING,TANNER",,,,,,,"REBOUND DEF by SPALDING,TANNER",1
10:05,"TURNOVER  by SPALDING,TANNER",,,,,,,"TURNOVER  by SPALDING,TANNER",1
10:05,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",1
10:05,"SUB IN by JACOBS,OWEN",,,,,,,"SUB IN by JACOBS,OWEN",1
10:05,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
10:05,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
09:45,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
09:40,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",1
09:40,"GOOD FT by JACOBS,OWEN",14,,23 (+9),,BCM 14-23 (+9),,"GOOD FT by JACOBS,OWEN",1
09:40,"GOOD FT by JACOBS,OWEN",15,,23 (+8),,BCM 15-23 (+8),,"GOOD FT by JACOBS,OWEN",1
09:27,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",1
09:27,,15,,24 (+9),"GOOD FT by STEELE,AARON",HC 15-24 (+9),,"GOOD FT by STEELE,AARON",1
09:27,,15,,25 (+10),"GOOD FT by STEELE,AARON",HC 15-25 (+10),,"GOOD FT by STEELE,AARON",1
09:20,"GOOD 3PTR by MCCLOUD,LEE",18,,25 (+7),,BCM 18-25 (+7),,"GOOD 3PTR by MCCLOUD,LEE",1
--,"ASSIST  by MARDER,NICK",,,,,,,"ASSIST  by MARDER,NICK",1
09:09,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
09:09,"SUB OUT by KORN,LUKAS",,,,,,,"SUB OUT by KORN,LUKAS",1
09:03,,,,,"MISS LAYUP by OGLE,JOHN",,,"MISS LAYUP by OGLE,JOHN",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
08:44,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",21,,25 (+4),,BCM 21-25 (+4),,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",1
--,"ASSIST  by MCCLOUD,LEE",,,,,,,"ASSIST  by MCCLOUD,LEE",1
08:35,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:24,"FOUL  by MCCLOUD,LEE",,,,,,,"FOUL  by MCCLOUD,LEE",1
08:24,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
08:07,"MISS LAYUP by JOHNSON,CALEB",,,,,,,"MISS LAYUP by JOHNSON,CALEB",1
--,"REBOUND OFF by JACOBS,OWEN",,,,,,,"REBOUND OFF by JACOBS,OWEN",1
08:04,"GOOD LAYUP by JACOBS,OWEN(in the paint)",23,,25 (+2),,BCM 23-25 (+2),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
07:46,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",1
07:46,,23,,26 (+3),"GOOD FT by SMITH,PRESTON",HC 23-26 (+3),,"GOOD FT by SMITH,PRESTON",1
07:46,,23,,27 (+4),"GOOD FT by SMITH,PRESTON",HC 23-27 (+4),,"GOOD FT by SMITH,PRESTON",1
07:46,"SUB IN by SCHERRMAN,BLAKE",,,,,,,"SUB IN by SCHERRMAN,BLAKE",1
07:46,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",1
07:46,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
07:24,"GOOD 3PTR by MCCLOUD,LEE",26,,27 (+1),,BCM 26-27 (+1),,"GOOD 3PTR by MCCLOUD,LEE",1
--,"ASSIST  by SCHERRMAN,BLAKE",,,,,,,"ASSIST  by SCHERRMAN,BLAKE",1
07:01,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
06:55,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
06:40,"GOOD 3PTR by MCCLOUD,LEE",29 (+2),,27,,BCM 29-27 (-2),,"GOOD 3PTR by MCCLOUD,LEE",1
05:59,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
05:49,"MISS 3PTR by JACOBS,OWEN",,,,,,,"MISS 3PTR by JACOBS,OWEN",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
05:31,"FOUL  by JOHNSON,CALEB",,,,,,,"FOUL  by JOHNSON,CALEB",1
05:31,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
05:31,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:31,,29 (+1),,28,"GOOD FT by LITTLEFIELD,GEAREN",HC 29-28 (-1),,"GOOD FT by LITTLEFIELD,GEAREN",1
05:31,"SUB OUT by JACOBS,OWEN",,,,,,,"SUB OUT by JACOBS,OWEN",1
05:31,"SUB OUT by SCHERRMAN,BLAKE",,,,,,,"SUB OUT by SCHERRMAN,BLAKE",1
05:31,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",1
05:31,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
05:31,,,,,"SUB IN by BRADY,RYAN",,,"SUB IN by BRADY,RYAN",1
05:31,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
05:31,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
05:31,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
05:31,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
05:31,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
05:16,"MISS 3PTR by MCCLOUD,LEE",,,,,,,"MISS 3PTR by MCCLOUD,LEE",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
04:51,,,,,"MISS LAYUP by OGLE,JOHN",,,"MISS LAYUP by OGLE,JOHN",1
04:51,"BLOCK  by ELLINGSWORTH,COLEMAN",,,,,,,"BLOCK  by ELLINGSWORTH,COLEMAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:43,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
04:35,"MISS 3PTR by ELLINGSWORTH,COLEMAN",,,,,,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",1
--,"REBOUND OFF by JACOBS,OWEN",,,,,,,"REBOUND OFF by JACOBS,OWEN",1
04:32,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
04:32,"GOOD FT by JACOBS,OWEN",30 (+2),,28,,BCM 30-28 (-2),,"GOOD FT by JACOBS,OWEN",1
04:32,"GOOD FT by JACOBS,OWEN",31 (+3),,28,,BCM 31-28 (-3),,"GOOD FT by JACOBS,OWEN",1
04:32,"SUB IN by MCCLOUD,ALTON",,,,,,,"SUB IN by MCCLOUD,ALTON",1
04:32,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
04:32,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
04:23,,,,,"MISS 3PTR by BRADY,RYAN",,,"MISS 3PTR by BRADY,RYAN",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
04:14,"TURNOVER  by JACOBS,OWEN",,,,,,,"TURNOVER  by JACOBS,OWEN",1
03:54,,31,,31,"GOOD 3PTR by BRADY,RYAN",HC 31-31 (0),,"GOOD 3PTR by BRADY,RYAN",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
03:41,"MISS 3PTR by JOHNSON,CALEB",,,,,,,"MISS 3PTR by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
03:22,,,,,"MISS LAYUP by OGLE,JOHN",,,"MISS LAYUP by OGLE,JOHN",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
02:55,,,,,"FOUL  by BRADY,RYAN",,,"FOUL  by BRADY,RYAN",1
02:55,"GOOD FT by SCHERRMAN,BLAKE",32 (+1),,31,,BCM 32-31 (-1),,"GOOD FT by SCHERRMAN,BLAKE",1
02:55,"GOOD FT by SCHERRMAN,BLAKE",33 (+2),,31,,BCM 33-31 (-2),,"GOOD FT by SCHERRMAN,BLAKE",1
02:55,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
02:55,,,,,"SUB OUT by BRADY,RYAN",,,"SUB OUT by BRADY,RYAN",1
02:43,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",1
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",1
02:40,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
02:40,"GOOD FT by MCCLOUD,ALTON",34 (+3),,31,,BCM 34-31 (-3),,"GOOD FT by MCCLOUD,ALTON",1
02:40,"MISS FT by MCCLOUD,ALTON",,,,,,,"MISS FT by MCCLOUD,ALTON",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
02:19,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",1
02:11,"TURNOVER  by JOHNSON,CALEB",,,,,,,"TURNOVER  by JOHNSON,CALEB",1
01:47,,34 (+1),,33,"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 34-33 (-1),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
01:33,"GOOD JUMPER by JOHNSON,CALEB(in the paint)",36 (+3),,33,,BCM 36-33 (-3),,"GOOD JUMPER by JOHNSON,CALEB(in the paint)",1
--,"ASSIST  by MCCLOUD,LEE",,,,,,,"ASSIST  by MCCLOUD,LEE",1
01:33,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",1
01:33,"MISS FT by JOHNSON,CALEB",,,,,,,"MISS FT by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
01:19,,36 (+1),,35,"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 36-35 (-1),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
01:19,"FOUL  by SCHERRMAN,BLAKE",,,,,,,"FOUL  by SCHERRMAN,BLAKE",1
01:19,,36,,36,"GOOD FT by OGLE,JOHN",HC 36-36 (0),,"GOOD FT by OGLE,JOHN",1
01:10,"MISS JUMPER by JOHNSON,CALEB",,,,,,,"MISS JUMPER by JOHNSON,CALEB",1
--,"REBOUND OFF by JOHNSON,CALEB",,,,,,,"REBOUND OFF by JOHNSON,CALEB",1
01:07,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",38 (+2),,36,,BCM 38-36 (-2),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
00:35,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:16,"MISS 3PTR by MCCLOUD,LEE",,,,,,,"MISS 3PTR by MCCLOUD,LEE",1
--,,,,,"REBOUND DEF by PARKER,BRYCE",,,"REBOUND DEF by PARKER,BRYCE",1
00:08,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",1
