Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
15:55,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",1
15:55,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
15:55,"SUB OUT by WARDLAW,CHASE",,,,,,,"SUB OUT by WARDLAW,CHASE",1
15:55,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
15:55,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
15:29,,,,,"MISS JUMPER by STEELE,AARON",,,"MISS JUMPER by STEELE,AARON",1
--,"REBOUND DEF by LAWRENCE,CHRIS",,,,,,,"REBOUND DEF by LAWRENCE,CHRIS",1
15:17,"MISS 3PTR by ANDINO,GEORGE",,,,,,,"MISS 3PTR by ANDINO,GEORGE",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
15:06,,5,,8 (+3),"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 5-8 (+3),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",1
15:06,"FOUL  by PERRY,WILL",,,,,,,"FOUL  by PERRY,WILL",1
15:06,,5,,9 (+4),"GOOD FT by OGLE,JOHN",HC 5-9 (+4),,"GOOD FT by OGLE,JOHN",1
15:06,"SUB IN by WARDLAW,CHASE",,,,,,,"SUB IN by WARDLAW,CHASE",1
15:06,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",1
15:06,,,,,"SUB IN by BRADY,RYAN",,,"SUB IN by BRADY,RYAN",1
15:06,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
15:06,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
15:06,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
14:50,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
14:50,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
14:50,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
14:39,"GOOD 3PTR by SMITH,CONNOR",8,,9 (+1),,OUM 8-9 (+1),,"GOOD 3PTR by SMITH,CONNOR",1
--,"ASSIST  by ANDINO,GEORGE",,,,,,,"ASSIST  by ANDINO,GEORGE",1
14:14,,8,,11 (+3),"GOOD JUMPER by BRADY,RYAN",HC 8-11 (+3),,"GOOD JUMPER by BRADY,RYAN",1
13:56,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
13:30,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,"REBOUND DEF by ANDINO,GEORGE",,,,,,,"REBOUND DEF by ANDINO,GEORGE",1
13:22,"GOOD 3PTR by ANDINO,GEORGE(fastbreak)",11,,11,,OUM 11-11 (0),,"GOOD 3PTR by ANDINO,GEORGE(fastbreak)",1
13:05,,11,,13 (+2),"GOOD JUMPER by BATCHELOR,BRYCE",HC 11-13 (+2),,"GOOD JUMPER by BATCHELOR,BRYCE",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
12:47,"MISS 3PTR by ANDINO,GEORGE",,,,,,,"MISS 3PTR by ANDINO,GEORGE",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
12:44,"FOUL  by SIGRIST,CONNOR",,,,,,,"FOUL  by SIGRIST,CONNOR",1
12:44,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
12:44,"SUB IN by HUFFMAN,DEVIN",,,,,,,"SUB IN by HUFFMAN,DEVIN",1
12:44,"SUB IN by BRITVAR,STEFAN",,,,,,,"SUB IN by BRITVAR,STEFAN",1
12:44,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
12:44,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",1
12:44,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
12:44,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",1
12:44,"SUB OUT by WARDLAW,CHASE",,,,,,,"SUB OUT by WARDLAW,CHASE",1
12:44,,,,,"SUB OUT by BRADY,RYAN",,,"SUB OUT by BRADY,RYAN",1
12:44,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
12:44,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
12:44,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
12:44,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
12:28,"FOUL  by SMITH,CONNOR",,,,,,,"FOUL  by SMITH,CONNOR",1
12:28,,,,,"MISS FT by GARRETT,TRAVIS",,,"MISS FT by GARRETT,TRAVIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:28,,11,,14 (+3),"GOOD FT by GARRETT,TRAVIS",HC 11-14 (+3),,"GOOD FT by GARRETT,TRAVIS",1
12:28,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
12:28,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
12:08,"GOOD JUMPER by WARDLAW,CHASE(in the paint)",13,,14 (+1),,OUM 13-14 (+1),,"GOOD JUMPER by WARDLAW,CHASE(in the paint)",1
--,"ASSIST  by ANDINO,GEORGE",,,,,,,"ASSIST  by ANDINO,GEORGE",1
12:08,,,,,"FOUL  by BRADY,RYAN",,,"FOUL  by BRADY,RYAN",1
12:08,"GOOD FT by WARDLAW,CHASE",14,,14,,OUM 14-14 (0),,"GOOD FT by WARDLAW,CHASE",1
11:45,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",1
11:19,,,,,"MISS LAYUP by BRADY,RYAN",,,"MISS LAYUP by BRADY,RYAN",1
--,"REBOUND DEF by LAWRENCE,CHRIS",,,,,,,"REBOUND DEF by LAWRENCE,CHRIS",1
11:10,"TURNOVER  by HUFFMAN,DEVIN",,,,,,,"TURNOVER  by HUFFMAN,DEVIN",1
11:10,"FOUL  by HUFFMAN,DEVIN",,,,,,,"FOUL  by HUFFMAN,DEVIN",1
11:10,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
10:45,,14,,17 (+3),"GOOD 3PTR by PARKER,BRYCE",HC 14-17 (+3),,"GOOD 3PTR by PARKER,BRYCE",1
--,,,,,"ASSIST  by BATCHELOR,BRYCE",,,"ASSIST  by BATCHELOR,BRYCE",1
10:19,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",1
10:19,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
10:05,"GOOD 3PTR by HUFFMAN,DEVIN",17,,17,,OUM 17-17 (0),,"GOOD 3PTR by HUFFMAN,DEVIN",1
--,"ASSIST  by LAWRENCE,CHRIS",,,,,,,"ASSIST  by LAWRENCE,CHRIS",1
09:50,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",1
09:49,"STEAL  by WARDLAW,CHASE",,,,,,,"STEAL  by WARDLAW,CHASE",1
09:28,"GOOD LAYUP by BRITVAR,STEFAN(in the paint)",19 (+2),,17,,OUM 19-17 (-2),,"GOOD LAYUP by BRITVAR,STEFAN(in the paint)",1
--,"ASSIST  by WARDLAW,CHASE",,,,,,,"ASSIST  by WARDLAW,CHASE",1
09:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:26,"SUB IN by ROMAGUERA,COLE",,,,,,,"SUB IN by ROMAGUERA,COLE",1
09:26,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
09:26,,,,,"SUB IN by BRADY,RYAN",,,"SUB IN by BRADY,RYAN",1
09:18,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND OFF by NOTLEY,CHANDLER",,,"REBOUND OFF by NOTLEY,CHANDLER",1
09:17,"FOUL  by BRITVAR,STEFAN",,,,,,,"FOUL  by BRITVAR,STEFAN",1
09:17,,,,,"MISS FT by NOTLEY,CHANDLER",,,"MISS FT by NOTLEY,CHANDLER",1
--,"REBOUND DEF by MCGRATH,JOSH",,,,,,,"REBOUND DEF by MCGRATH,JOSH",1
09:17,"SUB IN by MCGRATH,JOSH",,,,,,,"SUB IN by MCGRATH,JOSH",1
09:17,"SUB OUT by BRITVAR,STEFAN",,,,,,,"SUB OUT by BRITVAR,STEFAN",1
08:54,"GOOD LAYUP by MCGRATH,JOSH(in the paint)",21 (+4),,17,,OUM 21-17 (-4),,"GOOD LAYUP by MCGRATH,JOSH(in the paint)",1
--,"ASSIST  by WARDLAW,CHASE",,,,,,,"ASSIST  by WARDLAW,CHASE",1
08:30,"FOUL  by HUFFMAN,DEVIN",,,,,,,"FOUL  by HUFFMAN,DEVIN",1
08:30,,21 (+3),,18,"GOOD FT by OGLE,JOHN",HC 21-18 (-3),,"GOOD FT by OGLE,JOHN",1
08:30,,21 (+2),,19,"GOOD FT by OGLE,JOHN",HC 21-19 (-2),,"GOOD FT by OGLE,JOHN",1
08:30,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",1
08:30,"SUB OUT by HUFFMAN,DEVIN",,,,,,,"SUB OUT by HUFFMAN,DEVIN",1
08:30,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
08:30,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
08:14,"MISS JUMPER by MCGRATH,JOSH",,,,,,,"MISS JUMPER by MCGRATH,JOSH",1
--,"REBOUND OFF by WARDLAW,CHASE",,,,,,,"REBOUND OFF by WARDLAW,CHASE",1
08:03,"GOOD 3PTR by ANDINO,GEORGE",24 (+5),,19,,OUM 24-19 (-5),,"GOOD 3PTR by ANDINO,GEORGE",1
--,"ASSIST  by ROMAGUERA,COLE",,,,,,,"ASSIST  by ROMAGUERA,COLE",1
07:41,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by MCGRATH,JOSH",,,,,,,"REBOUND DEF by MCGRATH,JOSH",1
07:16,"GOOD 3PTR by ANDINO,GEORGE",27 (+8),,19,,OUM 27-19 (-8),,"GOOD 3PTR by ANDINO,GEORGE",1
--,"ASSIST  by ROMAGUERA,COLE",,,,,,,"ASSIST  by ROMAGUERA,COLE",1
06:45,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
06:44,,27 (+5),,22,"GOOD 3PTR by STEELE,AARON",HC 27-22 (-5),,"GOOD 3PTR by STEELE,AARON",1
--,,,,,"ASSIST  by BRADY,RYAN",,,"ASSIST  by BRADY,RYAN",1
06:14,"MISS LAYUP by WARDLAW,CHASE",,,,,,,"MISS LAYUP by WARDLAW,CHASE",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
05:55,"FOUL  by MCGRATH,JOSH",,,,,,,"FOUL  by MCGRATH,JOSH",1
05:55,,27 (+4),,23,"GOOD FT by LITTLEFIELD,GEAREN",HC 27-23 (-4),,"GOOD FT by LITTLEFIELD,GEAREN",1
05:55,,27 (+3),,24,"GOOD FT by LITTLEFIELD,GEAREN",HC 27-24 (-3),,"GOOD FT by LITTLEFIELD,GEAREN",1
05:30,"GOOD 3PTR by ANDINO,GEORGE",30 (+6),,24,,OUM 30-24 (-6),,"GOOD 3PTR by ANDINO,GEORGE",1
--,"ASSIST  by LAWRENCE,CHRIS",,,,,,,"ASSIST  by LAWRENCE,CHRIS",1
05:04,,,,,"MISS 3PTR by BRADY,RYAN",,,"MISS 3PTR by BRADY,RYAN",1
--,"REBOUND DEF by LAWRENCE,CHRIS",,,,,,,"REBOUND DEF by LAWRENCE,CHRIS",1
04:31,"GOOD 3PTR by WARDLAW,CHASE",33 (+9),,24,,OUM 33-24 (-9),,"GOOD 3PTR by WARDLAW,CHASE",1
--,"ASSIST  by MCGRATH,JOSH",,,,,,,"ASSIST  by MCGRATH,JOSH",1
04:19,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
04:19,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
04:19,"SUB OUT by MCGRATH,JOSH",,,,,,,"SUB OUT by MCGRATH,JOSH",1
04:10,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",1
04:08,"STEAL  by WARDLAW,CHASE",,,,,,,"STEAL  by WARDLAW,CHASE",1
04:06,"TURNOVER  by MCGRATH,JOSH",,,,,,,"TURNOVER  by MCGRATH,JOSH",1
04:05,,,,,"STEAL  by STEELE,AARON",,,"STEAL  by STEELE,AARON",1
04:00,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
03:30,"GOOD LAYUP by ANDINO,GEORGE(in the paint)",35 (+11),,24,,OUM 35-24 (-11),,"GOOD LAYUP by ANDINO,GEORGE(in the paint)",1
03:09,,,,,"MISS LAYUP by BRADY,RYAN",,,"MISS LAYUP by BRADY,RYAN",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
02:51,"GOOD 3PTR by ANDINO,GEORGE",38 (+14),,24,,OUM 38-24 (-14),,"GOOD 3PTR by ANDINO,GEORGE",1
--,"ASSIST  by WARDLAW,CHASE",,,,,,,"ASSIST  by WARDLAW,CHASE",1
02:47,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:38,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",1
02:38,"STEAL  by INUNGU,TOM",,,,,,,"STEAL  by INUNGU,TOM",1
02:38,"TURNOVER  by INUNGU,TOM",,,,,,,"TURNOVER  by INUNGU,TOM",1
02:38,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
02:38,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
02:29,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
02:26,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
02:26,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
02:26,,,,,"SUB OUT by BRADY,RYAN",,,"SUB OUT by BRADY,RYAN",1
02:26,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
02:24,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
02:24,"GOOD FT by INUNGU,TOM",39 (+15),,24,,OUM 39-24 (-15),,"GOOD FT by INUNGU,TOM",1
02:24,"GOOD FT by INUNGU,TOM",40 (+16),,24,,OUM 40-24 (-16),,"GOOD FT by INUNGU,TOM",1
02:02,,40 (+13),,27,"GOOD 3PTR by PARKER,BRYCE",HC 40-27 (-13),,"GOOD 3PTR by PARKER,BRYCE",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
01:40,"TURNOVER  by ANDINO,GEORGE",,,,,,,"TURNOVER  by ANDINO,GEORGE",1
01:39,,,,,"STEAL  by GARRETT,TRAVIS",,,"STEAL  by GARRETT,TRAVIS",1
01:35,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",1
01:35,"BLOCK  by INUNGU,TOM",,,,,,,"BLOCK  by INUNGU,TOM",1
--,"REBOUND DEF by ROMAGUERA,COLE",,,,,,,"REBOUND DEF by ROMAGUERA,COLE",1
01:29,"MISS LAYUP by WARDLAW,CHASE",,,,,,,"MISS LAYUP by WARDLAW,CHASE",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
01:18,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
00:54,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",1
00:54,"MISS FT by WARDLAW,CHASE",,,,,,,"MISS FT by WARDLAW,CHASE",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
00:54,"SUB IN by HUFFMAN,DEVIN",,,,,,,"SUB IN by HUFFMAN,DEVIN",1
00:54,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",1
00:54,,,,,"SUB IN by BRADY,RYAN",,,"SUB IN by BRADY,RYAN",1
00:54,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
00:54,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
00:54,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
00:34,"FOUL  by LAWRENCE,CHRIS",,,,,,,"FOUL  by LAWRENCE,CHRIS",1
00:34,,40 (+12),,28,"GOOD FT by GARRETT,TRAVIS",HC 40-28 (-12),,"GOOD FT by GARRETT,TRAVIS",1
00:34,,40 (+11),,29,"GOOD FT by GARRETT,TRAVIS",HC 40-29 (-11),,"GOOD FT by GARRETT,TRAVIS",1
00:34,,40 (+10),,30,"GOOD FT by GARRETT,TRAVIS",HC 40-30 (-10),,"GOOD FT by GARRETT,TRAVIS",1
00:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:34,"SUB IN by BOURDAGE,TAYLOR",,,,,,,"SUB IN by BOURDAGE,TAYLOR",1
00:34,"SUB OUT by ROMAGUERA,COLE",,,,,,,"SUB OUT by ROMAGUERA,COLE",1
00:34,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
00:34,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
00:08,"GOOD 3PTR by WARDLAW,CHASE",43 (+13),,30,,OUM 43-30 (-13),,"GOOD 3PTR by WARDLAW,CHASE",1
--,"ASSIST  by HUFFMAN,DEVIN",,,,,,,"ASSIST  by HUFFMAN,DEVIN",1
19:30,,,,,"MISS JUMPER by SMITH,PRESTON",,,"MISS JUMPER by SMITH,PRESTON",2
19:30,"BLOCK  by INUNGU,TOM",,,,,,,"BLOCK  by INUNGU,TOM",2
--,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",,,"REBOUND OFF by NIKOLOVSKI,DREW",2
19:29,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
19:11,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
18:50,"GOOD JUMPER by INUNGU,TOM(in the paint)",45 (+15),,30,,OUM 45-30 (-15),,"GOOD JUMPER by INUNGU,TOM(in the paint)",2
--,"ASSIST  by SMITH,CONNOR",,,,,,,"ASSIST  by SMITH,CONNOR",2
18:27,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",2
18:27,,45 (+14),,31,"GOOD FT by LITTLEFIELD,GEAREN",HC 45-31 (-14),,"GOOD FT by LITTLEFIELD,GEAREN",2
18:27,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by WARDLAW,CHASE",,,,,,,"REBOUND DEF by WARDLAW,CHASE",2
18:11,"GOOD LAYUP by PERRY,WILL(in the paint)",47 (+16),,31,,OUM 47-31 (-16),,"GOOD LAYUP by PERRY,WILL(in the paint)",2
--,"ASSIST  by SMITH,CONNOR",,,,,,,"ASSIST  by SMITH,CONNOR",2
18:10,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
18:10,"GOOD FT by PERRY,WILL",48 (+17),,31,,OUM 48-31 (-17),,"GOOD FT by PERRY,WILL",2
17:43,,48 (+15),,33,"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 48-33 (-15),,"GOOD LAYUP by OGLE,JOHN(in the paint)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
17:12,"MISS JUMPER by INUNGU,TOM",,,,,,,"MISS JUMPER by INUNGU,TOM",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
16:52,,48 (+12),,36,"GOOD 3PTR by NIKOLOVSKI,DREW",HC 48-36 (-12),,"GOOD 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"ASSIST  by LITTLEFIELD,GEAREN",,,"ASSIST  by LITTLEFIELD,GEAREN",2
16:32,"MISS JUMPER by SMITH,CONNOR",,,,,,,"MISS JUMPER by SMITH,CONNOR",2
16:32,,,,,"BLOCK  by SMITH,PRESTON",,,"BLOCK  by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
16:06,,48 (+10),,38,"GOOD LAYUP by STEELE,AARON(in the paint)",HC 48-38 (-10),,"GOOD LAYUP by STEELE,AARON(in the paint)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
15:45,"GOOD LAYUP by INUNGU,TOM(in the paint)",50 (+12),,38,,OUM 50-38 (-12),,"GOOD LAYUP by INUNGU,TOM(in the paint)",2
--,"ASSIST  by PERRY,WILL",,,,,,,"ASSIST  by PERRY,WILL",2
15:27,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",2
15:27,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",2
15:27,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",2
15:27,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",2
15:27,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",2
15:14,"TURNOVER  by SMITH,CONNOR",,,,,,,"TURNOVER  by SMITH,CONNOR",2
15:13,,,,,"STEAL  by OGLE,JOHN",,,"STEAL  by OGLE,JOHN",2
15:10,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",2
15:09,"STEAL  by WARDLAW,CHASE",,,,,,,"STEAL  by WARDLAW,CHASE",2
14:46,"MISS LAYUP by SIGRIST,CONNOR",,,,,,,"MISS LAYUP by SIGRIST,CONNOR",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
14:27,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",2
