Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
13:19,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
13:08,"FOUL  by ARNETT,MICHAEL",,,,,,,"FOUL  by ARNETT,MICHAEL",1
13:05,,13 (+2),,11,"GOOD JUMPER by STEELE,AARON(in the paint)",HC 13-11 (-2),,"GOOD JUMPER by STEELE,AARON(in the paint)",1
12:52,"GOOD 3PTR by EBERT,CARSON",16 (+5),,11,,CENTRE 16-11 (-5),,"GOOD 3PTR by EBERT,CARSON",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
12:44,,16 (+3),,13,"GOOD JUMPER by STEELE,AARON(fastbreak)",HC 16-13 (-3),,"GOOD JUMPER by STEELE,AARON(fastbreak)",1
--,,,,,"ASSIST  by BRADY,RYAN",,,"ASSIST  by BRADY,RYAN",1
12:16,,,,,"FOUL  by MURPHEY,LUKE",,,"FOUL  by MURPHEY,LUKE",1
12:16,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
12:16,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
12:16,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
12:16,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
12:16,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
12:16,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
12:16,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
12:16,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
12:16,,,,,"SUB OUT by MURPHEY,LUKE",,,"SUB OUT by MURPHEY,LUKE",1
12:16,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
12:16,,,,,"SUB OUT by BRADY,RYAN",,,"SUB OUT by BRADY,RYAN",1
12:16,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
12:16,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
12:08,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",1
12:08,"MISS FT by SINE,TUCKER",,,,,,,"MISS FT by SINE,TUCKER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:08,"GOOD FT by SINE,TUCKER",17 (+4),,13,,CENTRE 17-13 (-4),,"GOOD FT by SINE,TUCKER",1
12:08,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
11:49,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
11:49,,17 (+3),,14,"GOOD FT by BATCHELOR,BRYCE",HC 17-14 (-3),,"GOOD FT by BATCHELOR,BRYCE",1
11:49,,17 (+2),,15,"GOOD FT by BATCHELOR,BRYCE",HC 17-15 (-2),,"GOOD FT by BATCHELOR,BRYCE",1
11:49,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
11:32,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
11:32,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
11:32,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
11:27,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
11:27,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
11:16,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
11:03,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
10:55,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",19 (+4),,15,,CENTRE 19-15 (-4),,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
10:41,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
10:27,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",21 (+6),,15,,CENTRE 21-15 (-6),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
10:19,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:19,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
10:19,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
10:19,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",1
09:55,,,,,"MISS 3PTR by BRADY,RYAN",,,"MISS 3PTR by BRADY,RYAN",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
09:37,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
09:22,,,,,"MISS JUMPER by OGLE,JOHN",,,"MISS JUMPER by OGLE,JOHN",1
--,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",,,"REBOUND OFF by NIKOLOVSKI,DREW",1
09:17,,,,,"MISS LAYUP by NIKOLOVSKI,DREW",,,"MISS LAYUP by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
09:04,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
08:52,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
08:41,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
08:26,,21 (+4),,17,"GOOD JUMPER by OGLE,JOHN(in the paint)",HC 21-17 (-4),,"GOOD JUMPER by OGLE,JOHN(in the paint)",1
08:11,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",1
08:11,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
08:11,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
08:11,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
08:11,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
08:11,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
08:11,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
08:10,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
07:55,,,,,"MISS JUMPER by LITTLEFIELD,GEAREN",,,"MISS JUMPER by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
07:29,"GOOD LAYUP by WESLEY,TYLER(in the paint)",23 (+6),,17,,CENTRE 23-17 (-6),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
07:17,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
07:06,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",1
07:06,"GOOD FT by GRIFFIN,JAROD",24 (+7),,17,,CENTRE 24-17 (-7),,"GOOD FT by GRIFFIN,JAROD",1
07:06,"GOOD FT by GRIFFIN,JAROD",25 (+8),,17,,CENTRE 25-17 (-8),,"GOOD FT by GRIFFIN,JAROD",1
07:06,"GOOD FT by GRIFFIN,JAROD",26 (+9),,17,,CENTRE 26-17 (-9),,"GOOD FT by GRIFFIN,JAROD",1
07:06,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
07:06,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",1
07:06,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
07:06,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
07:06,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
07:06,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
06:48,,26 (+7),,19,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",HC 26-19 (-7),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",1
--,,,,,"ASSIST  by LITTLEFIELD,GEAREN",,,"ASSIST  by LITTLEFIELD,GEAREN",1
06:27,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
06:21,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",1
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",1
06:19,,26 (+5),,21,"GOOD LAYUP by BATCHELOR,BRYCE(fastbreak)(in the paint)",HC 26-21 (-5),,"GOOD LAYUP by BATCHELOR,BRYCE(fastbreak)(in the paint)",1
06:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:18,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
06:18,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
06:04,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
05:45,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
05:45,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
05:33,,26 (+3),,23,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 26-23 (-3),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
05:14,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
05:14,"GOOD FT by SCINTA,BLAKE",27 (+4),,23,,CENTRE 27-23 (-4),,"GOOD FT by SCINTA,BLAKE",1
05:14,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
05:14,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
05:14,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
05:00,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
05:00,,27 (+3),,24,"GOOD FT by LITTLEFIELD,GEAREN",HC 27-24 (-3),,"GOOD FT by LITTLEFIELD,GEAREN",1
05:00,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
05:00,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
05:00,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
05:00,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
05:00,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
04:49,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
04:49,,,,,"BLOCK  by PARKER,BRYCE",,,"BLOCK  by PARKER,BRYCE",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
04:36,,,,,"MISS 3PTR by BATCHELOR,BRYCE",,,"MISS 3PTR by BATCHELOR,BRYCE",1
--,,,,,"REBOUND OFF by SMITH,PRESTON",,,"REBOUND OFF by SMITH,PRESTON",1
04:29,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",1
04:29,"STEAL  by GRUBER,SAM",,,,,,,"STEAL  by GRUBER,SAM",1
04:08,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
03:49,,,,,"MISS JUMPER by BATCHELOR,BRYCE",,,"MISS JUMPER by BATCHELOR,BRYCE",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
03:33,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:28,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
03:28,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
03:28,,,,,"SUB IN by MURPHEY,LUKE",,,"SUB IN by MURPHEY,LUKE",1
03:28,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
03:28,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
03:28,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
03:07,,27,,27,"GOOD 3PTR by MURPHEY,LUKE",HC 27-27 (0),,"GOOD 3PTR by MURPHEY,LUKE",1
--,,,,,"ASSIST  by OGLE,JOHN",,,"ASSIST  by OGLE,JOHN",1
02:44,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
02:20,,27,,29 (+2),"GOOD JUMPER by NIKOLOVSKI,DREW",HC 27-29 (+2),,"GOOD JUMPER by NIKOLOVSKI,DREW",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
01:48,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
01:44,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
01:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:44,,27,,30 (+3),"GOOD FT by SMITH,PRESTON",HC 27-30 (+3),,"GOOD FT by SMITH,PRESTON",1
01:44,,27,,31 (+4),"GOOD FT by SMITH,PRESTON",HC 27-31 (+4),,"GOOD FT by SMITH,PRESTON",1
01:44,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
01:44,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
01:44,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
01:44,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
01:27,"GOOD LAYUP by GUMP,MATT(in the paint)",29,,31 (+2),,CENTRE 29-31 (+2),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
01:26,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
01:26,"GOOD FT by GUMP,MATT",30,,31 (+1),,CENTRE 30-31 (+1),,"GOOD FT by GUMP,MATT",1
01:26,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
01:26,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
01:02,,,,,"MISS 3PTR by MURPHEY,LUKE",,,"MISS 3PTR by MURPHEY,LUKE",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
00:57,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",1
00:57,"GOOD FT by SCHMUCKER,ZACH",31,,31,,CENTRE 31-31 (0),,"GOOD FT by SCHMUCKER,ZACH",1
00:57,"GOOD FT by SCHMUCKER,ZACH",32 (+1),,31,,CENTRE 32-31 (-1),,"GOOD FT by SCHMUCKER,ZACH",1
00:43,,32,,33 (+1),"GOOD LAYUP by MURPHEY,LUKE(in the paint)",HC 32-33 (+1),,"GOOD LAYUP by MURPHEY,LUKE(in the paint)",1
--,,,,,"ASSIST  by OGLE,JOHN",,,"ASSIST  by OGLE,JOHN",1
00:14,"GOOD JUMPER by SINE,TUCKER(in the paint)",34 (+1),,33,,CENTRE 34-33 (-1),,"GOOD JUMPER by SINE,TUCKER(in the paint)",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
00:02,,34,,35 (+1),"GOOD JUMPER by OGLE,JOHN",HC 34-35 (+1),,"GOOD JUMPER by OGLE,JOHN",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
20:00,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",2
20:00,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
19:33,,34,,37 (+3),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 34-37 (+3),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
19:13,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",36,,37 (+1),,CENTRE 36-37 (+1),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
18:52,,,,,"TURNOVER  by BAKER,BRUCE",,,"TURNOVER  by BAKER,BRUCE",2
18:51,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",2
18:38,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",2
