Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
17:53,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",2
17:53,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
17:39,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",2
17:39,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",2
17:39,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
17:38,"FOUL  by MANCUSO,LOGAN",,,,,,,"FOUL  by MANCUSO,LOGAN",2
17:38,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:38,,25,,32 (+7),"GOOD FT by LITTLEFIELD,GEAREN",HC 25-32 (+7),,"GOOD FT by LITTLEFIELD,GEAREN",2
17:12,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",2
17:12,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:57,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
16:35,,,,,"TURNOVER  by BATCHELOR,BRYCE",,,"TURNOVER  by BATCHELOR,BRYCE",2
16:22,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
16:22,"GOOD FT by GAGEN,BRENNAN",26,,32 (+6),,MILLMBB 26-32 (+6),,"GOOD FT by GAGEN,BRENNAN",2
16:22,"MISS FT by GAGEN,BRENNAN",,,,,,,"MISS FT by GAGEN,BRENNAN",2
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",2
16:08,,26,,34 (+8),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 26-34 (+8),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by BATCHELOR,BRYCE",,,"ASSIST  by BATCHELOR,BRYCE",2
15:54,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",28,,34 (+6),,MILLMBB 28-34 (+6),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",2
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",2
15:35,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
15:30,,,,,"MISS JUMPER by LITTLEFIELD,GEAREN",,,"MISS JUMPER by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",2
15:20,"GOOD 3PTR by ROBERTSON,MARC",31,,34 (+3),,MILLMBB 31-34 (+3),,"GOOD 3PTR by ROBERTSON,MARC",2
--,"ASSIST  by MARKWITH,TRENT",,,,,,,"ASSIST  by MARKWITH,TRENT",2
15:09,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:09,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",2
15:09,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",2
15:09,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",2
15:09,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",2
15:09,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",2
15:09,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
15:00,,31,,37 (+6),"GOOD 3PTR by SMITH,PRESTON",HC 31-37 (+6),,"GOOD 3PTR by SMITH,PRESTON",2
--,,,,,"ASSIST  by NOTLEY,CHANDLER",,,"ASSIST  by NOTLEY,CHANDLER",2
14:39,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",2
14:39,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",2
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",2
14:24,,31,,40 (+9),"GOOD 3PTR by GARRETT,TRAVIS",HC 31-40 (+9),,"GOOD 3PTR by GARRETT,TRAVIS",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
14:07,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
13:50,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,"REBOUND DEF by ATKINSON,QUINN",,,,,,,"REBOUND DEF by ATKINSON,QUINN",2
13:34,"MISS JUMPER by MASON,ROBERT WADE",,,,,,,"MISS JUMPER by MASON,ROBERT WADE",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
13:20,,31,,43 (+12),"GOOD 3PTR by SMITH,PRESTON",HC 31-43 (+12),,"GOOD 3PTR by SMITH,PRESTON",2
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",2
12:57,"GOOD JUMPER by MANCUSO,LOGAN",33,,43 (+10),,MILLMBB 33-43 (+10),,"GOOD JUMPER by MANCUSO,LOGAN",2
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",2
12:37,,33,,45 (+12),"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",HC 33-45 (+12),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
12:21,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
12:08,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,"REBOUND DEF by ATKINSON,QUINN",,,,,,,"REBOUND DEF by ATKINSON,QUINN",2
11:51,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
11:51,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
11:51,"GOOD FT by ATKINSON,QUINN",34,,45 (+11),,MILLMBB 34-45 (+11),,"GOOD FT by ATKINSON,QUINN",2
11:51,"MISS FT by ATKINSON,QUINN",,,,,,,"MISS FT by ATKINSON,QUINN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
11:51,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",2
11:51,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",2
11:51,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",2
11:51,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",2
11:51,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",2
11:51,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",2
11:51,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
11:51,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
11:46,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",36,,45 (+9),,MILLMBB 36-45 (+9),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",2
11:24,,,,,"MISS JUMPER by SMITH,PRESTON",,,"MISS JUMPER by SMITH,PRESTON",2
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",2
11:14,"GOOD JUMPER by MARKWITH,TRENT",38,,45 (+7),,MILLMBB 38-45 (+7),,"GOOD JUMPER by MARKWITH,TRENT",2
10:50,,,,,"MISS LAYUP by STEELE,AARON",,,"MISS LAYUP by STEELE,AARON",2
--,"REBOUND DEF by ATKINSON,QUINN",,,,,,,"REBOUND DEF by ATKINSON,QUINN",2
10:43,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
10:43,"MISS FT by MARKWITH,TRENT",,,,,,,"MISS FT by MARKWITH,TRENT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:43,"GOOD FT by MARKWITH,TRENT",39,,45 (+6),,MILLMBB 39-45 (+6),,"GOOD FT by MARKWITH,TRENT",2
10:43,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
10:43,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",2
10:43,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",2
10:43,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
10:15,,,,,"MISS JUMPER by OGLE,JOHN",,,"MISS JUMPER by OGLE,JOHN",2
--,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",,,"REBOUND OFF by NIKOLOVSKI,DREW",2
10:11,,39,,47 (+8),"GOOD JUMPER by NIKOLOVSKI,DREW",HC 39-47 (+8),,"GOOD JUMPER by NIKOLOVSKI,DREW",2
09:56,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
09:56,"GOOD FT by GAGEN,BRENNAN",40,,47 (+7),,MILLMBB 40-47 (+7),,"GOOD FT by GAGEN,BRENNAN",2
09:56,"GOOD FT by GAGEN,BRENNAN",41,,47 (+6),,MILLMBB 41-47 (+6),,"GOOD FT by GAGEN,BRENNAN",2
09:56,,,,,"SUB IN by BRADY,RYAN",,,"SUB IN by BRADY,RYAN",2
09:56,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
09:31,,41,,49 (+8),"GOOD JUMPER by STEELE,AARON(in the paint)",HC 41-49 (+8),,"GOOD JUMPER by STEELE,AARON(in the paint)",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
09:15,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:12,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
09:12,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
09:12,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
09:00,"MISS 3PTR by GAGEN,BRENNAN",,,,,,,"MISS 3PTR by GAGEN,BRENNAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:53,,41,,51 (+10),"GOOD LAYUP by NIKOLOVSKI,DREW(fastbreak)(in the paint)",HC 41-51 (+10),,"GOOD LAYUP by NIKOLOVSKI,DREW(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
08:21,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",2
08:20,,,,,"STEAL  by NIKOLOVSKI,DREW",,,"STEAL  by NIKOLOVSKI,DREW",2
08:09,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",2
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",2
07:52,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",2
07:52,"GOOD FT by ATKINSON,QUINN",42,,51 (+9),,MILLMBB 42-51 (+9),,"GOOD FT by ATKINSON,QUINN",2
07:52,"GOOD FT by ATKINSON,QUINN",43,,51 (+8),,MILLMBB 43-51 (+8),,"GOOD FT by ATKINSON,QUINN",2
07:52,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
07:52,,,,,"SUB OUT by BRADY,RYAN",,,"SUB OUT by BRADY,RYAN",2
07:32,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",2
07:15,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
07:15,"GOOD FT by MARKWITH,TRENT",44,,51 (+7),,MILLMBB 44-51 (+7),,"GOOD FT by MARKWITH,TRENT",2
07:15,"MISS FT by MARKWITH,TRENT",,,,,,,"MISS FT by MARKWITH,TRENT",2
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",2
07:15,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
07:15,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
06:56,,44,,53 (+9),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 44-53 (+9),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
06:55,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
06:40,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",2
06:40,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
06:40,"GOOD FT by MARKWITH,TRENT",45,,53 (+8),,MILLMBB 45-53 (+8),,"GOOD FT by MARKWITH,TRENT",2
06:40,"MISS FT by MARKWITH,TRENT",,,,,,,"MISS FT by MARKWITH,TRENT",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
06:19,,45,,55 (+10),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 45-55 (+10),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
06:01,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",47,,55 (+8),,MILLMBB 47-55 (+8),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",2
05:35,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",2
05:18,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",2
05:18,,,,,"BLOCK  by LITTLEFIELD,GEAREN",,,"BLOCK  by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",2
04:57,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",2
04:48,"GOOD 3PTR by ROBERTSON,MARC(fastbreak)",50,,55 (+5),,MILLMBB 50-55 (+5),,"GOOD 3PTR by ROBERTSON,MARC(fastbreak)",2
--,"ASSIST  by MARKWITH,TRENT",,,,,,,"ASSIST  by MARKWITH,TRENT",2
04:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:44,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",2
04:44,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",2
04:44,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",2
04:44,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
04:20,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
04:20,"BLOCK  by MANCUSO,LOGAN",,,,,,,"BLOCK  by MANCUSO,LOGAN",2
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",2
04:13,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",2
04:12,,,,,"STEAL  by LITTLEFIELD,GEAREN",,,"STEAL  by LITTLEFIELD,GEAREN",2
03:44,,50,,57 (+7),"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",HC 50-57 (+7),,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
03:27,"MISS 3PTR by ATKINSON,QUINN",,,,,,,"MISS 3PTR by ATKINSON,QUINN",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
03:16,"FOUL  by JONES,BLAKE",,,,,,,"FOUL  by JONES,BLAKE",2
03:16,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",2
03:16,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",2
03:16,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",2
03:16,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",2
02:54,,50,,59 (+9),"GOOD JUMPER by STEELE,AARON(in the paint)",HC 50-59 (+9),,"GOOD JUMPER by STEELE,AARON(in the paint)",2
02:43,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",2
02:43,,,,,"BLOCK  by STEELE,AARON",,,"BLOCK  by STEELE,AARON",2
--,"REBOUND OFF by MASON,ROBERT WADE",,,,,,,"REBOUND OFF by MASON,ROBERT WADE",2
02:41,"GOOD JUMPER by MASON,ROBERT WADE(in the paint)",52,,59 (+7),,MILLMBB 52-59 (+7),,"GOOD JUMPER by MASON,ROBERT WADE(in the paint)",2
02:41,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:41,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
02:41,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
02:41,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",2
02:41,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
02:41,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
02:41,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
02:34,"FOUL  by MARKWITH,TRENT",,,,,,,"FOUL  by MARKWITH,TRENT",2
02:24,"FOUL  by ATKINSON,QUINN",,,,,,,"FOUL  by ATKINSON,QUINN",2
02:22,,52,,62 (+10),"GOOD 3PTR by STEELE,AARON",HC 52-62 (+10),,"GOOD 3PTR by STEELE,AARON",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
02:05,"GOOD JUMPER by MASON,ROBERT WADE",54,,62 (+8),,MILLMBB 54-62 (+8),,"GOOD JUMPER by MASON,ROBERT WADE",2
--,"ASSIST  by MARKWITH,TRENT",,,,,,,"ASSIST  by MARKWITH,TRENT",2
02:04,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:46,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
01:43,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND OFF by SMITH,PRESTON",,,"REBOUND OFF by SMITH,PRESTON",2
01:37,"FOUL  by ATKINSON,QUINN",,,,,,,"FOUL  by ATKINSON,QUINN",2
01:08,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",2
01:08,,54,,63 (+9),"GOOD FT by OGLE,JOHN",HC 54-63 (+9),,"GOOD FT by OGLE,JOHN",2
01:08,,54,,64 (+10),"GOOD FT by OGLE,JOHN",HC 54-64 (+10),,"GOOD FT by OGLE,JOHN",2
01:00,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",2
00:52,"FOUL  by MARKWITH,TRENT",,,,,,,"FOUL  by MARKWITH,TRENT",2
00:52,,,,,"MISS FT by STEELE,AARON",,,"MISS FT by STEELE,AARON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:49,"SUB IN by SMITH,BAILEY",,,,,,,"SUB IN by SMITH,BAILEY",2
00:49,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",2
00:49,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",2
00:49,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",2
00:49,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",2
00:45,,54,,66 (+12),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 54-66 (+12),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
00:45,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",2
00:32,"MISS 3PTR by SMITH,BAILEY",,,,,,,"MISS 3PTR by SMITH,BAILEY",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
00:16,,54,,68 (+14),"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 54-68 (+14),,"GOOD LAYUP by OGLE,JOHN(in the paint)",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
00:10,"GOOD LAYUP by GAGEN,BRENNAN(fastbreak)(in the paint)",56,,68 (+12),,MILLMBB 56-68 (+12),,"GOOD LAYUP by GAGEN,BRENNAN(fastbreak)(in the paint)",2
00:10,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
