Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
14:35,,7,,11 (+4),"GOOD JUMPER by GUMP,MATT",CENTRE 7-11 (-4),,"GOOD JUMPER by GUMP,MATT",1
14:16,"MISS JUMPER by OGLE,JOHN",,,,,,,"MISS JUMPER by OGLE,JOHN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:14,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
14:14,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
13:58,,7,,14 (+7),"GOOD 3PTR by SCHMUCKER,ZACH",CENTRE 7-14 (-7),,"GOOD 3PTR by SCHMUCKER,ZACH",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
13:36,"GOOD LAYUP by OGLE,JOHN(in the paint)",9,,14 (+5),,HC 9-14 (-5),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",1
13:23,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",1
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",1
13:15,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",1
12:59,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
12:43,"TURNOVER  by OGLE,JOHN",,,,,,,"TURNOVER  by OGLE,JOHN",1
12:43,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
12:43,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
12:43,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
12:43,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
12:43,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",1
12:43,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
12:43,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
12:43,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
12:43,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
12:43,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
12:43,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
12:43,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
12:43,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
12:43,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
12:43,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
12:27,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",1
12:08,"GOOD 3PTR by GARRETT,TRAVIS",12,,14 (+2),,HC 12-14 (-2),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,"ASSIST  by PARKER,BRYCE",,,,,,,"ASSIST  by PARKER,BRYCE",1
11:51,,12,,16 (+4),"GOOD JUMPER by GUMP,MATT",CENTRE 12-16 (-4),,"GOOD JUMPER by GUMP,MATT",1
--,,,,,"ASSIST  by GRUBER,SAM",,,"ASSIST  by GRUBER,SAM",1
11:21,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
11:12,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
11:12,,12,,17 (+5),"GOOD FT by WESLEY,TYLER",CENTRE 12-17 (-5),,"GOOD FT by WESLEY,TYLER",1
11:12,,12,,18 (+6),"GOOD FT by WESLEY,TYLER",CENTRE 12-18 (-6),,"GOOD FT by WESLEY,TYLER",1
11:12,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
11:12,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
11:12,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
11:12,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
11:12,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
11:12,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
10:54,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",1
10:28,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
10:26,"STEAL  by BATCHELOR,BRYCE",,,,,,,"STEAL  by BATCHELOR,BRYCE",1
10:01,"MISS 3PTR by PARKER,BRYCE",,,,,,,"MISS 3PTR by PARKER,BRYCE",1
--,,,,,"REBOUND DEF by BURNS,DREW",,,"REBOUND DEF by BURNS,DREW",1
09:48,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
09:46,"STEAL  by OGLE,JOHN",,,,,,,"STEAL  by OGLE,JOHN",1
09:39,"GOOD JUMPER by BATCHELOR,BRYCE",14,,18 (+4),,HC 14-18 (-4),,"GOOD JUMPER by BATCHELOR,BRYCE",1
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",1
09:16,,14,,21 (+7),"GOOD 3PTR by SCINTA,BLAKE",CENTRE 14-21 (-7),,"GOOD 3PTR by SCINTA,BLAKE",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
08:42,"GOOD 3PTR by GARRETT,TRAVIS",17,,21 (+4),,HC 17-21 (-4),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,"ASSIST  by OGLE,JOHN",,,,,,,"ASSIST  by OGLE,JOHN",1
08:27,,17,,24 (+7),"GOOD 3PTR by SCINTA,BLAKE",CENTRE 17-24 (-7),,"GOOD 3PTR by SCINTA,BLAKE",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
08:11,"GOOD LAYUP by OGLE,JOHN(in the paint)",19,,24 (+5),,HC 19-24 (-5),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
--,"ASSIST  by GARRETT,TRAVIS",,,,,,,"ASSIST  by GARRETT,TRAVIS",1
08:11,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",1
08:11,"GOOD FT by OGLE,JOHN",20,,24 (+4),,HC 20-24 (-4),,"GOOD FT by OGLE,JOHN",1
08:11,"SUB IN by BRADY,RYAN",,,,,,,"SUB IN by BRADY,RYAN",1
08:11,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
08:11,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
08:11,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
08:11,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
08:11,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",1
07:47,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",1
07:23,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
07:23,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
07:17,"GOOD JUMPER by BRADY,RYAN",22,,24 (+2),,HC 22-24 (-2),,"GOOD JUMPER by BRADY,RYAN",1
06:59,,22,,27 (+5),"GOOD 3PTR by SINE,TUCKER",CENTRE 22-27 (-5),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
06:35,"GOOD LAYUP by OGLE,JOHN(in the paint)",24,,27 (+3),,HC 24-27 (-3),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
--,"ASSIST  by BRADY,RYAN",,,,,,,"ASSIST  by BRADY,RYAN",1
06:14,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",1
05:50,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
05:29,"MISS LAYUP by OGLE,JOHN",,,,,,,"MISS LAYUP by OGLE,JOHN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
05:18,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",1
05:18,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
05:18,,24,,28 (+4),"GOOD FT by WESLEY,TYLER",CENTRE 24-28 (-4),,"GOOD FT by WESLEY,TYLER",1
05:18,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",1
05:18,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
05:18,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
05:05,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",1
05:03,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
05:03,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",1
05:03,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
05:03,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",1
04:59,"MISS JUMPER by BRADY,RYAN",,,,,,,"MISS JUMPER by BRADY,RYAN",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
04:47,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
04:47,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
04:47,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
04:47,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
04:17,,24,,30 (+6),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE 24-30 (-6),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
04:11,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
04:11,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
04:04,"MISS 3PTR by BATCHELOR,BRYCE",,,,,,,"MISS 3PTR by BATCHELOR,BRYCE",1
--,"REBOUND OFF by STEELE,AARON",,,,,,,"REBOUND OFF by STEELE,AARON",1
03:53,"TURNOVER  by STEELE,AARON",,,,,,,"TURNOVER  by STEELE,AARON",1
03:52,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",1
03:46,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",1
03:28,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND DEF by GRUBER,SAM",,,"REBOUND DEF by GRUBER,SAM",1
03:13,,,,,"MISS JUMPER by BURNS,DREW",,,"MISS JUMPER by BURNS,DREW",1
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",1
02:41,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
02:41,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
02:41,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
02:41,"SUB OUT by BRADY,RYAN",,,,,,,"SUB OUT by BRADY,RYAN",1
02:41,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
02:41,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",1
02:41,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
02:41,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
02:41,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",1
02:41,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
02:36,"GOOD JUMPER by BATCHELOR,BRYCE(in the paint)",26,,30 (+4),,HC 26-30 (-4),,"GOOD JUMPER by BATCHELOR,BRYCE(in the paint)",1
02:25,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",1
02:25,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
02:25,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
02:25,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
02:25,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
02:15,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
02:13,"STEAL  by GARRETT,TRAVIS",,,,,,,"STEAL  by GARRETT,TRAVIS",1
02:07,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:05,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
02:05,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
01:53,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",1
01:53,"BLOCK  by NIKOLOVSKI,DREW",,,,,,,"BLOCK  by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
01:37,"TURNOVER  by OGLE,JOHN",,,,,,,"TURNOVER  by OGLE,JOHN",1
01:34,,,,,"STEAL  by SCHMUCKER,ZACH",,,"STEAL  by SCHMUCKER,ZACH",1
01:31,,26,,32 (+6),"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",CENTRE 26-32 (-6),,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
01:15,"GOOD JUMPER by NIKOLOVSKI,DREW(in the paint)",28,,32 (+4),,HC 28-32 (-4),,"GOOD JUMPER by NIKOLOVSKI,DREW(in the paint)",1
00:57,,,,,"TURNOVER  by EBERT,CARSON",,,"TURNOVER  by EBERT,CARSON",1
00:55,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",1
00:31,"MISS LAYUP by OGLE,JOHN",,,,,,,"MISS LAYUP by OGLE,JOHN",1
00:31,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,"REBOUND OFF by NIKOLOVSKI,DREW",,,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",1
00:27,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",1
00:25,,,,,"STEAL  by SCHMUCKER,ZACH",,,"STEAL  by SCHMUCKER,ZACH",1
00:01,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND OFF by EBERT,CARSON",,,"REBOUND OFF by EBERT,CARSON",1
19:52,"TURNOVER  by STEELE,AARON",,,,,,,"TURNOVER  by STEELE,AARON",2
19:51,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",2
19:35,,28,,35 (+7),"GOOD 3PTR by SCINTA,BLAKE",CENTRE 28-35 (-7),,"GOOD 3PTR by SCINTA,BLAKE",2
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",2
19:06,"GOOD 3PTR by STEELE,AARON",31,,35 (+4),,HC 31-35 (-4),,"GOOD 3PTR by STEELE,AARON",2
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",2
18:32,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
18:10,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",2
17:57,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
17:45,"TURNOVER  by STEELE,AARON",,,,,,,"TURNOVER  by STEELE,AARON",2
17:45,"FOUL  by STEELE,AARON",,,,,,,"FOUL  by STEELE,AARON",2
17:32,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",2
17:20,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",2
17:20,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
17:20,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
17:11,,31,,37 (+6),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE 31-37 (-6),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
16:49,"GOOD JUMPER by BATCHELOR,BRYCE",33,,37 (+4),,HC 33-37 (-4),,"GOOD JUMPER by BATCHELOR,BRYCE",2
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",2
16:24,,33,,40 (+7),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE 33-40 (-7),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
16:10,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
16:10,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
16:10,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
16:10,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
16:10,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
16:06,"MISS 3PTR by OGLE,JOHN",,,,,,,"MISS 3PTR by OGLE,JOHN",2
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",2
15:51,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",2
15:30,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",2
15:30,"GOOD FT by OGLE,JOHN",34,,40 (+6),,HC 34-40 (-6),,"GOOD FT by OGLE,JOHN",2
15:30,"GOOD FT by OGLE,JOHN",35,,40 (+5),,HC 35-40 (-5),,"GOOD FT by OGLE,JOHN",2
15:30,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",2
15:30,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",2
15:30,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
15:30,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
15:18,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
15:18,,35,,42 (+7),"GOOD JUMPER by GRIFFIN,JAROD",CENTRE 35-42 (-7),,"GOOD JUMPER by GRIFFIN,JAROD",2
--,,,,,"ASSIST  by GRUBER,SAM",,,"ASSIST  by GRUBER,SAM",2
14:38,"GOOD 3PTR by SMITH,PRESTON",38,,42 (+4),,HC 38-42 (-4),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by BATCHELOR,BRYCE",,,,,,,"ASSIST  by BATCHELOR,BRYCE",2
14:15,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
14:15,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",2
14:15,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
