Time Remaining,UDMBB,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
18:02,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by WHITNEY,SEAN",,,,,,,"REBOUND DEF by WHITNEY,SEAN",1
17:51,"GOOD 3PTR by GONZALEZ,LORENZO",6 (+3),,3,,UDMBB 6-3 (-3),,"GOOD 3PTR by GONZALEZ,LORENZO",1
--,"ASSIST  by SARRAT,MICHAEL",,,,,,,"ASSIST  by SARRAT,MICHAEL",1
17:36,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by KAISER,TOM",,,,,,,"REBOUND DEF by KAISER,TOM",1
17:11,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
17:11,"GOOD FT by CALTON,EMMANUEL",7 (+4),,3,,UDMBB 7-3 (-4),,"GOOD FT by CALTON,EMMANUEL",1
17:11,"GOOD FT by CALTON,EMMANUEL",8 (+5),,3,,UDMBB 8-3 (-5),,"GOOD FT by CALTON,EMMANUEL",1
17:11,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
17:11,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",1
17:00,,8 (+2),,6,"GOOD 3PTR by SMITH,PRESTON",HC 8-6 (-2),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by OGLE,JOHN",,,"ASSIST  by OGLE,JOHN",1
16:47,"TURNOVER  by WHITNEY,SEAN",,,,,,,"TURNOVER  by WHITNEY,SEAN",1
16:47,"FOUL  by WHITNEY,SEAN",,,,,,,"FOUL  by WHITNEY,SEAN",1
16:35,,8,,8,"GOOD JUMPER by NIKOLOVSKI,DREW",HC 8-8 (0),,"GOOD JUMPER by NIKOLOVSKI,DREW",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
16:05,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
16:05,"SUB IN by MACCALLUM,RORY",,,,,,,"SUB IN by MACCALLUM,RORY",1
16:05,"SUB OUT by KAISER,TOM",,,,,,,"SUB OUT by KAISER,TOM",1
16:05,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
16:05,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
16:05,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
16:05,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
16:00,"GOOD 3PTR by SARRAT,MICHAEL",11 (+3),,8,,UDMBB 11-8 (-3),,"GOOD 3PTR by SARRAT,MICHAEL",1
--,"ASSIST  by WHITNEY,SEAN",,,,,,,"ASSIST  by WHITNEY,SEAN",1
15:42,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1
15:33,"TURNOVER  by MACCALLUM,RORY",,,,,,,"TURNOVER  by MACCALLUM,RORY",1
15:33,"SUB IN by DICAMBIO,AUSTIN",,,,,,,"SUB IN by DICAMBIO,AUSTIN",1
15:33,"SUB OUT by WHITNEY,SEAN",,,,,,,"SUB OUT by WHITNEY,SEAN",1
15:24,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",1
15:24,"STEAL  by CALTON,EMMANUEL",,,,,,,"STEAL  by CALTON,EMMANUEL",1
15:24,,,,,"FOUL  by NOTLEY,CHANDLER",,,"FOUL  by NOTLEY,CHANDLER",1
15:11,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",1
15:11,"MISS FT by CALTON,EMMANUEL",,,,,,,"MISS FT by CALTON,EMMANUEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:11,"GOOD FT by CALTON,EMMANUEL",12 (+4),,8,,UDMBB 12-8 (-4),,"GOOD FT by CALTON,EMMANUEL",1
15:11,"SUB IN by COLVIN,DARRIUS",,,,,,,"SUB IN by COLVIN,DARRIUS",1
15:11,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",1
15:11,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
15:11,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
14:51,"FOUL  by MACCALLUM,RORY",,,,,,,"FOUL  by MACCALLUM,RORY",1
14:39,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by DICAMBIO,AUSTIN",,,,,,,"REBOUND DEF by DICAMBIO,AUSTIN",1
14:32,"GOOD LAYUP by COLVIN,DARRIUS(fastbreak)(in the paint)",14 (+6),,8,,UDMBB 14-8 (-6),,"GOOD LAYUP by COLVIN,DARRIUS(fastbreak)(in the paint)",1
--,"ASSIST  by DICAMBIO,AUSTIN",,,,,,,"ASSIST  by DICAMBIO,AUSTIN",1
14:16,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND OFF by STEELE,AARON",,,"REBOUND OFF by STEELE,AARON",1
14:12,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by DICAMBIO,AUSTIN",,,,,,,"REBOUND DEF by DICAMBIO,AUSTIN",1
14:01,"MISS LAYUP by MACCALLUM,RORY",,,,,,,"MISS LAYUP by MACCALLUM,RORY",1
14:01,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",1
--,"REBOUND OFF by MACCALLUM,RORY",,,,,,,"REBOUND OFF by MACCALLUM,RORY",1
13:44,"TURNOVER  by GONZALEZ,LORENZO",,,,,,,"TURNOVER  by GONZALEZ,LORENZO",1
13:43,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",1
13:39,"FOUL  by GONZALEZ,LORENZO",,,,,,,"FOUL  by GONZALEZ,LORENZO",1
13:39,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:39,,14 (+5),,9,"GOOD FT by SMITH,PRESTON",HC 14-9 (-5),,"GOOD FT by SMITH,PRESTON",1
13:39,"SUB IN by GARATE,VICTOR",,,,,,,"SUB IN by GARATE,VICTOR",1
13:39,"SUB OUT by SARRAT,MICHAEL",,,,,,,"SUB OUT by SARRAT,MICHAEL",1
13:39,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",1
13:39,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
13:25,"MISS 3PTR by GONZALEZ,LORENZO",,,,,,,"MISS 3PTR by GONZALEZ,LORENZO",1
--,"REBOUND OFF by MACCALLUM,RORY",,,,,,,"REBOUND OFF by MACCALLUM,RORY",1
12:54,"MISS JUMPER by GONZALEZ,LORENZO",,,,,,,"MISS JUMPER by GONZALEZ,LORENZO",1
--,"REBOUND OFF by MACCALLUM,RORY",,,,,,,"REBOUND OFF by MACCALLUM,RORY",1
12:51,"MISS JUMPER by MACCALLUM,RORY",,,,,,,"MISS JUMPER by MACCALLUM,RORY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:51,"SUB IN by COOKS,TJ",,,,,,,"SUB IN by COOKS,TJ",1
12:51,"SUB OUT by GONZALEZ,LORENZO",,,,,,,"SUB OUT by GONZALEZ,LORENZO",1
12:21,,,,,"MISS 3PTR by BARRETT,JORDAN",,,"MISS 3PTR by BARRETT,JORDAN",1
--,,,,,"REBOUND OFF by GARRETT,TRAVIS",,,"REBOUND OFF by GARRETT,TRAVIS",1
12:13,"FOUL  by DICAMBIO,AUSTIN",,,,,,,"FOUL  by DICAMBIO,AUSTIN",1
12:13,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",1
12:13,"SUB IN by KAISER,TOM",,,,,,,"SUB IN by KAISER,TOM",1
12:13,"SUB IN by WHITNEY,SEAN",,,,,,,"SUB IN by WHITNEY,SEAN",1
12:13,"SUB IN by GONZALEZ,LORENZO",,,,,,,"SUB IN by GONZALEZ,LORENZO",1
12:13,"SUB IN by SARRAT,MICHAEL",,,,,,,"SUB IN by SARRAT,MICHAEL",1
12:13,"SUB OUT by GARATE,VICTOR",,,,,,,"SUB OUT by GARATE,VICTOR",1
12:13,"SUB OUT by COOKS,TJ",,,,,,,"SUB OUT by COOKS,TJ",1
12:13,"SUB OUT by COLVIN,DARRIUS",,,,,,,"SUB OUT by COLVIN,DARRIUS",1
12:13,"SUB OUT by DICAMBIO,AUSTIN",,,,,,,"SUB OUT by DICAMBIO,AUSTIN",1
12:13,"SUB OUT by MACCALLUM,RORY",,,,,,,"SUB OUT by MACCALLUM,RORY",1
12:12,,,,,"MISS LAYUP by BARRETT,JORDAN",,,"MISS LAYUP by BARRETT,JORDAN",1
12:12,"BLOCK  by KAISER,TOM",,,,,,,"BLOCK  by KAISER,TOM",1
--,,,,,"REBOUND OFF by BARRETT,JORDAN",,,"REBOUND OFF by BARRETT,JORDAN",1
12:03,"FOUL  by COLVIN,DARRIUS",,,,,,,"FOUL  by COLVIN,DARRIUS",1
11:55,,14 (+2),,12,"GOOD 3PTR by BATCHELOR,BRYCE",HC 14-12 (-2),,"GOOD 3PTR by BATCHELOR,BRYCE",1
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",1
11:48,,,,,"FOUL  by NOTLEY,CHANDLER",,,"FOUL  by NOTLEY,CHANDLER",1
11:48,"MISS FT by KAISER,TOM",,,,,,,"MISS FT by KAISER,TOM",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
11:48,"SUB IN by GARATE,VICTOR",,,,,,,"SUB IN by GARATE,VICTOR",1
11:48,"SUB IN by COOKS,TJ",,,,,,,"SUB IN by COOKS,TJ",1
11:48,"SUB IN by DICAMBIO,AUSTIN",,,,,,,"SUB IN by DICAMBIO,AUSTIN",1
11:48,"SUB IN by COLVIN,DARRIUS",,,,,,,"SUB IN by COLVIN,DARRIUS",1
11:48,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",1
11:48,"SUB OUT by WHITNEY,SEAN",,,,,,,"SUB OUT by WHITNEY,SEAN",1
11:48,"SUB OUT by GONZALEZ,LORENZO",,,,,,,"SUB OUT by GONZALEZ,LORENZO",1
11:48,"SUB OUT by SARRAT,MICHAEL",,,,,,,"SUB OUT by SARRAT,MICHAEL",1
11:48,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
11:48,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
11:38,,14,,14,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 14-14 (0),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,,,,,"ASSIST  by BARRETT,JORDAN",,,"ASSIST  by BARRETT,JORDAN",1
11:23,"TURNOVER  by COLVIN,DARRIUS",,,,,,,"TURNOVER  by COLVIN,DARRIUS",1
11:22,,,,,"STEAL  by BATCHELOR,BRYCE",,,"STEAL  by BATCHELOR,BRYCE",1
11:10,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND OFF by STEELE,AARON",,,"REBOUND OFF by STEELE,AARON",1
11:01,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by KAISER,TOM",,,,,,,"REBOUND DEF by KAISER,TOM",1
10:35,"GOOD JUMPER by GARATE,VICTOR",16 (+2),,14,,UDMBB 16-14 (-2),,"GOOD JUMPER by GARATE,VICTOR",1
--,"ASSIST  by COOKS,TJ",,,,,,,"ASSIST  by COOKS,TJ",1
10:21,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
10:21,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
10:21,"SUB IN by WHITNEY,SEAN",,,,,,,"SUB IN by WHITNEY,SEAN",1
10:21,"SUB IN by GLADOLOR,PRINCE",,,,,,,"SUB IN by GLADOLOR,PRINCE",1
10:21,"SUB OUT by DICAMBIO,AUSTIN",,,,,,,"SUB OUT by DICAMBIO,AUSTIN",1
10:21,"SUB OUT by COLVIN,DARRIUS",,,,,,,"SUB OUT by COLVIN,DARRIUS",1
10:21,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
10:21,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
10:11,"TURNOVER  by COOKS,TJ",,,,,,,"TURNOVER  by COOKS,TJ",1
10:00,"FOUL  by GARATE,VICTOR",,,,,,,"FOUL  by GARATE,VICTOR",1
10:00,,,,,"MISS FT by GARRETT,TRAVIS",,,"MISS FT by GARRETT,TRAVIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:00,,16 (+1),,15,"GOOD FT by GARRETT,TRAVIS",HC 16-15 (-1),,"GOOD FT by GARRETT,TRAVIS",1
10:00,"SUB IN by SARRAT,MICHAEL",,,,,,,"SUB IN by SARRAT,MICHAEL",1
10:00,"SUB IN by GONZALEZ,LORENZO",,,,,,,"SUB IN by GONZALEZ,LORENZO",1
10:00,"SUB OUT by GARATE,VICTOR",,,,,,,"SUB OUT by GARATE,VICTOR",1
10:00,"SUB OUT by COOKS,TJ",,,,,,,"SUB OUT by COOKS,TJ",1
10:00,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
10:00,,,,,"SUB IN by MURPHEY,LUKE",,,"SUB IN by MURPHEY,LUKE",1
10:00,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
10:00,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
09:50,"TURNOVER  by GONZALEZ,LORENZO",,,,,,,"TURNOVER  by GONZALEZ,LORENZO",1
09:49,,,,,"STEAL  by OGLE,JOHN",,,"STEAL  by OGLE,JOHN",1
09:46,,16,,17 (+1),"GOOD LAYUP by OGLE,JOHN(fastbreak)(in the paint)",HC 16-17 (+1),,"GOOD LAYUP by OGLE,JOHN(fastbreak)(in the paint)",1
09:26,"MISS 3PTR by GONZALEZ,LORENZO",,,,,,,"MISS 3PTR by GONZALEZ,LORENZO",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
09:10,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by KAISER,TOM",,,,,,,"REBOUND DEF by KAISER,TOM",1
08:58,"MISS 3PTR by SARRAT,MICHAEL",,,,,,,"MISS 3PTR by SARRAT,MICHAEL",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
08:44,,,,,"MISS JUMPER by BARRETT,JORDAN",,,"MISS JUMPER by BARRETT,JORDAN",1
08:44,"BLOCK  by GLADOLOR,PRINCE",,,,,,,"BLOCK  by GLADOLOR,PRINCE",1
--,"REBOUND DEF by SARRAT,MICHAEL",,,,,,,"REBOUND DEF by SARRAT,MICHAEL",1
08:29,"GOOD LAYUP by KAISER,TOM(in the paint)",18 (+1),,17,,UDMBB 18-17 (-1),,"GOOD LAYUP by KAISER,TOM(in the paint)",1
--,"ASSIST  by SARRAT,MICHAEL",,,,,,,"ASSIST  by SARRAT,MICHAEL",1
08:26,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",1
08:26,"MISS FT by KAISER,TOM",,,,,,,"MISS FT by KAISER,TOM",1
--,,,,,"REBOUND DEF by MURPHEY,LUKE",,,"REBOUND DEF by MURPHEY,LUKE",1
08:26,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",1
08:26,"SUB OUT by GLADOLOR,PRINCE",,,,,,,"SUB OUT by GLADOLOR,PRINCE",1
08:26,,,,,"SUB IN by VRANA,MAXWELL",,,"SUB IN by VRANA,MAXWELL",1
08:26,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
08:26,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
08:26,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",1
08:06,,,,,"MISS JUMPER by GARRETT,TRAVIS",,,"MISS JUMPER by GARRETT,TRAVIS",1
--,,,,,"REBOUND OFF by VRANA,MAXWELL",,,"REBOUND OFF by VRANA,MAXWELL",1
08:03,,,,,"MISS LAYUP by VRANA,MAXWELL",,,"MISS LAYUP by VRANA,MAXWELL",1
--,"REBOUND DEF by CALTON,EMMANUEL",,,,,,,"REBOUND DEF by CALTON,EMMANUEL",1
07:56,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",1
07:56,"GOOD FT by CALTON,EMMANUEL",19 (+2),,17,,UDMBB 19-17 (-2),,"GOOD FT by CALTON,EMMANUEL",1
07:56,"GOOD FT by CALTON,EMMANUEL",20 (+3),,17,,UDMBB 20-17 (-3),,"GOOD FT by CALTON,EMMANUEL",1
07:46,,,,,"MISS 3PTR by MURPHEY,LUKE",,,"MISS 3PTR by MURPHEY,LUKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:42,,20,,20,"GOOD 3PTR by VRANA,MAXWELL",HC 20-20 (0),,"GOOD 3PTR by VRANA,MAXWELL",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
07:30,"MISS LAYUP by SARRAT,MICHAEL",,,,,,,"MISS LAYUP by SARRAT,MICHAEL",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
07:08,,20,,22 (+2),"GOOD JUMPER by GARRETT,TRAVIS",HC 20-22 (+2),,"GOOD JUMPER by GARRETT,TRAVIS",1
--,,,,,"ASSIST  by VRANA,MAXWELL",,,"ASSIST  by VRANA,MAXWELL",1
06:52,"MISS LAYUP by DICAMBIO,AUSTIN",,,,,,,"MISS LAYUP by DICAMBIO,AUSTIN",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
06:37,"FOUL  by GONZALEZ,LORENZO",,,,,,,"FOUL  by GONZALEZ,LORENZO",1
06:37,,20,,23 (+3),"GOOD FT by SMITH,PRESTON",HC 20-23 (+3),,"GOOD FT by SMITH,PRESTON",1
06:37,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",1
--,"REBOUND DEF by KAISER,TOM",,,,,,,"REBOUND DEF by KAISER,TOM",1
06:37,"SUB IN by HORNER,RONNIE",,,,,,,"SUB IN by HORNER,RONNIE",1
06:37,"SUB IN by COOKS,TJ",,,,,,,"SUB IN by COOKS,TJ",1
06:37,"SUB OUT by GONZALEZ,LORENZO",,,,,,,"SUB OUT by GONZALEZ,LORENZO",1
06:37,"SUB OUT by WHITNEY,SEAN",,,,,,,"SUB OUT by WHITNEY,SEAN",1
06:22,"MISS JUMPER by CALTON,EMMANUEL",,,,,,,"MISS JUMPER by CALTON,EMMANUEL",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
06:09,,20,,26 (+6),"GOOD 3PTR by GARRETT,TRAVIS",HC 20-26 (+6),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,,,,,"ASSIST  by VRANA,MAXWELL",,,"ASSIST  by VRANA,MAXWELL",1
05:54,"MISS 3PTR by COOKS,TJ",,,,,,,"MISS 3PTR by COOKS,TJ",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:51,"FOUL  by KAISER,TOM",,,,,,,"FOUL  by KAISER,TOM",1
05:51,,,,,"MISS FT by MURPHEY,LUKE",,,"MISS FT by MURPHEY,LUKE",1
--,"REBOUND DEF by MACCALLUM,RORY",,,,,,,"REBOUND DEF by MACCALLUM,RORY",1
05:51,"SUB IN by MACCALLUM,RORY",,,,,,,"SUB IN by MACCALLUM,RORY",1
05:51,"SUB OUT by KAISER,TOM",,,,,,,"SUB OUT by KAISER,TOM",1
05:51,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",1
05:51,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
05:36,"GOOD JUMPER by SARRAT,MICHAEL",22,,26 (+4),,UDMBB 22-26 (+4),,"GOOD JUMPER by SARRAT,MICHAEL",1
05:04,,,,,"MISS LAYUP by BARRETT,JORDAN",,,"MISS LAYUP by BARRETT,JORDAN",1
--,"REBOUND DEF by MACCALLUM,RORY",,,,,,,"REBOUND DEF by MACCALLUM,RORY",1
04:55,"MISS LAYUP by CALTON,EMMANUEL",,,,,,,"MISS LAYUP by CALTON,EMMANUEL",1
04:55,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:41,"GOOD LAYUP by SARRAT,MICHAEL(in the paint)",24,,26 (+2),,UDMBB 24-26 (+2),,"GOOD LAYUP by SARRAT,MICHAEL(in the paint)",1
--,"ASSIST  by HORNER,RONNIE",,,,,,,"ASSIST  by HORNER,RONNIE",1
04:26,,24,,28 (+4),"GOOD JUMPER by BATCHELOR,BRYCE",HC 24-28 (+4),,"GOOD JUMPER by BATCHELOR,BRYCE",1
--,,,,,"ASSIST  by BARRETT,JORDAN",,,"ASSIST  by BARRETT,JORDAN",1
04:11,"MISS 3PTR by CALTON,EMMANUEL",,,,,,,"MISS 3PTR by CALTON,EMMANUEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:56,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",1
03:55,"STEAL  by CALTON,EMMANUEL",,,,,,,"STEAL  by CALTON,EMMANUEL",1
03:52,"MISS LAYUP by CALTON,EMMANUEL",,,,,,,"MISS LAYUP by CALTON,EMMANUEL",1
--,"REBOUND OFF by COOKS,TJ",,,,,,,"REBOUND OFF by COOKS,TJ",1
03:51,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",1
03:51,"GOOD FT by COOKS,TJ",25,,28 (+3),,UDMBB 25-28 (+3),,"GOOD FT by COOKS,TJ",1
03:51,"MISS FT by COOKS,TJ",,,,,,,"MISS FT by COOKS,TJ",1
--,,,,,"REBOUND DEF by VRANA,MAXWELL",,,"REBOUND DEF by VRANA,MAXWELL",1
03:51,"SUB IN by GARATE,VICTOR",,,,,,,"SUB IN by GARATE,VICTOR",1
03:51,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",1
03:51,,,,,"SUB IN by BAKER,BRUCE",,,"SUB IN by BAKER,BRUCE",1
03:51,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",1
03:40,,,,,"TURNOVER  by BAKER,BRUCE",,,"TURNOVER  by BAKER,BRUCE",1
03:39,"STEAL  by COOKS,TJ",,,,,,,"STEAL  by COOKS,TJ",1
03:36,"MISS LAYUP by COOKS,TJ",,,,,,,"MISS LAYUP by COOKS,TJ",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
03:29,,25,,30 (+5),"GOOD LAYUP by BATCHELOR,BRYCE(fastbreak)(in the paint)",HC 25-30 (+5),,"GOOD LAYUP by BATCHELOR,BRYCE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
03:19,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",1
03:19,"GOOD FT by SARRAT,MICHAEL",26,,30 (+4),,UDMBB 26-30 (+4),,"GOOD FT by SARRAT,MICHAEL",1
03:19,"GOOD FT by SARRAT,MICHAEL",27,,30 (+3),,UDMBB 27-30 (+3),,"GOOD FT by SARRAT,MICHAEL",1
03:19,"SUB IN by DICAMBIO,AUSTIN",,,,,,,"SUB IN by DICAMBIO,AUSTIN",1
03:19,"SUB OUT by HORNER,RONNIE",,,,,,,"SUB OUT by HORNER,RONNIE",1
03:19,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
03:19,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
02:55,"FOUL  by MACCALLUM,RORY",,,,,,,"FOUL  by MACCALLUM,RORY",1
02:55,,27,,31 (+4),"GOOD FT by VRANA,MAXWELL",HC 27-31 (+4),,"GOOD FT by VRANA,MAXWELL",1
02:55,,,,,"MISS FT by VRANA,MAXWELL",,,"MISS FT by VRANA,MAXWELL",1
