Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
14:09,"MISS LAYUP by OGLE,JOHN",,,,,,,"MISS LAYUP by OGLE,JOHN",1
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1
14:02,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",1
14:02,,,,,"MISS FT by SCHERRMAN,BLAKE",,,"MISS FT by SCHERRMAN,BLAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:02,,,,,"MISS FT by SCHERRMAN,BLAKE",,,"MISS FT by SCHERRMAN,BLAKE",1
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",1
14:02,"SUB IN by BRADY,RYAN",,,,,,,"SUB IN by BRADY,RYAN",1
14:02,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
14:02,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
14:02,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",1
14:00,,,,,"SUB IN by FORTE,MCCARTY",,,"SUB IN by FORTE,MCCARTY",1
14:00,,,,,"SUB OUT by SCHERRMAN,BLAKE",,,"SUB OUT by SCHERRMAN,BLAKE",1
14:00,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
13:34,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
13:29,,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",,,"TURNOVER  by ELLINGSWORTH,COLEMAN",1
13:28,"STEAL  by PARKER,BRYCE",,,,,,,"STEAL  by PARKER,BRYCE",1
13:23,,,,,"FOUL  by FORTE,MCCARTY",,,"FOUL  by FORTE,MCCARTY",1
13:23,"GOOD FT by BATCHELOR,BRYCE",15 (+13),,2,,HC 15-2 (+13),,"GOOD FT by BATCHELOR,BRYCE",1
13:23,"GOOD FT by BATCHELOR,BRYCE",16 (+14),,2,,HC 16-2 (+14),,"GOOD FT by BATCHELOR,BRYCE",1
13:23,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",1
13:23,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",1
13:23,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",1
13:03,,16 (+12),,4,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 16-4 (+12),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
--,,,,,"ASSIST  by MCCLOUD,ALTON",,,"ASSIST  by MCCLOUD,ALTON",1
12:40,"GOOD JUMPER by STEELE,AARON",18 (+14),,4,,HC 18-4 (+14),,"GOOD JUMPER by STEELE,AARON",1
12:24,,,,,"MISS 3PTR by MCCLOUD,LEE",,,"MISS 3PTR by MCCLOUD,LEE",1
--,,,,,"REBOUND OFF by JACOBS,OWEN",,,"REBOUND OFF by JACOBS,OWEN",1
12:18,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",1
12:18,"BLOCK  by BATCHELOR,BRYCE",,,,,,,"BLOCK  by BATCHELOR,BRYCE",1
--,"REBOUND DEF by BRADY,RYAN",,,,,,,"REBOUND DEF by BRADY,RYAN",1
12:02,"GOOD LAYUP by OGLE,JOHN(in the paint)",20 (+16),,4,,HC 20-4 (+16),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
11:51,,,,,"MISS 3PTR by MCCLOUD,LEE",,,"MISS 3PTR by MCCLOUD,LEE",1
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",1
11:42,"MISS 3PTR by PARKER,BRYCE",,,,,,,"MISS 3PTR by PARKER,BRYCE",1
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",1
11:40,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:40,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
11:40,,,,,"SUB IN by SCHERRMAN,BLAKE",,,"SUB IN by SCHERRMAN,BLAKE",1
11:40,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
11:13,,20 (+14),,6,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",BCM 20-6 (+14),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",1
11:04,,,,,"FOUL  by MCCLOUD,ALTON",,,"FOUL  by MCCLOUD,ALTON",1
11:04,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
11:04,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
11:04,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",1
11:04,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",1
10:49,"GOOD 3PTR by PARKER,BRYCE",23 (+17),,6,,HC 23-6 (+17),,"GOOD 3PTR by PARKER,BRYCE",1
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",1
10:39,,23 (+15),,8,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",BCM 23-8 (+15),,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",1
10:29,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
10:29,"SUB OUT by BRADY,RYAN",,,,,,,"SUB OUT by BRADY,RYAN",1
10:29,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
10:29,,,,,"SUB OUT by FORTE,MCCARTY",,,"SUB OUT by FORTE,MCCARTY",1
10:16,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",1
10:15,,,,,"STEAL  by MARDER,NICK",,,"STEAL  by MARDER,NICK",1
09:57,,23 (+13),,10,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",BCM 23-10 (+13),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MARDER,NICK",,,"ASSIST  by MARDER,NICK",1
09:57,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
09:57,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",1
09:52,,,,,"FOUL  by JACOBS,OWEN",,,"FOUL  by JACOBS,OWEN",1
09:52,,,,,"TURNOVER  by JACOBS,OWEN",,,"TURNOVER  by JACOBS,OWEN",1
09:42,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
09:42,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
09:37,"TURNOVER  by BATCHELOR,BRYCE",,,,,,,"TURNOVER  by BATCHELOR,BRYCE",1
09:35,,,,,"STEAL  by JOHNSON,CALEB",,,"STEAL  by JOHNSON,CALEB",1
09:33,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
09:27,"GOOD LAYUP by PARKER,BRYCE(fastbreak)(in the paint)",25 (+15),,10,,HC 25-10 (+15),,"GOOD LAYUP by PARKER,BRYCE(fastbreak)(in the paint)",1
09:19,,,,,"MISS 3PTR by JOHNSON,CALEB",,,"MISS 3PTR by JOHNSON,CALEB",1
--,,,,,"REBOUND OFF by JACOBS,OWEN",,,"REBOUND OFF by JACOBS,OWEN",1
09:13,,25 (+13),,12,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 25-12 (+13),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
08:53,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",1
08:52,,,,,"STEAL  by JACOBS,OWEN",,,"STEAL  by JACOBS,OWEN",1
08:47,,,,,"MISS 3PTR by JACOBS,OWEN",,,"MISS 3PTR by JACOBS,OWEN",1
--,,,,,"REBOUND OFF by MARDER,NICK",,,"REBOUND OFF by MARDER,NICK",1
08:43,,,,,"TURNOVER  by MARDER,NICK",,,"TURNOVER  by MARDER,NICK",1
08:43,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
08:43,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
08:43,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
08:43,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",1
08:21,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by SCHERRMAN,BLAKE",,,"REBOUND DEF by SCHERRMAN,BLAKE",1
08:13,,,,,"TURNOVER  by KORN,LUKAS",,,"TURNOVER  by KORN,LUKAS",1
08:12,"STEAL  by GARRETT,TRAVIS",,,,,,,"STEAL  by GARRETT,TRAVIS",1
07:52,"MISS LAYUP by LITTLEFIELD,GEAREN",,,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND DEF by KORN,LUKAS",,,"REBOUND DEF by KORN,LUKAS",1
07:44,,,,,"MISS 3PTR by KORN,LUKAS",,,"MISS 3PTR by KORN,LUKAS",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
07:26,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
07:26,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",1
07:26,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
07:26,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",1
07:26,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
07:26,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",1
07:26,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",1
07:21,"TURNOVER  by OGLE,JOHN",,,,,,,"TURNOVER  by OGLE,JOHN",1
07:18,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
07:14,,25 (+12),,13,"GOOD FT by MARDER,NICK",BCM 25-13 (+12),,"GOOD FT by MARDER,NICK",1
07:04,,,,,"MISS FT by MARDER,NICK",,,"MISS FT by MARDER,NICK",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
07:04,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
07:04,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
06:46,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",1
06:45,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",1
06:44,,,,,"TURNOVER  by JOHNSON,CALEB",,,"TURNOVER  by JOHNSON,CALEB",1
06:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:44,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",1
06:44,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",1
06:44,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
06:44,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
06:44,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
06:44,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
06:44,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",1
06:44,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
06:44,,,,,"SUB OUT by SCHERRMAN,BLAKE",,,"SUB OUT by SCHERRMAN,BLAKE",1
06:33,,25 (+10),,15,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 25-15 (+10),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",1
06:01,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",1
06:00,,,,,"STEAL  by SCHERRMAN,BLAKE",,,"STEAL  by SCHERRMAN,BLAKE",1
05:58,,25 (+8),,17,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",BCM 25-17 (+8),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by SCHERRMAN,BLAKE",,,"ASSIST  by SCHERRMAN,BLAKE",1
05:58,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",1
05:58,,,,,"MISS FT by SCHERRMAN,BLAKE",,,"MISS FT by SCHERRMAN,BLAKE",1
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",1
05:39,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
05:21,"GOOD 3PTR by SMITH,PRESTON",28 (+11),,17,,HC 28-17 (+11),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST  by PARKER,BRYCE",,,,,,,"ASSIST  by PARKER,BRYCE",1
05:21,,,,,"FOUL  by SCHERRMAN,BLAKE",,,"FOUL  by SCHERRMAN,BLAKE",1
05:21,"GOOD FT by SMITH,PRESTON",29 (+12),,17,,HC 29-17 (+12),,"GOOD FT by SMITH,PRESTON",1
05:21,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",1
05:11,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",1
05:10,"STEAL  by NIKOLOVSKI,DREW",,,,,,,"STEAL  by NIKOLOVSKI,DREW",1
04:48,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",31 (+14),,17,,HC 31-17 (+14),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",1
04:30,,31 (+12),,19,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",BCM 31-19 (+12),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
04:07,"MISS 3PTR by BARRETT,JORDAN",,,,,,,"MISS 3PTR by BARRETT,JORDAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:47,,,,,"TURNOVER  by MARDER,NICK",,,"TURNOVER  by MARDER,NICK",1
03:44,"STEAL  by PARKER,BRYCE",,,,,,,"STEAL  by PARKER,BRYCE",1
03:43,,,,,"FOUL  by JOHNSON,CALEB",,,"FOUL  by JOHNSON,CALEB",1
03:43,"MISS FT by PARKER,BRYCE",,,,,,,"MISS FT by PARKER,BRYCE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:43,"GOOD FT by PARKER,BRYCE",32 (+13),,19,,HC 32-19 (+13),,"GOOD FT by PARKER,BRYCE",1
03:43,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",1
03:43,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",1
03:42,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:42,"SUB IN by MURPHEY,LUKE",,,,,,,"SUB IN by MURPHEY,LUKE",1
03:42,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",1
03:22,,32 (+11),,21,"GOOD LAYUP by MARDER,NICK(in the paint)",BCM 32-21 (+11),,"GOOD LAYUP by MARDER,NICK(in the paint)",1
--,,,,,"ASSIST  by ELLINGSWORTH,COLEMAN",,,"ASSIST  by ELLINGSWORTH,COLEMAN",1
02:50,"MISS JUMPER by STEELE,AARON",,,,,,,"MISS JUMPER by STEELE,AARON",1
--,,,,,"REBOUND DEF by KORN,LUKAS",,,"REBOUND DEF by KORN,LUKAS",1
02:40,,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",,,"TURNOVER  by ELLINGSWORTH,COLEMAN",1
02:38,"STEAL  by NIKOLOVSKI,DREW",,,,,,,"STEAL  by NIKOLOVSKI,DREW",1
02:35,"GOOD LAYUP by MURPHEY,LUKE(fastbreak)(in the paint)",34 (+13),,21,,HC 34-21 (+13),,"GOOD LAYUP by MURPHEY,LUKE(fastbreak)(in the paint)",1
--,"ASSIST  by NIKOLOVSKI,DREW",,,,,,,"ASSIST  by NIKOLOVSKI,DREW",1
02:08,,,,,"TURNOVER  by MARDER,NICK",,,"TURNOVER  by MARDER,NICK",1
02:06,"STEAL  by NIKOLOVSKI,DREW",,,,,,,"STEAL  by NIKOLOVSKI,DREW",1
02:05,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
02:05,"MISS FT by NIKOLOVSKI,DREW",,,,,,,"MISS FT by NIKOLOVSKI,DREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:05,"GOOD FT by NIKOLOVSKI,DREW",35 (+14),,21,,HC 35-21 (+14),,"GOOD FT by NIKOLOVSKI,DREW",1
02:05,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
02:05,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",1
02:05,,,,,"SUB IN by FORTE,MCCARTY",,,"SUB IN by FORTE,MCCARTY",1
02:05,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
01:39,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",1
01:39,,35 (+13),,22,"GOOD FT by JACOBS,OWEN",BCM 35-22 (+13),,"GOOD FT by JACOBS,OWEN",1
01:37,,35 (+12),,23,"GOOD FT by JACOBS,OWEN",BCM 35-23 (+12),,"GOOD FT by JACOBS,OWEN",1
01:37,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
01:37,"SUB IN by KRAMER,KORBIN",,,,,,,"SUB IN by KRAMER,KORBIN",1
01:37,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
01:37,,,,,"SUB IN by FENTON,CLINT",,,"SUB IN by FENTON,CLINT",1
01:37,,,,,"SUB IN by SCHICK,BRANDON",,,"SUB IN by SCHICK,BRANDON",1
