Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
13:50,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
13:34,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:16,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by BROWNLEY,HOGAN",,,"REBOUND DEF by BROWNLEY,HOGAN",1
13:15,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
13:03,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
12:52,"MISS LAYUP by GALVIN,OWEN",,,,,,,"MISS LAYUP by GALVIN,OWEN",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
12:38,,12 (+3),,9,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",CENTRE-M 12-9 (+3),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
12:13,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
12:13,"GOOD FT by DARST,DANIEL",13 (+4),,9,,RHODES 13-9 (+4),,"GOOD FT by DARST,DANIEL",1
12:13,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
12:13,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
12:13,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
12:13,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
12:13,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
12:13,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
12:12,"GOOD FT by DARST,DANIEL",14 (+5),,9,,RHODES 14-9 (+5),,"GOOD FT by DARST,DANIEL",1
12:12,"SUB IN by MCNAMARA,BRENDEN",,,,,,,"SUB IN by MCNAMARA,BRENDEN",1
12:12,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
11:56,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
11:54,"STEAL  by SHEN,KEVIN",,,,,,,"STEAL  by SHEN,KEVIN",1
11:50,"MISS LAYUP by SHEN,KEVIN",,,,,,,"MISS LAYUP by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
11:38,,,,,"MISS LAYUP by BROWNLEY,HOGAN",,,"MISS LAYUP by BROWNLEY,HOGAN",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
11:16,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
11:16,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:03,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
11:01,"STEAL  by GALVIN,OWEN",,,,,,,"STEAL  by GALVIN,OWEN",1
10:58,"GOOD LAYUP by SHEN,KEVIN(fastbreak)(in the paint)",16 (+7),,9,,RHODES 16-9 (+7),,"GOOD LAYUP by SHEN,KEVIN(fastbreak)(in the paint)",1
10:40,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
10:21,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
10:02,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
09:45,"GOOD 3PTR by BERRY,BRYCE",19 (+10),,9,,RHODES 19-9 (+10),,"GOOD 3PTR by BERRY,BRYCE",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
09:42,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:42,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
09:42,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
09:42,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
09:42,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
09:34,"FOUL  by GALVIN,OWEN",,,,,,,"FOUL  by GALVIN,OWEN",1
09:29,,19 (+9),,10,"GOOD FT by BROWNLEY,HOGAN",CENTRE-M 19-10 (+9),,"GOOD FT by BROWNLEY,HOGAN",1
09:26,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
09:26,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
09:22,,19 (+8),,11,"GOOD FT by BROWNLEY,HOGAN",CENTRE-M 19-11 (+8),,"GOOD FT by BROWNLEY,HOGAN",1
09:20,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
09:20,,,,,"SUB OUT by BROWNLEY,HOGAN",,,"SUB OUT by BROWNLEY,HOGAN",1
08:54,"TURNOVER  by MCNAMARA,BRENDEN",,,,,,,"TURNOVER  by MCNAMARA,BRENDEN",1
08:49,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
08:49,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
08:49,"SUB OUT by MCNAMARA,BRENDEN",,,,,,,"SUB OUT by MCNAMARA,BRENDEN",1
08:49,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
08:49,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
08:49,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
08:34,,19 (+6),,13,"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE-M 19-13 (+6),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
08:13,"GOOD LAYUP by SHEN,KEVIN(in the paint)",21 (+8),,13,,RHODES 21-13 (+8),,"GOOD LAYUP by SHEN,KEVIN(in the paint)",1
07:54,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
07:43,"MISS LAYUP by GIROUX,PRESTON",,,,,,,"MISS LAYUP by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
07:28,,,,,"MISS LAYUP by WALKER,ART",,,"MISS LAYUP by WALKER,ART",1
07:28,"BLOCK  by WEATHERFORD,MITCH",,,,,,,"BLOCK  by WEATHERFORD,MITCH",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
07:16,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",1
07:16,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",1
07:16,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:16,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
07:16,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
07:10,,,,,"MISS LAYUP by RAKES,BAILEY",,,"MISS LAYUP by RAKES,BAILEY",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
06:47,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
06:47,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
06:46,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",1
06:43,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
06:41,,21 (+6),,15,"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE-M 21-15 (+6),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
06:27,"MISS LAYUP by JAMES,MAC",,,,,,,"MISS LAYUP by JAMES,MAC",1
06:27,,,,,"BLOCK  by PURVIS,KC",,,"BLOCK  by PURVIS,KC",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:25,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
06:25,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
06:22,"MISS LAYUP by GIROUX,PRESTON",,,,,,,"MISS LAYUP by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",1
06:13,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
06:12,,21 (+5),,16,"GOOD FT by AYERS,PERRY",CENTRE-M 21-16 (+5),,"GOOD FT by AYERS,PERRY",1
06:12,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
06:12,"SUB IN by MCNAMARA,BRENDEN",,,,,,,"SUB IN by MCNAMARA,BRENDEN",1
06:12,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
06:12,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
06:11,,21 (+4),,17,"GOOD FT by AYERS,PERRY",CENTRE-M 21-17 (+4),,"GOOD FT by AYERS,PERRY",1
05:48,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
05:48,"SUB OUT by MCNAMARA,BRENDEN",,,,,,,"SUB OUT by MCNAMARA,BRENDEN",1
05:41,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
05:41,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",1
05:41,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:33,"MISS 3PTR by GALVIN,OWEN",,,,,,,"MISS 3PTR by GALVIN,OWEN",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
05:22,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
05:06,,,,,"MISS FT by RAKES,BAILEY",,,"MISS FT by RAKES,BAILEY",1
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",1
04:55,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
04:39,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",1
04:35,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
04:35,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
04:35,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
04:35,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
04:13,"TURNOVER  by JAMES,MAC",,,,,,,"TURNOVER  by JAMES,MAC",1
04:11,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
04:06,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
04:06,,,,,"MISS FT by AYERS,PERRY",,,"MISS FT by AYERS,PERRY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:06,,21 (+3),,18,"GOOD FT by AYERS,PERRY",CENTRE-M 21-18 (+3),,"GOOD FT by AYERS,PERRY",1
04:06,"SUB IN by MCNAMARA,BRENDEN",,,,,,,"SUB IN by MCNAMARA,BRENDEN",1
04:06,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
04:06,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
04:06,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
04:06,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
04:06,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
03:53,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",1
03:53,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:53,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
03:53,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
03:35,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",1
03:25,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",1
--,"REBOUND DEF by LOVE,KERRY",,,,,,,"REBOUND DEF by LOVE,KERRY",1
03:17,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
03:02,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
02:53,"MISS LAYUP by LOVE,KERRY",,,,,,,"MISS LAYUP by LOVE,KERRY",1
--,"REBOUND OFF by MCNAMARA,BRENDEN",,,,,,,"REBOUND OFF by MCNAMARA,BRENDEN",1
02:51,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
02:47,"MISS LAYUP by MCNAMARA,BRENDEN",,,,,,,"MISS LAYUP by MCNAMARA,BRENDEN",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
02:39,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",1
02:21,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
02:20,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",1
02:14,,21 (+1),,20,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE-M 21-20 (+1),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
01:54,"GOOD 3PTR by WEATHERFORD,MITCH",24 (+4),,20,,RHODES 24-20 (+4),,"GOOD 3PTR by WEATHERFORD,MITCH",1
--,"ASSIST  by MCNAMARA,BRENDEN",,,,,,,"ASSIST  by MCNAMARA,BRENDEN",1
01:29,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
01:24,,24 (+2),,22,"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 24-22 (+2),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
01:05,"MISS 3PTR by MCNAMARA,BRENDEN",,,,,,,"MISS 3PTR by MCNAMARA,BRENDEN",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
00:54,,24,,24,"GOOD JUMPER by AYERS,PERRY",CENTRE-M 24-24 (0),,"GOOD JUMPER by AYERS,PERRY",1
00:32,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
00:27,"FOUL  by SHEN,KEVIN",,,,,,,"FOUL  by SHEN,KEVIN",1
00:27,,,,,"MISS FT by AYERS,PERRY",,,"MISS FT by AYERS,PERRY",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
00:27,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
00:27,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
00:27,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
00:27,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
00:06,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",1
00:03,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
00:03,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
00:03,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
00:03,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
00:00,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:38,"MISS LAYUP by LOVE,KERRY",,,,,,,"MISS LAYUP by LOVE,KERRY",2
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",2
19:10,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",2
19:04,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",2
18:57,,24,,26 (+2),"GOOD JUMPER by SINE,TUCKER",CENTRE-M 24-26 (-2),,"GOOD JUMPER by SINE,TUCKER",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
18:35,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",2
18:33,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",2
18:27,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",2
18:07,"MISS JUMPER by DARST,DANIEL",,,,,,,"MISS JUMPER by DARST,DANIEL",2
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",2
18:00,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",2
17:45,"GOOD JUMPER by JAMES,MAC",26,,26,,RHODES 26-26 (0),,"GOOD JUMPER by JAMES,MAC",2
17:30,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",2
17:30,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",2
